GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US20001,20001,ZCTA5 20001,17917,442,6101,379,3362,289,11816,490,11.1,1.3,7.1,2.2,3.0,1.4,13.4,1.6,4.8,1.1,4.9,1.9,2.7,1.7,4.8,1.3,7.5,1.2,9.3,3.1,5.0,2.2,6.9,1.5,5.5,1.0,6.7,1.7,1.6,1.2,4.8,1.1,7.1,1.4,7.5,2.4,4.7,2.9,7.0,1.5,10.1,1.4,8.8,2.3,6.1,1.9,11.1,1.8,9.3,1.4,7.3,2.1,6.8,3.0,10.2,1.7,18.9,1.7,16.0,2.5,20.4,3.7,20.1,2.2,11.1,1.3,13.7,2.5,20.6,3.7,9.9,1.8,14.5,1.7,18.6,2.7,29.1,4.0,11.9,1.8,85976,5687,92298,15554,147708,12030,81091,6539,106670,4257,120496,9249,N,N,97807,4561,33.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X)
8600000US20002,20002,ZCTA5 20002,24343,458,9981,441,5177,303,14362,498,10.9,1.2,6.7,1.6,1.1,1.0,14.1,1.8,5.5,0.9,3.8,1.1,1.1,0.8,7.1,1.3,6.9,1.0,8.9,1.8,2.9,1.4,5.9,1.1,6.0,0.9,5.5,1.5,2.9,1.4,6.6,1.1,9.2,1.1,7.8,1.5,3.5,1.3,10.2,1.6,12.0,1.2,10.3,1.8,6.5,2.1,12.8,1.6,11.5,1.2,10.7,1.9,10.7,2.3,11.8,1.4,17.3,1.4,16.5,1.9,21.9,2.7,17.7,2.0,9.1,1.0,11.7,1.7,18.7,3.0,7.1,1.2,11.7,1.1,18.2,2.1,30.7,3.0,6.6,1.1,74303,2487,93039,5110,(X),(X),61545,2296,98792,3188,119076,5614,N,N,82150,4303,33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X)
8600000US20003,20003,ZCTA5 20003,11912,224,4911,291,3744,253,7001,318,4.8,1.2,3.9,1.9,0.1,0.2,5.7,1.5,2.6,0.7,0.7,0.5,0.6,0.5,4.0,1.2,3.7,1.1,2.7,1.6,2.2,1.8,4.5,1.4,3.5,1.0,2.5,1.5,0.7,0.6,4.6,1.5,6.0,0.8,5.6,1.8,1.5,0.8,6.5,1.1,12.2,1.8,6.9,1.9,3.5,1.3,16.2,2.6,11.6,1.5,6.8,1.7,6.4,1.7,14.3,2.1,21.4,1.9,17.7,2.6,19.7,2.9,24.0,2.6,13.4,1.5,16.5,2.6,19.1,2.9,11.4,2.0,20.8,1.7,36.7,3.0,46.2,3.9,8.8,1.9,112083,5725,159663,8965,188672,8751,88504,6131,140336,5594,192443,12067,N,N,101207,5609,22.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.3,(X)
8600000US20004,20004,ZCTA5 20004,1135,124,298,73,274,74,837,110,2.0,1.8,0.0,10.3,0.0,11.2,2.7,2.5,0.0,2.8,0.0,10.3,0.0,11.2,0.0,3.8,0.6,1.0,0.0,10.3,0.0,11.2,0.8,1.4,2.2,1.6,0.0,10.3,0.0,11.2,3.0,2.3,5.9,2.8,2.0,2.9,2.2,3.2,7.3,3.6,9.2,4.4,12.1,8.6,9.1,7.8,9.4,5.3,7.8,3.4,5.0,5.8,5.5,6.3,8.7,4.3,30.7,7.3,9.4,7.3,8.0,7.0,37.0,9.1,14.1,5.6,10.7,8.1,11.7,8.8,15.3,6.7,27.5,6.7,60.7,13.1,63.5,12.7,15.7,6.1,135859,13101,223750,29775,(X),(X),117992,11311,173373,19518,257152,47750,N,N,142777,20968,18.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),15.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.6,(X)
8600000US20005,20005,ZCTA5 20005,8351,328,1577,300,1317,255,6774,408,7.9,2.7,1.2,1.6,0.0,2.4,9.5,3.1,2.8,1.2,2.6,3.0,0.8,1.2,2.8,1.3,5.7,2.0,8.7,9.3,4.1,6.3,4.9,2.0,3.8,1.9,5.3,7.0,6.4,8.3,3.4,1.5,7.0,2.7,1.8,3.0,1.8,3.6,8.2,3.2,15.1,3.7,13.2,10.1,13.1,11.3,15.6,3.9,14.7,3.1,8.3,4.3,6.3,4.3,16.5,3.7,18.5,2.9,16.4,7.3,18.7,8.8,19.0,3.2,9.8,2.2,11.0,5.8,11.2,6.6,9.5,2.6,14.7,3.1,31.5,9.8,37.7,11.2,10.5,3.3,87676,8402,128901,31969,(X),(X),81049,4569,112947,9082,149691,24131,N,N,103396,10156,25.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.5,(X)
8600000US20006,20006,ZCTA5 20006,748,99,18,21,7,11,730,96,28.6,10.8,0.0,69.9,0.0,100.0,29.3,10.9,6.7,5.2,0.0,69.9,0.0,100.0,6.8,5.3,9.2,5.0,0.0,69.9,0.0,100.0,9.5,5.1,6.4,4.5,0.0,69.9,0.0,100.0,6.6,4.6,15.0,7.3,61.1,61.1,0.0,100.0,13.8,7.2,13.0,6.6,0.0,69.9,0.0,100.0,13.3,6.7,11.1,4.9,0.0,69.9,0.0,100.0,11.4,5.0,4.4,3.1,38.9,61.1,100.0,100.0,3.6,2.8,4.1,4.5,0.0,69.9,0.0,100.0,4.2,4.6,1.5,1.7,0.0,69.9,0.0,100.0,1.5,1.7,34125,10306,-,**,-,**,33000,11670,43524,8908,N,N,N,N,42680,9042,20.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),61.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.6,(X)
8600000US20007,20007,ZCTA5 20007,11985,363,4633,295,4052,270,7352,461,6.6,1.3,0.3,0.3,0.0,0.8,10.6,2.2,1.4,0.8,0.2,0.3,0.0,0.8,2.2,1.2,3.2,1.1,2.6,2.4,2.7,2.7,3.6,1.3,3.9,1.4,1.2,1.1,1.2,1.2,5.6,2.2,6.7,1.6,2.5,1.2,1.9,1.1,9.3,2.4,12.1,1.7,3.3,1.5,2.9,1.5,17.6,2.8,9.2,1.9,5.0,2.0,3.7,1.7,12.0,2.6,14.7,2.0,14.2,3.0,11.9,3.1,15.1,2.7,11.2,2.0,13.0,2.9,12.4,3.0,10.4,2.7,31.0,2.7,57.6,4.6,63.2,4.3,13.7,2.6,119267,11199,222125,20751,(X),(X),78024,9426,180698,11357,289064,23638,N,N,111387,8467,29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
8600000US20008,20008,ZCTA5 20008,15495,464,5148,336,4433,297,10347,539,3.5,1.1,0.8,0.9,0.0,0.7,4.8,1.6,1.9,0.8,0.6,0.8,0.7,1.0,2.5,1.2,3.3,0.8,1.4,1.2,0.9,1.2,4.2,1.3,3.3,1.0,1.9,1.3,1.7,1.3,3.9,1.3,5.2,1.3,1.2,1.1,0.6,1.0,7.2,1.9,15.2,2.2,5.3,2.1,4.4,1.7,20.1,3.0,11.2,1.6,6.9,2.5,6.0,2.3,13.5,2.1,23.3,2.7,23.0,4.8,20.4,4.3,23.5,3.2,10.2,1.8,12.6,3.1,13.3,3.4,9.1,2.0,23.0,2.1,46.3,4.9,52.0,4.9,11.1,2.2,111074,4526,183587,18938,206875,21601,85122,7861,164615,7775,264562,20844,N,N,113088,7103,22.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.5,(X)
8600000US20009,20009,ZCTA5 20009,26682,571,7013,456,5106,419,19669,677,6.7,1.1,5.2,2.0,1.1,1.0,7.2,1.3,1.9,0.6,0.5,0.5,0.3,0.5,2.3,0.8,4.6,0.9,6.1,2.1,1.7,1.5,4.5,1.0,4.5,0.9,6.6,2.0,3.5,1.9,3.7,1.1,8.1,1.3,6.9,2.4,4.4,2.3,8.4,1.3,13.7,1.5,8.8,2.3,7.2,2.7,15.3,1.7,12.8,1.5,7.7,2.2,8.1,2.6,14.9,1.9,20.7,1.8,16.3,2.7,19.6,3.4,22.4,2.2,11.6,1.3,16.2,2.7,20.4,3.3,10.1,1.4,15.3,1.6,25.7,3.4,33.6,4.3,11.0,1.7,94213,4313,124702,12953,158286,7950,88265,3845,121153,4950,151535,11551,N,N,108354,5275,24.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.6,(X)
