desc,column
Basketball Court,bballct
Bike Storage,bikestore
Cardio Machines,cardiomach
Fitness Center,fitcenter
Fitness Programs,fitprog
Free Weights,freewghts
Gameroom,gameroom
Gaming Stations,gamestation
Health Club Facility,healthclub
Media Center/Movie Theatre,mediacenter
NA,na
Playground,playground
Pool,pool
Putting Greens,putgreen
Racquetball Court,rballct
Sauna,sauna
Spa,spa
Sport Court,sportct
Tennis Court,tennisct
Volleyball Court,vballct
Walking/Biking Trails,trails
Weight Machines,wghtmach
