desc,column
Accent Walls,accentwalls
Attic,attic
Basement,basement
Bay Window,baywindow
Built-In Bookshelves,bshelves
Carpet,carpet
Crown Molding,crownmold
Den,den
Dining Room,diningrm
Double Pane Windows,doublepw
Family Room,famrm
Furnished,furnished
Hardwood Floors,hwoodfloor
Linen Closet,linencloset
Loft Layout,loft
Mother-in-law Unit,mothlawunit
Mud Room,mudrm
NA,na
Office,office
Recreation Room,recrm
Skylight,skylight
Sunroom,sunrm
Tile Floors,tilefloor
Vaulted Ceiling,vceil
Views,views
Vinyl Flooring,vfloor
Walk-In Closets,walkincloset
Wet Bar,wetbar
Window Coverings,windowcov
