pid,ac,ascovpark,asgarpark,aslotpark,asotherpark,asstpark,bird,cable,cat,dog,elect,fish,gas,heat,na,otherfee,reptile,sewer,storage,trashrem,uncovpark,ungarpark,unlotpark,unotherpark,unstpark,water
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,40.0,,,,,,,,0.0,,0.0,,75.0,,,,0.0
4,,,,,,,,,40.0,40.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0
5,,,50.0,,,,,,,,,,0.0,0.0,,,,0.0,35.0,0.0,,,,,,0.0
6,,,,,70.0,,,,30.0,30.0,,,,,,,,,,,,,,,,
7,,,,,,,,,50.0,50.0,,,,,,,,0.0,,0.0,,,,,,0.0
8,,,,,,,,,35.0,35.0,,,,,,,,,,,,,,,,
9,0.0,,,,,,,0.0,25.0,25.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,,,,,,,0.0,35.0,35.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,50.0,50.0,,,,,,,,,,,,,15.0,,,
22,,,,,,,,,45.0,45.0,,,,,,,,,,,,100.0,,,,
23,,,,,,,,,50.0,50.0,,,,,,,,,50.0,,,50.0,,,,
24,,,,,,,,,60.0,60.0,,,,,,,,,,,,75.0,,,,
25,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,
26,,100.0,,,,,,,50.0,50.0,,,,,,,,,,,,,25.0,,,
27,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,
28,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
29,,,,,,,,,35.0,35.0,,,,,,,,,,,,,,,,
30,,70.0,,35.0,,,,,50.0,50.0,,,,,,,,,,0.0,,,,,,
31,,,,,,,,,45.0,45.0,,,,,,,,,,,,,,,,
32,,,,,,,,,30.0,30.0,,,0.0,,,,,,,,,,,,,0.0
33,,,90.0,,30.0,,,,35.0,35.0,,,,,,,,,,,,,,,,
34,,,,,,,,,40.0,40.0,,,,,,,,,,,,,,,,
35,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,
36,,,,,,,,,40.0,40.0,,,,,,,,,,,,50.0,,,,
