pid,name
0,1801 Catherine Fran Dr
1,17211 Summerwood Ln
2,911 Strausberg St
3,Daniel's Run
4,Heritage Park Apartments
5,The Delano Apartments
6,Domain College Park
7,University Gardens Serene Gardens
8,The Communities at Arbor Vista
9,Coronado Apartments
10,1836 Metzerott Rd Unit 1916
11,9200 Edwards Way Unit 1211
12,9250 Edwards Way
13,2010 Pelden Rd
14,1836 Metzerott Rd
15,9200 Edwards Way Unit 606
16,1826 Metzerott Rd
17,Newbury Square
18,Graduate Hills & Gardens
19,Tudor Place
20,Adelphi Court
21,Presidential Towers
22,Racquet Club Condominium
23,Jefferson Hamptons Apartments
24,Riverside
25,e-lofts
26,The Beacon of Groveton
27,The Parker
28,Sussex At Kingstowne
29,Avana Alexandria
30,BLVD2801
31,The Point at Alexandria
32,Cascade at Landmark
33,Cityside at Huntington Metro
34,Eaton Square At Arlington Ridge
35,South Port
36,Bridgeyard Old Town
37,Edgemoore
38,The Mark
39,Modera Tempo
40,The Encore
41,Parc Meridian at Eisenhower Station
42,Sullivan Place
43,DelRay Tower
44,Arbor Park of Alexandria
45,Newport Village
46,Key Towers Apartments
47,Foxchase Apartments
48,101 North Ripley Apartments
49,Huntington Gateway
50,Windsor at Arbors
51,The Asher
52,Lynbrook at Mark Center Apartment Homes
53,Brookdale at Mark Center Apartment Homes
54,Stoneridge at Mark Center Apartment Homes
55,Bren Mar Apartments
56,Rose Hill I Apartments*
57,Willow Run at Mark Center Apartment Homes
58,Station 650
59,Town Square at Mark Center
60,Reserve at Potomac Yard
61,Carlyle Mill
62,Edlandria
63,The Aspen
64,Crystal Woods of Alexandria
65,Creekside Village
66,Carmel Alexandria
67,Park Place at Van Dorn
68,The Bradley
69,The Porter Del Ray
70,The Kingsley
71,The Shelby
72,Cameron Court
73,Clayborne Apartments
74,800 Carlyle
75,The Summit
76,The Elms At Kingstowne
77,The Graham at Southern Towers
78,Del Ray Central
79,EOS-21
80,Seminary Towers Apartments
81,Meridian at Eisenhower
82,Carlyle Place
83,Meridian at Carlyle
84,Meridian at Braddock Station
85,The Courts at Huntington Station
86,Presidential Greens
87,The Alexander
88,London Park Towers
89,Woodmont Park
90,Mason Hall
91,Post Carlyle Square
92,Halstead Tower by Windsor
93,Tuscany Apartments
94,Park Vue
95,The Reserve at Eisenhower
96,1111 Belle Pre
97,Lloyd Apartments
98,Monticello-Lee
99,Courts Of Mount Vernon
100,Landmark Towers
101,Lafayette Apartments
102,Brookville Townhomes
103,Washington Square Apartments
104,Southern Towers
105,Beacon Hill
106,Hermitage Hill
107,Heritage at Old Town
108,Lerner Morningside
109,Lerner Excelsior Tower
110,Mount Vernon Square Apartments
111,Seminary Hill Apartments
112,Bailey's Crossing
113,The Strand of Alexandria
114,Ridgeleigh at Van Dorn Metro
115,Kings Gardens
116,Cherry Arms
117,Landmark Ridge
118,Avalon Potomac Yard
119,Meadow Woods
120,Skyview Apartments
121,New Brookside Apartments
122,Commonwealth Crossing
123,Mallard Courts Apartments
124,Brent Place
125,Glebe House Apartments
126,Oaks of Woodlawn
127,The Colecroft Community
128,Parc View Apartments
129,2505 Fleming St
130,520 John Carlyle St Unit 000
131,2214 Creek Dr
132,2411 Fairhaven Ave
