pid,numimage
0,11.0
1,30.0
2,21.0
3,
4,
5,
6,
7,
8,
9,
10,6.0
11,18.0
12,12.0
13,22.0
14,22.0
15,13.0
16,8.0
17,12.0
18,4.0
19,2.0
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,11.0
127,21.0
128,24.0
129,2.0
130,18.0
131,1.0
132,22.0
133,7.0
134,15.0
135,14.0
136,12.0
137,8.0
138,8.0
139,30.0
140,20.0
141,14.0
142,21.0
143,16.0
144,7.0
145,12.0
146,28.0
147,22.0
148,15.0
149,17.0
150,17.0
151,20.0
152,12.0
153,5.0
154,25.0
155,38.0
156,5.0
157,12.0
158,28.0
159,85.0
160,37.0
161,38.0
162,73.0
163,45.0
164,40.0
165,95.0
166,43.0
167,12.0
168,10.0
169,30.0
170,30.0
171,22.0
172,1.0
173,16.0
174,29.0
175,4.0
176,29.0
177,1.0
178,14.0
179,21.0
180,19.0
181,13.0
182,30.0
183,10.0
184,30.0
185,30.0
186,15.0
187,7.0
188,9.0
189,16.0
190,27.0
191,10.0
192,8.0
193,13.0
194,26.0
195,27.0
196,20.0
197,20.0
198,23.0
199,20.0
200,1.0
201,12.0
202,30.0
203,15.0
204,12.0
205,13.0
206,21.0
207,1.0
208,13.0
209,1.0
210,12.0
211,12.0
212,13.0
213,30.0
214,9.0
215,5.0
216,15.0
217,4.0
218,9.0
219,14.0
220,29.0
221,22.0
222,30.0
223,16.0
224,30.0
225,18.0
226,22.0
227,2.0
228,10.0
229,30.0
230,11.0
231,22.0
232,30.0
233,29.0
234,17.0
235,30.0
236,30.0
237,12.0
238,27.0
239,30.0
240,14.0
241,15.0
242,12.0
243,29.0
244,29.0
245,6.0
246,30.0
247,30.0
248,25.0
249,18.0
250,1.0
251,1.0
252,25.0
253,30.0
254,24.0
255,20.0
256,23.0
257,1.0
258,9.0
259,1.0
260,30.0
261,6.0
262,12.0
263,21.0
264,20.0
265,23.0
266,30.0
267,24.0
268,30.0
269,30.0
270,23.0
271,12.0
272,20.0
273,1.0
274,6.0
275,19.0
276,22.0
277,6.0
278,30.0
279,29.0
280,30.0
281,2.0
282,30.0
283,30.0
284,30.0
285,27.0
286,22.0
287,28.0
288,16.0
289,17.0
290,30.0
291,29.0
292,23.0
293,3.0
294,8.0
295,28.0
296,7.0
297,13.0
298,7.0
299,17.0
300,12.0
301,19.0
302,1.0
303,2.0
304,12.0
305,29.0
306,15.0
307,1.0
308,22.0
309,15.0
310,25.0
311,20.0
312,20.0
313,30.0
314,29.0
315,13.0
316,19.0
317,20.0
318,24.0
319,27.0
320,16.0
321,9.0
322,8.0
323,5.0
324,12.0
325,26.0
326,14.0
327,24.0
328,1.0
329,8.0
330,17.0
