pid,Other Fee,admin,amenity,appfee,birddep,birdfee,catdep,catfee,dogdep,dogfee,fishdep,fishfee,movein,na,otherdep,reptiledep,reptilefee,unknown
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,25.0,,,,,,,,,,,,,,
4,,,,60.0,,,300.0,150.0,300.0,150.0,,,,,,,,
5,,250.0,,45.0,,,,,,,,,,,,,,
6,,,,35.0,,,500.0,,500.0,,,,,,,,,
7,,,,25.0,,,,,,,,,,,,,,
8,,200.0,,45.0,,,,200.0,,200.0,,,,,,,,
9,,,,38.0,,,,250.0,,250.0,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,38.0,,,350.0,,350.0,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,300.0,,50.0,,,,450.0,,450.0,,,,,,,,
22,,500.0,,50.0,,,,500.0,,500.0,,,,,,,,
23,,200.0,200.0,50.0,,,500.0,,500.0,,,,,,,,,
24,,500.0,,50.0,,,,250.0,,250.0,,,,,,,,
25,,400.0,,75.0,,,,300.0,,300.0,,,,,,,,
26,,400.0,,50.0,,,,350.0,,350.0,,,,,,,,
27,,400.0,,75.0,,,,,,,,,,,,,,
28,,,,50.0,,,,,,,,,,,,,,
29,,,500.0,50.0,,,,500.0,,500.0,,,,,,,,
30,,300.0,,50.0,,,,500.0,,500.0,,,,,,,,
31,,,,50.0,,,,350.0,,350.0,,,400.0,,,,,
32,,,,40.0,,,300.0,,300.0,,,,,,,,,
33,,300.0,,50.0,,,,300.0,,300.0,,,,,,,,
34,,400.0,,50.0,,,,300.0,,300.0,,,,,,,,
35,,,300.0,50.0,,,250.0,250.0,250.0,250.0,,,,,,,,
36,,,,50.0,,,400.0,400.0,400.0,400.0,,,,,,,,
37,,249.0,,40.0,,,300.0,300.0,300.0,300.0,,,,,,,,
38,,,,50.0,,,400.0,400.0,400.0,400.0,,,,,,,,400.0
39,,500.0,,50.0,,,,400.0,,400.0,,,,,,,,
40,,500.0,,50.0,,,,500.0,,500.0,,,,,,,,
41,,500.0,,50.0,,,,500.0,,500.0,,,,,,,,
42,,400.0,,50.0,,,,500.0,,500.0,,,,,,,,
43,,300.0,,50.0,,,,250.0,,250.0,,,,,,,,
44,,300.0,,50.0,,,,250.0,,250.0,,,,,,,,
45,,300.0,,50.0,,,,,,,,,,,,,,
46,,,,50.0,,,400.0,,250.0,,,,,,,,,
47,,300.0,,50.0,,,,300.0,,,,,,,,,,
