parentid,parent
0,Unknown
1,Rimsi Corp.
2,"Bell Partners, Inc."
3,"Zuckerman Gravely Management, Inc."
4,"The Laramar Group, LLC"
5,ROSS Companies
6,Lerner Corporation
7,"Hudson Americas, LP"
8,Greystar Real Estate Partners
9,Milestone
10,Klingbeil Capital Management
11,Southern Management Corporation
12,"AvalonBay Communities, Inc."
13,"Scott Management, Inc."
14,Borges & Borges Inc
15,Dreyfuss Management
16,Whetstone Company
17,Rolling Park Management
18,Winn Companies
19,Potomac Management Group
20,Amurcon Realty Company
21,The Colecroft Community
22,Wesley Housing Development Corporation
23,Maryland Management
24,A&G Management Company
25,Pantzer Properties
26,Cortland Partners
27,The Bainbridge Companies
28,Avenue5 Residential
29,Van Metre Companies
30,Jefferson Apartment Group
31,Camden Property Trust
32,"CRC Companies, LLC"
33,Fairfield Residential
34,Rittenhouse Realty Advisors
35,Morgan Properties
36,"Harbor Group Management Co, LLC"
37,Kettler
38,The Bozzuto Group
39,MIDCITY
40,The Magruder Companies
41,Capital Properties
42,Equity Residential
43,CIM Group LP
44,Aldon Management
45,"Rakusin & Becker Management, Inc"
46,Avison Young
47,Polinger Co.
48,Kossow Management
49,Kay Apartment Communities
50,"Tricap Management, Inc."
51,The Donaldson Group
52,Ingerman
53,"Murn Management, LLC"
54,"The Dolben Company, Inc."
55,LCOR Inc.
56,Humphrey Development
57,Signature Properties
58,Franklin Johnston Group
59,AIMCO
60,"Grady Management, Inc."
61,Tonti Properties
62,HallKeen Management
63,Berkshire Group
64,Dragone Realty Investments
65,"Gates, Hudson & Associates, Inc."
66,"BDMG, Inc."
67,"Hendersen-Webb, Inc."
68,Continental Realty Corporation
69,Awalt Builders Inc.
70,Elm Street Development
71,MAA
72,The Eagle Point Companies
73,Foulger-Pratt Companies
74,Chevy Chase Land Company
75,Quest Management Group
76,The Lightstone Group
77,Park Side College Park
78,JRK Property Holdings
79,"JMG Realty, Inc."
80,Wood Partners
81,"Fieldstone Properties, LLC"
82,Clarion Partners
83,Mill Creek Residential Trust LLC
84,"ZRS Management, LLC"
85,"Interstate Investment, Inc."
86,Armiger Management
87,WestCorp Management Group
88,Peak Capital Partners
89,"Coastal Properties of Virginia, Inc."
90,"Realco Millennium, LLC"
91,"JLB Partners, LP"
92,"Apartment Services, Inc."
93,Osprey Property Companies
94,The Keelty Company
95,"GID Investment Advisers, LLC"
96,"A.J. Dwoskin & Associates, Inc."
97,Lincoln Property Company
98,"Alliance Residential, LLC"
99,"UDR, Inc."
100,Thrive Communities
101,Paradigm Companies
102,Dittmar Company
103,"Capital Investment Advisors, LLC"
104,K & B Management
105,Akelius US
106,Morguard Corporation
107,Oakwood
108,"Borger Management, Inc."
109,Glen Apartments
110,Augusta Enterprises
111,"Home Investment Management, Inc."
112,Allison Management Inc.
113,Conifer Realty
114,HIP Projects
115,The Orlo Fund
116,"ARC Developers, Inc."
117,Bernstein Management Corporation
118,"Frontier Financial, LLC"
119,Broad Financial
120,PRP Real Estate Management
121,Quantum Companies
122,TGM Communities LLC
123,Village Green
124,"Middleburg Management, LLC"
125,"Sage Management, LLC"
126,Vanguard Realty Group
127,Corcoran Jennison Management
128,Berman Enterprises
129,Blue Ocean Realty
130,"Bonaventure Realty Group, LLC"
131,Kushner Companies
132,Peak Management
133,Mark-Hall And Company
134,Toll Bros. Inc.
135,BET Investments Inc.
136,Rocks Engineering Real Estate Developers
137,J. Alexander Management Company
138,"Storch Realty, Inc."
139,"Vista Management Co., Inc."
140,First Communities Management
141,The Apartment House Inc
142,"CIH Properties, Inc"
143,Wingate Companies
144,Lennar
145,Westover Companies
146,Hirschfeld Properties LLC
147,Cove Property Management
148,Knott Realty Group
149,BMC Property Group
150,Laurel Realty Company
151,The Alexander Company
152,Gene B. Glick Company
153,Community Housing Partners Corporation
154,Preferred Apartment Communities
155,"Cocke Finkelstein, Inc."
156,CAPREIT
157,Steelhead Management
158,The Caton Companies
159,S.L. Nusbaum Realty Co.
160,Kiwest Corporation
161,Drucker & Falk
162,"Empire State Realty OP, L.P."
163,Mount Harmony Property Management
164,"David S. Brown Enterprises, LTD"
165,The Time Group
166,"Pinnacle Property Management Services, LLC"
167,Community Realty Company
168,JBG SMITH
169,Quantum Real Estate Management Llc
170,The Hanover Company
171,"Stellar Advisors, LLC"
172,Horning Brothers
173,The Faller Companies
174,"Bullis Tract, LLC"
175,Gingery Development Group
176,"Questar Properties, Inc."
177,AHC Inc.
178,"Bridge Investment Group Partners, LLC"
179,The Tower Companies
180,"Forest City Realty Trust, Inc."
181,Residential One
182,Andris Realty Inc.
183,"The Larnaca Company, LLC"
184,Weissberg Corp.
185,TM Associates Limited Partnership
186,"Ascentis Real Estate Partners, LLC"
187,Christian Relief Services
188,East Gate Apartments
189,Simpson Housing
190,HHHunt
191,SJG Properties
192,Mack-Cali Realty Corporation
193,"Donatelli Development, Inc."
194,"McCaffery Interests, Inc."
195,B.F. Saul Company
196,"Peter N.G. Schwartz Management Company, Inc"
197,The Related Companies
198,"NDC Real Estate, LLC"
199,Quadrangle Development Corp.
200,The Woodner Company
201,Gelman Management Company
202,The CT Group
203,Madison Investments
204,Urban Investment Partners
205,Akelius - The Wallasey
206,"Potomac Holdings, LLC"
207,ABDO Development
208,Peabody & Theoharis Management
209,Main Street Realty
210,Infinity Group
211,Adams Investment Group
212,"Curtis Investment Group, Inc."
213,Longford Management
