pid,desc,capperc,cap
0,"Quiet, residential area, with a spacious basement apartment, located 10 mins from the National Harbor, and 20 minutes from downtown DC. Ample street parking, full laundry, kitchen, and living spaces. Over 1500 sq. ft. of space. Please give me a call if you would like to schedule a viewing. Serious inquiries only. Ideal for small family or professionals. Pets and smoking are not allowed.",0.02,1.0
1,BESIDES STYLE AND CHARM this home offers 4 BR 4.5 baths gleaming hardwood floors 3 finished levels for plenty of relaxation and enjoyment. Fresh paint and new carpet - Why wait for new?? Over 5000 sq finished just waiting for you to make your own! Corner lot in an easy to access community right off of Indian Head Hwy. Once you see it you ll want to live there!,0.07,1.0
2,Spectacular open concept Colonial style home with 4 bedrooms 3 full and 1 half bath den/office formal living and dining room family room gourmet kitchen with stainless steel appliances and a breakfast bar with space for seating. Walk right onto the covered deck off the breakfast nook. Master bedroom bath has heated flooring separate sinks and more must see features!,0.0,0.0
3,"Daniel's Run is the only community that offers you more style, sophistication and amenities than other apartment homes. The luxury of extra time will also be yours with the accessibility of the best shopping, dining and entertainment just minutes away.",0.0,0.0
4,"Welcome to Heritage Park Apartments! Nestled in a quiet wooded area, we have spacious one, two, and three bedroom apartment homes. Most of our apartments are newly renovated. Each apartment has a beautiful brick accent wall in the dining room, with plenty of closet space and a large living room. Most of the apartment homes have floor to ceiling windows in the living/dining room area that open up to a huge balcony or patio. We pay for your gas heating and cooking, water, sewer and trash removal. We also have free parking and we are convenient to the beltway and the Metro. * Prices are subject to change.",0.0,0.0
5,"At The Delano Apartments you will enjoy no security deposit! With our beautiful 1 bedroom/1 bath with den and 2 bedroom/2 bath apartments in this new apartment Community, you will have a nice-sized kitchen with dishwasher, attached microwave, washer and dryer, large size bathrooms, new carpeting, and ceramic tiles.Put on your running shoes and let The Delano Apartments fitness center be your place to exercise and relax after with our rest area. Feel free to park anywhere on the lot with our free covered parking. Main entrances come with an Intercom that will go directly to your phone! Transportation is not an issue at The Delano Apartments. We are located on the University of Maryland Shuttle Line and metro area! Come see how the Delano Apartments can be your home! No security deposit!",0.0,0.0
6,"Domain College Park features stylish apartments for rent in College Park, MD. Enjoy gourmet kitchens complete with granite countertops and stainless steel appliances, large closets, full-size washer/dryer sets, hardwood flooring, and thoughtful finishes. In addition to upscale features, our College Park apartments offer convenient on-site amenities for our residents. Enjoy access to our state-of-the-art fitness center, resort-style pool, landscaped courtyards, business center, and billiards/TV lounge. Enjoy close proximity to the Metro stop providing convenient access to the best of Silver Spring, Bethesda, and downtown Washington DC. Visit us today for a personalized tour of our remarkable College Park apartments and experience better apartment living in Maryland.Domain College Park was voted ""Best Mid-Rise Apartment - Mid-Atlantic 2013"" in the 17th Annual Delta Associates Awards for Excellence.",0.02,1.0
7,The convenient and comfortable University Gardens was created just for you! Metro buses and The University of Maryland shuttle buses stop within the community. Plenty of shopping and schools are also nearby. Relax at our private pool and recreation areas.,0.0,0.0
8,"Discover the finest apartments in Adelphi, Maryland at The Communities at Arbor Vista. Our spacious apartment homes offer in-town convenience with the friendly ambiance you will only find in the best neighborhood of Adelphi. We are a lively apartment community, located just few minutes to the inner loop of Capital Beltway 495, the University of Maryland College Park, Prince George's Community College, the U.S. Army Research Laboratory, the National Archives, Wheaton Metro Station, and Prince George's Metro Station. In addition to our unbeatable location, we offer high-end amenities including a new fitness center with cardio equipment, s sparkling swimming pool, convenient outdoor grills, a children's playground, a Shuttle Stop to the University of Maryland, and a extraordinary clubhouse with business center. Call for your personalized tour of The Communities at Arbor Vista!",0.0,0.0
9,"A reminder of quiet country living with all the advantages of metropolitan living. 3 acres of lush, green grass surround landscaped apartment buildings. 1 & 2 Bedroom Apartments, huge floor plans. Conveniently located just minutes from I-95 and I-495 (the Capital Beltway). Walk to banking, shopping and dining across the street. Metro Bus Line runs in front of the property. 24 hour emergency maintenance.",0.0,0.0
10,"Small 1 Bed unit for Rent. Available July 20, 2017. Must have good credit and good references. $1200 Refundable Deposit. All utilities included. Laundry on same floor. 5min drive to Univ. of Md. 10min drive to PG Plaza Metro, Bus stop at entrance. 4 min from Beltway. No Pets allowed in Bldg.",0.02,1.0
11,Time to move! Here s a great fully-renovated condo with tennis courts a pool exercise room and all utilities included! The large condo features a roomy bedroom with walk-in closet a balcony with great views spacious living and dining areas and a kitchen with stainless steel appliances granite counters & a stacked front-loading washer/dryer. The building has a 24x7 front desk & parking.,0.0,0.0
12,Located 15 minutes from the University of Md. with easy access to Rt.193 the Beltway and DC. Available for immediate move-in! Secured Entry with utilities and parking included. Spacious condo with oversized living room and walk-in closets over 1000 sqft of living space. Vouchers Ok! You don t want to miss this one apply at online at rentalsrock,0.02,1.0
13,Hurry! ROOMS FOR RENT - SHARED RENTAL - prices starting from 450 to 750 per room. Utilities included - water gas electric. Tenant pays for own cable/internet. NO smoking NO pets. Shared kitchen bathrooms living rooms common areas shared laundry room. 40.00 app fee. Good credit fair credit no credit challenged credit -- not an issue! Call today!,0.12,1.0
14,Spacious and beautiful 2 bedroom 2 bath condo with fresh paint new granite counters appliances and carpet awaits you! Walk-in closets table space in kitchen living/dining combo covered balcony facing natural preserve. Building offers assigned and guest parking outdoor pool & on-site management! Great location inside Beltway close to New Hampshire Ave. Rent includes all facilities.,0.0,0.0
15,"(240) 338-1649 - Beautiful 2BR/1BA Condo in Adelphi, MD (Most Utilities Included!) - Beautiful 2 Bedroom 1 Full Bathroom Condominium in Adelphi, MD. Features parquet flooring throughout a spacious living room/dining room combo with brick accent wall. Fully equipped kitchen features all appliances including gas stove and dishwasher. Condo has plenty of additional storage space, 2 spacious bedrooms including a master bedroom with walk in closet and 1 full bath with tiled floors, tiled shower enclosure and updated fixtures. Condo also has a spacious balcony that is perfect for entertaining! Tenants have access to purchase membership to the community pool!
Water and Gas included in Rent!!
Pets under 30lbs considered on a case by case basis with an additional Pet Deposit!!
Contact Aaron at (240) 338-1649 for details or to schedule an appointment or email athompson@baymgmtgroup.com
Here is the link to apply online:
https://www.baymgmtgroup.com/laurel-md-rental-listings/laurel-single-family/
Good Credit Score required. Any slightly lower scores will be considered on a case by case basis.
(RLNE3508994) Other Amenities - Other- fully equipped kitchen, hardwood floors, walk in closet, partial utilities included, Pool, Balcony. Appliances - Dishwasher, Air Conditioning, Range. Pet policies - Small Dogs Allowed, Cats Allowed.",0.03,1.0
16,"Newbury Square offers one, two and three bedroom apartment homes that offer all the comfort and conveniences that you look for when selecting a new home. Entertain your guests in your separate dining area and relax in your large living room. You will also find spacious closets, ceramic bathrooms, plush wall-to-wall carpeting a conveniently located laundry facilities. Once you step outside of your new home you can enjoy the convenience of being minutes from shop dining and major highways!",0.0,0.0
17,,,
18,This quiet 134 unit apartment Community on the border of DC offers spacious two-bedroom apartments in a great location.,0.05,1.0
19,,,
20,,,
21,"Close to everything and right on the Potomac river, Riverside is your bridge to all that Alexandria's Huntington neighborhood has to offer. This community offers an array of apartment finishes including brand new, remodeled homes with quartz counter tops, and luxe wood plank flooring. Choose from stunning Riverside views that will make your home along the Potomac your oasis. You'll enjoy living within walking distance to the Huntington Metro, a bike ride away from Old Town Alexandria, our complimentary shuttle service, and easy access to the I-495 on ramp.",0.0,0.0
22,"When the line between home and work blurs, modern life demands a seamless solution. e-lofts is an unprecedented community of sophisticated, luxury lofts that are easily configured for use as home, office?or both. Flaunt your savvy side with unparalleled flexibility that will take you from conference calls and client meetings to date nights and dinner parties. Stimulate your sense of adventure with open floor plans and an abundance of natural light. Surround yourself with premier commercial and residential amenities, while becoming part of a community of collaborators, customers and friends. In other words, get ahead of that ever-changing curve?and thrive here.",0.0,0.0
23,"The Beacon of Groveton features distinctive amenities for your comfort and luxe studio, 1 and 2 bedroom apartments in Alexandria, VA. Head outside to find shopping, dining and every convenience at your doorstep or hop on the complimentary metro shuttle to explore Old Town Alexandria and all the DC Metro area has to offer.",0.04,1.0
24,"Luxury has never been so inspiring. At The Parker, distinctive features and one-of-a-kind amenities make it hard to leave home. But if you do head out, this brand new community is located less than 90 feet from the Huntington Metro Stop, which services Metro?s Yellow Line and offers residents quick, convenient access to downtown Washington, D.C., the Pentagon, Reagan National Airport and access to the Rosslyn?Ballston Corridor. The Virginia Railway Express and Amtrak are also one stop from the King Street Metro station. Leasing May 2015.",0.0,0.0
25,"Discover an easier way of living at Sussex at Kingstowne. Our garden style apartments in Alexandria, VA, are here to welcome you home. Choose from one and two bedroom apartments for rent close to schools, parks, and employers. We also allow pets! Contact us today to learn more about our pet policy.",0.02,1.0
26,"Some locations are so ideal, they confer VIP status by virtue of their address. Avana Alexandria is within easy reach of the ultimate in high-end shopping, upscale dining, hot-spot nightlife and the latest entertainment selections. Find it all around, from downtown Washington DC, Old Town Alexandria, and The Village at Shirlington to desirable Arlington neighborhoods such as Clarendon, Rosslyn, Ballston, Pentagon City, and Crystal City. Even National Harbor, an ever-evolving waterfront destination, is close by. With instant access to I-395 and an address minutes from the Metros Yellow and Blue lines, getting to any destination is as easy as a few minutes drive and everything is at your fingertips.",0.02,1.0
27,"At BLVD2801 you'll discover the best, most beautifully renovated apartments in Alexandria. They're large and they're right where you want to be, minutes from BRAC, Old Town Alexandria and the best of the DC region. Our wonderfully renovated resort-style amenities offer the perfect place to release the stress of the day and unwind. And when you crave the taste of urban life, boutique shops, casual restaurants and vibrant nightlife are just minutes away - with a free shuttle from our Alexandria VA apartments to the Pentagon City Metro when you want to venture even farther. Please call for an appointment today.",0.04,1.0
28,"You're not one to compromise. And that's just fine. At The Point at Alexandria, you'll find all the warm comforts of a garden-style apartment community with all the top-notch amenities of a high-rise. And it's all right in Alexandria, close to the places you need to be and want to go. From the contemporary stylings of your home, to the unmatched comforts including elevator access, to the Duke Street location, life is at its best when you're at The Point at Alexandria. Please call for an appointment today.",0.0,0.0
