pid,nunit,yearbuilt,yearren,lotsize,nstory
0,,,,,
1,,,,0.29,
2,,,,0.34,
3,144.0,1989.0,2007.0,,4.0
4,299.0,1963.0,,,5.0
5,92.0,1997.0,,,8.0
6,256.0,2013.0,,,5.0
7,456.0,1965.0,,,3.0
8,684.0,1960.0,,,3.0
9,72.0,1965.0,2014.0,,2.0
10,,,,,
11,,,,,
12,,,,,
13,,,,0.15,
14,,,,,
15,,,,,
16,213.0,1947.0,,,3.0
17,475.0,1965.0,,,4.0
18,134.0,1958.0,,,3.0
19,12.0,1958.0,,,2.0
20,229.0,2004.0,,,
21,1222.0,1973.0,,,15.0
22,201.0,2016.0,,,14.0
23,296.0,2012.0,,,8.0
24,360.0,2015.0,,,5.0
25,556.0,1991.0,,,4.0
26,326.0,1989.0,2009.0,,16.0
27,571.0,1975.0,,,10.0
28,532.0,1991.0,2004.0,,4.0
29,250.0,1988.0,,,16.0
30,569.0,1965.0,2012.0,,10.0
31,416.0,1986.0,,,3.0
32,422.0,1966.0,,,3.0
33,531.0,1950.0,2017.0,,9.0
34,358.0,1989.0,,,4.0
35,230.0,1965.0,,,9.0
36,492.0,2014.0,,,5.0
37,461.0,1966.0,2008.0,,4.0
38,505.0,2016.0,,,24.0
39,467.0,2007.0,,,4.0
40,332.0,1962.0,,,14.0
41,851.0,1968.0,,,3.0
42,937.0,1969.0,,,3.0
43,140.0,1964.0,,,16.0
44,2113.0,1940.0,1981.0,,3.0
45,189.0,1963.0,,,3.0
46,454.0,1989.0,,,13.0
47,405.0,1989.0,,,4.0
48,208.0,2012.0,,,6.0
49,996.0,1964.0,,,3.0
50,475.0,1960.0,,,3.0
51,809.0,1971.0,,,2.0
52,134.0,1960.0,,,3.0
53,445.0,1964.0,2007.0,,3.0
54,403.0,1962.0,,,3.0
55,183.0,2015.0,,,5.0
56,406.0,1996.0,,,5.0
57,588.0,2001.0,,,4.0
58,317.0,2003.0,,,4.0
59,233.0,1969.0,2005.0,,3.0
60,350.0,1968.0,,,17.0
61,344.0,1966.0,,,3.0
62,319.0,1976.0,,,3.0
63,136.0,2008.0,,,8.0
64,285.0,2003.0,,,4.0
65,165.0,2015.0,,,10.0
66,276.0,2014.0,,,5.0
67,175.0,2014.0,,,5.0
68,250.0,2014.0,,,4.0
69,460.0,1997.0,,,4.0
70,74.0,2008.0,,,3.0
71,280.0,2008.0,,,5.0
72,103.0,1975.0,2006.0,,15.0
73,294.0,1988.0,,,4.0
74,463.0,1966.0,2017.0,,16.0
75,141.0,2010.0,,,4.0
76,1182.0,1972.0,,,4.0
77,554.0,1964.0,,,13.0
78,368.0,2007.0,,,25.0
79,328.0,2006.0,,,20.0
80,403.0,2001.0,,,16.0
81,481.0,1991.0,,,16.0
82,416.0,2011.0,,,4.0
83,396.0,1938.0,,,3.0
84,276.0,2007.0,,,16.0
85,458.0,1963.0,2001.0,,22.0
86,476.0,1963.0,,,3.0
87,175.0,1950.0,,,3.0
88,549.0,2007.0,,,11.0
89,189.0,2006.0,,,16.0
90,105.0,2007.0,,,4.0
91,201.0,1965.0,,,15.0
92,226.0,2001.0,,,4.0
93,360.0,2013.0,,,7.0
94,301.0,1948.0,,,3.0
95,197.0,1942.0,,,3.0
96,168.0,1967.0,,,3.0
97,155.0,1965.0,,,16.0
98,340.0,1966.0,,,3.0
99,310.0,1958.0,,,2.0
100,219.0,1968.0,,,3.0
101,1921.0,1963.0,,,16.0
102,727.0,1963.0,,,3.0
103,122.0,1965.0,,,3.0
104,244.0,1978.0,,,6.0
105,684.0,1969.0,,,3.0
106,357.0,1975.0,,,16.0
107,1388.0,1974.0,,,3.0
108,296.0,1960.0,,,3.0
109,414.0,2009.0,,,6.0
110,395.0,1988.0,2007.0,,13.0
111,360.0,1995.0,,,4.0
112,442.0,1965.0,,,3.0
113,168.0,1965.0,,,3.0
114,207.0,1974.0,,,18.0
115,323.0,2014.0,,,5.0
116,712.0,1964.0,,,3.0
117,119.0,1964.0,,,3.0
118,165.0,1963.0,2013.0,,5.0
119,102.0,1950.0,,,3.0
120,180.0,1973.0,,,3.0
121,210.0,1975.0,,,14.0
122,217.0,1954.0,,,3.0
123,175.0,1985.0,,,3.0
124,300.0,1990.0,,,3.0
125,149.0,1974.0,,,14.0
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,25.0,2015.0,,,5.0
160,258.0,1955.0,,,3.0
161,230.0,1973.0,,,10.0
162,248.0,1988.0,,,3.0
163,306.0,1962.0,,,4.0
164,310.0,1965.0,,,3.0
165,253.0,2015.0,,,6.0
166,216.0,1986.0,,,3.0
167,,,,,
168,,,,,
169,,,,0.04,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,0.39,
178,,,,,
179,,,,,
180,,,,0.03,
181,,,,,
182,,,,,
183,,,,0.8,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,0.06,
193,,,,0.04,
194,,,,0.04,
195,,,,0.4,
196,,,,0.03,
197,,,,0.04,
198,,,,,
199,,,,0.06,
200,,,,0.14,
201,,,,0.03,
202,,,,,
203,,,,0.04,
204,,,,0.01,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,0.04,
210,,,,0.2,
211,,,,,
212,,,,0.42,
213,,,,0.29,
214,,,,0.04,
215,,,,,
216,,,,,
217,,,,1.0,
218,,,,,
219,,,,0.02,
220,,,,0.07,
221,,,,0.02,
222,,,,,
223,,,,0.02,
224,,,,0.03,
225,,,,,
226,,,,0.12,
227,,,,,
228,,,,,
229,,,,0.02,
230,,,,,
231,,,,0.03,
232,,,,0.03,
233,,,,0.05,
234,,,,0.1,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,0.06,
241,,,,0.04,
242,,,,,
243,,,,0.58,
244,,,,0.06,
245,,,,,
246,,,,0.05,
247,,,,0.04,
248,,,,,
249,,,,0.04,
250,,,,,
251,,,,,
252,,,,0.04,
253,,,,0.11,
254,,,,,
255,,,,,
256,,,,0.06,
257,,,,,
258,,,,,
259,,,,0.15,
260,,,,0.04,
261,,,,,
262,,,,0.05,
263,,,,0.03,
264,,,,0.05,
265,,,,0.13,
266,,,,0.02,
267,,,,0.04,
268,,,,0.06,
269,,,,,
270,,,,0.03,
271,,,,,
272,,,,,
273,,,,0.03,
274,,,,,
275,,,,0.4,
276,,,,0.17,
277,,,,0.13,
278,,,,,
279,,,,0.02,
280,,,,0.06,
281,,,,0.03,
282,,,,,
283,,,,,
284,,,,,
285,,,,0.03,
286,,,,0.43,
287,,,,,
288,,,,,
289,,,,0.33,
290,,,,0.04,
291,,,,0.03,
292,,,,0.03,
293,,,,,
294,,,,,
295,,,,0.46,
296,,,,,
297,,,,,
298,,,,0.05,
299,,,,0.03,
300,,,,0.03,
301,,,,0.07,
302,,,,,
303,,,,0.03,
304,,,,,
305,,,,0.04,
306,,,,0.02,
307,,,,0.5,
308,,,,0.03,
309,,,,,
310,,,,0.11,
311,,,,,
312,,,,0.25,
313,,,,0.1,
314,,,,0.09,
315,,,,,
316,,,,,
317,,,,,
318,,,,0.18,
319,,,,,
320,,,,0.03,
321,,,,0.54,
322,,,,,
323,,,,,
324,,,,0.03,
325,,,,0.06,
326,,,,0.04,
327,,,,0.04,
328,,,,,
329,,,,,
330,,,,0.29,
331,,,,,
332,,,,,
333,,,,,
334,,,,0.06,
335,,,,0.04,
