pid,type
0,Unknown
1,House
2,House
3,Apartment
4,Apartment
5,Apartment
6,Apartment
7,Apartment
8,Apartment
9,Apartment
10,Condo
11,Condo
12,Unknown
13,House
14,Condo
15,House
16,Apartment
17,Apartment
18,Apartment
19,Apartment
20,Apartment
21,Apartment
22,Apartment
23,Apartment
24,Apartment
25,Apartment
26,Apartment
27,Apartment
28,Apartment
29,Apartment
30,Apartment
31,Apartment
32,Apartment
33,Apartment
34,Apartment
35,Apartment
36,Apartment
37,Apartment
38,Apartment
39,Apartment
40,Apartment
41,Apartment
42,Apartment
43,Apartment
44,Apartment
45,Apartment
46,Apartment
47,Apartment
48,Apartment
49,Apartment
50,Apartment
51,Apartment
52,Apartment
53,Apartment
54,Apartment
55,Apartment
56,Apartment
57,Apartment
58,Apartment
59,Apartment
60,Apartment
61,Apartment
62,Apartment
63,Apartment
64,Apartment
65,Apartment
66,Apartment
67,Apartment
68,Apartment
69,Apartment
70,Apartment
71,Apartment
72,Apartment
73,Apartment
74,Apartment
75,Apartment
76,Apartment
77,Apartment
78,Apartment
79,Apartment
80,Apartment
81,Apartment
82,Apartment
83,Apartment
84,Apartment
85,Apartment
86,Apartment
87,Apartment
88,Apartment
89,Apartment
90,Apartment
91,Apartment
92,Apartment
93,Apartment
94,Apartment
95,Apartment
96,Apartment
97,Apartment
98,Apartment
99,Apartment
100,Apartment
101,Apartment
102,Apartment
103,Apartment
104,Apartment
105,Apartment
106,Apartment
107,Apartment
108,Apartment
109,Apartment
110,Apartment
111,Apartment
112,Apartment
113,Apartment
114,Apartment
115,Apartment
116,Apartment
117,Apartment
118,Apartment
119,Apartment
120,Apartment
121,Apartment
122,Apartment
123,Apartment
124,Apartment
125,Apartment
126,House
127,Condo
128,House
129,House
130,Condo
131,Condo
132,Townhome
133,Condo
134,Condo
135,Condo
136,Condo
137,Condo
138,Townhome
139,Condo
140,Condo
141,Condo
142,Unknown
143,Unknown
144,Condo
145,House
146,Townhome
147,Condo
148,Townhome
149,Unknown
150,Unknown
151,Unknown
152,Unknown
153,Condo
154,Townhome
155,Condo
156,Unknown
157,Condo
158,Condo
159,Apartment
160,Apartment
161,Apartment
162,Apartment
163,Apartment
164,Apartment
165,Apartment
166,Apartment
167,Condo
168,Condo
169,Townhome
170,Condo
171,Condo
172,Condo
173,Condo
174,Condo
175,Condo
176,Condo
177,House
178,Condo
179,Condo
180,Townhome
181,Condo
182,Condo
183,House
184,Condo
185,Condo
186,Condo
187,Condo
188,Condo
189,Condo
190,Condo
191,Condo
192,Townhome
193,Townhome
194,Townhome
195,House
196,House
197,Townhome
198,Condo
199,Townhome
200,House
201,Townhome
202,Condo
203,Townhome
204,Townhome
205,Townhome
206,Condo
207,Condo
208,Condo
209,Townhome
210,House
211,Condo
212,House
