pid,station,distance,time
0,None,,
1,None,,
10,None,,
100,None,,
1000,Rosslyn,0.7,3.0
1000,Court House,1.1,3.0
1000,Arlington Cemetery,1.4,4.0
1000,Clarendon,1.8,4.0
1000,Foggy Bottom-GWU,2.1,8.0
1001,None,,
1002,None,,
1003,Pentagon City,0.4,2.0
1003,Crystal City,0.6,2.0
1003,Pentagon,0.7,5.0
1003,Ronald Reagan Washington National Airport,2.0,7.0
1003,Arlington Cemetery,2.6,5.0
1004,Court House,0.5,2.0
1004,Rosslyn,1.0,2.0
1004,Clarendon,1.2,4.0
1004,Virginia Square-GMU,1.9,6.0
1004,Arlington Cemetery,1.9,4.0
1005,Crystal City,1.2,4.0
1005,Ronald Reagan Washington National Airport,1.6,5.0
1005,Pentagon City,2.0,7.0
1005,Braddock Road,2.5,8.0
1005,Pentagon,3.4,8.0
1006,Rosslyn,0.7,3.0
1006,Court House,1.1,3.0
1006,Arlington Cemetery,1.4,4.0
1006,Clarendon,1.8,4.0
1006,Foggy Bottom-GWU,2.1,8.0
1007,Ballston-MU,0.9,5.0
1007,Virginia Square-GMU,1.0,5.0
1007,Clarendon,1.4,7.0
1008,None,,
1009,Virginia Square-GMU,0.1,1.0
1009,Ballston-MU,0.4,1.0
1009,Clarendon,0.7,2.0
1009,Court House,1.3,4.0
101,None,,
1010,None,,
1011,None,,
1012,None,,
1013,Court House,0.3,1.0
1013,Clarendon,1.0,3.0
1013,Rosslyn,1.0,3.0
1013,Virginia Square-GMU,1.4,4.0
1013,Ballston-MU,1.8,5.0
1014,None,,
1015,None,,
1016,Virginia Square-GMU,0.3,1.0
1016,Ballston-MU,0.7,2.0
1016,Clarendon,0.8,3.0
1016,Court House,1.4,5.0
1017,None,,
1018,Virginia Square-GMU,0.3,1.0
1018,Ballston-MU,0.3,1.0
1018,Clarendon,0.9,3.0
1018,Court House,1.5,5.0
1019,None,,
102,Huntington,2.2,7.0
102,Eisenhower Avenue,2.9,8.0
1020,None,,
1021,None,,
1022,None,,
1023,None,,
1024,None,,
1025,Virginia Square-GMU,0.2,1.0
1025,Ballston-MU,0.5,2.0
1025,Clarendon,0.6,2.0
1025,Court House,1.3,5.0
1026,Virginia Square-GMU,0.3,1.0
1026,Ballston-MU,0.3,1.0
1026,Clarendon,0.9,3.0
1026,Court House,1.5,5.0
1027,Court House,0.3,1.0
1027,Rosslyn,1.0,3.0
1027,Clarendon,1.3,4.0
1027,Virginia Square-GMU,1.6,5.0
1027,Arlington Cemetery,1.8,3.0
1028,Court House,0.2,1.0
1028,Clarendon,0.8,3.0
1028,Virginia Square-GMU,1.4,5.0
1028,Rosslyn,1.5,4.0
1028,Ballston-MU,1.8,6.0
1029,Pentagon City,1.3,3.0
1029,Crystal City,2.1,5.0
1029,Pentagon,3.1,5.0
1029,Arlington Cemetery,3.8,5.0
1029,Ronald Reagan Washington National Airport,4.2,7.0
103,None,,
1030,Court House,0.5,1.0
1030,Clarendon,0.7,2.0
1030,Virginia Square-GMU,1.1,4.0
1030,Ballston-MU,1.5,5.0
1030,Rosslyn,1.7,5.0
1031,Rosslyn,0.6,3.0
1031,Court House,1.0,3.0
1031,Arlington Cemetery,1.4,4.0
1031,Clarendon,1.8,4.0
1031,Foggy Bottom-GWU,2.1,7.0
1032,Court House,0.5,2.0
1032,Rosslyn,1.0,4.0
1032,Clarendon,1.1,4.0
1032,Virginia Square-GMU,1.5,5.0
1032,Arlington Cemetery,1.9,4.0
1033,Ballston-MU,0.0,1.0
1033,Virginia Square-GMU,0.7,2.0
1033,Clarendon,1.2,4.0
1033,Court House,1.9,7.0
1034,None,,
1035,None,,
1036,Clarendon,0.3,2.0
1036,Court House,0.7,2.0
1036,Virginia Square-GMU,1.0,3.0
1036,Ballston-MU,1.4,4.0
1036,Rosslyn,1.9,5.0
1037,None,,
1038,None,,
1039,None,,
104,King Street,0.9,6.0
104,Braddock Road,1.4,6.0
104,Eisenhower Avenue,2.2,5.0
104,Huntington,2.8,7.0
1040,Court House,0.6,2.0
1040,Rosslyn,1.0,3.0
1040,Clarendon,1.6,4.0
1040,Arlington Cemetery,1.6,3.0
1040,Virginia Square-GMU,2.0,6.0
1041,None,,
1042,None,,
1043,None,,
1044,None,,
1045,None,,
1046,Court House,0.4,1.0
1046,Rosslyn,1.1,4.0
1046,Clarendon,1.2,4.0
1046,Virginia Square-GMU,1.6,6.0
1046,Arlington Cemetery,1.9,4.0
1047,Ballston-MU,0.7,3.0
1047,Virginia Square-GMU,0.9,3.0
1047,Clarendon,1.3,5.0
1047,Court House,1.9,8.0
1048,Pentagon City,1.7,4.0
1048,Crystal City,2.4,7.0
1048,Virginia Square-GMU,2.5,8.0
1048,Clarendon,2.7,7.0
1048,Arlington Cemetery,2.9,6.0
1049,None,,
105,Van Dorn Street,3.3,9.0
1050,None,,
1051,None,,
1052,Ballston-MU,0.4,2.0
1052,Virginia Square-GMU,0.8,3.0
1052,Clarendon,1.3,5.0
1052,Court House,2.0,8.0
1053,None,,
1054,Ballston-MU,3.0,10.0
1055,None,,
1056,Ballston-MU,2.8,9.0
1057,Rosslyn,0.6,1.0
