pid,beds,baths,minrent,maxrent,minsqft,maxsqft
0,2.0,1.0,1300.0,1300.0,1500.0,1500.0
1,4.0,5.0,3000.0,3000.0,,
2,4.0,4.0,3000.0,3000.0,,
3,1.0,1.0,1415.0,1470.0,725.0,725.0
3,1.0,1.0,1470.0,1470.0,725.0,725.0
3,1.0,1.0,1415.0,1415.0,725.0,725.0
3,1.0,1.0,1592.0,1592.0,725.0,725.0
3,2.0,1.0,1675.0,1695.0,950.0,950.0
3,2.0,2.0,1775.0,1800.0,1000.0,1000.0
3,2.0,2.0,1775.0,1775.0,1000.0,1000.0
4,1.0,1.0,1125.0,1210.0,610.0,610.0
4,1.0,1.0,1125.0,1210.0,610.0,610.0
4,2.0,1.0,1475.0,1475.0,856.0,856.0
4,2.0,1.0,1475.0,1475.0,856.0,856.0
4,2.0,1.0,1490.0,1490.0,893.0,893.0
4,2.0,1.5,1510.0,1510.0,1000.0,1000.0
4,2.0,1.5,1510.0,1510.0,1000.0,1000.0
4,3.0,1.5,1755.0,1755.0,1099.0,1099.0
5,1.0,1.0,1420.0,1420.0,769.0,769.0
5,1.0,1.0,1650.0,1660.0,1012.0,1012.0
6,1.0,1.0,,,625.0,625.0
6,1.0,1.0,,,683.0,683.0
6,1.0,1.0,,,830.0,830.0
6,1.0,1.0,,,910.0,910.0
6,1.0,1.0,,,945.0,945.0
6,2.0,1.0,,,1010.0,1010.0
6,2.0,2.0,,,1209.0,1209.0
6,2.0,2.0,,,1215.0,1215.0
6,2.0,2.0,,,1256.0,1256.0
6,2.0,2.0,,,1265.0,1265.0
6,2.0,2.0,,,1275.0,1275.0
6,2.0,2.0,,,1075.0,1075.0
6,2.0,2.0,,,1115.0,1115.0
6,2.0,2.0,,,1148.0,1148.0
6,2.0,2.0,,,1300.0,1300.0
7,0.0,1.0,,,478.0,478.0
7,1.0,1.0,975.0,1085.0,508.0,508.0
7,1.0,1.0,1010.0,1010.0,508.0,508.0
7,1.0,1.0,1010.0,1010.0,508.0,508.0
7,1.0,1.0,,,655.0,655.0
7,2.0,1.0,1220.0,1390.0,478.0,478.0
7,2.0,1.0,1220.0,1220.0,655.0,655.0
7,2.0,1.0,,,807.0,807.0
7,3.0,1.0,,,929.0,929.0
8,0.0,1.0,1045.0,1045.0,450.0,450.0
8,0.0,1.0,1045.0,1045.0,450.0,450.0
8,0.0,1.0,1045.0,1045.0,450.0,450.0
8,0.0,1.0,1045.0,1045.0,450.0,450.0
8,1.0,1.0,1075.0,1090.0,727.0,727.0
8,1.0,1.0,1090.0,1090.0,727.0,727.0
8,1.0,1.0,1090.0,1090.0,727.0,727.0
8,1.0,1.0,1090.0,1090.0,727.0,727.0
8,1.0,1.0,1090.0,1090.0,674.0,674.0
8,1.0,1.0,1090.0,1090.0,674.0,674.0
8,1.0,1.0,1090.0,1090.0,727.0,727.0
8,1.0,1.0,1090.0,1090.0,727.0,727.0
8,1.0,1.0,,,778.0,778.0
8,2.0,1.0,1290.0,1335.0,900.0,900.0
8,2.0,1.0,1335.0,1335.0,900.0,900.0
8,2.0,1.0,1335.0,1335.0,900.0,900.0
8,2.0,1.0,1335.0,1335.0,900.0,900.0
8,2.0,1.0,1335.0,1335.0,900.0,900.0
8,2.0,1.0,1425.0,1425.0,827.0,827.0
8,2.0,1.0,1425.0,1425.0,827.0,827.0
8,2.0,1.0,1425.0,1425.0,827.0,827.0
8,2.0,1.0,1335.0,1335.0,900.0,900.0
8,2.0,1.0,1425.0,1425.0,827.0,827.0
8,2.0,1.0,1425.0,1425.0,1055.0,1055.0
8,2.0,1.0,1425.0,1425.0,1055.0,1055.0
8,2.0,1.0,,,929.0,929.0
8,3.0,1.0,1655.0,1655.0,1082.0,1082.0
8,3.0,1.0,1655.0,1655.0,1082.0,1082.0
8,3.0,1.0,1655.0,1655.0,1082.0,1082.0
8,3.0,1.0,1655.0,1655.0,1082.0,1082.0
8,3.0,1.0,1655.0,1655.0,1082.0,1082.0
8,3.0,1.0,1655.0,1655.0,1082.0,1082.0
8,3.0,1.0,,,929.0,929.0
9,1.0,1.0,1285.0,1285.0,681.0,681.0
9,2.0,1.0,1495.0,1495.0,920.0,920.0
9,2.0,1.0,1520.0,1520.0,940.0,940.0
9,2.0,1.0,1560.0,1560.0,1031.0,1031.0
10,1.0,1.0,990.0,990.0,535.0,535.0
11,1.0,1.0,1400.0,1400.0,872.0,872.0
12,2.0,2.0,1500.0,1500.0,,
13,8.0,3.0,700.0,700.0,,
14,2.0,2.0,1500.0,1500.0,1111.0,1111.0
15,2.0,1.0,1495.0,1495.0,893.0,893.0
16,1.0,1.0,1145.0,1145.0,700.0,700.0
16,2.0,1.0,1395.0,1395.0,900.0,900.0
16,2.0,1.0,1550.0,1550.0,1010.0,1010.0
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,0.0,1.0,1330.0,1421.0,530.0,530.0
21,0.0,1.0,1330.0,1330.0,530.0,530.0
21,0.0,1.0,1470.0,1725.0,530.0,530.0
21,0.0,1.0,1470.0,1470.0,530.0,530.0
21,0.0,1.0,1240.0,1511.0,500.0,500.0
21,0.0,1.0,1240.0,1240.0,500.0,500.0
21,0.0,1.0,1275.0,1505.0,575.0,575.0
21,0.0,1.0,1275.0,1275.0,575.0,575.0
21,0.0,1.0,1280.0,1280.0,500.0,500.0
21,0.0,1.0,1167.0,1359.0,575.0,575.0
21,0.0,1.0,1256.0,1521.0,300.0,300.0
21,1.0,1.0,1310.0,1571.0,800.0,800.0
21,1.0,1.0,1454.0,1454.0,800.0,800.0
21,1.0,1.0,1428.0,1910.0,800.0,800.0
21,1.0,1.0,1428.0,1428.0,800.0,800.0
21,1.0,1.0,1525.0,1525.0,800.0,800.0
21,1.0,1.0,1554.0,1873.0,800.0,800.0
21,1.0,1.0,1554.0,1554.0,800.0,800.0
