pid,distancetodc
0,18.71
1,17.64
2,16.31
3,7.63
4,7.42
5,7.38
6,7.1
7,6.26
8,7.76
9,7.54
10,7.51
11,7.62
12,7.67
13,6.96
14,7.51
15,7.64
16,5.51
17,6.9
18,5.22
19,7.83
20,7.67
21,8.06
22,6.07
23,9.84
24,7.87
25,11.39
26,6.14
27,6.26
28,7.98
29,8.64
30,8.48
31,4.75
32,8.85
33,7.97
34,11.55
35,8.16
36,8.75
37,6.61
38,7.6
39,9.92
40,5.24
41,8.41
42,6.23
43,8.41
44,7.45
45,7.99
46,8.3
47,8.06
48,6.61
49,7.43
50,7.36
51,7.18
52,9.81
53,9.7
54,7.52
55,5.84
56,7.2
57,4.84
58,7.65
59,8.93
60,5.25
61,8.6
62,11.83
63,8.23
64,9.58
65,6.44
66,6.04
67,6.56
68,8.84
69,7.57
70,7.67
71,7.61
72,8.33
73,11.83
74,6.58
75,5.25
76,8.25
77,6.81
78,7.52
79,7.51
80,7.32
81,13.99
82,8.37
83,4.74
84,6.0
85,7.96
86,7.72
87,6.0
88,7.38
89,6.04
90,8.62
91,4.65
92,8.61
93,6.46
94,4.98
95,7.66
96,12.4
97,8.42
98,10.53
99,7.6
100,13.29
101,6.59
102,9.5
103,6.59
104,7.37
105,8.56
106,8.12
107,10.72
108,6.95
109,5.9
110,8.56
111,9.62
112,9.02
113,10.29
114,8.9
115,5.28
116,10.55
117,13.1
118,4.7
119,6.08
120,12.91
121,8.45
122,5.04
123,13.97
124,6.74
125,7.85
126,9.41
127,7.39
128,13.16
129,8.7
130,7.91
131,6.7
132,8.24
133,7.6
134,6.15
135,13.6
136,7.12
137,6.04
138,6.61
139,5.79
140,8.13
141,7.06
142,5.49
143,5.48
144,7.08
145,8.32
146,12.22
147,6.43
148,7.29
149,7.4
150,7.4
151,7.39
152,5.61
153,9.98
154,12.83
155,5.86
156,7.14
157,6.4
158,8.26
159,6.71
160,6.19
161,8.51
162,13.67
163,7.5
164,7.93
165,5.26
166,13.47
167,7.12
168,9.31
169,6.77
170,5.36
171,8.14
172,7.58
173,5.26
174,7.25
175,5.96
176,8.38
177,11.6
178,7.89
179,8.06
180,8.44
181,11.57
182,12.41
183,11.38
184,9.43
185,9.38
186,7.8
187,8.19
188,5.04
189,9.97
190,8.72
191,7.89
192,6.43
193,9.86
194,6.4
195,10.74
196,11.38
197,5.22
198,8.15
199,10.5
200,8.82
201,8.92
202,6.61
203,8.17
204,6.14
205,6.74
206,9.36
207,9.24
208,8.86
209,11.2
210,12.28
211,9.01
212,10.3
213,9.64
214,12.78
215,12.68
216,8.52
217,10.43
218,8.25
219,6.66
220,5.43
221,6.7
222,9.95
223,6.73
224,11.28
225,5.35
226,7.86
227,5.61
228,9.72
229,7.3
230,5.1
231,7.41
232,8.32
233,12.59
234,6.88
235,7.99
236,8.47
237,7.8
238,8.11
239,7.31
240,11.83
241,6.4
242,5.6
243,9.04
244,10.31
245,7.16
246,12.16
247,13.56
248,11.41
249,10.3
250,7.86
251,8.12
252,13.34
253,13.72
254,8.28
255,6.18
256,11.75
257,6.24
258,9.7
259,6.31
260,12.67
261,8.01
262,6.44
263,4.82
264,7.73
265,13.62
266,8.48
267,10.96
