geo_id,zip,geo_label,pop,pop_m,pop_f,pop_under_5,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_older,pop_median,m_median,f_median,pop_sex_ratio
8600000US20001,20001,ZCTA5 20001,43731,21018,22713,4,3,2,6,15,17,14,9,5,5,5,4,5,2,2,2,1,1,30.6,31.4,29.8,92.5
8600000US20002,20002,ZCTA5 20002,57412,27707,29705,6,4,3,4,8,15,12,9,7,6,6,6,5,3,3,1,1,1,34,33.5,34.4,93.3
8600000US20003,20003,ZCTA5 20003,28538,15194,13344,6,3,2,3,8,14,15,10,9,6,5,6,5,4,2,2,1,1,34.8,35.2,34.5,113.9
8600000US20004,20004,ZCTA5 20004,1667,882,785,4,1,1,0,2,14,13,12,14,6,8,3,8,7,4,0,1,2,41,44.1,39.4,112.4
8600000US20005,20005,ZCTA5 20005,12947,6920,6027,3,1,1,1,7,22,19,11,8,6,6,5,4,4,2,1,1,1,33.8,36.6,31.2,114.8
8600000US20006,20006,ZCTA5 20006,2905,1529,1376,0,0,0,44,34,11,3,2,1,0,0,1,0,0,2,1,0,1,20.6,21.1,20.3,111.1
8600000US20007,20007,ZCTA5 20007,26687,12302,14385,6,4,3,5,14,14,9,7,6,5,6,5,6,4,3,2,1,2,33.2,31.7,34.3,85.5
8600000US20008,20008,ZCTA5 20008,28141,12538,15603,4,4,2,2,6,14,14,9,7,5,6,5,5,6,4,3,2,3,37.1,39.9,35.3,80.4
8600000US20009,20009,ZCTA5 20009,51499,27211,24288,4,3,2,2,7,22,18,10,7,6,5,4,4,3,2,1,1,1,32.3,33.9,31.2,112
8600000US20010,20010,ZCTA5 20010,32544,16528,16016,8,4,3,3,7,19,13,9,6,6,5,3,4,3,2,1,1,1,32,32.5,31.3,103.2
8600000US20011,20011,ZCTA5 20011,66571,31925,34646,8,6,4,5,5,10,10,8,7,7,7,7,5,4,3,2,2,3,36.7,35.2,38,92.1
8600000US20012,20012,ZCTA5 20012,14393,6809,7584,7,5,4,4,6,8,6,6,7,8,8,8,7,6,4,3,3,3,44.6,44.2,44.8,89.8
8600000US20015,20015,ZCTA5 20015,16331,7831,8500,6,7,8,5,4,5,6,6,8,8,7,6,8,5,5,3,3,2,42.9,42.1,44.2,92.1
8600000US20016,20016,ZCTA5 20016,35101,15746,19355,6,6,4,11,10,5,5,6,7,7,6,6,6,5,4,3,2,2,38.5,36.7,39.5,81.4
8600000US20017,20017,ZCTA5 20017,19311,8786,10525,8,5,2,5,8,9,10,6,6,5,6,7,6,4,3,3,4,4,37.5,35.2,40.4,83.5
8600000US20018,20018,ZCTA5 20018,19957,8976,10981,9,5,4,6,7,7,6,8,6,6,6,8,5,4,4,3,3,3,38.3,35.5,41.2,81.7
