Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Riverside](https://www.apartments.com/riverside-alexandria-va/qwtm3wz/),571-858-9992,"[5860 Cameron Run Ter, Alexandria, VA 22303](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5860+Cameron+Run+Ter,+Alexandria,+VA+22303/data=!4m2!4m1!3e2)",800 Sq Ft,"$1,167 - 2,394","* Unassigned Surface Lot Parking: $15
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $450
* Dog Fee: $450","Dogs Allowed:
Breed Restrictions Apply 
* $50 Monthly Pet Rent
* $450 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $15
1890 spaces. we have reserved parking available.","* Fitness Center
* Fitness Programs
* Spa
* Pool
* Tennis Court
* Volleyball Court",,"* Individual Climate Control
* Quartz Counter Tops","* High Speed Internet Access
* Smoke Free",,6-15 months,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Maintenance on site
* Bilingual
* Courtesy Patrol
* On-Site ATM
* Recycling
* Guest Apartment
* Car Wash Area","* Built in 1973
* 1222 Units/15 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space",* Lake Access,,"Close to everything and right on the Potomac river, Riverside is your bridge to all that Alexandria's Huntington neighborhood has to offer. This community offers an array of apartment finishes including brand new, remodeled homes with quartz counter tops, and luxe wood plank flooring. Choose from stunning Riverside views that will make your home along the Potomac your oasis. You'll enjoy living within walking distance to the Huntington Metro, a bike ride away from Old Town Alexandria, our complimentary shuttle service, and easy access to the I-495 on ramp."
[e-lofts](https://www.apartments.com/e-lofts-alexandria-va/8w1ctj3/),844-469-4454,"[4501 Ford Ave, Alexandria, VA 22302](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4501+Ford+Ave,+Alexandria,+VA+22302/data=!4m2!4m1!3e2)",632 Sq Ft,"$1,565 - 2,995","* Unassigned Garage Parking: $100
* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,Covered and Other,"* Fitness Center
* Bike Storage
* Media Center/Movie Theatre",,"* CeilingFan
* Individual Climate Control
* Large Closets
* Quartz Counter Tops
* WIRE Certified","* High Speed Internet Access
* Smoke Free",,"8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months","* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Recycling
* Energy Star Certified
* Guest Apartment
* Pet Care
* Pet Washing Station","* Built in 2016
* 201 Units/14 Stories","* Elevator
* Clubhouse
* Storage Space
* Conference Room","* Gated
* Sundeck",,"When the line between home and work blurs, modern life demands a seamless solution. e-lofts is an unprecedented community of sophisticated, luxury lofts that are easily configured for use as home, office?or both. Flaunt your savvy side with unparalleled flexibility that will take you from conference calls and client meetings to date nights and dinner parties. Stimulate your sense of adventure with open floor plans and an abundance of natural light. Surround yourself with premier commercial and residential amenities, while becoming part of a community of collaborators, customers and friends. In other words, get ahead of that ever-changing curve?and thrive here."
[The Beacon of Groveton](https://www.apartments.com/the-beacon-of-groveton-alexandria-va/vvfe9be/),703-650-9051,"[6870 Richmond Hwy, Alexandria, VA 22306](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6870+Richmond+Hwy,+Alexandria,+VA+22306/data=!4m2!4m1!3e2)",688 Sq Ft,"$1,456 - 6,238","* Storage Fee: $50
* Unassigned Garage Parking: $50
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $200
* Admin Fee: $200
* Application Fee: $50
* Cat Deposit: $500
* Dog Deposit: $500","Dogs Allowed:
Akita American Bulldog Anatolian Shepherd Australian Cattledog Beauceron Belgian Shepherd Bernese Mountain Dog Black Russian Terrier Black Terrier Chornyi Cane Corso Catahoula Leopard Dog Chinese Shar Pei Chow Chow Doberman Pinscher Dogue De Brodeaux Bulldog German Shepard Great Dane Great Pyranees Husky Jindo Dog Kuvasz Malamute Mastiff Pit Bull Presa Canario Rhodesian Ridgeback African Lion Hound Rottweiler St. Bernard Tosa Inu Wolf Wolf-Dog Hybrid N/A 
* $500 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Free Weights
* Pool
* Bike Storage
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Microwave","* Courtyard with Outdoor Gas Grills
* Crown Molding
* Double Shower-heads
* Fire Pits
* Free Shuttle to Metro
* Glass Panel Walk-in Showers
* Individual Climate Control
* Juliet Balconies
* Large Closets
* Relaxing Soaking Tubs
* Tile Backsplash in Kitchen
* Upgraded Retro Lighting Fixtures","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Smoke Free
* Cable Ready","* Walk-In Closets
* Window Coverings",6-15,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Courtesy Patrol
* Furnished Units Available
* Recycling
* Energy Star Certified
* Guest Apartment
* Pet Care","* Built in 2012
* 296 Units/8 Stories
* Furnished","* Elevator
* Clubhouse
* Storage Space","* Gated
* Sundeck
* Courtyard",,"The Beacon of Groveton features distinctive amenities for your comfort and luxe studio, 1 and 2 bedroom apartments in Alexandria, VA. Head outside to find shopping, dining and every convenience at your doorstep or hop on the complimentary metro shuttle to explore Old Town Alexandria and all the DC Metro area has to offer."
[The Parker](https://www.apartments.com/the-parker-alexandria-va/ln1vk8g/),844-279-4269,"[2550 Huntington Ave, Alexandria, VA 22303](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2550+Huntington+Ave,+Alexandria,+VA+22303/data=!4m2!4m1!3e2)",665 Sq Ft,"$1,675 - 2,900","* Unassigned Garage Parking: $75 - 100
* Cat Rent: $60
* Dog Rent: $60","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
Bozzuto Breed Restrictions Bozzuto Away From Home Pet Services 
* $60 Monthly Pet Rent
* $250 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Covered
Parking Available","* Fitness Center
* Fitness Programs
* Cardio Machines
* Pool
* Bike Storage
* Gaming Stations
* Media Center/Movie Theatre","* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Refrigerator","* Controlled Access Entry
* Dog Run
* Individual Climate Control
* Large Closets
* Linen Closets
* Quartz Counter Tops
* Two Courtyards with Grills and Outdoor TVs
* Virtual Simulation Room","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Satellite TV
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Walk-In Closets
* Linen Closet
* Window Coverings",,"* Package Service
* Community-Wide WiFi
* Controlled Access
* Maintenance on site
* Bilingual
* 24 Hour Availability
* On-Site ATM
* Recycling
* Online Services
* Energy Star Certified
* Guest Apartment
* Pet Care
* Pet Play Area
* Pet Washing Station
* Car Charging Station","* Built in 2015
* 360 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge","* Gated
* Sundeck
* Courtyard
* Grill",,"Luxury has never been so inspiring. At The Parker, distinctive features and one-of-a-kind amenities make it hard to leave home. But if you do head out, this brand new community is located less than 90 feet from the Huntington Metro Stop, which services Metro?s Yellow Line and offers residents quick, convenient access to downtown Washington, D.C., the Pentagon, Reagan National Airport and access to the Rosslyn?Ballston Corridor. The Virginia Railway Express and Amtrak are also one stop from the King Street Metro station. Leasing May 2015."
[Sussex At Kingstowne](https://www.apartments.com/sussex-at-kingstowne-alexandria-va/rlnq0n2/),844-269-0829,"[6050 Edgeware Ln, Alexandria, VA 22315](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6050+Edgeware+Ln,+Alexandria,+VA+22315/data=!4m2!4m1!3e2)",821 Sq Ft,"$1,535 - 2,491","* Cat Rent: $100
* Dog Rent: $100","* Admin Fee: $400
* Application Fee: $75
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is no pet deposit, but we have a pet fee of $300 due at the time of moving in. Pet rent is at $50 per pet. Breed restrictions apply. Please contact leasing our office for complete pet policy details. 
* $100 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,Covered,* Playground,"* Disposal
* Microwave
* Range
* Refrigerator","* 2 Relaxing Pools
* 24/7 Access to Fitness
* 24hr. Emergency maintenance
* Air conditioning - central air
* Bark Park
* Business center with equipment
* Close to Blue Line Metro
* Close to Kingstowne Town Center & Springfield ...
* Close to Kingstowne Town Center & Springfield Town Center
* Fire sprinkler system
* High-speed internet in area
* Inviting Clubhouse
* Lifeguard on duty
* Media room/theater
* One & Two bedroom apartment homes
* Outdoor Kitchen
* Pet Friendly
* Poolside BBQ Grilling Area
* Sand Volleyball & Tennis Courts
* Storage Spaces Available","* High Speed Internet Access
* Washer/Dryer Hookup
* Heating","* Walk-In Closets
* Window Coverings",Variable,,"* Built in 1991
* 556 Units/4 Stories",* Clubhouse,,,"Discover an easier way of living at Sussex at Kingstowne. Our garden style apartments in Alexandria, VA, are here to welcome you home. Choose from one and two bedroom apartments for rent close to schools, parks, and employers. We also allow pets! Contact us today to learn more about our pet policy."
[Avana Alexandria](https://www.apartments.com/avana-alexandria-alexandria-va/zkrr58w/),571-303-0335,"[3001 Park Center Dr, Alexandria, VA 22302](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3001+Park+Center+Dr,+Alexandria,+VA+22302/data=!4m2!4m1!3e2)",850 Sq Ft,"$1,366 - 5,757","* Unassigned Surface Lot Parking: $25 - 100
* Assigned Covered Parking: $100
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
We welcome 2 pets per apartment home. There is a $350 non-refundable fee for each pet. Pet rent is $40 per pet monthly. There is a weight limit of 50 pounds per pet and aggressive breeds are prohibited. We welcome 2 pets per apartment home. There is a $350 non-refundable fee for each pet. Pet rent is $50 per pet monthly. There is a weight limit of 75 pounds per pet and aggressive breeds are prohibited. 
* $50 Monthly Pet Rent
* $350 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $25 - 100
Unreserved parking is $25 monthly and Reserved parking is $50-$100","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Bike Storage
* Tennis Court
* Gameroom","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Refrigerator","* Bike Repair Room
* Concierge Package Receiving
* Conference Room
* Controlled Access
* Disability Access
* Dog Park
* Dry Cleaning Service Pick Up/Drop Off
* Outdoor Pool with Sundeck
* Bay Window","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Sprinkler System","* Hardwood Floors
* Carpet
* Bay Window
* Views
* Walk-In Closets
* Window Coverings",Variable,"* Package Service
* Maintenance on site
* Concierge
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* Pet Play Area","* Built in 1989
* Renovated in Jan 2009
* 326 Units/16 Stories","* Elevator
* Business Center
* Clubhouse","* Gated
* Sundeck
* Cabana",,"Some locations are so ideal, they confer VIP status by virtue of their address. Avana Alexandria is within easy reach of the ultimate in high-end shopping, upscale dining, hot-spot nightlife and the latest entertainment selections. Find it all around, from downtown Washington DC, Old Town Alexandria, and The Village at Shirlington to desirable Arlington neighborhoods such as Clarendon, Rosslyn, Ballston, Pentagon City, and Crystal City. Even National Harbor, an ever-evolving waterfront destination, is close by. With instant access to I-395 and an address minutes from the Metros Yellow and Blue lines, getting to any destination is as easy as a few minutes drive and everything is at your fingertips."
[BLVD2801](https://www.apartments.com/blvd2801-alexandria-va/24k3c79/),703-997-9441,"[2801 Park Center Dr, Alexandria, VA 22302](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2801+Park+Center+Dr,+Alexandria,+VA+22302/data=!4m2!4m1!3e2)",940 Sq Ft,"$1,414 - 2,584","* Trash Removal, Sewer: Included","* Admin Fee: $400
* Application Fee: $75","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* 2 Pet Limit",50,50,"Surface Lot
Parking Available",,,"* Apartments Near Metro With On-Site Shuttle To ...
* Apartments Near Metro With On-Site Shuttle To Pentagon City Metro
* Beautifully Landscaped Grounds
* Billiards Room
* Electronic Access Building
* Elegant Lobby With Internet Computer Bar
* High-Tech Business Center With Computer Bar ...
* High-Tech Business Center With Computer Bar And Internet
* On-site Dog Park
* Pet Friendly
* Residents Party Room And Lounge With ...
* Residents Party Room And Lounge With Fully-Equipped Kitchen
* Sparkling Swimming Pool With Spacious Sundeck
* state-of-the-art fitness center
* Theater Room",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 1975
* 571 Units/10 Stories",* Clubhouse,,,"At BLVD2801 you'll discover the best, most beautifully renovated apartments in Alexandria. They're large and they're right where you want to be, minutes from BRAC, Old Town Alexandria and the best of the DC region. Our wonderfully renovated resort-style amenities offer the perfect place to release the stress of the day and unwind. And when you crave the taste of urban life, boutique shops, casual restaurants and vibrant nightlife are just minutes away - with a free shuttle from our Alexandria VA apartments to the Pentagon City Metro when you want to venture even farther. Please call for an appointment today."
[The Point at Alexandria](https://www.apartments.com/the-point-at-alexandria-alexandria-va/qz1q4tx/),571-303-1688,"[205 Century Pl, Alexandria, VA 22304](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/205+Century+Pl,+Alexandria,+VA+22304/data=!4m2!4m1!3e2)",615 Sq Ft,"$1,567 - 2,281",* Trash Removal: Included,* Application Fee: $50,"Dogs and Cats Allowed:
Pets allowed. Call for details. 
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Basketball Court",,"* 24hr. Emergency Maintenance
* A short drive from Old Town Alexandria ...
* A short drive from Old Town Alexandria shopping, dining and nightlife
* Additional private storage available
* Car Care Facility
* Close to Reagan National Airport, Route 1, and ...
* Close to Reagan National Airport, Route 1, and I-395
* Complimentary coffee bar
* Controlled building access
* Fenced-in dog run
* Minutes to nearby parks, and the jobs and ...
* Minutes to nearby parks, and the jobs and attractions of Crystal City, Pentagon City and downtown DC
* NEW Complimentary Shuttle to Van Dorn Metro
* Pet Friendly
* Reserved garage parking with elevator access
* Sparkling swimming pool with inviting sundeck
* The Spot: Interactive Cyber Cafe
* Theater room with large screen",* High Speed Internet Access,,Variable,,"* Built in 1991
* Renovated in Jan 2004
* 532 Units/4 Stories","* Business Center
* Clubhouse",,,"You're not one to compromise. And that's just fine. At The Point at Alexandria, you'll find all the warm comforts of a garden-style apartment community with all the top-notch amenities of a high-rise. And it's all right in Alexandria, close to the places you need to be and want to go. From the contemporary stylings of your home, to the unmatched comforts including elevator access, to the Duke Street location, life is at its best when you're at The Point at Alexandria. Please call for an appointment today."
[Cascade at Landmark](https://www.apartments.com/cascade-at-landmark-alexandria-va/qq8eq0z/),571-384-2439,"[300 Yoakum Pky, Alexandria, VA 22304](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/300+Yoakum+Pky,+Alexandria,+VA+22304/data=!4m2!4m1!3e2)",730 Sq Ft,"$1,589 - 2,631","* Cat Rent: $35
* Dog Rent: $35","* Amenity Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed:
Call for Restrictions Additional $250 for 2nd pet. Pet rent can be up to $55 depending on weight. 
* $35 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Garage
Assigned Parking. Assigned garage parking available for $40 for the first space and $75 for each additional space.","* Fitness Center
* Tennis Court","* Dishwasher
* Ice Maker
* Stainless Steel Appliances
* Microwave
* Range
* Refrigerator","* Additional Storage Available
* Barbecue Grill & Picnic Area
* Complimentary Resident Social Activites
* Concierge Service
* Garage Parking Available
* On-site Management
* Pet-friendly Community
* Professionally Landscaped
* Reserved & Covered Parking Available
* Swimming Pool
* Valet Dry Cleaning Service
* Cable or Satellite TV Available
* Entry Closet
* Fully-equipped Kitchen
* High Speed Internet Access Available
* In Select Apartment Homes*
* Interior Upgrades Complete
* Linen Closet
* Stackable Washer & Dryer Included
* Wall-to-Wall Carpeting","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Ceiling Fans",,Variable,"* Controlled Access
* Maintenance on site
* On-Site ATM
* Recycling","* Built in 1988
* 250 Units/16 Stories","* Business Center
* Clubhouse",* Balcony,,"Join the growing community of Cascade at Landmark today in an exceptional one or two bedroom apartment home. Our Alexandria, VA apartments offer the comfort and convenience of apartment living in a location that puts the outdoors, great shopping and delicious dining all within your reach. If you enjoy spending time in nature, you will be happy to find numerous parks just moments from our community like Bren Mar Park, which offers picnic areas, playgrounds and a swimming pool. When you are in need of some retail therapy, you will be only minutes from the blue link of the Van Dorn Metro, Interstate 395 and Old Town Alexandria. Our area offers an array of great options for eating out. Our residents can relax next to our sparkling swimming pool, getting a workout in our fitness center complete with cardio and free weight equipment. We are a pet-friendly apartment community and our leasing center is open seven days a week for your convenience."
[Cityside at Huntington Metro](https://www.apartments.com/cityside-at-huntington-metro-alexandria-va/8bc7143/),877-527-4960,"[6034 Richmond Hwy, Alexandria, VA 22303](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6034+Richmond+Hwy,+Alexandria,+VA+22303/data=!4m2!4m1!3e2)",540 Sq Ft,"$1,125 - 2,385","* Assigned Surface Lot Parking: $35
* Assigned Covered Parking: $70
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $50 Monthly Pet Rent
* $500 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $35
1 space; Assigned Parking. Parking Available","* Fitness Center
* Playground",,"* Exclusive Walking Trail
* Grilling/ Picnic Area
* High Speed Internet Access
* Near Public Transit
* Swimming Pool/ Sundeck
* Tennis Court",* High Speed Internet Access,,"6 months,12 months","* Laundry Facilities
* Maintenance on site
* Pet Care","* Built in 1965
* Renovated in Apr 2012
* 569 Units/10 Stories",,,,"At CITYSIDE Huntington Metro Apartments, you'll find exceptionally redesigned Alexandria, VA apartment rentals available for immediate move-in and just moments from the Metro and surrounded by incredible shopping, dining and nightlife. These studio, 1, 2, and 3-bedroom apartments near Old Town Alexandria come in both tower and plaza residences and allow for truly comfortable living. From the contemporary style of these Alexandria, VA homes to the central tennis court perfect for a friendly game, CITYSIDE Huntington Metro Apartments has what you're looking for in a rental home. Live in completely renovated Alexandria Apartments. Homes now feature NEW kitchens, NEW bathrooms, NEW flooring, NEW appliances and other NEW designer touches. Updated amenities include a spectacular new rooftop fitness center complete with the most state-of-the-art equipment available (including individual TV's on each cardio machine), new landscaping, new lobbies, new hallways, a completely updated pool and ..."
