Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Spa Cove Apartments](https://www.apartments.com/spa-cove-apartments-annapolis-md/hh5kd10/),844-452-9991,"[1012 Primrose Rd, Annapolis, MD 21403](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1012+Primrose+Rd,+Annapolis,+MD+21403/data=!4m2!4m1!3e2)",780 Sq Ft,"$1,400 - 2,450","* Storage Fee: $45
* Cat Rent: $40
* Dog Rent: $40
* Gas, Heat, Trash Removal, Sewer: Included","* Application Fee: $45
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Pet deposit is refundable. Breed Restrictions 
* $300 Deposit
* $40 Monthly Pet Rent
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
2 spaces.","* Fitness Center
* Health Club Facility
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Bike Storage
* Basketball Court
* Tennis Court
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Billiards
* Boat slip rentals
* Central Air
* Free Parking
* Hiking/Biking Trails
* Kayak Rentals
* Kayak Storage
* Largest Bedrooms in the Area
* Private Marina
* Reserved Parking Available
* Water Taxi","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Storage Units
* Double Vanities
* Tub/Shower
* Fireplace
* Handrails","* Carpet
* Tile Floors
* Dining Room
* Family Room
* Office
* Recreation Room
* Den
* Built-In Bookshelves
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings
* Accent Walls",12 Month Lease Term,"* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Guest Apartment","* Built in 1966
* 178 Units/3 Stories","* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Breakfast/Coffee Concierge
* Storage Space
* Coffee Bar
* Conference Room
* Library","* Sundeck
* Courtyard
* Grill
* Picnic Area
* Waterfront
* Boat Docks",,"Get away from it all at Spa Cove! We offer an ideal location just 2 minutes from historic downtown Annapolis and a convenient 5-minute commute to Route 50 and I-97. Both Washington and Baltimore metro areas are convenient commutes. Our community is unique because we offer a beautiful park setting as well as incredible waterfront views. Enjoy living at our spacious waterfront community....check into Spa Cove today! Spa Cove is located across the street from Truxtun Park, a full-facility public park, with tennis courts, a skateboard park, softball fields, a swimming pool, and a recreation center."
[The Point at Annapolis](https://www.apartments.com/the-point-at-annapolis-annapolis-md/npxczlm/),855-813-7362,"[1901 West St, Annapolis, MD 21401](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1901+West+St,+Annapolis,+MD+21401/data=!4m2!4m1!3e2)",734 Sq Ft,"$1,288 - 2,519","* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $225
* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300
* Other Deposit: $300","Dogs and Cats Allowed:
Call for details. 
* $50 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Pool
* Gameroom
* Media Center/Movie Theatre",,,"* High Speed Internet Access
* Air Conditioning",,Variable,"* On-Site Retail
* Guest Apartment","* Built in 2006
* 283 Units/4 Stories","* Business Center
* Clubhouse",* Grill,,"Right on dynamic West Street, just minutes from all the eclectic restaurants, trendy shops and energetic nightspots around Annapolis, a home at 1901 West puts the excitement of downtown right outside your door. This new development offers the unique combination of residential and retail space, effortlessly capturing urban sophistication and neighborhood charm in one great place to live. It's the hot Annapolis lifestyle in a cool new community. Please call for an appointment today."
[Regatta Bay](https://www.apartments.com/regatta-bay-annapolis-md/f7dllcr/),844-537-5455,"[70 Regatta Bay Ct, Annapolis, MD 21401](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/70+Regatta+Bay+Ct,+Annapolis,+MD+21401/data=!4m2!4m1!3e2)",600 Sq Ft,"$1,455 - 2,810","* Storage Fee: $35
* Cat Rent: $50
* Dog Rent: $50",* Application Fee: $25,"Dogs Allowed:
Breed Restriction 
* $50 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking.","* Fitness Center
* Pool
* Putting Greens
* Gameroom","* Dishwasher
* Disposal
* Granite Countertops
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* 26 Miles from New Carrolton Metro Station (US Rt 5
* Annapolis Transit -Historic Downtown a Charming Wa
* Chesapeake Bay Bridge, Maryland’s Eastern Shore an
* Complimentary Kitchen Area, Coffee Bar and Pool Ta
* Easy access to Inner Harbor, Camden Yards, Ravens
* First Class Dining in the Annapolis Town Center at
* Great Location - The Heart of Annapolis!
* Grilling Areas
* Hassle Free Transfer Program
* New Clubhouse
* Nr. Anne Arundel Country Hospital and US Naval Aca
* Online Rent Payment and Service Request Submission
* Only 30 Mins to Baltimore via Interstate 97
* Only 35 Mins to Washington D.C. via Rt. 50
* Onsite Recycling
* Outdoor Pool
* Pet Friendly and mins to Quiet Waters Pet Park
* Resident Feedback Program
* Resident Lounge with Wi-Fi & Flat Screen TV
* Sun Deck
* Upscale Shopping and Dining at Westfield Shopping","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Dining Room
* Built-In Bookshelves
* Vaulted Ceiling
* Views
* Walk-In Closets
* Loft Layout",,"* Package Service
* Maintenance on site
* Pet Play Area","* Built in 2000
* 209 Units/4 Stories","* Business Center
* Clubhouse",* Sundeck,,"Welcome to Regatta Bay, luxury apartment rental homes in Annapolis, MD. Situated within easy reach of both Washington, D.C. and downtown Baltimore, Regatta Bay offers an ideal location with convenient access to local shops, restaurants, entertainment and numerous cultural venues. Regatta Bay boasts exceptional style and comfort with spacious, open-concept floorplans. Each one and two bedroom apartment home features 9ft ceilings, private patios or balconies and gourmet kitchens with Whirlpool appliances and granite countertops. Our complete amenities package includes a private outdoor swimming pool and state-of-the-art fitness center with free-weights and cardio equipment. Our residents also enjoy our clubhouse with a business center and lounge area, in addition to our fire pit, outdoor grilling area, outdoor corn hole and outdoor pool tables. Discover Apartment Living At Its Best and schedule a tour today!"
[Bayshore Landing](https://www.apartments.com/bayshore-landing-annapolis-md/pvpgpmt/),844-284-3776,"[988 Spa Rd, Annapolis, MD 21403](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/988+Spa+Rd,+Annapolis,+MD+21403/data=!4m2!4m1!3e2)",468 Sq Ft,"$1,445 - 1,730","* Assigned Surface Lot Parking: $50
* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $30
* Cat Deposit: $150
* Dog Deposit: $150","Dogs Allowed:
Breed Restrictions Apply Bayshore Landing welcomes your pets. Our homes accommodate two pets per home. $35 Pet rent per pet, per month. Additional deposits apply. Please contact our leasing professionals for more details. 
* $150 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot: $50
1 space; Assigned Parking.","* Pool
* Walking/Biking Trails","* Dishwasher
* Microwave
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Storage Units
* Fireplace","* Carpet
* Walk-In Closets","6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months",* Car Wash Area,"* Built in 1984
* 158 Units/3 Stories",,"* Cabana
* Grill
* Picnic Area",,"Bayshore Landing is a unique picturesque community with all the conveniences and amenities you would find at a beautiful resort. Here you can enjoy the tranquil pool and sundeck. Find yourself fully rejuvenated after a workout in our fully updated equipped fitness center. Enjoy a cup of coffee, tea, or cocoa in the cozy clubhouse. Enjoy a walk through the community on the paved walking paths. You can even grill out in the picnic area with gazebo. With six distinctive floor plans, Bayshore Landing is sure to meet your expectations! Choose the style and price that fits your needs. We can even remodel an apartment just for you. Be the first to live in an apartment right after renovations. At Bayshore Landing you&#39;ll love staying home!"
[Mariner Bay & Crosswinds](https://www.apartments.com/mariner-bay-crosswinds-annapolis-md/vj4cvyd/),844-486-5388,"[1910 Towne Centre Blvd, Annapolis, MD 21401](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1910+Towne+Centre+Blvd,+Annapolis,+MD+21401/data=!4m2!4m1!3e2)",733 Sq Ft,"$1,524 - 5,233","* Unassigned Garage Parking: $250
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Fee: $35 - 75
* Cat Deposit: $500
* Dog Fee: $35 - 75
* Dog Deposit: $500","Dogs Allowed:
Breed restrictions apply 
* $500 Deposit
* $50 Monthly Pet Rent
* $35 - 75 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Pool
* Bike Storage
* Media Center/Movie Theatre",,"* Gas Cooking
* Gas Fire Pit
* Individual Climate Control
* Large Closets
* Maple Cabinetry
* Shaded Pavilion With Lounge And Bar
* Wine Cellar & Tasting Room
* Yoga Room","* High Speed Internet Access
* Smoke Free",,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Concierge
* 24 Hour Availability
* Recycling
* Energy Star Certified
* Guest Apartment
* Pet Care
* Car Charging Station","* Built in 2008
* 208 Units/11 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Conference Room
* Library","* Rooftop Lounge
* Sundeck
* Courtyard",,"Mariner Bay & Crosswinds at Annapolis Towne CentreTwo great apartment communities. One amazing location. You can?t go wrong when you decide to call one of our Annapolis Towne Centre apartments home. Rooftop pool or courtyard one? Bocce ball or yoga? Spectacular views or social hub? Between Mariner Bay and Crosswinds, we have everything you are looking for. The hardest part will be choosing which one is best for you!Mariner Bay sets itself apart as Annapolis? only high rise apartment community. Enjoy your morning coffee as the sun rises over downtown Annapolis and the Naval Academy or spend your weekends lounging at the rooftop pool. With a 24-hour concierge, your to-do list just got a lot shorter. That means more time to enjoy cooking in the chef-caliber kitchens, or window shopping in Annapolis Towne Centre. So make yourself at home at Mariner Bay and indulge in what is without a doubt the most luxurious apartment community in Annapolis.Crosswinds is a brand new apartment community with upscale apartment finishes and exquisitely designed amenity spaces that bring the energy of Annapolis Towne Centre into your home. Vibrant, urban and just minutes from historic downtown Annapolis, Crosswinds is redefining traditional luxury living. In addition to the best shopping, dining and entertainment in Annapolis, a happening social life and elegantly styled apartment await you at Crosswinds."
[Stone Point Apartments](https://www.apartments.com/stone-point-apartments-annapolis-md/kbq7me8/),888-478-1519,"[116 Stone Point Dr, Annapolis, MD 21401](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/116+Stone+Point+Dr,+Annapolis,+MD+21401/data=!4m2!4m1!3e2)",858 Sq Ft,"$1,403 - 3,028","* Unassigned Garage Parking: $185 - 310
* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Pet restrictions and fes apply. Two pets maximum in each apartment. 
* $300 Deposit
* $40 Monthly Pet Rent
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
451 spaces.","* Fitness Center
* Fitness Programs
* Pool
* Media Center/Movie Theatre",,"* Children
* Demonstration Kitchen
* Gas Grills and Outdoor Seating Area
* Hydrotherapy Pools With Gradual Beach-Style Entry
* Individual Climate Control
* Large Closets",* High Speed Internet Access,,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Recycling
* Car Wash Area","* Built in 2005
* 312 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Multi Use Room
* Storage Space
* Conference Room",* Sundeck,,"Resort living, Annapolis style. Discover the essentials of living well at Stone Point Apartments. Here, you'll enjoy an unparalleled mix of luxury, convenience and recreation, including a spectacular 10,000 sq. ft. clubhouse with swimming and hydrotherapy pools. With one-, two- and three-bedroom floor plans (some with lofts and dens) to choose from, you'll think you've arrived at a five-star resort. Annapolis' mix of colonial charm and urban recreation lets you live a life of leisure. Welcome to luxury living in Annapolis."
[Harbour Gates](https://www.apartments.com/harbour-gates-annapolis-md/yrtvgdv/),844-891-5708,"[2001 Harbour Gates Dr, Annapolis, MD 21401](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2001+Harbour+Gates+Dr,+Annapolis,+MD+21401/data=!4m2!4m1!3e2)",530 - 775 Sq Ft,"$1,114 - 1,628","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $50
* Cat Fee: $200 - 350
* Dog Fee: $200 - 350",No Pets Allowed,50,50,"Surface Lot
Free surface parking (no garages). No assigned spaces. Permits not required for residents or guests.","* Fitness Center
* Sauna
* Spa
* Pool
* Racquetball Court
* Walking/Biking Trails","* Eat-in Kitchen
* Kitchen
* Range",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Satellite TV
* Storage Units
* Fireplace","* Carpet
* Sunroom
* Views
* Walk-In Closets",12 months (6 months avail. - call for details),"* Laundry Facilities
* Property Manager on Site
* 24 Hour Availability
* Recycling
* Laundry Service
* Pet Play Area
* Car Wash Area","* Built in 1991
* 516 Units/3 Stories","* Clubhouse
* Breakfast/Coffee Concierge",* Courtyard,,"Harbour Gates in Annapolis, MD offer spacious studio, 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Minutes to Route 50, Annapolis Mall and Anne Arundel Medical Center. Only 5 minutes to the Annapolis Towne Centre, Harbour Center, Festival at Riva, downtown historic Annapolis and the City Dock. And in the neighborhood you’ll find unlimited shopping, dining, entertainment, recreation, schools, grocery stores, and many parks. Apartment features include a comfortable living area and separate dining area, glass doors that open to a covered balcony, patio or sunroom with storage closet, large windows with lots of natural light (we provide blinds throughout), ample closet space, central heat & air conditioning and views of landscaped courtyards. Most apartments have full size washer & dryer. We are a pet-friendly apartment and we accept some dogs, all cats and some other types of pets. Utilities are not included in your rent - you pay for electricity and water/sewer. Property features include a relaxing pool with sundeck, indoor heated pool and spa, private showers and locker rooms, fitness center, car wash area, racquetball court, recycling areas, mail delivery in each building, on-site management and 24-hour emergency maintenance. For more information and availability, visit www.harbourgatesapartments.com."
[Westwinds Apartments](https://www.apartments.com/westwinds-apartments-annapolis-md/8cc63m1/),844-724-8244,"[1029 Spa Rd, Annapolis, MD 21403](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1029+Spa+Rd,+Annapolis,+MD+21403/data=!4m2!4m1!3e2)",670 Sq Ft,"$1,280 - 2,210","* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $30
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed
See We Love Your Pets page for details 
* $25 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Eat-in Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* 1,800 SF Dog Park with Obstacle Course
* BBQ/Picnic Area
* Carports Available
* Designated Car Wash Area
* Dishwasher
* Door Step Trash Service
* Frost Free Refrigerator/Freezer
* Garbage Disposal
* Great Resident Activities
* High-Speed Internet/Cable Hook-up
* Individually controlled A/C & Heat
* Large Closets
* Microwave
* Patio/Balcony with Additional Storage
* Recycling
* Renovated Apartments Available
* Separate Dining Area
* Vertical and Mini Blinds
* Wall-to-Wall Carpeting
* Washer & Dryer","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Wheelchair Accessible (Rooms)",* Views,"4, 5, 6, 7, 8, 9, 10, 11, 12","* Maintenance on site
* Property Manager on Site
* Car Wash Area","* Built in 1986
* 210 Units/3 Stories","* Clubhouse
* Corporate Suites","* Gated
* Courtyard
* Grill",,"Live in Annapolis, MD and surround yourself with beautiful landscaping, charming homes, and thoughtful amenities. Located on the corner of Forest Drive and West Street, Westwinds Apartments is just minutes away from the United States Naval Academy as well as all of the shopping, dining and entertainment that nearby Washington D.C. has to offer.Westwinds Apartments offers unique one or two bedroom apartment homes that include an in-unit washer and dryer, swimming pool and fitness center, to name a few of the exclusive amenities we offer our residents. convenient location, Westwinds Apartments is the place for you in Annapolis. You deserve the best in apartment living and our community offers an easy and relaxed lifestyle.Take a swim in your gorgeous pool, stroll through your pet-friendly community or spend time relaxing in the picnic area. If you're looking for a home close to the Naval Academy or want to experience the perks of a wonderful apartment home, think Westwinds!"
[The Reserve at Quiet Waters Apartments](https://www.apartments.com/the-reserve-at-quiet-waters-apartments-annapolis-md/4yr6mmj/),844-235-9830,"[1293 Thom Ct, Annapolis, MD 21403](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1293+Thom+Ct,+Annapolis,+MD+21403/data=!4m2!4m1!3e2)",638 Sq Ft,"$1,025 - 2,920","* Cat Rent: $25
* Dog Rent: $25
* Gas: Included","* Application Fee: $30
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed:
Akita, Alaskan Husky or Alaskan Malamute, Chow, Doberman Pinscher, Great Dane, St. Bernard, American Pit Bull or Staffordshire Terrier, Bullmastiff, Dalmatian, German Shepherd, Rottweiler, Wolf Hybrid See We Love Your Pets page for details 
* $25 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available",* Pool,,"* Cable Ready
* Charming Brick Exterior
* Dishwasher
* Garden Style
* Newly Upgraded Windows
* Patio/Balcony
* Spanish Speaking Staff
* Upgraded Bathrooms Available
* Upgraded Kitchens Available
* Wall-to-Wall Carpeting
* Washer & Dryer Available in Select Homes","* High Speed Internet Access
* Smoke Free",,"4, 5, 6, 7, 8, 9, 10, 11, 12","* Laundry Facilities
* Maintenance on site","* Built in 1978
* 390 Units/3 Stories",,,,"Live in Annapolis, MD and surround yourself with beautiful landscaping, charming homes, and thoughtful amenities. Located near Forest Drive and Thom Drive, The Reserve at Quiet Waters Apartments is just minutes away from all of the shopping, dining and entertainment that Annapolis has to offer.The Reserve at Quiet Waters Apartments offers unique one, two, or three bedroom apartment homes that include upgraded kitchens, large closets, and renovated bathrooms just to name a few of the exclusive amenities we offer our residents. Spend an afternoon enjoying your playground, stretch out in your spacious floor plan, or have a dip in your shimmering pool. If you're looking for a home in Tyler Heights or want to experience the perks of a wonderful apartment home in a convenient location, The Reserve at Quiet Waters Apartments is the place for you in Annapolis. You deserve the very best in apartment living and our community offers an easy and relaxed lifestyle."
[Watergate Pointe](https://www.apartments.com/watergate-pointe-annapolis-md/2wm2b18/),866-427-4840,"[655 Americana Dr, Annapolis, MD 21403](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/655+Americana+Dr,+Annapolis,+MD+21403/data=!4m2!4m1!3e2)",633 Sq Ft,"$1,120 - 2,120","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
Breed Restrictions Apply $350 pet fee for one pet, $175 for an additional pet 
* $50 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Unassigned, permit required",,"* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* 24 Hour Maintenance
* Basketball Courts
* Business Center and Conference Room
* Full Size Community Center
* Horseshoes
* Modern Fitness Center
* New Residents Yacht Club
* Olympic-Size Pool and Sundeck
* One, Two and Three Bedroom Floorplans
* Private Boat Slip Available
* Putt Putt Golf
* Tennis Courts
* Water Taxi Passes
* Weekly Shopping Bus
* Yoga on Mondays","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",,"* Controlled Access
* Property Manager on Site
* 24 Hour Availability
* Furnished Units Available
* Pet Care
* Pet Play Area","* Built in 1968
* 608 Units/5 Stories
* Furnished",,,,"Watergate Pointe is a waterfront apartment community and marina located on Back Creek in what the locals affectionately refer to as The Republic of Eastport in Annapolis, Maryland. Yes, this is the eclectic, fun side of town, so batten down the hatches and get ready for the good life. Submerse yourself in the history and charm of Annapolis while you bask in the serenity of your fully renovated one, two or three bedroom apartment including unmatched community amenities. Theres simply nothing like waterfront living at Watergate Pointe. From the residents yacht club and private marina to the olympic-size pool and sun deck, its truly water, water everywhere."
