Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Point At Ashburn](https://www.apartments.com/the-point-at-ashburn-ashburn-va/8zq3j93/),571-291-4244,"[22555 Leanne Ter, Ashburn, VA 20148](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/22555+Leanne+Ter,+Ashburn,+VA+20148/data=!4m2!4m1!3e2)",740 Sq Ft,"$1,177 - 2,999","* Cat Rent: $100
* Dog Rent: $100","* Application Fee: $50
* Cat Fee: $450 - 600
* Cat Deposit: $450
* Dog Fee: $450 - 600
* Dog Deposit: $450","Dogs Allowed:
The Point at Ashburn is a pet-friendly community! We allow up to 2 pets per apartments. There is a non-refundable fee of $450 for one pet or $600 for 2 pets. There is monthly pet rent of $50 per pet. Breed restrictions apply. Please call our leasing office for complete pet policy information. 1st Dog $450, 2nd Dog $150 pet deposit; Breed restrictions apply 
* $450 Deposit
* $100 Monthly Pet Rent
* $450 - 600 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available",,,,* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2009
* 373 Units/3 Stories",,,,"The Point at Ashburn offers renters the very best combo of location and lifestyle. Situated in Ashburn, Virginia, our studio, one-, two- and three-bedroom apartment homes boast the finest appointments; state of the art kitchens with custom cabinets and granite countertops, vinyl plank flooring, washer and dryer and a private balcony. Resort-style pool, the 24-hour state-of-the-art Fitness Center, Business Center, free coffee in our Great Room and wi-fi throughout the common areas, but we are now pleased to announce that we've made them even better! The Point at Ashburn provides commuters with instant connectivity to the I-495 and Rte. 28 and offers residents the ability to walk to The Shops at Moorefield Village, 150,000 square feet of some of the hottest restaurants and retailers."
[Acadia by Cortland](https://www.apartments.com/acadia-by-cortland-ashburn-va/3tkb2sf/),877-502-4075,"[19900 Broad Vista Ter, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/19900+Broad+Vista+Ter,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",684 Sq Ft,"$1,345 - 2,090","* Assigned Surface Lot Parking: $40
* Cat Rent: $100
* Dog Rent: $100","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $350 - 600
* Dog Fee: $350 - 600","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a $350 to $600 pet fee and $50 to $100 monthly pet rent. Please call our leasing office for more details. No Akita, Chow, Doberman Pinscher, Rottweiler, Bull Mastiff, Saint Bernard, Pit Bull Terrier/Staffordshire Terrier, Spitz, and any mixes with these breeds. 
* $100 Monthly Pet Rent
* $350 - 600 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $40
Assigned Parking. Surface parking available. $40 for assigned parking.","* Fitness Center
* Playground",,"* 45-Day Move-In Satisfaction Guarantee
* Billiards Room
* Business Center
* Cortland Community Relocation Guarantee
* Footpath Leading to all the Kayaking & ...
* Footpath Leading to all the Kayaking & Canoeing of the Potomac River
* Pet Friendly
* Picnic & Barbeque Area
* Reserved Parking Available
* Sparkling Outdoor Pool with Sundeck & Veranda
* Storage Options
* Sweeping Views of the Majestic Potomac River ...
* Sweeping Views of the Majestic Potomac River Valley & Blue Ridge Mountains
* TV Lounge
* Two Car-Care Centers
* Brushed Nickel Hardware and Lighting
* Custom Cabinetry
* Full-Sized washer & Dryer in Every Home
* Glass Tile Backsplash
* Granite Countertops with Under Mount Sinks
* Oversized Garden Soaking Tubs
* Stainless Steel Appliances
* Under Cabinet Lighting
* Walk-In Closets with Wire Shelving","* High Speed Internet Access
* Ceiling Fans",,None,"* Maintenance on site
* Pet Care","* Built in 2001
* 363 Units/5 Stories","* Elevator
* Clubhouse",* Patio,,"Designed for those who enjoy an active life as much as they enjoy a beautifully comfortable home, this unique community is set just off the Potomac River and puts you next to great outdoor recreation, as well as numerous destinations for shopping, dining and entertainment including One Loudoun, The Village at Leesburg and Dulles Town Center. Our Ashburn, VA apartments are a short drive from Herndon, Dulles, Leesburg and Reston, the apartment homes here are surrounded by Loudoun County's best businesses while being adjacent to a 70-acre nature preserve. Please call for an appointment today!"
[Saddle Ridge](https://www.apartments.com/saddle-ridge-ashburn-va/tjmq7l8/),877-215-3454,"[20070 Coltsfoot Ter, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/20070+Coltsfoot+Ter,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",720 Sq Ft,"$1,320 - 1,880","* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $350
* Application Fee: $50
* Cat Fee: $350 - 500
* Dog Fee: $350 - 500","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $45 Monthly Pet Rent
* $350 - 500 Fee
* 2 Pet Limit",50,50,"Covered and Garage
Garage Spaces Available.","* Fitness Center
* Playground",* Dishwasher,"* Car Wash Area
* Carwash Area
* Close to Loudoun County Schools
* Community Dog Park
* Grilling Area
* High Speed Internet Available
* Swimming Pool
* Walking, Jogging and Biking Trails
* Disposal
* Full Size Side by Side Washer and Dryer
* Washer Dryer
* Window Coverings
* Wood Burning Fireplaces *Select Units",* High Speed Internet Access,,None,* Pet Care,"* Built in 1988
* 216 Units/3 Stories",* Clubhouse,,,"At Saddle Ridge, you'll finally find Loudoun County apartment rentals that are right for you. Come home to a 1, 2, or 3-bedroom apartment in Ashburn designed for comfort, with available water views and available wood burning fireplaces. Then enjoy some of the most complete amenities around including biking and walking trails for those wanting outdoor activity and a sparkling pool perfect for those seeking some relaxation. Looking for more? We are situated just moments from Belmont Country Club and the world famous Landsdowne Resort. When you choose to live in Loudoun County, you're putting yourself in one of the finest apartment communities in Northern Virginia. Everything you want is here near your Ashburn apartment. Shopping, dining and entertainment are all within minutes, while the Dulles area itself offers a large number of employers as well as great schools and remarkable convenience to both Arlington and Washington, DC. Enjoy the nearby Potomac River and golf courses. Take ..."
[BLVD Loudoun Station](https://www.apartments.com/blvd-loudoun-station-ashburn-va/6c7gmqs/),844-876-5795,"[43805 Central Station Dr, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/43805+Central+Station+Dr,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",843 - 866 Sq Ft,"$1,466 - 5,165",* Trash Removal: Included,* Admin Fee: $200,"Dogs Allowed:
breed restrictions Please call for details. 
* 80 lb Weight Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Spa
* Pool
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Pantry
* Island Kitchen
* Microwave
* Oven
* Refrigerator
* Freezer","* Air Conditioner
* BBQ/Picnic Area
* Cable Ready
* Carport
* Ceiling Fan
* Dishwasher
* Disposal
* Fireplace
* Free Weights
* Media Room
* Microwave
* Package Receiving
* Patio/Balcony
* Refrigerator
* Washer/Dryer","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Dining Room
* Family Room
* Den
* Built-In Bookshelves
* Walk-In Closets
* Linen Closet",None,"* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Courtesy Patrol
* Shuttle to Train
* On-Site Retail
* Recycling
* Renters Insurance Program
* Online Services","* Built in 2012
* 357 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Conference Room
* Two Story Lobby","* Gated
* Sundeck
* Courtyard
* Grill",,"Situated on Metro's much anticipated Silver Line extension, BLVD | Loudoun Station features 357 luxury studio, one and two bedroom + den apartments all with endless access to the excitement, fun and convenience of Loudoun Station."
[The Ashborough](https://www.apartments.com/the-ashborough-ashburn-va/t1pfddc/),571-223-7471,"[20155 San Joaquin Ter, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/20155+San+Joaquin+Ter,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",692 - 955 Sq Ft,"$1,392 - 3,427","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $450
* Dog Fee: $450","Dogs Allowed:
The Ashborough welcomes dogs &cats, including puppies and kittens! Breed restrictions do apply, so please call for specific breed and weight restrictions, and deposits and fees. *We reserve the right to add additional restricted breeds at any time. Cats and dogs are welcomed. Up to 2 total pets with 100lbs combined weight. One time non-refundable pet fee of $450 for the first pet, and $250 for the second pet. $50 monthly pet rent applies. Call for canine breed restrictions. 
* $50 Monthly Pet Rent
* $450 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking.",,"* Dishwasher
* Disposal
* Ice Maker
* Kitchen
* Range
* Refrigerator","* 24-Hour business lounge with Wifi access
* Attached garage (available in select homes)
* Attached parking available
* Built in desk (available in select homes)
* Built-in USB ports
* Clubhouse with lounge seating
* Daily coffee bar with local offerings
* Dedicated patio or balcony
* Fireplace (available in select homes)
* Full-size washer and dryer
* Generous walk-in closets with shelving
* HDTV suite with billiards and kitchenette
* LED lighting
* Modern granite countertops
* Newly renovated apartment homes now available
* Open concept kitchen
* Package concierge (coming soon!)
* Pet wash station (coming soon!)
* Playground
* Spacious bedrooms that accommodate king size beds
* Stainless steel appliances
* Storage rooms available
* Subway tile backsplash design
* Wood-style flooring","* High Speed Internet Access
* Heating
* Fireplace","* Crown Molding
* Vaulted Ceiling
* Views",None,,"* Built in 2004
* 508 Units/4 Stories",,"* Balcony
* Barbecue/Grill",,"Beautifully situated in premier Loudoun County, The Ashborough apartments in Ashburn, Virginia, offers tranquil, wooded grounds and amenities designed to inspire extraordinary living. Our pet-friendly property offers a stunning collection of newly remodeled one-, two-, and three- bedroom apartment homes with open-concept kitchens, stainless steel appliances, modern granite countertops, subway-tile backsplashes, full-size washers and dryers, private patios, fireplaces, direct-access private garage parking, storage, and other amenities. Our residents enjoy watching their favorite shows in our media center, playing pool in our resident lounge, checking their email in our convenient business lounge, cooking a delicious meal in our grilling area and community kitchen, swimming in our shimmering pools, and working out in our 24-hour fitness club, yoga room, and cycling studio. Just outside our gates, our walking paths provide access to Ashbrook Shopping Center, home to Harris Teeter and Sta"
[Broadlands](https://www.apartments.com/broadlands-ashburn-va/1r7yvs4/),866-377-9607,"[21799 Crescent Park Sq, Ashburn, VA 20148](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21799+Crescent+Park+Sq,+Ashburn,+VA+20148/data=!4m2!4m1!3e2)",874 Sq Ft,"$1,453 - 3,451",* Trash Removal: Included,"* Admin Fee: $400
* Application Fee: $50","Dogs and Cats Allowed:
No Weight Limit. No Pit Bulls and Pit Bull Mixes Broadlands Apartments loves your pets! Each apartment may have up to (2) pets. Pet fees and pet rent may vary. Please speak to a leasing associate for more information.",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground",,"* Air Conditioner
* Bark Park
* BRAND NEW Bark Park
* BRAND NEW Outdoor Fitness Park
* Built-In Home Theater Surround Sound
* Cable Ready
* Ceiling Fans
* Ceramic Tile Foyers
* Dishwasher
* Disposal
* Fastidiously Landscaped Grounds
* Flexible Lease Terms
* Large Closets
* Luxurious 1Br, 2Br, 3Br and Townhome Designs
* Microwave
* Minutes from Dulles International Airport
* Nine-Foot Ceilings
* Outdoor Patio with Built-In Gas Grill
* Package Receiving
* Part of the Broadlands Master-Planned Community
* Patio/Balcony
* Refrigerator
* Renter Rewards Program
* Resident Activities
* Vaulted Ceilings (In Select Homes)
* Washer/Dryer",* High Speed Internet Access,,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",* Maintenance on site,"* Built in 2003
* 292 Units/3 Stories","* Business Center
* Clubhouse",,,"Located in Ashburn, VA in Loudoun County, Broadlands provides Ashburn residents with touches like nine-foot ceilings, crown molding and high-speed Internet access, along with great outdoor recreational amenities. Broadlands Apartments is a luxurious address in a signature suburban setting that puts you close to great shopping, dining and entertainment including One Loudoun, The Village at Leesburg and Dulles Town Center."
[Jefferson Arbors At Broadlands](https://www.apartments.com/jefferson-arbors-at-broadlands-ashburn-va/r30dyb1/),888-334-8645,"[43170 Thistledown Ter, Ashburn, VA 20148](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/43170+Thistledown+Ter,+Ashburn,+VA+20148/data=!4m2!4m1!3e2)",869 Sq Ft,"$1,498 - 1,908","* Storage Fee: $100
* Assigned Garage Parking: $165 - 200
* Cat Rent: $45
* Dog Rent: $45","* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a weight limit of 70 pounds. Breed restrictions apply. Please contact leasing office for complete pet policy details. 
* $45 Monthly Pet Rent
* $400 Fee
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",,,,* High Speed Internet Access,,None,* Pet Care,"* Built in 2000
* Renovated in Jan 2006
* 240 Units/4 Stories",,,,"When you live at Arbors at Broadlands, home is not only where the heart is - it's where nature, beauty and wide open spaces are. A stroll around Arbors' sprawling grounds reveals the perfect blend of luxurious amenities and natural splendor that make us one of the only Certified Wildlife Habitat communities in the nation. With convenient access to shopping, dining, and the Dulles Greenway, the good life is at your door at Arbors at Broadlands."
[Camden Silo Creek](https://www.apartments.com/camden-silo-creek-ashburn-va/74jmx6w/),866-303-4259,"[43449 Silo Creek Ter, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/43449+Silo+Creek+Ter,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",692 Sq Ft,"$1,099 - 2,139","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $750
* Cat Deposit: $400
* Dog Fee: $750
* Dog Deposit: $400","Dogs and Cats Allowed:
We welcome your cats and dogs, with no weight limit. *Breed restrictions apply. We do not permit American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, any mix of the previous breeds, or any other dog or breed deemed aggressive. See management for pet approval and deposit and fee information. 
* $400 Deposit
* $50 Monthly Pet Rent
* $750 Fee
* 2 Pet Limit",50,50,Covered,,,"* 24-hour emergency maintenance
* 24-hour fitness center
* Beautifully landscaped grounds
* Car care center
* Fenced in dog park
* Fitness trail
* Front door trash pick-up and recycling
* In the process of becoming smoke-free environment
* Nature preserve
* Online Maintenance Requests
* Online Rent Payments
* Pet stations provided
* Resort-style pool with sun deck
* Wi-Fi in resident lounge and at pool",* High Speed Internet Access,,Variable,,"* Built in 2003
* 266 Units/4 Stories",* Business Center,,,"Camden Silo Creek is situated around a nature preserve in the Broadlands subdivision of Ashburn, Virginia, conveniently located near the Loudoun County Parkway and the Dulles Greenway. We offer spacious one, two and three bedroom apartment homes with luxurious features such as custom espresso cabinetry, wood-style flooring, stainless steel appliances, full-size washer and dryers, 9-foot ceilings, fireplaces, wraparound balconies that showcase a beautiful view of Ashburn and more. Our amenities include pet-friendly accommodations with a gated dog park and a short trip to popular pet destinations, as well as a 24-hour fitness center, access to a half-mile walking trail with exercise stations, resort-style pool and an on-site playground. Camden Silo Creek also sits just minutes from three beautiful parks and the best of Ashburn's shopping, dining, and entertainment. Please note that all floor plan availability is subject to change. Call today for more information."
[Ashburn Meadows](https://www.apartments.com/ashburn-meadows-ashburn-va/ks2kgnc/),844-382-0763,"[21030 Lowry Park Ter, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21030+Lowry+Park+Ter,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",,"$1,354 - 1,553","* Cat Rent: $300
* Dog Rent: $300","* Application Fee: $50
* Cat Deposit: $40
* Dog Deposit: $40",No Pets Allowed,50,50,"Surface Lot
2 spaces.",,"* Dishwasher
* Range
* Refrigerator","* 24-hour emergency maintenance
* Access to Ashburn Village community social events
* Barbecue grill area
* Discounted membership fee for Ashburn Village Spor
* Eco-friendly community with recycling bins through
* Fitness center
* Income Restricted
* Mature trees
* On-site bus stop
* On-site guest parking
* Pet-friendly community
* Protected tree preserve area
* Sparkling swimming pool and sundeck
* Spectacular views of the Virginia countryside
* test amenity 3
* test amenity 4 test amenity 4 test amenity 4 test
* Walking trails
* *Select units only
* ADA units available
* Cable ready, Internet available
* Cable-ready and internet available
* Central air and heat
* Contemporary white-on-white kitchens
* Cozy gas fireplace with slate surround*
* Full-size washer and dryer in each unit
* Maintenance-free vinyl flooring
* Nine-foot-ceilings on the 1st and 2nd floors*
* Nine-foot-ceilings on the First and second floors*
* Oversized bathrooms
* Separate living and dining areas
* test amenity 1 test amenity 1 test amenity 1 test
* test amenity 2*
* Trash and snow removal
* Updated appliances and cabinets
* Vaulted ceiling on top floor*
* Walk-in Closets*
* Wall-to-wall carpeting
* Window coverings","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Fireplace
* Wheelchair Accessible (Rooms)","* Carpet
* Vaulted Ceiling
* Walk-In Closets",,,"* Built in 2000
* 336 Units/4 Stories",,"* Courtyard
* Grill",,"Looking for an affordable home in a welcoming community? You're here. Ashburn Meadows is an income-restricted community of two- and three-bedroom apartment homes in Ashburn Village, a master-planned housing development in the heart of Loudoun County. Our idyllic setting provides the perfect backdrop for gathering with friends, family, and neighbors, whether at the bus stop, on our playground, or around our gleaming community pool. Plus, our location offers close proximity to some of the area's best schools and employment opportunities; a host of recreational amenities, including the local sports pavilion, the Washington Old Dominion trail, several lakes, and miles of community hiking and biking pathways; as well as plentiful shopping and dining options at the nearby Dulles Town Center Mall, One Loudoun, and Ashburn Village Shopping Center. At Ashburn Meadows, you can have it all."
[Camden Ashburn Farm](https://www.apartments.com/camden-ashburn-farm-ashburn-va/kh962hb/),866-719-3709,"[20886 Isherwood Ter, Ashburn, VA 20147](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/20886+Isherwood+Ter,+Ashburn,+VA+20147/data=!4m2!4m1!3e2)",742 Sq Ft,"$1,279 - 2,609","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $375
* Cat Deposit: $400
* Dog Fee: $375
* Dog Deposit: $400","Dogs and Cats Allowed:
We welcome your cats and dogs, up to two pets per apartment with no weight limit. *Breed restrictions apply. We do not permit American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, any mix of the previous breeds, or any other dog or breed deemed aggressive. See management for pet approval and deposit and information. 
* $400 Deposit
* $50 Monthly Pet Rent
* $375 Fee
* 2 Pet Limit",50,50,Surface Lot,,,"* 24-hour emergency maintenance
* BBQ grilling stations
* Beautifully landscaped grounds
* By Dulles Greenway, Loudoun County Pkwy
* Car care center
* Fitness center
* Front door trash pick-up and recycling
* MyCamden.com, a resident social site
* Online Maintenance Requests
* Online Rent Payments
* Resident social events
* Resort-style swimming pool
* Wi-Fi hot spots
* 9-foot ceilings & crown molding
* Expanded cable TV
* Full size washer & dryer
* Garden tubs (select apartments)
* Kitchen pantries
* Linen closets
* Private patio or balcony
* Spacious walk-in closets",* High Speed Internet Access,,Variable,,"* Built in 2000
* 162 Units/3 Stories",,"* Balcony
* Patio",,"Experience the balance of beautifully preserved natural views set close to modern conveniences at Camden Ashburn Farm. Whatever lifestyle you choose can be accommodated with our spacious one, two and three bedroom apartment homes. Residents enjoy luxury features such as stainless steel appliances, quartz countertops, open concept floor plans, 9-foot ceilings, oversized garden tubs, vaulted ceilings, special cable, and WiFi package and full-size washers and dryers. Community amenities include outdoor social space fit with grilling stations, a 24-hour fitness center and quick access to Ashburn's beautifully groomed walking trails. Exploring Ashburn is made easy, as Camden Ashburn Farm is just minutes from Dulles Greenway, Loudoun County Parkway and One Loudoun for shopping, dining, and entertainment. Please note that all floor plan availability is subject to change. Call for details."
