Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Solaire Bethesda](https://www.apartments.com/solaire-bethesda-bethesda-md/bxkm9pc/),844-700-2968,"[7077 Woodmont Ave, Bethesda, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7077+Woodmont+Ave,+Bethesda,+MD+20815/data=!4m2!4m1!3e2)",705 Sq Ft,"$2,212 - 5,454","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $250
* Application Fee: $31
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
Pets welcome. Maximum of two pets per apartment. Breed restrictions, pet deposit and monthly pet rent apply per pet. 
* $250 Deposit
* $50 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,,"* Cardio Machines
* Weight Machines
* Bike Storage
* Walking/Biking Trails
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Trash Compactor
* Tub/Shower
* Sprinkler System","* Hardwood Floors
* Carpet
* Window Coverings","6 months, 12 months, 18 months","* Package Service
* Controlled Access
* Property Manager on Site
* Security System
* Concierge
* On-Site Retail
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities
* Pet Washing Station
* Car Charging Station","* Built in 2016
* 139 Units/12 Stories","* Breakfast/Coffee Concierge
* Storage Space
* Disposal Chutes
* Coffee Bar","* Courtyard
* Grill",,"Solaire Bethesda on Woodmont is more than just a new apartment community. Its a luxury lifestyle experience. Each large unit is designed with deluxe amenities and countless opportunities for you to entertain, or be entertained, in one of the most sought-after residential communities in the Washington area. * Winner of the NAA Excellence Award for Best Community!"
[7001 Arlington at Bethesda](https://www.apartments.com/7001-arlington-at-bethesda-bethesda-md/x1npmyq/),571-384-2544,"[7001 Arlington Rd, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7001+Arlington+Rd,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",685 Sq Ft,"$2,005 - 4,835","* Unassigned Garage Parking: $135 - 195
* Trash Removal: Included",* Application Fee: $25,No Pets Allowed,50,50,Garage: $135 - 195,"* Fitness Center
* Cardio Machines
* Weight Machines
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Pantry
* Island Kitchen
* Microwave
* Range
* Refrigerator
* Freezer","* 100% smoke free
* 24-hour fitness center
* 96 walk score
* Chef-inspired gas ranges
* controlled access parking
* Gas heat and hot water
* in-home washer/dryer
* Solid surface quartz countertops
* Stainless steel appliances","* Washer/Dryer
* Heating
* Ceiling Fans
* Cable Ready
* Trash Compactor
* Storage Units
* Tub/Shower
* Handrails
* Sprinkler System","* Views
* Walk-In Closets",,"* Property Manager on Site
* Security System
* Furnished Units Available
* On-Site Retail
* Trash Pickup - Door to Door
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* Energy Star Certified
* Planned Social Activities
* Pet Play Area","* Built in 2015
* 141 Units/5 Stories
* Furnished","* Lounge
* Coffee Bar",* Gated,,"7001 Arlington at Bethesda is a brand new luxury mid-rise apartment building that offers smart design and a sophisticated, forward-thinking atmosphere. Our community is located on the best block in Bethesda, walking distance from the Bethesda Metro stop and two blocks from shopping. Our luxury apartments are located approximately three miles south of the Capital Beltway (US 495) providing an easy commute to area employers. 7001 Arlington features 140 luxury apartments with gourmet kitchens, oversized private terraces, hardwood-style flooring, and quartz countertops. At 7001 Arlington we are committed to a greener lifestyle and we're 100% smoke free. Contact us today to schedule a tour of your new home."
[The Metropolitan](https://www.apartments.com/the-metropolitan-bethesda-md/4tdkq9k/),888-380-7960,"[7620 Old Georgetown Rd, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7620+Old+Georgetown+Rd,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",780 Sq Ft,"$1,552 - 4,339","* Assigned Covered Parking: $150
* Water, Trash Removal, Sewer: Included",* Application Fee: $25,No Pets Allowed,50,50,"Covered: $150
150 spaces; Assigned Parking.","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Sauna
* Pool
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Pantry
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* Club Room
* Individual Climate Control
* Large Closets","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Dining Room
* Views
* Walk-In Closets",,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* 24 Hour Availability
* Furnished Units Available
* On-Site Retail
* Recycling
* Dry Cleaning Service
* Maid Service
* Guest Apartment","* Built in 1997
* 216 Units/12 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Coffee Bar
* Conference Room","* Rooftop Lounge
* Sundeck
* Courtyard",,"Ideally located in downtown Bethesda, The Metropolitan is a block from the Bethesda Metro and minutes from I-495 and the business centers of Washington and Montgomery County. Here, you'll find great shopping, restaurants, recreation and entertainment. So visit The Metropolitan Apartments today, where you'll discover the comfort of home and the convenience of the city."
[Flats 8300](https://www.apartments.com/flats-8300-bethesda-md/ly654bg/),844-575-5340,"[8300 Wisconsin Ave, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8300+Wisconsin+Ave,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",687 Sq Ft,"$1,781 - 7,732","* Assigned Covered Parking: $175
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $31
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
Akita American Bulldog Anatolian Shepherd Asutralian Cattle Dog Beauceron Belgian Shepherd Bernese Mountain Dog Black Russian Terrier Cane Corso aka Italian Mastiff Catahoula Leopard Dog Chinese Shar Pei Chow-Chow Doberman Pinscher Dogue De Bordeaux German Shepherd Great Dane Great Pyranees Husky Jindo Dog Kuvasz Malamute Mastiff Pit Bull Presa Canario Rhodesian Ridgeback Rottweiler St. Bernard Tosa Inu Wolf, Wolf Dog 
* $250 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,"Covered: $175
415 spaces; Assigned Parking.","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Kitchen Appliances
* Large Closets
* Pet Spa","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Trash Compactor
* Storage Units
* Double Vanities
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Den
* Vaulted Ceiling
* Views
* Walk-In Closets
* Double Pane Windows
* Accent Walls",,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* Concierge
* 24 Hour Availability
* On-Site ATM
* On-Site Retail
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Maid Service
* Grocery Service
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities
* Guest Apartment
* Pet Care
* Pet Washing Station
* Car Charging Station","* Built in 2016
* 373 Units/9 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Coffee Bar
* Conference Room","* Gated
* Rooftop Lounge
* Sundeck
* Courtyard
* Grill",,"Find the perfect balance of open space and urban living at the Flats 8300. Located in Downtown Bethesda, this brand new apartment community embodies the look and feel of city living with the added charm of a scenic courtyard and lush green spaces bordering the community. Next door to NIH and Walter Reed Medical Center, Flats 8300 is just a quick trip from Bethesda?s renowned restaurants, exciting entertainment, and endless shopping. Drive to Rockville or hop on the metro to Washington, DC. Walk downstairs to the on-site Harris Teeter (open 24 hours) and Starbucks. At Flats 8300, you'll have easy access and open spaces right outside of your front door."
[Gallery Bethesda](https://www.apartments.com/gallery-bethesda-bethesda-md/w5x4k2l/),877-245-2354,"[4800 Auburn Ave, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4800+Auburn+Ave,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",729 Sq Ft,"$1,874 - 3,893","* Unassigned Garage Parking: $200
* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $25
* Cat Deposit: $400
* Dog Deposit: $400","Dogs and Cats Allowed:
We welcome your pets for a maximum of 2 pets per apartment home. Pet deposit fee is $400 and is refundable. There is a monthly pet rent of $35 per pet. There is a weight limit of 100 lbs per pet and aggressive breeds are prohibited Please call our leasing office for more information. 
* $400 Deposit
* $35 Monthly Pet Rent
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Covered
Assigned Parking. Parking Available",* Fitness Center,,"* 10 ft. Ceiling
* 9 ft. ceiling
* Access your inner chef in culinary kitchens ...
* Access your inner chef in culinary kitchens with stainless steel appliances and custom cabinetry
* Attached Kitchen Island
* Ceramic tile bath surround
* Corner unit
* Countertop - Granite
* GE Profile stainless steel appliances
* iPod Docking Station & Surround Sound
* Island
* Live at a level above in our penthouses ...
* Live at a level above in our penthouses offering 10 ft ceilings and upgraded finishes
* Palladium windows
* Penthouse - 1 Bedroom
* Penthouse - 16th Floor
* Penthouses offer exclusive access
* Privacy Roller Shades
* Private Corner Balcony
* Private Large Balcony
* Show off your style with your beautiful ...
* Show off your style with your beautiful designed home featuring 9 ft ceilings and hardwood flooring
* Soaking tub
* Stainless steel appliances
* Tile Floor 6x6 Tiles
* View - City Skyline
* Window Covering",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2013
* 198 Units/17 Stories
* LEED Certified Gold",,* Balcony,,"Gallery Bethesda is one of the tallest, newest residential building in Bethesda. Topping out at 17 stories PLUS a rooftop pool and club room, this skyscraper is something to talk about! Gallery Bethesda is offering you all of the amenities you need to make your luxury apartment feel like home and the extras that let you know you're living someplace special."
[Bainbridge Bethesda](https://www.apartments.com/bainbridge-bethesda-bethesda-md/jqnsjv7/),866-696-2045,"[4918 Saint Elmo Ave, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4918+Saint+Elmo+Ave,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",717 Sq Ft,"$1,810 - 4,485","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Fee: $600
* Dog Fee: $600","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $50 Monthly Pet Rent
* $600 Fee
* 150 lb Weight Limit
* 2 Pet Limit",50,50,Garage,* Fitness Center,,"* Bike storage
* Clubroom with billiards table
* Concierge desk
* In-building garage parking
* Scenic rooftop deck and swimming pool
* Den/ Study LG",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2014
* 169 Units/17 Stories",* Clubhouse,,,"Brand new, luxury high-rise-style apartment homes... rising in the heart of Bethesda's bustling Woodmont Triangle neighborhood. Bainbridge Bethesda is a 17-story luxury apartment community that features striking architecture, thoughtfully-designed floor plans, distinctive amenities and unparalleled interior finishes. Living at Bainbridge Bethesda means living in the center of it all - great shops, scores of restaurants and the convenience of having the Metro a few blocks away."
[Rosedale Park Apartments](https://www.apartments.com/rosedale-park-apartments-bethesda-md/3g7bb2e/),240-292-6394,"[4720 Rosedale Ave, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4720+Rosedale+Ave,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",730 Sq Ft,"$1,650 - 3,250","* Cat Rent: $35
* Trash Removal: Included","* Application Fee: $30
* Cat Deposit: $150","Cats Allowed:
Cats are welcome in our North Building with an additional $150 deposit and $35 per month fee. Cats are welcome in our North Building with an additional 150 deposit and 25 per month fee. 
* $150 Deposit
* $35 Monthly Pet Rent",50,50,"Surface Lot, Covered and Garage",* Fitness Center,"* Dishwasher
* Range
* Refrigerator","* Across from new Harris Teeter Grocery Store
* Additional Storage
* Air Conditioner
* Balcony
* Dish Washer
* Free Weights
* Off Street Parking
* Package Receiving
* Recycling
* Refrigerator
* Spanish Speaking Staff
* Washer/Dryer","* High Speed Internet Access
* Washer/Dryer
* Heating
* Smoke Free
* Storage Units",,"6, 12, 24",* Maintenance on site,"* Built in 2003
* 192 Units/7 Stories","* Elevator
* Clubhouse",* Gated,,"At Rosedale Park, you set the tempo of your life. With all that is offered here and all that awaits you in Bethesda, you have the opportunity to do the things that matter most to you. That's our commitment:to provide you with a luxurious home combined with attentive service."
[Palisades of Bethesda](https://www.apartments.com/palisades-of-bethesda-bethesda-md/bydrnp9/),844-557-6499,"[4835-4835 Cordell Ave, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4835-4835+Cordell+Ave,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",742 - 843 Sq Ft,"$1,660 - 7,700","* Assigned Garage Parking: $145 - 150
* Cat Rent: $35
* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $25,"Cats Allowed
Cats 
* $35 Monthly Pet Rent
* 2 Pet Limit",50,50,"Garage: $145 - 150
1 space; Assigned Parking. $300 Per Reserved Space.",,,"* All Utilities Included
* Black Appliances
* Black Applicanes
* Comcast/Fios Available
* Custom Bathroom Cabinets and Granite Vanities
* Custom closets and cabinets
* Custom Designed Lighting Fixtures
* Custom Dornbracht Plumbing Fixtures
* Dishwasher
* Full Size Washer/Dryer
* Garbage Disposal
* Granite countertops in Kitchen and Bathroom
* Individually Controlled Heat and A/C
* Kitchen Pantry
* Kitchen Window
* Microwave
* Personalized Organized Closets
* S?flok Electronic Apartment Entry System
* Self-Cleaning Ovens with Glass Top Stove
* Stainless Steel Or Black Refrigerators
* Stand Up Shower Available","* High Speed Internet Access
* Smoke Free",,12,,"* Built in 2003
* 312 Units/14 Stories",,,,"Step inside The Palisades of Bethesda and you'll immediately be surrounded by indescribable luxury and charming sophistication. Boasting a premier location on the corner of Cordell and Woodmont Avenues, this beautiful new high-rise promises to offer a living experience that far exceeds expectations. Only The Palisades provides the perfect blend of convenience, comfort and residential services that you've been looking for."
[Triangle Towers](https://www.apartments.com/triangle-towers-bethesda-md/mpph1th/),866-319-8766,"[4853 Cordell Ave, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4853+Cordell+Ave,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)","819 - 1,161 Sq Ft","$1,461 - 2,736","* Unassigned Garage Parking: $140
* Cat Rent: $35
* Dog Rent: $35
* Gas, Water, Electricity, Heat: Included",,"Dogs Allowed
Dogs 
* $35 Monthly Pet Rent
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Covered
Parking Available","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Range","* 4 Blocks From Metro Red Line
* Balcony
* Comcast and Verizon Fios Available
* Community Room
* Downtown Bethesda View
* Floor To Ceiling Windows In Select Apartments
* Free Utilities
* Furnishings Available
* Hardwood Floors
* Lounge with Wi-Fi Hotspots
* Military Housing
* Minutes From Nih
* Spacious Closets","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Walk-In Closets
* Window Coverings",12,* Laundry Facilities,"* Built in 1965
* 261 Units/16 Stories",,* Gated,,Triangle Towers Apartment Homes - The Smart Choice for Downtown Bethesda. These spacious apartment homes overlook downtown Bethesda and offer nearby access to the Metrorail. A rooftop pool serves as an oasis amidst the highrises of Bethesda.
[Element 28](https://www.apartments.com/element-28-bethesda-md/v2b10zg/),844-600-5671,"[100 Commerce Ln, Bethesda, MD 20814](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/100+Commerce+Ln,+Bethesda,+MD+20814/data=!4m2!4m1!3e2)",710 Sq Ft,"$2,142 - 6,988","* Assigned Garage Parking: $300 - 400
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $31
* Other: $500
* Cat Deposit: $200
* Dog Deposit: $200","Dogs Allowed:
Breed restrictions apply. Breed restrictions apply. 
* $200 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,"Garage: $300 - 400
1 space; Assigned Parking. Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water","* 24-hour Front Desk
* Air Conditioner
* Bike Storage Room and Workshop
* Bike storage room with work station
* Bosch and Thermador Appliances
* Brizo Siderna Bathroom Fixtures
* Cable Ready
* Controlled-access Parking Garage
* Custom Elfa Closet Shelving*
* Daltile Stone Tile Spa Showers
* Daltile stone-tiled spa showers and soaking tubs
* Dishwasher
* Disposal
* Entertaining Kitchen with Bar
* Extra Storage
* Free Weights
* Glass Kitchen Backsplashes
* Green Building
* Green roof
* Green Roof Areas
* Hardwood Floors
* Indoor/Outdoor Clubroom
* Kaindl Wood Plank Flooring
* Large Closets
* Lobby-level Wine Cellar
* Luxe lighting package with recessed fixtures
* Luxe Lighting Packages
* Microwave
* Package Receiving
* Paneled refrigerators and dishwashers
* Patio/Balcony
* Pet Friendly
* Plaza bike parking
* Plaza with Bike Parking and Sculptures
* Private Terraces*
* Refrigerator
* Retractable Glass-walled Rooftop Lounge
* Service kitchen with bar
* State-of-the-art conference center
* Storage Units Available
* Stylish MechoShade blinds
* Stylish MecoShades
* Washer/Dryer
* White Quartz and Granite Countertops
* Wi-Fi Lounge with Coffee Bar
* WiFi lounge with complimentary coffee
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom
* Sprinkler System","* Hardwood Floors
* Vinyl Flooring
* Views
* Walk-In Closets
* Double Pane Windows
* Window Coverings","12, 13, 14, 15, 16, 17, 18","* Package Service
* Community-Wide WiFi
* Controlled Access
* Maintenance on site
* Concierge
* Video Patrol
* 24 Hour Availability
* Recycling
* Dry Cleaning Service
* LEED Rating
* Planned Social Activities
* Car Charging Station","* Built in 2017
* 106 Units/16 Stories","* Elevator
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Coffee Bar
* Conference Room
* Corporate Suites
* Two Story Lobby","* Gated
* Rooftop Lounge",,The good life is second nature at Element 28 - brand new apartments for rent just steps from the Metro in the heart of downtown Bethesda.
