Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Governors Green](https://www.apartments.com/governors-green-bowie-md/csnwgsf/),301-850-2623,"[16501 Governor Bridge Rd, Bowie, MD 20716](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/16501+Governor+Bridge+Rd,+Bowie,+MD+20716/data=!4m2!4m1!3e2)",713 Sq Ft,"$1,559 - 2,311","* Storage Fee: $55
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $35
* Cat Fee: $500
* Cat Deposit: $500
* Dog Fee: $500
* Dog Deposit: $500","Dogs and Cats Allowed:
We welcome your pets for a maximum of 2 pets per apartment home. Pet deposit fee is $500. The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $500 Deposit
* $50 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* 24hr. Emergency maintenance
* Bark Park
* Business center with equipment
* Garages Available
* High-speed internet access
* Pet Friendly
* Regular-sized pool
* Full-size washer/dryer
* Large walk-in closet
* Medium patio/balcony
* One-side woodburning fireplace",* High Speed Internet Access,,None,"* Maintenance on site
* Pet Care","* Built in 1998
* 478 Units/4 Stories",,,,"Nestled between Baltimore and Washington, DC, Governors Green offers a premier address for great apartment living in the area. With one, two, and three bedroom floor plan options, and stylish features, our apartment homes are the best in Bowie, MD! Each of our floor plans features an open-concept kitchen complete with a dishwasher, a private walk-out balcony, spacious walk-in closets, and cozy fireplaces. Our apartments offer the greatest amenities sure to complement any lifestyle. Residents enjoy our outdoor grilling area and refreshing swimming pool for entertaining. Children of our apartment community enjoy the playground area and you will enjoy the convenience of a complimentary fitness center. Visit our Bowie, MD apartment homes near Woodmore to see for yourself why we are the best apartment community in the area! Contact us today!"
[The Garfield](https://www.apartments.com/the-garfield-bowie-md/cnttkgd/),866-959-8836,"[3631 Elder Oaks Blvd, Bowie, MD 20716](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3631+Elder+Oaks+Blvd,+Bowie,+MD+20716/data=!4m2!4m1!3e2)",736 Sq Ft,"$1,260 - 3,770","* Unassigned Garage Parking: $150
* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $25
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
We welcome two pets per home. There is $300.00 pet deposit per pet and $30.00 monthly pet rent per pet. Please contact the office for breed restrictions. 
* $35 Monthly Pet Rent
* $300 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Breakfast Nook","* Balconies & Patios Available
* Beautiful, Crown Molding
* Beautiful, Scenic Views
* Breakfast Bar
* Designer Light Fixtures
* Fireplaces Available
* Full-Sized Washer & Dryer In Home
* Granite Countertops
* High Ceilings
* Loft Style Apartments
* Newly Renovated Kitchens
* One, Two & Three Bedroom Floor Plans
* Open Concept Floor Plans
* Outdoor Space With Grills & Picnic Area
* Package Acceptance
* Pet Friendly
* Plush Carpeting in Living Room and Bedrooms
* Solid Hardwood Flooring
* Spacious Cosets
* Spa-Inspired Soaking Tubs
* Stainless Steel Appliances
* Two Beautifully Landscaped Courtyards","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Alarm
* Trash Compactor
* Storage Units
* Tub/Shower
* Fireplace
* Handrails
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Recreation Room
* Crown Molding
* Vaulted Ceiling
* Views
* Walk-In Closets
* Linen Closet
* Loft Layout
* Double Pane Windows
* Window Coverings","6, 7, 8, 9, 10, 11, 12, 13, 14, 15","* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability","* Built in 1997
* 348 Units/4 Stories","* Business Center
* Clubhouse
* Lounge
* Storage Space
* Corporate Suites","* Gated
* Fenced Lot
* Sundeck
* Courtyard
* Picnic Area",,"Start your journey at The Garfield. Our beautifully landscaped apartments in a mid-rise gated community give you the opportunity to be at your best and indulge in the convenience of apartment living. Our one, two and three bedroom apartment homes give you the space you want with all of the best, modern finishes including newly renovated kitchens, stainless steel appliances, solid wood flooring, and spa-inspired baths. We spare no expense to ensure that your home at our pet-friendly community provides everything you need and more. At The Garfield, you can truly indulge in the best that Bowie has to offer. Step out your door and see the resort-style amenities in a location that gives you instant access to everywhere you want to be. Whether you want to relax, entertain, or connect - the options are endless. You can relax by our sparkling pool, entertain in our picnic area with grills, or connect in our business center. Visit us soon and see why The Garfield in Bowie, Maryland is a hidd"
[Lake Arbor Towers](https://www.apartments.com/lake-arbor-towers-bowie-md/3fsg4ff/),866-863-4320,"[11411 Lake Arbor Way, Bowie, MD 20721](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11411+Lake+Arbor+Way,+Bowie,+MD+20721/data=!4m2!4m1!3e2)",675 Sq Ft,"$1,405 - 1,960",* Gas: Included,* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
1 space.","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator",,"* Washer/Dryer
* Heating
* Tub/Shower","* Walk-In Closets
* Window Coverings",12 months,* Maintenance on site,"* Built in 1989
* 209 Units/11 Stories",* Elevator,"* Gated
* Sundeck",,"Lake Arbor Towers. The relaxing lifestyle awaits you. * On the beautiful 22-acre Lake Arbor rests a truly unique living experience. Right in the heart of Mitchellville, Lake Arbor Towers is a haven right in the middle of civilization. Every apartment boasts gorgeous views -- many homes overlook the lake. Plus, you'll enjoy a private pool, fitness center, and party room. And if you're a golf enthusiast, you''ll be glad to have the world-class Lake Arbor Golf Course right nearby."
[Heather Ridge Apartments](https://www.apartments.com/heather-ridge-apartments-bowie-md/q44zz9y/),301-850-4725,"[16021 English Oaks Ave, Bowie, MD 20716](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/16021+English+Oaks+Ave,+Bowie,+MD+20716/data=!4m2!4m1!3e2)",736 Sq Ft,"$1,476 - 2,018","* Unassigned Garage Parking: $160
* Cat Rent: $30
* Dog Rent: $30","* Amenity Fee: $400
* Application Fee: $35
* Cat Deposit: $400
* Dog Deposit: $400","Dogs Allowed:
No agressive breeds. Please call for breed and other restrictions. 
* $400 Deposit
* $30 Monthly Pet Rent
* 40 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Open Park","* Fitness Center
* Pool
* Playground
* Basketball Court
* Racquetball Court
* Tennis Court","* Dishwasher
* Disposal
* Kitchen
* Range","* Additional Storage Available
* Ample Closet Space
* Car Wash Area
* Credit Cards Accepted For Rent Payments
* Full-Sized Washers & Dryers
* Optional Bay Windows
* Outdoor Grills and Picnic Area
* Private Patios and Balconies
* Tanning Bed
* Upgraded Kitchens & Bathrooms
* Walk-In Closets
* Wall-to-wall carpeting
* Wood-Burning Fireplaces","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Fireplace","* Carpet
* Dining Room
* Den
* Walk-In Closets
* Window Coverings","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","* Maintenance on site
* 24 Hour Availability","* Built in 1988
* 648 Units/3 Stories",,,,"Surrounded by natural beauty, Heather Ridge in Bowie, Maryland is wonderfully tranquil yet easily accessible to Annapolis, Baltimore and Washington, D.C. Walk to the Bowie Town Center Mall and dine at numerous restaurants or browse more than 60 stores. We are less than a mile from Route 50 and Route 301. The New Carrollton Metro station is 10 minutes away. Heather Ridge offers newly renovated one, two and three-bedroom apartment homes that will fulfill your every expectation. Take pleasure in our beautifully upgraded kitchens and bathrooms while choosing from a variety of floor plans for your every need. Amenities include a 24-hour fitness center, racquetball court, indoor basketball court, tennis courts, sparkling swimming pool, outdoor grills, picnic area ... and more! 2016 Top Rated ApartmentRatings.com Winner 2016 PACE Distinguished Winner"
[Pin Oak Village Senior Apartments](https://www.apartments.com/pin-oak-village-senior-apartments-bowie-md/tlcntvb/),844-296-8319,"[16010 Excalibur Rd, Bowie, MD 20716](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/16010+Excalibur+Rd,+Bowie,+MD+20716/data=!4m2!4m1!3e2)",600 Sq Ft,Call for Rent,"* Water, Trash Removal, Sewer: Included","* Application Fee: $22
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
Breed restrictions apply 
* $250 Fee
* 35 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Health Club Facility
* Cardio Machines
* Weight Machines
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Eat-in Kitchen
* Oven
* Refrigerator","* Senior
* Senior Community 55+","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Handrails
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Dining Room
* Family Room
* Walk-In Closets
* Window Coverings",,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Video Patrol
* 24 Hour Availability
* On-Site Retail
* Planned Social Activities
* Guest Apartment","* Built in 1996
* 220 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Library
* Two Story Lobby","* Cabana
* Courtyard
* Grill
* Picnic Area",,"Pin Oak Village is a thriving apartment community for adults 55 years and over located in Bowie, Maryland. From the beautifully decorated reception lobby to the open, airy entertainment center complete with a handsome grand piano to the brick-paved patio area and sunny gazebo, Pin Oak Village has been perfectly planned for active senior living. Nestled in one of Bowie’s most prominent and established neighborhoods, the community is close to a variety of fine restaurants, shops, theaters, and services for your convenience. Pin Oak Village offers a unique environment, which is perfect for relaxation and recreation. An experienced, on-site team of residential management specialists ensures an unmatched level of personal attention and convenient community service. Every one or two bedroom apartment home at Pin Oak Village features a fully-equipped kitchen with a dishwasher and breakfast bar, as well as individually controlled heating and air conditioning. Like a breath of fresh air in affordable senior living, Pin Oak Village is close to everything, including perfection."
[17115 Russet Dr](https://www.apartments.com/17115-russet-dr-bowie-md/jnj30z6/),443-339-3060,"[17115 Russet Dr, Bowie, MD 20716](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/17115+Russet+Dr,+Bowie,+MD+20716/data=!4m2!4m1!3e2)",850 Sq Ft,"$1,175",,,,50,50,,,,,,,,,,,,![Primary Photo - 17115 Russet Dr](https://images1.apartments.com/i2/zHJo_fqzlBZXsf9okkSY_0XSR8mwu40k6_BmFigOXRA/110/17115-russet-dr-bowie-md-primary-photo.jpg) ![Building Photo - 17115 Russet Dr](https://images1.apartments.com/i2/8VTn_aMG3es48djhbyJYg8iWKR724IbD0MKxaEyie2w/118/17115-russet-dr-bowie-md-building-photo.jpg) ![Building Photo - 17115 Russet Dr](https://images1.apartments.com/i2/dwmoyk267UXrg0C3CULicRLupsZ-INi64OfJyLa-5Jk/118/17115-russet-dr-bowie-md-building-photo.jpg) ![Building Photo - 17115 Russet Dr](https://images1.apartments.com/i2/s3vmsV-S-MAYP7mHQca48Z4tvLAksZECJIKYMTjQohE/118/17115-russet-dr-bowie-md-building-photo.jpg) ![Building Photo - 17115 Russet Dr](https://images1.apartments.com/i2/xs60PRRr5Ogt4mozi_lcZGjqfvGS9jtetvx7sUeQAuc/118/17115-russet-dr-bowie-md-building-photo.jpg) ![Building Photo - 17115 Russet Dr](https://images1.apartments.com/i2/Ziqgyrhzwubk_NgZslXXZmpu0Ytd3I8O29R5gu3Ici0/118/17115-russet-dr-bowie-md-building-photo.jpg) ,"Separate entrance; spacious; quiet neighboorhood, utilities not included"
[12620 Blackwell Ln](https://www.apartments.com/12620-blackwell-ln-bowie-md/5degr8q/),,"[12620 Blackwell Ln, Bowie, MD 20715](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12620+Blackwell+Ln,+Bowie,+MD+20715/data=!4m2!4m1!3e2)",,"$2,000",,,,50,50,Garage,,,,* Air Conditioning,* Dining Room,,,* Lot Size: 0.19 AC,,,![Primary Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/559NWUozjawgaXcDdC2CK34SmCbxbIbGW2FA9z4Q5kA/117/12620-blackwell-ln-bowie-md-primary-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/EN5G2p2W4-uYYPnv6COgFHVe-SnJHxDrntOjGyFvqvI/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/-mkjCDJcc_gkN4m1NpdLmCWZ98sGwqoBonuXyX52itQ/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/rNt1ZsJi3sGg6BsDJm93va3PpiIwOojb0tXzqrakCyw/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/787hwJl_1VsPE_QLLKVkAEvero1sENbulPLWkxRHvXg/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/N6sfRUHL76MfYo1DpLjQgV3X7nnSCDtw3z1e_NyrsG8/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/He_d3M20YkpkFbkHSa4PRxfvtQ8BqVq3HqaKG4Zzvww/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/FUYVC2nBQ1xnv8cFmpH6OlRwp1JDJYLQ5TCvesXLSVo/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/zcAt_v4CDEop0hiMcbbL7t5PEDLGfdLQoNxyAnZfPCY/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/7Nx64I9MhEuP0WD8qAoHsf9Ywcv6V69p3ffR-cPeUZA/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/MR9OEh2OcwR8vGfZXgNIzshVqSo5r-rbuY__paZVTdY/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/zhCztQ1ATD4LxPr8BbUWMUmAaVd63-NGPA4V8VJg3m8/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/Cr8hGwpG5un-XyPlzi_RG-1z0BI0pJ3NrHJJmHbrrrA/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/4HUjX8g_7h_tY2yUbQGRLHUTa9KBTaMOmVPrBftVRsc/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/8DvxxglCOlkGf44HT-ol8wDdUfUEhsRiypVAzcjLiCc/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/Yk4_kUWjG5N3Cw63efCxbSotIfhuWT1nRAHg2rdCLbI/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/PGCpL51q75iKFMT9MrYK6zZzjH3OwsC_IYvFdbKNhe8/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/saApFuJS3BQwZAnvRGC7Uf0KNdHEwzx9b8KXb0Nvx-U/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/66aFIFLea65L3i33l6HkfbkbabFw0KfjmraKdtmMwB0/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/oIpqELBAn0mZPh0lhVYjHfkdGY2ij4zqLNRCw215ino/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/m_sFRBrc9ZfFwSmueZ8xgFUjeXVS-H66y-2sZN6wt9I/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/DXe8OfY3r8_PI4mHD0bcCVx10ESxSLxZRdBuoY_10Ns/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/UF3zGwMqAdaCFfSy8WWEEXt_2yxX-FCt8m0Cpu_ow2g/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/kZlEM7k5aTCL0jYg9UKCYjt7EE8R4lK-vg-vMGfYNx8/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/TWJlvg_94nJA_14whyL-BLG6mNQD5-yzOM_QxX8pb1E/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/eslojwik1Z1_omrKQRBvmwxYJceYLsHsWwyP_R1Igtk/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/Lty7GVYs3hR_37aQRGq0gseMN1IaEEdU9MIrkCnfD2A/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/d2XBg3ajgiTgxt5g5FgeTTIYcQtjf_ayEJmEwfs5Tyc/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ![Building Photo - 12620 Blackwell Ln](https://images1.apartments.com/i2/-ttO-iPy-HKa_bc97ODgrwnlHRAo5sS3_UtWrcaXYgU/117/12620-blackwell-ln-bowie-md-building-photo.jpg) ,Excellent Bowie colonial home! This house is CLEAN! Spacious home boosts 4 bedrooms and 2.5 bathrooms! Separate dining room! Good appliances! Washer and dryer included! Garage! Large fenced backyard! Residential Bowie neighborhood! See photos!
[1701 Peach Blossom Ct](https://www.apartments.com/1701-peach-blossom-ct-bowie-md/6dgvfev/),,"[1701 Peach Blossom Ct, Bowie, MD 20721](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1701+Peach+Blossom+Ct,+Bowie,+MD+20721/data=!4m2!4m1!3e2)",,"$2,400",,,,50,50,Garage,,,,* Air Conditioning,"* Dining Room
* Basement",,,* Lot Size: 0.05 AC,,,![Primary Photo - 1701 Peach Blossom Ct](https://images1.apartments.com/i2/9eqqXAbQc_-nzQFYcCyEA6KsyEImQUZ7O5HBdcMH2EA/117/1701-peach-blossom-ct-bowie-md-primary-photo.jpg) ,Very Nice Large 3 level townhouse In the conveniently located very close to Wegmans and woodmore shopping center. The home is an end unit with large basement that leads to a nice deck beautiful hardwood floors in living room and family room. Nice size master bedroom with huge walk-in closet and master bath with separate tub and shower. This is a must see. Don t miss out
[14818 Darbydale Dr](https://www.apartments.com/14818-darbydale-dr-bowie-md/fcxf7xv/),,"[14818 Darbydale Dr, Bowie, MD 20721](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14818+Darbydale+Dr,+Bowie,+MD+20721/data=!4m2!4m1!3e2)",,"$3,400",,,,50,50,,,,,* Air Conditioning,,,,* Lot Size: 0.28 AC,,,![Primary Photo - 14818 Darbydale Dr](https://images1.apartments.com/i2/f8CuxyAg9TLNM4AFa5822GidUI6Bv1qG2eq5dKjrCkM/117/14818-darbydale-dr-bowie-md-primary-photo.jpg) ,Gorgeous Stately colonial home in Bowie-great location-minutes from beltway. Home boasts a great room office on main level gourmet kitchen that leads to beautiful deck. This gem has 5BR 3 Full BA and 1 HB - partially furnished. There is a 200 pet deposit-small pet only. Welcome home!
[14918 London Ln](https://www.apartments.com/14918-london-ln-bowie-md/g4sx95y/),,"[14918 London Ln, Bowie, MD 20715](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14918+London+Ln,+Bowie,+MD+20715/data=!4m2!4m1!3e2)",,"$1,675",,,,50,50,,,,,* Air Conditioning,,,,,,,![Primary Photo - 14918 London Ln](https://images1.apartments.com/i2/0uA8y0tCtAHyautOp8dznzWAyszTJxzUV9x5xQS0SQI/117/14918-london-ln-bowie-md-primary-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/U90I0cXUh-bhmVlWbwqnbymvzyPxlQ6ByzHbHHDLGq4/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/NS0bmPyj9WI_YNTzXy975adbDksXCV8ZUghLyMp0KF0/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/tJwjVMPz1ujvIvKFqZYkFMc-1MBKyUMEWAe0W9xA1ss/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/zxqi0FtnSXLqTFS4lsjSBcQV-y-Ip8msHpQbAYa7zeg/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/Ri3K5ODmRn_ntOeHAEYRVc3NGnd6aKdy9SvFPIQdbYg/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/dQ6kWS23updtf20Gups41gZpZryBGHbh66pTGNynkq4/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/q9ROnMMyYLSy95v4ebeFWFM57NMMjknMBbWPLCrD4oU/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/a2k82rKdV9zx5u_vRC39dDUNj9OHYxmC_t_wmrZTVJ8/117/14918-london-ln-bowie-md-building-photo.jpg) ![Building Photo - 14918 London Ln](https://images1.apartments.com/i2/J9T9fJMVM95jLp9ETs9QbuvfQSJ6dk52TBgXVPuMeaU/117/14918-london-ln-bowie-md-building-photo.jpg) ,"(301) 960-5063 - 2-level townhome in Bowie featuring 3 bedrooms and 2.5 baths. Located right off Rt. 50 and 197, minutes to shopping at Bowie Town Center, close to 495, and an easy commute to DC. Features custom painted rooms, open kitchen with table space, new laminate flooring throughout the two levels, and energy efficient heating/AC. Master suite with it's own full bath and two other bedrooms upstairs. Community amenities include pool, tennis courts, basketball courts and more. Owner prefers two year lease. Accepts Section 8.
(RLNE3602773) Other Amenities - Pool. Appliances - Dishwasher, Air Conditioning, Refrigerator, Range, Garbage Disposal, Microwave- Over the range, Washer & Dryer On-Site. Lease lengths - 24 Months. Details regarding this property's Utilities - Resident Pays Heat, Resident Pays Electricity, Resident Pays Water."
