Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Capitol Square](https://www.apartments.com/capitol-square-brentwood-md/xpkn4tn/),844-833-6411,"[4010 38th St, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4010+38th+St,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",535 Sq Ft,"$1,250","* Cat Rent: $40
* Dog Rent: $40
* Gas, Water, Electricity, Heat, Trash Removal, Sewer: Included","* Application Fee: $30
* Cat Deposit: $350
* Dog Deposit: $350","Dogs and Cats Allowed
* $350 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Playground,"* Ice Maker
* Granite Countertops
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Linen Closet",12 Months,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability","* Built in 1965
* 116 Units/3 Stories",* Coffee Bar,,,"Come check out our newly renovated apartments just outside of DC. Enjoy all the benefits of living in the District without the hassle of city life or pricey apartments. We are located on the corner of 38th Avenue and Rhode Island, in the heart of the Hyattsville/Brentwood Arts District."
[4301 38th St](https://www.apartments.com/4301-38th-st-brentwood-md/0fk7f80/),,"[4301 38th St, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4301+38th+St,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,"$2,650",,,,50,50,Surface Lot,,"* Dishwasher
* Disposal
* Microwave
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning","* Dining Room
* Attic",,,* Lot Size: 0.13 AC,,,![Primary Photo - 4301 38th St](https://images1.apartments.com/i2/nRzJMaVtx18zb9JXD2xDjupE8_ZDCtQMuu5irYKFiRI/117/4301-38th-st-brentwood-md-primary-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/F14m634gUXBgWw_tJM7-5QElfqTkZ15duxUmlD22u8A/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/jdd_S78aV9sjywCYwYL1I79F1w91qIAI51__h8gxeP8/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/eVmi29YuZll1N93Dh3jHhFkv4Pr9AIsY02LdQdDnw8w/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/uY9CJHqeXQ0oGpvmTp02-HIzibgxLj4kF90v11EYocQ/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/YLujC85HQ0hCoM4nP8mWJFEU3EI0R7btEt_k5Mnib2A/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/CgnqnusrA8KlO4qofg0iL2zK2B5s3Nh4pXXwnDFgjDY/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/Gt8p6ILXfSHILbTe84lFnTK6yyzOjmtLAswTEUpdy7o/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/837QubfZWX6yQBx97wOSBlHYdI97UOuKo_hn_7V9kds/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/40OFblngPGKAJM-G20uStnjbnj6O3CqBnZaHb8-KN9E/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/YOzdowsBqI7NyfqQJcTj1NaKu9WYY923Sa6lhaptkdo/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/w1T3W_Ifi22BLl2GkYjOu_k7hLTRMpwXblVJz_24Ok8/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/0xTbx-SllgIxLNfRt5iGXR1-6ywx6iIF_5wl7pt2BPA/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/G2pyc5lNqigjQ70BsyT60Zy-E7WUDnxgZ5fgQVcVuGg/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/J_KXBuljwQH-ghSTQcHNmF2zsm0plH03LPmxeCdFE8M/117/4301-38th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4301 38th St](https://images1.apartments.com/i2/_tRC6cR3UjnkDArZsNt3DzP-5Zmn1-1bFWZVRPZyNpE/117/4301-38th-st-brentwood-md-building-photo.jpg) ,You ll love this 3 bd 2.5 ba 2 story home located on the border of DC & MD that s priced RIGHT! This home has in unit W/D off street parking & private driveway hardwood floors front porch rear balcony adjustable shower light in master sliding back doors full bedroom set large leather sectional area rugs living room table desk and chair. The neighborhood has sidewalks & Bartlett park.
[4108 40th St](https://www.apartments.com/4108-40th-st-brentwood-md/8zvd741/),,"[4108 40th St, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4108+40th+St,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,"$1,395",,,,50,50,,,,,,,,,,,,![Primary Photo - 4108 40th St](https://images1.apartments.com/i2/HE9u70JZRxj7-R7i2zzPqn1fgXyK6LTn5a6ANkhaBU4/117/4108-40th-st-brentwood-md-primary-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/fDy-xMic6znHOpFj2L9Lae95dMHcgtscV_X9bRMmtMo/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/SrLuxDMlg-6N8nFsDwDWBZ_pQWNmjZ2YZjgxYNmB9l4/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/-49S8bO33ZMBWeOX1jYJhWIjOBgupWvE6Vl7zBBvQ6Q/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/_0hoOYtp2yoMCvxEvRmKThK_nvA0zJMT-3dUlopgaeo/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/82uskYxPcnz6rtQehEdZKLYfFyfcGzX0ztRZCD9G2rA/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/5iohi46FZ2Dzf-aAjYqV7ajCRoC78kZtmyeLRly3dfc/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/d5PxZjZ8phGgLFVDVswk3xnCD5WGqcUc9Sk_FPEiudg/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/kH2eBAJoMz_8j_aal5kB52V3QIEman0tfHDYI_1JrI0/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/B6ng-Q2uylA5hvbKA316VRca-1Swaex73nTo0_mbyj4/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/9WNuphdISSdIrI_iNPGsjFWUzSNFAjkOn5VnuTTYrpY/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/vGM3kbH0balL8Gty9dNVdhQpIZykf8m2WIbwHFRVrck/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/uS9KCdhQ2BWTsaW0iKOwzHv6VEcChXm7_0Gt94qeEEg/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/Rds2LDdwQ0ZmK3cu32wqfoG24p3jZtCrlh1PMJ9vwoA/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/4v8qC1AbvrGyEfKfzMPVIqEIEiiCxwju-yCDREgUeuA/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/aWNUE9XSSbwagkzOiAYtuGfDuDt2mxOqLTX27JZXLrc/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/B1qI25R7QSPUZwW9FJvpyS_wKom0Lho-QDhUyvY5nL8/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/3dyPViC9lVsvkpi47hfepXsRAPDvrkJhH6MhoDvjPa0/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/3ADPycuV-0q94nHYWlxXUL59e6C5RZa_xG764_Nf-KE/117/4108-40th-st-brentwood-md-building-photo.jpg) ![Building Photo - 4108 40th St](https://images1.apartments.com/i2/ZRHq2HhMir88foC8zqAzpe-_xocsouOOENtM-TS4qBo/117/4108-40th-st-brentwood-md-building-photo.jpg) ,"(240) 242-7722 - Available November 1. Super Sunny! Gorgeous 2 BR Apartment, Near Bus, Hardwood Floors! Bring Your Pet! - Gorgeous large two-bedroom apartment with a lot of space. Three story high brick building is located in a quiet street off of Route 1 (Rhode Island Ave) at 4108 40th Street in Brentwood, MD 20722. There are total of seven apartments in the building. The apartment is located on the third floor. There are total of 7 apartment units in the building.
The apartment is newly renovated, has beautiful hard wood floors. There are huge new vinyl windows throughout the apartment which provide tons of natural of light. The apartment is very bright. 
There are laundry facilities available in the building.
The apartment has beautiful new IKEA kitchen.
There are ceiling fans in the living room and in both bedrooms.
The apartment is very large and is flooded with natural light.
Rent DOES NOT INCLUDE electricity, cable or telephone. 
Electric bill runs about $15-20/mo in the winter and little more in the summer depending on the A/C usage.
Rent includes gas, cold and hot water, sewer and trash. 
The apartment is located within minutes of walking from shopping. Metro bus stops in front of the building. Minutes from 495-Beltway and newly developed Hyattsville and Prince Georges Plaza areas.
There are 2 Metro stations about 1 mi away each (West Hyattsville and Prince Georges Plaza), and Metro bus stops in front of the building.
We accept pets! (Pet fee of $40/mo for a dog, $30/mo for a cat) Non-aggressive pets only!
Smoking is allowed outside only, 30 feet from the property.
Requirements: 1-year lease, 1 month security deposit, good credit.
APARTMENT WILL BE RENTED UNFURNISHED!
Directions from 495/Beltway:
Take exit 25/Route 1 South
Keep on Route 1 (Rhode Island Ave) for about 5 miles.
Right on 38th Street (next to ""Sonoco"" and ""Low Price"" gas stations) 4013 38th Street at Rhode Island Ave
(RLNE1871159) Other Amenities - Other- very sunny, quiet street, near transportation, near park. Pet policies - Small Dogs Allowed, Cats Allowed, Large Dogs Allowed."
[4012 Bunker Hill Rd](https://www.apartments.com/4012-bunker-hill-rd-brentwood-md/fr0yp3v/),,"[4012 Bunker Hill Rd, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4012+Bunker+Hill+Rd,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,$850,,,,50,50,,,,,,,,,,,,![Primary Photo - 4012 Bunker Hill Rd](https://images1.apartments.com/i2/pCWlzxG7UhOF3ujxBFAcG3qFsWqsWQYEFL1wVSzYaYY/117/4012-bunker-hill-rd-brentwood-md-primary-photo.jpg) ![Building Photo - 4012 Bunker Hill Rd](https://images1.apartments.com/i2/dVwEgI90dHgolnD6McuO38uv7ZOpdkP6f1ID8f5g4-A/117/4012-bunker-hill-rd-brentwood-md-building-photo.jpg) ![Building Photo - 4012 Bunker Hill Rd](https://images1.apartments.com/i2/QC6xpOyWFRm-pVtWO8WzjDXUMf9MPBAJoYGvKU8-XTM/117/4012-bunker-hill-rd-brentwood-md-building-photo.jpg) ![Building Photo - 4012 Bunker Hill Rd](https://images1.apartments.com/i2/Bk8DRYmvfA_EJA99A-s4zeLNdbj4OdrW3QIZ1vlpXzE/117/4012-bunker-hill-rd-brentwood-md-building-photo.jpg) ![Building Photo - 4012 Bunker Hill Rd](https://images1.apartments.com/i2/956PobB6QgGoHavi_s55t3XMsRKo8HCcgHSbb3JDBEs/117/4012-bunker-hill-rd-brentwood-md-building-photo.jpg) ,"---- SCHEDULE A SHOWING ONLINE AT: http://showmojo.com/lac/ec2da0e022 ----
1 bedroom with living room/den in upper part of house being rented. Private bathroom and
shared kitchen. Completely renovated with new carpets and new windows. Furnished with brand new bed, dresser, refrigerator and microwave. Separate entrance. Available now! No pets please. Please call 443-963-3131 to schedule an appointment."
[3722 Parkwood St](https://www.apartments.com/3722-parkwood-st-brentwood-md/sl46wk6/),,"[3722 Parkwood St, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3722+Parkwood+St,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
Parking Available",,,,,,,,"* Built in 1936
* 5 Units/2 Stories",,,![Primary Photo - 3722 Parkwood St](https://images1.apartments.com/i2/y2Ez6ad3KrJ1uKiTUHk6bX6M01jubR3Yb3tjtoD2tD0/117/3722-parkwood-st-brentwood-md-primary-photo.jpg) ![Building Photo - 3722 Parkwood St](https://images1.apartments.com/i2/veOS_AakQh__5pcN3spOqHn5n3oNilP7Fs7taR-AVVM/117/3722-parkwood-st-brentwood-md-building-photo.jpg) ,
[Brentwood Apartments](https://www.apartments.com/brentwood-apartments-brentwood-md/bx97r1c/),,"[4108 40th St, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4108+40th+St,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
Parking Available",,,,,,,,"* Built in 1960
* 14 Units/3 Stories",,,![Primary Photo - Brentwood Apartments](https://images1.apartments.com/i2/emsQCmXBi7OAlxbX6oI6Pa9NFB11xnfRHctWFMUqDqY/117/brentwood-apartments-brentwood-md-primary-photo.jpg) ,
[3700 Bladensburg Rd](https://www.apartments.com/3700-bladensburg-rd-brentwood-md/l3swvdg/),,"[3700 Bladensburg Rd, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3700+Bladensburg+Rd,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
Parking Available",,,,,,,,"* Built in 1943
* 6 Units/2 Stories",,,![Primary Photo - 3700 Bladensburg Rd](https://images1.apartments.com/i2/xcGLp9MOStAfcaFZuXpXer1YaXUIcKpGkSTVS76ZzFg/117/3700-bladensburg-rd-brentwood-md-primary-photo.jpg) ![Building Photo - 3700 Bladensburg Rd](https://images1.apartments.com/i2/mXjNTS8ziG4N2NkqHSmFz1kGHNI1-ETTjlXtI4TfiJQ/117/3700-bladensburg-rd-brentwood-md-building-photo.jpg) ,
[3800-3804 38th St](https://www.apartments.com/3800-3804-38th-st-brentwood-md/rw1erx3/),,"[3800-3804 38th St, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3800-3804+38th+St,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
Parking Available",,,,,,,,* 12 Units/2 Stories,,,![Primary Photo - 3800-3804 38th St](https://images1.apartments.com/i2/7ZHrfl75D_EFwwbSFWOcmHlDvL43Rh66mlp8XPoGwVc/117/3800-3804-38th-st-brentwood-md-primary-photo.jpg) ![Building Photo - 3800-3804 38th St](https://images1.apartments.com/i2/rjWcU0Wx4QnGFyXoT-zSikRpetlaptCQQD8JmxAbl2U/117/3800-3804-38th-st-brentwood-md-building-photo.jpg) ,
[3712 Bladensburg Rd](https://www.apartments.com/3712-bladensburg-rd-brentwood-md/8f6n2y1/),,"[3712 Bladensburg Rd, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3712+Bladensburg+Rd,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,,,,,50,50,,,,,,,,,"* Built in 1935
* 6 Units/2 Stories",,,![Primary Photo - 3712 Bladensburg Rd](https://images1.apartments.com/i2/64uEQpf2Ap25skvTy1VsxsWZhKJTPH902qPLT-M3VP8/117/3712-bladensburg-rd-brentwood-md-primary-photo.jpg) ![Building Photo - 3712 Bladensburg Rd](https://images1.apartments.com/i2/aV_-RHcmndOM6HWKY_gNXJOClTjQ80b2EJtHPcvbZIw/117/3712-bladensburg-rd-brentwood-md-building-photo.jpg) ,
[Brentwood](https://www.apartments.com/brentwood-brentwood-md/k8658lb/),,"[3807 Rhode Island Ave, Brentwood, MD 20722](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3807+Rhode+Island+Ave,+Brentwood,+MD+20722/data=!4m2!4m1!3e2)",,,,,,50,50,"Covered
1 space.",,,,"* Air Conditioning
* Wheelchair Accessible (Rooms)",,,,"* Built in 2018
* 147 Units/5 Stories",* Elevator,,![Primary Photo - Brentwood](https://images1.apartments.com/i2/YfST-Ras-HNjEt-zUDGtvfJeLrld45By8ODehYE3vr0/117/brentwood-brentwood-md-primary-photo.jpg) ![Building Photo - Brentwood](https://images1.apartments.com/i2/HT4V9jTP8q8u5vCtMDK-bi08Rc8E-5z51_yVGBptrDw/117/brentwood-brentwood-md-building-photo.jpg) ![Building Photo - Brentwood](https://images1.apartments.com/i2/P-0DD0QO8qeBczb1Hs0h6QxrSGVyGQWaKSPkNhgBb9I/117/brentwood-brentwood-md-building-photo.jpg) ![Building Photo - Brentwood](https://images1.apartments.com/i2/OJ42j5kFzN0ej478Z_m_EGkjQT6esg8iVzoygC27lwY/117/brentwood-brentwood-md-building-photo.jpg) ![Elevations - Brentwood](https://images1.apartments.com/i2/UyCgNLsiyHVelG01BIErw7VLBVeXmGPY1rIbkxf-6eE/117/brentwood-brentwood-md-elevations.jpg) ![Building Photo - Brentwood](https://images1.apartments.com/i2/dAceYMe5OxHSw2_YXGC32QC_Y1oGDndxxMNQao44BCU/117/brentwood-brentwood-md-building-photo.jpg) ![Building Photo - Brentwood](https://images1.apartments.com/i2/1Mn-rhiZzNWME8REJPw9sZUVtnwZGyjyWNGXUj6lZHI/117/brentwood-brentwood-md-building-photo.jpg) ![Building Photo - Brentwood](https://images1.apartments.com/i2/813KCkNrthp9F5I_zEbksQC68v_xCb_f3d46sJO1Lp8/117/brentwood-brentwood-md-building-photo.jpg) ,
