Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[6316 S Lake Ct](https://www.apartments.com/6316-s-lake-ct-bryans-road-md/5l34vpn/),,"[6316 S Lake Ct, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6316+S+Lake+Ct,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,"$1,550",,,,50,50,Other,,"* Dishwasher
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning","* Dining Room
* Basement",,,,,,![Primary Photo - 6316 S Lake Ct](https://images1.apartments.com/i2/sDRmzxb5WxfwR1FJvngNZRQ7WF9lNbVsckLBV1Az4yo/117/6316-s-lake-ct-bryans-road-md-primary-photo.jpg) ,Nice end unit located convenient to shopping and library.
[6225 Fenwick Rd](https://www.apartments.com/6225-fenwick-rd-bryans-road-md/00y6090/),,"[6225 Fenwick Rd, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6225+Fenwick+Rd,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,"$2,000",,,,50,50,Surface Lot and Garage,,* Eat-in Kitchen,,,"* Dining Room
* Basement",,,* Lot Size: 3.30 AC,,,![Primary Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/rlrMHssRViMNb80C68Ox1pLdD74U6j3W7OokIf8XwYw/117/6225-fenwick-rd-bryans-road-md-primary-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/8A4mO7w8lId-h24o9M9ObMFjfGdKdtUKlQvWFDOQEjk/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/xHowmVWtnsC3E_QRd5Lo6oyKHUJ3DRNI-2stysKwJhQ/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/cRCjfNRRqPisHLsXPqD7MfGXx2ZQlVOs-grsCbLMhkI/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/-W6tul5VolH89xmjVXDTNiYGlAMF8_pdBTuO_qflrhI/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/AAtlzNiKsiJ6iiegBaEeXxoglKhZaHP5bIP_mkMYfSw/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/HntTmQTQCKSmA5_YyCY2ecFipw7_zQpiVzCuy-7KnDs/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/d2lPtRsEeLJCd_8V7FuDE49dCEzryBYscIYamVWhfI4/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/rpxnjGUhoqn4-djpBvax9SN8w0rAv_dha1GVKEscqFg/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/EHBLqpNGrapiXKPAqzYYdb7PsG8HTAm0xtB-BLr0_vc/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/6KjKhPxSXm0jRA33ScUmTJIyhWOlooPPeRKH-gNoj-0/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/AwiaM2LcnTt5TZe1tJnDtkTLwccTWbgOSdUDY94dxbs/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/qJIiAWS28wXlFh7KkwiVqL43ppZEYT1IsHSY2yets-U/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/Za2VCISJYX1xB7Q42v7fozqg6jR3kKVTOx-_Dl_IyXw/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/vfCiSvxotrGACHZZ4Lds0xRS8KpEyeTja3hG0TWc268/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/PrJA7Jrf3fkgMcUPy-hU_Pdt3BEohis3gYB4sPs4wSw/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/itqn-OB958wYe-qdVR_qfTD1E8yDyhXJP5Kwj3unTjY/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/4ePvSPqmRfgeaspHhwiKMnJqy_k2zSdlYqvcHjJCfzg/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/4c7kTlFLceTxkx7-l1x69Et5mRsgb1DuJW0WSJPMvfc/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/ghbSvLmZctLWsDcuTOQd1as6AWbKlNLnxCYRcji-DHU/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ![Building Photo - 6225 Fenwick Rd](https://images1.apartments.com/i2/sM0JMvWjc8JmnXT0yqITdWoDsw-thRmleQGKuaSxYqM/117/6225-fenwick-rd-bryans-road-md-building-photo.jpg) ,Spacious home with 4 large bedrooms. Carpet upstairs is new all new kitchen appliances. Furniture in dining room can stay. Owner expects good credit and sufficient income
[2889 Chippewa St](https://www.apartments.com/2889-chippewa-st-bryans-road-md/d95wk3h/),,"[2889 Chippewa St, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2889+Chippewa+St,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,"$1,850",,,,50,50,Garage,,"* Dishwasher
* Disposal
* Ice Maker
* Microwave
* Oven
* Refrigerator",,"* Washer/Dryer
* Air Conditioning",* Dining Room,,,* Lot Size: 0.29 AC,,,![Primary Photo - 2889 Chippewa St](https://images1.apartments.com/i2/iEZo08uoZ5X-riQ3EitUfi2J5P3Zu3dgmuPf3k0PQG4/117/2889-chippewa-st-bryans-road-md-primary-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/IxbrCqLAhf4qHmf7deAFNS3bnCRfkQ9MhVT3VjJTM2o/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/5U9jXgCPyYP4ozQcNjl1hKk-GGmenW8Kng8P-OGBQOQ/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/g7PyyL8mqbgG_pU0Tx4_fLi_Jj2VzOLGGjEL3QAv28I/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/1R2bRh5jRPl5robzDSwyvmX4O3shxmeZMvgtDVYWOdI/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/MC1SPvH2RTaDZD3jgQLQPDm8EkXs0GNbFZeIgQKVQRc/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/mhuTIlYq9dLHg16WqLKNYhE6AKqtPpRyocYH8xcUE04/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/Etr7avgqgx6gwRPL2jwNorsyec-d2uuMiqZ3MOyfzqk/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/Sj0ke4p8CV9VGxdjEk5GR4FgeCxPDu_npdfaw2OwL7g/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/F0i_V9Eh48CXBJJmRpfYJEKCc5rUrFDwING8haSSYmA/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/cVHl75fEGpdxQL7jeR9a0r6DkR7EzpJeSHBANBA7-LA/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/GuoLfNy3t9p5caspce86x0C2seJFT_f5GSG_YfGZosY/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ![Building Photo - 2889 Chippewa St](https://images1.apartments.com/i2/AxoTH9sT6j2lew7WuqpbgZgNFrn2wUEtLz7ruw0b4w4/117/2889-chippewa-st-bryans-road-md-building-photo.jpg) ,THIS 3 BEDROOM - 2 BATH -ONE LEVEL HOME SITS ON A CORNER LOT - FEATURES INCLUDE UPDATED KITCHEN WITH UPDATED APPLIANCES AND CERAMIC FLOOR- LAUNDRY ROOM OFF KITCHEN - FORMAL LIVING AND DINING ROOM - 1 CAR GARAGE - FENCED BACKYARD WITH PATIO AND STORAGE SHED - EASY COMMUTE TO ANDREWS & BOLLING AFB AND MOST POINTS DOWNTOWN - THIS HOME IS ALSO FOR SALE & ELIGIBLE FOR RDA 100% NO MONEY DOWN FINANCING !
[5505 Auburn Ct](https://www.apartments.com/5505-auburn-ct-bryans-road-md/7zn31vw/),,"[5505 Auburn Ct, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5505+Auburn+Ct,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,"$2,050",,,,50,50,,,"* Dishwasher
* Disposal
* Oven
* Range
* Refrigerator
* Breakfast Nook",,"* Washer/Dryer
* Air Conditioning
* Fireplace","* Dining Room
* Basement",,,* Lot Size: 0.24 AC,,,![Primary Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/iugVmQcUYC5oxZpsyQBaabv6EENnhxwrC88A_rBoTk4/117/5505-auburn-ct-bryans-road-md-primary-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/X7xEjkZU-Y81Zh2T9K3MR2yBgBWCmHoU3woNkj_hGjg/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/AqLiwkiMnxMUEEithhl5ggHTdba-HCj91fqWLYwD_1k/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/s8ES_bpiR3GlxKbmvgyllTQHxJXMMgwLZ0GQWyaej2w/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/cApUQ2Cj2tlO-c7WFc6kOQyjIWy3RM6EnEO3ieRqmV8/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/porRNGuZXKXq6JZq_FAbxggntpjs1_X1GHZU_sD_NRE/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/GgJWUg4XMFgQdD-1Uax1GjiJmE4OxCMUdLWrCX68xFI/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/sp_fNkJHxsau5D_EbyzxO9O3SgezWBINMcSRpft7_8E/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/q0IfnVBpkX4zn349NKKwXdHJLumny63Vy0s7jA3fF-M/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/w3T-hJ0vOuROeZEWmPSTvsvEPOUqQZkuRmUZEhsRAnw/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/PCwknIr4O3kyvCSjW1IZmDiEboa__FWUhrb8_6wNHdw/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/dKiaHUTcjISd8CsIa7-3kmyrAxjV5kqdXjaetNwTGYE/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/Ss0R3ZEKYLEctLVV87iisaS_KihwjNC7zkWRt_g2cSQ/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/fUDfj_slgj8r1oZypAXpeiDPIePuJXWIGaOdQzcLYhE/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5505 Auburn Ct](https://images1.apartments.com/i2/fTWHmHo4p7Qcb7j9cW_Vh1sH3CC3rRuzA4OTF8WIOoc/117/5505-auburn-ct-bryans-road-md-building-photo.jpg) ,Single Family home located in South Hampton community. Three levels Three Bdrms & Three Full & One Half Baths. Large MBR w/Private en-suite - can easily accommodate King size bed. Hardwood floor Family room w/wood burning Fireplace and EIK. Separate Laundry room large Rec Room w/Full Bath and easy access to large fenced yard & Upper deck. Near Andrews Bolling AFB So Naval Facility & DC.
[6133 Lands End Ct](https://www.apartments.com/6133-lands-end-ct-bryans-road-md/x9c88vm/),,"[6133 Lands End Ct, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6133+Lands+End+Ct,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,"$1,750",,,,50,50,Other,,* Eat-in Kitchen,,,* Basement,,,* Lot Size: 0.04 AC,,,![Primary Photo - 6133 Lands End Ct](https://images1.apartments.com/i2/Zm4PBTLilreW9BfVsOSkPl8I29yWQr_nAVgO1L1i3KU/117/6133-lands-end-ct-bryans-road-md-primary-photo.jpg) ![Building Photo - 6133 Lands End Ct](https://images1.apartments.com/i2/_4cM8RcUJnkAlKv0Uv1lfiA6hC31iqn_xHnYq0xmb-4/117/6133-lands-end-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 6133 Lands End Ct](https://images1.apartments.com/i2/9_07CjGDAsg6I4uE_2bVToK6EC9_bLSL31naRkANDB0/117/6133-lands-end-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 6133 Lands End Ct](https://images1.apartments.com/i2/8nQWplPRegTwkbP0Ff_Lpuyyjr_OGO3zKuVQGKFb4zk/117/6133-lands-end-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 6133 Lands End Ct](https://images1.apartments.com/i2/yA99h_n4Wui9yEMgD0Ps6TFUKPO_TmgFtfYurcS8ePg/117/6133-lands-end-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 6133 Lands End Ct](https://images1.apartments.com/i2/A-o4gN4tYVQR75hjJMCcuL5XEHJLcZknQNcHw4ONj6I/117/6133-lands-end-ct-bryans-road-md-building-photo.jpg) ,Sun drenched townhome with beautiful relaxing back yard. Hardwood floors on main level. Cathedral ceilings and soaking tub in master bedroom and bath. Upgraded appliances. Finished basement with family room and extra room for office or exercise. Close to shopping main road and Naval Base. Apply online only at rentalsrock
[6345 Barnett Smith Pl](https://www.apartments.com/6345-barnett-smith-pl-indian-head-md/n7zq8nq/),,"[6345 Barnett Smith Pl, Indian Head, MD 20640](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6345+Barnett+Smith+Pl,+Indian+Head,+MD+20640/data=!4m2!4m1!3e2)",,"$1,650",,,,50,50,,,"* Oven
* Refrigerator",,* Ceiling Fans,,,,,,,![Primary Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/_yJIoL8y376pWKEL06__de3cUUhYlrIIRO14A_DSwfc/117/6345-barnett-smith-pl-indian-head-md-primary-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/DUwVj-1lOB5MNq30XSx7X2L1kXbejKUEbVE3_3TGTxs/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/Q4JjHD2K8yOannBfa8Ye6sCwzgxW3JNVY-JbYgsZmOc/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/Phz7nF4B3sikxcnyjm0rzpHVk5IB9x4HN-lYjexXams/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/SQNtER5gPQ4Fph4-f6iTkaEI5YF8XeXLMYWXnnc8xck/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/xm7l7tDmywqs7WyZSug1A5pJR0wCXp06-e5D4pEdYIY/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/sVXjYTfH3A1k1i5KFkMbUhZn2I0h8MlMcWRsMeb7k8I/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ![Building Photo - 6345 Barnett Smith Pl](https://images1.apartments.com/i2/IBrTDd9mbg4yyiW0e96LxJUBk3fR0oLN3uukLgXzZMw/117/6345-barnett-smith-pl-indian-head-md-building-photo.jpg) ,New price! Large rental available bring the whole family. Located on a private street for plenty of privacy. Updated kitchen appliances full size washer/dryer hookup large yard for children to play pets on a case by case basis. Section 8 welcome. Vacant on combo 2816. Contact listing agent with questions.
[3183 Jenkins Ln](https://www.apartments.com/3183-jenkins-ln-indian-head-md/0mv64z3/),,"[3183 Jenkins Ln, Indian Head, MD 20640](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3183+Jenkins+Ln,+Indian+Head,+MD+20640/data=!4m2!4m1!3e2)",,"$1,800",,,,50,50,,,,,,,,,,,,![Primary Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/Z0tqf984bbJYPKXc-I5zTUFZNgz3TW99dK7aEc7WRMc/117/3183-jenkins-ln-indian-head-md-primary-photo.jpg) ![Building Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/-UHFmFZedHp11XijPLdZTyaiMWjoAY7fAmvrwntmG_Y/117/3183-jenkins-ln-indian-head-md-building-photo.jpg) ![Building Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/61vIt5wLUnMbDH1AfQ5CrE-q5iYW4Nig007FMRpkatc/117/3183-jenkins-ln-indian-head-md-building-photo.jpg) ![Building Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/jVbJ207X047L7LKlvQZmFrTroti5rcKnKYTQJb2JaLM/117/3183-jenkins-ln-indian-head-md-building-photo.jpg) ![Building Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/UAZWGepwm37SRYRbHUIF2Nzh8UZwcSQwqorBzeTv-T4/117/3183-jenkins-ln-indian-head-md-building-photo.jpg) ![Building Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/sFBxmlHTsC7DKRlQ1EdGTkIyY_fIAqJMrY-30DJFC0I/117/3183-jenkins-ln-indian-head-md-building-photo.jpg) ![Building Photo - 3183 Jenkins Ln](https://images1.apartments.com/i2/y-D_hBW84nvJkd0wQPxBnJxwOBQ3Xyzz3rYeGAH2vDY/117/3183-jenkins-ln-indian-head-md-building-photo.jpg) ,"This 4 Bedroom, 2.5 Bath three story Cape Cod has been completely remodeled. The home features hardwood floors, a private study, florida room and mudroom. The basement has been transformed into a huge master suite complete with a full bath and sitting area. The 1 acre lot includes a large deck, playhouse and barn-sized shed. Conveniently located near military bases, National Harbor and DC."
[5147 New Stead Ct](https://www.apartments.com/5147-new-stead-ct-bryans-road-md/rwrjsn0/),,"[5147 New Stead Ct, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5147+New+Stead+Ct,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,"$2,400",,,,50,50,,,,,,,,,,,,![Primary Photo - 5147 New Stead Ct](https://images1.apartments.com/i2/_ESfxG8ucksmzQtOzE2i2PM8MxU4yBnquhUVFbSPA4s/117/5147-new-stead-ct-bryans-road-md-primary-photo.jpg) ![Building Photo - 5147 New Stead Ct](https://images1.apartments.com/i2/xDtLlrZRjWizZPHl2U9fqGbflD3x4j1MIUh5QpUBICo/117/5147-new-stead-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5147 New Stead Ct](https://images1.apartments.com/i2/hMUqrfpxs-lvAUzPkBEwZg23x64M_JsPucwGYq2Zz64/117/5147-new-stead-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5147 New Stead Ct](https://images1.apartments.com/i2/FHB5lxlxAycIG-pLo1H0pq1BNsv4PkTtowyL1tO4f9o/117/5147-new-stead-ct-bryans-road-md-building-photo.jpg) ![Building Photo - 5147 New Stead Ct](https://images1.apartments.com/i2/i-ZC2tww_djCKJ3coeRF3tOPj_KCu37DC2kW-vIXnpA/117/5147-new-stead-ct-bryans-road-md-building-photo.jpg) ,"This home has been meticulously maintained! Features a large MBR with huge walk-in closet and the MBA has a garden tub, dual vanity and separate shower. The family room with its 6ft. bump-out sets the perfect stage for watching football games or just relaxing with family. The deck is large enough to accommodate almost any gathering. On a cul-de-sac and backs to woods for privacy!"
[Indian Head Village](https://www.apartments.com/indian-head-village-bryans-road-md/byv9v0c/),,"[7 Hampton Ct, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7+Hampton+Ct,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
1 space.",* Playground,,,"* Air Conditioning
* Cable Ready",* Carpet,,"* Laundry Facilities
* 24 Hour Availability","* Built in 1985
* 40 Units/2 Stories",,,![Primary Photo - Indian Head Village](https://images1.apartments.com/i2/J0aCi72eBrtBv5K3YFzc4RxHmc6qWNCoEaA90wi6ZKY/117/indian-head-village-bryans-road-md-primary-photo.jpg) ![Building Photo - Indian Head Village](https://images1.apartments.com/i2/D-B_XT8-S6aMpxdyFctoEuXrCyMuHKCGwRUJcvxDVlM/117/indian-head-village-bryans-road-md-building-photo.jpg) ![Building Photo - Indian Head Village](https://images1.apartments.com/i2/G-PGF5xHNR9uWrMa4Sk8fYJAua1gZADBPotpLTZOkWs/117/indian-head-village-bryans-road-md-building-photo.jpg) ![Building Photo - Indian Head Village](https://images1.apartments.com/i2/XnnGkm3dXz0aa7SD--mGCyOzZZoSz9BpeHJ2DMuP58U/117/indian-head-village-bryans-road-md-building-photo.jpg) ![2BR/1BA - Indian Head Village](https://images1.apartments.com/i2/B6YbFqmBVuWBhySx4Z_L-jgJdEb725QOrVyQnLRheso/117/indian-head-village-bryans-road-md-2br1ba.jpg) ,
[Indian Head Village](https://www.apartments.com/indian-head-village-bryans-road-md/lyec6rg/),,"[106 Gentry Ct, Bryans Road, MD 20616](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/106+Gentry+Ct,+Bryans+Road,+MD+20616/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
1 space.",* Playground,,,"* Air Conditioning
* Heating
* Cable Ready",* Carpet,,* Laundry Facilities,"* Built in 1985
* 30 Units/2 Stories",,,![Primary Photo - Indian Head Village](https://images1.apartments.com/i2/kNsgD0K_IZc1Zct3GHuYptQ3wQYjj6Nl3092AsK2xiU/117/indian-head-village-bryans-road-md-primary-photo.jpg) ![Building Photo - Indian Head Village](https://images1.apartments.com/i2/OtDz8zSYxWTUeBk0W59imWRpDIu8sRCt6KLhsZddl8I/117/indian-head-village-bryans-road-md-building-photo.jpg) ![Building Photo - Indian Head Village](https://images1.apartments.com/i2/rEWnuLDaFhsEEuKlxiPXVVTRdFDW4hsSycWby4F_Ctw/117/indian-head-village-bryans-road-md-building-photo.jpg) ![Building Photo - Indian Head Village](https://images1.apartments.com/i2/zPuML2V9efIf9baRyPa8N9kdJRJwftry9-_CPMqNieg/117/indian-head-village-bryans-road-md-building-photo.jpg) ![2BR/1BA - Indian Head Village](https://images1.apartments.com/i2/5qKveK1eHehScm1u1UIaL1h9iz2-WvRCwFHJhmQk-Bs/117/indian-head-village-bryans-road-md-2br1ba.jpg) ,
