Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Lexington Court](https://www.apartments.com/lexington-court-capitol-heights-md/0hgjsf3/),864-991-3351,"[5284 Marlboro Pike, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5284+Marlboro+Pike,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",625 Sq Ft,"$1,013 - 1,695","* Cat Rent: $60
* Dog Rent: $60","* Application Fee: $35
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
We are pet-friendly! We welcome up to 2 pets per household. Breed restrictions apply. Weight limit is 60 pounds per pet. There is a $30 monthly pet rent per pet. There is also a $300 pet deposit. Please call our leasing office for more details. 
* $300 Deposit
* $60 Monthly Pet Rent
* 60 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available",* Fitness Center,* Microwave,"* 1 Gigabit Internet Available
* 24/7 on Call Maintenance
* Ample Visitor Parking
* Coffee Cafe serving Starbucks Coffee
* Dog Park
* Dog Wash
* Electric Vehicle Charging
* Elounge With Wifi Hot Spots
* Gated Garage Parking
* Large pool (Olympic size)
* Movie Theater
* On Site Recycling
* Pool Side Cabanas
* Water Bottle and Towel Service
* Additional Storage
* Ceiling Fan
* Ceiling fan guest bedroom
* Ceiling fan master bedroom
* Ceramic countertop
* Decorative 2 inch Blinds
* Flat Screen TV
* Full Renovation
* Full-Size Washer/Dryer
* Hollywood Vanities-Guest Bath
* Hollywood Vanities-MasterBath
* Modern Cabinetry
* New Cabinets
* Oval Soaking Tubs
* Oval Soaking Tubs * in select units
* Pool view
* Quartz Bathroom Vanities
* Quartz Countertops
* Rain Shower Head
* Stainless Steel Appliances
* Storage Space
* USB Jacks in Master Beadroom and Kitchen
* USB Outlets
* Wood Floors
* Wood Vinyl Flooring * in select units",* High Speed Internet Access,,12 months,* Pet Care,"* Built in 1964
* Renovated in Jan 2002
* 272 Units/4 Stories",* Library,* Balcony,,"Lexington Court is a gorgeous community located in Capitol Heights, MD. Lexington Court has beautiful landscapes, park-like grounds, tree-lined views and charming walkways/courtyards. Lexington Court offers one bedroom, two bedrooms and 3 bedrooms floor plans. This apartment includes light-filled homes due to the panoramic oversized windows, spacious and unique floor plans and unexpected beautiful interiors. Please call us for an appointment today!"
[Fox Club](https://www.apartments.com/fox-club-capitol-heights-md/fc86fjs/),240-455-3063,"[1901-1939 Brooks Dr, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1901-1939+Brooks+Dr,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",724 Sq Ft,"$1,045 - 1,520","* Cat Rent: $30
* Dog Rent: $30
* Gas, Water, Heat, Trash Removal: Included","* Admin Fee: $99
* Application Fee: $32
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
$250 deposit, $30 monthly rent. 25 pound weight limit. 
* $250 Deposit
* $30 Monthly Pet Rent
* 25 lb Weight Limit
* 2 Pet Limit
* Must Be Spayed/Neutered",50,50,"Surface Lot
1 space. Parking Available",* Pool,"* Dishwasher
* Disposal
* Pantry
* Kitchen
* Range
* Refrigerator","* Lush Landscaping
* Near Andrews Air Force Base
* Near Penn Mar And Forest Village Shopping Centers
* Near The Census Bureau & Suitland Federal Complex
* Tub/Shower
* Walk-In Closet (s)","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV
* Alarm
* Tub/Shower","* Carpet
* Dining Room
* Den
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",,"* Laundry Facilities
* Maintenance on site
* Courtesy Patrol
* Online Services","* Built in 1966
* 258 Units/4 Stories",,"* Balcony
* Patio",,"Ideally located in a charming, wooded setting just off Marlboro Pike, Fox Club has fully enclosed building w/electronic key pad entries. Elegant apartment interiors now include individual intrusion alarms. The Addison Road & Capitol Heights Metro Stations are just a short ride away, as are major employers such as Andrews AFB, the Census Bureau & Suitland Federal Complex. Shopping has never been more convenient with Penn Mar and Forest Village Shopping Centers. Please call for current specials!"
[Penn Southern](https://www.apartments.com/penn-southern-capitol-heights-md/yhglzpt/),844-808-1242,"[4113 Southern Ave, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4113+Southern+Ave,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",512 Sq Ft,"$965 - 1,502","* Cat Rent: $50
* Dog Rent: $50
* Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Dogs Allowed:
2 cats or 1 dog. 35 lbs max. $50 pet rent per month, per pet. Dogs 
* $50 Monthly Pet Rent
* 35 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Disposal
* Eat-in Kitchen
* Range","* 8 Minutes From Metro Green Line
* 8 Minutes From Naylor Road Metro Station
* Balcony
* Cable, Central A/C, Disposal, Gas Stove, Internet
* Furnishings Available
* Hardwood Floors
* Patio Or Terrace
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready","* Dining Room
* Walk-In Closets
* Window Coverings",12,* Laundry Facilities,"* Built in 1965
* 307 Units/4 Stories",,* Gated,,Nearby Metro Bus and Metro Rail stations make Penn Southern the choice alternative to expensive and cramped city living. Every apartment has a private patio or balcony and a host of other amenities. Close to downtown Washington and Capitol Hill.
[Courts at Walker Mill](https://www.apartments.com/courts-at-walker-mill-capitol-heights-md/dp7h2gj/),240-696-1087,"[6936 Walker Mill Rd, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6936+Walker+Mill+Rd,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",670 Sq Ft,"$1,025 - 1,930","* Cat Rent: $35
* Dog Rent: $35
* Water, Trash Removal: Included","* Application Fee: $35
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
Breed Restrictions 
* $35 Monthly Pet Rent
* $250 Fee
* 35 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen
* Oven
* Range
* Refrigerator","* Air Conditioner
* Cable Ready
* Carpeting
* Disposal
* Large Closets
* Open Floor Plans
* Patio/Balcony
* Refrigerator","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Den
* Walk-In Closets",None,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* Video Patrol
* Renters Insurance Program
* Online Services","* Built in 1969
* 200 Units/4 Stories",* Clubhouse,"* Balcony
* Patio
* Lawn",,"Located minutes from Addison Metro, the Beltway, and downtown D.C, our apartments offer central heat and air conditioning, private patios or balconies, spacious closets, modern kitchens, and much more. A sparkling swimming pool, playground, and off-street parking round out the classic charm and modern convenience of Courts at Walker Mill Apartments."
[Woods at Addison](https://www.apartments.com/woods-at-addison-capitol-heights-md/941snm7/),301-836-3127,"[6500 Ronald Rd, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6500+Ronald+Rd,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",735 - 758 Sq Ft,"$1,020 - 1,415","* Cat Rent: $30
* Dog Rent: $30
* Water, Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
The following breeds of dogs are not permitted or any mix of these breeds of dogs where the following breeds are 50% or more in your dog: German Shepards, Akitas, Chow Terriers or Chow breed mixes, American, Bull Staff or Staffordshire Terriers, Dob 
* $300 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Pool
* Playground
* Basketball Court
* Tennis Court","* Disposal
* Range
* Refrigerator",,"* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Den
* Walk-In Closets",12 month leases,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site","* Built in 1963
* 200 Units/3 Stories",,"* Balcony
* Patio",,"Woods at Addison offers beautiful garden style apartments only minutes from the Metro, shopping, the Capitol Beltway and Washington DC. You will fall in love with our spacious floor plans featuring modern kitchens, private balconies or patios, huge closets, and much more."
[Hillside Heights](https://www.apartments.com/hillside-heights-capitol-heights-md/ljkw1te/),301-358-5666,"[5237 Marlboro Pike, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5237+Marlboro+Pike,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",642 Sq Ft,"$815 - 1,500","* Cat Rent: $35
* Dog Rent: $35
* Water, Trash Removal, Sewer: Included","* Application Fee: $45
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Breed restriction do exist per PG County Law 
* $300 Deposit
* $35 Monthly Pet Rent
* 40 lb Weight Limit
* 2 Pet Limit
* Pet Interview Required",50,50,"Surface Lot
1 space. Permit parking only","* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Walk-In Closets
* Linen Closet
* Window Coverings
* Accent Walls",12,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability","* Built in 1962
* 231 Units/3 Stories",,"* Balcony
* Patio",,"You deserve the finer things in life! At Hillside Heights Apartments, every apartment is designed with you in mind and includes features that assure the quality and comfort you expect. Conveniently located off Pennsylvania Avenue just minutes from I395, Baltimore Washington Parkway, and downtown Washington D.C., we have the best value in Capitol Heights. Join your family, friends and neighbors in a community of which you can be proud, and where our number one goal is taking care of you!"
[Addison Chapel](https://www.apartments.com/addison-chapel-capitol-heights-md/scw2dp7/),855-669-3521,"[1525 Elkwood Ln, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1525+Elkwood+Ln,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",575 Sq Ft,Call for Rent,"* Cat Rent: $20
* Gas, Water, Electricity, Heat, Cable, Air Conditioning: Included","* Application Fee: $35
* Cat Deposit: $200","Cats Allowed:
Up to two cats. $20 fee per month. $100 pet fee. 
* $200 Deposit
* $20 Monthly Pet Rent
* 2 Pet Limit
* Must Be Spayed/Neutered",50,50,"Surface Lot
Parking Available",* Playground,"* Granite Countertops
* Kitchen
* Oven
* Range
* Refrigerator",,"* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Tile Floors
* Walk-In Closets
* Linen Closet
* Window Coverings",,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Doorman
* Bilingual
* Courtesy Patrol
* 24 Hour Availability
* Laundry Service
* Online Services
* Planned Social Activities","* Built in 1952
* 320 Units/3 Stories","* Clubhouse
* Storage Space
* Conference Room",* Picnic Area,,"Welcome to Addison Chapel, a great place to call home. Our oversized living spaces feature lighted ceiling fans, convenient laundry facilities, and colonial-style windows with mini-blinds. We are cable ready and offer high speed internet access. Our community amenities include lush landscaping and barbeque and picnic area. We are conveniently located near Metro, shopping centers and restaurants. Call today to see your new home at Addison Chapel. ALL UTILITIES INCLUDED *for a small fee*! *Prices are subject to change."
[1517 Beaver Heights Ln](https://www.apartments.com/1517-beaver-heights-ln-capitol-heights-md/rs9gmv0/),240-293-3617,"[1517 Beaver Heights Ln, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1517+Beaver+Heights+Ln,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",,"$1,795",,,No Pets Allowed,50,50,Street,,,,"* Washer/Dryer
* Smoke Free",,12 Months,,,,,![Primary Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/LRVtiHTSszVHpc0VJm6NYcJsSwAJwkYVliGARCiTQII/110/1517-beaver-heights-ln-capitol-heights-md-primary-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/0V1mHFOSMUoLKT7qQWgKORx7KQj6C6a_fEg4u2DrzA4/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/sik3xXRnC8PQRXWzu1yxk1Sl3c4GFN9S8OZWyXPhkm4/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/phGRB2nrnpnA3eP21zjQ7pKvFyAgviIrstwBK61v4W4/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/Rf-t-xmM-e6qkqZLmTWZyyQfmyjR-ICWYSBY2tWc9KY/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/a8kvuW7DzSdHXZjG3sCb2iV5ClSvuCIRYsD0yvBJh8c/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/n2dD6RdhxXgImrnjh_iHRtdm_cY3_ps-ZNFqSDes2K0/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/eenVD3Czc6rGAylVwmVJvsayZci8_znZSBY_4gJsLpo/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/cW-Fq-YN7sL5vmCIwXsiWKt-072Dkc68zG3g8--T79Q/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/NnTZzy8zPmSXYyLUWKWYF4xwUaPRlk__sqcgfYxoNnY/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ![Building Photo - 1517 Beaver Heights Ln](https://images1.apartments.com/i2/V0F98Z1RUT9IWimMIt56H8Yp5bHdID-BfxVG4IdhZcw/118/1517-beaver-heights-ln-capitol-heights-md-building-photo.jpg) ,"Beutifully undated single family home in Capitol Heights. Large living room with fireplace, separate dining room and updated kitchen with doors to deck and large backyard. 2 main floor bedrooms and 2 lower level bonus rooms with closets that could be used as you wish.lower level family room and full bathroom. Lower level has entry to back yard. Great home for entertaining, front porch and deck. Application fee $40 per person 18 and over and must provide proof of renters insurance prior to move in."
[6109 Hanlon St Unit A](https://www.apartments.com/6109-hanlon-st-capitol-heights-md-unit-a/js8my97/),678-769-3184,"[6109 Hanlon St, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6109+Hanlon+St,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",300 Sq Ft,$800,,,,50,50,Street,,,,* Washer/Dryer,* Furnished,12 Months,,* Furnished,,,![Brand New Floors - 6109 Hanlon St](https://images1.apartments.com/i2/EUIR3DeXwSv_jG8d1QpTWqrpnTN1M9ItfRx3cfaoXkQ/110/6109-hanlon-st-unit-a-capitol-heights-md-brand-new-floors.jpg) ![Building Photo - 6109 Hanlon St](https://images1.apartments.com/i2/peUD_kAbesDYu_xYw36vws2uNhwjefHWuZsrnN3nJ_s/118/6109-hanlon-st-unit-a-capitol-heights-md-building-photo.jpg) ![Beautiful Neighborhood! - 6109 Hanlon St](https://images1.apartments.com/i2/xZyI-rRDgqVupYR1sDC2Z1Kld-A6Uok5hmxGHnjZRHI/118/6109-hanlon-st-unit-a-capitol-heights-md-beautiful-neighborhood.jpg) ![Scenic Pond - 6109 Hanlon St](https://images1.apartments.com/i2/_CA4QBXq5mfzBMODsAQr3Y7jyveB9D04gxBtzMpruHI/118/6109-hanlon-st-unit-a-capitol-heights-md-scenic-pond.jpg) ![Shared Bathroom - 6109 Hanlon St](https://images1.apartments.com/i2/5LRGGILoS3KpEeP8KwPyhiv3CgudQn_JSh9KM4oHD38/118/6109-hanlon-st-unit-a-capitol-heights-md-shared-bathroom.jpg) ![Room A - 6109 Hanlon St](https://images1.apartments.com/i2/pIOZTVGW0-5rY1tnFBIVx-ssuI3tYOuuZ64yGAkQQ0g/118/6109-hanlon-st-unit-a-capitol-heights-md-room-a.jpg) ![Room B - 6109 Hanlon St](https://images1.apartments.com/i2/fYMAj1YRInHdfLm2pvry45MWnWZPplKApYYHwat6RGU/118/6109-hanlon-st-unit-a-capitol-heights-md-room-b.jpg) ![Outside view! - 6109 Hanlon St](https://images1.apartments.com/i2/_tRyYXS8YqkXsTrk2XMNz0z80kG0jnJc33-KUxYTB_E/118/6109-hanlon-st-unit-a-capitol-heights-md-outside-view.jpg) ![Beautiful Deck! - 6109 Hanlon St](https://images1.apartments.com/i2/R4XXyVjGZbYlN1bsKRJe_LTkf3yhsVJpHRu2wTflD54/118/6109-hanlon-st-unit-a-capitol-heights-md-beautiful-deck.jpg) ,"LOCATION! LOCATION! LOCATION!
Move-In Ready!
Exclusive Neighborhood!
Free Parking!
Garage Option Available! 
You will not find a more unique neighborhood! Whats being offered here is a bedroom in a beautifully built Town home only a few feet from DC. This neighborhood included over 200 luxury homes and town homes, newly paved streets, a scenic pond, new walking trials, a dog park and much more. 
-Less than a 10 minute walk to the Addison Road Metro
-Two Bus Stops Right outside Subdivision
-Direct Shot to the Capitol Building (15 minutes)
The House includes:
-Access to a newly renovated Gourmet kitchen 
-Beautiful Deck over looking a scenic pond.
-New Washer and dryer
-Sony 55' inch 4K TV in living room with Xfinity X1 on Demand!
-We would prefer students or young professionals but all are welcomed.
-(Possible) Access to a Garage. For an additional monthly fee you will receive a garage key be able to park your car in the garage.
-Comcast Xfinity, Cable, and home security system. Access the security system from anywhere in the world just using your phone.
-A safe, quiet place to live. Close to the Nation's Capital.
ROOM LOCATION, RENT: 
-This is an unfurnished bedroom. 
-Rent is $800/month first months' rent and deposit are needed to move in. 
-A standard credit and background check will be conducted. There are 2 rooms available. 
-There are 12 month, 6 month, and even Monthly leases available. Perfect for those who need short term living arrangements for internships or job assignments.
Management: The property is managed by Brogden | Marshall, LLC. An access management firm. All credit and background checks will be conduct by Brogden | Marshall, LLC. Rent will be directly deposited into the company's account on the 1st of each month.
DISCLAIMERS: You will have to share a full bathroom with 1 other person. However, through proper vetting we will ensure that both tenants are both clean and respectfully of one another's space. As stated there are two rooms available. If you have a friend who is interested in renting the other room ($800/month).
ABOUT YOUR HOUSEMATES: 
-My name is Josh. I am 25 years old. I am a second year law student at Howard Law school in DC. I am originally from Atlanta Georgia. I am an Army veteran. I have been in the Army for over 7 years, and am still currently serving. 
- Graduated from The Ohio State University (GO Buckeyes!)
- I do not have any pets.
- I am very clean and respectful of others and their space. I spend most of my time studying. 
- I love to cook.
ABOUT YOU: No smoking (inside). If you own a car, there is ALOT of space to park your car.This place is perfect for a quiet student/young professional who wants to be at the center of things and near lots of public transportation options, but likes a residential vibe. Personality-wise, you must be easy going, considerate, good at communicating + play well with others. No raging parties, loud music into the night, etc. 
****STUDENT DISCOUNT**** We offer a $100 discount for the FIRST MONTHS RENT making the FIRST MONTHS rent $700, to any Graduate student who signs a lease before October 1, 2017.
When you email, PLEASE SHARE SOMETHING ABOUT YOURSELF. Living habits, will it bother you if we meet for coffee, lunch or dinner one day? As roommates it is important to know each other well to facilitate a comfortable living environment!"
[7252 Joplin St](https://www.apartments.com/7252-joplin-st-capitol-heights-md/7e6xqny/),,"[7252 Joplin St, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7252+Joplin+St,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",,"$1,600",,,,50,50,,,,,* Air Conditioning,* Dining Room,,,* Lot Size: 0.08 AC,,,![Primary Photo - 7252 Joplin St](https://images1.apartments.com/i2/t4y_JhQ15nAhLmr4MwYpPkkEXa8_vaNiGP_1rksucGc/117/7252-joplin-st-capitol-heights-md-primary-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/1FTlOUPNLD6vvDIiR99LX42LGVZUPIhrYFCy_kjRG5Q/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/rajGOMfp7EfG2BbuyjVdXg0JkKPIYDol0MdQJ8IytqM/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/hPsnTawESHyA6VHz1dK-FssqTEM-MAGFyMBr06iCG-E/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/fJyWGiZ6QQ1vlaSHjZsWvWKmIopOb8k1u7ZDtwGaNxk/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/wgQckEN6PTwWWiw4kbo5QfgsBjX5wLEFJMM9KuUsu4I/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/Lo9j2z1JOh0q9UR49iobdRW-cjhdLhOaX5k7W_krkdc/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/7Gl_CU_euBm_x5ZZlLJ9mztGRpsbIz7LV3VQLO9zJsM/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/sW1mdIhmOmpHnvFWzSMT54PbWIkV7lsKjw6Qfuc8K00/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/DiHYbucWVQctbrRfIJiizlMv4gbR5Wv5JVCYS8rj4XI/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/VKSKDqEKdKTjFoDkRE2joUE6SnXOdGbTnIh5rxwaMz0/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/N_euYiEeufgnYwnbZQ8EPG4k3WIHFWKvK1Q2l8Qq49g/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/qc2cSTxF3oG6uPtMGX4VcGNGApsy8aP_1hHj8Tf-3CA/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ![Building Photo - 7252 Joplin St](https://images1.apartments.com/i2/Z0KAQNsRHduqfz5mk5zoRB0hyIlRVoa8mfImvkSaw0k/117/7252-joplin-st-capitol-heights-md-building-photo.jpg) ,Renovated 3 Bedroom 1 and a half bath semi detached house available for immediate occupancy. Laminate flooring on the main level and new carpet on the upper level with the entire property freshly painted. Fenced in backyard for entertaining. Washer/Dryer in the unit. 35 application fee for each adult over 18. One month security deposit plus first months rent due at lease signing.Call CSS to show
