Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Oella Mill](https://www.apartments.com/oella-mill-ellicott-city-md/73bn6jz/),844-718-7819,"[840 Oella Ave, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/840+Oella+Ave,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)","700 - 1,045 Sq Ft","$1,680 - 2,850","* Cat Rent: $35
* Dog Rent: $55
* Water, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $25,"Dogs Allowed
Dogs 
* $55 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Fitness Center,,"* 2-Level Business Center/Library with Wi-Fi
* Apartments with Lofts Available
* Billiards Room
* Concrete floors
* Designer Kitchens with Stainless Steel Appliances
* Durable Countertops
* Exposed Brick Walls
* Hiking and Bike Trails Nearby
* Large Factory Style Windows
* Observation Deck with A View Of Patapsco Rapids
* Picnic Area and Party Room
* River and Wooded Hillside Views
* Spacious Lounge
* Utilities Included
* Walking Distance To Historic Ellicott City
* Washer/Dryer In Each Apartment",* High Speed Internet Access,,12,"* Maintenance on site
* Concierge
* Laundry Service","* Built in 1918
* Renovated in Jan 2007
* 147 Units/4 Stories",,,,"This beautiful 1918 building was once the largest textile mill in the country. This historic structure has been carefully preserved and restored with all the latest features, amenities, materials and finishes that define a modern luxury apartment community. Please visit www.OellaMill.com for additional information and all floor plans."
[Cedar Run Apartments](https://www.apartments.com/cedar-run-apartments-catonsville-md/2nbw9b8/),443-341-9592,"[407 Cedar Run Pl, Catonsville, MD 21228](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/407+Cedar+Run+Pl,+Catonsville,+MD+21228/data=!4m2!4m1!3e2)",613 Sq Ft,"$930 - 1,340","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal, Sewer: Included","* Application Fee: $25
* Cat Fee: $200
* Dog Fee: $200","Dogs Allowed:
Dogs - No aggressive breeds, Dogs Allowed in Shade Tree Trace on Sunshine Place Only. See Leasing Office for Details. 
* $25 Monthly Pet Rent
* $200 Fee
* 50 lb Weight Limit
* 1 Pet Limit
* Must Be Spayed/Neutered",50,50,Surface Lot,* Playground,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Intercom","* Carpet
* Dining Room
* Den
* Built-In Bookshelves
* Walk-In Closets
* Window Coverings","6, 9, 12 month","* Laundry Facilities
* Controlled Access
* Maintenance on site
* Furnished Units Available","* 552 Units/3 Stories
* Furnished",* Storage Space,,,"Welcome to the Timbers…This is a unique setting where high quality apartment homes include living in historic Catonsville. Nestled into this environment are three distinctly different, affordable, apartment home developments located on the same campus- Cedar Run, White Oaks, and Shade Tree Trace. Walk to schools, neighborhood shopping, and public transportation plus there is a free shuttle to the University of Maryland, Baltimore Campus. The Timbers is just minutes to downtown Baltimore and an easy commute to Columbia, Annapolis, and the airport. Enjoy living in an established community nestled amidst private homes in a well-maintained neighborhood. Furnished, student and corporate apartments with flexible lease terms are available."
[Mount Ridge Apartments](https://www.apartments.com/mount-ridge-apartments-catonsville-md/yvbnz0s/),844-583-1076,"[201 S Symington Ave, Catonsville, MD 21228](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/201+S+Symington+Ave,+Catonsville,+MD+21228/data=!4m2!4m1!3e2)",677 Sq Ft,"$1,081 - 1,809","* Unassigned Garage Parking: $170
* Cat Rent: $25
* Dog Rent: $25
* Gas: Included","* Application Fee: $30
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed
See We Love Your Pets page for details 
* $25 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available",* Volleyball Court,"* Dishwasher
* Range
* Refrigerator","* Access to Copier/Fax
* Bike Racks
* Cable Ready
* Ceiling Fans
* Central Air Conditioning
* Courtyard
* Dishwasher*
* Great Resident Events
* Package Receiving
* Picnic Area
* Refrigerator
* Renovated Apartment Homes*
* Separate Dining Area
* Spacious and open floor plans
* Spacious and Open Floorplans
* Wall-to-Wall Carpeting
* Washer & Dryer*
* We Install your drapes and pictures","* High Speed Internet Access
* Washer/Dryer
* Ceiling Fans
* Cable Ready
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views","4, 5, 6, 7, 8, 9, 10, 12","* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Recycling
* Planned Social Activities","* Built in 1950
* 266 Units/2 Stories",* Business Center,"* Courtyard
* Picnic Area",,"Live in Baltimore, MD and surround yourself with beautiful landscaping, charming homes, and thoughtful amenities. Located near Maiden Choice Lane and South Symington Avenue, Mount Ridge Apartments is just minutes away from all of the shopping, dining and entertainment that Baltimore has to offer.Mount Ridge Apartments offers unique one or two bedroom apartment homes that include gas ranges, garbage disposals, and dishwashers just to name a few of the exclusive amenities we offer our residents. Enjoy an afternoon in your beautiful picnic area, stretch out in your spacious floor plan, or get involved with the many resident events available. If you're looking for a home in Catonsville or want to experience the perks of a wonderful apartment home in a convenient location, Mount Ridge Apartments is the place for you in Baltimore. You deserve the very best in apartment living and our community offers an easy and relaxed lifestyle."
[Westerlee Apartment Homes](https://www.apartments.com/westerlee-apartment-homes-catonsville-md/df70vbl/),443-341-4182,"[8 Poolside Ct, Catonsville, MD 21228](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8+Poolside+Ct,+Catonsville,+MD+21228/data=!4m2!4m1!3e2)",832 Sq Ft,"$1,145 - 1,795",,"* Admin Fee: $100
* Application Fee: $40",Pets Negotiable,50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground",* Kitchen,"* Cable Ready
* Designer Backsplash
* Granite Countertops
* Microwaves Available*
* New Designer Backsplash Available*
* Picnic Area
* Wall-to-Wall Carpeting
* Washer & Dryer","* High Speed Internet Access
* Smoke Free
* Tub/Shower","* Carpet
* Dining Room","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",* 24 Hour Availability,"* Built in 2001
* 312 Units/3 Stories",* Business Center,,,"Fall Specials & $99 Security Deposits! Certain Restrictions Apply. Limited Time Offer. Expires Oct 15th At Westerlee Apartments, we offer a fresh approach to your contemporary style of living. Our host of amenities creates an ideal lifestyle just for you.You'll love our serene setting, and we're just minutes from Route 40 and I-695."
[Montrose Manor Apartments](https://www.apartments.com/montrose-manor-apartments-catonsville-md/nxrzxxn/),844-231-7317,"[28-L Montrose Manor Ct, Catonsville, MD 21228](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/28-L+Montrose+Manor+Ct,+Catonsville,+MD+21228/data=!4m2!4m1!3e2)",930 Sq Ft,"$1,449 - 1,809",* Air Conditioning: Included,* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
1 space.",* Pool,"* Dishwasher
* Disposal
* Eat-in Kitchen",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free","* Hardwood Floors
* Carpet",,"* Property Manager on Site
* Pet Play Area","* Built in 1967
* 105 Units/2 Stories",,,,"Montrose Manor Apartments in Catonsville, Maryland is just minutes to Baltimore City/Inner Harbor, Historic Ellicott City, Oriole Park at Camden Yards, Patapsco State Park, University of Maryland Medical Center and BWI Airport."
[Old Orchard Apartments](https://www.apartments.com/old-orchard-apartments-catonsville-md/34fdtqd/),844-233-2840,"[1 Stayman Ct, Catonsville, MD 21228](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1+Stayman+Ct,+Catonsville,+MD+21228/data=!4m2!4m1!3e2)",760 Sq Ft,"$1,085 - 1,415","* Water, Trash Removal, Sewer: Included",* Application Fee: $40,No Pets Allowed,50,50,Surface Lot,* Playground,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Tub/Shower","* Carpet
* Dining Room
* Family Room
* Den
* Linen Closet
* Window Coverings",,"* Laundry Facilities
* Controlled Access
* Online Services
* Planned Social Activities","* Built in 1986
* 180 Units/3 Stories",,"* Balcony
* Patio",,"Nestled among the trees, Old Orchard emerges as Catonsville's most cared for community. Here you will find exceptionally designed apartment homes that offer spacious floor plans with individual washer and dryer in every apartment home, and all at an affordable price. This charming community boasts many amenities, such as controlled building access, a play area with plenty of fun equipment, easy commutes to Baltimore, both I-695 and I-95, and a short walk to shopping, dining, and entertainment venues."
[5918 Charnwood Rd](https://www.apartments.com/5918-charnwood-rd-catonsville-md/w7cnx7h/),443-487-6197,"[5918 Charnwood Rd, Catonsville, MD 21228](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5918+Charnwood+Rd,+Catonsville,+MD+21228/data=!4m2!4m1!3e2)",,"$1,895",,,No Pets Allowed,50,50,Garage,,,,"* Washer/Dryer
* Smoke Free",,12 Months,,,,,![Front - 5918 Charnwood Rd](https://images1.apartments.com/i2/1MfbTnIAIAVvf9lh6h2Qwpwe1kste18ocKEGiY61FVg/110/5918-charnwood-rd-catonsville-md-front.jpg) ![Family - 5918 Charnwood Rd](https://images1.apartments.com/i2/D_hs9asmzqpnWveauTkYz6aoNV3G8fNcEQfuXCsFCL8/118/5918-charnwood-rd-catonsville-md-family.jpg) ![Kitchen - 5918 Charnwood Rd](https://images1.apartments.com/i2/uX5zqCrAa0pxqb0TH8JfnMtsJGmmNobhR29vaap9tGw/118/5918-charnwood-rd-catonsville-md-kitchen.jpg) ![Dining - 5918 Charnwood Rd](https://images1.apartments.com/i2/bFByq846RmP5ayv89L7XVGqyL8RfTvcZH7GXtHTiR_o/118/5918-charnwood-rd-catonsville-md-dining.jpg) ![Bath - 5918 Charnwood Rd](https://images1.apartments.com/i2/ehHiNdU1JOmVS44TtPr3abQPcLIoWUwaycp0reBRYlE/118/5918-charnwood-rd-catonsville-md-bath.jpg) ![Deck/Backyard - 5918 Charnwood Rd](https://images1.apartments.com/i2/YjuJIunuBaGti_uPQNFbPaQEE8eYxwYPQ7qQWDxoxzM/118/5918-charnwood-rd-catonsville-md-deckbackyard.jpg) ,"Come home to a sweet split foyer, stainless appliances, hardwood floor, fence-in backyard with beautiful deck, and luscious green with shade, nested in a quiet neighborhood, within walking distance to schools, shopping centers, and close to major highways. A perfect location for professional working in the Greater Baltimore Area. Share Utilities. 
Flexible lease terms (3, 6, 12 mos - price differentiation)
Required a credit report, three references, two bi-weekly/four weekly most recent pay stubs, and one month security deposit.
Call or email to schedule a visit. Serious inquiry only please."
[751 Oella Ave](https://www.apartments.com/751-oella-ave-ellicott-city-md/8y67433/),,"[751 Oella Ave, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/751+Oella+Ave,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",,"$1,690",,,Dogs and Cats Allowed,50,50,Surface Lot,,,,* Washer/Dryer,,12 Month,,,,,![Primary Photo - 751 Oella Ave](https://images1.apartments.com/i2/NUt5rw478DSl6V89mfRVQjm6ejWP7gRGg4DTe-a6CKQ/110/751-oella-ave-ellicott-city-md-primary-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/6oqOzg2-R9cHWzg8nNnHVDpvHlsK7fP_ryehGYcaT7o/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/osRxPXG1YkkmzdnnU_9mCpMZZ3hzZtBPo41KpjENQLA/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/guTc77D15fy1ArWs2vSKz8zRCIAZq-HLe5ib9VrAmLM/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/aPNEIosiBsagiDziC0tFdhGopf5Ns6VlUd6MISfQGrw/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/qfPSaElI8NLRnqHy8mjwtR9C7lmtB0JfhBmNXvbPgTg/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/ipGKzEwYO5HFCzHg8QEK-8CScvrUUxA-SfJXMnqzpys/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/dLWWLbfZMMumjwn989Vg_m_ZEjF4qR7wckzOMzwwQ_k/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 751 Oella Ave](https://images1.apartments.com/i2/hp6Qwi3APHnyxEt3E3PocahXUsL4Scb9iNLjeZwuzx4/118/751-oella-ave-ellicott-city-md-building-photo.jpg) ,"Charming 1830s 2 bedroom brick home located in Oella. Original heartwood floors, beautiful porch overlook, updated kitchen, across the street from the Patapsco River and state park, walking distance to restaurants and shops in old Ellicott City. Many parks and trails in neighborhood.
Small town feel but very close to Catonsville, Baltimore and Columbia. Easy access to 695, Route 29 and Interstate 70."
[802 Oella Ave](https://www.apartments.com/802-oella-ave-ellicott-city-md/4clc1yh/),,"[802 Oella Ave, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/802+Oella+Ave,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",,"$1,680",,,,50,50,Surface Lot,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 802 Oella Ave](https://images1.apartments.com/i2/uY7epw8Wx87DCy7O1zwRfOsdPhn7ak1NcgKFnMkrBjI/110/802-oella-ave-ellicott-city-md-primary-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/rrg_IrXDjlVWOSmDuVfkiGfnWgBciUdS-066qeM-8tc/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/1WBzsMwczagDbAIfHSAvSZYVmcjOfWXjxNb7kiB5R9Y/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/HZX9L-2nbXYsTm3lJq_2csQKNmTxaKUayYymrCjg9p4/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/P3IAZ84Bz3icBVkABJz1BxJtzgJP_PGx8tIIDOE6Fv0/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/Q8ZoLCsv5beriLcHFQxfqzXoFFg0KbLWNTQlSSnYAVc/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/JeUJpUkmDKCL35TnCMQ_pBk0SwqZmM14ME6GpNePD04/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/mPQWDcBiEj2wp6HEGk4XuQ79HEDFf56b2Zp8yERJK_E/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/GkVh9gSk_KUUfBxl1pJja9q3I0aMBXTHZXeCxntNpAM/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/EIOtWnryk6sYlm2mWW8KH21ceW9JFrz3rAOo1Ewg_qE/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/F3SCsUMJGJNGAr1OmaKMVr9ifLm_fCkrvdlcSC_KVKQ/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/JwRi1iD1x9UeD8foN2kTj2D7G02NxAFuUt3YMVqMnYo/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ![Building Photo - 802 Oella Ave](https://images1.apartments.com/i2/AD2b4Jnrb0GAW--BFkzFUFIeyr5hvkrZ3hJElvqMGm8/118/802-oella-ave-ellicott-city-md-building-photo.jpg) ,"This 2BR house has upgraded kitchen with stacked washer dryer, gas range, gas furnace, fireplaces, and central air conditioning
About a block from the Patapsco River and the beautiful millrace trail, this stone house is less than a ¾ mile walk to the shops and restaurants on Main Street of Old Ellicott City. The Patapsco Valley State Park is to the north and south, and nearby there are hiking/running/biking trails and swimming holes, tubing and kayaking. Many important historic sites are readily accessible. Over 200 years old, this rehabbed duplex is a contributing element to the National Register Historic District of Oella. 
Although a place apart nestled in a river valley, Oella is conveniently located within 10 minutes of Interstate Routes 29 and 695. The Baltimore Inner Harbor, BWI Airport, and Columbia are within 20 minutes. Washington DC is nearby."
[209 Westowne Rd](https://www.apartments.com/209-westowne-rd-baltimore-md/68qcf6t/),,"[209 Westowne Rd, Baltimore, MD 21229](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/209+Westowne+Rd,+Baltimore,+MD+21229/data=!4m2!4m1!3e2)",,"$1,000",,,,50,50,,,"* Microwave
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Ceiling Fans",* Basement,,,* Lot Size: 0.05 AC,,,![Primary Photo - 209 Westowne Rd](https://images1.apartments.com/i2/H9p6mg3rWZ23zfxeXqC8Xu11fWoPKMTF4-8VWbtKqo0/117/209-westowne-rd-baltimore-md-primary-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/iBskVhMVIMQOBYkHyq9JqFLXLXn8OLCLtshFppS8JVo/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/iyqauqJ7llahpPZGfqwSZGQTQPYUUODnaSwiLJozH94/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/DldioFwtNtCkz47vwpuREUUrCDF5611SaV1OOLCr6Nk/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/iSPc4u0Vww85zSdEsOaSSWGL54RxKdY0yKHav2votsY/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/QZweuGbyegvoYWStV_Fxuhu4ukyWzQT0m5keGDMcgmY/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/S8prSrhwWTPFUz2WvlnUjHTmUaNY5pJF4Yj7J7W3Hd0/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/ynhnE26uDK0tp9Trt3-4kD6H_xi5rEiA8vPArDTFo5s/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/xzwhTGLqnyf6s1NU7HGG1a_ntuHAF8OHavvGKGH19a4/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/nM5V9YSy9QqAmCR0J5SR_BhVVIYoIvqI8qjpT4jFp4A/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/Ri0nnWT45NOg2Vd6R1CLT0e0IKvnKXBg4XnDAfWH5DM/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/8yVxTKmoFmHk0KwX1YpvMDvGyN8_bjXuyQY-mX5jKGA/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/4KBrTeZR7PkCkBbSnB2gg2FoQb2DwNDEmsoLpdmE5Uc/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/S7lkjSsUV9cx43f1FpDgxcXBYcf5T-dFXqd4lRurPD4/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/1nBrTlcipEdgOwruKGPoqr_e50Y500d8WOYQV8Bexzg/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/79tKDNL3drrhxSBZpqB_RysLrIh-mnDiVM0pSX4l_3o/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/8k8xGhMTfPyA-46IEl4esWwFboDvO6QOhnAOF0yQXqg/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/zsBs8ITH7is7xia2P2hikn3_-unXkLw_kLL4nAm0dkA/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/KPAx8mZWNttVnCuVKkvCduEaCGv4v0mzHXRlM1dfwgk/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/PqUIRvqs6jWREsESHfIYImYSE7NNXp5iXbFfCAbI8qs/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/0tEVwPjRUD-CproiALnc-0SNHem9N2Y_p-NglsfYtsI/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/yjuzDHk1gXjgeucOybamsOx2tsOBuNdQxEtiAecoscY/117/209-westowne-rd-baltimore-md-building-photo.jpg) ![Building Photo - 209 Westowne Rd](https://images1.apartments.com/i2/6iB0Gme7tz1I2ObmTar66UqkVPazvtzd9UBnyAROO70/117/209-westowne-rd-baltimore-md-building-photo.jpg) ,CHARMING APARTMENT LOCATED IN POPULAR WESTOWNE NEIGHBORHOOD. APPROX. 1200 SQ.FT. ON 2 LEVELS. HARDWOOD FLOORS CEILING FAN SCREENED PORCH FULL SIZE WASHER/DRYER OFF-STREET PARKING PLENTIFUL STORAGE. NO SMOKERS NO PETS DON T ASK. RENT INCLUDES WATER/SEWER. CONVENIENT TO I-695 AND I-95 BALTIMORE CITY UMBC AND MORE.
