Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Reserve at Regency Park](https://www.apartments.com/reserve-at-regency-park-centreville-va/40f7zgl/),888-784-7923,"[14411 Newton Patent Ct, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14411+Newton+Patent+Ct,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",790 Sq Ft,"$1,348 - 2,134","* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $45 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,"Surface Lot and Covered
Open parking on a first come first serve basis. Visitor spots provided for any guests and available for 48 hours. Reserved parking is offered for $50 monthly.","* Fitness Center
* Free Weights
* Pool
* Playground
* Tennis Court
* Walking/Biking Trails","* Dishwasher
* Disposal
* Microwave
* Refrigerator","* Basketball Court and Tennis Court for Friendly ...
* Basketball Court and Tennis Court for Friendly Games
* Carwash area for your Convenience
* High-Speed Internet Access
* Near Public Transit
* Outdoor Swimming Pool
* Package Receiving
* Parking
* Storage Spaces Available","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Fireplace","* Carpet
* Vinyl Flooring
* Walk-In Closets",Variable,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Online Services
* Pet Care
* Pet Play Area
* Car Wash Area","* Built in 1982
* 252 Units/3 Stories","* Clubhouse
* Coffee Bar","* Balcony
* Patio",,"When it comes to Fairfax Virginia apartments, The Reserve at Regency Park Apartments not only gives you a great apartment near DC, it gives you all the features and amenities you want in a home. These luxury VA apartments provide you with such touches as a gourmet kitchen to help inspire your culinary creativity and the charm of a fireplace to make winters brighter. Plus, you'll have access to incredible amenities including a tennis court for friendly games and a car wash to help keep your car looking its best. The area surrounding these Centreville apartments is as equally wonderful. Right off I-66 and near Lee Highway, The Reserve at Regency Park is in the heart of one of Northern Virginia's most popular communities. Shop, dine and find entertainment within moments of your home, from the nearby Centrewood Plaza to the expansive Centre Ridge Marketplace. For outdoor fun, there are numerous parks, golf courses and historical sites throughout the area. And with the Capital Beltway ..."
[Lakeside Apartments](https://www.apartments.com/lakeside-apartments-centreville-va/zqfes0x/),844-242-9297,"[6221 Summer Pond Dr, Centreville, VA 20121](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6221+Summer+Pond+Dr,+Centreville,+VA+20121/data=!4m2!4m1!3e2)",723 Sq Ft,"$1,480 - 1,895","* Unassigned Other Parking: $50
* Cat Rent: $25
* Dog Rent: $35
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $200
* Cat Deposit: $100
* Dog Fee: $400
* Dog Deposit: $200","Dogs Allowed:
Please contact us regarding breed restrictions. Deposit ranges from $200-$400. Pet Rents are $25/$30/$35. 
* $200 Deposit
* $35 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Fitness Programs
* Pool
* Playground
* Basketball Court
* Tennis Court
* Volleyball Court",,"* Demonstration Kitchen
* Demonstration Kitchen – Coming Soon!
* Dog Spa
* Dog Spa – Coming Soon!
* elfa Customizable Closet System
* ENERGI Outdoor Fitness Stations
* Fire Pit
* Fire Pit – Coming Soon!
* Fitness Studio
* Fitness Studio – Coming Soon!
* Individual Climate Control
* Internet Café and Coffee Bar
* Internet Café and Coffee Bar – Coming Soon!
* KemLam wood finished floors available
* Large Closets
* Package Concierge Locker System
* Package Concierge Locker System – Coming Soon!
* Party Room with Pool Table
* Party Room with Pool Table – Coming Soon!
* Resident Garden
* Splash Pad
* Splash Pad – Coming Soon!",* High Speed Internet Access,,12 month leases and short term 6 month leases,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Recycling
* Guest Apartment
* Pet Care
* Car Wash Area","* Built in 1989
* 686 Units/3 Stories",* Clubhouse,"* Sundeck
* Courtyard
* Lake Access",,"Nestled around three beautiful lakes in Centre Ridge, Lakeside Apartments offers one- and two-bedroom luxury apartment homes. No matter which floor plan you choose, you'll find every amenity, every comfort and every chance to enjoy bright airy spaces expertly designed for maximum convenience. Lakeside is built on 45 landscaped acres of rolling meadows and lakes. Whether you desire to ride bikes around the lakes, work out, swim in one of the three pools, enjoy the sun on one of our decks or relax in your spacious apartment, you'll love Lakeside Apartments. We also offer a variety of time-saving services and thoughtful extras. We have a clubhouse available for private parties and meetings, a car wash, regular community events and much more."
[The Elms at Centreville](https://www.apartments.com/the-elms-at-centreville-centreville-va/wlj3hvk/),866-974-3173,"[13840 Braddock Springs Rd, Centreville, VA 20121](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13840+Braddock+Springs+Rd,+Centreville,+VA+20121/data=!4m2!4m1!3e2)",788 Sq Ft,"$1,520 - 1,875","* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $350
* Application Fee: $50
* Cat Fee: $500
* Cat Deposit: $200
* Dog Fee: $500
* Dog Deposit: $200","Dogs and Cats Allowed:
We welcome a 2 pet maximum per apartment, not to exceed 100 lbs total weight of one dog. Some breed restrictions are prohibited & all pets are subject to the approval of management. Specifics regarding pet's breed, weight, proof of rabies documentation from your vet & a photo of your pet will be required prior to move-in. $200 pet deposit and $500 non-refundable pet fee are due at move in. Pet rent is $45 per month per pet. Two pets per apartment, not to exceed 85 lbs in total weight. Non-refundable Pet Fee due upon move-in plus a monthly pet fee-$35.00/Cat and $45.00/dog. Total Pet deposit is $600/Cats & $700/Dogs. $400/Cats & $500/Dogs is non-refundable. Fees apply... 
* $200 Deposit
* $45 Monthly Pet Rent
* $500 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* Award Winning Team of Professionals
* Car Care Center
* Close to Dulles Airport & the High-Tech ...
* Close to Dulles Airport & the High-Tech Corridor of Northern Virginia
* Community Outreach Events
* Dog Park (Yappy Hours)
* Easy Access to Major Commuter Routes
* Enjoy All the Conveniences and Charm of the ...
* Enjoy All the Conveniences and Charm of the Centreville Area
* SatisFacts Resident Satisfaction Awardee
* Stay Connected Poolside with Wi-Fi
* Swimming Pool with Sundeck
* Tennis Court",* High Speed Internet Access,,None,"* 24 Hour Availability
* Pet Care","* Built in 1988
* 268 Units/3 Stories",,,,"When you want to enjoy the best apartment living and a friendly, old-fashioned neighborhood, there's no better place than The Elms' apartments in Centreville VA. Here, you'll find all the comforts of home in a peaceful setting, where an atmosphere of serenity is balanced by the excitement of nearby shopping, dining and entertainment opportunities. Dulles Airport and Loudoun County's high-tech corridor are also convenient to The Elms. Please call for an appointment today."
[Woodway at Trinity Centre](https://www.apartments.com/woodway-at-trinity-centre-centreville-va/m2p671l/),888-367-1990,"[5751 Wood Meadow Way, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5751+Wood+Meadow+Way,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",660 Sq Ft,"$1,280 - 2,379","* Cat Rent: $35
* Dog Rent: $45","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $400 - 600
* Cat Deposit: $200
* Dog Fee: $400 - 600
* Dog Deposit: $200","Dogs Allowed:
Cats and dogs are welcome. Maximum two pets per apartment. Weight limit: 80 lbs. Monthly fees: $35 per cat, $45 per dog. Non-refundable Fee: $400 for first pet, $200 for second pet. Refundable deposit: $200 (first pet only). Breed restrictions and ot 
* $200 Deposit
* $45 Monthly Pet Rent
* $400 - 600 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Basketball Court
* Racquetball Court
* Volleyball Court","* Dishwasher
* Disposal
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Alarm
* Storage Units",* Walk-In Closets,"2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months",* Package Service,"* Built in 1997
* 504 Units/3 Stories","* Business Center
* Storage Space",* Balcony,,"Woodway at Trinity Centre in Centreville, VA offers unparalleled amenities available to you around the clock! Our one- and two- bedroom apartments for rent feature open floor plans, high ceilings, fully equipped kitchens with separate dining room, an in-home washer/dryer, spacious walk-in closets, extra storage, and a balcony or patio. You'll also enjoy an upscale clubhouse, 24-hour fitness center with racquetball court, swimming pool with sundeck, high-definition theater room, and business center with free Wi-Fi hotspot. There's even a dog park for your furry family members! * Located near Manassas, Woodway at Trinity Centre fits your busy lifestyle perfectly. It's an easy commute to Washington, DC. Route 28 and Route 29, plus I-66, are nearby and there's an on-site Metro bus stop if you choose to let someone else do the driving! Speaking of driving, Woodway at Trinity Centre provides off-street parking with a car care area; garage parking is available for an additional fee."
[Post Corners](https://www.apartments.com/post-corners-centreville-va/1e41et4/),864-605-3192,"[5804 Post Corners Trl, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5804+Post+Corners+Trl,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",572 - 881 Sq Ft,"$1,405 - 4,450",* Assigned Garage Parking: $150,"* Application Fee: $50
* Cat Fee: $500
* Cat Deposit: $200
* Dog Fee: $800
* Dog Deposit: $200",No Pets Allowed,50,50,"Surface Lot
Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Activity Center/Meeting Room
* Black Appliances
* Car Care Center
* Convenient to Dulles Airport and Fair Oaks Mall
* Custom Ceiling Fan
* Energy-Efficient Gas Heat
* Full-Size Washer/Dryer in Each Apartment
* Furnished Corporate Apartments
* Garden Tub
* Gas Fireplaces
* Granite-look Countertops
* Large Balcony
* Large Walk-In Closets
* Linen Closet
* Medium Balcony
* Nine- and 10-Foot Ceilings
* One-
* One-, Two- and Three-Bedroom Apartments
* Palladian Windows
* Pantry
* Picnic Area with Gas Grills
* Picnic View
* Planned Resident Events
* Pool View
* Recycling Center
* Roommate Plan
* Side X Side W/D Conn
* Small Balcony
* Stackable W/D Conn
* Stainless Steel Appliances Upg
* Storage
* Sunroom
* Tile Backsplash in Kitchen
* Tiled Backsplash
* Two- and Three-Bedroom Apartments
* Upgraded Plumbing Fixture
* Urban Vegetable Garden
* Wooded View","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Alarm
* Trash Compactor
* Storage Units
* Tub/Shower
* Fireplace
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Family Room
* Sunroom
* Vaulted Ceiling
* Walk-In Closets
* Linen Closet
* Window Coverings",None,"* Package Service
* Maintenance on site
* Bilingual
* Courtesy Patrol
* 24 Hour Availability
* Recycling
* Online Services
* Composting
* Pet Play Area
* Pet Washing Station
* Car Wash Area","* Built in 1996
* 336 Units/3 Stories","* Business Center
* Clubhouse
* Storage Space","* Gated
* Courtyard
* Grill
* Picnic Area",,"Post Corners, nestled in the business district of Centreville, is located just south of Interstate 66, and 13 miles from Dulles International Airport. Post Corners is Centreville's only gated community and offers one-, two- and three-bedroom apartment homes. These homes feature spacious living areas and include full-size washers and dryers. In addition to an array of on-site amenities, including a fitness center, lighted tennis courts, pool, and picnic area, residents are just minutes from local grocery stores, movie theatres, restaurants, and office parks."
[Westfield Village](https://www.apartments.com/westfield-village-centreville-va/w558m2k/),877-619-0583,"[5115 Woodmere Dr, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5115+Woodmere+Dr,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",749 Sq Ft,"$1,368 - 1,937","* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $400
* Application Fee: $50
* Cat Deposit: $400
* Dog Deposit: $4,000","Dogs Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $4,000 Deposit
* $45 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* BBQ/Picnic Area
* Car Wash Area
* Outdoor Swimming Pool
* Parking
* Storage Spaces Available",* High Speed Internet Access,,Variable,"* Maintenance on site
* Recycling
* Renters Insurance Program
* Pet Care","* Built in 1988
* 229 Units/3 Stories","* Clubhouse
* Coffee Bar",,,"Tucked between two parks yet close to all the places you want to be, Westfield Village offers 1, 2, and 3-bedroom apartments in Centreville perfect for the way you want to live in your Northern Virginia apartment. From spending a quiet afternoon by the fire to energizing your day in the fitness center, you'll be glad you chose Westfield Village. With its natural beauty and convenience to so many of the things you need and the places you want to be, Fairfax County is a great place to live. Make the most of this extraordinary location by moving to an apartment in Centreville, VA at Westfield Village. Please call for an appointment today. Located just off of Sully Road, Westfield Village is convenient to Dulles Airport and only 5 minutes north of I-66, with Fair Oaks Mall nearby."
[Lee Overlook Apartments - Tax Credit](https://www.apartments.com/lee-overlook-apartments-tax-credit-centreville-va/wnp401h/),571-748-5543,"[6406 Paddington Ct, Centreville, VA 20121](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6406+Paddington+Ct,+Centreville,+VA+20121/data=!4m2!4m1!3e2)",,"$1,406 - 1,622","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal, Sewer: Included","* Application Fee: $40
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
30-pound weight restriction. Fees apply. 
* $300 Deposit
* $25 Monthly Pet Rent
* 30 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court","* Dishwasher
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Warming Drawer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Dining Room
* Family Room
* Walk-In Closets
* Linen Closet",12 months,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Online Services","* Built in 1994
* 195 Units/4 Stories",* Clubhouse,"* Balcony
* Patio",,"Lee Overlook Apartments is a remarkable blend of style and value. We know you'll agree! Lee Overlook is nestled in the Cub Run Stream Park and overlooks both the Big Rocky Run Creek and Cub Run Creek. A paved bike access trail from Lee Overlook connects to the extensive 2.5 mile bike trail network within the park, and throughout Fairfax County.From the unexpected spaciousness to the latest kitchen conveniences, you'll find everything you've been looking for and more at Lee Overlook. Our property is very conveniently located 12 miles west of the Capital Beltway, just off Route 29 (Lee Highway), and 0.5 miles from I-66 in Fairfax County. Everything you need is nearby, from schools to shopping, restaurants, parks, and interstate highways. Feature for feature, value for value, Lee Overlook Apartments really makes sense!"
[Forest Glen Senior Apartments](https://www.apartments.com/forest-glen-senior-apartments-centreville-va/wljk9lk/),703-745-5228,"[14400 Woodmere Ct, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14400+Woodmere+Ct,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",564 - 566 Sq Ft,"$1,163 - 1,405","* Assigned Covered Parking: $30
* Gas, Water, Heat, Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Fee: $15
* Cat Deposit: $150
* Dog Fee: $15
* Dog Deposit: $150","Dogs and Cats Allowed
* $150 Deposit
* $15 Fee
* 35 lb Weight Limit",50,50,"Surface Lot
Parking Available",* Fitness Center,"* Dishwasher
* Disposal
* Granite Countertops
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer",* Tax Credit,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)",* Vinyl Flooring,One year,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* 24 Hour Availability
* Pet Play Area","* Built in 1995
* 202 Units/4 Stories","* Elevator
* Library","* Balcony
* Patio",,"Forest Glen is a 202 unit community for Adults 62 and older or disabled. We are income restricted. The maximum amount allowable on an annual basis is $46,380 for 1 person and $52,980 for 2 people. Currently one bedrooms range from $1,163.00 to $1,173.00 and two bedrooms starting rent is $1,370.00 to $1,405.00, plus electricity, phone and cable. Gas heat, sewer and trash removal are included in the monthly rent. We are pet friendly up to 35 pounds full grown (non-refundable deposit and monthly pet fee applies for each pet, maximum 2 pets). Forest Glen has many amenities to offer. Our spacious newly renovated apartments include energy star rated garbage disposal, refrigerator, electric stove, dishwasher, emergency pull cords, smoke detectors, sprinkler system, grab bars in tub/shower area and upgraded individually controlled heat/AC units. Our buildings also include Exercise Room, Library, Lounges, Laundry Facilities, Free Parking, Gazebo, Activity Room, Complimentary Fax Service and Interior Mailboxes.
The complex offers one- and two-bedroom units in a relaxing environment for seniors ages 62 and older and disabled persons. Residents not only enjoy the conveniences of community gatherings, daily events and on-site staff but also have some freedom to shop and explore at the nearby shopping center featuring banking, post office and restaurants. Our Management Team also creates a monthly activities calendar, and activity flyers. Fastran transports residents to the Giant, H-Mart, Walmart and Wegmans. We are conveniently located near a post office, restaurants, and pharmacies. Please call 703-802-9501 for availability."
[14831 Palmerston Square](https://www.apartments.com/14831-palmerston-square-centreville-va/16n9pn4/),844-739-9029,"[14831 Palmerston Square, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14831+Palmerston+Square,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",,"$1,850",,,Dogs Allowed,50,50,Street,,,,"* Washer/Dryer
* Smoke Free",,12 Months,,,,,![Primary Photo - 14831 Palmerston Square](https://images1.apartments.com/i2/9SJP1e8MgKVMtBb9PTg7xU9nEbvV790TvGZkR2azceg/110/14831-palmerston-square-centreville-va-primary-photo.jpg) ![Building Photo - 14831 Palmerston Square](https://images1.apartments.com/i2/K4Y7DNtQPa8lRytW30Qf7nlsCCNIYL3uysXHmVfAsfQ/118/14831-palmerston-square-centreville-va-building-photo.jpg) ![Building Photo - 14831 Palmerston Square](https://images1.apartments.com/i2/eCSAv0C-_pth_kPY5Tps1MeZLh1X4-6GTVVVdjX2LDM/118/14831-palmerston-square-centreville-va-building-photo.jpg) ![Building Photo - 14831 Palmerston Square](https://images1.apartments.com/i2/v1P7bmnXoRkxCoImP_Vf_mrrNBtj8FWi4PRb988ayHo/118/14831-palmerston-square-centreville-va-building-photo.jpg) ![Building Photo - 14831 Palmerston Square](https://images1.apartments.com/i2/-wSlhuBXZGnxXwYVoRlM7Na4l3G3DCaRD3wsF8Jf788/118/14831-palmerston-square-centreville-va-building-photo.jpg) ![Building Photo - 14831 Palmerston Square](https://images1.apartments.com/i2/p0KgFIiBp6Gjf5QivDMHQBCM_t0uJ8s-3FJICL5qacc/118/14831-palmerston-square-centreville-va-building-photo.jpg) ,"Townhouse is in great location close to routes 29, 66, and 28. The tenant needs to have good credit history, along with a credit report and previous landlord's POC if available. Please either call or text me if you are interested in viewing the property."
[6129 Stonepath Cir](https://www.apartments.com/6129-stonepath-cir-centreville-va/nv54lrq/),434-333-7251,"[6129 Stonepath Cir, Centreville, VA 20120](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6129+Stonepath+Cir,+Centreville,+VA+20120/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,150",,,,50,50,Surface Lot: $35,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/8VxrEbOyjsfdgvA33iAwjt182qUM23rVeUZSr8l4-ZE/110/6129-stonepath-cir-centreville-va-primary-photo.jpg) ![Building Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/UBBCJ00Fi2zyqotL_V4k8Agd60rQp9WmmU7G2RGZO-8/118/6129-stonepath-cir-centreville-va-building-photo.jpg) ![Building Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/RL5CuXQ5QnCoXMTQEhpm_rJmX1ZEfzhrMbN--iPGOSg/118/6129-stonepath-cir-centreville-va-building-photo.jpg) ![Building Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/Wr9lOLhq0Gw_8XlOyWs30y0DNEXHO9_s9ndZELFlxEo/118/6129-stonepath-cir-centreville-va-building-photo.jpg) ![Building Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/Vuz6C_LwJ2NQ-pR0D1vCVi_COOtOtXLpunV5KmuWiIo/118/6129-stonepath-cir-centreville-va-building-photo.jpg) ![Building Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/boEgdY0CQMzXXJGeofYZXiwCQPtCb6LRp6vHHr-vOck/118/6129-stonepath-cir-centreville-va-building-photo.jpg) ![Building Photo - 6129 Stonepath Cir](https://images1.apartments.com/i2/TNKfxj9sy0oasqi9hLj5JISb7gssv48J3mMvuGOu4q4/118/6129-stonepath-cir-centreville-va-building-photo.jpg) ,"This is a newly renovated, move-in ready basement with brand new hardwood floors and your own private living space, bedroom, full bathroom, separate kitchen and access to a shared washer/dryer. The entrance to the basement is right by the front door (no separate entrance). 700SF. The neighborhood is really nice and close to a community pool/playground. Right off of Stone Rd, and close to all major commuter routes (29,66,28,Lee Hwy) & only minutes from shopping, dining & schools. Details: * No Pets (negotiable if your pet is well-trained and non-destructive)
* Security Deposit - 1,000 due upon signing contract * Available immediately.
* 6 month lease minimum. Individuals whom can commit to 1 year is preferred. *All utilities included (water, gas, electric, Verizon Fios internet) Additional Details: *Ideal tenant is very clean/tidy, respectful, and someone who does not plan on having guest staying over often. *Price is for single-occupancy. Please ask if there will be multiple occupants. *Must be willing to complete background check/credit report check ($39 online check fee) If interested, please include a brief bio about yourself-- what you do, your ideal renting situation, hobbies, etc. and we can set up a time for viewing!"
