Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Highland House West](https://www.apartments.com/highland-house-west-chevy-chase-md/23clj1c/),888-685-7525,"[4450 S Park Ave, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4450+S+Park+Ave,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)","1,000 - 1,023 Sq Ft","$1,699 - 3,499","* Unassigned Garage Parking: $110 - 160
* Trash Removal: Included",* Application Fee: $40,No Pets Allowed,50,50,"Garage: $110 - 160
1 space.","* Fitness Center
* Fitness Programs
* Sauna
* Pool
* Bike Storage","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator","* Cable Ready
* Cafe Collection
* Carpeting
* Classic Collection
* Dishwasher
* Disposal
* Double Walk-In Closets
* Electronic Thermostat
* Friendship Blvd. View
* Furnished
* Gas Range
* Granite Countertops
* Hills Plaza View
* Large Patio- No Balcony
* Large Windows- No Balcony
* Maple Collection
* Package Receiving
* Patio/Balcony
* South Park Avenue View
* Stainless Steel Appliances
* Willard Avenue View","* High Speed Internet Access
* Heating
* Smoke Free
* Tub/Shower","* Carpet
* Dining Room
* Den
* Walk-In Closets
* Linen Closet
* Window Coverings","3, 6, 12","* Laundry Facilities
* Maintenance on site
* 24 Hour Availability","* Built in 1970
* 312 Units/18 Stories",* Elevator,"* Gated
* Sundeck",,"Highland House West Apartments offers residents exceptional customer service, luxury, and the convenience of Chevy Chase, Maryland living. Our distinctive one, two, and three bedroom apartment homes are conveniently located near the Friendship Heights Metro Station, Downtown DC, Interstate-495 and Wisconsin Avenue. We pride ourselves in the little details that make the difference in defining Highland House West Apartments in Chevy Chase, MD as your home. Furnished apartments available - please call for details!"
[North Park Apartments](https://www.apartments.com/north-park-apartments-chevy-chase-md/yw3fgft/),571-384-2409,"[4615 N Park Ave, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4615+N+Park+Ave,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",960 Sq Ft,"$2,059 - 3,953","* Storage Fee: $60
* Unassigned Garage Parking: $120
* Cat Rent: $20
* Dog Rent: $30
* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Application Fee: $40
* Cat Deposit: $300
* Dog Deposit: $500","Dogs Allowed:
25 lb. weight requirement (2) pet limit ( breed restrictions do apply) 25 lb. weight requirement (2) pet limit ( breed restrictions do apply) 
* $500 Deposit
* $30 Monthly Pet Rent
* 25 lb Weight Limit
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Cardio Machines
* Sauna
* Pool
* Playground
* Bike Storage
* Walking/Biking Trails","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Additional Storage
* Ample Closet Space
* Cable Ready
* Car Care Area
* Dishwasher
* Disposal
* Free Weights
* Friendship Heights Shuttle
* Hardwood Floors
* Microwave
* One Bedrooms — 1000 Square Feet
* Package Acceptance
* Panoramic Views
* Parquet Flooring
* Private Balcony or Terrace*
* Recycling
* Refrigerator
* Select Utilities Included*
* Two Bedrooms — 1500 Square Feet
* Washer/Dryer
* Weekly Fitness Classes
* Within walking distance of many shopping centers!
* ZipCar Available On-Site","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Dining Room
* Walk-In Closets
* Window Coverings",None,"* Laundry Facilities
* Maintenance on site
* Bilingual
* Concierge
* 24 Hour Availability
* Shuttle to Train
* Dry Cleaning Service
* Online Services
* Guest Apartment
* Car Wash Area","* Built in 1973
* 310 Units/17 Stories","* Business Center
* Disposal Chutes
* Vintage Building
* Conference Room",* Gated,,"At North Park Apartments, residents appreciate the luxury of a polished and elegant community. Walk through the Eurostyle entrance way into our immaculately maintained premises. The lobby, corridors and elevators are graced with rich wood and detailed stonework. Step into our sparkling rooftop pool, or work out in our state-of-the-art fitness center overlooking the beautiful Maryland landscape! Live in one of the most vibrant suburbs of the Washington DC area... experience luxury at its best. Just steps away from luxurious shopping areas including, fine dining, entertainment, beautiful public parks, and only two blocks from the Friendship Heights Metro Station."
[Aldon of Chevy Chase](https://www.apartments.com/aldon-of-chevy-chase-chevy-chase-md/ybdjk5r/),844-298-4081,"[4740 Bradley Blvd, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4740+Bradley+Blvd,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",628 - 752 Sq Ft,"$1,110 - 1,835","* Cat Rent: $35
* Dog Rent: $45
* Gas, Water, Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Deposit: $500
* Dog Deposit: $500",No Pets Allowed,50,50,"Surface Lot
1 space. Parking Available","* Pool
* Playground
* Basketball Court
* Tennis Court
* Walking/Biking Trails",,,* High Speed Internet Access,,"3, 6, 9, 12 or 24 months","* Laundry Facilities
* Property Manager on Site","* Built in 1965
* 403 Units/4 Stories",,"* Gated
* Grill",,"Minutes away from the excitement of downtown Bethesda. Escape the hustle and bustle of the outside world within the serene suburban setting in our newly renovated, mid-rise or garden style apartment homes.
We are located on Bradley Boulevard, minutes away from the Bethesda Metro, Bethesda Row, close to Downtown D.C., restaurants and shops as well as the Capital Crescent Trail and Norwood Park. And for a limited time only, free application fee and the first two month's rent free on selected apartments!"
[Wisconsin Place](https://www.apartments.com/wisconsin-place-chevy-chase-md/5bjh7bp/),855-804-8599,"[4440 Willard Ave, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4440+Willard+Ave,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",792 Sq Ft,"$1,794 - 3,804","* Cat Rent: $50
* Dog Rent: $65","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
0 
* $300 Deposit
* $65 Monthly Pet Rent
* 70 lb Weight Limit
* 3 Pet Limit",50,50,Garage,"* Fitness Center
* Pool",,* Smoke Free Living,"* Washer/Dryer
* Fireplace",* Walk-In Closets,Flexible terms,"* Package Service
* Concierge","* Built in 2008
* 432 Units/15 Stories","* Business Center
* Clubhouse",* Gated,,"Wisconsin Place Apartments, in the heart of Friendship Heights, is situated between Chevy Chase and Mazza Gallerie. Our community brings the best of Wisconsin Avenue right to your doorstep, with plenty of boutique shopping and award-winning dining and just steps from the metro. Our studio, one-, two- and three-bedroom apartments feature an open kitchen layout with granite counters, stainless steel appliances, cherry plank flooring, walk-in closets, in-home washer/dryer and private balcony. Enjoy our fitness center, clubhouse, screening room and rooftop pool."
[4701 Willard](https://www.apartments.com/4701-willard-chevy-chase-md/9f1w047/),877-287-8305,"[4701 Willard Ave, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4701+Willard+Ave,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)","1,057 Sq Ft","$1,698 - 3,997","* Cat Rent: $50
* Dog Rent: $65
* Electricity: Included","* Application Fee: $25
* Other: $350
* Cat Deposit: $350
* Dog Deposit: $350","Dogs and Cats Allowed:
0 
* $350 Deposit
* $65 Monthly Pet Rent
* 3 Pet Limit",50,50,Covered,"* Fitness Center
* Pool
* Tennis Court",,* Smoke Free Living,* Air Conditioning,* Walk-In Closets,Flexible terms,"* Package Service
* Laundry Facilities
* Concierge","* Built in 1966
* 517 Units/15 Stories",* Clubhouse,,,"At 4701 Willard Apartments in Chevy Chase, MD, it's city living in a neighborhood atmosphere. We are just a short walk from the Friendship Heights Metro and Whole Foods and only 10 minutes from the US Embassies. Our homes offer granite countertops, stainless steel energy-efficient appliances, beautiful flooring, oversized closets, enclosed glass sun rooms and spectacular views of the National Cathedral, Bethesda and more. You'll find everything you need with a 24-hour concierge. Enjoy the rooftop swimming pools and a tennis courts."
[Highland House](https://www.apartments.com/highland-house-chevy-chase-md/h1xzg03/),888-607-7870,"[5480 Wisconsin Ave, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5480+Wisconsin+Ave,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",791 Sq Ft,"$1,599 - 2,099","* Unassigned Garage Parking: $105
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Cable, Air Conditioning: Included",* Application Fee: $40,No Pets Allowed,50,50,"Covered
Parking Available","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range","* 24-hr Front Desk Concierge
* 9 Foot Ceilings
* All Utilities Included
* Balconies in Every Apartment
* Cafe Collection
* Controlled Access Entry
* Corner Apartment
* Dishwasher
* Disposal
* Doctors' Offices On-Site
* Free Faxing and Copying Service
* Gourmet Kitchens with Granite Countertops*
* Landscaped Courtyard w/Gazebo
* Oversized Walk-in Closets
* Package Receiving
* Plush Wall-to-Wall Carpeting
* Underground Parking
* Valet Dry Cleaning
* Wood Style Floor","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings","3, 6, 9, 12, 24","* Laundry Facilities
* Maintenance on site
* 24 Hour Availability","* Built in 1967
* Renovated in Jan 1991
* 391 Units/15 Stories",,,,"Welcome to Highland House, an apartment community with luxury apartments and outstanding resident services. We take pride in the details; with high ceilings and sophisticated appointments, you'll love the contemporary look and modern conveniences of our apartments. Come take a personal tour around our community to experience how welcoming and elegant our apartments really are. Oversized floor plans and a private balcony or patio in every apartment will give you the space and comfort you expect from a luxury apartment. With generous amenities such as a beautifully landscaped courtyard and a rooftop pool with stunning views of Chevy Chase, you'll love everything about our community and your new apartment."
[Bradley View](https://www.apartments.com/bradley-view-chevy-chase-md/e6zvz5p/),240-244-6371,"[4743 Bradley Blvd, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4743+Bradley+Blvd,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",828 Sq Ft,"$1,765","* Gas, Water, Electricity, Heat, Trash Removal, Sewer: Included",* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
1 space. 1 FREE PARKING SPACE PER APARTMENT!",,"* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Dining Room
* Family Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",12 - 24 Month Leases,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Recycling","* Built in 1955
* 36 Units/4 Stories",* Elevator,,,"** RENT SPECIAL!! ONE MONTH FREE RENT!! ** Bradley View Apartments is a boutique 34 unit luxury apartment building located at 4743 Bradley Boulevard, in vibrant downtown Bethesda, Maryland. Within walking distance you will find Safeway, Trader Joe's, and Giant Food, numerous dining options, and much more! The building features very spacious, newly renovated 1, 2 and 3 bedroom apartments with updated kitchens (featuring stainless steel appliances including dishwashers, built-in microwaves, and granite counter tops), beautiful hardwood floors and walk-in closets. All utilities are included along with 1 free parking space per apartment. No pets allowed, except service animals at no extra charge. *Rental prices and specials are subject to change."
[Lake Apartments and Townhomes](https://www.apartments.com/lake-apartments-and-townhomes-chevy-chase-md/nxkrbrm/),844-240-2456,"[3730 Manor Rd, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3730+Manor+Rd,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",,"$2,850 - 3,200","* Gas, Water, Heat, Sewer: Included",* Application Fee: $25,"Dogs and Cats Allowed
Call for details",50,50,"Surface Lot
1 space; Assigned Parking. Call for details",* Bike Storage,"* Dishwasher
* Disposal
* Ice Maker
* Pantry
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Instant Hot Water",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Handrails","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Family Room
* Basement
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings","6,12 & 24-Months","* Controlled Access
* Property Manager on Site
* Bilingual
* Shuttle to Train","* Built in 1949
* 67 Units/3 Stories",* Storage Space,"* Courtyard
* Picnic Area",,"The Lake Apartments and Townhouses are nestled in safe and well-groomed community near Connecticut Avenue in Chevy Chase. Located less than a mile from I-495 and 2 miles from the DC line, our apartments and townhouses are known for convenience and located in the sought-after Montgomery County School District. There is a grocery store, Starbucks, shopping, and Capital Crescent Trail within walking distance and free shuttle to the Bethesda Metro. Our three-level townhouses offer gleaming hardwood floors, spacious rooms, and personal backyards. Our apartments feature wall-to-wall carpeting, ample closet space, personal washer/dryer, and central A/C. Both of our communities are pet friendly!"
[The Strathmore](https://www.apartments.com/the-strathmore-chevy-chase-md/zmth8wz/),844-899-4992,"[7025 Strathmore St, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7025+Strathmore+St,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",820 Sq Ft,"$1,645 - 1,720",* Water: Included,"* Application Fee: $25
* Cat Deposit: $150","Cats Allowed
$150 Deposit & NO pet rent! 
* $150 Deposit
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking.",,"* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Breakfast Nook",* Bethesda Circulator Service to Metro,"* High Speed Internet Access
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Fireplace","* Hardwood Floors
* Carpet
* Dining Room
* Family Room
* Den
* Walk-In Closets
* Linen Closet",13 Months,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Bilingual
* 24 Hour Availability
* Recycling","* Built in 1986
* 30 Units/2 Stories",,,,"** RENT SPECIAL!! ONE MONTH FREE RENT!! ** The Strathmore Apartments is a luxury 28 unit boutique apartment building located at 7025 Strathmore Street, in vibrant downtown Bethesda, Maryland. Within walking distance you will find Safeway, Trader Joe's, and Giant Food, numerous dining options, and much more! The building features very spacious newly renovated 1 bedroom + den and 2 bedroom apartments with updated kitchens (featuring stainless steel appliances including dishwashers, built-in microwaves, and granite counter tops), beautiful hardwood floors and walk-in closets with washers and dryers in select units. All apartments include 1 FREE storage unit! Water, sewer, & trash are included for FREE! Pet Policy: No Dogs -- Up to 2 cats with $150 deposit each -- Service animals welcome with no extra charge. *Rental prices and specials are subject to change."
[3535 Chevy Chase Lake Dr Unit 204](https://www.apartments.com/3535-chevy-chase-lake-dr-chevy-chase-md-unit-204/5c855xq/),,"[3535 Chevy Chase Lake Dr, Chevy Chase, MD 20815](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3535+Chevy+Chase+Lake+Dr,+Chevy+Chase,+MD+20815/data=!4m2!4m1!3e2)",,"$2,100",,,Cats Allowed,50,50,Surface Lot,,,,"* Smoke Free
* Wheelchair Accessible (Rooms)",,24 Months,* Laundry Facilities,,,,![front of building - 3535 Chevy Chase Lake Dr](https://images1.apartments.com/i2/5Lwodi06yV4CGV4Jats0KpHAybM8kcfyMn7cHR8GTGo/110/3535-chevy-chase-lake-dr-unit-204-chevy-chase-md-front-of-building.jpg) ![main bedroom - 3535 Chevy Chase Lake Dr](https://images1.apartments.com/i2/ys8LP7sFyXTMlAZZh84NRe4ultK9L9lJmA8BuorQyNI/118/3535-chevy-chase-lake-dr-unit-204-chevy-chase-md-main-bedroom.jpg) ![kitchen - 3535 Chevy Chase Lake Dr](https://images1.apartments.com/i2/hOfAskVhHrACVZnnHeNbmh32l0CyJsvBRQ6nyc8pt1k/118/3535-chevy-chase-lake-dr-unit-204-chevy-chase-md-kitchen.jpg) ![living room - 3535 Chevy Chase Lake Dr](https://images1.apartments.com/i2/2sj7rjgoj5cxIDP3RMEYDjDlyJKxvrxPmBT5j3N05MY/118/3535-chevy-chase-lake-dr-unit-204-chevy-chase-md-living-room.jpg) ![second bedroom/office - 3535 Chevy Chase Lake Dr](https://images1.apartments.com/i2/Ga7l0qBdxnDFJN5b7tCduivDwu_MGL8pHb_zzsvfloo/118/3535-chevy-chase-lake-dr-unit-204-chevy-chase-md-second-bedroomoffice.jpg) ,"Spacious, upgraded, and sunny two bedroom, two bath in Chevy Chase. Renovated kitchen, bathroom, closets, heating/ac units. Newly painted. Private lot parking, storage space, lobby area, security, large balcony faces wooded area, management company hired for building, free shuttle to Metro, walking distance to shops, restaurants, easy access to I495. Unfurnished. $2100/month includes utilities. Available now. Contact Betsy at Betsyracket@verizon.net."
