Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Landmark Apartments](https://www.apartments.com/landmark-apartments-hyattsville-md/h1176x1/),240-764-4417,"[5603 Cypress Creek Dr, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5603+Cypress+Creek+Dr,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",645 Sq Ft,"$1,133 - 1,770","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $40
* Cat Fee: $250
* Dog Fee: $250",No Pets Allowed,50,50,"Surface Lot
Assigned Parking. Parking Available",,* Range,"* 24-hour emergency maintenance
* Award-winning customer service
* Fully equipped, contemporary kitchens
* Mini-blinds throughout
* New cabinetry and countertops
* New stainless steel appliances
* Newly upgraded clubhouse
* Olympic-size pool with sundeck and bathhouse
* Outstanding resident service
* Quick and easy online rent payment and maintenance
* Spacious floor plans
* Spacious one-, two- and three-bedroom apartments
* State-of-the-art fitness center
* Upgraded bathrooms
* Wall-to-wall carpet
* Washer and dryer in each apartment
* Hardwood floors in kitchen and foyer",* Heating,,,,"* Built in 1949
* Renovated in Jan 1985
* 760 Units/4 Stories",,,,"At Landmark Apartments, you will find that our luxury apartments will fulfill your needs, your lifestyle, and your expectations. Landmark's spacious apartments come fully loaded with washers and dryers, multiple closets, stylish kitchens with breakfast bars, and lots of exciting extras. Our community features a state-of-the-art fitness center, a sparkling Olympic-sized pool, and a newly renovated community clubhouse. Our prime location is just minutes away from the University of Maryland, Howard University, and four Metro lines to whisk you into DC or Baltimore. You will be proud to make Landmark your new home!"
[Highview Terrace](https://www.apartments.com/highview-terrace-hyattsville-md/m9y120l/),844-226-2613,"[7004 Highview Ter, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7004+Highview+Ter,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",759 Sq Ft,"$1,194 - 1,915","* Cat Rent: $25
* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $25,"Cats Allowed
Cats 
* $25 Monthly Pet Rent
* 40 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Open Parking","* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen
* Oven
* Range
* Refrigerator","* 3 Bus Stops On-Site
* Breakfast Bar
* Free Utilities
* Furnishings Available
* Metro Green Line
* Patio Or Terrace
* Picnic Areas
* Vertical Blinds
* Walk-In Closets
* Walking Distance To Shopping
* Walking distance to the Metro
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Linen Closet
* Window Coverings",12,"* Package Service
* Laundry Facilities
* Maintenance on site
* Recycling
* Planned Social Activities","* Built in 1960
* 304 Units/3 Stories",,* Picnic Area,,"Tucked away in a plush wooded setting, the comforts and conveniences of Highview are a well kept secret. Highview features an Express Metro Bus stop that rides into the heart of Washington D.C., as well as playgrounds, picnic areas and pool."
[3350 At Alterra](https://www.apartments.com/3350-at-alterra-hyattsville-md/2zcwtv9/),877-215-8407,"[3350 Toledo Ter, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3350+Toledo+Ter,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",528 Sq Ft,"$1,475 - 2,470","* Assigned Surface Lot Parking: $50
* Assigned Garage Parking: $100
* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $32
* Cat Deposit: $500
* Dog Deposit: $500","Dogs and Cats Allowed:
Restricted breeds include (but not limited to): Akita, Rottweiler, Doberman, German Shepherd, Pit Bull, American Staffordshire Terrier, Staffordshire Bull Terrier, Bull Terrier, Chow, Presa Canario and Sharpei. Any mixed breeds that includes prohibited breeds, dogs with defensive or attack training, former Military or Police trained dogs, and any dog with a history of biting / $500 refundable deposit Cats, Dogs, Fish, Caged Birds Pets up to 35 lbs any floor Pets 36 lbs - 75 lbs first floor only $500 deposit per pet $25/pet per month 
* $500 Deposit
* $35 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $50
1 space; Assigned Parking. Reserved Surface Lot Parking","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* 24hr. Emergency maintenance
* 9 ft. ceiling
* Beautiful courtyards
* Bicycle storage room
* Built-in Desk in 3rd Bedroom
* Built-in desk with USB charging station
* Bus stop in front of community
* Ceiling fan
* Ceiling fan guest bedroom
* Ceiling fan master bedroom
* Controlled building access
* Convenient coat closet
* Dbl vanity sinks master bath
* Excellent access to I-95, Metro, shopping, ...
* Excellent access to I-95, Metro, shopping, dining, entertainment
* Fire sprinkler system
* Full-size pantry
* Full-size washer/dryer
* High-speed internet access
* High-speed internet in area
* Kitchen island w/sink, DW, and storage
* Large clubhouse
* Linen closet
* Locker room and shower
* Monitoring cameras
* Organized resident activities
* Over-sized separate shower with glass door
* Reserved garage parking
* Rich carpet master bedroom
* Salt-water lap pool with in-pool seating
* Self-cleaning oven
* Shuffleboard in resident lounge
* Soaking tub
* Soaking tub with subway tile
* Stainless steel appliances
* Subway tile
* Walking distance to Prince Georges Metro
* Washer/Dryer in Unit
* Water included in rent
* Wi-fi access in resident lounge
* Wired for high-speed internet
* Wood-like flooring","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Cable Ready
* Double Vanities
* Tub/Shower
* Handrails
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room
* Den
* Built-In Bookshelves
* Views
* Walk-In Closets
* Linen Closet",Variable,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Recycling
* Renters Insurance Program
* Online Services
* Energy Star Certified
* Planned Social Activities
* Local Vet / Pet Store Discount
* Pet Care
* Pet Play Area
* Pet Washing Station","* Built in 2014
* 283 Units/4 Stories","* Elevator
* Clubhouse
* Lounge
* Disposal Chutes
* Coffee Bar","* Sundeck
* Courtyard",,"The Hyattsville Arts District is quickly becoming one of the DC areas most lively neighborhoods. Bright color. Luminous spaces. The perfect setting, inside and out. 3350 at Alterra complements your lifestyle. Sophisticated and luxurious, these well-appointed residences features sleek kitchens, lavish baths and high-end finishes throughout. 3350 at Alterra places you in the center of a vibrant, active apartment community, where you can socialize and connect. Relax by our stunning salt-water lap pool. No, it's not a resort. It's your own little piece of perfect. Actually, there are a lot of pieces. From the grand entry with welcoming fireplace and multi-media wall to the fitness club and refreshment bar with lounge area, every space has been impeccably designed to give you the feel of being in a private club, just outside the comfort of your Hyattsville apartment. Your furry friends are also welcomed and pampered at our community with their very own Pet grooming station."
[Avondale Overlook](https://www.apartments.com/avondale-overlook-hyattsville-md/r9fkpx2/),844-386-5048,"[2400 Queens Chapel Rd, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2400+Queens+Chapel+Rd,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",720 Sq Ft,"$1,120 - 2,535","* Assigned Covered Parking: $65
* Cat Rent: $30
* Dog Rent: $30
* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Application Fee: $50
* Cat Deposit: $300
* Dog Deposit: $300",No Pets Allowed,50,50,"Surface Lot
Parking Available",* Fitness Center,,"* Eleventh Floor
* Fifth Floor
* Ninth Floor
* Renovated One Bedroom
* Renovated Three Bedroom
* Renovated Two Bed Two Bat
* Renovated Two Bedroom
* Second Floor
* Sixth Floor
* Tenth Floor",* High Speed Internet Access,,12 months,"* Package Service
* Laundry Facilities
* Maintenance on site
* 24 Hour Availability","* Built in 1965
* 247 Units/12 Stories","* Elevator
* Business Center",,,"Fronting Queens Chapel Road just four blocks from the District line, Avondale Overlook puts you in a bustling neighborhood close to everywhere you want to be. Hop in your car and get anywhere in the area quickly. Take the Metro from the nearby West Hyattsville Metro stop and be in Downtown DC in no time. Or just enjoy your surroundings with all the local shopping and dining just steps away. At Avondale Overlook, there is always so much to see."
[Belcrest Plaza Apartments](https://www.apartments.com/belcrest-plaza-apartments-hyattsville-md/vjy6qxg/),240-764-4404,"[3507 Toledo Terrace, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3507+Toledo+Terrace,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",521 Sq Ft,"$1,035 - 1,470","* Cat Rent: $30
* Dog Rent: $30
* Water, Trash Removal, Sewer: Included","* Application Fee: $32
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed
* $30 Monthly Pet Rent
* $300 Fee
* 25 lb Weight Limit
* 1 Pet Limit
* Must Be Spayed/Neutered",50,50,"Surface Lot
1 space.",* Playground,"* Dishwasher
* Disposal
* Kitchen
* Range
* Refrigerator","* Freeway Access (The Beltway & B/W Pkwy)
* Near The Mall At Prince Georges
* Near University Of Maryland
* Online Service Request
* Tub/Shower","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Dining Room
* Den
* Views
* Walk-In Closets
* Window Coverings",12 months,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 1959
* Renovated in Aug 2016
* 511 Units/2 Stories",,* Balcony,,Belcrest Plaza combines a beautiful wooded setting with the convenience of Metrorail and the Mall at Prince Georges directly across the street. Belcrest Plaza is located just minutes from downtown D.C. and the University of Maryland with bus service for both. We are also convenient to the Beltway and B/W Parkway. Make this award winning community your new home today.
[Queens Park Plaza Apartments](https://www.apartments.com/queens-park-plaza-apartments-hyattsville-md/ez357pp/),844-897-1421,"[2500 Queens Chapel Rd, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2500+Queens+Chapel+Rd,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",,"$1,200 - 1,350","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal, Sewer: Included","* Admin Fee: $100
* Application Fee: $35
* Cat Deposit: $500
* Dog Deposit: $500","Dogs and Cats Allowed
Small pets 
* $500 Deposit
* $25 Monthly Pet Rent
* 20 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
117 spaces. Parking Available",,"* Dishwasher
* Disposal
* Kitchen
* Oven
* Range
* Refrigerator
* Breakfast Nook","* Bus Stop across from community
* Close to LA Fitness & Planet Fitness
* Close to PG Plaza, local dining & MORE!
* Close to several local grocery stores!
* Walking distance to Metro (green line)","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Linen Closet",12 months,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* 24 Hour Availability
* Recycling","* Built in 1965
* 94 Units/3 Stories",,* Cabana,,"Queens Park is an intimate and comfortable place to live and relax. The landscape provides you with an enjoyable escape from the bustling city. Conveniently located near Washington Hospital Center, the University of Maryland, and Prince Georges Mall. Queens Park is the ideal choice for people looking for a friendly atmosphere. Public transportation is available in front of the community and we are only minutes away from the West Hyattsville Metro station. Small pets are welcome."
[Overlook Apartments](https://www.apartments.com/overlook-apartments-hyattsville-md/8z34ms1/),240-696-6641,"[1507 Ray Rd, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1507+Ray+Rd,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",749 - 752 Sq Ft,"$1,242 - 1,350","* Cat Rent: $25
* Dog Rent: $25
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Application Fee: $44
* Cat Fee: $250
* Cat Deposit: $250
* Dog Fee: $250
* Dog Deposit: $250","Dogs Allowed:
Overlook is a pet friendly community. We currently accept a maximum of 1 cat or 1 dog with the exception of the following breeds: Pit-bulls, Rottweilers, Chows, Akitas, American Staffordshire, Shar-Pei, Bull Terriers or any aggressive breed. Maximum weight is 20 lbs. at maturity. A signed pet addendum is required at the time of move-in. A $250 refundable pet deposit, per pet, is required at the time of move-in, along with a $25 monthly pet rent per pet 
* $250 Deposit
* $25 Monthly Pet Rent
* $250 Fee
* 20 lb Weight Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Range
* Refrigerator",* Income Restrictions Apply,"* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Storage Units",* Window Coverings,"6 months, 9 months, 12 months",* Maintenance on site,"* Built in 1947
* Renovated in Sep 2014
* 187 Units/3 Stories",,,,"Spacious garden style apartment homes in a convenient location await you at Overlook Apartments in Hyattsville, MD. Washington, DC and Metro are just minutes away and you'll enjoy the short walk to shopping. Come home to outstanding amenities, free utilities and superb customer service."
[Lasalle Park Apartments](https://www.apartments.com/lasalle-park-apartments-hyattsville-md/yplekfr/),240-764-4363,"[5443 16th Ave, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5443+16th+Ave,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",627 Sq Ft,"$995 - 1,950","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed
Breed and Weight Restrictions 
* $35 Monthly Pet Rent
* $250 Fee",50,50,Other,"* Pool
* Playground","* Disposal
* Pantry
* Oven
* Range
* Refrigerator","* Beautiful Mature Landscaping
* Cable-Ready
* Carpeting
* Ceramic Tiled Bathrooms
* Climate Controlled Heat and A/C
* Controlled Access Buildings
* Efficient Appliances
* Fully Equipped Kitchens with Breakfast Bar
* Large Closets
* Less Than 15 Minutes from BW Parkway
* Less Than 15 Minutes from University of Maryland
* Less Than 5 Miles from I-495
* Less Than a Mile from Washington Hospital Center
* Mini-Blinds
* Parquet/Carpet Flooring
* Patios or Balconies
* Picnic Area
* Refrigerator
* Separate Formal Dining Room","* High Speed Internet Access
* Tub/Shower","* Hardwood Floors
* Carpet
* Dining Room",None,"* Laundry Facilities
* Maintenance on site
* Bilingual
* Renters Insurance Program
* Online Services","* Built in 1961
* 354 Units/3 Stories",,"* Balcony
* Patio",,"Tree-lined courtyards and lush landscaping welcome you when you arrive at LaSalle Park Apartments, located in one of Hyattsville's established neighborhoods. Convenient to downtown DC, a mile from NASA and the Washington Hospital Center, I-495 and the Baltimore-Washington Parkway, LaSalle Park offers the suburban life in an urban environment. Come home to a sunny and spacious one, two or three bedroom with fully equipped kitchens and ceramic tile bathroom flooring. LaSalle Park's community amenities feature a picnic area, seasonal swimming pool, playground, laundry care centers and parking. Find your hidden treasure! Come home to LaSalle Park!"
[Kings Park Plaza Apartment Homes](https://www.apartments.com/kings-park-plaza-apartment-homes-hyattsville-md/rynnlh0/),844-234-4832,"[2600 Queens Chapel Rd, Hyattsville, MD 20782](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2600+Queens+Chapel+Rd,+Hyattsville,+MD+20782/data=!4m2!4m1!3e2)",726 - 957 Sq Ft,"$1,555 - 2,220","* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $30
* Cat Fee: $200
* Dog Fee: $200","Dogs Allowed:
Breed Restrictions Apply. Breed Restrictions Apply. 
* $30 Monthly Pet Rent
* $200 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Reserved Parking Available*","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool","* Island Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Breakfast Nook","* 24 Hour Emergency Maintenance
* Air Conditioner
* Breakfast Bar*
* Cable Ready
* Ceiling Fan*
* Dishwasher*
* Garbage Disposal*
* Granite Countertops*
* Maple Cabinets*
* Microwave*
* Movie Theater
* New Fitness Center
* New Movie Theater
* New Resident Lounge
* Patio/Balcony
* Planned Social Activities
* Refrigerator
* Resident Lounge
* Spacious Closet
* Two Tone Designer Paint*
* Wall to Wall Carpeting
* Wheelchair Access
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Tub/Shower","* Carpet
* Dining Room
* Den
* Walk-In Closets
* Linen Closet","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","* Laundry Facilities
* Controlled Access
* 24 Hour Availability
* Renters Insurance Program
* Online Services","* Built in 1960
* 97 Units/9 Stories","* Elevator
* Business Center
* Lounge
* Coffee Bar","* Gated
* Sundeck",,"Welcome home to Kings Park Plaza Apartment Homes, where we offer the excitement and culture of Washington, D.C. paired with the quiet charm of the suburbs. Conveniently situated just minutes to the bustling Silver Spring, Hyattsville Metro, University of Maryland, Catholic University, Howard University, BW Parkway, Rt 1, I-495, and I-95. Designed with your active lifestyle in mind, Kings Park Plaza offers a full array of services, a soothing pool, incredible city and wooded views, a variety of innovatively designed floor plans and many expanded features like NEW designer kitchen backsplashes and two-tone paint throughout your apartment! A Resident Lounge coming soon!"
[University City](https://www.apartments.com/university-city-hyattsville-md/7zj83tw/),844-227-2805,"[2213 University Blvd, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2213+University+Blvd,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",550 Sq Ft,"$989 - 1,359","* Cat Rent: $20
* Trash Removal, Air Conditioning: Included","* Application Fee: $35
* Cat Fee: $200","Cats Allowed:
$20 fee per month and $100 pet deposit. 
* $20 Monthly Pet Rent
* $200 Fee
* Must Be Spayed/Neutered",50,50,"Surface Lot
Parking Available",* Playground,"* Disposal
* Kitchen
* Oven
* Range
* Refrigerator",,"* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Tile Floors
* Dining Room
* Walk-In Closets
* Window Coverings",,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual","* Built in 1950
* 400 Units/3 Stories",,,,"Make University City ""THE RIGHT CHOICE!!"" Our friendly staff is dedicated to your every comfort...We have a well-earned reputation for excellent management and outstanding service. ""CONVENIENCE"" University City Apartments is convenient to everything! Residents can walk to shopping and good restaurants. You will be just minutes from downtown...close to two Metro Stations...with the Metro bus stopping at your front door. Plus, we are on the University of Maryland shuttle bus route. Don't forget the convenience of having off-street parking. Some utilities included for a small monthly fee! *Prices are subject to change."
