Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Gramercy at Town Center](https://www.apartments.com/the-gramercy-at-town-center-columbia-md/ny0431n/),844-626-3658,"[10601 Gramercy Pl, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10601+Gramercy+Pl,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",685 Sq Ft,"$1,638 - 2,709","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $4
* Application Fee: $25
* Cat Fee: $40 - 60
* Cat Deposit: $250
* Dog Fee: $40 - 60
* Dog Deposit: $250","Dogs Allowed:
Some Breed Restrictions Apply. 
* $250 Deposit
* $40 Monthly Pet Rent
* $40 - 60 Fee
* 2 Pet Limit",50,50,"Surface Lot
301 spaces. We have free surface parking, and 64 individual garages that can be rented from $100-$175/month, depending on the size/type.","* Fitness Center
* Pool",,"* Breakfast Bar
* Computer Nook
* Gas Heating and Cooking
* Individual Climate Control
* Large Closets
* Oversized Windows
* Private Garages Available",* High Speed Internet Access,,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Recycling
* Guest Apartment
* Pet Care
* Car Wash Area","* Built in 1997
* 210 Units/4 Stories","* Business Center
* Clubhouse
* Storage Space","* Gated
* Sundeck",,"The Gramercy offers impeccable features and amenities right in the heart of Columbia Town Center. Choose from one of seven beautiful floor plans, with options such as 9' ceilings, dens and loft apartments. Living at The Gramercy also means living in a perfect location. Shopping, dining, recreation and entertainment are within easy access, and you're just a moment's drive from I-95. Everything you could want in an apartment home is waiting for you at The Gramercy."
[Paragon At Columbia Overlook](https://www.apartments.com/paragon-at-columbia-overlook-elkridge-md/zrh5krz/),443-219-3808,"[8151 Robinson Jefferson Dr, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8151+Robinson+Jefferson+Dr,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",745 Sq Ft,"$1,393 - 2,856","* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
We welcome up to two pets in each home. There is a $300 deposit, as well as a monthly pet rent of $25 for pets up to 30 lbs or $50 for pets larger than 30 lbs. Breed restrictions do apply, so please speak with a leasing professional to learn more. 
* $300 Deposit
* $25 Monthly Pet Rent
* 30 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Surface Parking is included with rent.","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Bike Storage
* Media Center/Movie Theatre","* Ice Maker
* Granite Countertops
* Pantry
* Island Kitchen
* Oven
* Range
* Freezer","* Barbeque Grills
* Bike Storage
* Canoe/Kayak Storage
* Controlled Access Buildings
* Dog Washing Area
* Greenhouse
* Heated Pool
* Outdoor Lounge
* Salt Water Pool
* Saltwater Pool
* Smoke Free Community
* Sunroom
* Balconies
* Full-Size Washer & Dryer
* Granite Countertops*
* In Select Apartment Homes*
* Spacious Open Floor Plans
* Stainless Steel Appliances
* Walk-In Closets
* Wood Floors","* High Speed Internet Access
* Smoke Free
* Tub/Shower
* Handrails
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Vinyl Flooring
* Dining Room
* Vaulted Ceiling
* Views
* Linen Closet
* Double Pane Windows
* Window Coverings",None,"* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Property Manager on Site
* Furnished Units Available
* Renters Insurance Program
* LEED Rating
* Planned Social Activities
* Health Club Discount
* Guest Apartment
* Pet Care
* Pet Washing Station","* Built in 2014
* 320 Units/4 Stories
* Furnished","* Clubhouse
* Lounge
* Multi Use Room
* Disposal Chutes
* Coffee Bar
* Conference Room
* Corporate Suites","* Courtyard
* Grill",,"Situated just outside of Baltimore and only a short drive from Washington, D.C., Paragon at Columbia Overlook apartments neighboring Columbia, MD, offers the best in suburban tranquility, thoughtful design and unparalleled access to the area. At first glance you will notice the refreshing look and feel of this one and two bedroom community, but dig deeper and you will also find an NGBS Green Certified community with eco-friendly amenities and energy-conscious apartment appliances. Come inside and experience serenity for yourself. As you tour your next apartment, you'll enter to find modern style, ample natural light shining in from the oversized windows and private patio or balcony. Each kitchen takes a contemporary approach to styling with a distinguished package of stainless steel appliances, European shaker cabinets and granite slab countertops. Whether you choose the one or two bedroom model, you will have a guest bathroom ranging from a chic powder room to a full bathroom. At ..."
[Merion](https://www.apartments.com/merion-columbia-md/s7hf0t6/),844-327-4723,"[12290 Green Meadow Dr, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12290+Green+Meadow+Dr,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,325 - 1,825","* Cat Rent: $40
* Dog Rent: $40
* Gas, Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Dogs Allowed
Dogs 
* $40 Monthly Pet Rent
* 35 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.",* Fitness Center,,"* Balcony
* Breakfast Bar
* Cable, Central A/C, Disposal, Internet
* Furnishings Available
* Large Walk-In Closets Offered
* Marble Vanities
* Marc Train
* Patio Or Terrace
* Wall-To-Wall Carpeting
* Washer Dryer In Apartment",* High Speed Internet Access,,12,,"* Built in 1988
* 119 Units/7 Stories","* Business Center
* Clubhouse",* Gated,,"From its well-manicured grounds and designer lobby to its country setting and friendly leasing and maintenance staff, the Club Merion has not overlooked a single detail. Commuting to Annapolis, Baltimore and Washington couldn't be easier."
[TENmflats](https://www.apartments.com/tenmflats-columbia-md/7920y6y/),443-539-8751,"[10101 Twin Rivers Rd, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10101+Twin+Rivers+Rd,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",600 Sq Ft,"$1,432 - 3,695",,* Application Fee: $35,"Dogs Allowed:
Breed restrictions apply. 
* 2 Pet Limit",50,50,"Garage
Assigned Parking.",* Basketball Court,,"* Air Conditioner
* Bike Racks
* Bike repair room
* Cable Ready
* Courtyard
* Double sink vanities available
* Fire pit
* Frameless showers with designer wall tile
* Gas cooking - just like chefs prefer
* Glass tile backsplashes
* Italian cabinetry
* Kitchen islands
* On-site retail
* Outdoor dining area with grills
* Pet friendly living
* Pet wash station
* Plank style flooring
* Quartz countertops
* Resident storage
* Secure package lockers
* Social lounge
* Soothing baths
* Spacious pantries*
* Stunning pool with hammocks and sunbathing areas
* Walk-in closets
* Washer/Dryer
* Window Coverings",* High Speed Internet Access,,"9, 10, 11, 12, 13, 14, 15","* Maintenance on site
* 24 Hour Availability","* Built in 2017
* 540 Units/6 Stories","* Elevator
* Business Center
* Clubhouse",* Gated,,"With the introduction of TEN.M and m.flats, there are now two amazing new apartment residences to choose from in Downtown Columbia. Both have their own unique look and feel, ensuring that, no matter your personality, you're sure to find the right home for you."
[Columbia Pointe Apartment Homes](https://www.apartments.com/columbia-pointe-apartment-homes-columbia-md/yr77m2t/),443-393-3690,"[5764 Stevens Forest Rd, Columbia, MD 21045](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5764+Stevens+Forest+Rd,+Columbia,+MD+21045/data=!4m2!4m1!3e2)",576 Sq Ft,"$1,020 - 1,970","* Unassigned Surface Lot Parking: $10
* Assigned Other Parking: $35 - 50
* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $35
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
Any mixes of the following breeds are not permitted: Rottweiler, Dobermans, Chows, Pit Bulls and German Shepherds. If the Management Office determines your pet to be aggressive, your pet may not be allowed at our community. Breed Restrictions Apply 
* $40 Monthly Pet Rent
* $500 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $10
Parking for residents is available on a first-come, first-served basis in our private parking lot.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Playground",* Instant Hot Water,"* Cable Ready
* Central Air Conditioning
* Courtyard
* Dishwasher
* Garbage Disposal
* Pets Welcome
* Private Patio/Balcony
* Spacious Closet
* Washer/Dryer in Home*
* Window Coverings","* High Speed Internet Access
* Smoke Free
* Tub/Shower","* Carpet
* Views
* Walk-In Closets
* Accent Walls","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Renters Insurance Program
* Planned Social Activities","* Built in 1972
* 325 Units/9 Stories","* Elevator
* Lounge
* Multi Use Room
* Coffee Bar","* Gated
* Lake Access",,"Apply Today for FREE rent until November! Immediate Move-ins Only. Limited Time Offer. Expires: 10/15/17 Come SEE the new Columbia Pointe in Columbia! Conveniently located, we are near shopping, dining, entertainment and only 20 minutes from Baltimore. Our community features a 24-hour fitness center and a swimming pool with a large sundeck. Don't miss this opportunity to live in the highly desirable area of Columbia MD named by Money Magazine as having the top schools in the country and among the nation's leading areas for economic growth."
[Harpers Forest Apartments](https://www.apartments.com/harpers-forest-apartments-columbia-md/se0ydm5/),844-232-3880,"[5980 Turnabout Ln, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5980+Turnabout+Ln,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,139 - 1,819","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal: Included","* Application Fee: $30
* Cat Fee: $250
* Dog Fee: $250",No Pets Allowed,50,50,"Surface Lot
Assigned Parking.",,"* Microwave
* Refrigerator",,,"* Carpet
* Window Coverings",,"* Controlled Access
* 24 Hour Availability
* Car Wash Area","* Built in 1969
* 292 Units/3 Stories",,,,"Harpers Forest Apartments in Columbia, Maryland, is nestled in the woods but with all the conveniences of the city. You will find exquisite apartments with energy-efficient appliances and wall-to-wall carpeting. Located minutes from everything in Columbia, Maryland."
[eaves Columbia Town Center](https://www.apartments.com/eaves-columbia-town-center-columbia-md/lbzxbnf/),443-577-4214,"[10300 Hickory Ridge Rd, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10300+Hickory+Ridge+Rd,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",780 Sq Ft,"$1,285 - 2,250",,"* Amenity Fee: $300
* Application Fee: $25",No Pets Allowed,50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Walking/Biking Trails","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",* CORT Furniture Rental,"* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Cable Ready
* Double Vanities
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Dining Room
* Views",2 to 24 Months,"* Package Service
* Property Manager on Site
* Recycling
* Planned Social Activities
* Car Wash Area","* Built in 1986
* 392 Units/3 Stories",,"* Sundeck
* Grill
* Picnic Area",,"Come see our renovated apartment homes Located in the heart of Columbia near routes 29 and 32, the Columbia Town Center and Merriweather Post Pavilion, you’ll be close to transportation, shopping and great entertainment. eaves Columbia Town Center features one, two and three bedroom apartments with an array of modern amenities and many extras for your convenience, including brand new appliances, cabinets, countertops and flooring."
[Avalon at Fairway Hills](https://www.apartments.com/avalon-at-fairway-hills-columbia-md/160vjk6/),844-549-5663,"[5441 Columbia Rd, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5441+Columbia+Rd,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",715 Sq Ft,"$1,230 - 1,940","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300",No Pets Allowed,50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Racquetball Court
* Tennis Court","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Storage Units
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Sunroom
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets",2 to 12 Months,"* Package Service
* Property Manager on Site
* 24 Hour Availability
* Recycling
* Planned Social Activities","* Built in 1987
* 720 Units/4 Stories",,"* Cabana
* Grill",,"Welcome to our spectacular community Located in the heart of Columbia, Avalon at Fairway Hills offers 1, 2, and 3 bedroom apartment homes with a variety of features. All apartment homes include fully equipped kitchens, washer/dryer, patios or balconies, closets and more. Enjoy our many amenities including three outdoor swimming pools and 24 hour fitness center. With everything that Avalon at Fairway Hills has to offer, you will have more time for the things most important to you."
[Autumn Crest](https://www.apartments.com/autumn-crest-columbia-md/s8vhpw5/),410-505-4262,"[5664 Stevens Forest Rd, Columbia, MD 21045](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5664+Stevens+Forest+Rd,+Columbia,+MD+21045/data=!4m2!4m1!3e2)",708 Sq Ft,"$1,175 - 1,820","* Cat Rent: $30
* Dog Rent: $30
* Water, Trash Removal, Sewer: Included","* Application Fee: $32
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
$300 pet deposit. $30monthly rent. One pet per apartment. 50-pound weight limit. Breed Restrictions Apply. 
* $300 Deposit
* $30 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking. Parking Available",* Playground,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Range
* Refrigerator","* Courtyard
* Disability Access
* Housing Vouchers Welcome
* Market Rate
* Pets Allowed
* Playground
* Public Transportation
* Terrific Views
* Water, Sewer and Trash Included","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",12 months,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Health Club Discount","* Built in 1972
* 300 Units/3 Stories",,"* Balcony
* Barbecue Area",,"You just don't see many apartments in Columbia with the kind of space or scenery as Autumn Crest Apartments. Autumn Crest Apartments offers one, two, and three-bedroom apartments on a wooded hillside, looking out over Lake Kittamaqundi towards downtown Columbia. With views that give you peaceful moments and roomy interiors that add a little zip to daily life. Generous dimensions mean lots of space for you and all your things such as party sized living rooms, separate dining areas, fully equipped kitchens you can move around in, many with unique architectural openings, big bedrooms with plenty of closet space, and some with walk-in closets. There's also a balcony or patio, washer/dryer, designer carpeting and flooring, and linen and coat closets. Features to make your life easy, comfortable, and fun. The location has everything going for it. You're right across Route 29 from the movies, restaurants, and shops at Town Center and Columbia Mall. You can walk there, or to Oakland Mills Village Center. You can get to I-95 in minutes, for an easy drive into Baltimore or Washington. You're surrounded by things to do. Swimming, tennis, ice skating at Oakland Mills Community Center, jogging and bike trails, concerts at Merriweather Post Pavilion, the library, dinner theater, clubs, classes, even work, if you have to. It all amounts to what could be the best apartment value in Columbia. Shop around, then come see us. We have every reason to believe you'll fall for Autumn Crest Apartments."
[The Bluffs at Clary's Forest Apartments](https://www.apartments.com/the-bluffs-at-clarys-forest-apartments-columbia-md/f5hpsjv/),844-303-6661,"[12100 Little Patuxent Pky, Columbia, MD 21044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12100+Little+Patuxent+Pky,+Columbia,+MD+21044/data=!4m2!4m1!3e2)",680 Sq Ft,"$1,212 - 1,362","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal, Sewer: Included","* Application Fee: $25
* Cat Fee: $200
* Dog Fee: $200","Dogs Allowed:
Dogs Allowed at Hawthorn & at Clary's Forest on Green Meadow Dr only. Dogs - No Aggressive breeds - see Leasing Office for details 
* $25 Monthly Pet Rent
* $200 Fee
* 50 lb Weight Limit
* 1 Pet Limit
* Must Be Spayed/Neutered",50,50,"Surface Lot
Open Parking",,"* Dishwasher
* Disposal
* Kitchen
* Oven
* Range
* Refrigerator","* All Brick Construction
* Built-In Bookcase/Entertainment Center
* Cathedral Ceilings In Top Floor Apartments
* Extra Sidewall Insulation For Energy Efficiency
* Individual Climate Control
* Near Hobbit's Glen Golf Course & The Hawthorn Center
* Near Howard Community College & University-Maryland College
* Near The Columbia Mall & The Village Center
* Near Williams-Sonoma & Whole Foods Mart
* Pass-Thru Breakfast Bar
* Private Intercom Entrance System
* Two Domestic Cats Accepted","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom","* Carpet
* Dining Room
* Built-In Bookshelves
* Vaulted Ceiling
* Linen Closet
* Window Coverings","6, 9 and 12 month","* Laundry Facilities
* Controlled Access
* Maintenance on site
* 24 Hour Availability
* Furnished Units Available","* Built in 1985
* 196 Units/3 Stories
* Furnished",* Storage Space,,,"LOCATION, LOCATION, LOCATION! Howard County is located at the center of the Baltimore-Washington corridor. The Bluffs at Clary’s Forest and our sister property, The Bluffs at Hawthorne, are located in Columbia, Maryland. Clary’s Forest is located in the Village of Hickory Ridge and Hawthorne on Hickory Ridge Road across from Howard Community College. VALUE, VALUE, VALUE! Clary’s and Hawthorne offer an exceptional value! Our all brick construction, private intercom entry to the main door and expanded floor plan that offers outdoor living with your patio or wood balcony are among some of the features you will enjoy! Our professional attentive management team is available to assist you, and 24/7 emergency maintenance service is available for your peace of mind!"
