Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Paragon At Columbia Overlook](https://www.apartments.com/paragon-at-columbia-overlook-elkridge-md/zrh5krz/),443-219-3808,"[8151 Robinson Jefferson Dr, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8151+Robinson+Jefferson+Dr,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",745 Sq Ft,"$1,393 - 2,856","* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
We welcome up to two pets in each home. There is a $300 deposit, as well as a monthly pet rent of $25 for pets up to 30 lbs or $50 for pets larger than 30 lbs. Breed restrictions do apply, so please speak with a leasing professional to learn more. 
* $300 Deposit
* $25 Monthly Pet Rent
* 30 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Surface Parking is included with rent.","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Bike Storage
* Media Center/Movie Theatre","* Ice Maker
* Granite Countertops
* Pantry
* Island Kitchen
* Oven
* Range
* Freezer","* Barbeque Grills
* Bike Storage
* Canoe/Kayak Storage
* Controlled Access Buildings
* Dog Washing Area
* Greenhouse
* Heated Pool
* Outdoor Lounge
* Salt Water Pool
* Saltwater Pool
* Smoke Free Community
* Sunroom
* Balconies
* Full-Size Washer & Dryer
* Granite Countertops*
* In Select Apartment Homes*
* Spacious Open Floor Plans
* Stainless Steel Appliances
* Walk-In Closets
* Wood Floors","* High Speed Internet Access
* Smoke Free
* Tub/Shower
* Handrails
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Vinyl Flooring
* Dining Room
* Vaulted Ceiling
* Views
* Linen Closet
* Double Pane Windows
* Window Coverings",None,"* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Property Manager on Site
* Furnished Units Available
* Renters Insurance Program
* LEED Rating
* Planned Social Activities
* Health Club Discount
* Guest Apartment
* Pet Care
* Pet Washing Station","* Built in 2014
* 320 Units/4 Stories
* Furnished","* Clubhouse
* Lounge
* Multi Use Room
* Disposal Chutes
* Coffee Bar
* Conference Room
* Corporate Suites","* Courtyard
* Grill",,"Situated just outside of Baltimore and only a short drive from Washington, D.C., Paragon at Columbia Overlook apartments neighboring Columbia, MD, offers the best in suburban tranquility, thoughtful design and unparalleled access to the area. At first glance you will notice the refreshing look and feel of this one and two bedroom community, but dig deeper and you will also find an NGBS Green Certified community with eco-friendly amenities and energy-conscious apartment appliances. Come inside and experience serenity for yourself. As you tour your next apartment, you'll enter to find modern style, ample natural light shining in from the oversized windows and private patio or balcony. Each kitchen takes a contemporary approach to styling with a distinguished package of stainless steel appliances, European shaker cabinets and granite slab countertops. Whether you choose the one or two bedroom model, you will have a guest bathroom ranging from a chic powder room to a full bathroom. At ..."
[Azure Oxford Square](https://www.apartments.com/azure-oxford-square-hanover-md/ft5gj2s/),844-597-6514,"[7010 Southmoor St, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7010+Southmoor+St,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",730 Sq Ft,"$1,450 - 2,499","* Unassigned Surface Lot Parking: $75
* Unassigned Garage Parking: $75
* Assigned Other Parking: $75
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $35 - 50
* Cat Deposit: $500
* Dog Fee: $35 - 50
* Dog Deposit: $500","Dogs Allowed:
*See restricted breed list Pet rent ranges from $35-$50 depending on weight 
* $500 Deposit
* $50 Monthly Pet Rent
* $35 - 50 Fee
* 2 Pet Limit",50,50,"Surface Lot: $75
396 spaces.","* Fitness Center
* Fitness Programs
* Pool
* Gameroom
* Media Center/Movie Theatre","* Granite Countertops
* Stainless Steel Appliances
* Kitchen","* Individual Climate Control
* Large Closets
* Living Green Flower Wall
* Outdoor Lounge With Fire Pit & TV
* Zero-depth Pool Entry With Splash Pad & Water Jets","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Window Coverings",,"* Community-Wide WiFi
* Day Care
* Maintenance on site
* 24 Hour Availability
* Furnished Units Available
* Recycling
* Energy Star Certified
* Pet Care","* Built in 2015
* 248 Units/4 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Coffee Bar
* Conference Room",* Sundeck,,"Azure Oxford Square offers apartment homes nestled in the brand new, all inclusive Oxford Square neighborhood. Lounge by the resort-style pool or barbecue outside next to the fire pit and TVs. Work out in the state of the art fitness center or take advantage on the community's wooded trails. Come home to high ceilings, in unit washer and dryer, and vinyl wood plank flooring. With spacious floor plan layouts, free parking, and modern amenities including a club room and tech lounge, you'll experience the ultimate centered living in Oxford Square. Step right outside of your front door to shops, schools and lots of green open space ? all just a short 5 minute drive from the Dorsey MARC Station and minutes from major freeways for a fast commute to Baltimore, Washington DC, or Fort Meade."
[Brompton House](https://www.apartments.com/brompton-house-elkridge-md/p3mv3sr/),866-784-9976,"[7691 Mandrake Ct, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7691+Mandrake+Ct,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",839 Sq Ft,"$1,400 - 6,631","* Unassigned Garage Parking: $175
* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Breed Restrictions Apply. 
* $300 Deposit
* $35 Monthly Pet Rent
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $175
1 space. Garages Available We offer detached garages for $150 per month.","* Fitness Center
* Free Weights
* Weight Machines
* Pool
* Playground
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Pantry
* Microwave
* Refrigerator
* Freezer","* Air Conditioner
* BBQ/Picnic Area
* Bike Racks
* Cable Ready
* Carpeting
* Ceiling Fan
* Courtyard
* Dishwasher
* Disposal
* Efficient Appliances
* Electronic Thermostat
* Extra Storage
* Fireplace
* Gas Range
* Green Building
* Hardwood Floors
* Large Closets
* Media Room
* Microwave
* Package Receiving
* Patio/Balcony
* Recycling
* Refrigerator
* View
* Washer/Dryer
* Wheelchair Access
* Window Coverings","* High Speed Internet Access
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace","* Hardwood Floors
* Carpet
* Dining Room
* Den
* Sunroom
* Vaulted Ceiling
* Views
* Linen Closet
* Loft Layout",None,"* Package Service
* Controlled Access
* Maintenance on site
* 24 Hour Availability
* Trash Pickup - Door to Door
* Recycling
* Renters Insurance Program
* Online Services
* Car Charging Station","* Built in 2013
* 463 Units/3 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Conference Room","* Gated
* Sundeck",,"At Brompton House, we believe coming home should mean enjoying life. Here, we've designed apartments and townhomes in Elkridge, MD, where you can relax and be yourself, whether you feel like taking in the sun at the resort-style pool, socializing in the wine-tasting room or just unwinding in your beautiful apartment. Located right off Route 1, these luxury apartments in Maryland are the perfect place to return to at the end of every day."
[Lawyers Hill Apartments](https://www.apartments.com/lawyers-hill-apartments-elkridge-md/dgjgxyk/),410-505-4743,"[7234 Montgomery Rd, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7234+Montgomery+Rd,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",725 Sq Ft,"$1,167 - 1,330",* Trash Removal: Included,* Application Fee: $25,No Pets Allowed,50,50,Surface Lot,* Playground,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator","* Cable Ready
* Central Air Conditioning
* Den
* Dishwasher
* Disposal
* Energy Efficient Windows
* Fantastic Howard County Location-Minutes To Rt. 100, I-695, Or I-95
* Gas Range
* Heating
* Large Rooms and Closets
* Laundry Service
* Maintenance and Worry Free Lifestyle
* Microwave
* Minutes from Baltimore's Inner Harbor
* Off Street Parking
* Package Receiving
* Private Balcony Or Patio
* Refrigerator
* Sunny Eat-in Kitchen
* Sunny Eat-In Kitchen with Oak Cabinets
* Tub/Shower
* Walk-in Closets
* Wall-to-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",12,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Laundry Service","* Built in 1974
* 84 Units/3 Stories",* Storage Space,,,"Pay only $20 for the first month's rent when you apply before October 27, 2017 and move in by December 27, 2017! Restrictions apply. Call for details."
[The Point At Elkridge](https://www.apartments.com/the-point-at-elkridge-elkridge-md/9mqhhd4/),888-572-2280,"[7100 Ducketts Ln, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7100+Ducketts+Ln,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",643 Sq Ft,"$1,220 - 1,985","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $300
* Application Fee: $40
* Cat Fee: $300 - 800
* Dog Fee: $300 - 800","Dogs and Cats Allowed:
We welcome 2 pets in your apartment home. There is a fee of $300 per cat or $400 per dog. Rent is $30 monthly for one cat and/or $40 monthly for one dog. Please call our leasing office for complete pet policy and breed restrictions. 
* $40 Monthly Pet Rent
* $300 - 800 Fee
* 2 Pet Limit",50,50,"Surface Lot
Surface parking available. Please call our leasing office for more parking information.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Playground
* Basketball Court
* Tennis Court",,,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready","* Carpet
* Walk-In Closets
* Window Coverings",Variable,"* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Maintenance on site","* Built in 1989
* 312 Units/3 Stories","* Business Center
* Clubhouse
* Breakfast/Coffee Concierge",,,"Our apartment home community is designed to fulfill your every need. With amenities ranging from a refreshing pool with a fountain to our 24-hour fitness center and tennis court. Each of our one- two- and three-bedroom luxury apartments are customized to preserve privacy, offer breath-taking views, and provide a subtle sophistication with our spectacular features. Our recently renovated apartment homes have completely updated kitchens and bathrooms with a selection of finishes, energy star Whirlpool stainless steel appliances, wood-grain floors, molded square sinks and modern finishes."
[Belmont Station Apartments](https://www.apartments.com/belmont-station-apartments-elkridge-md/fm0z8mv/),844-258-0268,"[6900 Tasker Fls, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6900+Tasker+Fls,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",766 Sq Ft,"$1,495 - 2,547","* Cat Rent: $40
* Dog Rent: $40
* Gas: Included","* Admin Fee: $200
* Application Fee: $25
* Cat Fee: $300
* Cat Deposit: $300
* Dog Fee: $300
* Dog Deposit: $300","Dogs Allowed:
Breed restrictions apply 
* $300 Deposit
* $40 Monthly Pet Rent
* $300 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Playground
* Walking/Biking Trails
* Gameroom","* Dishwasher
* Disposal
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator
* Breakfast Nook",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Carpet
* Dining Room
* Family Room
* Office
* Den
* Attic
* Sunroom
* Vaulted Ceiling
* Walk-In Closets
* Linen Closet
* Loft Layout","3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months","* Laundry Facilities
* Controlled Access
* Property Manager on Site
* Renters Insurance Program
* Online Services
* Pet Play Area","* Built in 2008
* 208 Units/3 Stories","* Business Center
* Breakfast/Coffee Concierge
* Conference Room","* Cabana
* Grill
* Picnic Area",,"Set in renowned Howard County in Maryland, the delightful community of Belmont Station offers the lifestyle youve always dreamed of. With light-filled apartments and townhomes surrounded by parks, lakes and woodland, this is the perfect setting for your new home. In addition, Belmont Station is just moments from premier shopping, dining and major roadways as well as nationally ranked schools for all grade levels. Come see the best Elkridge has to offer - check out Belmont Station today!"
[Verde at Howard Square](https://www.apartments.com/verde-at-howard-square-elkridge-md/5yjrpqp/),443-219-2856,"[7500 Hearthside Way, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7500+Hearthside+Way,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",688 - 842 Sq Ft,"$1,345 - 2,210","* Cat Rent: $45
* Dog Rent: $45
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $150
* Cat Deposit: $150
* Dog Fee: $150
* Dog Deposit: $150","Dogs Allowed:
We accept dogs and cats. Please call for details. 
* $150 Deposit
* $45 Monthly Pet Rent
* $150 Fee
* 2 Pet Limit",50,50,,"* Fitness Center
* Pool",* Range,,"* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready",* Walk-In Closets,12 months,* 24 Hour Availability,"* Built in 2013
* 300 Units/4 Stories","* Business Center
* Clubhouse",* Balcony,,"As Howard County's first LEED (Leadership in Energy and Environmental Design) Platinum Certified apartment community, Verde invites residents to experience green living and a luxurious, amenity-rich lifestyle. Verde is a smoke-free green community, offering beautiful courtyards, acres of parkland, green space and a picturesque neighborhood park providing ample opportunity to enjoy the outdoors. The lavish amenities include a clubhouse with catering kitchen and billiards, pool, fitness, business center and much more. The apartments showcase the same attention to detail, including features such as 9-foot ceilings, Energy Star appliances and a variety of bright, open floor plans. A prime Howard County location provides easy access to the entertainment, culture and employment of Washington, D.C., Baltimore and Columbia. Experience the pinnacle of gracious - and green - living at Verde."
[Sherwood Crossing](https://www.apartments.com/sherwood-crossing-elkridge-md/k44j1wb/),844-365-4053,"[6731 Old Waterloo Rd, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6731+Old+Waterloo+Rd,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",794 Sq Ft,"$1,325 - 3,330","* Assigned Surface Lot Parking: $40
* Unassigned Covered Parking: $40
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
Bozzuto standard restricted breeds. 
* $300 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot: $40
951 spaces; Assigned Parking. Community offers open lot parking at no additional expense. Assigned carport parking is $40/month.","* Fitness Center
* Pool
* Playground
* Tennis Court
* Volleyball Court",,"* Large Closets
* Quartz Counter Tops",* High Speed Internet Access,,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Bilingual
* 24 Hour Availability
* Recycling
* Car Wash Area","* Built in 1987
* 634 Units/2 Stories","* Business Center
* Clubhouse
* Conference Room",* Sundeck,,"Come to where cool breezes blow through mature trees, where every space seems a little bigger (mostly because they are) and the city is close, but not too close. This place is Sherwood Crossing, an apartment community that gives you more than just a home, it gives you a place to really live."
[RiverWatch Apartments](https://www.apartments.com/riverwatch-apartments-elkridge-md/w1fbzsh/),443-274-3203,"[5670-A Furnace Ave, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5670-A+Furnace+Ave,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",,"$2,100 - 2,750","* Cat Rent: $35
* Dog Rent: $35
* Water, Trash Removal, Sewer: Included","* Application Fee: $25
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed
A maximum of two dogs, cats or birds in any combination are permitted in each townhouse with a maximum weight of 100 lbs. total for one full grown pet or two full grown pets combined. For dogs and cats, a non- refundable pet fee of $350 (for pets ... 
* $35 Monthly Pet Rent
* $350 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,Surface Lot,"* Playground
* Walking/Biking Trails",* Granite Countertops,"* Colonial Trim Throughout
* Dishwasher
* Disposal
* Gazebo and Patio Overlooking River
* Granite Countertops
* Great Location
* Integral Garage in Select Units
* Pocket Parks
* Refrigerator
* Smoke-free Community
* Tile Flooring in Foyer and Bathrooms
* Tiled Foyer and Bathroom Floors
* Trails Leading to the Patapsco River
* Washer/Dryer
* Wheelchair Access
* Window Coverings","* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Cable Ready
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Views
* Walk-In Closets",None,"* Maintenance on site
* Property Manager on Site","* Built in 2016
* 93 Units",,* Waterfront,,"LUXURY TOWNHOME RENTALS WITH ATTACHED GARAGES AVAILABLE NOW! 1 Month Free Rent on Select Townhomes- Call today! RiverWatch Apartment homes feature granite kitchen countertops, energy efficient appliances, tiled flooring and an in-unit washer and dryer. Most homes include an internal garage parking space within the unit. Large pets are also welcome!RiverWatch also features many unique amenities including onsite trails with access to the riverfront, a playground and gazebo and patio overlooking the Patapsco River. With the St. Denis MARC station just under two miles away and several major highways nearby, residents enjoy easy access throughout the Baltimore/Washington metro area. Call today!"
[Penniman Park](https://www.apartments.com/penniman-park-elkridge-md/vt97xrg/),410-514-5003,"[6211 Greenfield Rd, Elkridge, MD 21075](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6211+Greenfield+Rd,+Elkridge,+MD+21075/data=!4m2!4m1!3e2)",,"$1,540 - 2,639","* Storage Fee: $35
* Unassigned Garage Parking: $125
* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $150
* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
No Aggressive Breeds Pet Policy: 2 pets max per apt. Fees: $300 non-refundable pet fee, $35 per month 
* $45 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,Covered and Other,"* Fitness Center
* Pool","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* 24-Hour Emergency Maintenance
* Abundant Closet Space
* Abundant Closet Space In Every Room
* Ample Parking
* Ample Parking With Walk-In
* Balcony
* Beautiful Two Bedroom Apartment Homes
* Beautifully Landscaped
* Brand New Fitness Center And Dvd Workout
* Breakfast Bar
* Cable TV and/or Internet Available
* Ceiling Fans *
* Ceiling Fans*
* Close to Hospital
* Close to Major Interstates
* Close to Metro Rail
* Close to Restaurants
* Close to Shopping
* Controlled Access Entry
* Controlled Access Entry With Elevators
* Convenient Payment Options
* Dishwasher
* Dog spa on-site
* Easy Access to Public Transportation
* Energy Efficient Appliances
* Fios Or Xfinity Cable Tv Service
* French Door Pantry
* Full size washer & dryer
* Full-Size Washer And Dryer
* Garbage Disposal
* Individually Controlled A/C and Heat
* Lofts Available *
* Microwave
* Modern Bath
* Modern Bathroom
* Outdoor Grilling Areas
* Pantry
* Pet Spa
* Plush Carpeted Bedrooms And Living Room
* Private Garages
* Professional Management Team
* Quiet, Rural Setting
* Resident Events and Activities
* Separate Dining Area
* Spacious Kitchen
* Spacious Kitchen With Breakfast Bar
* Spacious Private Balcony
* Storage Available
* Swimming Pool
* Tiled Kitchen And Bathrooms
* True Lofts Overlooking Living Room Area*
* Walk-In Closets
* Wall-To-Wall Carpeting
* Washer & Dryer in Every Apartment Home
* Wi-Fi Available
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Vaulted Ceiling
* Walk-In Closets
* Loft Layout
* Window Coverings","6, 7, 8, 9, 10, 11, 12, 13","* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Pet Washing Station","* Built in 2009
* 187 Units/5 Stories","* Elevator
* Clubhouse
* Storage Space","* Gated
* Grill",,"Savings up to $1,000!Must move in by the end of November to qualify.*Savings based on apartment availability, and on select homes.CALL for details!"
