Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Oella Mill](https://www.apartments.com/oella-mill-ellicott-city-md/73bn6jz/),844-718-7819,"[840 Oella Ave, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/840+Oella+Ave,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)","700 - 1,045 Sq Ft","$1,680 - 2,850","* Cat Rent: $35
* Dog Rent: $55
* Water, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $25,"Dogs Allowed
Dogs 
* $55 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Fitness Center,,"* 2-Level Business Center/Library with Wi-Fi
* Apartments with Lofts Available
* Billiards Room
* Concrete floors
* Designer Kitchens with Stainless Steel Appliances
* Durable Countertops
* Exposed Brick Walls
* Hiking and Bike Trails Nearby
* Large Factory Style Windows
* Observation Deck with A View Of Patapsco Rapids
* Picnic Area and Party Room
* River and Wooded Hillside Views
* Spacious Lounge
* Utilities Included
* Walking Distance To Historic Ellicott City
* Washer/Dryer In Each Apartment",* High Speed Internet Access,,12,"* Maintenance on site
* Concierge
* Laundry Service","* Built in 1918
* Renovated in Jan 2007
* 147 Units/4 Stories",,,,"This beautiful 1918 building was once the largest textile mill in the country. This historic structure has been carefully preserved and restored with all the latest features, amenities, materials and finishes that define a modern luxury apartment community. Please visit www.OellaMill.com for additional information and all floor plans."
[The Elms at Montjoy](https://www.apartments.com/the-elms-at-montjoy-ellicott-city-md/36m4zfe/),877-421-2691,"[4900 Walking Stick Rd, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4900+Walking+Stick+Rd,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",830 Sq Ft,"$1,550 - 2,295","* Assigned Garage Parking: $170
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $200
* Cat Deposit: $200
* Dog Fee: $200
* Dog Deposit: $200","Dogs Allowed:
We welcome 2 pets maximum per apartment, not to exceed 50 lbs. total weight of one dog. Some breeds are prohibited and all pets are subject to the approval of management. Specifics regarding your pet's breed, weight, proof of rabies documentation from your veterinarian and a photo of your pet will be required prior to move-in. A pet deposit of $400 is due upon move-in. A monthly pet rent of $50 per pet will be due at the beginning of each month. A $200 non-refundable Pet Fee is due upon move-in. There is a weight limit of 50 pounds per pet. Breed restrictions do apply. Photo & Veterinarian Certification is required at move-in. 
* $200 Deposit
* $50 Monthly Pet Rent
* $200 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Fitness Center,,"* Close Proximity to Route 100, I-95 & Route 29
* Community Outreach Events
* Free Fitness Classes
* Only Minutes to Shopping, Dining & ...
* Only Minutes to Shopping, Dining & Entertainment at Columbia Mall
* SatisFacts Resident Satisfaction Award Winner ...
* SatisFacts Resident Satisfaction Award Winner 2007-2013
* Stay Connected Poolside with Wi-Fi",* High Speed Internet Access,,None,"* Maintenance on site
* Pet Care","* Built in 2005
* 286 Units/3 Stories",,,,"Enjoy the benefits of living in Howard County, one of America's Best Places to Live. The Elms at Montjoy offers spacious apartment living, award winning service professionals and a location that delivers. This convenient address offers easy access to the workday commute, top rated schools, exceptional shopping, dining, entertainment and much more. Residents can make the most of every moment at home or on the go. The Elms is committed to delivering an exceptional customer experience and continually works to build a sense of community that truly feels like home."
[Ashton Woods](https://www.apartments.com/ashton-woods-ellicott-city-md/w38188j/),866-592-2915,"[8401 Oakton Ln, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8401+Oakton+Ln,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",826 Sq Ft,"$1,395 - 2,590","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
$300 Pet Fee and $50 Pet Rent/Month Per Pet 
* $50 Monthly Pet Rent
* $300 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Weight Machines
* Pool
* Tennis Court","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Car Care Center
* Gorgeous Wooded Views on all Floorplans","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Fireplace","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Bay Window
* Views
* Linen Closet","3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months, 16 months, 18 months","* Package Service
* Property Manager on Site
* Recycling
* Planned Social Activities
* Car Wash Area","* Built in 1990
* 204 Units/4 Stories",* Business Center,"* Courtyard
* Grill",,"Truly resort-like, we are located in a secluded 30 acres setting with wooded views from all patios and balconies of our apartment homes."
[Howard Crossing Apartment Homes](https://www.apartments.com/howard-crossing-apartment-homes-ellicott-city-md/6x6fxmr/),844-211-6358,"[8732 Town and Country Blvd, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8732+Town+and+Country+Blvd,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",630 Sq Ft,"$1,100 - 2,295","* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $25
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Cats and dogs are welcome. Maximum two pets per apartment. No weight limit. Monthly fee: $35 per pet. Refundable Deposit: $250 (first pet only). Breed restrictions and other limitations apply. 
* $40 Monthly Pet Rent
* $300 Fee
* 200 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court","* Dishwasher
* Microwave
* Range",,"* Washer/Dryer
* Air Conditioning
* Heating",* Walk-In Closets,"2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months",,"* Built in 1968
* Renovated in Jan 2005
* 1366 Units/3 Stories",* Clubhouse,* Balcony,,"Enjoy living in Howard County, home to one of our country's top school districts, when you make Howard Crossing in Ellicott City, MD your address. Our one- and two-bedroom apartments for rent have fully equipped kitchens, ceramic-tile baths, air conditioning, and a balcony or patio. Some new or renovated apartments offer eat-in kitchens, a washer and dryer, plus a separate den or office. Unparalleled amenities include a resort-style pool with fountain, playground, and clubhouse with free Wi-Fi. You'll also love living in a wooded area with rolling hills and gorgeous landscaping. * With Howard Crossing's ideal location, commuting to Washington, DC and Baltimore is convenient and easy. Simply take I-70, I-695, U.S. Route 29, or the nearby bus at Town and Country Blvd. at West Springs Drive. You'll also love being a little over three miles from Safeway! On-site parking is provided. Housing choice vouchers, as well as cats and dogs, are accepted."
[Ellicott Grove](https://www.apartments.com/ellicott-grove-ellicott-city-md/pn7e5lv/),888-341-5996,"[3005 Oak Green Cir, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3005+Oak+Green+Cir,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",800 Sq Ft,"$1,240 - 2,400","* Unassigned Surface Lot Parking: $8
* Assigned Other Parking: $28
* Cat Rent: $45
* Dog Rent: $45
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
Acceptable animals include domestic cats, fish (maximum tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals are prohibited. NO ANIMAL IS AUTHORIZED WITHOUT MANAGEMENT’S PRIOR WRITTEN PERMISSION AND THE EXECUTION OF AN ANIMAL ADDENDUM. Weight Limit 120lbs Combined 
* $250 Deposit
* $45 Monthly Pet Rent
* 120 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $8
Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV
* Storage Units
* Tub/Shower
* Framed Mirrors
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Dining Room
* Family Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",None,"* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities","* Built in 1972
* Renovated in Jun 2008
* 300 Units/3 Stories","* Clubhouse
* Storage Space
* Coffee Bar
* Corporate Suites","* Grill
* Picnic Area",,"Ellicott Grove apartments feature remarkable amenities and stylish apartments in Ellicott City. Enjoy spacious floor plans, exceptional closet space, private patios/balconies, washer/dryer sets, and track lighting. Select Ellicott City apartment homes feature upgraded kitchens and deluxe baths. In addition to the thoughtful apartment finishes, residents enjoy our convenient on-site amenities. Take advantage of our expansive fitness center, Olympic-sized pool, clubhouse, and playground. Ellicott Grove provides a desirable location near great shopping, dining, and excellent Howard County schools. Just minutes from the Baltimore National Pike Highway and Patapsco State Park, our Ellicott City apartment community offers residents convenient access to both work and play. Visit us today for a personalized tour and enjoy better apartment living at Ellicott Grove near the best of Maryland."
[Townes at Pine Orchard](https://www.apartments.com/townes-at-pine-orchard-ellicott-city-md/essv7nn/),410-698-4094,"[3252 Pine Orchard Ln, Ellicott City, MD 21042](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3252+Pine+Orchard+Ln,+Ellicott+City,+MD+21042/data=!4m2!4m1!3e2)",,"$2,349 - 2,995",* Trash Removal: Included,"* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed
* $250 Deposit
* 2 Pet Limit",50,50,Surface Lot and Garage,,"* Kitchen
* Range
* Refrigerator","* Brand new, three-level, light-filled homes
* Breakfast bar
* Dark, wide-plank wood flooring
* Designer chrome fixtures
* Double-vanity in master bath
* Enjoy the charm of Downtown Ellicott City
* Full-sized washer & dryer in each home
* Garage with each home
* Granite countertops in kitchen and bath
* Individually controlled HVAC
* Large closets giving you tons of storage
* Large decks for outdoor living
* Off Street Parking
* Pantry for extra storage
* Pet Friendly
* Plush carpet in living area and bedrooms
* Smoke-Free Community
* Smoke-Free Residences
* Solid wood shaker-style cabinetry
* Spacious Driveways
* Spacious island for entertaining
* Stainless steel appliances including gas range","* High Speed Internet Access
* Heating
* Tub/Shower",,None,* Maintenance on site,"* Built in 2017
* 73 Units",,,,"At the Townes at Pine Orchard, your life begins now. Our townhome apartments give you all of the modern luxuries you want, but with all of the space that you need. The space to relax. The space to entertain. The space to live life to the fullest, inside and out. Our three-story townhomes offer open, light-filled floor plans with designer kitchens featuring wide-plank wood flooring, shaker-style cabinetry, stainless steel appliances and solid, granite countertops. Prepare to be impressed upon your visit to our brand-new, family-friendly community. Stylish apartment features and remarkable amenities await you at Townes at Pine Orchard. Go take a look at our photo gallery and schedule your appointment, or drop by and visit us for your personal tour."
[Orchard Park*](https://www.apartments.com/orchard-park-ellicott-city-md/v8qhcyg/),844-578-7593,"[3113 Pine Orchard Ln, Ellicott City, MD 21042](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3113+Pine+Orchard+Ln,+Ellicott+City,+MD+21042/data=!4m2!4m1!3e2)",795 Sq Ft,"$1,468 - 2,636","* Storage Fee: $35
* Unassigned Covered Parking: $25
* Cat Rent: $35
* Dog Rent: $35","* Admin Fee: $150
* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
No Aggressive Breeds Pet Friendly - 2 Max. Pet Fee: $300 for 1, $500 for 2 . Pet Rent: $40 for 1 pet- $60 for 2 pets per month. Max Weight: no weight restrictions. Breed Restrictions: No Pit Bulls or other Bull Breeds. contact office for more. 
* $35 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Fitness Programs
* Health Club Facility
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* 24 Hour Emergency Maintenance Service
* 24-Hour Emergency Maintenance
* Abundant Closet Space
* Accent Wall Program
* Air Conditioner
* Ample Closet Space
* Ample Parking
* Award-Winning Howard County School Zones
* Beautifully-Landscaped Grounds
* Bike Racks
* Brand New Clubhouse
* Burleigh Manor Middle School
* Cable TV and/or Internet Available
* Café Bar With Free Wifi Access In Our Clubhouse
* Car Care Center
* Car Wash Station
* Carport
* Close to Award-Winning Howard County Schools
* Close to Boutique Shops and Area Malls
* Controlled Accessed Entries*
* Convenient On-Site Storage Available
* Convenient Payment Options
* Covered Parking
* Cozy Fireplaces*
* Cyber Lounge
* Dishwasher
* Dog Park And Tot Lot
* Dog Park And Tot Lot Coming This Spring!
* Energy Efficient Appliances
* Extra Storage
* Fine Dining & Trendy Restaurants Nearby
* Free Weights
* Fun-Filled Residents Events and Activities
* Furry Friends Welcomed (Breed Restrictions Apply)
* Ge Energy Efficient Appliances
* Ge Front Loading Washer And Dryers*
* Gorgeous Dens Available*
* Granite Countertops*
* Grilling And Picnic Areas
* High Speed Internet
* Individually Controlled A/C and Heat
* Manor Woods Elementary School
* Marriots Ridge High School
* Modern Fully-Equipped Kitchen with Breakfast Bar
* Monthly Resident Appreciation Events
* Multi-Level Townhouses
* Off Street Parking
* Open Floorplans, Some Complete With Den Options
* Oversized Walk-In Closets*
* Package Concierge Service
* Package Receiving
* Plush Carpeting
* Private Balcony or Patio w/ Sliding Glass Doors
* Private Health and Fitness Center
* Professional Management Team
* Recycling
* Relaxing Swimming Pool w/ Lounge Chairs
* Short Term Lease
* Smoke Free in select buildings*
* Smoke Free*
* Soft Close Drawers*
* Spacious, Open Floor Plans
* Sparkling Pool Complete With Loungers
* Stand Up Tanning Booth
* Stylish Window Coverings
* Tranquil, Wooded Residential Setting
* Vaulted Ceilings*
* Vip Resident Perks Program With Local Businesses
* Walk-In Closets in Bedrooms
* Washer & Dryer in Every Apartment Home
* Wi-Fi Available
* Wood Burning Fireplaces*
* Wood Flooring In Kitchen And Living/Dining Room*
* Wood-Plank Flooring","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Den
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings
* Accent Walls",None,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Courtesy Patrol
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* House Sitter Services
* Online Services
* Energy Star Certified
* Planned Social Activities
* Health Club Discount
* Pet Play Area
* Car Wash Area","* Built in 2014
* 272 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Coffee Bar","* Gated
* Sundeck
* Grill
* Picnic Area",,"WOW SAVINGS! $500.00 off upfront on vacant 1-bedroom apartment homes. $1000.00 off upfront on vacant 2 or 3 bedrooms if moved in on or before August 31, 2017. HURRY IN WHILE RATES ARE THIS COMPETITIVE ON TOP OF THIS DEAL!"
[Chatham Gardens](https://www.apartments.com/chatham-gardens-ellicott-city-md/5996x6m/),844-212-7127,"[3332 N Chatham Rd, Ellicott City, MD 21042](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3332+N+Chatham+Rd,+Ellicott+City,+MD+21042/data=!4m2!4m1!3e2)","830 - 1,084 Sq Ft","$1,110 - 1,735","* Water, Trash Removal, Sewer: Included",* Application Fee: $40,No Pets Allowed,50,50,"Surface Lot
2 spaces. First Come First Served.","* Pool
* Playground
* Sport Court
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Storage Units
* Tub/Shower
* Handrails
* Intercom
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Family Room
* Office
* Den
* Views
* Walk-In Closets
* Linen Closet
* Furnished
* Double Pane Windows
* Window Coverings
* Accent Walls",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Furnished Units Available
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities","* Built in 1977
* 410 Units/3 Stories
* Furnished","* Storage Space
* Coffee Bar
* Corporate Suites","* Courtyard
* Grill
* Picnic Area",,"At Century Corporation we are proud of our outstanding customer service rating for over 40 years. Our residents have consistently given us high marks on the quality of service we provide day in and day out. Our team stands ready each and every day to make your stay a positive and pleasant experience. By choosing a Century apartment community, you get the added benefit of knowing that we value what you value: living happy. Imagine...a morning stroll through the tree-laced courtyards located in the heart of Ellicott City. Chatham Gardens Apartments has the kind of make-yourself-at-home feeling that convinces you that you would be comfortable here. Here you will find exceptionally designed apartment homes that offer spacious floor plans with extra storage features in every apartment home, and all at an affordable price. Chatham Gardens is just minutes to the Baltimore/Washington International Thurgood Marshall Airport, I-695 and I-70, shopping, dining and entertainment venues are just a short drive away."
[Burgess Mill Station](https://www.apartments.com/burgess-mill-station-ellicott-city-md/fwdvj0t/),844-861-6358,"[3050 Milltowne Dr, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3050+Milltowne+Dr,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",,"$1,610 - 2,585","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $22
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
breed 
* $35 Monthly Pet Rent
* $250 Fee
* 1 Pet Limit",50,50,"Covered
147 spaces. Underground Garage - free for residents!",* Playground,"* Dishwasher
* Disposal
* Granite Countertops
* Pantry
* Kitchen
* Microwave
* Oven
* Refrigerator
* Freezer
* Instant Hot Water",* Community Center next door,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Tile Floors
* Family Room
* Vaulted Ceiling
* Walk-In Closets
* Linen Closet
* Window Coverings",1 year,"* Maintenance on site
* Property Manager on Site
* Bilingual
* 24 Hour Availability
* Recycling
* Online Services","* Built in 2012
* 198 Units/3 Stories",,"* Balcony
* Patio
* Porch",,"Burgess Mill Station, where great living and shopping are only minutes apart. Located within walking distance of historic Ellicott City, Maryland main street, this quaint community features a large selection of antique and specialty shops, restaurants and cafés. Burgess Mill Station is a luxury community where old-world charm meets today’s modern lifestyle. Built on 18 acres, the 198 apartment home community features incredible amenities, both inside and out. Burgess Mill Station is right next door to Howard County’s new Roger Carter Community Center. This fantastic new facility features state-of-the-art amenities including an indoor swimming pool, splash zone, basketball court, fitness center and climbing wall."
[Charleston Place](https://www.apartments.com/charleston-place-ellicott-city-md/v1vhw9e/),443-364-9508,"[3182 Normandy Woods Dr, Ellicott City, MD 21043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3182+Normandy+Woods+Dr,+Ellicott+City,+MD+21043/data=!4m2!4m1!3e2)",675 Sq Ft,"$1,140 - 2,180","* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Breed restrictions and other limitations apply. No weight limit. 
* $300 Deposit
* $40 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court","* Dishwasher
* Range
* Refrigerator","* Business Center
* Housing Choice Vouchers welcome
* In-home Washer & Dryer
* Minutes from Patapsco State Park
* Tennis courts
* Top-ranked Howard County Schools","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower",* Walk-In Closets,"2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months","* Package Service
* Property Manager on Site
* Furnished Units Available
* Car Wash Area","* Built in 1971
* Renovated in Jan 1983
* 859 Units/3 Stories
* Furnished","* Business Center
* Clubhouse","* Balcony
* Patio",,"Make your new home Charleston Place in Ellicott City, MD a city ranked sixth, along with nearby Columbia, MA, among MONEY Magazine's 2014 Best Places to Live in America. Offering one- and two-bedroom apartments for rent, Charleston Place provides access to Howard County Public Schools, some of the best in the country. You'll enjoy newly renovated kitchens with rich maple cabinetry and brushed silver appliances, ceramic-tile baths, air conditioning, and a balcony or patio. Select apartments have a separate dining room, and a den or office. Additional amenities include a swimming pool, tennis courts, fitness and business centers, car care area, and more! * Just 20 minutes from the Baltimore/Washington International Airport, Charleston Place is near I-695, I-95, I-70, U.S. Route 29, U.S. Route 40, and Route 100. Our pet-friendly complex is located near H-Mart Supermarket and Baltimore. Enjoy off-street parking. Housing vouchers welcome."
