Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
"[Overture Fair Ridge, 62+ Active Adult Rentals](https://www.apartments.com/overture-fair-ridge-62-active-adult-rentals-fairfax-va/wwrky2j/)",844-260-8685,"[3975 Fair Ridge Dr, Fairfax, VA 22033](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3975+Fair+Ridge+Dr,+Fairfax,+VA+22033/data=!4m2!4m1!3e2)",663 Sq Ft,"$1,995 - 4,100","* Unassigned Garage Parking: $50 - 75
* Unassigned Other Parking: $100","* Admin Fee: $150
* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
We welcome up to 2 pets per household. We accept dogs and cats. Weight limit is 50 lbs. There is a $300 (Non-refundable) pet fee. Please call our leasing office for more details. 
* $300 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $50 - 75
1 space. Reserved parking available. There is a $100 parking fee. Please call our leasing office for more details.","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Spa
* Pool
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* 62+ Community
* Active Adult Living
* BBQ Grill
* Concierge
* Cyber Cafe
* Internet
* Market Cafe
* On-Site Salon
* Swimming Pool
* Theater","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Views
* Walk-In Closets",12 months,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Concierge
* Trash Pickup - Door to Door
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Planned Social Activities
* Guest Apartment
* Pet Care","* Built in 2017
* 170 Units/4 Stories","* Elevator
* Clubhouse
* Lounge
* Storage Space
* Coffee Bar
* Conference Room","* Courtyard
* Grill",,"Now Pre-Leasing for August move ins! Attain the lifestyle you've always dreamed of at our state-of-the-art 62+ active adult apartment community in Fairfax. Boasting thoughtfully designed floor plans, upscale apartment features and impressive community amenities, Overture Fair Ridge is the ideal place to elevate your standard of living. Please visit our leasing showroom, opening March 1 at 3975 Fair Ridge Drive, or call us today to learn more."
[Windsor At Fair Lakes](https://www.apartments.com/windsor-at-fair-lakes-fairfax-va/h56vfl3/),703-988-2280,"[4106 Brickell Dr, Fairfax, VA 22033](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4106+Brickell+Dr,+Fairfax,+VA+22033/data=!4m2!4m1!3e2)",749 Sq Ft,"$1,412 - 2,964","* Cat Rent: $400
* Dog Rent: $400","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $400
* Cat Deposit: $50
* Dog Fee: $400
* Dog Deposit: $50","Dogs Allowed:
We welcome 2 pets (dogs or cats) per apartment home. There is a $400 non-refundable pet fee for the first pet and $200 for the second pet. Pet rent is $50 per month. Ten aggressive breeds are prohibited. Up to two pets per household. Breed restriction for dogs. $400 pet fee for first pet. $200 pet fee for second pet. $50 pet rent per month for each pet. *Please call for breed inquiries* 
* $50 Deposit
* $400 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Basketball Court","* Disposal
* Microwave
* Range
* Refrigerator","* Barbecue Grill
* Bicycle Trails
* Close Proximity to Great Services at Fairfax ...
* Dog Park
* Pet Friendly Community
* Picnic Area
* Private Shuttle to Vienna Metro (Orange Line)
* Private Shuttle to Vienna Metro (Orange)
* Renters Insurance Program
* Swimming Pool
* Walking Trails","* High Speed Internet Access
* Washer/Dryer
* Heating
* Storage Units
* Fireplace",,None,,"* Built in 1988
* 250 Units/4 Stories",* Clubhouse,"* Balcony
* Patio",,"The Windsor at Fair Lakes is a premier apartment community that is located in the heart of Fairfax, Virginia. Our community offers residents a plethora of luxury amenities along with a great selection of one, two and three bedroom apartment homes. These spacious Fairfax, VA apartments come with upscale features and finishes that include energy-efficient premium GE appliance packages, custom cabinetry, washer and dryer units, fireplaces, private patios and spacious closets. Amongst our well-landscaped grounds, residents are treated to outdoor BBQ grills, walking trails, extra storage spaces and basketball court. We also have a sparkling swimming pool, community clubhouse and fully-equipped fitness center. The Windsor at Fair Lakes is centrally located near a number of great shopping and dining establishments within the city. In terms of shopping, we are located just a two-minute drive from Fair Lakes Center, which contains a Whole Foods and Fair Oaks Shopping Center. We are also ..."
[Ellipse at Fairfax Corner](https://www.apartments.com/ellipse-at-fairfax-corner-fairfax-va/2v8fw7b/),877-568-0945,"[11842 Federalist Way, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11842+Federalist+Way,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",731 Sq Ft,"$1,574 - 2,626","* Assigned Covered Parking: $50
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
We welcome 2 pets (dogs or cats) per apartment home. There is a $400 non-refundable pet fee for the first pet and $200 for the second pet. Pet rent is $50 per month. Ten aggressive breeds are prohibited. Restricted Breeds: Pit Bull, Staffordshire Terrier, Rottweiler, Doberman Pinscher, Chow, Spitz, Akita, and any other combination of the above. 
* $50 Monthly Pet Rent
* $350 Fee
* 150 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Spa
* Pool
* Playground
* Tennis Court","* Disposal
* Granite Countertops
* Kitchen
* Refrigerator","* Barbecue Grill
* Car Wash Area
* Close to Vienna Metro (Orange Line)
* Covered Parking Available
* Media Lounge with Fireplace
* Pet Friendly Community
* Picnic Area
* Swimming Pool
* Walking Trail","* High Speed Internet Access
* Washer/Dryer
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Walk-In Closets",Variable,* 24 Hour Availability,"* Built in 1989
* 403 Units/4 Stories","* Business Center
* Clubhouse","* Balcony
* Barbecue Area",,"Discover apartment living that offers the ideal combination of comfort, convenience and luxury at Ellipse at Fairfax Corner. Our apartments in Fairfax, Virginia feature beautifully renovated interiors and access to resort-style amenities that make apartment living a true pleasure. Enjoy the finer things in life in a location that promises the best Fairfax has to offer. We have eight unique floor plans from which you can choose ranging from 700 to more than 1,100 square feet. No matter which layout you choose, you can look forward to enjoying a private patio or balcony, a cozy fireplace and a gourmet kitchen with updated cabinetry and countertops. You can start your day off right wi"
[The Elms at Oakton](https://www.apartments.com/the-elms-at-oakton-fairfax-va/l9vg78d/),888-334-8229,"[3223 Arrowhead Cir, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3223+Arrowhead+Cir,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",788 Sq Ft,"$1,759 - 2,176","* Cat Rent: $45
* Dog Rent: $45","* Application Fee: $65
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome a 2 pet maximum per apartment, not to exceed 100 lbs total weight of one dog. Some breed restrictions are prohibited & all pets are subject to the approval of management. Pet fees are non-refundable and monthly pet rent amounts are per pet. Specifics regarding pets breed, weight, proof of rabies documentation from your vet & a photo of your pet will be required prior to move-in. 
* $45 Monthly Pet Rent
* $500 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* 24hr. Emergency maintenance
* BBQ/Picnic Area
* Car Care Center
* Community Outreach Events
* Dog Park
* Electricity (Resident pays)
* Free Weekly Fitness Classes
* Major Employer Discounts
* Outstanding access
* Picnic Area
* Playground Area
* Swimming Pool with Sundeck
* Tennis Courts
* Volleyball Court
* Walk to bus line
* Washer/Dryer in Unit
* Water/Sewer - Resident Pays
* Wired for high-speed internet",* High Speed Internet Access,,Variable,"* Maintenance on site
* Pet Care","* Built in 1987
* 313 Units/3 Stories",* Clubhouse,,,"At The Elms, you'll find the space and location you desire and the comfort you deserve in a beautifully landscapped setting. The Elms at Oakton is located across the street from the Oak Marr Recreation Center. Oak Marr Rec Center offers an Olympic-sized indoor pool, health and fitness classes and a driving range with par 3 golf courses. The Elms at Oakton is conveniently located near Tysons Corner, Fair Oaks Mall, I-66 and the Capital Beltway. If metro access is a must have, you'll enjoy knowing that the Vienna Metro Station (Orange Line) is just 2 miles from our community & the Metro Bus will pick you up & drop you off at the community. In every way, you'll find the complete lifestyle you deserve and the balance you've been looking for. An Award winning team of professionals consistently delivers a warm and genuine approach to caring for our residents. The Elms team is not just committed to providing an exceptional customer experience, we work to build a sense of community."
[Shenandoah Crossing Apartment Homes](https://www.apartments.com/shenandoah-crossing-apartment-homes-fairfax-va/hk4n633/),855-471-8752,"[13300 Blueberry Ln, Fairfax, VA 22033](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13300+Blueberry+Ln,+Fairfax,+VA+22033/data=!4m2!4m1!3e2)",718 Sq Ft,"$1,457 - 4,543","* Assigned Surface Lot Parking: $20
* Assigned Covered Parking: $55
* Assigned Other Parking: $25
* Cat Rent: $30
* Dog Rent: $30","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Our pet-friendly apartments welcome most breeds of dogs. However, because certain dogs do not thrive in a community environment, we cannot accommodate the following breeds or mixes: Akita, American Staffordshire Terrier, Bull Terrier, Chow, Doberman, German Shepherd, Husky, Pit Bull, Presa Canario, Rottweiler and Wolf Hybrid. 
* $30 Monthly Pet Rent
* $300 Fee
* 300 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $20
1 space; Assigned Parking. Parking for residents is available on a first-come, first-served basis in our private parking lot.","* Fitness Center
* Pool
* Tennis Court","* Dishwasher
* Disposal
* Microwave
* Refrigerator","* Cat Friendly
* Dog Friendly
* Dog Park
* Guarantors Welcome
* On-site Recycling
* Phone: Cox Communications
* Phone: Verizon FiOS
* Self Service Carwash
* Smoke-Free
* TV: Cox Communications
* TV: Verizon FiOS
* Vehicle Vacuum Station
* Wi-Fi in Common Areas
* Breakfast Bar
* Corner Unit Available
* Cultured-marble Vanity
* GE Clean Steel Appliances
* Granite Countertops
* Maple Kitchen Cabinets
* Modern Kitchen
* Premium Bathroom
* USB Outlet
* Wood Plank Flooring","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Fireplace
* Wheelchair Accessible (Rooms)","* Views
* Walk-In Closets",We offer 7-18 month leases. Guarantors welcome.,,"* Built in 1984
* 640 Units/3 Stories",* Storage Space,* Patio,,"Shenandoah Crossing Apartment Homes in Fair Lakes, Virginia offers pet friendly living among 33 wooded acres. Select apartments feature fully equipped kitchens with stainless steel GE appliances and granite countertops. All homes feature a fireplace and a dry bar, generously sized rooms, walk in closets, a private patio or balcony, and a washer and dryer. Our smoke free community offers two large swimming pools, Energize fitness center, two tennis courts, a playground, on site recycling, a picnic area and a clubhouse. Our commuter friendly location offers easy access to Washington DC, Baltimore and Virginia. We are close to Routes 50, 28, 29, 66 and I 495. Guarantors welcome!"
[The Ridgewood by Windsor](https://www.apartments.com/the-ridgewood-by-windsor-fairfax-va/nf1denn/),877-855-6993,"[4211 Ridge Top Rd, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4211+Ridge+Top+Rd,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",719 Sq Ft,"$1,555 - 3,685","* Cat Rent: $35
* Dog Rent: $35","* Amenity Fee: $400
* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs and Cats Allowed:
Breed Restrictions Apply We want your pets to be as happy as you are in your new home! The Ridgewood by Windsor offer pet friendly apartments in Fairfax, VA. Cats and dogs (both small and large!) are welcome. There is a one time pet fee of $500 for dogs and a $50.00 per m... 
* $35 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,Covered and Garage,"* Fitness Center
* Pool",,"* Chef prep island with extended breakfast bar
* Double courtyards with lush landscaping
* Extended patios
* Furnished apartments available
* Monthly resident activities
* Now on the George Mason Go Bus Route
* Online Payments Available
* On-site retail
* Option for smoke free building
* Opulent track lighting in kitchen and dining area
* Outdoor entertainment kitchen with BBQ grills
* Package acceptance with email notification
* Pet friendly environment including large dogs
* Stylish Plantation blinds
* Washers and dryers",* High Speed Internet Access,,None,* Laundry Facilities,"* Built in 2010
* 483 Units/4 Stories","* Elevator
* Business Center",* Gated,,"You have good taste. You like space but crave convenience and can't seem to find the right combination. Welcome to The Ridgewood by Windsor, where no expense is spared to ensure luxury and comfort in every residence. The Ridgewood by Windsor offers a beautiful, convenient and stylish place to live. You owe it to yourself to check out our amazing amenities and stylish, designer homes.Washington, DC is just 20 minutes away with access to major highways and two Metro bus stops. You'll be able to enjoy plenty of green space and walk to shopping, restaurants and parks. The schools are top-notch, part of the Fairfax County School District, and the neighborhood is renowned for being friendly.The Ridgewood has a wide selection of spacious studio, one, two or three bedroom apartment homes, featuring a number of upscale finishes. Our pet-friendly Fairfax, VA luxury apartments have gourmet kitchens with beautiful granite countertops, wood cabinetry and stainless steel appliances. The expansive ni"
[Fairfax Square](https://www.apartments.com/fairfax-square-fairfax-va/cmmsycf/),866-329-0087,"[9860 Fairfax Sq, Fairfax, VA 22031](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9860+Fairfax+Sq,+Fairfax,+VA+22031/data=!4m2!4m1!3e2)",689 Sq Ft,"$1,502 - 4,759","* Cat Rent: $30
* Dog Rent: $30
* Water, Trash Removal, Sewer: Included","* Application Fee: $75
* Other: $450
* Cat Fee: $225
* Dog Fee: $225","Dogs and Cats Allowed:
No Weight Limit. No Pure Bred Pit Bulls, Pit Bull Mixes are permitted. Fairfax Square loves your pets! Each apartment may have up to (2) pets. Pet fees and pet rent may vary. Please speak to a leasing associate for more information. 
* $30 Monthly Pet Rent
* $225 Fee
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking. Parking Available","* Fitness Center
* Pool",,"* Cable Ready
* Ceiling Fan
* Club room with flat screen TV
* Corporate and short term leases available
* CUE Bus to Vienna Metro
* Dishwashers
* Disposals
* Extra Storage
* Fireplaces*
* Frost-Free Refrigerators
* Fully-Equipped Kitchens
* Furnished Options available
* Microwaves
* New Dog Park!
* Newly Renovated Homes
* Package Acceptance
* Picnic Areas with Grills
* Private Balconies and Terraces
* Renter Rewards Program
* Resident Activities
* Separate Dining Rooms
* Spacious Floorplans
* Tot wading pool and playground
* Vertical or Mini-Blinds on Every Window
* Wall-To-Wall Carpeting
* Washers and Dryers in Every Home
* Wet Bar",* High Speed Internet Access,,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",* Maintenance on site,"* Built in 1966
* 502 Units/3 Stories","* Business Center
* Clubhouse",,,"Fairfax Square is an award winning community that has it all - a terrific location close to many major highways, Vienna Metro, Old Town Fairfax and George Mason University. Take advantage of our amenities including a club house and swimming pool. We're pet friendly too! We offer a variety of apartment and townhome plans to suit any lifestyle or taste. Fairfax Square is the perfect place to PLAY. LIVE. STAY."
[Gainsborough Court Apartments*](https://www.apartments.com/gainsborough-court-apartments-fairfax-va/9pbgxv7/),866-753-3532,"[3700 Jermantown Rd, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3700+Jermantown+Rd,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,415 - 2,582","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Breed restrictions Please visit property website for details about our Animal Policy. 
* $50 Monthly Pet Rent
* $300 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Volleyball Court","* Kitchen
* Oven
* Refrigerator
* Freezer","* Air Conditioner
* Cable Ready
* Carpeting
* Close to Metro
* Dishwasher
* Disposal
* Dog Park
* Easy Access to Old Town Fairfax/GMU
* Electronic Thermostat
* Extra Storage Available
* Microwave
* Nearby Shopping & Entertainment
* Off Street Parking
* Package Receiving
* Picnic Areas with BBQ Grills
* Recycling
* Refrigerator
* Washer/Dryer
* Window Coverings","* High Speed Internet Access
* Storage Units",,None,* 24 Hour Availability,"* Built in 1967
* Renovated in Jan 1986
* 248 Units/3 Stories",* Business Center,"* Patio
* Barbecue Area",,"Love, laugh, and live great at Gainsborough Court, a Fairfax apartment community close to shopping, restaurants, schools and the park. Our sister communities, Copperfield Square and Churchill Mews are also conveniently located just down the street and are within walking distance. This Fairfax apartment community offers a variety of unique floor plans, including two-level apartments. Fairfax County Apartments provide access to one of the nation's top-rated school districts. At Gainsborough Court you will enjoy great amenities and a value that is unbeatable in Fairfax Virginia!"
[The Reserve at Fairfax Corner](https://www.apartments.com/the-reserve-at-fairfax-corner-fairfax-va/qje7h7x/),855-318-3161,"[11727 Fairfax Woods Way, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11727+Fairfax+Woods+Way,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",776 Sq Ft,"$1,391 - 2,356","* Assigned Covered Parking: $45
* Cat Rent: $50
* Dog Rent: $65","* Amenity Fee: $50
* Application Fee: $50
* Move-In Fee: $500
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
0 
* $65 Monthly Pet Rent
* $500 Fee
* 3 Pet Limit",50,50,"Surface Lot
Open Lot","* Fitness Center
* Pool
* Basketball Court
* Tennis Court",,* Smoke Free Living,"* Washer/Dryer
* Air Conditioning
* Fireplace",* Walk-In Closets,Flexible terms,* Package Service,"* Built in 2000
* 652 Units/4 Stories","* Business Center
* Clubhouse",,,"The Reserve at Fairfax Corner Apartments is a close knit community in a charming Northern Virginia neighborhood. Just outside your door is I-66, offering quick access to Washington D.C. We are just a short walk to Fairfax Corner with great shopping and restaurants like Coastal Flats, PF Changs and a movie theater. Also nearby are outdoor activities including walking/hiking trails at Great Falls National Park, Government Center Farmer's Market, summer concerts at Wolf Trap Center and sporting events at the Patriot Center. Our homes feature stainless steel appliances, including a built-in microwave, custom cabinetry, granite counter and environmentally friendly finishes."
[eaves Fair Lakes](https://www.apartments.com/eaves-fair-lakes-fairfax-va/0k823d3/),844-434-5693,"[13116 Autumn Woods Way, Fairfax, VA 22033](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13116+Autumn+Woods+Way,+Fairfax,+VA+22033/data=!4m2!4m1!3e2)",735 Sq Ft,"$1,400 - 1,710","* Assigned Covered Parking: $40 - 45
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $350
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,Surface Lot,"* Fitness Center
* Pool
* Playground
* Basketball Court
* Tennis Court
* Volleyball Court
* Walking/Biking Trails","* Dishwasher
* Ice Maker
* Kitchen
* Refrigerator",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Cable Ready
* Satellite TV
* Storage Units
* Fireplace
* Wheelchair Accessible (Rooms)","* Vaulted Ceiling
* Bay Window
* Walk-In Closets",2-24 Months,"* Package Service
* Property Manager on Site
* Shuttle to Train
* Recycling","* Built in 1989
* 420 Units/3 Stories",* Clubhouse,"* Grill
* Picnic Area",,"eaves Fair Lakes offers sensible 1 and 2 bedroom floor plans with amenities aimed at providing a comfortable lifestyle. Located on Autumn Woods Way, eaves Fair Lakes is conveniently located within easy access of I-66 and Fairfax County Parkway with shopping and dining nearby. eaves Fair Lakes offers residents a range of amenities including an outdoor swimming pool with sundeck, fitness center, resident only basketball court, volleyball court, two tennis courts and a BBQ/picnic area. This pet friendly community also offers flexible lease terms."
