Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Loren](https://www.apartments.com/loren-falls-church-va/dprpfzj/),844-733-4459,"[6410 Arlington Blvd, Falls Church, VA 22042](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6410+Arlington+Blvd,+Falls+Church,+VA+22042/data=!4m2!4m1!3e2)",608 Sq Ft,"$1,795 - 3,525","* Unassigned Garage Parking: $75
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $400
* Admin Fee: $500
* Application Fee: $50
* Other: $300
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed:
Breed Restrictions Pet fees and restrictions may apply. See leasing agent for details. 
* $50 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Pool
* Gaming Stations
* Media Center/Movie Theatre","* Granite Countertops
* Stainless Steel Appliances","* 2.5 bedroom town homes available
* Billiards table
* Cyber café/business center
* Fire pit
* Individual Climate Control
* Moen kitchen and bath fixtures
* Quartz Counter Tops
* Shuttle to East Falls Church Metro
* Two outdoor courtyards
* Wi-Fi access throughout
* Wood and ceramic tile flooring in living","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)",,,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Recycling
* Pet Care
* Car Charging Station","* Built in 2017
* 204 Units/5 Stories","* Elevator
* Business Center
* Conference Room","* Gated
* Courtyard
* Grill",,"Brand new apartments leasing spring 2017! Located in Falls Church, the Loren boasts a perfect location with easy access to all the greatest neighborhoods Northern Virginia and Washington, DC have to offer. The Loren is a unique mix of relaxed comfort with the convenience and excitement of city living. Sitting right on Arlington Boulevard, the Loren is a stunning residential enclave with a hip vibe that taps into the vibrant pulse of the National Capital Region."
[The Oaks at Falls Church](https://www.apartments.com/the-oaks-at-falls-church-falls-church-va/bzg1fw9/),888-534-0751,"[2158 Evans Ct, Falls Church, VA 22043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2158+Evans+Ct,+Falls+Church,+VA+22043/data=!4m2!4m1!3e2)",714 Sq Ft,"$1,447 - 3,184","* Storage Fee: $30
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $50 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Permit Parking Included",* Playground,"* Dishwasher
* Microwave","* 24/7 Access to Fitness
* Air conditioning - central air
* Bark Park
* High-speed internet in area
* Lifeguard on duty
* Pet Friendly
* Regular-sized pool
* Storage Spaces Available
* Train station within 1 mile
* Breakfast Bar
* Icemaker
* Kitchen window
* Maple Cabinets
* Washer/Dryer in Unit","* High Speed Internet Access
* Washer/Dryer",,Variable,"* Maintenance on site
* Pet Care","* Built in 1966
* 176 Units/3 Stories",,,,"Located near West Falls Church Metro Orange Line and Route 7 Roadway, The Oaks at Falls Church has a location central to all the best shopping and dining in the area. Step away from the busy life and enjoy living at our beautiful Falls Church, VA apartments that are also minutes from Idylwood. Each of our spacious one, two, and three bedroom apartments feature an open design and a private patio or balcony. Any chef would be happy to cook in our beautifully designed kitchens complete with all updated appliances, a gas range, and an eat-in kitchen area just steps away from the preparation area. Also, enjoy the convenience of an in-home washer & dryer and optional extra storage spaces. Our apartment community also offers residents the convenience of a 24 hour fitness center, large outdoor pool and a spacious dog park."
[Lincoln at Tinner Hill](https://www.apartments.com/lincoln-at-tinner-hill-falls-church-va/psjknyv/),703-424-9628,"[580 S Washington St, Falls Church, VA 22046](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/580+S+Washington+St,+Falls+Church,+VA+22046/data=!4m2!4m1!3e2)",754 Sq Ft,"$1,990 - 3,210","* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
Limit 2 pets per apartment. Breed restrictions apply. $50/mo pet rent 
* $50 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,Garage,"* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Microwave
* Range
* Refrigerator
* Freezer",,"* Washer/Dryer
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Walk-In Closets
* Double Pane Windows",12 months,"* Wi-Fi at Pool and Clubhouse
* Controlled Access
* On-Site Retail
* Hearing Impaired Accessible
* Vision Impaired Accessible
* Trash Pickup - Door to Door
* Recycling
* Dry Cleaning Service
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities
* Pet Care
* Pet Washing Station
* Car Charging Station","* Built in 2016
* 225 Units/6 Stories","* Clubhouse
* Lounge
* Multi Use Room
* Disposal Chutes
* Coffee Bar
* Conference Room","* Gated
* Courtyard
* Grill",,"1 month free on all 1 bedroom apartment homes, or 2 months free on any available A3. Looking for something larger? Get $500 off upfront on all 2 bedrooms.* Look & Lease within 24 hours, and get a $500 Visa Gift Card! Restrictions Apply. ""Love it"" with our beautiful 1 and 2 bedroom floor plans! Lincoln at Tinner Hill offers you luxury living with high end finishes that include granite countertops, stainless steel appliances, hardwood flooring, large closets, huge balconies in select homes, and much more! * Additionally our community awaits you with a state of the art 24 hour fitness center, yoga studio, game room, exquisite outdoor swimming pool, beautifully landscaped courtyards, business center, pet washing stations, bike storage, garage facilities and additional amenities that will exceed your expectations! * Explore Lincoln at Tinner Hill today! It's a great location to a myriad of shops, restaurants, and public transit near the East Falls Church Metro Station, giving you easy access to the Orange and Silver lines. Your commute will be just a heartbeat away from DC, Tyson's Corner, Herndon and beyond. Take advantage of the sports courts nearby at Cavalier Park. It is all here at Lincoln at Tinner Hill, inside ""The Little City"" of Falls Church!"
[Peachtree Of Mclean](https://www.apartments.com/peachtree-of-mclean-falls-church-va/dr62beh/),844-456-2291,"[2042 Peach Orchard Dr, Falls Church, VA 22043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2042+Peach+Orchard+Dr,+Falls+Church,+VA+22043/data=!4m2!4m1!3e2)",763 Sq Ft,"$1,450 - 4,325","* Cat Rent: $35
* Trash Removal: Included","* Admin Fee: $250
* Application Fee: $50
* Cat Deposit: $350",No Pets Allowed,50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Walking/Biking Trails
* Gameroom","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Fireplace","* Carpet
* Views
* Window Coverings",,"* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Property Manager on Site","* Built in 1973
* 340 Units/6 Stories","* Elevator
* Business Center
* Clubhouse
* Conference Room","* Courtyard
* Grill
* Picnic Area",,
[Munson Hill Towers](https://www.apartments.com/munson-hill-towers-falls-church-va/gvztmdx/),888-341-0443,"[6129 Leesburg Pike, Falls Church, VA 22041](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6129+Leesburg+Pike,+Falls+Church,+VA+22041/data=!4m2!4m1!3e2)",839 Sq Ft,"$1,192 - 2,500","* Storage Fee: $25
* Unassigned Garage Parking: $10 - 50
* Cat Rent: $75
* Dog Rent: $75","* Admin Fee: $500
* Application Fee: $50
* Cat Deposit: $500
* Dog Deposit: $500","Dogs Allowed:
No aggressive breeds Deposit is refundable. 
* $500 Deposit
* $75 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Spa
* Pool
* Playground
* Bike Storage
* Basketball Court
* Tennis Court
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Business Center with iMac computers
* Clubroom with Billiards
* High-Rise Building
* Prime Falls Church Location","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV
* Storage Units
* Tub/Shower","* Hardwood Floors
* Views
* Walk-In Closets
* Window Coverings",3 - 12 Month Leases,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Dry Cleaning Service
* Pet Care","* Built in 1964
* 219 Units/12 Stories","* Elevator
* Business Center
* Clubhouse
* Multi Use Room
* Storage Space
* Coffee Bar","* Gated
* Fenced Lot
* Courtyard
* Grill
* Picnic Area",,"Welcome home to Munson Hill Towers! Live and enjoy 12-gorgeously manicured acres, 40-foot water fountain, huge swimming pool with Jacuzzi, lighted tennis court, mini-basketball court, fitness center with TVs, social room with billiards and large TVs, business center, picnic area with grills, tot lot, card-operated laundry facilities on each floor, controlled building access, resident activities, and much more! Plus, convenience is key when you can hop on a bus to Metro and downtown DC right at your front door"
[Northgate at Falls Church](https://www.apartments.com/northgate-at-falls-church-falls-church-va/6gfczkv/),703-762-2911,"[450 N Washington St, Falls Church, VA 22046](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/450+N+Washington+St,+Falls+Church,+VA+22046/data=!4m2!4m1!3e2)",619 - 769 Sq Ft,"$1,455 - 3,300",* Assigned Garage Parking: $50 - 125,"* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed
No monthly pet rent or security deposit! Cats and most breeds of dogs are welcome. Please check with a leasing consultant for specific pet guidelines. 
* $500 Fee
* 2 Pet Limit",50,50,"Covered
Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Bike Storage
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water","* Ample closet space
* Bike Storage
* Clubroom with courtyard access
* Community courtyards with patio fireplace and grill
* Courtyards with patio fireplace and grill
* Gourmet kitchen with stainless appliances
* Ground level shopping and dining
* Has balcony
* Has patio
* Has patio or balcony
* Has patio/balcony
* High-speed Internet, cable and telephone
* In-suite washer and dryer
* LEED Certified
* Private balcony, patio, or terrace
* Programmable thermostat
* Spacious floor plans
* Trash and recycling on every floor
* Wifi Lounge","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Alarm
* Trash Compactor
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Den
* Bay Window
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings","6, 7, 8, 9, 10, 11, 12, 13, 14","* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* On-Site Retail
* Recycling
* Dry Cleaning Service
* Laundry Service
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities","* Built in 2014
* 104 Units/5 Stories","* Elevator
* Clubhouse
* Lounge
* Multi Use Room
* Disposal Chutes
* Coffee Bar","* Gated
* Courtyard
* Picnic Area",,"Northgate at Falls Church offers amazing access to the best of the Washington, D.C. area and some of the nation's best schools. This unbeatable community doesn't simply put you close to the excitement and style of D.C., it brings it all to you. Take in a show at the iconic State Theater or try a new restaurant. Work and shop right in the neighborhood, or hop on the metro to meet friends in Arlington's eclectic atmosphere. You'll live just a short walk from the East Falls Church Metro station, the transfer point for the Silver and Orange Lines. Or, stay in to enjoy all the comforts of your home. The chic clubroom with courtyard access is the perfect spot for a cocktail party. Relax by the fireplace, grill on the patio, or work out in the fitness center. Northgate has it all, right here in the Little City. Contact us today for a personal tour!"
[Skyline Towers](https://www.apartments.com/skyline-towers-falls-church-va/pyjm7sv/),866-370-8986,"[5599 Seminary Rd, Falls Church, VA 22041](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5599+Seminary+Rd,+Falls+Church,+VA+22041/data=!4m2!4m1!3e2)",960 Sq Ft,"$1,219 - 2,412","* Unassigned Surface Lot Parking: $50 - 60
* Cat Rent: $50
* Dog Rent: $65
* Gas: Included","* Application Fee: $50
* Move-In Fee: $300
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
0 
* $65 Monthly Pet Rent
* $500 Fee
* 3 Pet Limit",50,50,"Surface Lot: $50 - 60
1 space.","* Fitness Center
* Pool",,,"* Washer/Dryer
* Air Conditioning",* Walk-In Closets,Flexible terms,"* Package Service
* Laundry Facilities
* Concierge","* Built in 1971
* 939 Units/26 Stories",* Business Center,* Gated,,"Skyline Towers offers huge apartment homes featuring expansive floor plans. Each apartment features large balconies with sweeping views of the District, National Monuments and the Potomac River. With easy access to Route 50, you are within minutes of the shopping, dining and entertainment of Pentagon City. Our pet-friendly community also includes convenient on-site concierge service, a fitness center and swimming pool. Check out our other Baileys Crossroads apartments."
[eaves Fairfax Towers](https://www.apartments.com/eaves-fairfax-towers-falls-church-va/zg9kgbw/),844-823-8256,"[2251 Pimmit Dr, Falls Church, VA 22043](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2251+Pimmit+Dr,+Falls+Church,+VA+22043/data=!4m2!4m1!3e2)",636 Sq Ft,"$1,470 - 2,315","* Storage Fee: $15
* Unassigned Surface Lot Parking: $50
* Cat Rent: $50
* Dog Rent: $50
* Water, Sewer: Included","* Amenity Fee: $350
* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300",No Pets Allowed,50,50,"Surface Lot: $50
1 space.","* Fitness Center
* Free Weights
* Weight Machines
* Pool
* Bike Storage
* Tennis Court","* Dishwasher
* Disposal
* Pantry
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Sprinkler System","* Carpet
* Views
* Walk-In Closets",Flexible,"* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Furnished Units Available
* Shuttle to Train
* On-Site Retail
* Recycling
* Dry Cleaning Service
* Pet Play Area","* Built in 1978
* 415 Units/13 Stories
* Furnished","* Elevator
* Business Center
* Lounge
* Breakfast/Coffee Concierge
* Storage Space
* Disposal Chutes","* Grill
* Picnic Area",,"eaves Fairfax Towers is an apartment community located near Tysons Corner, nestled in 16 beautifully landscaped acres, and conveniently located off of Route 7 in Falls Church, minutes from I-66 and I-495. Besides a superb location and excellent service, these Falls Church apartments offer numerous advantages via exceptional apartment features. At eaves Fairfax Towers, every apartment is spacious and well designed and comes with a washer and dryer and fully-equipped kitchen. These Falls Church apartments at Fairfax Towers are available in a variety of six floor plans, with 1, 2, and 3 bedroom apartments to fit your needs."
[Avalon Falls Church](https://www.apartments.com/avalon-falls-church-falls-church-va/rmyqvq1/),866-624-0173,"[6600 Colton Crawford Cir, Falls Church, VA 22042](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6600+Colton+Crawford+Cir,+Falls+Church,+VA+22042/data=!4m2!4m1!3e2)",734 Sq Ft,"$1,695 - 3,320","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,"Garage
Assigned Parking. Direct access, private garages available","* Fitness Center
* Spa
* Pool
* Playground
* Gameroom","* Granite Countertops
* Stainless Steel Appliances",,"* Washer/Dryer
* Air Conditioning
* Smoke Free
* Fireplace
* Wheelchair Accessible (Rooms)",* Walk-In Closets,"Flexible, 2 to 12 months, 24 months","* Package Service
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Property Manager on Site
* Guest Apartment
* Pet Play Area","* Built in 2015
* 384 Units/3 Stories",* Clubhouse,"* Sundeck
* Courtyard
* Grill
* Picnic Area",,"Located one mile from the East Falls Church Metro Station in Falls Church, VA, Avalon Falls Church offers pet friendly apartments and townhomes that include gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Community amenities include a state of the art fitness center, swimming pool, pet run, pet spa, and courtyards with grilling stations throughout. Complimentary weekday shuttle to/from the East Falls Church Metro Station available."
[Oakwood Falls Church](https://www.apartments.com/oakwood-falls-church-falls-church-va/87bv9x3/),888-864-1415,"[501 Roosevelt Blvd, Falls Church, VA 22044](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/501+Roosevelt+Blvd,+Falls+Church,+VA+22044/data=!4m2!4m1!3e2)",707 Sq Ft,"$1,550 - 1,760",,"* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
Maximum of two pets. Only one dog, one dog and one cat, or two cats (per apartment) are permissable. 75-pound weight limit for dogs. 
* $400 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Free Weights
* Sauna
* Spa
* Pool
* Playground
* Basketball Court
* Tennis Court
* Volleyball Court","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* Furnished Apartments Available
* On-site Convenience Store","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",10-15 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Maid Service","* Built in 1974
* 576 Units/7 Stories","* Elevator
* Business Center
* Clubhouse",* Sundeck,,"A fantastic location minutes from Washington DC, located in the Northern Virginia School District, with Renovated Apartments, business center; upgraded hallways, elevators & Free shuttle to Metro. Near I-66 & I-495, just minutes from Tysons Corner shopping, D.C., & Reagan Nat'l Airport. Stop by today for a tour & see all that we have to offer!"
