Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Franklin Park at Greenbelt Station](https://www.apartments.com/franklin-park-at-greenbelt-station-greenbelt-md/787qkcy/),844-204-5793,"[6220 Springhill Dr, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6220+Springhill+Dr,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",668 Sq Ft,"$1,199 - 2,249","* Cat Rent: $30
* Dog Rent: $30","* Admin Fee: $200
* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Breed restrictions apply Large dogs accepted; Pet rent and fees are applicable per pet. 
* $30 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Basketball Court
* Tennis Court
* Walking/Biking Trails","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* Brand New Designer Kitchens
* In unit Washer and Dryer
* Maple Cabinetry w/Soft-Touch
* On Site Patrol
* Onsite Laundry Care Center
* Oversized Closets
* Short walk to Greenbelt Metro Station
* Stainless Steel Appliances
* Vaulted Ceilings","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Satellite TV
* Tub/Shower","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Den
* Sunroom
* Vaulted Ceiling
* Views
* Walk-In Closets
* Window Coverings",3 - 15 Month Leases,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* Furnished Units Available
* Shuttle to Train
* On-Site ATM
* Recycling
* Renters Insurance Program
* Grocery Service
* Planned Social Activities","* Built in 1964
* Renovated in Jan 2011
* 2877 Units/3 Stories
* Furnished",* Coffee Bar,"* Courtyard
* Grill
* Picnic Area
* Lake Access",,"Elegant living in a beautiful park-like setting. Today's apartment living is all about lifestyle. Franklin Park at Greenbelt Station delivers an amenity-rich lifestyle with unbeatable comfort and an unmatched convenient location. Nestled among trees and lush landscaping with enough paths to train for a marathon. Franklin Park at Greenbelt Station offers a lifestyle that meets your needs. Splash at the pool, work out at the fitness center (coming soon) or take a leisurely stroll around the pond. And, within close proximity to the property are many Greenbelt services such as shopping, dining and entertainment. No one comes close to how convenient our property really is. Call today and set a tour to see what you've been missing out on!!"
[Charlestowne North](https://www.apartments.com/charlestowne-north-greenbelt-md/b4nw1x8/),240-297-1985,"[8150 Lakecrest Dr, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8150+Lakecrest+Dr,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",750 Sq Ft,"$1,392 - 1,835","* Cat Rent: $20
* Dog Rent: $20
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Admin Fee: $125
* Application Fee: $44
* Cat Deposit: $200
* Dog Deposit: $200","Dogs Allowed:
Maximum 2 cats or 1 dog. Restricted breeds include: Pit-bulls, Rottweilers, Chows, Akitas, American Staffordshire, Shar-Pei, Bull Terriers, and any aggressive breed. Maximum wight limit is 20 lbs. maturity. A signed pet addendum is required, $200 refundable pet deposit per pet and a $20 monthly pet rent per pet. 
* $200 Deposit
* $20 Monthly Pet Rent
* 20 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking.","* Fitness Center
* Pool
* Tennis Court","* Dishwasher
* Range
* Refrigerator",,"* Air Conditioning
* Heating",,"6 months, 9 months, 12 months, 15 months, 16 months",* Maintenance on site,"* Built in 1967
* 178 Units/8 Stories",* Clubhouse,* Gated,,"Charlestowne North is close to shops and restaurants and minutes from the Greenbelt Metro stop. Need a ride to the University of Maryland? The UMD shuttle is just steps away from your Greenbelt apartment. Like to walk? Take a nature hike at the Buddy Attick Park. At Charlestowne North, there is so much to see and do right at your fingertips. Located near major employers like NASA Goddard Flight Center and Fort Meade, our stylish apartments and tranquil setting put you right where you want to be. Welcome home to some of the most convenient apartments in Maryland!"
[Glen Oaks Apartments](https://www.apartments.com/glen-oaks-apartments-greenbelt-md/4l0g9mh/),866-308-0616,"[7509 Mandan Rd, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7509+Mandan+Rd,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",920 Sq Ft,"$1,664 - 2,269","* Cat Rent: $35
* Dog Rent: $35
* Water, Trash Removal, Sewer: Included","* Admin Fee: $150
* Application Fee: $44
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
We accept a maximum of 1 cat or 1 dog with the following breed restrictions: Pit-bulls, Rotweilers, Chows, Akitas, American Staffordshire, Shar-Pei, Bull Terriers or any aggressive breed. A signed pet addendum is required along with a refundable pet 
* $250 Deposit
* $35 Monthly Pet Rent
* 35 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Tennis Court
* Volleyball Court
* Walking/Biking Trails","* Dishwasher
* Disposal
* Range
* Refrigerator",* Fitness Trails with Obstacles,"* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units",,"6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months",* Maintenance on site,"* Built in 1976
* Renovated in Jan 2007
* 463 Units/3 Stories",* Clubhouse,* Balcony,,"Glen Oaks Apartments are the largest and most luxurious floor plans Greenbelt, Maryland, has to offer. Premium finishes and expansive closets come in a beautifully convenient package with all utilities included. Ideally located just minutes from shopping, dining, Roosevelt High School, and the Beltway, Glen Oaks is the perfect place to call home. Take advantage of the Greenbriar Country Club and all its amenities right next door. You won't find bigger or better apartments in Greenbelt, MD guaranteed. Welcome home to Glen Oaks!"
[Verde at Greenbelt Station](https://www.apartments.com/verde-at-greenbelt-station-greenbelt-md/5y8dyhp/),781-399-4293,"[8010 Greenbelt Station Pky, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8010+Greenbelt+Station+Pky,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",701 Sq Ft,"$1,650 - 2,250",,* Application Fee: $25,No Pets Allowed,50,50,,* Pool,"* Microwave
* Range",,"* Washer/Dryer
* Air Conditioning
* Heating",,12 months,,"* Built in 2016
* 302 Units/4 Stories",,* Balcony,,"NOW LEASING BRAND NEW APARTMENTS! Verde at Greenbelt Station is designed to a LEED Gold standard, allowing residents to enjoy an energy efficient and healthy lifestyle. This attention to detail will carry into your home with high efficiency plumbing fixtures and on-demand gas-fired water heaters. Our residents also have access to ample bike storage, direct access to the Metro rail system, and electric vehicle charging stations. Welcome home!"
[The Gates of Cipriano](https://www.apartments.com/the-gates-of-cipriano-greenbelt-md/wtsgbdl/),888-785-9554,"[8501 Greenbelt Rd, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8501+Greenbelt+Rd,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",776 Sq Ft,"$1,220 - 1,866","* Cat Rent: $38
* Dog Rent: $38
* Gas, Water: Included","* Admin Fee: $100
* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Breed Restrictions Apply 
* $38 Monthly Pet Rent
* $300 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Ice Maker
* Range
* Refrigerator
* Breakfast Nook",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready","* Hardwood Floors
* Carpet
* Dining Room
* Den
* Walk-In Closets
* Linen Closet",12 months,"* Wi-Fi at Pool and Clubhouse
* Property Manager on Site
* Bilingual
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Energy Star Certified","* Built in 1965
* Renovated in Feb 2017
* 592 Units/2 Stories",* Business Center,"* Fenced Lot
* Picnic Area",,"The Gates of Cipriano Apartment Homes in Greenbelt, Maryland, has one, two and three-bedroom apartment homes, close to the Capitol Beltway, minutes from 295, I-95 and major expressways, the airport and Washington, DC, so commuting is easy. You can also leave your car at home and ride the Metro bus that stops in our community. Living in your spacious apartment home, you&#39;ll appreciate how easy it to go anywhere--work, sightseeing, shopping, dining or movies. On our grounds, you&#39;ll enjoy a state-of-the-art fitness center, resort-style swimming pool with sundeck, hot tub and grilling area. Our Internet Cafe and unique on-site daycare are very popular with residents. Come visit us today, and experience our luxurious retreat, surprisingly close to everything."
[Lerner University Square](https://www.apartments.com/lerner-university-square-greenbelt-md/x26fgmn/),888-471-5057,"[157 Westway Rd, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/157+Westway+Rd,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",892 Sq Ft,"$1,291 - 1,885","* Cat Rent: $50
* Dog Rent: $50
* Gas, Heat: Included","* Admin Fee: $200
* Application Fee: $35
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350","Dogs and Cats Allowed:
Breed Restrictions Apply. Up to 2 pets per home. No aggressive breeds and/or exotic pets. $350 non-refundable fee per pet, $50 monthly pet rent per pet. * *Service Animals are not subject to any pet fees or pet rent. Maximum 2 pets per apartment home. 
* $350 Deposit
* $50 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Ice Maker
* Granite Countertops
* Pantry
* Eat-in Kitchen
* Microwave
* Range
* Freezer",,* Heating,* Walk-In Closets,12 months,,"* Built in 1967
* 495 Units/3 Stories",* Business Center,* Gated,,"University Square apartment homes, in Greenbelt, Maryland of Prince Georges County, offer you immediate access to both the Capital Beltway and Baltimore-Washington Parkway. Nearby Greenbelt Metro/MARC and New Carrollton Metro/Amtrak stations, with Metrobus and University of Maryland Shuttle stops located in our community take you to the University of Maryland and nearby shopping and restaurants, as well as beyond to major attractions in the downtown Washington D.C. area. An ideal location for UMD students, NASA employees and other professionals, singles and families! Live in our community with a complete amenity list not to be rivaled. Not only do we allow pets, but our pet fees are among the lowest around. Come experience the convenience and comfort that University Square has to offer, move in today!"
[The Hanover Apartments](https://www.apartments.com/the-hanover-apartments-greenbelt-md/k6mrd3b/),866-461-9325,"[7232 Hanover Pky, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7232+Hanover+Pky,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",609 - 785 Sq Ft,"$1,425 - 1,950","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
Maximum of 2 pets allowed per apartment home. Additional monthly pet rent may be required. Breed restrictions include, but are not limited to, Akitas, Chows, Dobermans, German Shepherds, Mastiffs, Pit Bulls, Staffordshire Terrier breeds, Rottweilers, Our community is located right next to the Greenbelt Dog Park. 
* $35 Monthly Pet Rent
* $350 Fee
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking is open and available to all residents and their visitors. There are no assigned spaces or permits required to park on our surface lots.","* Fitness Center
* Cardio Machines
* Pool
* Playground","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Oven
* Range
* Refrigerator","* Balcony
* Black Appliances
* Breakfast Bar
* Business Center w/ Free WIFI
* Ceiling Fan
* Central Heat
* Cherry & Maple Wood Cabinetry Available*
* Cherrywood Cabinets
* Dishwasher
* Dryer
* Expansive Living Room
* Faux Wood Flooring
* Galley Style Kitchen*
* Garden View
* Granite Countertops
* Granite Countertops and Vanity Available*
* Microwave
* New Appliances
* New Cabinets
* New Carpet
* Oversized Swimming Pool w/ Lifeguard
* Oversized Windows w/Panoramic View
* Park Style Landscaping
* Pet Friendly
* Plush Wall-to-Wall Carpeting
* Private Balcony/Patio
* Private Entrance
* Relaxing Picnic/Grilling Area
* Six Panel Doors
* Stackable W/D included
* Stainless Steel Appliance
* Stainless Steel Appliances Available*
* Superior Gas Cooking
* Washer
* Washer & Dryer Included","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Satellite TV
* Wheelchair Accessible (Rooms)","* Dining Room
* Walk-In Closets
* Linen Closet",We offer multiple lease terms,"* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* 24 Hour Availability
* Recycling","* Built in 1966
* 320 Units/4 Stories",* Business Center,"* Grill
* Picnic Area",,"Your ideal home is waiting at The Hanover Apartments. Featuring gorgeous one, two and three bedroom floor plans, with fourteen unique layouts stylishly designed to maximize space and comfort. Featuring bright, open living rooms, private patios and balconies and sleek contemporary kitchens, your home life will always be a delight. Whether you're spending your leisure time lounging beside the sparkling swimming pool, entertaining and engaging with friends in the community clubhouse or dining in the fresh air of the picnic area, you'll be smiling every day. Located on a picturesque street right beside beautiful Greenbelt Park, you have easy access to all the shopping, dining, entertainment and nightlife you need to keep you going day and night. Conveniently situated right by the I-95 freeway and less than 25 minutes from the Washington D.C. center, your drive will always be a breeze at The Hanover Apartments!"
[7923 Mandan Rd Unit 103](https://www.apartments.com/7923-mandan-rd-greenbelt-md-unit-103/297fll8/),443-393-3671,"[7923 Mandan Rd, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7923+Mandan+Rd,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",,"$1,975",,,Dogs and Cats Allowed,50,50,Surface Lot,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/Dx1mvKoc7fe6wIq0h3g-gv0T8ta8xkBzARS6il7yGEQ/110/7923-mandan-rd-unit-103-greenbelt-md-primary-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/xRMRR7_GlI6wLsv3PEPYiG8VhAyDNofj12BH4XWfWKs/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/wVO3X4UGbzDtPEuSebEV4z_Te48RrxACYwUWmEmPruQ/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/81YW2Cs0MvRSn1FU5XMD8pyAnaNypJnau6D6uXhYbl0/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/unFWDbTMZgcwyOF3wfIu536AJ8jnEnReBO3X-XvXjeo/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/GANBs5eLyAtE-Ag4dBfpCD_eBKo9Jly73uRz9RdEvvs/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/bvrqF_zOpEl59cdFpS0jz1laKEyea1lk7TwRCGtQGGQ/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/exKns8q2snF1dDcEVaKMJFgfZtmtzj0fNbf1QFc2zrw/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/WK1rldqN88J0tVJpdIa4bDDJ-_GZC6f9f1TcvadVGBg/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/O388qRnwe575ZQaNxkav1tmWtQoMGuUQp1Uy6nnueO8/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/bflrjiDNGbzldbXVM2EURLHl5h6uim68GPyaBzhbSdQ/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/8p7aqOXq654Ks_v3jsbFJl0ckY5frk6BLpooWyDggqM/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/ZCqkFUzCh-O4sOlcnrJCKv-R6WXeE1DzxPRtZD2VVkg/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ![Building Photo - 7923 Mandan Rd](https://images1.apartments.com/i2/it3zIWhnGu4zBjj1u_lgH_DCK-dclq72aHtKd4-2kVA/118/7923-mandan-rd-unit-103-greenbelt-md-building-photo.jpg) ,"Condo apartment in Greenbelt, near top-rated Eleanor Roosevelt High School (in Greenbriar Condominiums) - 2 bedroom 2 bathroom plus den (can be used as additional bedroom); utilities included, new dishwasher; washer and dryer and stove; kitchen and bathroom newly remodeled; lots of closet space; extra storage provided; free lot parking; access to pool, picnic area, tennis court and party room. 1 pet ($300 deposit, $25/month) monthly rent $1,975; $500 security deposit."
[7801 Chartwell Pl](https://www.apartments.com/7801-chartwell-pl-greenbelt-md/2yb3dlc/),844-241-5896,"[7801 Chartwell Pl, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7801+Chartwell+Pl,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",,"$2,099",,,No Pets Allowed,50,50,Garage,,,,"* Washer/Dryer
* Smoke Free",,12 Months,,,,,![Primary Photo - 7801 Chartwell Pl](https://images1.apartments.com/i2/KNxXCxsYPWRUlp-TBFR8qeIca2hPd1m39EpnC1ojAms/110/7801-chartwell-pl-greenbelt-md-primary-photo.jpg) ![Building Photo - 7801 Chartwell Pl](https://images1.apartments.com/i2/TFl4yks4Sgs1hONgV5UFBd7_qEOiT5axt7dMXQVGIXY/118/7801-chartwell-pl-greenbelt-md-building-photo.jpg) ![Building Photo - 7801 Chartwell Pl](https://images1.apartments.com/i2/GiuJQsGkDak_hVdEfJWs2kMFAYV7fwgOTiAGdcUXOlg/118/7801-chartwell-pl-greenbelt-md-building-photo.jpg) ![Master - 7801 Chartwell Pl](https://images1.apartments.com/i2/MTWdppUy6wLiQRULpRcocekTNDznvlyRWZx90nuG7rA/118/7801-chartwell-pl-greenbelt-md-master.jpg) ![Master - 7801 Chartwell Pl](https://images1.apartments.com/i2/DeJ5Tv8V54xZOD4PEOJ0ipgjZc8u8YslcnCpghR6nlc/118/7801-chartwell-pl-greenbelt-md-master.jpg) ![Master - 7801 Chartwell Pl](https://images1.apartments.com/i2/q48MFd0TitRazaRphulTSvBaWbduLSnY2jzOngZ8-so/118/7801-chartwell-pl-greenbelt-md-master.jpg) ![Master - 7801 Chartwell Pl](https://images1.apartments.com/i2/Dc5wVO3f5AwZ6xNTy5mI-ULxSWhTsuqE4uwIdBf6xak/118/7801-chartwell-pl-greenbelt-md-master.jpg) ![Bedroom 2 - 7801 Chartwell Pl](https://images1.apartments.com/i2/FLWTk0oqEl3ZcLMPI8uMImZU8Npu3hgMU8RBfuN5f1I/118/7801-chartwell-pl-greenbelt-md-bedroom-2.jpg) ![Bedroom 2 - 7801 Chartwell Pl](https://images1.apartments.com/i2/VNxneB_-c7uGw7sZP79QjlwnWFduoSJFaFcKptVEF-k/118/7801-chartwell-pl-greenbelt-md-bedroom-2.jpg) ![Bedroom 2 - 7801 Chartwell Pl](https://images1.apartments.com/i2/UZ7lxJ0HcPeuSYWidyjf9tW46VhsxeApOLYY4z7ALsY/118/7801-chartwell-pl-greenbelt-md-bedroom-2.jpg) ![Bedroom 3 - 7801 Chartwell Pl](https://images1.apartments.com/i2/WSYN753jTcjmK_K7_OhIXp4e5v6ta-zqP76FYFMGfHM/118/7801-chartwell-pl-greenbelt-md-bedroom-3.jpg) ![Bedroom 3 - 7801 Chartwell Pl](https://images1.apartments.com/i2/QHTKrHS3oFkLbyWtGKXdQ1N4EPnQkErnG8cLhF1ggp4/118/7801-chartwell-pl-greenbelt-md-bedroom-3.jpg) ,"Large EndUnit Townhome w/ 3BR & 2.5BA. Basement with Sliding Door. WalkOut Level to Rear of house. Walk-In Closet in Master B/R. One Car Garage. Washer and Dryer. Wood Stairs from Main Level to Upper Level. Right off 295 B-W Parkway, close to i-495 (Capital Beltway). Close to green and orange line metro stations, various bus lines within walking distance from house - one literally in front, and University of Maryland shuttle service. Very close to University of Maryland, NASA Goddard Space Flight Center, and the USDA. You're close enough to walk to shopping (Safeway, Starbucks, Chevy's, IHOP, CVS, AT&T, 7-11, Exxon Mobil, and so much more), banking (Bank of America, PNC, M&T), and the US post office. The rent does not include utilities. Good credit is required. Call Dermaine to arrange showing. $45 application fee and copies of your last pay-stubs and driver's license needed. Minimum income requirement is $65k/yr. Call me @ 646-542-4663."
[21 Parkway](https://www.apartments.com/21-parkway-greenbelt-md/3vvw6nd/),410-927-8703,"[21 Parkway, Greenbelt, MD 20770](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21+Parkway,+Greenbelt,+MD+20770/data=!4m2!4m1!3e2)",410 Sq Ft,$950,,,,50,50,Surface Lot,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 21 Parkway](https://images1.apartments.com/i2/yC68m1wHg0SP-a956c6hK0m8hVyLsJEivQboxhQkX-Y/110/21-parkway-greenbelt-md-primary-photo.jpg) ![Building Photo - 21 Parkway](https://images1.apartments.com/i2/iO3f0b4fxaM-lHlhA-suqZBHpkop8Ws6f80XWsNhMaU/118/21-parkway-greenbelt-md-building-photo.jpg) ![Building Photo - 21 Parkway](https://images1.apartments.com/i2/jKofLOCFANTvIRhedHlUprN_B4Nh6LkrUUkqPiJy0o8/118/21-parkway-greenbelt-md-building-photo.jpg) ,"We offer affordable efficiencies and one bedroom apartments with or without porches. There are in-house laundry facilities, controlled access to buildings, and individual garages for rent."
