Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Southfield](https://www.apartments.com/southfield-nottingham-md/1qx8n14/),844-255-6007,"[4335 Bedrock Cir, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4335+Bedrock+Cir,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",800 Sq Ft,"$1,190 - 2,865","* Storage Fee: $30
* Assigned Garage Parking: $175
* Assigned Other Parking: $25
* Cat Rent: $30
* Dog Rent: $40","* Application Fee: $30
* Cat Deposit: $250
* Dog Deposit: $250",Pets Negotiable,50,50,"Surface Lot
2 spaces. Parking Available","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Playground
* Sport Court","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Community Garden
* Rent the Clubhouse for Speical Occasions","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace
* Sprinkler System","* Carpet
* Vinyl Flooring
* Dining Room
* Vaulted Ceiling
* Window Coverings","2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months","* Wi-Fi at Pool and Clubhouse
* Property Manager on Site
* Recycling
* Renters Insurance Program
* Planned Social Activities
* Pet Play Area
* Car Wash Area","* Built in 1991
* 212 Units/3 Stories","* Lounge
* Storage Space
* Coffee Bar","* Grill
* Picnic Area",,"Each of our spacious one, two and three bedroom apartment homes offers wall-to-wall carpeting, fully-equipped kitchens with European-style cabinetry and breakfast bars, abundant closet space, and an in-suite washer and dryer. For a little more elegance many of our homes feature vaulted ceilings and wood-burning fireplaces for that added touch of sophistication. -- With an amenity package that includes a swimming pool, fitness center, car wash area, picnic facilities, and pet park, on professionally landscaped grounds, it's the perfect place to get away from the stresses of the day. -- Ideally located less than a mile from the White Marsh Town Center, Southfield offers a peaceful retreat that is just minutes from just about everything the area has to offer."
[The Crossings at White Marsh Apartments](https://www.apartments.com/the-crossings-at-white-marsh-apartments-perry-hall-md/pv5cb1t/),443-863-4751,"[1 Lincoln Woods Way, Perry Hall, MD 21128](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1+Lincoln+Woods+Way,+Perry+Hall,+MD+21128/data=!4m2!4m1!3e2)",660 Sq Ft,"$970 - 2,815","* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $30
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed
See We Love Your Pets page for details 
* $30 Monthly Pet Rent
* $250 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* 2014 National Award for Satisfacts.
* Bark Park
* BBQ/Picnic Area
* Car Wash Area
* Central Heat & Air Conditioning
* Close to White Marsh Mall & The Avenue
* Dishwasher
* Disposal
* Electric Heat Pump
* Package Receiving
* Private Balcony or Patio
* Renovated Apartment Homes Available
* Seconds from I-95 & I-695
* Storage on Every Patio or Balcony
* Wall-to-Wall Carpeting
* Washer & Dryer in Every Home","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower
* Fireplace","* Carpet
* Vinyl Flooring
* Dining Room
* Den
* Window Coverings","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","* Package Service
* Maintenance on site
* Online Services
* Car Wash Area","* Built in 1986
* 396 Units/3 Stories",* Clubhouse,* Grill,,"Live in Perry Hall, MD and surround yourself with beautiful landscaping, charming homes, and thoughtful amenities. Located near I-95 and White Marsh Boulevard, The Crossings at White Marsh Apartments is just minutes away from all of the shopping, dining and entertainment that nearby Baltimore has to offer.The Crossings at White Marsh Apartments offers unique one or two bedroom apartment homes that include dishwashers, washers and dryers, and patios/balconies just to name a few of the exclusive amenities we offer our residents. Get a quick workout in your own fitness center, go for a walk in your private dog park, or have a dip in one of your shimmering pools. If you're looking for a home in White Marsh or want to experience the perks of a wonderful apartment home in a convenient location, The Crossings at White Marsh Apartments is the place for you in Perry Hall. You deserve the very best in apartment living and our community offers an easy and relaxed lifestyle."
[Silver Spring Station Apartment Homes](https://www.apartments.com/silver-spring-station-apartment-homes-baltimore-md/mmd81sh/),888-782-2762,"[1 Durban Ct, Baltimore, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1+Durban+Ct,+Baltimore,+MD+21236/data=!4m2!4m1!3e2)",798 Sq Ft,"$1,255 - 2,070","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Fee: $350
* Dog Fee: $350","Dogs and Cats Allowed:
Any mixes of the following breeds are not permitted: Rottweiler, Dobermans, Chows, Pit Bulls and German Shepherds. If the Management Office determines your pet to be aggressive, your pet may not be allowed at our community. Breed Restrictions Apply. 
* $35 Monthly Pet Rent
* $350 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Other
Assigned Parking. Reserved Spaces throughout community.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Playground","* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Oven
* Range
* Breakfast Nook","* Breakfast Bars
* Cable Ready
* Ceiling Fan
* Central Air Conditioning
* Disability Access
* Dishwasher
* Extra Storage Available*
* Full Size Washer & Dryer in home
* Garbage Disposal
* Movie Theater
* New Bark Park Coming Soon!
* New Fire Pit Coming Soon!
* New Granite & Stainless Steel Upgrades
* New Outdoor Fitness Stations Coming Soon
* New Outdoor Ping Pong Coming Soon!
* New Putting Green Coming Soon!
* Package Receiving
* Private Patio or Balcony
* Spacious Closet
* Wall to Wall Carpeting
* Window Coverings","* High Speed Internet Access
* Heating
* Storage Units
* Tub/Shower","* Vinyl Flooring
* Den
* Built-In Bookshelves
* Crown Molding
* Views
* Linen Closet
* Window Coverings
* Accent Walls","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Video Patrol
* 24 Hour Availability
* Recycling
* Online Services
* Planned Social Activities","* Built in 1988
* 348 Units/4 Stories","* Business Center
* Clubhouse
* Storage Space
* Coffee Bar
* Library","* Gated
* Grill",,"**FREE Rent until October & FREE Utilities until December 31st when you Apply Today and move-in this week. Call us today for more information** Silver Spring Station luxury apartment homes bring a whole new meaning to the word ""luxury"". From the location in one of Baltimore County's most beautiful areas to the tranquil tree-lined courtyards and most importantly the array of amenities. Your spacious home could include our new granite counter tops or stainless steel appliances. Newly installed exteriors amenities include a brand new dog park and an outdoor fitness center. Our professional service team is committed to making your life easy. We invite you to make Silver Spring Station your new home."
[Olde Forge Townhomes](https://www.apartments.com/olde-forge-townhomes-nottingham-md/fzq62mv/),410-698-1919,"[1 Waldmann Mill Ct, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1+Waldmann+Mill+Ct,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",,"$1,190 - 1,828","* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed
* $30 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Playground,"* Dishwasher
* Disposal
* Ice Maker
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Cable Ready","* Carpet
* Vinyl Flooring
* Walk-In Closets
* Window Coverings",6 months (premium) 12 months,"* Package Service
* Maintenance on site
* 24 Hour Availability
* Online Services
* Planned Social Activities","* Built in 1977
* 144 Units/2 Stories",* Clubhouse,* Patio,,"Beautiful townhomes close to all of the attractions of Nottingham and White Marsh. Enjoy fully-equipped kitchens, private entrances, and more at Olde Forge."
[Chapel Valley Townhomes](https://www.apartments.com/chapel-valley-townhomes-nottingham-md/ntxykqm/),866-332-7973,"[8 Chapeltowne Cir, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8+Chapeltowne+Cir,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",,"$1,286 - 1,315","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $250
* Dog Fee: $300","Dogs Allowed
Restricted Breeds: Pit Bull, Staffordshire Terrier, American Bulldog, Rottweiler, Mastiff, Great Dane, Doberman Pinscher, Irish Wolf Hound, German Shepherd. 
* $25 Monthly Pet Rent
* $300 Fee
* 25 lb Weight Limit
* 1 Pet Limit",50,50,Surface Lot,"* Pool
* Playground","* Dishwasher
* Disposal
* Ice Maker
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator","* BBQ/Picnic Area
* Beautifully Landscaped
* Cable Ready
* Central Air Conditioning
* Dishwasher
* Disposal
* Easy Access to I-695, I-95 and US 40
* Full-Size Washer and Dryer in Every Home
* Gorgeous Modern Homes
* Gorgeous Modern Homes Sunny, Large Rooms and Big Closets
* Large Rooms and Closets
* Maintenance and Worry Free Lifestyle
* Microwave
* Off Street Parking
* Package Receiving
* Patio/Balcony
* Pet Friendly Community
* Picnic Pavilion
* Private Swimming Pool
* Refrigerator
* Spacious Eat-In Kitchens with Plenty of Cabinets
* Two Bedroom Townhomes
* Walk to Shopping, School & Recreation
* Wall-to-Wall Carpeting
* Worry Free Lifestyle!","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready","* Hardwood Floors
* Carpet
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",12,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 1983
* 172 Units/2 Stories",,* Sundeck,,"Chapel Valley Townhomes offer you a convenient and comfortable lifestyle with a great location. Our two bedroom townhomes are designed with your space and storage needs in mind and offer energy efficient construction, saving you money. Our caring and professional staff, and our location in the heart of Perry Hall are just two more reasons Chapel Valley is the perfect choice for your new home. Please call for an appointment today."
[Spring Hill Apartments & Townhomes](https://www.apartments.com/spring-hill-apartments-townhomes-parkville-md/p30etxv/),443-219-4508,"[11 Springtowne Cir, Parkville, MD 21234](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11+Springtowne+Cir,+Parkville,+MD+21234/data=!4m2!4m1!3e2)",633 - 728 Sq Ft,"$1,061 - 1,362","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $250
* Dog Fee: $300","Dogs Allowed:
Breed Restrictions 
* $25 Monthly Pet Rent
* $300 Fee
* 25 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Ice Maker
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* 24-Hour Emergency Maintenance
* 4 blocks to Park-n-Ride and Shopping
* Bright, Eat-In Kitchen
* Cable Ready
* Central Air Conditioning
* Dishwasher
* Disposal
* Fantastic Location
* Full-Size Washer and Dryer in Every Home
* Huge Rooms and Abundance of Closet Space
* Microwave
* Minutes from I695, Park-n-Ride, Shopping & nState Parks
* Off Street Parking
* One & Two Bedrooms
* Package Receiving
* Pet Friendly
* Private Patio
* Refrigerator
* Wall-to-Wall Carpeting","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",12,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Recycling
* Online Services
* Car Wash Area","* Built in 1987
* 330 Units/2 Stories","* Clubhouse
* Storage Space",* Sundeck,,"Pay only $20 for the first month's rent when you apply before October 27, 2017 and move in by December 27, 2017! Restrictions apply. Call for details."
[Chapel Manor Apartments](https://www.apartments.com/chapel-manor-apartments-nottingham-md/n5qk52q/),844-781-4369,"[4217 Chapel Rd, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4217+Chapel+Rd,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",655 Sq Ft,"$959 - 1,519","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $30
* Cat Fee: $300
* Dog Fee: $300",Pets Negotiable,50,50,"Surface Lot
Open Parking","* Pool
* Playground","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer","* Bark Park
* Extra Storage!","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower","* Carpet
* Vinyl Flooring
* Dining Room
* Family Room
* Den
* Linen Closet
* Double Pane Windows
* Window Coverings
* Accent Walls",,"* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Furnished Units Available
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Pet Play Area","* Built in 1969
* 300 Units/3 Stories
* Furnished",* Storage Space,"* Grill
* Picnic Area",,"Chapel Manor Apartments is a hidden treasure with a country feel. This White Marsh community gives you lots of open space, with quaint farms nearby, but you’re also so close to the great dining and shopping. By being just a few miles outside the beltway, this is an easy commute to anywhere in Baltimore. These Baltimore County apartments feature generous closet space, extra storage on site, and two full baths. We have a commuter bus stop beside the property, a pool, playground, and our Bark Park dog run!"
[Hallfield Apartments](https://www.apartments.com/hallfield-apartments-nottingham-md/86l0lf3/),844-287-2305,"[8517 Heathrow Ct, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8517+Heathrow+Ct,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",725 Sq Ft,"$1,099 - 1,349","* Cat Rent: $30
* Dog Rent: $30
* Water: Included","* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed
* $30 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Playground,"* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Carpet
* Vinyl Flooring
* Dining Room
* Walk-In Closets
* Linen Closet
* Window Coverings",6 months (premium) 12 months,"* Package Service
* Maintenance on site
* 24 Hour Availability
* Recycling
* Online Services
* Planned Social Activities","* Built in 1984
* 75 Units/3 Stories",* Clubhouse,"* Balcony
* Patio",,"Beautiful, fully equipped kitchens and in-home washers & dryers are just a few of the luxurious amenities you'll enjoy at Hallfield Apartments. Just minutes from Honeygo Center, The Avenue at White Marsh, and more, you'll never look far for something to do close by."
[Perry Hall Apartments](https://www.apartments.com/perry-hall-apartments-nottingham-md/qm5w46y/),844-383-5849,"[3831 E Joppa Rd, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3831+E+Joppa+Rd,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",800 Sq Ft,"$849 - 1,040","* Water, Trash Removal, Sewer: Included","* Application Fee: $25
* Cat Deposit: $400","Cats Allowed
* $400 Deposit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available",* Playground,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer","* 24 Hour Emergency Maintenance
* All Brick Construction
* Cable Ready/Satellite*
* Cat Friendly
* Choice of Patio/Balcony
* Dishwasher/Garbage Disposal
* Extra Storage
* FANTASTIC LOCATION!!!
* Free Parking
* Frost Free Refrigerator
* Great Schools
* Individually Controlled Heat/AC
* Large Parking Areas
* NO CHARGE FOR TRASH REMOVAL
* NO CHARGE FOR WATER
* On Site Laundry Facilities
* Perry Hall School District
* Spacious Closets
* Very Spacious Floor Plans
* Wall-to-Wall Carpet","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Satellite TV
* Storage Units
* Tub/Shower","* Hardwood Floors
* Carpet
* Den
* Walk-In Closets",6 - 13 Month Leases,"* Laundry Facilities
* 24 Hour Availability
* Recycling","* Built in 1977
* 704 Units/3 Stories",* Storage Space,* Picnic Area,,"Perry Hall Apartments offers a most desirable way of living. Our apartments are located at the heart of Perry Hall allowing for easy access to Towson, White Marsh, Baltimore City (M&T Stadium, Camden Yards & Inner Harbor) and Harford County. Our inviting apartments offer a fine blend of amenities for your entertaining or relaxation such as: wall-to-wall carpet, individually controlled air/heat, cable, satellite and internet access. Perry Hall Apartment layouts include 1 bedroom apartments, 1 bedroom with den and a huge walk in closet, and a large 2 bedroom apartment with only two apartments per floor allowing for cross ventilation. Perry Hall Apartments is a Cat Friendly Community. Our professional staff looks forward to servicing your needs. Please note that apartments are typically available to move in 3 weeks after the date of application."
[44 Laurel Path Ct Unit 44](https://www.apartments.com/44-laurel-path-ct-nottingham-md-unit-44/7jn5ldx/),410-870-5846,"[44 Laurel Path Ct, Nottingham, MD 21236](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/44+Laurel+Path+Ct,+Nottingham,+MD+21236/data=!4m2!4m1!3e2)",,"$1,325",,,,50,50,Surface Lot,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/8xBsW8dgA3rgqN_5ALMPDEHsugMiL0YsaSRPMqsSuCw/110/44-laurel-path-ct-unit-44-nottingham-md-primary-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/8tvNOwLO-unXgnom5if_W5xTYH6OExZEBH5H1FD31fI/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/d5dSqwA6X-W52MIt4AcB7EY9Fo9LX_M3OUART2ACmHE/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/q_bqxlEbXrWxesJ0-DTK2sXqNWKzFl7HG46oDC8mWZA/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/UrdsHgxh0rfcUll_O0fMXWXPStEPT6T_Gyqwy8HvHbo/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/vcGjjodkBNn3ipIoEi-gIiyjpycGRVN4IOT-e0NxLW4/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/D7IRSFlBOfcgqFoPaI-CtOH4cw5cEdGZZxWTP49ghH8/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/lBObxRLx3V5TdfcSC1uhxutCsdy2iacvqzhr7IhjDT0/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/JgcoO7U9O7X8j1R_vE0MOLGs7x45vJWyRuUcqEFpLBs/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ![Building Photo - 44 Laurel Path Ct](https://images1.apartments.com/i2/xeeIKpOA0XtFFzj7IzaRIBqGBtBkp6yWrNRm9OwAoaA/118/44-laurel-path-ct-unit-44-nottingham-md-building-photo.jpg) ,"PRESENTING WHITE MARSH CONDOMIMIUM FOR RENT	
Carefree Condo living – No outside maintenance!
Southfield at White Marsh – Laurel Path Court at Southfield
Great location close to White Marsh Mall, Interstate 95 and Baltimore Beltway!
This is a move-in ready, middle floor unit with 2 bedrooms and 2 full bathrooms. Located in the back half of the building, the covered porch looks out on maintained lawn with trees. Unit is in excellent shape! Available immediately.
* 	Sunny, bright room off the kitchen can be used for breakfast nook, dining, sunroom or home office. 
* 	Spacious Master Bedroom has walk in closet and new windows.
* 	Both bedrooms with new wall to wall carpet. 
* 	Kitchen contains convenient breakfast bar, double sink, dishwasher, disposal, oven/range and refrigerator. Oven is new!
* 	Hide-away washer and dryer provide for convenient laundry needs. New dryer!
* 	Hardwood floors in the living room/dining area – with brand new area rug. 
* 	Comfortable and energy efficient with electric forced hot air, central air conditioning."
