Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Station On Silver](https://www.apartments.com/station-on-silver-herndon-va/cd1nj1d/),844-489-3665,"[2340 Dulles Station Blvd, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2340+Dulles+Station+Blvd,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",585 Sq Ft,"$1,575 - 2,645","* Unassigned Garage Parking: $35
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
We welcome up to 2 pets per apartment home. Breed restrictions apply. Weight limit is 75lbs each pet. We accept cats and dogs. There is a $50 monthly pet rent. There is also an $400 Non-refundable deposit. Please call our leasing office for complete pet policy. 
* $50 Monthly Pet Rent
* $400 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $35
1 space.",* Fitness Center,,"* Cyber Cafe
* Online Rent Payments
* Swimming Pool
* Theater",* High Speed Internet Access,,None,* Pet Care,"* Built in 2017
* 339 Units/6 Stories",* Business Center,,,"The Dulles Toll Road. Dulles International Airport. And coming soon, Metro's Silver Line. Getting where you need to go couldn't be easier at Station on Silver. And living the way you want doesn't get any better. Green spaces meet cosmopolitan delights. Rooftop views of the Blue Ridge Mountains tantalize the eyes. Amenities aplenty plus convenient resident service offerings. This is a community designed for those on the go. Welcome to modern living in the DMV. Next Stop: Station on Silver."
[Dulles Greene](https://www.apartments.com/dulles-greene-herndon-va/re364d2/),866-343-5666,"[2150 Astoria Cir, Herndon, VA 20170](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2150+Astoria+Cir,+Herndon,+VA+20170/data=!4m2!4m1!3e2)",995 Sq Ft,"$1,473 - 2,400","* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
We accept up to two pets per apartment home. Maximum of 80 lbs allowed. Breed and pet restrictions may apply. Please call for more details. 
* $40 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Spa
* Pool
* Playground
* Tennis Court
* Volleyball Court","* Dishwasher
* Microwave
* Range
* Refrigerator","* *Cardio Theatre TVs
* *Corporate Apartments offered through Suite America
* *Free health club featuring : Stairclimbers
* *Full circuit of top of the line exercise stations
* *Treadmills
* 24-Hour Emergency Maintenance
* Coffee Bar
* Elegantly Furnished Clubroom
* Excellent Access to Major Roads, Shopping, ...
* Excellent Access to Major Roads, Shopping, Dining and Entertainment
* Full-size washer/dryer
* Large Clubhouse with Resort-Style Amenities
* Large Fitness Center with State-of-the-Art ...
* Large Fitness Center with State-of-the-Art Equipment
* Outdoor Fire Pit with Lounge
* Outdoor Grilling and Picnic Areas
* Pet Friendly
* Planned Social Activities
* Resident Lounge
* Resort-Style Swimming Pool
* Sand Volleyball Court
* Scenic Walking Trails
* Theater Room
* Vaulted Ceiling
* Yoga Room / Flex Room","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Fireplace",* Walk-In Closets,Variable,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Pet Care","* Built in 2001
* 806 Units/4 Stories",* Clubhouse,* Balcony,,"Dulles Green features spacious one, two, and three-bedroom homes with upscale features, such as attached garages, cathedral ceilings, and lofts. These garden-style apartment residences are also close to some of the best dining, entertainment, and shopping attractions in the area. Shopping enthusiasts will love living near a variety of retail centers and malls. Reston Town Center is an outdoor shopping center with a diverse blend of stores, including Talbots, Athleta, Gap, and Anthropologie. At Dulles Town Center, you will find popular department stores such JCPenney, Macy's, and Nordstrom in an indoor mall setting. For groceries and household essentials, both Fresh World and Safeway are nearby as well. This area also includes plenty of entertainment and dining attractions close by. Play a round of golf at Herndon Centennial Golf Course or catch a movie at AMC Worldgate 9. Visit Frying Pan Park and take a walk through the animal barns, ride on the carousel, enjoy a hayride, or hike ..."
[The Point at Dulles](https://www.apartments.com/the-point-at-dulles-herndon-va/tkx31mb/),571-748-3557,"[13690 Legacy Cir, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13690+Legacy+Cir,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",783 Sq Ft,"$1,237 - 2,651","* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Admin Fee: $175
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
Breed Restrictions apply. Call for Details. 
* $40 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,"Garage
1 space; Assigned Parking. Garage and assigned parking","* Fitness Center
* Playground",,"* 24-hour Emergency Maintenance
* BBQ Grill and Picnic Area
* Coffee Bar with Complimentary Coffee
* Community tennis court
* Cyber cafe for comfortable web surfing and ...
* Cyber cafe for comfortable web surfing and business needs
* Park and Playground Area
* Pet-friendly
* Resort style swimming pool
* Valet Trash",* High Speed Internet Access,,Variable,,"* Built in 2000
* Renovated in Jan 2006
* 312 Units/4 Stories","* Business Center
* Clubhouse",,,"TREAT YOURSELF TO SOMETHING EXTRAORDINARY AT THE POINT AT DULLES. You insist on perfection - and at The Point at Dulles, that's exactly what you'll find, from the interior of your apartment home to our exemplary service to its ideal location. Satisfy your desire to have things exactly the way you want them in one of our 17 unique floor plans that include lofts and townhomes with attached garages, in a highly coveted neighborhood that will exceed even your highest standards. Live with your best foot forward in a residence whose features and finishes rival those found in Northern Virginia's luxury custom homes. Keep your professional (and personal) connections humming at The Spot: Interactive Cyber Cafe. The Point at Dulles offers Free Shuttle Service to the Silver Line Metro. Select from Northern Virginia's finest offerings. Please call for an appointment today."
[Ashton at Dulles Corner](https://www.apartments.com/ashton-at-dulles-corner-herndon-va/sg6s7q6/),855-232-4608,"[13958 Mansarde Ave, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13958+Mansarde+Ave,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",696 Sq Ft,"$1,357 - 4,917","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs and Cats Allowed:
The Ashton at Dulles Corner is a pet friendly community. We accept two cats or dogs per apartment home. There is a $350 non-refundable pet fee upon move in and a $40 monthly pet rent. A combined 70 lb. weight limit is in force and breed restrictions are as follows: Pit Bull, American Staffordshire, Rottweiler, Dalmatian, Doberman, Pinscher, Chow, Spitz, Akita Bull Mastiff and German Shepherd. 
* $40 Monthly Pet Rent
* $350 Fee
* 70 lb Weight Limit
* 2 Pet Limit",50,50,Covered and Other,"* Fitness Center
* Cardio Machines
* Free Weights
* Spa
* Pool
* Bike Storage
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water","* 24-Hour Emergency Maintenance
* Billiards Lounge
* Built-In Computer Niche*
* Business Center
* Controlled Access Building
* Courtyards with Gas Grills
* Full-Size Washers & Dryers
* Gazebo
* On-Site Storage Available
* Outdoor Swimming Pool
* Reserved Parking Spaces Available
* Walking Paths with Doggie Stations","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Storage Units
* Double Vanities
* Tub/Shower
* Fireplace
* Sprinkler System","* Carpet
* Tile Floors
* Dining Room
* Den
* Sunroom
* Built-In Bookshelves
* Crown Molding
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Linen Closet
* Loft Layout",Variable,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Security System
* Bilingual
* Recycling
* Online Services","* Built in 2009
* 435 Units/4 Stories","* Elevator
* Clubhouse","* Gated
* Courtyard
* Grill",,"The moment you turn into Ashton at Dulles Corner you can just tell that things are going to be different here. It's every bit the picture of a welcome respite from a hectic world. The sprawling lawns and towering trees evoke a feeling of spaciousness - and lots of it. You just know that this is the kind of place where you can unwind and spread out, where you can recharge and live large. We take the concept of living large quite literally at Ashton at Dulles Corner. Our apartment homes are the largest in the Dulles Tech Corridor, in fact, giving you 200+ square feet more living space on average than neighboring communities. The finishes are exquisite - these homes were originally built as luxury condominiums and it shows - with crown molding, granite counters, upgraded fixtures and premium appliances. The tastefully appointed apartments in Herndon, VA are matched only by a thoughtful amenities package including our e-lounge with coffee bar and Wi-Fi, social lounge and well-equipped ..."
[Westerly at Worldgate Apartments](https://www.apartments.com/westerly-at-worldgate-apartments-herndon-va/xy6w54m/),855-281-3287,"[13000 Wilkes Way, Herndon, VA 20170](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13000+Wilkes+Way,+Herndon,+VA+20170/data=!4m2!4m1!3e2)",673 - 704 Sq Ft,"$1,444 - 2,850","* Cat Rent: $35
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs Allowed:
We welcome 2 pets (dogs or cats) per apartment home. There is a $400 non-refundable pet fee for the first pet and $200 for the second pet. Pet rent is $50 per month. Ten aggressive breeds are prohibited. Restricted breeds are as follows: Rottweiler German Sheperds Doberman Pinscher Pit Bull Terrier/Staffordshire Terrier Chow Spitz Akita Additional breed restrictions could apply and be property specific. 100 lbs. maximum combined weight. 
* $50 Monthly Pet Rent
* $400 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,Surface Lot,,"* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Business center
* Fitness Center
* Hiking & Jogging Trails
* Interior Sprinkler System
* Mature Tree-filled Community
* Outdoor Swimming Pool
* Pet Friendly Community
* Professional On-Site Management
* Renters Insurance Program
* Sun Deck
* TV Lounge
* Cable & Satellite TV Available
* Fireplace*
* Full-Sized Washer & Dryer
* High Speed Internet Access
* In Select Apartment Homes*
* Linen Closet
* Mini-Blinds
* Nine Foot Ceilings","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm
* Tub/Shower
* Fireplace","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Dining Room
* Views
* Linen Closet",Variable,,"* Built in 1996
* Renovated in Jan 2000
* 188 Units/4 Stories",* Clubhouse,"* Balcony
* Barbecue/Grill",,"Welcome to Westerly at Worldgate, where we offer the best in Herndon, Virginia, apartments. The world will be at your fingertips with all we have to offer in these homes. The location of our apartments will keep you close to work, recreation, and anything else you may desire. We are excited to offer you a luxury apartment living experience that cannot be beaten. Westerly at Worldgate offers all you could ask for in residential living. Our apartments and apartment community offer many high-end amenities that you are sure to love. Whether it be the fully equipped kitchen in your home or the business center in our apartment community, we have everything that you could possibly need in a home and community. We offer everything you need for work, relaxation, and recreation. We offer a wide selection of floor plans in many different varieties. These one- and two-bedroom layouts come in all shapes, sizes, and styles, so you can find the home that best suits your unique needs. The one ..."
[The Townes At Herndon Center](https://www.apartments.com/the-townes-at-herndon-center-herndon-va/fhergvv/),703-994-4557,"[508 Pride Ave, Herndon, VA 20170](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/508+Pride+Ave,+Herndon,+VA+20170/data=!4m2!4m1!3e2)",,"$1,575 - 3,843",,"* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
We welcome 2 dogs or cats per apartment home. The non-refundable pet fee is $400 for the 1st pet and $200 for an additional pet. Monthly pet rent is $50 and breed restrictions apply. 
* $400 Fee
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground","* Dishwasher
* Refrigerator","* Complimentary Community Social Activities
* Curbside Trash Pick-up
* Dog Park
* Hiking & Jogging Trails Nearby
* Pet-friendly Community
* Professional On-site Management
* Renters Insurance Program
* Resort-quality Swimming Pool with Expansive ...
* Walk to Shops in Charming, Historic Downtown ...
* 2 & 3 Bedroom Luxury Rental Townhomes
* Alarm System Ready
* Built-in Stainless Steel Microwave*
* Central Heat & Air Condiitoning
* Crown Molding
* Full-sized Washer & Dryer*
* Hardwood Plank Flooring in Living, Dining & ...
* In Select Apartment Homes*
* Nine Foot Ceilings
* Polished Quartz Counters*
* Stainless Steel Appliances*","* High Speed Internet Access
* Air Conditioning
* Ceiling Fans
* Fireplace",* Walk-In Closets,Variable,* Pet Care,"* Built in 2002
* 216 Units/3 Stories",* Clubhouse,* Balcony,,"The Townes at Herndon Center offers luxurious living and so much more. Unlike other apartment communities, the Townes features roomy two and three bedroom townhomes with attached car garages and private driveways. Look forward to coming home every day as you'll have privacy and space in your own townhome. Our beautiful townhomes feature traditional and upgraded interiors offering a modern, unique feel and luxury finishes including stainless steel appliances and polished black quartz countertops, ample cabinets space with pantries, and a hardwood plank flooring throughout the kitchen, living, and dining area. These Herndon townhomes feature many community amenities you'll surely appreciate. The spacious Off-The-Leash dog park in these pet-friendly townhomes in Herndon will make your four-legged friends feel right at home. The two-story clubhouse features a large room for party space and a 24-hour fitness center with ample cardio equipment. There's also a gorgeous oversized swimming ..."
[Woodland Park](https://www.apartments.com/woodland-park-herndon-va/cywwgpd/),866-503-7890,"[13025 Elm Tree Dr, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13025+Elm+Tree+Dr,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",832 Sq Ft,"$1,283 - 3,802","* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Admin Fee: $400
* Application Fee: $50
* Cat Deposit: $450","Dogs Allowed:
No Weight Limit. No Pit Bulls and Pit Bull Mixes Woodland Park loves your pets! Each apartment may have up to (2) pets. Pet fees and pet rent may vary. Please speak to a leasing associate for more information. 
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Tennis Court",,"* 24-Hour Internet Café with Computer and Printer
* Air Conditioner
* BRAND NEW Dog Park
* BRAND NEW Outdoor Fitness Park
* Cable Ready
* Carpeting
* Ceramic Tile in Bathrooms*
* Clubhouse with Catering Kitchen
* Custom Kitchen Cabinetry with Granite Counters*
* Dishwasher
* Efficient Appliances
* Electronic Thermostat
* Fireplaces*
* Floor to Ceiling Windows
* Full Sized Washer and Dryer
* High Ceilings
* High speed Internet and cable TV
* Intrusion Alarms
* Monthly Resident Activities
* Oversized Stainless Steel Smart Appliances
* Package Receiving
* Rentable Pub Room with TV's
* Renter Rewards Program
* Terraced Patio/Balconies in Select Units
* Walk-In Closets",* High Speed Internet Access,,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",* Maintenance on site,"* Built in 2000
* 753 Units/4 Stories",,* Gated,,"Woodland Park is set within the Dulles technology corridor in prestigious Herndon, VA, and conveniently located in close proximity to Washington, D.C., Reston and Dulles. Ideally located just off Rt. 28 and the Dulles Toll Road you are just minutes from Dulles International Airport and Herndon Monroe Park and Ride and close to the community is nearby shopping centers at Reston Town Center, Worldgate and Historic Herndon."
[Avalon Woodland Park](https://www.apartments.com/avalon-woodland-park-herndon-va/9pe7xn7/),888-383-1649,"[2399-2399 Glen Echo Rd, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2399-2399+Glen+Echo+Rd,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",721 Sq Ft,"$1,436 - 2,042",,"* Amenity Fee: $450
* Application Fee: $50
* Other: $200",No Pets Allowed,50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Volleyball Court","* Dishwasher
* Disposal
* Ice Maker",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Fireplace
* Wheelchair Accessible (Rooms)","* Carpet
* Crown Molding
* Walk-In Closets",Flexible,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site","* Built in 2000
* 392 Units/4 Stories",* Business Center,"* Gated
* Sundeck
* Grill",,"Avalon Woodland Park in Herndon, VA offers 1, 2, and 3 bedroom apartments in a stellar Fairfax Country location. Apartment homes come with private balconies and patios, in unit washer and dryer, and spacious closets. Located near Tysons Corner, Reston, and the Dulles airport, this pet friendly community features a state of the art fitness center, sand volleyball court, pool, WiFi in common areas, and a children’s playground."
[Halstead Dulles](https://www.apartments.com/halstead-dulles-herndon-va/btz3r89/),888-461-5075,"[13161 Fox Hunt Ln, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13161+Fox+Hunt+Ln,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",964 Sq Ft,"$1,401 - 2,612","* Assigned Covered Parking: $70
* Assigned Garage Parking: $50
* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $450
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs Allowed:
Breed restrictions may apply. $400 Fee for One Pet and $600 Fee for 2 Pets Fees and pet rents are per pet. Two pets max per apartment home. Please contact the office for a full list of restricted breeds. 
* $45 Monthly Pet Rent
* $400 Fee
* 85 lb Weight Limit
* 2 Pet Limit",50,50,"Covered: $70
1 space; Assigned Parking. First spot is free. Fees apply.","* Fitness Center
* Fitness Programs
* Pool
* Bike Storage","* Dishwasher
* Ice Maker
* Pantry
* Kitchen
* Microwave
* Oven
* Refrigerator
* Freezer","* AppleTV
* Individual Climate Control
* Large Closets
* VirtualGolf","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready","* Carpet
* Walk-In Closets",,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Recycling
* Pet Washing Station","* Built in 2004
* 244 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space",,,"Enjoy unrivaled amenities in a luxurious setting located in an unbeatable area at the Halstead Dulles Community. This Best of Herndon award-winning property is right by popular spots like Herndon, Reston, Dulles International Airport, Washington & Old Dominion Trail, Great Falls Park, George Mason University and the Reston-Wiehle Metro Station. Each home here includes a breakfast bar, gourmet kitchens, private balcony and patio, and designer bathrooms. Community-wide amenities include a fully stocked fitness center, resort-style pool and spa, and inviting resident lounge. Read on to discover the true value of elevated living with Halstead Dulles's full list of modern features and amenities."
[The Point at McNair Farms Apartment Homes](https://www.apartments.com/the-point-at-mcnair-farms-apartment-homes-herndon-va/sqcqk95/),571-748-5015,"[2511 Farmcrest Dr, Herndon, VA 20171](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2511+Farmcrest+Dr,+Herndon,+VA+20171/data=!4m2!4m1!3e2)",585 Sq Ft,"$1,252 - 2,043","* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Admin Fee: $350
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
$400 pet fee (non-refundable) No size limit, but dog breed restrictions apply. Call for Details. 
* $40 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking. Reserved Parking Available.","* Fitness Center
* Playground",,"* Community tennis court
* FREE Shuttle to the Metro Silver Line
* Pet Friendly
* Resort style swimming pool
* The Spot: Interactive Cyber Cafe
* Wooded setting with relaxing courtyard areas",* High Speed Internet Access,,Variable,,"* Built in 1991
* 283 Units/3 Stories",* Clubhouse,,,"In the Dulles corridor, you've always been able to find the tech savvy. Now the style savvy have a home, too. At The Point at McNair Farms, you'll finally find an apartment that lets you live just how you want. Surrounded by amenities. Close to work. And completely in style. Whether you need to be on-the-go or want to take it slow, The Point at McNair Farms has something for you. Spend an afternoon relaxing in the sun at our fabulous resort-style pool. Or catch up on work at our fully-equipped business center. The Point at McNair Farms offers Free Shuttle Service to the Silver Line Metro Station. Then, when your day is through, you'll love coming home to a comfortable apartment home with all the details that fit your style. Please call for an appointment today."
