Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Verona at Landover Hills](https://www.apartments.com/the-verona-at-landover-hills-landover-hills-md/erhn88m/),855-766-2935,"[4085 Warner Ave, Landover Hills, MD 20784](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4085+Warner+Ave,+Landover+Hills,+MD+20784/data=!4m2!4m1!3e2)",681 Sq Ft,"$1,130 - 1,635","* Assigned Street Parking: $40
* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
The Verona at Landover Hills is a pet friendly community. We currently accept a maximum of 2 cats or 2 dogs with certain breed exception. There is a $300 pet deposit and $30 pet rent. Maximum weight is 25 lbs at maturity per pet. A signed pet addendum is required at the time of move-in. Please call our leasing office for more details. The Verona at Landover Hills is a pet friendly community. We currently accept a maximum of 2 cats or 2 dogs with the exception of the following breeds: Pit-bulls, Rottweilers, Chows, Akitas, American Staffordshire, Shar-Pei, Bull Terriers or any a... 
* $300 Deposit
* $30 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",* Range,"* 24hr. Emergency maintenance
* Conveniently Located Near Shopping, Metro, BW ...
* Conveniently Located Near Shopping, Metro, BW Parkway & I-495
* Dog Park
* Grilling Area
* Olympic-Style Swimming Pool
* Berber carpets living/dining
* Ceiling fan guest bedroom
* Ceramic tile backsplash
* Eat-in area
* New Cabinets
* Remodeled Unit
* Walk-in closets master bath",* High Speed Internet Access,,12 months,"* Laundry Facilities
* Pet Care","* Built in 1964
* 73 Units/4 Stories",* Clubhouse,* Balcony,,"Whether you sunbathe by the Olympic-style swimming pool or you cruise into downtown Washington for a bite to eat, The Verona at Landover Hills is your ticket to the best of DC area living. Located twenty minutes north of the White House, this community of 1, 2, and 3 bedroom apartments features beautiful upgrades throughout the entire property. Come inside this oasis of modern luxury and experience the finest apartments in the DC metro area. Please call for an appointment today!"
[Century Summerfield @ Morgan Metro](https://www.apartments.com/century-summerfield-morgan-metro-landover-md/wctln0h/),866-536-9836,"[8100 Gibbs Way, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8100+Gibbs+Way,+Landover,+MD+20785/data=!4m2!4m1!3e2)",724 Sq Ft,"$1,261 - 2,367","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $250
* Application Fee: $35
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
We welcome a maximum of 2 pets per apartment home. No weight limit, breed restrictions apply. For more information, please call our leasing office. 
* $40 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Pool",,"* Car wash area
* Clubroom
* Door-to-door trash pickup
* Lounge area with high-definition TV
* Metro accessibility
* Picnic areas with gas grills
* Resort-style pool
* State-of-the-art fitness center
* Structured parking deck
* Verizon FiOS Internet
* Wi-fi cyber caf√©
* Wi-fi cyber cafe",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2007
* 301 Units/4 Stories","* Clubhouse
* Lounge",* Gated,,"Our spacious one, two and three bedroom floor plans were thoughtfully designed to include designer touches and extra details like fireplaces, 9-foot ceilings, granite countertops, built-in bookshelves, washer/dryer, garden bathtubs and expansive walk-in closets. Our pet friendly community also includes family-friendly amenities like relaxing picnic areas with grills, a resort-style swimming pool, Wi-Fi cyber cafe, state-of-the-art fitness center and a lounge area with HDTV. Century Summerfield at Morgan Metro is perfectly located just steps from the metro and minutes to the Capital Beltway making it easy to get around DC or enjoy our neighborhood shopping, dining and entertainment venues including FedEx Field."
[Columbia Park Apartments](https://www.apartments.com/columbia-park-apartments-landover-md/7b7rnww/),844-891-3692,"[2014 E Marlboro Ave, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2014+E+Marlboro+Ave,+Landover,+MD+20785/data=!4m2!4m1!3e2)",685 Sq Ft,"$1,045 - 1,401",* Trash Removal: Included,"* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
We are unique in our area because we have a LOT of free parking for residents and their guests! Our ample surface lots have unreserved spaces. Residents and visitors parked in our lots must display a current community issued permit at all times.","* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* Terrace Level w/patio
* utilities not included in rent
* you pay gas, electricity & water/sewer","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV",* Walk-In Closets,12 months (6 months avail. - call for details),"* Laundry Facilities
* Property Manager on Site
* Shuttle to Train
* Laundry Service
* Pet Play Area","* Built in 1965
* 111 Units/3 Stories",* Breakfast/Coffee Concierge,* Balcony,,"Columbia Park Apartments in Landover, MD offer spacious 1, 2 and 3 bedroom homes. Weíre at the center of everything you need. Public transit is at your doorstep - Metro bus F12 stops here, 2 blocks to F14 and A12. Minutes to orange and silver Metro lines at Cheverly station. Minutes to major highways: Route 50, I-295 and I-495/I-95. 5 minutes to the Washington DC border on New York Avenue. 10 minutes to Safeway, Giant, Wal-Mart, Costco, Target, Woodmore Towne Center, Largo Town Center, PG Community College, UMUC Largo and Bladensburg Waterfront Park. One block to Columbia Park Community Center and 5 minutes to PG County Sports & Learning Complex. Apartment features include a large living area with room for lots of furniture, sliding glass doors to extra-large covered balcony or patio, spacious kitchen, walk-in closets, wonderful natural light from large windows (we provide blinds throughout), and central heat and air conditioning. Utilities are not included in your rent ñ you pay for gas, electricity, and water/sewer. Cats are welcome. Property features include relaxing swimming pool with sundeck, central play area, laundry and mailboxes in each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.columbiaparkapartments.com."
[Lansdowne Village](https://www.apartments.com/lansdowne-village-landover-md/xr5d4gp/),844-891-5705,"[1720 Brightseat Rd, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1720+Brightseat+Rd,+Landover,+MD+20785/data=!4m2!4m1!3e2)",710 - 855 Sq Ft,"$948 - 1,486",* Trash Removal: Included,"* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
Parking is on our surface lots. Parking is free & are no assigned spaces - residents must display a community-issued parking permit at all times. Visitors may park anywhere on-site from 6AM-Midnight, after which they must display a parking permit.","* Pool
* Playground
* Basketball Court
* Tennis Court","* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Ceiling Fans
* Cable Ready
* Satellite TV","* Hardwood Floors
* Carpet
* Dining Room
* Walk-In Closets",12 months (6 months avail. - call for details),"* Laundry Facilities
* Day Care
* Property Manager on Site
* Laundry Service","* Built in 1963
* 346 Units/3 Stories",,"* Sundeck
* Courtyard
* Grill
* Picnic Area",,"Lansdowne Village in Landover, MD near Washington, DC offers huge studio, 1, 2 and 3 bedroom apartments. Weíre at the center of everything you need. Public transit is at your doorstep ñ The Bus #22 stops here and a short walk to MetroBus C21 and C22. 5 minutes to the silver & blue DC Metro lines at Largo Town Center or Morgan Blvd. One minute to the Beltway (I-495/ I-95) and 5 minutes to Route 50. 5-10 minutes to virtually everything you need for everyday living ñ grocery stores, Largo Town Center, Woodmore Towne Centre, Blvd. at Cap Center and more. Minutes from the Prince George's Sports & Learning Complex, gyms, PG Community College & UMUC Academic Center. Apartment amenities include a large living area with room for lots of furniture, sliding glass doors to large covered balcony or patio, open kitchen with breakfast bar, pantry and plenty of space, bedrooms with huge walk-in closets, wonderful natural light from large windows (we provide blinds throughout), great views of landscaped courtyards, and central heat and air conditioning. Cats are welcome. Utilities not included in rent ñ you pay gas, electricity, and water/sewer. Property features include a relaxing pool with sundeck, two play areas, basketball court, laundry in almost all apartment buildings and mail delivery just inside each building, on-site management and 24-hour emergency maintenance. For more information and availability, visit www.lansdownevillage.com."
[Overland Gardens Apartments](https://www.apartments.com/overland-gardens-apartments-hyattsville-md/nrnvlhp/),844-754-4435,"[3119 75th Ave, Hyattsville, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3119+75th+Ave,+Hyattsville,+MD+20785/data=!4m2!4m1!3e2)",,"$1,326 - 1,544","* Assigned Garage Parking: $150
* Water, Trash Removal, Sewer: Included",* Application Fee: $22,No Pets Allowed,50,50,"Surface Lot
Max 2 permits per household","* Fitness Center
* Free Weights
* Weight Machines
* Pool
* Playground","* Dishwasher
* Disposal
* Pantry
* Kitchen
* Oven
* Range
* Refrigerator
* Breakfast Nook",* Free after school program,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Walk-In Closets",,"* Maintenance on site
* 24 Hour Availability
* Recycling
* Online Services
* Planned Social Activities","* Built in 2005
* 409 Units/3 Stories","* Business Center
* Clubhouse
* Multi Use Room",* Fenced Lot,,"Overland Gardens offers spacious two and three bedroom apartments, each with its own washer and dryer, pantry, computer nook and fully equipped kitchen. We are conveniently located in Landover, Maryland, just walking distance to the Landover Metro and close to major interstates. At the center of this brand-new, dynamic community sits a 6,500 square foot community center containing an after-school club, computer lab, community room, fitness center and pool."
[The Ivy Club](https://www.apartments.com/the-ivy-club-landover-md/8jm2wd0/),844-682-3096,"[1127 Ivy Club Ln, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1127+Ivy+Club+Ln,+Landover,+MD+20785/data=!4m2!4m1!3e2)",714 Sq Ft,"$1,396 - 2,118","* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $29
* Cat Fee: $375
* Dog Fee: $375","Dogs and Cats Allowed:
Call for pet policy information. Cats, Dogs, and Ordinary Pets are allowed. $400 Non-Refundable Deposit. $350 per Additional Pet. $25 Monthly Rent. American Staffordshire terrier, American Pit Bull terrier, mixed breed Pit Bull, German Shepard, Doberman, Rottweiler are Prohibited. 
* $25 Monthly Pet Rent
* $375 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking. Reserved parking is available for only $50 per month.",,,"* Cable ready
* Complimentary Membership to Prince Georges ...
* Complimentary Membership to Prince Georges County Sports and Learning Complex
* Gated Community with Access Control System for ...
* Gated Community with Access Control System for Each Building Entrance
* Individual Temperature Control
* Online Payment Available!
* Pets Welcome!
* Smoke Free Community starting September 2018!
* Verizon Fios and Comcast
* Bathroom with Vanity
* Designer Mini Blinds throughout your apartment ...
* Intrusion Alert Systems
* Spacious Bedroom with ceiling fan!
* Spacious Walk In Closets
* Wall-to-Wall Carpeting",* High Speed Internet Access,,Variable,* Maintenance on site,"* Built in 1968
* Renovated in Jan 2002
* 283 Units/3 Stories",,,,"We've taken this convenient address and created a look and feel that is exclusive, yet still quite affordable. Gourmet kitchens, full size in-unit washers/dryers, walk-in closets and ceiling fans are only a few of the many design considerations and thoughtful details that you will appreciate. Quality and exclusivity continue throughout our gated community. Access control systems are featured at each building entrance. Each individual apartment includes an intrusion alert system that is monitored 24 hours a day, every day of the year. While living at The Ivy Club, you'll enjoy a complimentary membership to Planet Fitness and the indoor swimming pool located at the Prince George's Sports and Learning complex, the premier health, fitness and swimming facility in the Washington Metropolitan area. If you are familiar with Landover, you already appreciate our location - easy access to Washington D.C., moments from the Beltway and public transportation, nearby quality shopping and within ..."
[Cheverly Station Apartments](https://www.apartments.com/cheverly-station-apartments-landover-md/tzr7x6b/),844-288-9187,"[6501 Landover Rd, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6501+Landover+Rd,+Landover,+MD+20785/data=!4m2!4m1!3e2)",722 Sq Ft,"$1,134 - 1,672","* Cat Rent: $50
* Dog Rent: $50
* Water, Trash Removal, Sewer: Included","* Application Fee: $37
* Cat Fee: $240
* Dog Fee: $240","Dogs Allowed:
Cheverly Station is a dog and cat, pet-friendly community. We allow a maximum of 2 pets (dogs or cats) per apartment. Pet fees, deposits and breed restrictions apply. The following breed restrictions include dogs that are known to be aggressive towards strangers and / or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted. Restricted Pet Breeds are the following: * American Pit Bull Terrier, American Bulldog, Doberman Pincher, Rottweiler, German Shepherd, Tosa Inu, Staffordshire Terrier (American or Bull), Bull Terrior, Mastiff, Bullmastiff, Presa Canario, Cane Corso, Siberian Husky, Malamute, Wolf-Dog Hybrid, Great Dane, St. Bernard, Akita, Chow-Chow. 
* $50 Monthly Pet Rent
* $240 Fee",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground",* Range,,"* High Speed Internet Access
* Heating
* Smoke Free
* Cable Ready",* Window Coverings,12 months,* Concierge,"* Built in 1963
* Renovated in Jan 2012
* 555 Units/3 Stories",,* Gated,,"There's work time. And there's play time. But youll never have a hard time getting to either one when you live at Cheverly Station. There's plenty to do right in the neighborhood of your apartment for rent in Washington, DC metro area. While a short hop puts you on two major highways. And for the ultimate convenience, your very own Metro station is ready to whisk you away. * Great shopping, dining and entertainment nearby * Minutes to PG Hospital * Quick access to I-495/I-95, the B-W Parkway and Rte. 50 * Close to Cheverly Metro"
[Kent Village](https://www.apartments.com/kent-village-landover-md/qkmvb4y/),844-805-1461,"[6707 Hawthorne St, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6707+Hawthorne+St,+Landover,+MD+20785/data=!4m2!4m1!3e2)",597 Sq Ft,"$1,047 - 1,497","* Cat Rent: $25
* Dog Rent: $25
* Gas, Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Dogs Allowed:
Two cat maximum. $10 per cat. No Dogs are permitted in apartments but are permitted in townhomes. Dogs can not exceed 40 pounds at full. growth. Aggressive breed restrictions. Dogs in Townhomes only 
* $25 Monthly Pet Rent
* 35 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space. Parking Available. 1 space per lease holder.",* Playground,"* Kitchen
* Range","* Bus Stop On-Site
* Cable, Central A/C, Internet
* Ceiling Fans
* Chandeliers
* Furnishings Available
* Learning Center
* Military Housing
* Renovated Apartments Now Available
* Spacious Closets
* Townhomes Have Patios
* Walking Distance To Metro Orange Line
* Washer Dryer In Townhomes
* Windows In Kitchens and Bathrooms","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",12,"* Laundry Facilities
* Courtesy Patrol
* Recycling","* Built in 1949
* 810 Units/2 Stories",,,,"Welcome home to Kent Village Townhomes and Apartments where superior service and a long list of amenities, plus the dedication of our team means you can expect complete satisfaction. We are located within minutes of downtown D.C."
[Jericho Residences](https://www.apartments.com/jericho-residences-landover-md/9v2zf34/),,"[1000 Brightseat Rd, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1000+Brightseat+Rd,+Landover,+MD+20785/data=!4m2!4m1!3e2)",,"$1,680","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $31
* Cat Deposit: $500
* Dog Fee: $50
* Dog Deposit: $500","Dogs Allowed:
Restricted Breeds according to lease provisions. 
* $500 Deposit
* $50 Monthly Pet Rent
* $50 Fee
* 30 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
185 spaces. Parking assignments for ADA resident's in need.","* Fitness Center
* Fitness Programs
* Media Center/Movie Theatre",,"* Arts & Crafts Room
* Barber Shop & Beauty Salon
* Billiards
* Bocce and Horseshoe Court
* Chapel
* Individual Climate Control
* Large Closets
* On-site Classroom",* High Speed Internet Access,,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Recycling
* Meal Service
* Energy Star Certified","* Built in 2009
* 270 Units/4 Stories
* Energy Star Rated","* Elevator
* Business Center
* Conference Room
* Library",* Courtyard,![Primary Photo - Jericho Residences](https://images1.apartments.com/i2/mG9znDiwDpHhR3m12i-qZNvURz0M5stkL0F-wqCKDfc/117/jericho-residences-landover-md-primary-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/yOQXeIli-ahEeSYdECcH396zG29yOQ5n9N7FrHWrV6Q/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/Sgs6nHV5eXxHz3S0p68-_EirV55G1G-cnI9y_PfEfvc/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/5_5vB_74hYE_oQB2wuCpJIg-CSXKNe-vlp672jeG94k/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/t1TXSUORFNy4fbPg4XaxvzdbnJlMBK-KS54uk2DAxmM/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/HjXcuhQNVUnHFUnGkBVRO4n1q7TaM0Vknu8CAZcl_KQ/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/hrh18FZxK3aOGa7JSs_TqGbkQtLDPZ0vCQfLDOZtBzU/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/OOCN2dNnSF0PrmK8HhQXHJjWS8QWH79Yx7G0wUpEh-Q/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/lLPMCi7g9UxBaSSVAc1SDrRbNfh5_lGdK8gQARMBoCw/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/GkEs3kKbWWKFq_egQUG70A968zZTCuh8dMh0DUUMfNc/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/as_i43aVONfYahskqXQJ-Dzbn_Oay_1_i8VqrQwgAxY/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/Y3o4pRsjvoQnpQUzYoKh1hWy00StL95rFPTtrkfgDUo/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/bnc8FM4UM9wvAOKCmpMQCWU_aLvcJAhjBvNxNv8W0YY/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/CdTepKxNK3Ck0R0wNVQl-wM8uJbntksVzxzbIWjy3js/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/My4KfcHIaYWQCoh5CigRtlehILSu2WY-T-mkGchVuz8/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/rmQ9HnixECUcfTCFyt9AKBrASkaXQkj8twSnJo63s3A/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/4XqXrvIQT1pI0YY731iVocXKHv8nF2OMY3EvAQb6Dd4/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/gL5B27-hb4XK6_925qghYoOIYtZbQ6VlgWxT7YYePwY/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/CLP7p1hHNokk53xcNeeLy0Mx9bEJc-9bbUL-F4ZBASQ/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/k6qbZanE35Y72Dw4IKjUWXXLtPtl1tMOBDMHwPIMgHI/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/3Qq4ByUb7_YT74NH3oJBQd4YKEY6tfVXS7IpYPfOWpU/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/LLPj6OCopX8Ynw2L8oOY8p8gT6eXflCumdbebcb9xrk/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/rfe24HN4kvEqiRTi4FM1z8JfNwtmP9WpfrWJkU46xZU/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/p8-7NKilEFVyCMYkcf1oDZFXBvNQUkVqD-Bq4Fi7Gog/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/LU8ezjs5V5k4_vempjkO4uUQAF0tnlNtzIqKbHi3-f4/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/lkMx4B9bwAhia0OJdjtp8Qb0-DkWI1DXM8sfHedVqaA/117/jericho-residences-landover-md-building-photo.jpg) ![Building Photo - Jericho Residences](https://images1.apartments.com/i2/ogO5FGRYeKe7rFCKP9MT328H7o6evDCDaSesLLDoMkU/117/jericho-residences-landover-md-building-photo.jpg) ![Floorplan - Jericho Residences](https://images1.apartments.com/i2/9vwS1qTHI9_43LYLLGj95HckoC3ztm91JdH1f2T6YeA/117/jericho-residences-landover-md-floorplan.jpg) ![Floorplan - Jericho Residences](https://images1.apartments.com/i2/pUUBdHKOP776DXC7R3fySRAj_s6zTjRR-_FpFrS6Di4/117/jericho-residences-landover-md-floorplan.jpg) ![Floorplan - Jericho Residences](https://images1.apartments.com/i2/Fa7r6RolFty-1vwBr3nmljv1M8mR2s8As8rZYmNGKMk/117/jericho-residences-landover-md-floorplan.jpg) ![Floorplan - Jericho Residences](https://images1.apartments.com/i2/XHlgoPrAlbmhfhEhWGoEkBNq8VUyX2IvttL2tguz_o8/117/jericho-residences-landover-md-floorplan.jpg) ![Floorplan - Jericho Residences](https://images1.apartments.com/i2/cZRH4CPYt_yZRV0HsP-vVcoZRojrACn04v-UJF15cd0/117/jericho-residences-landover-md-floorplan.jpg) ![Floorplan - Jericho Residences](https://images1.apartments.com/i2/wu546NpYSQJUK-D7bPaqRnNZLDS44qu0oTTI1QHoGbk/117/jericho-residences-landover-md-floorplan.jpg) ,"Active adults will fall in love with the luxurious Jericho Residences. Its Landover, Maryland location is truly stellar; top sites like The Boulevard at Capital Centre, FedEx Field, Prince George's Community College, Watkins Regional Park are all nearby. Each home here features elegant kitchens with designer countertops, emergency call buttons, full-size washer/dryer and black GE appliances as well. The community includes top amenities like state-of-the-art fitness center, dog-walking park, group exercise classes, chapel, library and a cozy theater room. There's seemingly no end to the luxury amenities available at the Jericho Residences apartments."
[6986 Hawthorne St](https://www.apartments.com/6986-hawthorne-st-landover-md/n3h0tsm/),,"[6986 Hawthorne St, Landover, MD 20785](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6986+Hawthorne+St,+Landover,+MD+20785/data=!4m2!4m1!3e2)",,"$1,500",,,,50,50,Covered and Other,,"* Dishwasher
* Microwave
* Oven
* Refrigerator",,"* Washer/Dryer
* Air Conditioning",,,,,,,![Primary Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/_RobAJyiZIy1ZNUYguF6U0JOdt1MBPxAk3vWQc3M7tw/117/6986-hawthorne-st-landover-md-primary-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/894fDNw-qCV4YWRZoDoCR-d_4OuvOI0vL6REeNEEYxs/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/vshn5K9KU0PkMjNDpmkvclE5-yXm46mu4laemI_XBq4/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/CQEOH2N5JVRhD88d3bHylL36mp1paWoHEesUQStEcPw/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/LfJi_kVSC-ml09NQ8fBUhdifmftNSI2WvQieYXZo3Fs/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/t7v4RR7ntua7ybg9igjxCAkjcjPjyo3IthbXWNJarOw/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/W4Y0BXahOseOrahw-n1OmPh_P9qHfgcC4ey-G49NPQs/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/lNjEl9b_QQMAo8JH5uucMpQpogtzjJje3ZP7N5rwy_s/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/lltpAWerQ0HOckcJ6jJl2KOj_asP541VupJZM1buUps/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/RaxNzM25oPTIILc5zdX3s1-DZA7Qwr8ZyPCu3_bMpEw/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/S7sf0JZCxqCQcBJzgP7hMkr7lTZd6k-dr5bhgXvtJXI/117/6986-hawthorne-st-landover-md-building-photo.jpg) ![Building Photo - 6986 Hawthorne St](https://images1.apartments.com/i2/2Dsm6ZoVgJbNV0uYO6pVb8kTL7MZmfjAXj5SjhbC1o4/117/6986-hawthorne-st-landover-md-building-photo.jpg) ,Cute Cozy 2 lvl condo includes 2 full baths with new ceramic tile stainless steel app & granite in kitchen w/ microwave shiny HW Floors Washer & Dryer and more. Central location close proximity to metro busline and beltway. Strong Rental History. Min Income Req 47K Annually preferred. Sorry no pets.
