Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Campus Gardens](https://www.apartments.com/campus-gardens-hyattsville-md/7j6s48y/),855-669-0280,"[2200 Phelps Rd, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2200+Phelps+Rd,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",508 Sq Ft,"$1,090 - 1,385","* Cat Rent: $50
* Dog Rent: $50
* Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Dogs Allowed
Dogs 
* $50 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Disposal
* Kitchen
* Oven
* Range
* Refrigerator","* Balcony
* Cable
* Disposal
* Gas Stove
* Hardwood Floors
* Metro Green Line
* Patio Or Terrace
* Renovated Apartments
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",12,"* Laundry Facilities
* Maintenance on site
* Bilingual","* Built in 1959
* Renovated in Jan 2007
* 443 Units/3 Stories",* Business Center,* Gated,,"Our distinct gated community is conveniently located in central Prince Georges County. We are in close proximity to the University of Maryland, recreational parks, shopping malls, Metro Rail, and downtown Washington DC. We are also just off of the Beltway (495, 95) and very close to the Baltimore-Washington Parkway (295), and much more."
[Bedford Station & Victoria Station](https://www.apartments.com/bedford-station-victoria-station-hyattsville-md/sfjjew7/),855-412-2783,"[1400 University Blvd E, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1400+University+Blvd+E,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",685 Sq Ft,"$1,084 - 1,399","* Cat Rent: $25
* Dog Rent: $25
* Water, Electricity, Heat, Trash Removal, Sewer: Included","* Admin Fee: $100
* Application Fee: $44
* Cat Fee: $250
* Cat Deposit: $250
* Dog Fee: $250
* Dog Deposit: $250","Dogs and Cats Allowed
* $250 Deposit
* $25 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available",* Playground,"* Eat-in Kitchen
* Range
* Refrigerator",* Spanish Speaking Staff,"* High Speed Internet Access
* Heating
* Smoke Free
* Cable Ready","* Hardwood Floors
* Carpet
* Tile Floors
* Walk-In Closets","6 months, 12 months","* Laundry Facilities
* Property Manager on Site
* Bilingual
* Laundry Service","* Built in 1953
* 587 Units/3 Stories",,,,"The comfortable feeling begins before you ever set foot in one of our apartments for rent in Hyattsville, Maryland. To begin with, theres ample free parking for you and your guests. As you look around, you realize that our community is close to shopping, dining, entertainment, major highways and walking distance to a future Metro station everything you care about. Step inside and your comfort is complete. The one- and two-bedroom apartments are spacious and filled with light streaming through large windows. The eat-in kitchens feature upgraded cabinets and gas ranges. Then theres the courteous, attentive service that ROSS Management Services is famous for. All things considered, this must be your lucky day. You started out looking for an apartment in Hyattsville, MD, and ended up finding a home at Bedford Station Apartments/Victoria Station Apartments."
[University Gardens Serene Gardens](https://www.apartments.com/university-gardens-serene-gardens-adelphi-md/0q9ed93/),844-284-5097,"[1801 Jasmine Ter, Adelphi, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1801+Jasmine+Ter,+Adelphi,+MD+20783/data=!4m2!4m1!3e2)",508 - 560 Sq Ft,"$975 - 1,390","* Cat Rent: $50
* Dog Rent: $50
* Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Dogs Allowed:
Aggressive Breed Restrictions apply Dogs 
* $50 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking by Permit only","* Pool
* Playground","* Disposal
* Kitchen
* Oven
* Range
* Refrigerator","* Cable
* Cathedral Ceilings Available
* Clothing Care Center
* Disposal
* Free Movie Rentals
* Furnishings Available
* Gas Stove
* Internet
* Metro Green Line and Red Line
* Parquet flooring
* Patio,Balcony
* Spacious Closets
* Storage Available
* Verizon Fios Available
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Dining Room
* Den
* Vaulted Ceiling
* Walk-In Closets
* Window Coverings",None,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Bilingual
* Courtesy Patrol
* Recycling
* Renters Insurance Program","* Built in 1965
* 456 Units/3 Stories",* Multi Use Room,* Gated,,The convenient and comfortable University Gardens was created just for you! Metro buses and The University of Maryland shuttle buses stop within the community. Plenty of shopping and schools are also nearby. Relax at our private pool and recreation areas.
[Suburban Hill Apartments](https://www.apartments.com/suburban-hill-apartments-silver-spring-md/mghdprk/),888-902-5270,"[8500 New Hampshire Ave, Silver Spring, MD 20903](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8500+New+Hampshire+Ave,+Silver+Spring,+MD+20903/data=!4m2!4m1!3e2)",525 Sq Ft,"$1,059 - 1,649",* Cat Rent: $20,"* Application Fee: $25
* Dog Deposit: $250","Dogs Allowed:
Weight/Breed Restrictions 
* $250 Deposit
* 30 lb Weight Limit
* Pet Interview Required",50,50,"Surface Lot
2 spaces; Assigned Parking. Stickers provided. Handicapped spaces and visitors parking available.","* Fitness Center
* Free Weights
* Pool
* Playground
* Basketball Court","* Dishwasher
* Disposal
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Oven
* Range
* Refrigerator
* Freezer",,"* Wi-Fi
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower",* Hardwood Floors,12 months,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Maintenance on site
* 24 Hour Availability","* Built in 1960
* Renovated in Jan 2010
* 158 Units/5 Stories",* Elevator,"* Fenced Lot
* Sundeck
* Grill
* Picnic Area",,"Built along a beautiful ridge and surrounded by tall trees, Suburban Hill has always been one of Silver Spring's Top Rated Apartment Communities. Ongoing renovations are being handled by a dedicated staff. Suburban Hill offers huge, comfortable apartments with swimming pool, fitness center, free parking, and other amenities. Just a mile from the Beltway, residents have easy access to the University of Maryland, shopping, restaurants, and public transportation. Most importantly, you can depend on our dedicated on-site staff to insure your living is easy."
[Forest Park Apartments](https://www.apartments.com/forest-park-apartments-silver-spring-md/ghvx3pz/),844-407-2320,"[9300 Piney Branch Rd, Silver Spring, MD 20903](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9300+Piney+Branch+Rd,+Silver+Spring,+MD+20903/data=!4m2!4m1!3e2)",744 Sq Ft,"$1,229 - 1,749","* Water, Sewer: Included",,No Pets Allowed,50,50,"Surface Lot
1 space.","* Pool
* Playground
* Basketball Court","* Dishwasher
* Disposal
* Kitchen
* Oven
* Range
* Refrigerator
* Instant Hot Water",,"* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Views
* Linen Closet",12 Months,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Planned Social Activities","* Built in 1960
* 192 Units/5 Stories",* Elevator,"* Balcony
* Patio",,"Now Open on Saturdays!!!
Open from 10 a.m - 4 p.m
ZERO application fee"
[1513 Elson St](https://www.apartments.com/1513-elson-st-takoma-park-md/7mmqhzw/),,"[1513 Elson St, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1513+Elson+St,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",,"$3,100",,,,50,50,Surface Lot,,"* Dishwasher
* Disposal
* Ice Maker
* Eat-in Kitchen
* Microwave
* Oven
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Fireplace","* Dining Room
* Basement
* Attic",,,* Lot Size: 0.15 AC,,,![Primary Photo - 1513 Elson St](https://images1.apartments.com/i2/WUBxnfjlGkldbhalfwzGr8JujdT4mwHY14YESS0gsB8/117/1513-elson-st-takoma-park-md-primary-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/00y-bhqUYMHQBRmCyjYyP70dAwSxhAg8pBNtLhgHBg4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/v7huFzj9DfplHDaL2hp1DuoF3qF-F8ELbj9kfFjmXxo/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/Fm6AhWOIXvSQgk3kMshlllx3wVFHoNrmnCfE_X5s5VU/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/krPHFZQkZyvqlca5s4Vu5MoSTvQJKtZMGv5oooiWpM8/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/VYRIoncnJurHQ9pdLIWzUYQg9uM-ux52hgdzX1yc9XQ/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/LsEVEFr1RnJYqXdo3nd6D_0SObmrZ4y9yFb_eGBmXVU/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/rLX0BJ4w035_0qx836Y3iUXasBGOVRrx3RdXmmuAH58/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/uYSKbIA64oONu33zl2BfW81dJSWy8RYnAskMbQrumbU/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/KXZ-ykf52Gb7gHjBTHeAPkEH6YNXOpKpvmLAzr5539E/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/QSaZz9okvacER2pmo4al3Yc4QhjqiW3aJhJ3lNnrB38/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/AgzJ3mGdFMilZU2TQBtaPQHGmkTnrV-NS_U_Y2TKEMg/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/QnJYyDxgjlPMoX0ukJf7TKrwJ4qhTKByVrniE-8vrD8/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/C7EQrwG5W0SGGgQ2-P_ocR7vvalIxOQOxqOlkRTh4Tk/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/HzHjWimaX4ae-H9feeyyjK2i-tbZ3MdiyRDmGdIVdP4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/3K6tSxSPGbjDohI8oNQ9TkGDedNjj2tRiqh7u8xT7C0/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/lNVVafyybJ2Ogd8uKPvIFLfOTRiSf_YLmy6Nn1ERFX8/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/h9IJ-4s81yxZYEFfVGSyL10cC2F_MsRkbyO0FqR3ljE/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/Zw72sioaiqabqr3XoFVkrK3GFT6_CXljGdq_ZOybZdE/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/FZi2ISheKl7RkagnpouqkfiHSL5WNf4FW9Aq31apXBM/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/T8RoCtH5-tugfxXL5dzsdZpEyem1uZsOT8CgGAUi7nY/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/UjPIdFbRZHfQFo0uV_vvmlm3wrQAVoUGiowGH2x51V4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/5tRA-j9SaXIg6hciAChrwjkIIWvg1S0XNO0LjRJ4QwI/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/AM6_Lrx2F-V1-KkJquJXOaCU7kkdYKxW4cor9_6R_LE/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/d9kapTryp7w7Wqay-Q-GQH_Jq3uUQRkP_p9TmuY124w/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/DgFlOJEC8lPRbGCYqPFKHAa-19YYT_TFgJ5uPVDAgog/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/B2633J8JAjUP6yoAOHaYBQI8YU0vQ20YnO074q4HCv4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/n16Nu7icel1F5N5jXwBZqjTGutkvz8MBwtGCwBxKCWg/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/4MZMIquZXMvslQlxC_ZfQPoTfDv2f7_K2GPF0NkGwA4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ,Great location! 4miles to DC shopping bus stop . Commute is a breeze. This 4 bedroom 3 bath 3level detached home is move in ready . New bathroom installed on main level with all wall tile surround and ceramic tile flooring . Brazilian cherry wood flooring on main level bedroom stainless steel appliances with new double sided refrigerator just installed.Hardwood flooring all through the house.
[The Villas at Langley](https://www.apartments.com/the-villas-at-langley-hyattsville-md/rwg7jf2/),,"[8100 15th Ave, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8100+15th+Ave,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",730 Sq Ft,"$987 - 1,381","* Cat Rent: $35
* Dog Rent: $45
* Gas, Heat, Air Conditioning: Included","* Application Fee: $45
* Cat Fee: $275
* Dog Fee: $275","Dogs Allowed:
Breed Restrictions 
* $45 Monthly Pet Rent
* $275 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Basketball Court","* Disposal
* Eat-in Kitchen
* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Tub/Shower","* Dining Room
* Den",,"* Laundry Facilities
* Property Manager on Site
* Bilingual
* Courtesy Patrol
* 24 Hour Availability
* Online Services","* Built in 1964
* 590 Units/3 Stories",,"* Balcony
* Patio",![Primary Photo - The Villas at Langley](https://images1.apartments.com/i2/hBmuT1DcIFpEGCp9baKl6XAxjKbXyzPKiO8LVzKT6eQ/117/the-villas-at-langley-hyattsville-md-primary-photo.jpg) ![Building Photo - The Villas at Langley](https://images1.apartments.com/i2/sjCgiHod4ysECNJmOpmOTghTFct9bTkmWx-xFER05i4/117/the-villas-at-langley-hyattsville-md-building-photo.jpg) ![Kitchen - The Villas at Langley](https://images1.apartments.com/i2/qz1fH5jLbqGH5VpnjicG5IkOA46kua4HzD5tF6H2ZkY/117/the-villas-at-langley-hyattsville-md-kitchen.jpg) ![Bedroom - The Villas at Langley](https://images1.apartments.com/i2/u-oZvDhIeG_5rrQQZU9JNlRPzKIZAoAyFHJmL9N5sQU/117/the-villas-at-langley-hyattsville-md-bedroom.jpg) ![Dining Room - The Villas at Langley](https://images1.apartments.com/i2/gJfRh5r8vdwuysHr8SuSTwtRZjSRhGregnsJtSwZt7c/117/the-villas-at-langley-hyattsville-md-dining-room.jpg) ![Bathroom - The Villas at Langley](https://images1.apartments.com/i2/VIYuphXM54wBDu5KV7EfeSbHAjH3ITJtVjK6Di57oVs/117/the-villas-at-langley-hyattsville-md-bathroom.jpg) ![Building Photo - The Villas at Langley](https://images1.apartments.com/i2/KBbKE98OPh45kL_aX3BIIEN6TSlo4zchEkdKtcWgteI/117/the-villas-at-langley-hyattsville-md-building-photo.jpg) ![Building Photo - The Villas at Langley](https://images1.apartments.com/i2/qu4bP0lekOlW10fHM1PplvDPYiviN699kpNfRdZhcYQ/117/the-villas-at-langley-hyattsville-md-building-photo.jpg) ![Building Photo - The Villas at Langley](https://images1.apartments.com/i2/aLWJr9lHstG1dZMuK2RZngGbyTkaoZ3kH8i03Q8XQmk/117/the-villas-at-langley-hyattsville-md-building-photo.jpg) ![1BR/1BA - The Villas at Langley](https://images1.apartments.com/i2/2RtNfRNZ1e4B6m9FUXLuvl1Ua2O3pBsABqI3KF1xYVU/117/the-villas-at-langley-hyattsville-md-1br1ba.jpg) ![1BR/1BA - The Villas at Langley](https://images1.apartments.com/i2/LApz9vP_C5dF5D9DxAefUNlHG88YcX4rV43y1057IGk/117/the-villas-at-langley-hyattsville-md-1br1ba.jpg) ![2BR/1BA - The Villas at Langley](https://images1.apartments.com/i2/gVL32EZFaupWs_Em7ZVHVr7g8Q7UBq4E6ilMsbmWLoA/117/the-villas-at-langley-hyattsville-md-2br1ba.jpg) ![3BR/2BA - The Villas at Langley](https://images1.apartments.com/i2/OFjzh2gARMFdPSNyz1sGdEoBhxCqk6J5soolFp-r0to/117/the-villas-at-langley-hyattsville-md-3br2ba.jpg) ,"Convenience, charm and location all in one community! Whether is it is enjoying a dip in the pool, having a relaxing evening on your balcony, or walking to shopping and entertainment, you can do it all at Villas at Langley Gardens. Our community provides residents with appealing apartments and a location that makes it easy to use commute using either public transportation or their own car. Villas at Langley is the place to live."
[University Landing Apartments](https://www.apartments.com/university-landing-apartments-silver-spring-md/znvhx0w/),,"[1017 Merrimac Dr, Silver Spring, MD 20903](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1017+Merrimac+Dr,+Silver+Spring,+MD+20903/data=!4m2!4m1!3e2)",720 Sq Ft,"$1,103 - 1,338","* Water, Trash Removal, Sewer: Included",* Application Fee: $17,,50,50,"Surface Lot
1 space.",* Playground,"* Dishwasher
* Disposal
* Kitchen
* Range
* Instant Hot Water",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room",,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Planned Social Activities","* Built in 1949
* Renovated in Jan 1999
* 117 Units/3 Stories",* Clubhouse,,![Primary Photo - University Landing Apartments](https://images1.apartments.com/i2/VXGjIXloJFOGEJKPI0p6fQTnVqoEChrTrv60bP2qcu4/117/university-landing-apartments-silver-spring-md-primary-photo.jpg) ![Building Photo - University Landing Apartments](https://images1.apartments.com/i2/uVrM8y1D9GNwwkvHTRT98ZmpivQfgCCeYn2HpW27Tvw/117/university-landing-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - University Landing Apartments](https://images1.apartments.com/i2/gsnOAeDjLC2Orlmj0d9w0P2GXB3OZeoDvf2imwORQEw/117/university-landing-apartments-silver-spring-md-building-photo.jpg) ![Primary Photo - University Landing Apartments](https://images1.apartments.com/i2/_sJ3XCY41LlpbmpP4BYcaduSrvG2qsHvQz_DnpPKjVA/117/university-landing-apartments-silver-spring-md-primary-photo.jpg) ![1BR/1BA - University Landing Apartments](https://images1.apartments.com/i2/M8bbiF9DBcvt6wai05XEbHOmm_jD20sNi231OuE_Zzw/117/university-landing-apartments-silver-spring-md-1br1ba.jpg) ![1BR/1BA - University Landing Apartments](https://images1.apartments.com/i2/qp3wD3AnoP0LETdTpx3lD0JVFZN5XceQTAp5Jw7ID0M/117/university-landing-apartments-silver-spring-md-1br1ba.jpg) ![2BR/1BA - University Landing Apartments](https://images1.apartments.com/i2/zeJc0ulS6kXALYp2IqPYfhry0Y6darrmFmn8QtF59LA/117/university-landing-apartments-silver-spring-md-2br1ba.jpg) ,
[Quebec Arms Apartments](https://www.apartments.com/quebec-arms-apartments-hyattsville-md/g300pzy/),,"[1400 Merrimac Dr, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1400+Merrimac+Dr,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",683 Sq Ft,"$1,085",,,,50,50,"Surface Lot
Parking Available","* Playground
* Gameroom","* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Tub/Shower","* Hardwood Floors
* Carpet
* Double Pane Windows
* Window Coverings",,"* Laundry Facilities
* Controlled Access
* Online Services","* Built in 1950
* 332 Units/3 Stories","* Lounge
* Multi Use Room
* Library","* Gated
* Courtyard
* Picnic Area",![Primary Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/ZZ4WxdCiDWW9HDB4h83kmUKq5bEoUe2kIRLwaP_W_Uw/117/quebec-arms-apartments-hyattsville-md-primary-photo.jpg) ![Building Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/Vq3PIUiwinv9WwqSborIGdBDLLjScJfjmzEeXIocZmE/117/quebec-arms-apartments-hyattsville-md-building-photo.jpg) ![Building Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/z1zkF6FGMGJM1jF6I4TJRFvNC4qdwjuugTgRf20_PQI/117/quebec-arms-apartments-hyattsville-md-building-photo.jpg) ![Building Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/-9s2sAT0Wc2qst1DDbNwe_SfAV3gERoGLeSOlAlWwXQ/117/quebec-arms-apartments-hyattsville-md-building-photo.jpg) ![Building Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/fkRbjACWsJpvuOn3bKJvX-uYR8P2eCqiC8r8zirzedI/117/quebec-arms-apartments-hyattsville-md-building-photo.jpg) ![Building Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/SXwZAh25Rn4g3BBhZzCKdtM-d0sHRr5vSDWuDeavLt4/117/quebec-arms-apartments-hyattsville-md-building-photo.jpg) ![Building Photo - Quebec Arms Apartments](https://images1.apartments.com/i2/Ttk1Oy1e95lHwtZ-3A-fWB2-pbcLxsBJQyn0B93Sb1s/117/quebec-arms-apartments-hyattsville-md-building-photo.jpg) ![1BR/1BA - Quebec Arms Apartments](https://images1.apartments.com/i2/KrjPvVsD-OmkZ0NYOZgbKSQ9xsL_lAa_kUBZeayvHFI/117/quebec-arms-apartments-hyattsville-md-1br1ba.jpg) ![2BR/1BA - Quebec Arms Apartments](https://images1.apartments.com/i2/billU1V5YKfTYTE-vMBJ25QkZKQFyoUqFyBXAPM-xkQ/117/quebec-arms-apartments-hyattsville-md-2br1ba.jpg) ![3BR/2BA - Quebec Arms Apartments](https://images1.apartments.com/i2/CIZt9ARR_C_a4mmJoWaHk2vqr4JM1xH2PREfwCadw4g/117/quebec-arms-apartments-hyattsville-md-3br2ba.jpg) ,"In addition to the well-designed apartment home layouts, the Quebec Arms Apartments provides a place for you to get involved and meet new people: Community/multi-use room with kitchen and dining area for residential functions or entertaining large groups
Numerous lounges are scattered throughout for residents to host guests or relax with neighbors
Game room and craft room
Central courtyard with a Bocci court and fountain
Fully equipped laundry room
Library"
[Victoria Crossing Apartments](https://www.apartments.com/victoria-crossing-apartments-langley-park-md/95d24t6/),,"[8201 New Hampshire Ave, Langley Park, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8201+New+Hampshire+Ave,+Langley+Park,+MD+20783/data=!4m2!4m1!3e2)",650 Sq Ft,"$1,030","* Gas, Electricity, Heat, Trash Removal, Sewer: Included",* Application Fee: $35,No Pets Allowed,50,50,"Surface Lot
3 spaces. Parking Available",,"* Kitchen
* Oven
* Refrigerator",,"* High Speed Internet Access
* Heating
* Smoke Free",* Carpet,,* Laundry Facilities,"* Built in 1950
* 135 Units/3 Stories",,,![Primary Photo - Victoria Crossing Apartments](https://images1.apartments.com/i2/xSInoPz2Lx8ud_7YVsW0KZFp_y6ELZ5RM0ry2tGlmnQ/117/victoria-crossing-apartments-langley-park-md-primary-photo.jpg) ![Building Photo - Victoria Crossing Apartments](https://images1.apartments.com/i2/cENOhmVB5s65Qt3pTTA_L_aUK4y1LEJdJ-UItf9A6fc/117/victoria-crossing-apartments-langley-park-md-building-photo.jpg) ![Building Photo - Victoria Crossing Apartments](https://images1.apartments.com/i2/jfhxKuAbVACwRFPRFpot7-QSO1oGCAC5ryawGySVnYU/117/victoria-crossing-apartments-langley-park-md-building-photo.jpg) ![Building Photo - Victoria Crossing Apartments](https://images1.apartments.com/i2/WWm6M1ETdH4YBd_Of17pF5P2Zp3YQ7tUgHILHK21FhM/117/victoria-crossing-apartments-langley-park-md-building-photo.jpg) ![Building Photo - Victoria Crossing Apartments](https://images1.apartments.com/i2/AmAL2bBmob8JrFd9uDa9ZFTmWzecqO1WvmvVX4p7IeI/117/victoria-crossing-apartments-langley-park-md-building-photo.jpg) ,
