Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Mosaic At Largo Station](https://www.apartments.com/mosaic-at-largo-station-largo-md/gf1tgew/),888-565-6707,"[8831 Lottsford Rd, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8831+Lottsford+Rd,+Largo,+MD+20774/data=!4m2!4m1!3e2)",686 - 820 Sq Ft,"$1,322 - 2,608","* Cat Rent: $100
* Dog Rent: $100","* Admin Fee: $400
* Application Fee: $25
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome your pets for a maximum of 2 pets per apartment home. Pet fee is $500. There is a monthly pet rent of $50 per pet. No weight restriction. Breed Restrictions include the following: Chow-Chow, Rottweiler, American Pit Bull Terrier, American Stafford shire Terrier, Bull Terrier, Stafford shire Bull Terrier and American Bulldog. Please call our leasing office for more information. 
* $100 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.",,"* Dishwasher
* Microwave","* 24/7 Access to Fitness
* 24hr. Emergency maintenance
* Air conditioning - central air
* Billiards available
* Concierge services
* Conference/Meeting room
* Controlled building access
* Courtyard
* Fire sprinkler system
* High-speed internet access
* High-speed internet in area
* Lifeguard on duty
* Pet Friendly
* Poolside BBQ Grilling Area
* Regular-sized pool
* Smoke-Free Building
* Storage Spaces Available
* Walk to bus line
* Walk to Largo Metro Station
* Walk to train station
* Breakfast Bar
* Brushed nickel fixtures
* Ceramic tile floor
* Entry closet
* Granite countertop
* Icemaker
* Light fixtures upgrades
* Linen closet
* Maple Cabinets
* Parking Garage
* Retractable hose faucet
* Smooth surface range top
* Soaking Tub
* Stainless steel appliances",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2008
* 242 Units/4 Stories","* Elevator
* Clubhouse",,,"Mosaic at Largo Station is defining luxury apartment living in Largo. Residents of our apartments love the style of our community and our location near Lake Arbor, MD. Choose from our spacious one and two bedroom floor plans designed with you in mind. Each of our one and two bedroom floor plans feature first-class amenities that will complement any lifestyle. Our 9-foot ceilings and wood-style flooring give each apartment a luxurious appeal. The kitchens are designed with islands, stainless steel appliances, beautiful Maple cabinets, and granite counters. Each apartment also includes a private balcony. Come home to Mosaic at Largo Station apartments near Kettering, MD today!"
[Tapestry Largo Station Apartment Homes](https://www.apartments.com/tapestry-largo-station-apartment-homes-largo-md/n078vlm/),877-622-0265,"[9300 Lottsford Rd, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9300+Lottsford+Rd,+Largo,+MD+20774/data=!4m2!4m1!3e2)",751 Sq Ft,"$1,511 - 2,478","* Assigned Garage Parking: $50
* Cat Rent: $80
* Dog Rent: $80","* Application Fee: $25
* Cat Deposit: $600
* Dog Deposit: $600","Dogs and Cats Allowed:
Tapestry Largo Station Apartment Homes is a pet friendly community that welcome two pets per apartment home. Maximum combined adult weight limit is 50 lbs. There is $400 non-refundable Pet Fee for the first pet, $200 for the second pet. Monthly Pet Rent is $40 per pet. Breed and weight restrictions may apply. Please call the leasing office for complete pet policy details and restrictions. 
* $600 Deposit
* $80 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Basketball Court",,"* 24hr. Emergency maintenance
* BilliardsAvailable
* Clubroom
* Coffee Lounge
* Door to Door Trash Pickup
* Lush Courtyards
* Parking Garage
* Pool
* Yoga Room",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2015
* 318 Units/5 Stories",,,,"Tapestry Largo Station Apartment Homes are the perfect fit for an on-the-go lifestyle. Tapestry Largo Station is located within walking distance to the Metro Blue line, and is just around the corner from FedEx Field, Boulevard Capital Center, great shopping, and restaurants. And with all of Tapestry Largo Stations amenities, living in luxury just got easier! Begin the day with yoga in our ultra-quiet yoga studio, or spin your way to health in the cycle room. Meet up with friends and grab a coffee in our Resident Hub, or relax in one of our many lush courtyards. Maybe you want to play a game or two of pool before heading out for a night on the town. Close to Redskins Stadium! No matter what you love to do or how you enjoy relaxing, Tapestry Largo Station has it all! Live Connected. Live Inspired. Live at Tapestry Largo Station."
[Ascend Apollo](https://www.apartments.com/ascend-apollo-largo-md/etj3jtm/),240-705-8201,"[9400 Grand Blvd, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9400+Grand+Blvd,+Largo,+MD+20774/data=!4m2!4m1!3e2)",605 Sq Ft,"$1,523 - 2,383","* Unassigned Garage Parking: $35 - 85
* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $25
* Other: $99
* Cat Deposit: $400
* Dog Deposit: $400","Dogs Allowed:
Breed restrictions. 
* $400 Deposit
* $40 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $35 - 85
Paid parking available. Fist space - $35, second space - $50, reserved spaces - $85.","* Fitness Center
* Weight Machines
* Pool
* Gameroom
* Gaming Stations","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 9' Ceilings
* Ceramic Tile Bathrooms
* Courtyard pool with sundeck and grilling
* Cyber café
* Floor-to-ceiling Windows
* Garden Tubs
* Large conference center
* Oasis courtyard with hammocks
* Pet Spa
* Social courtyard with bocce ball
* Steps from the Largo Town Center Metro
* Two-Tone Kitchen Cabinets
* Walk to shopping and dining
* Yoga/Studio Room","* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings","3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months, 16 months, 17 months, 18 months","* Controlled Access
* Maintenance on site
* Property Manager on Site
* Online Services
* Planned Social Activities
* Pet Washing Station","* Built in 2016
* 424 Units/6 Stories","* Business Center
* Clubhouse
* Conference Room","* Gated
* Picnic Area",,"Were bringing a whole new level of living to Largo Town Center. Were talking about a heightened sense of style. An elevated class of amenities. A top-notch lifestyle. Its like no other Largo Town Center apartment thats come before. When you make your home here, your life will be uplifted."
[Northampton Apartment Homes](https://www.apartments.com/northampton-apartment-homes-largo-md/b93j32c/),866-935-5527,"[67 Harry S Truman Dr, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/67+Harry+S+Truman+Dr,+Largo,+MD+20774/data=!4m2!4m1!3e2)",731 - 805 Sq Ft,"$1,210 - 1,995","* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Breed Restrictions apply. Breed Restrictions Apply. 
* $40 Monthly Pet Rent
* $300 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Reserved Parking Available*","* Fitness Center
* Pool
* Playground
* Tennis Court
* Walking/Biking Trails","* Dishwasher
* Disposal","* 24 Hour Emergency Maintenance
* Air Conditioner
* Breakfast Bar*
* Cable Ready
* Coffee Bar
* Courtyard
* Cyber Cafe
* Dishwasher
* Disposal
* Microwave*
* Patio/Balcony
* Refrigerator
* Spacious Closet
* Trails
* Two Tone Designer Paint*
* Wall to Wall Carpeting
* Washer & Dryer in Home
* Wheelchair Access
* Window Coverings","* High Speed Internet Access
* Air Conditioning
* Cable Ready","* Office
* Window Coverings","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Renters Insurance Program
* Planned Social Activities
* Pet Play Area","* Built in 1976
* 621 Units/3 Stories","* Business Center
* Clubhouse
* Lounge
* Coffee Bar","* Sundeck
* Courtyard",,"Northampton Apartments is conveniently located in the heart of Largo adjacent to Upper Marlboro, minutes to Largo Town Center Metro Station, Largo Town Center, Wegmans, FedEx Field, Six Flags, UMUC, PG Community College, National Harbor, Andrews AFB and Bolling AFB. Also, we are just a quick drive to Washington DC, I-95, BWI and Reagan International Airport. We are proud to introduce our newly renovated apartment homes including upgraded kitchens featuring designer countertops, maple cabinets, black appliances and two-tone paint. Along with a modern fitness center, a cardio theater, gorgeous swimming pool with sundeck, tennis court, playground, business center, and reserved parking. We have ample beautifully-landscaped grounds that welcome you and your large dog. Now is the perfect time to reserve your new apartment and come home to the ultimate care-free living experience."
[Truman Park](https://www.apartments.com/truman-park-largo-md/dd8hjjj/),844-687-2501,"[601-701 Harry S Truman Dr, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/601-701+Harry+S+Truman+Dr,+Largo,+MD+20774/data=!4m2!4m1!3e2)",768 Sq Ft,"$1,425 - 2,070",* Trash Removal: Included,* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
1 space; Assigned Parking. Parking Available","* Fitness Center
* Pool",* Range,,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Fireplace","* Carpet
* Vinyl Flooring
* Dining Room
* Walk-In Closets",12 months,"* Wi-Fi at Pool and Clubhouse
* Trash Pickup - Door to Door
* Online Services","* Built in 2002
* 284 Units/4 Stories",,* Gated,,"Get away from it all...at Truman Park. * Decompress at the end of the day or completely unwind at the week's end in your own private oasis. Indulge in the sun-drenched open spaces of a one or two-bedroom apartment home, many of which feature private patios, vaulted ceilings and spacious lofts. Even doing the laundry will be blissful, especially since it's from the comfort of your own home where you can enjoy."
[Steeplechase Apartments](https://www.apartments.com/steeplechase-apartments-largo-md/xj03rxp/),202-803-6326,"[150 Steeple Chase Way, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/150+Steeple+Chase+Way,+Largo,+MD+20774/data=!4m2!4m1!3e2)",713 Sq Ft,"$1,283 - 2,972","* Assigned Surface Lot Parking: $15
* Assigned Other Parking: $30
* Cat Rent: $25
* Dog Rent: $25
* Trash Removal, Sewer: Included","* Admin Fee: $150
* Application Fee: $25
* Cat Fee: $250
* Cat Deposit: $250
* Dog Fee: $250
* Dog Deposit: $250","Dogs Allowed:
Our pet-friendly apartments welcome most breeds of dogs. However, because certain dogs do not thrive in a community environment, we cannot accommodate the following breeds, dogs resembling these breeds, or mixes of these breeds: Akita, American Staffordshire Terrier, Bull Terrier, Chow, Doberman, German Shepherd, Husky, Pit Bull, Presa Canario, Rottweiler and Wolf Hybrid 
* $250 Deposit
* $25 Monthly Pet Rent
* $250 Fee
* 300 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $15
1 space; Assigned Parking. Parking for residents is available on a first-come, first-served basis in our private parking lot.","* Fitness Center
* Pool
* Basketball Court
* Tennis Court","* Dishwasher
* Disposal
* Microwave
* Refrigerator","* Barbecue Area
* Cat Friendly
* Dog Friendly
* Free Coffee
* Guarantors Welcome
* On-site Recycling
* Phone: Verizon FiOS
* Phone: XFINITY from Comcast
* Self Service Carwash
* Smoke-Free
* TV: Verizon FiOS
* TV: XFINITY from Comcast","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Storage Units
* Fireplace
* Wheelchair Accessible (Rooms)",* Views,We offer 7-15 month leases. Guarantors welcome.,,"* Built in 1986
* 240 Units/4 Stories",* Clubhouse,"* Balcony
* Patio",,"Steeplechase Apartments in Largo, MD 20774 is just one mile from Prince George Community College and Kettering/Largo Shopping Center. Our apartment homes have modern kitchens with electric appliances, full size washers/dryers and walk in closets. We are currently a smoke free community in our units and common areas. Select homes include new kitchen appliances, extra storage space, private balconies/patios and fireplaces or bay windows. Pet friendly and smoke free community, swimming pool, 24 hour fitness center, basketball and tennis courts, playground, barbecue/picnic area, on site recycling and complimentary car wash/vacuum station. Located only 30 minutes from Washington DC, with easy access to the Capital Beltway I 95/I 495 and the Metro Blue and Yellow lines. Guarantors welcome!"
[Camden Largo Town Center](https://www.apartments.com/camden-largo-town-center-largo-md/ne0lwdm/),844-369-3376,"[9701 Summit Cir, Largo, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9701+Summit+Cir,+Largo,+MD+20774/data=!4m2!4m1!3e2)",780 Sq Ft,"$1,389 - 2,689","* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $25
* Other: $260
* Cat Deposit: $350
* Dog Deposit: $350","Dogs and Cats Allowed:
We welcome your cats and dogs, up to two pets per apartment, and a full-grown maximum weight limit of 50 pounds each. *Breed restrictions apply. We do not permit American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, any mix of the previous breeds, or any other dog or breed deemed aggressive. See management for pet approval and deposit and fee information. 
* $350 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Parking Available",,,"* 15 minutes from National Harbor
* 24-hour emergency maintenance
* 24-hour fitness center
* Beautifully landscaped grounds
* Convenient to I-95 and DC
* Front door trash service
* Garages available
* MyCamden.com, a resident social site
* Near Blvd at Cap Center and FedEx Field
* On Largo Town Center Metro blue line
* Online Maintenance Requests
* Online Rent Payments
* Outdoor gazebo and grilling areas
* Resort-style swimming pool
* Responsive on-site management",* High Speed Internet Access,,Variable,,"* Built in 2000
* 236 Units/4 Stories",,,,"Searching for the apartment in the center of it all? Look no further than Camden Largo Town Center located in Largo, MD near Upper Marlboro, the Metro, the Boulevard at Cap Centre and more. We offer one, two and three bedroom apartment homes complete with spacious walk-in closets, full-size washers and dryers, vaulted ceilings and more. Our residents enjoy a fitness center with weight training and cardio equipment, resort-style pool surrounded with outdoor grilling stations and WiFi available in all common areas. You won't have to compromise to get both luxury and convenience at Camden Largo Town Center. Please note that all floor plan availability is subject to change. Call for details."
[10109 Prince Pl](https://www.apartments.com/10109-prince-pl-upper-marlboro-md/6clpenv/),,"[10109 Prince Pl, Upper Marlboro, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10109+Prince+Pl,+Upper+Marlboro,+MD+20774/data=!4m2!4m1!3e2)",787 Sq Ft,"$1,300",,,,50,50,Other,,,,"* Air Conditioning
* Ceiling Fans",,,,,,,![Primary Photo - 10109 Prince Pl](https://images1.apartments.com/i2/PeLvzMR-S7ZqolffH7BiIzFiqAxyQseTALoayaqTcVY/117/10109-prince-pl-upper-marlboro-md-primary-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/qR0FgI8FtJ6WQ6AIgD2hVRrp5JW2pZRzxQ4ABZKeQmE/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/ecllXe-UuWYaRc_Cr2JjWB5p8pYj4g5ucvGE8J6DLVY/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/wE8XodP6kgZtOf71-1SZ2KZGcwkxgjlml0HBC6TyH-E/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/nYNwrx4ZQkC4e2jhXAij4dse1PMod5I7hnu2VlFVxP4/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/L84gP18mdCE_HDznnffYB_e50oGTrHby_B3yLFKEr1c/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/8RRb_E9Zc_ODvXazcVkRt5A7ukUPI1LF5rN2eFDXKgE/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/DTLIN8oTyAxMuslHhNFDXPfh8uWKTpRW5bEt7K5M4D0/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10109 Prince Pl](https://images1.apartments.com/i2/95h6X_macsN2MKcNa2P2JVgS_uda18ySL28g_wbYP7k/117/10109-prince-pl-upper-marlboro-md-building-photo.jpg) ,NICE ONE BEDROOM UNIT ON SECOND FLOOR FRESHLY PAINTED CLEAN NEW CARPET NEW CERAMIC TILE NEW COUNTER TOP NEW KITCHEN CABINET ALL UTILITIES INCLUDED. CREDIT APPLICATION FEE PER ADULT 45. READY TO GO!!!.
[10117 Prince Pl](https://www.apartments.com/10117-prince-pl-upper-marlboro-md/nltlptq/),,"[10117 Prince Pl, Upper Marlboro, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10117+Prince+Pl,+Upper+Marlboro,+MD+20774/data=!4m2!4m1!3e2)",,"$1,600",,,,50,50,Other,,,,* Air Conditioning,,,,,,,![Primary Photo - 10117 Prince Pl](https://images1.apartments.com/i2/36QeSwYsEFx-JnIggwDiaR90Q5tXZTYnHKE7xX45g0k/117/10117-prince-pl-upper-marlboro-md-primary-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/36FG6LyODmUJULrMuyK8WNYRx1KXlWOjmsCeaxFXqg0/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/dxVpqdXAo4UA5GxwVQL_LxcKLx--a0YeV3_LqI6joe0/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/p_KwSc5z5dTRa6sWE7A8_CAaH1lQ9Q7lr3yqi4WCVNU/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/aV9jGKdG03caBoSyA0_uGficNMANLY4ps2PFFYnJ75o/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/XmUQNZuyKQL_q8Czj-EZ_s8wYhdIfp5e0070Nh_czMo/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/owjyHkMl00KhD_ZVP2sYzSpkJJ7Vb8FE1eHHjlTpe2k/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/Ez9cpp30ovLJwo26cgqkHm5qogFHDlHM-7DnZxPkmbg/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/4CBRoTW4Nwt3HAp6t8Bh9CtGEB5BxEB5zld9wO9TQT4/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/Lg964xIgiOijuKSmrI58LN5x6tAhhbbU0cUgLebl_u8/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/3a8KbLO6TB8KKGJ9FBvYqzveJ4udelZgMS5ucDy06vc/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/yuRywbhjXRlETvU00UYosps01NuG9sU7dbWUfvg_DgM/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/wL6U3MsT8zyAFTC5D4f_oQZLAHbNtonDl4_orVEA_D0/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/JEY0bC-iRsy0RzQEQt-H17cQ6JXIiWJ1WN8QxLYzTYM/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/1XzyvZ6ZJb7gQy_ZilKFT211gehsI1C9134vF_FuEUs/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10117 Prince Pl](https://images1.apartments.com/i2/jhA-EaHTbTx-vrHEQGoX208yHyGHvIJkkPNuOBYRlbw/117/10117-prince-pl-upper-marlboro-md-building-photo.jpg) ,COMPLETELY RENOVATED 2BR/2BA CONDO IN TREETOP. WALK TO PG COMMUNITY COLLEGE. RENT INCLUDES ALL UTILITIES! EVERYTHING UPDATED RECENTLY. NEW HARDWOOD FLOORS NEW BATHS NEW DESIGNER TILE NEW SOLID WOOD CABINETS NEW GRANITE COUNTER TOPS NEW SS APPLIANCES NEW CARPET NEW LIGHTS & FRESH PAINT! MOVE IN READY! MUST SEE PICTURES! GO & SHOW!
[10230 Prince Pl](https://www.apartments.com/10230-prince-pl-upper-marlboro-md/qes93px/),,"[10230 Prince Pl, Upper Marlboro, MD 20774](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10230+Prince+Pl,+Upper+Marlboro,+MD+20774/data=!4m2!4m1!3e2)",,"$1,600",,,,50,50,Other,,,,"* Washer/Dryer
* Air Conditioning",,,,,,,![Primary Photo - 10230 Prince Pl](https://images1.apartments.com/i2/tuB937MXNKXlEd2W1zsLSmeZS_ffzOiyE8hfKiEEqGQ/117/10230-prince-pl-upper-marlboro-md-primary-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/Z0mrPmuLoOgy8ZPCm4vT6IehRhBNGdzFxrJufIqEAwA/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/47ZP0GcYJ6pxqpFMpTby9bjL4QdOLdmrTPFvN9s8Gjs/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/0WzgdCIFhrGUPj_mKKzA1izp7G0eijIZTA-S2Jrq6VE/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/zoNFVkn2mmWnRG6GaLDSEBI_yJ2Fw4r5w-fcjVqldWI/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/JJYb9DlPdc46ODaHL0FRbrAJyPIldGoYDfpEpI9FRSY/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/zSns8kq4UGUIAJjPsbpotxN2aUUEiq5aClgQkMdnJeA/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/DvHWEuXKg8nDPow4qVzDlpDT82-EU_rlp-CWbgL1qj4/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/JikhZJzM6fT1wg2CYLWvMDwaTd3yT6Ge3P4qAD2tWJ8/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/SAokx-aChrb7QLJxZNaMU6w6dQNTN35mx_jJLnRvDNY/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/-9F9ipQi1YGS0Dumbn46Q9jk9FuZJKijWBNlrtpOjvY/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/3UtgYBuMN3WYXF_cmcPzN2sqomFRfWIgb6vfSCa-778/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/dsjj_tIKt78OHgJ602sz7zgzmDqfbT0P4E9LFKLsM7Q/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/-AtZ0BycSn2P6o6cf6s-_sNQuHVSeLYGp3H-SXgjFWE/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/iPecZ5wxEb2NSVRh_MNOacxL17OmZQeRPpCZ8weLMjw/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ![Building Photo - 10230 Prince Pl](https://images1.apartments.com/i2/hCHGMpoA1TmIcCtRnZb6CKvA09aLlbDLzGqDeOsOPTE/117/10230-prince-pl-upper-marlboro-md-building-photo.jpg) ,Bright and spacious open floor plan 2 bed/ 2 bath condo convenient to Metro shops restaurants and entertainment.
