Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Elms at Oakton](https://www.apartments.com/the-elms-at-oakton-fairfax-va/l9vg78d/),888-334-8229,"[3223 Arrowhead Cir, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3223+Arrowhead+Cir,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",788 Sq Ft,"$1,759 - 2,176","* Cat Rent: $45
* Dog Rent: $45","* Application Fee: $65
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome a 2 pet maximum per apartment, not to exceed 100 lbs total weight of one dog. Some breed restrictions are prohibited & all pets are subject to the approval of management. Pet fees are non-refundable and monthly pet rent amounts are per pet. Specifics regarding pets breed, weight, proof of rabies documentation from your vet & a photo of your pet will be required prior to move-in. 
* $45 Monthly Pet Rent
* $500 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* 24hr. Emergency maintenance
* BBQ/Picnic Area
* Car Care Center
* Community Outreach Events
* Dog Park
* Electricity (Resident pays)
* Free Weekly Fitness Classes
* Major Employer Discounts
* Outstanding access
* Picnic Area
* Playground Area
* Swimming Pool with Sundeck
* Tennis Courts
* Volleyball Court
* Walk to bus line
* Washer/Dryer in Unit
* Water/Sewer - Resident Pays
* Wired for high-speed internet",* High Speed Internet Access,,Variable,"* Maintenance on site
* Pet Care","* Built in 1987
* 313 Units/3 Stories",* Clubhouse,,,"At The Elms, you'll find the space and location you desire and the comfort you deserve in a beautifully landscapped setting. The Elms at Oakton is located across the street from the Oak Marr Recreation Center. Oak Marr Rec Center offers an Olympic-sized indoor pool, health and fitness classes and a driving range with par 3 golf courses. The Elms at Oakton is conveniently located near Tysons Corner, Fair Oaks Mall, I-66 and the Capital Beltway. If metro access is a must have, you'll enjoy knowing that the Vienna Metro Station (Orange Line) is just 2 miles from our community & the Metro Bus will pick you up & drop you off at the community. In every way, you'll find the complete lifestyle you deserve and the balance you've been looking for. An Award winning team of professionals consistently delivers a warm and genuine approach to caring for our residents. The Elms team is not just committed to providing an exceptional customer experience, we work to build a sense of community."
[Oakton Park Apartments](https://www.apartments.com/oakton-park-apartments-fairfax-va/q66k01z/),888-380-8243,"[3347 Willow Crescent Dr, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3347+Willow+Crescent+Dr,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",708 Sq Ft,"$1,385 - 2,250","* Cat Rent: $40
* Dog Rent: $40
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Application Fee: $60
* Cat Fee: $150
* Cat Deposit: $150
* Dog Fee: $150
* Dog Deposit: $150","Dogs Allowed:
$40 per month pet rent, $150 non-refundable pet fee, $150 refundable deposit, breed restrictions apply. 40 pound weight limit. 2 cats or 1 dog limit. 
* $150 Deposit
* $40 Monthly Pet Rent
* $150 Fee
* 40 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Stainless Steel Appliances
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Dining Room
* Den
* Bay Window
* Walk-In Closets
* Linen Closet
* Window Coverings","3 months, 6 months, 9 months and 12 months","* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Laundry Service","* Built in 1972
* 418 Units/3 Stories",,"* Sundeck
* Picnic Area",,"Oakton Park Apartments offers beautiful, sought-after one, two, and three bedroom apartment homes. Close to everything! We're conveniently located just off of I-66 and Route 123, Tyson's Corner, and Fair Oaks Mall. We're 30 minutes from downtown D.C., 40 minutes from Dulles Airport, and just five minutes from Vienna Metro! Oakton Park Apartments features all this convenience, yet we're tucked away on beautifully landscaped acreage in a quiet corner of Fairfax so you can get away from it all. And it keeps getting better: ALL UTILITIES are INCLUDED! Every apartment home has usable square footage throughout and some even feature a separate breakfast nook area in addition to an already large dining room. Our apartment homes have massive master bedrooms with large walk-in closets and spacious living rooms which open onto a private balcony or patio with secluded views and a gourmet kitchen. Our apartment homes offer you a choice of plush carpeting throughout with neutral color schemes or beautiful rich hardwood floors. The optional Designer Series package offers sophisticated style and added elegance to our apartment homes. Please ask a leasing specialist for details. Pets are family too! We welcome small pets and, in fact, many of our residents just love taking them around the wonderful park-like setting surrounding our community. In addition, Oakton Park Apartments includes an Olympic-size pool and three playgrounds. ALL UTILITIES are INCLUDED!!"
[Dwell Vienna Metro](https://www.apartments.com/dwell-vienna-metro-fairfax-va/x7kgw6m/),855-831-9007,"[2975 Hunters Branch Rd, Fairfax, VA 22031](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2975+Hunters+Branch+Rd,+Fairfax,+VA+22031/data=!4m2!4m1!3e2)",626 - 629 Sq Ft,"$1,630 - 3,775","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,"Surface Lot
1 space.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage","* Dishwasher
* Disposal
* Pantry
* Island Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 9' ceiling
* Condo quality finishes
* Limited access building
* Minutes from Washington DC
* Recessed lighting thoroughout
* Walkable location
* Yoga studio","* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Heating
* Ceiling Fans
* Cable Ready
* Alarm
* Tub/Shower","* Carpet
* Walk-In Closets
* Linen Closet
* Window Coverings
* Accent Walls",,"* Controlled Access
* Property Manager on Site
* Concierge
* Furnished Units Available
* Renters Insurance Program
* Online Services","* Built in 2008
* 250 Units/4 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Multi Use Room
* Conference Room",* Gated,,"Located moments from the Vienna/Fairfax Metro Station, Dwell Vienna Metro apartment’s offers residents the best of both worlds. With quick access to vibrant downtown Washington, DC but nestled in Fairfax just far enough away from the hustle and bustle. This upscale mid-rise community is located a few blocks from Route 66, which connects with The Capital Beltway and downtown DC. Residents choose Dwell Vienna Metro because of its exceptional apartment community near Arlington located as well as the bright, spacious floor plans and the contemporary apartment home features such as stainless appliances, hardwood floors, granite countertops, and ample garage parking. Living at Dwell Vienna Metro will put you in the ideal location and provide you with the luxurious lifestyle you're seeking."
[Fairfax Circle Villa Apartments](https://www.apartments.com/fairfax-circle-villa-apartments-fairfax-va/w8rwyml/),844-266-0699,"[9555 Blake Ln, Fairfax, VA 22031](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9555+Blake+Ln,+Fairfax,+VA+22031/data=!4m2!4m1!3e2)",730 Sq Ft,"$1,300 - 1,640","* Cat Rent: $20
* Dog Rent: $20
* Gas, Water, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Application Fee: $40
* Cat Fee: $100
* Dog Fee: $100","Dogs Allowed:
Breed restrictions apply 
* $20 Monthly Pet Rent
* $100 Fee
* 20 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Pool
* Playground","* Dishwasher
* Disposal
* Pantry
* Kitchen
* Oven
* Range
* Refrigerator","* Ample guest and tenant on site parking
* Elementary and high schools within walking distance
* Extra Storage Closet
* FIOS and cable (service optional) in each apartment
* Large concrete balcony/patios
* One mile from Vienna Metro (bus route available)
* Pantry in kitchen
* Walk-In Closet","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Den
* Walk-In Closets",,* Laundry Facilities,"* Built in 1974
* 330 Units/2 Stories",,"* Grill
* Picnic Area",,"Fairfax Circle Villa Apartments in Fairfax, VA is a garden-style apartment community in the heart of Fairfax County, Virginia. Our Fairfax apartments come with easy access to major highways, public transportation, dining and shopping around the Fairfax and Washington, DC area. Our residents come for our convenient location and affordable rent, but they stay because they love our Fairfax apartments! If you are looking for apartments in Fairfax, VA with utilities included we are the ideal choice. We are just minutes from Interstate 66, Route 50, and Route 29. Our apartments are near the Vienna Metro station which is located approximately one mile from our complex, which is linked by a direct bus route. Your commute will be easy and you will come home to lush grounds and a quiet, comfortable place to call home. Our Fairfax apartments offer a little slice of heaven in the middle of it all!"
[The Apartments at Regent's Park](https://www.apartments.com/the-apartments-at-regents-park-fairfax-va/j0sqhx4/),888-340-0183,"[9333 Clocktower Pl, Fairfax, VA 22031](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9333+Clocktower+Pl,+Fairfax,+VA+22031/data=!4m2!4m1!3e2)",759 Sq Ft,"$1,464 - 5,316","* Unassigned Garage Parking: $50
* Cat Rent: $40
* Dog Rent: $40","* Amenity Fee: $400
* Admin Fee: $200
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs Allowed:
Bozzuto Restricted Breeds 
* $40 Monthly Pet Rent
* $400 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground",,"* Car-care area
* Clubhouse with sunroom great for entertaining
* Extensive resident service program
* Fully-connected business center
* Individual Climate Control
* Landscaped courtyards with fountains
* Large Closets
* Quartz Counter Tops
* Two elegant swimming pools with sundecks",* High Speed Internet Access,,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Recycling
* Guest Apartment
* Pet Care
* Car Wash Area","* Built in 1997
* 552 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space","* Sundeck
* Courtyard",,"At Regent's Park, you've just found yourself a home in walking distance to the Vienna Metro Station. You can choose from twenty-two fabulous floor plans. Individual garages and under-building parking are both available. Regent's Park features its own beautifully appointed clubhouse with a 24-hour state-of-the-art fitness center, an expansive business center, two private swimming pools and sundecks, as well as a playground and car-care area. The grounds are beautifully landscaped with a central clock tower surrounded by lovely courtyards, fountains and formal gardens. Living at Regents Park will pamper you with special features such as newly renovated apartment homes, contemporary kitchens with gas cooking, breakfast bars and pantries, full-sized washer and dryer in each apartment home, gas fireplaces, six foot windows, spacious closets, and open floor plans."
[Lerner Falls at Flint Hill](https://www.apartments.com/lerner-falls-at-flint-hill-fairfax-va/gs805dy/),844-425-8247,"[10520 Rosehaven St, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10520+Rosehaven+St,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",761 - 785 Sq Ft,"$1,569 - 2,725","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350","Dogs and Cats Allowed:
Breed Restrictions Apply. Up to 2 pets per home. No aggressive breeds and/or exotic pets. $350 non-refundable fee per pet, $50 monthly pet rent per pet. * *Service Animals are not subject to any pet fees or pet rent. Maximum 2 pets per apartment home. 
* $350 Deposit
* $50 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,,"* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Cherry Oak Cabinets
* Children's Play Area in Fitness Center
* Dual Sinks
* GE Electric Ranges in Kitchens
* Laminate Wood Entry-Ways","* High Speed Internet Access
* Washer/Dryer
* Heating
* Ceiling Fans
* Cable Ready
* Double Vanities
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Family Room
* Den
* Crown Molding
* Walk-In Closets
* Linen Closet",12 months,"* Laundry Facilities
* Controlled Access
* Property Manager on Site
* Renters Insurance Program
* Laundry Service
* Online Services
* Planned Social Activities","* Built in 2008
* 246 Units/4 Stories","* Business Center
* Clubhouse
* Multi Use Room
* Coffee Bar","* Courtyard
* Grill
* Picnic Area",,"Live in the largest and most luxurious floorplans in the area, offering up to 1700 square feet of space to call home. Fall in love with the lush, manicured grounds of Flint Hill in the Oakton area of Fairfax County, offering serene and nature-filled surroundings, yet seconds from Route 123, two minutes from I-66, an easy drive to the Vienna Metro Station, Fairfax Corner, Fair Oaks Mall, Tysons Corner, downtown Fairfax, Historic Vienna and the surrounding Washington D.C. area. Also nearby is George Mason University, and the Oak Marr Recreational Facility is within walking distance. In addition to convenience, your new apartment home at The Falls at Flint Hill will feature the high standard of luxury that fits you perfectly. Not only do we allow pets, but our pet fees are among the lowest around. Make living at Falls at Flint Hill a reality!"
[Lerner Arrowood Parc](https://www.apartments.com/lerner-arrowood-parc-vienna-va/yvbeser/),571-748-5605,"[2526 Chain Bridge Rd, Vienna, VA 22181](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2526+Chain+Bridge+Rd,+Vienna,+VA+22181/data=!4m2!4m1!3e2)",868 Sq Ft,"$1,475 - 1,759","* Cat Rent: $50
* Dog Rent: $50
* Gas: Included","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350","Dogs Allowed:
Breed Restrictions Apply. Up to 2 pets per home. No aggressive breeds and/or exotic pets. $350 non-refundable fee per pet, $50 monthly pet rent per pet. * *Service Animals are not subject to any pet fees or pet rent. Maximum 2 pets per apartment home. 
* $350 Deposit
* $50 Monthly Pet Rent
* $350 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Pool
* Playground
* Basketball Court
* Tennis Court","* Dishwasher
* Granite Countertops
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* Washer/Dryer
* Heating","* Dining Room
* Walk-In Closets
* Furnished",12 months,* Bilingual,"* Built in 1966
* 300 Units/3 Stories
* Furnished",* Breakfast/Coffee Concierge,,,"Arrowood Parc features modern apartment homes with various floor plans to choose from, plus we are set apart from the rest in features and amenities in many ways! Conveniently located in Historic Vienna off of Chain Bridge Road and just minutes from the Vienna Metro Station, Route 50, I-66 and the Capital Beltway. Close to unlimited options for dining, entertainment and shopping in Tysons Corner, Fairfax Corner, Fair Oaks, downtown Fairfax and the surrounding Washington, D.C. area. Nearby are George Mason University and the Oak Marr Recreational Center and Golf Course. We have some of the largest eat-in kitchens in the area and we include gas utilities for cooking and heat in the rent! Walk to nearby shopping centers with Whole Foods and Giant or bike the W&OD Trail. Not only do we allow pets, but our pet fees are among the lowest around. Love to live, love Arrowood Parc!"
[Fairfax Village Apartments](https://www.apartments.com/fairfax-village-apartments-fairfax-va/90j8e05/),844-700-5145,"[10411 Fairfax Village Dr, Fairfax, VA 22030](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10411+Fairfax+Village+Dr,+Fairfax,+VA+22030/data=!4m2!4m1!3e2)",653 Sq Ft,"$1,350 - 1,950","* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included",* Application Fee: $50,No Pets Allowed,50,50,"Surface Lot
1 space. Parking Available",* Pool,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Cable Ready",* Carpet,,"* Laundry Facilities
* Day Care","* Built in 1973
* 172 Units/3 Stories",,* Picnic Area,,
[2765 Centerboro Dr Unit 368](https://www.apartments.com/2765-centerboro-dr-vienna-va-unit-368/myk3jwh/),832-916-4169,"[2765 Centerboro Dr, Vienna, VA 22181](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2765+Centerboro+Dr,+Vienna,+VA+22181/data=!4m2!4m1!3e2)",741 Sq Ft,"$1,600",,,,50,50,Garage,,,,"* Washer/Dryer
* Wheelchair Accessible (Rooms)",,12 Months,,,,,![Primary Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/d9JAvCj7CTUl8kgKRPIDvnucqKD2ei0MiqYSHYjEOB0/110/2765-centerboro-dr-unit-368-vienna-va-primary-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/0wIJ0_a1-UjNtJIS6oAI_AUNnDhEPg4TUWEMLpuXj9E/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/Z4xHOAzMnJ5zY5reRUzPV6RLcQsufNFc2z3zo1cMpmE/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/FXwgfsRUdtOJJvgUL-mZDIVe2HdcHEfyabpZUyB830M/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/MlINzBLT6qCubPcmEjQczkxg8fUa9Ire9lUl2HDQ5Wo/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/PWZtE1YrTalSWNLLDIS1GlGOm4X-FFUflKWxvQ9aoj8/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/aPbySi3fL4EedQltk5h7y4d5NffsZZYfKxkM2H-sgMA/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/CwZYHzhlqzyK1f72UzlPmT_28Fwkw3huf_f7O4u4eLQ/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/hPtOZs-ryOWAgtxcd6MnQa8lpwGHVp6_Odp-CU3RkEs/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/MtjodfvEWeOHM-oMbRcHhgayD4Qx_xXaMECWFBJ4h-4/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/a-lJcs8mRvqz5vC1mUyamdcfrwoVDIvSF2rh4PB0RkQ/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ,"ACROSS FROM VIENNA METRO STATION. WALK TO METRO. MOVE IN READY AVAILABLE ASAP. LIGHT FILLED TOP FLOOR CONDO WITH VAULTED CEILING.HARDWOOD FLOOR THROUGH OUT. GAS FIREPLACE. EXERCISE ROOM, CLUB ROOM & SWIMMING POOL AT COMMUNITY CENTER. 
The condo is super convenient to the Metro: just cross the crosswalk and you are at the North side of the Vienna Metro.
Fabulous 1 bed/1 bath condo with Hardwood Floors, Granite Counters, built in desk/work space, and Gas Fireplace. Balcony overlooking trees and common area. Home comes with one garage parking spot.
Community amenities: The Marquis at Vienna Station condominium has an outdoor pool open from Memorial Day to Labor Day with lifeguards. The gym in the clubhouse is open 24 hours. The clubhouse also has the business center, community room, and more. The private courtyards have grills that are available for use. There is a shortcut to Nottoway Park through the townhouses neighboring the building."
[9720 Kingsbridge Dr Unit 102](https://www.apartments.com/9720-kingsbridge-dr-fairfax-va-unit-102/wxferhh/),844-567-8452,"[9720 Kingsbridge Dr, Fairfax, VA 22031](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9720+Kingsbridge+Dr,+Fairfax,+VA+22031/data=!4m2!4m1!3e2)",,"$1,750",,,Dogs and Cats Allowed,50,50,Surface Lot,,,,"* Washer/Dryer
* Smoke Free",,12 Months,,,,,"![Entrance - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/XsOdV1xqb2tAFTLmDaPUI8EVZLKbUvp7fMd3dqB5iok/110/9720-kingsbridge-dr-unit-102-fairfax-va-entrance.jpg) ![Balcony overlooking pool - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/3m6BQKw36KNfXus79pTzcE3PMqGXK6yt4yADm2GFa_E/118/9720-kingsbridge-dr-unit-102-fairfax-va-balcony-overlooking-pool.jpg) ![Pool view - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/amFdMNRf_7fYemqkjvo1OhD1Sr_4-dc0ks28lI6Dnb8/118/9720-kingsbridge-dr-unit-102-fairfax-va-pool-view.jpg) ![Pool - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/N5Jnxp8HlUXm61ht6xRHnoIRYJoQjalf83DbhBqUD20/118/9720-kingsbridge-dr-unit-102-fairfax-va-pool.jpg) ![Foyer - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/ZKbLBKUEkPcIbBIjiawIFD_v3WR8-8GfR9txTL_HYFI/118/9720-kingsbridge-dr-unit-102-fairfax-va-foyer.jpg) ![Living room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/zjf-rTBt0-vEQoHgAN71Qt146z022lGIgxL1x__1dXc/118/9720-kingsbridge-dr-unit-102-fairfax-va-living-room.jpg) ![Living room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/vfl2HaXzX82ke4L96EbbVYX3aoHDqfKQKdJMBf0CxZo/118/9720-kingsbridge-dr-unit-102-fairfax-va-living-room.jpg) ![Dining room, living room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/q4ekT_uVZyDfq83qhUDQwVynXDhmfVlebCo9V6bBoKw/118/9720-kingsbridge-dr-unit-102-fairfax-va-dining-room-living-room.jpg) ![Living room, coat and pantry closet - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/jC3MHAIzlT98sGnHOeXf54MtbmF74QqQLhiFvM5RtlY/118/9720-kingsbridge-dr-unit-102-fairfax-va-living-room-coat-and-pantry-closet.jpg) ![Dining room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/fxHGPX6Av2jjVWV05pu0-tqGzgtMrE4utKCCVRGnQIw/118/9720-kingsbridge-dr-unit-102-fairfax-va-dining-room.jpg) ![Dining room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/gWQuO26LX2j3LpwvFgoet3iQyVCjqbcn9n794pqwji0/118/9720-kingsbridge-dr-unit-102-fairfax-va-dining-room.jpg) ![Dining room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/y7cJQlDX3gOxebTlJ-NjrtIzcF6dvCIOSDCh81pkLZk/118/9720-kingsbridge-dr-unit-102-fairfax-va-dining-room.jpg) ![Kitchen - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/jaQMKCYJ0bsbK9o0ETNn5nTTBKJxIDVy8K0R8hJVMI4/118/9720-kingsbridge-dr-unit-102-fairfax-va-kitchen.jpg) ![Kitchen - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/Kh0Gzub5o_-L5SiYUQLm4lSXdEc1ScCPymPQcQroap0/118/9720-kingsbridge-dr-unit-102-fairfax-va-kitchen.jpg) ![Kitchen - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/1d7yPSfzhQJDyY4UWKgIzMuOOMdaf6jsw59PXmg8ZAc/118/9720-kingsbridge-dr-unit-102-fairfax-va-kitchen.jpg) ![Hallway - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/vDji-frLeky3-yTIs0WoCAJ4xB3s3nUfKJjunC2Yk1E/118/9720-kingsbridge-dr-unit-102-fairfax-va-hallway.jpg) ![Master bedroom - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/vwmT39N4CM7c4HUgYbJFnoXHbaKnhoLoeGueZrE93Is/118/9720-kingsbridge-dr-unit-102-fairfax-va-master-bedroom.jpg) ![Master bedroom - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/xhzsfUTyL5ptCBWZhZs0_zu7VVXzeDF2A_N35oQrFXg/118/9720-kingsbridge-dr-unit-102-fairfax-va-master-bedroom.jpg) ![Master closet - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/KD8wUG6L1-asGalthT8tbeebEiKwV54n9Sj1W0CXpGk/118/9720-kingsbridge-dr-unit-102-fairfax-va-master-closet.jpg) ![Second bedroom - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/OivTuF4thgwDdl_illLmTyrCZmA7MFjBrfOJW9KvAx0/118/9720-kingsbridge-dr-unit-102-fairfax-va-second-bedroom.jpg) ![Second bedroom - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/iMSdHMHgVqRg_339j_oWMzdjt5OBrVvoxVF_xUxM72M/118/9720-kingsbridge-dr-unit-102-fairfax-va-second-bedroom.jpg) ![Half bath - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/HDffDY8FvQJCl-vaBuvCRooCTPa8sj-8ZV4wGixo_xc/118/9720-kingsbridge-dr-unit-102-fairfax-va-half-bath.jpg) ![Master bath - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/7YW78oH20a0elKOtIp7yajNyscypeiZYkl0wsvRwdA4/118/9720-kingsbridge-dr-unit-102-fairfax-va-master-bath.jpg) ![Laundry room - 9720 Kingsbridge Dr](https://images1.apartments.com/i2/7CGbHkoFNbzPFCPhFgqNLz42g6kwA3yPofksy9UCpWc/118/9720-kingsbridge-dr-unit-102-fairfax-va-laundry-room.jpg) ","Abundant space, great location!
Condo for rent near Fairfax City, Cue Bus, Metro - available September
About 9720 Kingsbridge Dr Fairfax, VA 22031
Utilities included - $1,750 month, 2 BR Second-floor 2 BR/1.5 BA condo with new refrigerator, new flooring throughout, updated bathrooms, freshly painted, non smoking. Condo fee is included and PAYS FOR ALL UTILITIES except a small light bill which averages around $45/month. Available September 1st. Condo has lots of natural lighting, a spacious kitchen with separate dining room, large living room, master bedroom with walk-in closet, and spacious second bedroom. Also fealtured is a laundry room with full size washer and dryer, and balcony overlooking beautifully groomed common area with swimming pool. 
Nearby schools include Mosby Woods Elementary. Luther Jackson Middle School. Oakton High School. Two off-street parking passes plus one visitor pass included. Additional temporary parking passes are available from the condo office when needed. Community includes Swimming Pool, Community Center, Tot Play Area, and Picnic Tables with Grills. Located one mile from the Vienna metro. Draper Drive Park is less than a mile away. 
Condo fee is paid by the owner and includes heat, a/c, hot and cold water, sewage, and trash removal. Tenant pays electricity for appliances, lights, etc, which averages around $45/month. Feel free to cal or text. show contact info
Features
Washer/Dryer
Pets OK
Off Street parking 
Lease Length - 12 Months
Contact
703-864-7591
571-499-8946"
