Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Flats170 at Academy Yard](https://www.apartments.com/flats170-at-academy-yard-odenton-md/36jy6nf/),877-773-5188,"[8313 Telegraph Rd, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8313+Telegraph+Rd,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",789 Sq Ft,"$1,293 - 2,633","* Storage Fee: $30
* Assigned Garage Parking: $175 - 210
* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed:
Breed Restrictions 
* $250 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
496 spaces. Attached Garages: $225/month Detached Garages: $175/month.","* Fitness Center
* Fitness Programs
* Pool
* Bike Storage
* Media Center/Movie Theatre",,"* Expansive Windows
* Gas Range Cooking
* Individual Climate Control
* Large Closets
* Moen (R)  Fixtures
* Shaker-Style Cabinets","* High Speed Internet Access
* Smoke Free",,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Pet Washing Station
* Car Charging Station","* Built in 2013
* 369 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Conference Room",* Sundeck,,"The best of urban design has arrived in Odenton, Maryland. Welcome to Flats170 at Academy Yard, where you?ll be greeted with richly appointed interiors, first-class amenities, and eco-friendly touches that will make you feel right at home. Our central location in Anne Arundel County means you are never far from work or play. We are next door to Fort Meade and the NSA, close to numerous defense and tech companies, and within 30 minutes of Annapolis, Baltimore, and Washington, DC. The MARC train station is less than one mile down the road, and BWI is just 10 minutes away."
[The Point at Odenton](https://www.apartments.com/the-point-at-odenton-odenton-md/c2qjpwf/),844-288-3169,"[322 Baldwin Rd, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/322+Baldwin+Rd,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",622 Sq Ft,"$1,390 - 3,688","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $250
* Application Fee: $35
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome 2 pets per apartment home with no weight limit. There is a one-time pet fee of $500. Pet rent is $35 for 1 pet and $50 for 2 pets. Please call our leasing office for complete pet policy information. Depending on weight, pet rent can range from $30-$50 
* $50 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space. Spacious surface parking available! Please call our leasing office for complete parking information.",* Fitness Center,,"* Controlled access
* Corn-Hole Court
* Cyber Cafe
* Expansive outdoor lounges with fire tables
* Gas grilling stations
* Interior corridors
* On-site storage
* Open-air cabanas
* Resort-Style swimming pool
* Social lounge
* Spacious courtyard",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2016
* 212 Units/4 Stories",* Clubhouse,,,"The Point at Odenton is your one-stop shop for urban conveniences and a suburban comfort. Central to Washington DC, Annapolis and Baltimore, walking distance to the Odenton MARC station and neighboring Fort Meade, you're never far from your destination. And with our contemporary on-site amenities and indulgent floor plans, comfort and convenience are always at your fingertips."
[Fieldstone Farm](https://www.apartments.com/fieldstone-farm-odenton-md/myh3geh/),844-870-1074,"[800 Hydric Ct, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/800+Hydric+Ct,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",750 Sq Ft,"$1,515 - 1,925","* Unassigned Garage Parking: $160
* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $25
* Cat Fee: $150
* Cat Deposit: $150
* Dog Fee: $150
* Dog Deposit: $150","Dogs Allowed:
PET FEE:$300 - Due at Move in ($150 is refundable at move out) * PET RENT: $30 per month * (Maximum of two pets per apartment; breed restrictions apply) 
* $150 Deposit
* $30 Monthly Pet Rent
* $150 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Free Weights
* Pool
* Tennis Court",* Range,,"* Washer/Dryer
* Heating
* Cable Ready
* Fireplace",,12 months,,"* Built in 2004
* 187 Units/3 Stories",* Lounge,,,"The lifestyle you've always imagined awaits you at Fieldstone Farm. These spectacular apartment homes in the Piney Orchard community offer luxury and resort-style living while compromising nothing. Here, you'll have the opportunity to avail yourself of a variety of amenities including a 45-acre wildlife preserve, a beautiful lake, extensive walking and biking paths, tennis courts, and even an ice rink. The Piney Orchard Community Center features a year-round indoor lap pool and whirlpool, 3 outdoor pools, and a multi-stationed playground. There's something for everyone...and then there's so much more. It's all waiting for you when you live at Fieldstone Farm."
[Riverscape at Piney Orchard](https://www.apartments.com/riverscape-at-piney-orchard-odenton-md/bdbsbq8/),866-358-5111,"[2600 Midway Branch Dr, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2600+Midway+Branch+Dr,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",744 Sq Ft,"$1,366 - 1,820",,* Application Fee: $25,"Dogs Allowed:
Pets Allowed: $300 security deposit, $150 refundable, plus additional $30/month. Call for breed restrictions.",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool",* Range,,"* Washer/Dryer
* Air Conditioning
* Heating
* Fireplace","* Walk-In Closets
* Window Coverings",12 months,,"* Built in 1999
* 280 Units/3 Stories","* Business Center
* Clubhouse",,,"The luxurious lifestyle you've always imagined awaits you at Riverscape Apartments in Piney Orchard. These spectacular luxury Odenton apartments near Fort Meade offer convenience and resort-style living while compromising nothing. Here, you'll have the opportunity to avail yourself of a variety of amenities including a 45-acre wildlife preserve, pet-friendly apartments, a beautiful lake, extensive walking and biking paths, tennis courts, and even an ice rink. The Piney Orchard Community Center features a year-round indoor lap pool and whirlpool, 3 outdoor pools, and a multi-stationed playground. It's all waiting for you when you live at Riverscape Apartments in Piney Orchard."
[The Village at Odenton Station](https://www.apartments.com/the-village-at-odenton-station-odenton-md/8z0f1l3/),877-513-4152,"[1415 Duckens St, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1415+Duckens+St,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",757 Sq Ft,"$1,465 - 1,980","* Cat Rent: $30
* Dog Rent: $30",* Application Fee: $35,"Dogs Allowed:
Pet friendly. Breed restrictions apply. Please call for details. 
* $30 Monthly Pet Rent",50,50,"Surface Lot
Parking Available",* Fitness Center,* Range,,"* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready",,12 months,,"* Built in 2012
* 235 Units/4 Stories
* Energy Star Rated","* Elevator
* Business Center
* Lounge",,,"At The Village at Odenton Station, our luxury apartments for rent in Odenton have expansive rooms, spacious closets and a hardwood dining area, you will feel right at home from the minute you move in to your new Odenton apartment. Enjoy our on-site fitness center or take on the outdoors with the hiker/biker trail. Create magical meals at home or grab food just seconds from your luxury apartment in Odenton, MD. Spend your weekends curled up on your couch or out shopping with friends - all on the premises of The Village at Odenton Station. The Odenton MARC Train Station is located across the street with easy access to D.C. and Baltimore. Also, you will find our luxury apartments near Arundel Mills Mall, the BWI airport, Fort Meade and NSA. * Village Retail NOW OPEN: Ruths Chris, Kiddie Academy, Baltimore Coffee & Tea, Bliss Nail & Spa, Physiotherapy Associates, Odenton Station Dental, A Better You and Odenton Statio Cleaners. Coming soon CJays Barbershop."
[Shelter Cove](https://www.apartments.com/shelter-cove-odenton-md/2yxbcdb/),301-850-4680,"[537 Tranquil Ct, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/537+Tranquil+Ct,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",705 Sq Ft,"$1,225 - 1,805","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $45
* Cat Fee: $250
* Dog Fee: $250",No Pets Allowed,50,50,"Surface Lot
Assigned Parking.","* Fitness Center
* Free Weights
* Sauna
* Pool
* Playground
* Tennis Court
* Volleyball Court","* Dishwasher
* Disposal
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Dining Room
* Walk-In Closets",,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 1974
* Renovated in Jan 2013
* 300 Units/3 Stories","* Business Center
* Clubhouse
* Storage Space",* Sundeck,,"Shelter Cove Apartments is a true value. Our community offers classic and newly renovated apartment home, abundant amenities and the absolute best location! Bike or walk on our tree-lined sidewalks, lay a blanket under our canopy of trees and read a book or have a picnic, bask in the sun at our pool and sundeck, or just enjoy abundant space in our one, two or three-bedroom apartment homes with optional dens. Don’t let our small town setting fool you; shopping and dining are just minutes away. We are also minutes from major freeways, Fort Meade, BWI Airport and the MARC train and just a short drive to downtown DC, Baltimore and Annapolis. Come home to Shelter Cove."
[Seven Oaks](https://www.apartments.com/seven-oaks-odenton-md/ewsbn4p/),866-712-6563,"[2100 Sentry Ct, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2100+Sentry+Ct,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",948 Sq Ft,"$1,395 - 1,981","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $35
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
Excluded dog breeds include Akita, Alaskan Malamute, American Bull Dog, American Pit Bull Terrier, American or Bull Staffordshire Terrier, Bull Terrier, Chinese Shar-Pei, Dalmatian, Doberman Pinscher, Persa Canario, Pit Bull, Rottweiler, Siberian Husky, Stafford Terrier, Chow, German Shepherd and any mix thereof. Letter required by Certified Veterinarian for proof of breed, weight, and required vaccinations. Breed restrictions apply. Pet dep - $250.00 per pet-max. of two pets. Monthly Pet Fee - $30 per pet. 75 lb. weight limit. 
* $35 Monthly Pet Rent
* $250 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Playground,,"* 24-Hour Fitness Center
* BBQ/Picnic Area
* Pet Park
* Resort Style Pool
* Sand Volleyball Court
* Sports Courts
* Steam room
* Balcony (01-99)
* Blinds
* Large Closet
* Single-sided gas log fireplace
* Washer/Dryer in Unit",* High Speed Internet Access,,Variable,,"* Built in 1990
* 272 Units/3 Stories",* Clubhouse,* Balcony,,"Come home to a new perspective on luxury living in Odenton, MD-Seven Oaks Apartments. Our luxury apartments provide a wealth of convenience through our many exclusive amenities. Our unique style is enhanced by our great location, making Seven Oaks the best apartments in the Fort Meade area. Enjoy relaxing in your one or two bedroom home, carefully designed with you in mind. Each of our apartments in Odenton come with walk-in closets, an expansive balcony, and gas burning fireplace that offers you the perfect way to enjoy a cozy evening at home. For your added convenience, our Odenton, MD apartments also provide an in-unit washer and dryer. Residents of our Severn, MD apartment community can work out in our fitness center, invite friends over for a social function in our clubhouse, or spend an afternoon in our invigorating pool or sauna. If you're looking for Fort Meade, MD apartments or Severn, MD apartments, Seven Oaks provides you with the ideal option. Whatever you desire in ..."
[The 615 at Odenton Gateway](https://www.apartments.com/the-615-at-odenton-gateway-odenton-md/wrsz5vl/),866-647-8819,"[615 Carlton Otto Ln, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/615+Carlton+Otto+Ln,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",821 Sq Ft,"$1,427 - 3,560",,* Application Fee: $25,"Dogs Allowed:
Up to two pets per household. Pet rent $35/month per pet and $300 refundable pet deposit. Pit Bulls, Domberman, Rottweiler, Akita, Chow Chow, Spitz, Wolf Hybrids Up to two pets per household. Pet rent $35/month per pet and $300 refundable pet deposit. 
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot and Other
We also offer oversized, detached single car garages for $165/month!","* Fitness Center
* Playground","* Dishwasher
* Disposal
* Refrigerator","* Clubhouse w/Gourmet Kitchen
* Conference Room & Internet Cafe
* Detached Garages Available
* Dog Park
* Expansive Sundeck with Wi-Fi
* Fenced-In Dog Park
* Internet Cafe
* Outdoor Cabana w/Poolside Grills
* Outdoor Fireplace with TV
* Resort Style Saline Pool
* Saline Water Pool
* Screened in Balcony
* Black Appliances w/Microwaves
* Elegant Crown Molding
* Granite Kitchen Countertops
* Impressive Nine-Foot Ceilings
* Maple Cabinetry
* Nature & Pool View*
* Oversized Walk-In Closets
* Relaxing Garden Tubs
* Washer & Dryer Included","* High Speed Internet Access
* Heating
* Ceiling Fans
* Storage Units
* Wheelchair Accessible (Rooms)",,Variable,,"* Built in 2012
* 252 Units/4 Stories",,"* Balcony
* Patio",,"Luxury apartment living at its finest located in Odenton, Maryland between Washington DC, Baltimore, and Annapolis. Were close to everything and a haven from it all. Our 252-unit apartment community provides spacious one, two and three bedroom contemporary residences that have been designed with your comfort and convenience in mind. Apartments feature designer kitchens, elegant crown molding, private screened-in balconies and patios, full washers and dryers, and king-size bedrooms with walk-in closets. Community amenities include a resort-style pool, a fully equipped fitness center, a business center, and much more."
[The Point At Seven Oaks](https://www.apartments.com/the-point-at-seven-oaks-odenton-md/1wt9fz7/),571-612-2124,"[300 Gatehouse Ln, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/300+Gatehouse+Ln,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",740 Sq Ft,"$1,283 - 1,871","* Cat Rent: $35
* Dog Rent: $35","* Admin Fee: $150
* Application Fee: $35
* Cat Fee: $200
* Cat Deposit: $200
* Dog Fee: $200
* Dog Deposit: $200","Dogs and Cats Allowed:
All pets are welcome except rotweilers, american pitbulls, doberman pinscher, husky, alaskan malamute, german shepards, chow chows, siberian husky, staffordshire bull terriers, presa canarios, akitas, wolf-dog hybrids. Please call for more details. 
* $200 Deposit
* $35 Monthly Pet Rent
* $200 Fee
* 90 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* 24-hour Emergency Maintenance
* BBQ Grill and Picnic Area
* BBQ/Picnic Area
* Car Care Center
* Coffee Bar
* Courtesy Patrol
* Cyber cafe for comfortable web
* Dog Park
* Excellent access
* Free Parking
* High-speed cable & internet
* Landscaping
* Packages accepted at Rent Ofc
* Park and Playground Area
* Pet-friendly
* Professional Management
* Regular-sized pool
* Tot Lots
* Accessible
* Balconies and patios
* Blinds and mini blinds
* Built in microwave
* Built-in bookshelves and desks
* Carpet
* Cooling and Heating
* Fireplace-no charge
* Full size washer and dryer
* Full-size washer/dryer
* Gas Fireplaces
* Handicap Access
* Large Patio/ Balcoony
* Spacious Floor Plans
* Walk in closets and linen clos
* Washer & Dryer Side by Side
* Window blinds","* High Speed Internet Access
* Ceiling Fans",,Variable,,"* Built in 2000
* 264 Units/3 Stories",* Clubhouse,,,"Welcome home to The Point at Seven Oaks where you will find the winning combination of comfort, convenience, and value for a very affordable price. The stylish and distinctive apartments with spacious floor plans offer all the features that you want and deserve. The attention to detail and attentiveness to the needs of residents sets our skilled and professional management team above the rest. Your expectations will be met and exceeded with a superior level of customer service."
[Groves at Piney Orchard](https://www.apartments.com/groves-at-piney-orchard-odenton-md/kfy8blb/),844-868-3032,"[2404 Ash Grove Ln, Odenton, MD 21113](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2404+Ash+Grove+Ln,+Odenton,+MD+21113/data=!4m2!4m1!3e2)",744 Sq Ft,"$1,455 - 2,010","* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $25
* Cat Fee: $150
* Cat Deposit: $150
* Dog Fee: $150
* Dog Deposit: $150","Dogs Allowed:
Limit two cats per apartment, permitted in all buildings. Limit two dogs (second must be 35lbs or less) per apartment, permitted in designated buildings only. Certain breeds of dogs are not permitted in our community; please contact the Leasing Office for details. There is a $150 refundable pet deposit and a $150 non-refundable pet sanitation fee. A monthly fee of $30 per pet also applies. 
* $150 Deposit
* $30 Monthly Pet Rent
* $150 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking. Parking Available","* Fitness Center
* Spa
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Range",,"* Washer/Dryer
* Air Conditioning
* Heating","* Walk-In Closets
* Furnished",12 months,,"* Built in 1995
* 258 Units/3 Stories
* Furnished",* Clubhouse,* Balcony,,"The lifestyle you've always imagined awaits you at The Groves at Piney Orchard. These spectacular apartment homes in the Piney Orchard community offer luxury and resort-style living while compromising nothing. Here, you'll have the opportunity to avail yourself of a variety of amenities including a 45-acre wildlife preserve, a beautiful lake, extensive walking and biking paths, tennis courts, and even an ice rink. The Piney Orchard Community Center features a year-round indoor lap pool and whirlpool, 3 outdoor pools, and a multi-stationed playground. There's something for everyone...and then there's so much more. It's all waiting for you when you live at The Groves at Piney Orchard."
