Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Foundry Centre Apartments](https://www.apartments.com/foundry-centre-apartments-owings-mills-md/7qxsxgz/),443-219-1225,"[21 Garrison View Rd, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21+Garrison+View+Rd,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",655 Sq Ft,"$1,115 - 2,645","* Unassigned Surface Lot Parking: $30
* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $35
* Cat Fee: $150
* Cat Deposit: $250
* Dog Fee: $150
* Dog Deposit: $250","Dogs Allowed:
1 cat and 1 dog, or 1 dog per household with a weight limit of 50lbs. $400 pet Deposit which includes Refundable Pet deposit of $250 and Non-refundable Pet fee of $150.00. Monthly pet fee $25.00 per pet. 
* $250 Deposit
* $25 Monthly Pet Rent
* $150 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $30
2 spaces.","* Fitness Center
* Pool
* Playground",,"* Laundry Care Facilities
* Reserved Parking Available
* Washer/Dryer Within Each Unit",* High Speed Internet Access,,"6, 9, and 12 months","* Package Service
* Maintenance on site","* Built in 1973
* 384 Units/3 Stories","* Business Center
* Clubhouse",* Sundeck,,"Find the perfect layout that fits your lifestyle at Foundry Centre, with 1-bedroom, 2-bedroom, and 3-bedroom apartments in the convenient suburb of Owings Mills, MD. Each spacious floor plan features new kitchens with granite countertops and updated stainless steel appliances, renovated baths, new in-suite washer and dryer units, elegant new lighting fixtures, and a balcony or patio. Foundry Centre offers newly renovated community amenities for your comfort and convenience, like an outdoor swimming pool with deck, picnic area, playground, fitness center, and resident events in our clubhouse. Foundry Centre is conveniently located across the street from Foundry Row and a quick drive to the Metro Center shopping center, the Baltimore Beltway/I-695 and I-795, and the Owings Mills Metro Subway Station."
[Metro Crossing Apartments](https://www.apartments.com/metro-crossing-apartments-owings-mills-md/lwqnqhe/),866-415-9685,"[10209 Grand Central Ave, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10209+Grand+Central+Ave,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,395 - 2,475","* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Application Fee: $35
* Cat Deposit: $500
* Dog Deposit: $500","Dogs Allowed:
$500 deposit, $30 monthly rent. Maximum of two pets. 75 pound weight limit. Breed restrictions apply. 
* $500 Deposit
* $30 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Covered
1 space.","* Fitness Center
* Free Weights
* Pool","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* Apply Online
* Electric Car Charging Station
* Online Resident Portal
* Pay Rent Online","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Walk-In Closets
* Window Coverings",,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 2014
* 232 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space",* Sundeck,,"Hottest trend in apartment living! Brand new Metro Crossing Apartments built above retail along Grand Central Avenue in the heart of Owings Mills is a new walkable/bikeable community offering cafes, restaurants, spas, salons and much more. Not only will you be living in a community that puts everything at your doorstep, but also makes commuting to work or play in Baltimore as simple as walking to the Owings Mills Metro station to ride the rails. Sleek one and two bedroom apartments feature open design kitchens with maintenance free quartz countertops, contemporary espresso cabinetry, stainless steel appliances, designer lighting and fixture packages and nine foot ceilings."
[The Point at Owings Mills](https://www.apartments.com/the-point-at-owings-mills-owings-mills-md/dyzvz4k/),844-360-0786,"[9204 Appleford Cir, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9204+Appleford+Cir,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",673 Sq Ft,"$1,066 - 1,812","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Fee: $200
* Cat Deposit: $300
* Dog Fee: $200
* Dog Deposit: $300","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a non-refundable pet deposit of $300 and a non-refundable one-time pet fee of $200. Pet rent is $50. Please call our leasing office for complete pet policy information. 
* $300 Deposit
* $50 Monthly Pet Rent
* $200 Fee
* 2 Pet Limit",50,50,Covered,,,* Internet access in the Clubhouse,* High Speed Internet Access,,Variable,* Pet Care,"* Built in 1999
* 348 Units/4 Stories",,,,"The Point at Owings Mills is a vibrant apartment community ideally located in a quiet park-like setting close to public transportation and I-795, yet within walking distance to shopping and dining across the street from the property. A wide range of beautiful one, two, and three bedroom apartment homes and townhouses make it easy to find a home to fit your needs. Residents enjoy the sparkling swimming pool next to the lavish clubhouse with a well-equipped fitness center and business center. The extraordinary level of comfort, convenience, and customer service provided by a dedicated management team will make your choice of The Point at Owings Mills the right one for your new home."
[Groveton Green](https://www.apartments.com/groveton-green-owings-mills-md/1h81876/),877-564-0049,"[9401 Groveton Cir, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9401+Groveton+Cir,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",864 Sq Ft,"$1,323 - 2,209","* Cat Rent: $35
* Dog Rent: $50","* Application Fee: $30
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed:
Groveton Green is a pet friendly community. We accept up to 2 pets per Apartment Home. There is a $250 pet deposit and the weight limit is not to exceed 100 lbs. Breed Restrictions do apply. 
* $250 Deposit
* $50 Monthly Pet Rent
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Garage
Garages are available for rent.","* Fitness Center
* Playground",,"* Balconies/Patios
* Bike Storage
* Breakfast Bar or Island*
* Business Center
* Conference Room
* Custom Stone Countertops
* Designer Cabinetry
* Dog Park
* Full-Size Washer & Dryer
* Game Room with Poker & Billiards
* Hardwood-Style Flooring
* In Select Apartment Homes*
* Online Rent Payments
* Outdoor BBQ Area
* Outdoor Firepit
* Oversized Windows
* Pet Spa
* Social & Entertainment Lounges
* Stainless Steel Appliances
* Swimming Pool with Waterfall
* Theater Lounge
* Walk-In Closet
* Yoga Studio
* Zen Garden",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2013
* 226 Units/4 Stories","* Elevator
* Clubhouse","* Balcony
* Patio",,"Groveton Green Apartments combines extraordinary amenities and modern luxury living with eco-friendly design. This high-end community of one, two and three bedroom apartments boasts an impressive collection of sixteen floor plans, fifteen amenities and one unbeatable location in Owings Mills, MD. Groveton Green is the first and only LEED (R)  Gold Certified apartment building in the Owings Mills area and boasts several Green Living and Smoke Free features designed to reduce the impact on you and the environment. Visit Groveton Green today and discover serene apartment living in Owings Mills, MD. We look forward to welcoming you home!"
[Owings Park Apartments](https://www.apartments.com/owings-park-apartments-owings-mills-md/tg499l9/),443-898-1291,"[9202 Owings Park Dr, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9202+Owings+Park+Dr,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",833 Sq Ft,"$1,209 - 2,183","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a $300 pet deposit. Pet rent is $35 per month. Please ask about our aggressive breed restrictions. 
* $300 Deposit
* $35 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Fitness Center,* Dishwasher,"* Car Wash Station
* Controlled Access Buildings
* Dog Park
* Grills & Picnic Area
* Package Acceptance
* Part of the Lyons Mill Elementary School District
* Swimming Pool
* Fireplaces on the 2nd & 3rd Floor Apartments*
* Garbage Disposal
* In Select Apartment Homes*
* Vinyl Plank Flooring in Kitchen & Dining Area*
* Walk-In Closets
* Washer & Dryer in Apartments*",* High Speed Internet Access,,Variable,,"* Built in 2002
* 174 Units/2 Stories",* Clubhouse,,,"Owings Park Apartments is a Greystar community offering spacious apartment homes, wonderful amenities, and world-class service to our community. We offer one and two bedroom apartments, as well as three bedroom townhomes. Every apartment and townhome has private outdoor space with walk our patio space on ground level apartments and deck space on all upper levels apartments and townhomes. Enjoy a warm sunny day poolside, or stop by our clubhouse on your way to the office and enjoy a hot cup of coffee by the fire. Your new home will be close to shopping, dining, and entertainment and have easy access to I-795. Whether you enjoy the serenity of our suburban neighborhood or you want to make the quick drive to downtown Baltimore, Owings Park Apartments has something for everyone!"
[Red Run Apartments](https://www.apartments.com/red-run-apartments-owings-mills-md/k928ev8/),877-286-8035,"[4300 Flint Hill Dr, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4300+Flint+Hill+Dr,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",610 Sq Ft,"$1,075 - 2,460","* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
Breed Restrictions Apply. $300 refundable deposit. Pet rent is $30 per month. Please call for additional information. 
* $300 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Parking Available",* Pool,* Range,,"* Washer/Dryer
* Heating
* Fireplace",,"4 months, 5 months, 7 months, 8 months, 10 months, 11 months, 12 months, 13 months, 14 months","* Package Service
* 24 Hour Availability","* Built in 1994
* Renovated in Jan 2003
* 520 Units/3 Stories","* Business Center
* Clubhouse",* Balcony,,Red Run offers the best of both worlds in apartment living with walk-up garden style buildings and mid-rise elevator buildings.
[Owings Run Apartments](https://www.apartments.com/owings-run-apartments-owings-mills-md/302ms2g/),866-260-3969,"[4604 Owings Run Rd, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4604+Owings+Run+Rd,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)","1,040 Sq Ft","$1,205 - 2,030","* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Cats and dogs are welcome. Maximum two cats per apartment or one dog and one cat per apartment. No weight limit. Monthly fees: $30 per pet. Refundable deposit: $300 (first pet only). Breed restrictions and other limitations apply. 
* $300 Deposit
* $30 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* Dog Run
* Easy access to Metro subway station
* Near Wegmans Foundry Row Shopping Center","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower",* Walk-In Closets,"2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months","* Package Service
* Property Manager on Site
* Furnished Units Available","* Built in 1995
* 504 Units/3 Stories
* Furnished",* Business Center,* Gated,,"Come to Owings Run Apartments in Owings Mills, MD, and experience all our one-, two-, and three-bedroom apartments have to offer. Enjoy a full kitchen, central air, an in-home washer and dryer, and balcony or patio. Select apartments have an eat-in kitchen with brushed silver appliances, ceramic-tile bath, separate dining room, and a separate den or office. You'll also enjoy our swimming pool with deck, playground, fitness and business centers, dog park, and having controlled building access. * Located in the Baltimore County School District, just 18 miles NW of Baltimore City, Owings Run Apartments provides easy accessibility to Metro Baltimore via I-695 and I-795. Or, simply use the nearby Metro Subway Station. Owings Mills Mall and New Town Shopping Center are minutes away, too. On-site parking is provided. Cats and dogs are welcome."
[The View at Mill Run](https://www.apartments.com/the-view-at-mill-run-owings-mills-md/t25dr19/),443-438-1499,"[9755 Mill Centre Dr, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9755+Mill+Centre+Dr,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",882 Sq Ft,"$1,202 - 4,511","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Cats and Dogs welcome. Breed Restrictions Apply. Please call for details. 
* $300 Deposit
* $25 Monthly Pet Rent",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool","* Microwave
* Range",* Soldiers Delight Nature Preserve,"* Washer/Dryer
* Air Conditioning
* Heating
* Storage Units",,"3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months, 16 months, 17 months, 18 months","* Maintenance on site
* Security System","* Built in 2011
* 376 Units/4 Stories
* Energy Star Rated","* Elevator
* Clubhouse
* Storage Space",* Balcony,,"These Owings Mills apartments at The View at Mill Run have been designed and appointed with your needs in mind. Here you will find fully applianced kitchens, complete with built-in microwave. Pantries and abundant countertop space will enhance your desire to stay in the kitchen. Our apartment homes are pre-wired for high speed internet and cable access. Even your laundry needs will be a breeze with a full-sized washer and dryer in each apartment home. Come home to The View at Mill Run, an Owings Mills apartment you will be proud to call your own! 2012 Maryland Multi-Housing Association Silver Star Award recipient and 2013 Maryland Multi Housing Association Gold Star Award recipient."
[Allyson Gardens II](https://www.apartments.com/allyson-gardens-ii-owings-mills-md/qn75nyy/),844-205-2867,"[206 Frost Hill Dr, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/206+Frost+Hill+Dr,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",800 Sq Ft,"$975 - 1,270","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal, Sewer: Included",* Application Fee: $40,"Dogs Allowed:
Pets welcome in each home! Maximum weight: 30 pounds One time registration fee: $300 Monthly pet fee: $25 Breed restrictions apply. 
* $25 Monthly Pet Rent",50,50,"Surface Lot and Street
1 space.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Heating",,"12 months, 18 months, 24 months",* Maintenance on site,"* Built in 1990
* 199 Units/3 Stories",* Business Center,* Balcony,,"Owings Mills Apartments | Allyson Gardens II * Allyson Gardens II is tucked away in an idyllic wooded area convenient to Reisterstown Road, I-795, major bus lines and Owings Mills shopping and attractions. A clubhouse oasis anchors this community of one and two bedroom apartments. With private balconies, a washer and dryer in each apartment, Olympic sized pool and fitness center, AG II is affordable luxury at its best. As a resident of a our community, you will experience courteous and capable service as we strive to exceed your expectations every time. * Property Address * 206 Frost Hill Drive, Owings Mills, MD 21117 *"
[Summit at Owings Mills Apartments](https://www.apartments.com/summit-at-owings-mills-apartments-owings-mills-md/c1q8mwf/),888-819-2541,"[1 Meridian Ln, Owings Mills, MD 21117](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1+Meridian+Ln,+Owings+Mills,+MD+21117/data=!4m2!4m1!3e2)",,"$1,416 - 1,481","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $250
* Dog Fee: $300","Dogs Allowed
Restricted Breeds: Pit Bull, Staffordshire Terrier, American Bulldog, Rottweiler, Mastiff, Great Dane, Doberman Pinscher, Irish Wolf Hound, German Shepherd. 
* $25 Monthly Pet Rent
* $300 Fee
* 25 lb Weight Limit
* 1 Pet Limit",50,50,Surface Lot,"* Fitness Center
* Pool","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator","* 2015 Silver Star Award Winner!
* 24-Hour Emergency Service
* Built-In Microwave
* Cable Ready
* Car Wash
* Central Air Conditioning
* Coffee and Snack Bar
* Dishwasher
* Disposal
* Extra Storage
* Full-Size Washer and Dryer in Every Home
* Ice Maker
* Large Closets
* Near Schools, Shopping, Restaurants
* Off Street Parking
* Package Receiving
* Plush Wall-to-Wall Carpeting
* Private Balcony or Patio
* Refrigerator
* Spacious Two Bedroom, Two Bathroom Apartments","* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",12,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Car Wash Area","* Built in 2006
* 160 Units/3 Stories","* Business Center
* Clubhouse
* Lounge
* Breakfast/Coffee Concierge",* Gated,,"Welcome home to The Summit at Owings Mills: A 2015 MMHA Star Award winning community, extraordinary in both design and craftsmanship. You will notice the difference such attention to detail makes in our custom two bedroom apartment homes, where every designer touch ensures an extraordinary living experience. Step outside to beautifully landscaped gardens, showcasing the richly appointed resident parlor and coffee bar, the 24 hour fitness club, auto detail center and elevated pool and lounging deck. The Summit at Owings Mills will exceed your expectations with luxury, comfort and convenience. Please call for an appointment today."
