Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Harbor Place Apartment Homes](https://www.apartments.com/harbor-place-apartment-homes-fort-washington-md/d3nhdjl/),888-817-7140,"[1101 Palmer Rd, Fort Washington, MD 20744](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1101+Palmer+Rd,+Fort+Washington,+MD+20744/data=!4m2!4m1!3e2)",717 Sq Ft,"$1,177 - 2,040","* Cat Rent: $45
* Dog Rent: $45","* Application Fee: $45
* Cat Deposit: $350
* Dog Deposit: $350","Dogs Allowed:
Breed Restrictions Apply. Breed Restrictions Apply. 
* $350 Deposit
* $45 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Reserved Parking Available*","* Fitness Center
* Pool
* Playground",,"* 24 Hour Emergency Maintenance
* Air Conditioner
* Breakfast Bar*
* Cable Ready
* Ceiling Fan*
* Ceramic Tile Floors*
* Coffee Bar
* Courtesy Mail Pick Up
* Dishwasher
* Disposal
* Dog Park
* Maple Cabinets*
* Outdoor Fitness Stations
* Patio/Balcony
* Planned Social Activities
* Refrigerator
* Reserved Parking Available*
* Spacious Closet
* Two Tone Designer Paint
* Wall to Wall Carpeting
* Washer & Dryer in Home
* Window Coverings",* High Speed Internet Access,,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","* Maintenance on site
* 24 Hour Availability","* Built in 1968
* Renovated in Jan 2000
* 606 Units/3 Stories","* Business Center
* Coffee Bar",* Sundeck,,"**Live rent Free until October! Must move-in by 9/25/17** In the heart of the Washington DC Metropolitan area and only minutes to the area's superb shopping, dining, recreation, schools and entertainment, urban chic meets neighborhood charm at Harbor Place Apartments. Harbor Place offers the excitement and culture of Washington, DC paired with the quiet charm of the suburbs. Located minutes to Gaylord National Harbor and Convention Center, Old Towne Alexandria, Reagan Airport, Bolling AFB, Naval Yard, Andrews AFB, Rosecroft Raceway, Six Flags, FedEx Field, I-495, I-95, I-295 and 210."
[The Esplanade at National Harbor](https://www.apartments.com/the-esplanade-at-national-harbor-oxon-hill-md/8cl1hg0/),844-826-3152,"[250 American Way, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/250+American+Way,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",748 Sq Ft,"$1,775 - 5,491","* Unassigned Garage Parking: $100
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300",No Pets Allowed,50,50,"Covered
1 space.","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Spa
* Pool
* Bike Storage
* Gameroom
* Media Center/Movie Theatre","* Granite Countertops
* Stainless Steel Appliances","* Game Room with Poker Table
* Golf Simulator Room
* Yoga Room","* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Smoke Free
* Fireplace",* Hardwood Floors,,"* Package Service
* Community-Wide WiFi
* Controlled Access
* Maintenance on site
* Concierge
* 24 Hour Availability
* On-Site Retail
* Recycling
* Energy Star Certified
* Guest Apartment
* Pet Care
* Car Charging Station","* Built in 2015
* 262 Units/6 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Conference Room
* Library","* Rooftop Lounge
* Sundeck
* Courtyard
* Grill",,"Life at The Esplanade is more than apartment living?it?s a state of being. Indulge in gracious amenities. Breathe in the elegant surroundings. Treat yourself to shopping and dining along the Potomac. From comfort to convenience, this is a new and vibrant lifestyle statement. All you have to do is let the luxury flow to you. Incredible amenities, like The Channel Club, are exclusively yours to indulge in day and night. Shopping, dining, and the Potomac provide unlimited opportunities for neighborhood diversions and excursions. Residences with features and details that allow you to live like you?re on vacation, every day of the year. The sights at National Harbor change daily and with the seasons, but are always endlessly fascinating. 350 spectacular waterfront acres, dedicated exclusively to the spirit of discovery. The Esplanade is redefining total immersion and we invite you to dive in. Apartments for rent at the National Harbor, MD & close to Alexandria,VA and Washington DC. Waterfront resort style living."
[The Milano](https://www.apartments.com/the-milano-oxon-hill-md/z3g6m3x/),888-796-7909,"[1002 Kennebec St, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1002+Kennebec+St,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",660 Sq Ft,"$920 - 1,553","* Cat Rent: $60
* Dog Rent: $60","* Application Fee: $35
* Cat Deposit: $600
* Dog Deposit: $600","Dogs Allowed:
We welcome 2 pets per apartment home. There is a $300 pet deposit and $30 pet rent. A pet friendly community with no weight limit. (Additional breed restrictions could apply and be properly specific. If you have pets, please see your leasing representative for more information.) Dogs are allowed. No Aggressive Breeds. 
* $600 Deposit
* $60 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking. Parking permit required for all vehicles. Reserved parking available for $40.","* Fitness Center
* Pool
* Playground",* Disposal,"* 24/7 on Call Maintenance
* Bark Park
* On Site Recycling
* Resort Style Pool","* High Speed Internet Access
* Air Conditioning
* Cable Ready",,Variable,"* Controlled Access
* Maintenance on site
* Courtesy Patrol
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Online Services
* Pet Play Area","* Built in 1963
* Renovated in Jan 2010
* 305 Units/4 Stories","* Elevator
* Disposal Chutes",,,"Oxon Hill's best-kept secret, The Milano apartment homes will define comfort and convenience. These newly renovated apartments for rent in Oxon Hill, MD, located minutes from the National Harbor and the Southern Avenue Green Line Metro Station, will exceed your expectations. Depending on your preference, The Milano offers affordable garden style and mid-rise apartment homes managed by a staff who genuinely cares about their residents. Reward yourself with all the benefits this charming rental community offers. Be one of the first to enjoy the pre-construction pricing. Find your moment at The Milano. Looking for an apartment for rent in Oxon Hill, Maryland? Please call for an appointment today to tour The Milano apartments."
[Riverside Plaza](https://www.apartments.com/riverside-plaza-oxon-hill-md/ckdgdbg/),844-891-2664,"[6257 Oxon Hill Rd, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6257+Oxon+Hill+Rd,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",685 Sq Ft,"$1,233 - 1,668","* Dog Rent: $30
* Fish Rent: $30
* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $99
* Application Fee: $32
* Dog Deposit: $300
* Fish Deposit: $300",No Pets Allowed,50,50,"Surface Lot
Resident permit parking: we issue 1 permit per leaseholder (18 or older). Vehicle must be registered in Maryland in the leaseholder's name. Visitors do not need a permit, but must park in designated spaces.","* Pool
* Playground","* Kitchen
* Breakfast Nook","* 1st floor--enter bldg between floors 1 & 2 and go
* 2nd floor--enter bldg between floors 1 & 2 and go
* 3rd floor (top)--enter between floors 1 & 2 and go
* bath has vanity, shower & tub (not a stall)
* big open kitchen w/large breakfast-serving bar
* big private bedroom w/walk-in closet is separate f
* blinds provided throughout
* comfortable bedroom #2 has good sized wall closet
* comfortable bedroom #3 has wall closet
* fully carpeted
* hallway has linen & storage closets and full bath
* huge master bedroom has walk-in closet and half ba
* large bedroom #1 has two big wall closets
* large living area with room for lots of furniture
* living-dining areas are flooded with natural light
* private bedrooms are completely separated from the
* rent includes gas & electricity--you pay only wate
* separate dining area
* separate dining area w/space for table and six cha
* sliding glass doors open to really huge covered ba
* sliding glass doors open to really huge covered pa
* spacious bedroom #2 has walk-in closet
* spacious galley-style kitchen with pantry","* High Speed Internet Access
* Air Conditioning
* Heating
* Satellite TV","* Carpet
* Views
* Linen Closet",12 months (6 months avail. - call for details),"* Laundry Facilities
* Laundry Service","* Built in 1964
* 182 Units/3 Stories",* Breakfast/Coffee Concierge,* Courtyard,,"Riverside Plaza Apartments in Oxon Hill, MD offers spacious 1, 2 and 3 bedroom homes. We’re at the center of everything you need. Public transit is at your doorstep - MetroBus stops here with service to Southern Ave & Suitland Metro stations. 2 minutes to the Capital Beltway (I-495/95), Anacostia Freeway (I-295) or the Woodrow Wilson Bridge. 5 minutes to National Harbor, Tanger Outlets and MGM Grande Casino. 10 minutes to downtown Washington DC, Old Towne Alexandria, VA, Joint Base Andrews AFB and Joint Base Bolling AFB. One block to grocery stores, shopping, movies and more. 5-10-minute drive to 100’s of other stores, restaurants and services. 5 minutes to Tucker Road Community Center and Ice Rink and the Henson Creek Hiker-Biker Trail. Apartment features include a large living area and separate dining area, sliding glass doors that open to giant covered patio or balcony, generous closet space, wonderful natural light from windows (we provide blinds throughout), large kitchen with pantry, spacious den with some apartments, and central heat and air conditioning. Gas and electricity are included in your rent – you pay water/sewer. We’re pet friendly! Some dogs and cats are welcome - call for details. Property features include a relaxing swimming pool with sundeck, play area, laundry and mail delivery in each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.riversideplazaapts.com."
[Oxon Hill Village](https://www.apartments.com/oxon-hill-village-oxon-hill-md/1flj717/),844-502-7063,"[2260 Alice Ave, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2260+Alice+Ave,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",651 - 940 Sq Ft,"$1,205 - 1,925","* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Cable, Air Conditioning: Included",* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground","* Disposal
* Eat-in Kitchen
* Range","* Balcony
* Brand New Activity Center
* Breakfast Bar
* Cable, Central A/C, Disposal, Gas Stove, Internet
* Community Room
* Eat-In-Kitchens
* Free Utilities
* Furnishings Available
* Hardwood Floors
* Metro Green Line
* Military Housing
* Patio Or Terrace","* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Cable Ready","* Hardwood Floors
* Walk-In Closets",12,* Laundry Facilities,"* Built in 1964
* 844 Units/3 Stories","* Clubhouse
* Breakfast/Coffee Concierge",* Gated,,"Near major shopping areas and the Capital Beltway, Oxon Hill Village puts work and play right at your doorstep. Downtown Washington, Andrews AFB and Alexandria are minutes away. For comfort and convenience there's nothing better than Oxon Hill Village."
[Fox Hills North Apartments](https://www.apartments.com/fox-hills-north-apartments-oxon-hill-md/yd1lwht/),240-724-2785,"[1108 Kennebec St, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1108+Kennebec+St,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",594 Sq Ft,"$1,025 - 1,542","* Cat Rent: $20
* Dog Rent: $20
* Gas, Water, Trash Removal, Sewer, Air Conditioning: Included","* Application Fee: $32
* Cat Deposit: $200
* Dog Deposit: $200","Dogs and Cats Allowed:
$200 deposit and $20 monthly rent. 
* $200 Deposit
* $20 Monthly Pet Rent
* 25 lb Weight Limit
* 1 Pet Limit
* Must Be Spayed/Neutered",50,50,Surface Lot,"* Pool
* Playground","* Dishwasher
* Disposal
* Granite Countertops
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* 24-Hour Maintenance
* 24-Hr Laundry Facilities
* Balconies
* Breakfast Bars
* Ceiling Fans
* Central AC and Heat
* Double Walk-In Closets
* Eat-In Kitchens
* Free Parking
* Gas and Electric Ranges
* Gas Included
* Keyed- Entry
* Large Swimming Pool
* On-Site Management
* Patios
* Police Patrol
* Sewage Included
* Walk-In Closets
* Wall-to-Wall Carpet
* Water Included","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Family Room
* Den
* Built-In Bookshelves
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings",12 months,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol","* Built in 1964
* 308 Units/4 Stories",,* Sundeck,,"Fox Hills North is an appealing community less than 7 minutes from The National Harbor, Tanger Outlets, and the NEW MGM National Harbor Hotel and Casino! Just minutes away from Andrews and Bolling Air Force Bases and express door-to-door bus service to Metro and Downtown D.C.! Metro station less than 5 miles away! These homes offer you ample living space with over-sized closets in a beautifully landscaped setting. With budget-friendly prices and friendly on-site management and maintenance, you'll fall in love with Fox Hills North!"
[Westwood Place](https://www.apartments.com/westwood-place-fort-washington-md/0qnjlx0/),844-275-7986,"[7200 Jaywick Ave, Fort Washington, MD 20744](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7200+Jaywick+Ave,+Fort+Washington,+MD+20744/data=!4m2!4m1!3e2)",780 - 800 Sq Ft,"$1,170 - 1,715","* Gas, Electricity, Heat, Air Conditioning: Included",* Application Fee: $38,No Pets Allowed,50,50,"Surface Lot
1 space.","* Pool
* Tennis Court","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Range
* Refrigerator","* 24 Hour Emergency Maintenance
* Bus Line within Walking Distance
* Close to 495 and 95
* Close to Shops
* Near MGM, Tanger Outlet, & The Harbor","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Trash Compactor
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Linen Closet",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Courtesy Patrol
* Recycling
* Online Services","* Built in 1973
* 248 Units/10 Stories","* Elevator
* Lounge
* Coffee Bar","* Balcony
* Patio",,"Our Apartments in Fort Washington have it all! When you live at Westwood Place you'll enjoy a spectacular view in a serene setting, the largest floor plans in the area and your Gas and Electric Are FREE! Our location allows for quick access to I-495, I-295 and the Branch Avenue Metro Station, while living in the heart of a serene tree lined neighborhood. Conveniently located to Alexandria, Washington DC, The National Harbor and so much more!"
[Portabello Apartments](https://www.apartments.com/portabello-apartments-oxon-hill-md/9kqhgt5/),240-724-2791,"[6441 Livingston Rd, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6441+Livingston+Rd,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",572 Sq Ft,"$1,150 - 1,715","* Gas, Water, Heat, Trash Removal, Sewer: Included",* Application Fee: $32,No Pets Allowed,50,50,Surface Lot,"* Pool
* Playground","* Dishwasher
* Disposal
* Granite Countertops
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator","* Beautiful Wooded Setting
* Breakfast Bar *
* Convenient Freeway Access
* Dens Available
* Free Parking
* Minutes from Washington DC and Northern Virginia
* Newly Renovated Apartments Available
* Olympic Size Pool!
* Olympic Size Swimming Pool
* Walk to shopping, dining and entertainment","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Alarm
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Den
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Security System
* Bilingual
* Online Services","* Built in 1965
* 254 Units/4 Stories",,* Sundeck,,"Portabello Apartments offers both spacious apartment homes and townhomes. Our unique living spaces feature large floorplans, balconies and patios, walk-in closets and much more. Our community also offers such amenities as on-site maintenance,a sparkling pool, a play area and FREE intrusion alarms. Conveniently located nearby to the finest in dining, schools, transportation, and the National Harbor; Portabello Apartments is where quality and comfort meet!"
[Oaks at Park South](https://www.apartments.com/oaks-at-park-south-oxon-hill-md/pwm6mds/),571-384-2600,"[5400 Livingston Rd, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5400+Livingston+Rd,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",673 Sq Ft,"$1,039 - 1,205","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $44
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Pitbulls, Rottweilers, Chows, Akitas, American Staffordshire, SharPei, Bull Terriers or any aggressive breed. 
* $300 Deposit
* $25 Monthly Pet Rent
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking.",* Pool,"* Dishwasher
* Range
* Refrigerator",,"* Air Conditioning
* Heating
* Tub/Shower","* Carpet
* Vinyl Flooring
* Dining Room","9 months, 12 months, 15 months, 16 months, 17 months, 18 months",* Maintenance on site,"* Built in 1963
* Renovated in Jan 2005
* 510 Units/3 Stories","* Business Center
* Clubhouse",* Gated,,"Oaks at Park South offers everything you want in an Oxon Hill apartment: convenience to work, excellent community amenities and lots of room to live in. All of our spacious one-, two- and three-bedroom apartments include open eat-in kitchens, gas stoves and individually controlled heat and air, plus access to the recreation room, picnic area, pool and sundeck, as well as being close to shopping and recreation. Oaks at Park South is a perfect choice for affordable, convenient and comfortable apartments just outside of Washington, DC."
[Southview](https://www.apartments.com/southview-oxon-hill-md/ngd495m/),844-806-0930,"[1311 Southview Dr, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1311+Southview+Dr,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",628 Sq Ft,"$926 - 1,595",* Heat: Included,* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
Parking Available","* Pool
* Playground","* Disposal
* Kitchen
* Range","* Balcony
* Business Center
* Cable, Disposal, Gas Stove, Internet
* Community Room
* Furnishings Available
* Hardwood Floors
* Maintenance Guarantee
* Metro Green Line
* Military Set Aside Available
* Modern Kitchens
* Patio Or Terrace
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Dining Room
* Walk-In Closets
* Window Coverings",12,* Laundry Facilities,"* Built in 1961
* 1402 Units/3 Stories",,* Gated,,"With these spacious, affordable and conveniently located apartment homes, choose from the townhome-style duplex floor plan, the bright garden-style design or the mid-rise building. An easy commute takes you downtown by car or Metro."
