Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Aperture](https://www.apartments.com/aperture-reston-va/1py12x6/),443-292-2746,"[11410 Reston Station Blvd, Reston, VA 20190](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11410+Reston+Station+Blvd,+Reston,+VA+20190/data=!4m2!4m1!3e2)",722 Sq Ft,"$1,673 - 3,500","* Unassigned Garage Parking: $35
* Cat Rent: $45
* Dog Rent: $45
* Trash Removal: Included","* Amenity Fee: $400
* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
Bozzuto Restricted Breeds List Pet Spa and Pet Play Yard 
* $45 Monthly Pet Rent
* $500 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Bike Storage
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water","* Bike repair station and storage
* Curated artwork throughout
* Entertainment kitchen and Communal table
* Fireplace and lounge seating
* Fitness center with yoga, weights,cardio
* Individual Climate Control
* Large Closets
* Outdoor kitchen with firepits
* Pet play zone and pet spa
* Quartz Counter Tops
* Sparkling salt-water pool
* Two bathroom finish options
* Two kitchen finishes options
* White subway tile backsplashes
* WiFi lounge with computers
* Wood floor tile","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room
* Office
* Den
* Views
* Walk-In Closets
* Accent Walls",,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* 24 Hour Availability
* On-Site Retail
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Planned Social Activities
* Guest Apartment
* Pet Care
* Pet Play Area
* Pet Washing Station
* Car Charging Station","* Built in 2017
* 429 Units/6 Stories","* Elevator
* Business Center
* Clubhouse
* Disposal Chutes
* Library","* Sundeck
* Courtyard
* Grill",,"Brand new apartments coming spring 2017. Life is about capturing great moments. Aperture's brand new apartments are informed by the ideas of nature, walkability, and community strength. It's a place where more great moments happen naturally and effortlessly. A place with plenty of light, space, and friendly vibes to let all the good stuff in. Featuring outstanding amenities including a saltwater pool, pet play area and spa, and a complete outdoor oasis, Aperture gives you everything you need to live the life you want."
[Waterside at Reston](https://www.apartments.com/waterside-at-reston-reston-va/pfnsw6v/),844-206-7927,"[12032-12032 Waterside View Dr, Reston, VA 20194](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12032-12032+Waterside+View+Dr,+Reston,+VA+20194/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,493 - 4,992","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $400 - 600
* Dog Fee: $400 - 600","Dogs and Cats Allowed:
We welcome 2 pets (dogs or cats) per apartment home. There is a $400 non-refundable pet fee for the first pet and $200 for the second pet. Pet rent is $50 per month. Ten aggressive breeds are prohibited. 
* $50 Monthly Pet Rent
* $400 - 600 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water","* Access to All of the Reston Area Amenities
* Biking Trails
* Cable & Satellite TV Available
* California Style Grilling Area
* Car Wash Area
* Close to Public Transportation
* Close to Schools
* Dog Park With Agility Course
* Eat-In Kitchen*
* High Speed Internet Access
* Hiking & Fitness Trails
* In Select Apartment Homes*
* Linen Closet
* Mature Tree-filled Community
* Membership in the Reston Association
* Mini-Blinds
* Minutes to the New Wiehle/Reston Metro Station
* Pet Friendly Community
* Picnic Area
* Renters Insurance Program
* Stackable Washer & Dryer
* Swimming Pool
* Tree-filled community
* Upgrade Finishes*
* Wall-to-Wall Carpeting","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Double Vanities","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Dining Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",Variable,"* Package Service
* Maintenance on site
* Property Manager on Site
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Car Wash Area","* Built in 1986
* Renovated in Jan 2012
* 75 Units/3 Stories",,"* Grill
* Waterfront
* Pond",,"Waterside at Reston Apartments for rent in Reston, VA offers you a location that truly allows you to enjoy the Capital area, plus a community with a ton of relaxing amenities. In addition to all of these benefits, we have newly renovated one, two and three bedroom rentals with upgraded finishes. Located in the heart of Reston in a quiet neighborhood, you'll be within walking distance of schools, dining and entertainment. We also feature excellent access to the Beltway, Dulles Toll Road and Dulles International Airport. Even with Trader Joe's right across the street, Reston Town Center is just two minutes away with its luxury shopping, delicious dining and major employers. Plus, enjoy living just minutes to the newly opened Wiehle/Reston Metro station for easy access to Tysons Corner, Arlington, Washington DC and more! We are surrounded by mature trees and are right next to a scenic lake. We have a swimming pool, car wash center and barbecue areas for you, plus a shallow wading pool ..."
[BLVD Reston Station](https://www.apartments.com/blvd-reston-station-reston-va/6j10grv/),844-853-7396,"[1908 Reston Metro Plz, Reston, VA 20190](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1908+Reston+Metro+Plz,+Reston,+VA+20190/data=!4m2!4m1!3e2)",859 Sq Ft,"$1,791 - 9,250","* Storage Fee: $75
* Unassigned Garage Parking: $100 - 150
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $500
* Application Fee: $75
* Cat Fee: $650
* Dog Fee: $650","Dogs Allowed:
Two (2) pet maximim allowed (both cats and dogs). Maximum combined weight of 65-pounds allowed within each apartment home. Pet fee of $400 (first pet) and $200 (second pet) at time of move-in. Monthly pet premium of $50 applies to each animal. Dog breed restrictions apply. 
* $50 Monthly Pet Rent
* $650 Fee
* 75 lb Weight Limit
* 2 Pet Limit
* Pet Interview Required",50,50,Surface Lot and Covered,"* Fitness Center
* Cardio Machines
* Weight Machines
* Spa
* Pool
* Bike Storage
* Walking/Biking Trails
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* A Comstock Owned Community
* Air Conditioner
* BBQ/Picnic Area
* Cable Ready
* Carpeting
* Carport
* Ceiling Fan
* Courtyard
* Culinary-Inspired Kitchens
* Dishwasher
* Disposal
* Dulles Airport
* Fireplace
* Floor-to-Ceiling Windows
* Founding Farmers Coming 2017
* Free Weights
* Gas Cooking
* Great Retail
* Hardwood Floors
* Indoor Dog Park
* Large Closets
* LEED Certified - Silver
* Located At The Reston Metro Station
* Located At Wiehle-Reston Metro Station
* Metro Silver Line
* Microwave
* Off Street Parking
* Outdoor Theatre
* Package Receiving
* Patio/Balcony
* Porcelain Tile & Chrome Fixtures in Bath
* Refrigerator
* Rooftop Club Suite with Panoramic Views
* Rooftop Fitness Center & Yoga Studio
* Silver Line DC
* Silver Line Metro Station
* Sophisticated Quartz Countertops
* Steps to Reston Station Metro
* Town Center
* Washer/Dryer
* Wiehle-Reston Metro Station","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Double Vanities
* Tub/Shower
* Fireplace
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Den
* Views
* Walk-In Closets
* Linen Closet
* Loft Layout
* Double Pane Windows
* Window Coverings",None,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* 24 Hour Availability
* On-Site Retail
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Laundry Service
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities
* Guest Apartment
* Car Charging Station","* Built in 2015
* 450 Units/21 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Breakfast/Coffee Concierge
* Disposal Chutes
* Conference Room
* Two Story Lobby","* Gated
* Rooftop Lounge
* Cabana
* Courtyard
* Grill
* Picnic Area",,"Featuring luxury studio, one, two and three bedroom + den apartments. BLVD | Reston Station will set a new standard for transit-oriented living in the Metropolitan Washington Region."
[Harrison at Reston Town Center](https://www.apartments.com/harrison-at-reston-town-center-reston-va/l9pw87f/),703-832-0190,"[1800 Jonathan Way, Reston, VA 20190](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1800+Jonathan+Way,+Reston,+VA+20190/data=!4m2!4m1!3e2)",760 Sq Ft,"$1,841 - 3,827","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Amenity Fee: $650
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed
The following breeds are restricted: Doberman Pinscher, Rottweiler, German Shepard, Akita, Chow, Pit Bull, American Staffordshire Terrier, American Pit Bull Terrier, Wolf-dog Hybrids and any mixes of the aforementioned. All fees are per pet. 
* $50 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Covered
Parking Available","* Fitness Center
* Sauna
* Spa
* Pool
* Bike Storage
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre",,"* 45-mile long W&OD Trail
* Amenity reservations
* Balcony
* Beautiful green spaces, trail system
* Beautiful, open floor plans
* Bike shop and storage area
* Bike Shop, Storage Area, and Bikes to Borrow
* Ceramic tile accent wall
* Ceramic tiling
* Classifieds
* Close to the Reston Town Center Transit
* Club-style locker rooms
* Commercial demonstration kitchen
* Controlled-access entry
* Conveniently large pantry
* Corner Apartment with Amazing Windows
* Custom cabinetry
* Cyber café with iMac (R)  workstations
* Electric car charging stations
* Elegant, high-arc faucets
* ENERGY STAR (R)  stainless steel appliance
* Energy Star (R)  Stainless Steel Appliances
* Europa White Cabinetry and Ice Blue Granite
* Expansive windows
* Fire pit
* Fireplace lounge
* Free Weights
* Full and French balconies
* Full-size washer and dryer
* Generous walk-in closets
* Great access to private and public golf
* Hospitality and reception areas
* Imported stone countertops
* Indoor, multi-lane lap pool with spa tub
* Keyless entry
* Landscaped terrace
* Linen closets
* Membership in Reston Association
* Metro White Cabinetry and Blanco Taupe Granite
* Moments from I-66 and Dulles Airport
* Multi-function weight-training stations
* Multiple finish combinations
* Multiple high-tech conference rooms
* On-line Maintenance requests
* On-line Rental payments
* Onsite pedestrian tunnel
* Outdoor prep and grilling area
* Over-sized Balcony
* Oversized vanities
* Oversized Wood Base and Trim Throughout
* Pet friendly, including large dogs
* Pets are not allowed in this apartment
* Private dining tables
* Private Massage room
* Private offices and workstations
* Private, underground garage parking
* Resident Deals
* Resident recycling program
* Residents’ lounge with plush seating
* Skyclub for events and gatherings
* Smoke-free environment
* Stand-alone showers
* Surrounded by popular destinations
* Touch-screen cardio training equipment
* Verizon FiOS Available
* Views of Blue Ridge Mountains
* Views of Hidden Creek Golf Course
* Virtual golf
* Wall-to-wall carpeting in bedrooms
* Wheelchair Access
* Wi-Fi throughout all amenity areas
* Wood flooring in living spaces
* Yoga and Pilates Room
* Zipcar (R)  discount","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Fireplace
* Wheelchair Accessible (Rooms)",* Views,12,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Concierge
* Recycling
* Guest Apartment
* Pet Washing Station
* Car Charging Station","* Built in 2015
* 361 Units/14 Stories","* Elevator
* Business Center
* Coffee Bar","* Gated
* Grill",,"Be First. Be Awed. Be Here Now. Experience Revolutionary Apartment Living! Looking for a Penthouse Apartment? We Have Some Spectacular Ones! The Harrison is much more than an apartment community. This stunning, new residence is a place where daily life comes alive. The amenities feel endless. The homes are beautiful. And the location is just steps from all the dining and shopping of Reston Town Center. At The Harrison, you'll find a lifestyle like none other around. We invite you to browse our photo gallery and schedule your appointment or drop by and visit us today for your personal tour! CALL or TEXT 703-454-8978 to get started!"
[The Cosmopolitan at Reston Town Center](https://www.apartments.com/the-cosmopolitan-at-reston-town-center-reston-va/zj35w4y/),888-387-9363,"[1855 Saint Francis St, Reston, VA 20190](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1855+Saint+Francis+St,+Reston,+VA+20190/data=!4m2!4m1!3e2)",751 Sq Ft,"$1,808 - 4,634","* Cat Rent: $35
* Dog Rent: $60
* Gas: Included","* Application Fee: $60
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,Surface Lot,"* Fitness Center
* Sauna
* Spa
* Pool","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* Air Conditioner
* Cable Ready
* Designer Kitchens
* Dishwasher
* Disposal
* Fireplace
* Floor to Ceiling Windows
* Granite Countertops in select apartments
* Hardwood Floors
* High Ceilings
* Large Closets
* Media Room
* Microwave
* Off Street Parking
* Package Receiving
* Patio/Balcony
* Refrigerator
* View
* Views
* Washer/Dryer","* High Speed Internet Access
* Washer/Dryer
* Heating
* Tub/Shower
* Fireplace","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Sunroom
* Walk-In Closets
* Window Coverings",None,"* Maintenance on site
* Concierge
* 24 Hour Availability
* Guest Apartment","* Built in 2006
* 289 Units/21 Stories","* Elevator
* Business Center
* Clubhouse
* Library",,,"At The Cosmopolitan at Reston Town Center, we’ve taken every residence far beyond the expected, creating living spaces of unique beauty and premium style. The result is the kind of home you’ve always wanted but never knew you’d find. Now offering a Courtesy Shuttle to the Silver Line / Reston Town Center station! Click for Schedule"
[Avalon Reston Landing](https://www.apartments.com/avalon-reston-landing-reston-va/qmdvdmw/),864-315-3181,"[12000 Cameron Pond Dr, Reston, VA 20194](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12000+Cameron+Pond+Dr,+Reston,+VA+20194/data=!4m2!4m1!3e2)",674 Sq Ft,"$1,450 - 2,231","* Unassigned Surface Lot Parking: $150 - 180
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $450
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,"Surface Lot: $150 - 180
Parking Available","* Fitness Center
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Kitchen
* Microwave",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)",* Walk-In Closets,Flexible Lease Terms,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 2001
* 400 Units/4 Stories","* Business Center
* Storage Space","* Gated
* Sundeck
* Grill
* Picnic Area",,"Avalon Reston Landing offers something unexpected, something special: french doors, nine-foot ceilings, crown molding, breathtaking views of a tranquil six-acre lake, an impressive variety of floor plans and unparalleled amenities, including a 3,500-square-foot fitness center. The location is equally as perfect. Just minutes to the area’s tech corridor and the great shopping and dining at Reston Town Center. Great apartments in Reston VA, great service and the amenities you deserve."
[The Avant at Reston Town Center](https://www.apartments.com/the-avant-at-reston-town-center-reston-va/v3x0hef/),866-491-3594,"[12025 Town Square St, Reston, VA 20190](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12025+Town+Square+St,+Reston,+VA+20190/data=!4m2!4m1!3e2)",747 Sq Ft,"$1,895 - 5,000","* Assigned Garage Parking: $50
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed:
Restricted Breeds include: Akita, American Bulldog, Anatolian Shepherd, Australian Cattledog, Beauceron, Belgian Shepherd, Bernese Mountain Dog, Black Russian Terrier, Cane Corso, Catahoula Leopard Dog, Chinese Shar Pei, Chow-Chow, Doberman Pinscher, Dogue De Bordeaux, German Shepherd, Great Dane, Great Pyranees, Husky, Jindo Dog, Kuvasz, Malamute, Mastiff, Pit Bull, Presa Canario, Rhodesian Ridgeback, Rottweiler, St. Bernard, Tosa Inu, Wolf, Wolf-Dog Hybrid Only 2 pets per apartment. 
* $50 Monthly Pet Rent
* $500 Fee
* 85 lb Weight Limit
* 2 Pet Limit",50,50,"Covered
1 space.","* Fitness Center
* Fitness Programs
* Pool
* Bike Storage",,"* Glass Enclosed Showers
* Individual Climate Control
* Large Closets
* Terraces
* Wood Laminate Flooring","* High Speed Internet Access
* Smoke Free",,,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Doorman
* Concierge
* 24 Hour Availability
* On-Site Retail
* Recycling
* Dry Cleaning Service
* Laundry Service
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities
* Guest Apartment
* Pet Care
* Pet Play Area
* Car Charging Station","* Built in 2013
* 359 Units/15 Stories
* LEED Certified Silver","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Coffee Bar
* Conference Room
* Corporate Suites",* Courtyard,,"Life is about making the most of every moment and at The Avant, you can do just that. Set in the heart of Reston Town Center in Reston, VA, these brand new apartments are a one-of-a-kind opportunity to live exactly how you want.Walk along boulevards and through plazas. Shop at local boutiques and in name-brand stores. Dine on patios or by candlelight. Enjoy events held throughout the year. In Reston Town Center, the opportunities are endless. Have it all at The Avant."
[Homestead at Reston](https://www.apartments.com/homestead-at-reston-reston-va/2ce8k99/),703-539-5517,"[12265 Laurel Glade Ct, Reston, VA 20191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12265+Laurel+Glade+Ct,+Reston,+VA+20191/data=!4m2!4m1!3e2)",712 Sq Ft,"$1,018 - 1,753","* Assigned Surface Lot Parking: $40
* Cat Rent: $70
* Dog Rent: $70","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $400 - 600
* Dog Fee: $400 - 600","Dogs Allowed:
We welcome up to two pets in your apartment home. There is a $400 non-refundable fee for the first pet, $600 for two. Pet rent is $35 per pet monthly. Breed restrictions apply. Please contact leasing office for complete pet policy details. 
* $70 Monthly Pet Rent
* $400 - 600 Fee
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $40
Assigned Parking. Reserved space for $40. Please contact leasing office for complete parking information.","* Fitness Center
* Playground",,"* 24-hour Emergency Maintenance
* BBQ Grill and Picnic Area
* Free Parking
* Reserved Parking",* High Speed Internet Access,,Variable,,"* Built in 1974
* Renovated in Jan 2014
* 200 Units/3 Stories",* Business Center,,,"Homestead at Reston Apartments is located in the heart of vibrant Northern Virginia, placing you in the middle of the Dulles Tech Corridor with easy access to the Dulles Toll Road and Highway 286. Whether you choose our one, two, or three bedroom apartment homes, Homestead at Reston is filled with thoughtful features for living well. Apartment amenities included expansive kitchens, plush carpeting or modern wood plank flooring, and reserved parking options. Our community amenities are impressive as our individual apartments: BBQ areas for spontaneous get-together, a playground for children to frolic and a state-of-the art fitness center. Surrounded by exceptional shopping, dining and entertainment, Homestead at Reston Apartments provides everything you need to feel right at home."
[Colvin Woods Apartments](https://www.apartments.com/colvin-woods-apartments-reston-va/v6c4psg/),866-569-6581,"[11012 Becontree Lake Dr, Reston, VA 20190](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11012+Becontree+Lake+Dr,+Reston,+VA+20190/data=!4m2!4m1!3e2)",728 Sq Ft,"$1,290 - 1,739",* Gas: Included,"* Admin Fee: $275
* Application Fee: $50","Dogs Allowed:
Colvin Woods is a pet friendly community and we currently accept large dogs with the exception of the following breeds: Pit-bulls, Rottweilers, Chows, Akita and American Staffordshire & American Pit Terrier. The community currently accepts two dogs per apartment however; the combined weight can not exceed 100 pounds. If your pet exceeds 50lbs a terrace level apartment is required. A signed pet addendum is required at the time of move-in. 
* 100 lb Weight Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court","* Range
* Refrigerator","* 24-Hour Fitness Center
* Close to the Reston Silver Line Metro
* Individually controlled heating and air
* Off Leash Dog Park
* Picnic area with NEW BBQ grills
* Tennis Court
* Washer and Dryer in select homes
* Washer/ Dryer in select apartments","* Air Conditioning
* Heating",,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months","* Package Service
* Maintenance on site
* Recycling","* Built in 1978
* 259 Units/3 Stories",* Business Center,* Balcony,,"Get into the woods, and find a spacious retreat designed with your comfort in mind. The apartment homes at Colvin Woods are appointed with fine finishes and modern conveniences, to make your time at home all the more enjoyable."
[Winterthur Apartments](https://www.apartments.com/winterthur-apartments-reston-va/82ekyr1/),844-858-4999,"[11901 Winterthur Ct, Reston, VA 20191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11901+Winterthur+Ct,+Reston,+VA+20191/data=!4m2!4m1!3e2)",772 Sq Ft,"$1,300 - 1,745","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal, Sewer: Included","* Admin Fee: $100
* Application Fee: $35
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed:
breed and weight restrictions apply $500 one-time pet fee per pet. 
* $25 Monthly Pet Rent
* $500 Fee
* 20 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking.","* Pool
* Playground
* Walking/Biking Trails","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units","* Carpet
* Dining Room
* Den
* Walk-In Closets",6- 24 months,"* Laundry Facilities
* 24 Hour Availability","* Built in 1973
* 300 Units/4 Stories",,* Balcony,,"Winterthur is the ultimate in contemporary living – a community that every family would love to live in. With eight different floor plans, Winterthur offers dramatic and innovative apartment designs, such as spiral staircases winding up to penthouse lofts. There are concrete floors between each apartment for sound conditioning and all the privacy you want. Winterthur is served by the Fairfax County school system, one of the top in the nation. At Winterthur you experience a truly serene atmosphere accented by expansive skywalks and tree-shaded entrances. Winterthur is conveniently located near schools, the recreational center, the Sheraton Inn, and the International Conference Center. Metro Bus is located directly in front of the property and the new Silver line Metro Rail stop is a mile from the property. A member of the Reston Assocation, Winterthur gives you wooded walking trails, tennis courts, pools, basketball courts, and soccer fields. Dulles International Airport, Reston Town Center, South Lakes Village Center, Hunters Woods Center, Fox Mill Center, Fair Oaks and Tyson’s Corner are all just minutes away from your door."
