Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Daley](https://www.apartments.com/the-daley-rockville-md/44hwdhh/),844-891-1432,"[8010 Gramercy Blvd, Rockville, MD 20855](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8010+Gramercy+Blvd,+Rockville,+MD+20855/data=!4m2!4m1!3e2)",631 Sq Ft,"$1,525 - 2,600","* Unassigned Garage Parking: $50
* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $150
* Dog Deposit: $150","Dogs Allowed:
Please contact The Daley's main office for list of restricted canine breeds. Pet fees and restrictions may apply. See leasing agent for details. 
* $150 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Garage: $50
426 spaces. First parking spot is free. $50.00 for each additional parking spots.","* Fitness Center
* Cardio Machines
* Free Weights
* Pool
* Playground
* Gameroom","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Community Living Room
* Courtyard
* E-booth
* Game room
* Glass tile backsplash
* Indoor and outdoor yoga and fitness
* Modern finishes
* Moen fixtures throughout
* On-site Starbucks
* Private dining room
* Quartz Counter Tops
* Under cabinet lighting
* Wood-like flooring in living spaces","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)",* Walk-In Closets,,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Video Patrol
* 24 Hour Availability
* Recycling
* Online Services
* Planned Social Activities","* Built in 2017
* 334 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Coffee Bar",* Courtyard,,"At The Daley, we're creating a community, with amazing apartments, nearby metro access, and all the best shops and restaurants nearby, nothing is quite like it. When you live here, you'll have access to over 10,000 sq.ft. of amenities, both indoors, outdoors and in the smaller spaces in-between. So, whether you prefer the camaraderie of the crowd, or the intimacy of a quiet nook, we?ve got a place that's just right for you. Boasting the perfect location at only a 2 minute walk to the Shady Grove Metro to a 4 minutes drive to the I-270 on-ramp and even a 10 minute cycle to Rock Creek Regional Park, you can start here and go everywhere. Come as you are?it takes all kinds to make a neighborhood."
[Scarborough Square](https://www.apartments.com/scarborough-square-rockville-md/8tbjrp0/),877-676-7585,"[438 College Pky, Rockville, MD 20850](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/438+College+Pky,+Rockville,+MD+20850/data=!4m2!4m1!3e2)",740 Sq Ft,"$1,545 - 2,623","* Cat Rent: $130
* Dog Rent: $130","* Application Fee: $25
* Cat Fee: $300
* Cat Deposit: $300
* Dog Fee: $300
* Dog Deposit: $300","Dogs Allowed:
We welcome your pets for a maximum of 2 pets per apartment home. Pet fee is $300. There is a monthly pet rent of $35 per cat and $65 per dog. No weight restrictions. No aggressive breeds of dogs. Pit Bull breeds such as Stafford shire, Bull Terrier, American Pit Bull Terrier, American Stafford shire Terrier, Bull Terrier, plus Rottweilers, and Chows are not allowed. Please call our leasing office for more information. 
* $300 Deposit
* $130 Monthly Pet Rent
* $300 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking. Parking is available with a parking pass on a first come first served basis.",,,"* 24hr. Emergency maintenance
* Pet Friendly
* Regular-sized pool
* Full-size washer/dryer",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 1967
* 121 Units/2 Stories",,,,"The best apartments in Rockville, MD can be found at Scarborough Square! We offer one, two, and three bedroom apartments and four bedroom town homes! Our town homes include their very own private backyards. Our Rockville apartments have in-home washers and dryers, spacious walk-in closets, private balconies, and 9-foot ceilings with ceiling fans. It is easy to see why we are the best apartments in Rockville, MD! Residents enjoy the outdoor amenities that you can only find at our Rockville, MD apartments. We have an outdoor grilling area a refreshing swimming pool, and a playground for the children. We are located just a short walk to Rock creek Trails. We are just minutes from Shady Grove and Rockville Town Center. Our townhouses in Rockville, MD offer a great location for any commute. We have easy access to Highway 270 and there is bus transportation nearby as well."
[Bainbridge Shady Grove Metro](https://www.apartments.com/bainbridge-shady-grove-metro-rockville-md/lgc6p0g/),844-864-5610,"[15955 Frederick Rd, Rockville, MD 20855](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/15955+Frederick+Rd,+Rockville,+MD+20855/data=!4m2!4m1!3e2)",615 Sq Ft,"$1,550 - 2,620","* Unassigned Covered Parking: $50
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $300
* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
We are a pet friendly community that welcomes 2 pets per home.The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $50 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Covered: $50
1 space.",,,"* Bike Racks and Bike Storage
* Cabanas and Fire Pit
* Cardio & Fitness Theater
* Controlled Access, In-Building Parking Garage
* In-Pool Tanning Deck
* Interactive Cyper Cafe and Conference Room
* Interactive Gaming Center w/Billards, Table, ...
* Interactive Gaming Center w/Billards, Table, Wii and Xbox
* Outdoor Summer Kitchen with Seating
* Pet Friendly
* Poolside Grilling Area
* Separate Clubroom Seating Space
* Smoke-Free Building
* SouthBeach Style Pool
* Storage Spaces Available
* Double Vanity Sinks
* Full-Size Washer and Dryer
* Granite Countertops
* Laminate Flooring
* Whirlpool Stainless Steel Appliances",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2015
* 354 Units/6 Stories",* Clubhouse,,,"The convenient location of these new apartments can only be matched by the level of comfort you will find in each home including granite counters, hardwood-style flooring and full-size washers and dryers. Bainbridge Shady Grove Metro also has amazing amenities - from a fitness center to a gaming center to a great pool with cabanas and a fire pit. These Rockville apartments are waiting for you to call home!"
[Residences At Congressional Village](https://www.apartments.com/residences-at-congressional-village-rockville-md/6rsexts/),240-292-6170,"[198 Halpine Rd, Rockville, MD 20852](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/198+Halpine+Rd,+Rockville,+MD+20852/data=!4m2!4m1!3e2)",801 - 882 Sq Ft,"$1,337 - 3,729","* Storage Fee: $100
* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is weight limit of 80 pounds. Breed restrictions apply. Please contact leasing office for complete pet policy details. 
* $35 Monthly Pet Rent
* $300 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Covered
Parking at the property is by permit only. Each apartment is provided with one parking permit free of charge for the unreserved section of the gargage. Additional unreserved spaces are available on a limited basis at a charge of $60/month. Reserved parking is also available at $110/month.",,,,* High Speed Internet Access,,None,* Pet Care,"* Built in 2006
* 351 Units/4 Stories",,,,"The legendary look of traditional style and elegant feel of clean architectural lines compose the newest residential community in Rockville, MD. Residences at Congressional Village radiates warmth, comfort, and ease from the moment you approach the lush, gorgeous surroundings. With a perfect location in Montgomery County, Residences at Congressional Village offers beautiful apartments in Rockville, MD. Our open floor plans give you and your family more room for a lifestyle filled with life and luxury. With natural lighting and world-class amenities, our Rockville apartments were designed with you in mind."
[Huntington at King Farm](https://www.apartments.com/huntington-at-king-farm-rockville-md/b9z5xs8/),240-252-4170,"[801 Elmcroft Blvd, Rockville, MD 20850](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/801+Elmcroft+Blvd,+Rockville,+MD+20850/data=!4m2!4m1!3e2)",769 - 909 Sq Ft,"$1,543 - 3,453","* Unassigned Covered Parking: $35
* Unassigned Garage Parking: $115
* Cat Rent: $45
* Dog Rent: $45","* Amenity Fee: $200
* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
Are you searching for a pet friendly apartment community in Rockville? Look no further than Huntington at King Farm! We proudly allow cats and dogs. Now your pet has the opportunity to relax by your side and enjoy the comfort of your apartment home. We accept cats and dogs with more than 2 pets per household. There is a $300 pet deposit and monthly pet rent of $45 per pet. Please contact the Leasing Office for breed restrictions. Dogs are allowed. 
* $300 Deposit
* $45 Monthly Pet Rent
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot and Other
Please call for our parking policy.","* Fitness Center
* Spa
* Playground",,"* Balconies*
* Beautifully landscaped grounds
* Built-in Computer Desks*
* Business Center
* Chefs kitchen
* Crown Molding*
* Free Shuttle to Metro
* Full Size Washer & Dryer
* Gas Fireplaces*
* Generous Closet Space & Linen Closets
* In Select Homes*
* Luxurious Garden Tubs*
* Minutes to Rockville Town Square
* Pets Allowed (Check for Breed & Weight ...
* Private Conference Room
* Quartz Countertops*
* Reserved parking
* Resident Car Care Center
* Stainless Steel Appliances*
* Steam Room
* Sunrooms*
* Tile Foyer Entry
* Townhome Styles Available
* Two Outdoor Swimming Pools & Hot Tubs
* Vaulted & 9-Foot Ceilings
* Walking Distance to Grocery Stores, Retail & ...
* Walking Distance to Shady Grove Metro
* Wood-Style Blinds*
* Accent Mirrors",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2000
* 588 Units/4 Stories",* Clubhouse,* Patio,,"It's all Here - The award-winning King Farm is planned as a self-contained community offering every conceivable amenity. Here you will find shopping, grocery stores, cafes, restaurants, parks, bike paths, schools and the convenience of the Shady Grove Metro Station. Just Minutes Away - You will find all the conveniences of urban living just minutes from your door... Shopping at Congressional Plaza, Montgomery Mall, White Flint Mall, and Lakeforest Mall. Plus an eclectic mix of restaurants, county clubs and golf courses, numerous movie theaters, and the excitement of downtown Rockville. The kind of town America grew up in... Not only everything, but the best of everything... Huntington at King Farm... the good things in life are here waiting for you."
[The Crest at Congressional Plaza](https://www.apartments.com/the-crest-at-congressional-plaza-rockville-md/g7hrpbw/),240-752-7597,"[1620 E Jefferson St, Rockville, MD 20852](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1620+E+Jefferson+St,+Rockville,+MD+20852/data=!4m2!4m1!3e2)",796 Sq Ft,"$1,611 - 3,238",* Unassigned Garage Parking: $65,* Application Fee: $24,"Dogs and Cats Allowed:
We adhere to the NAA Restricted Breed List 
* 30 lb Weight Limit",50,50,"Garage: $65
1 space. Each garage space is $65 per month.","* Fitness Center
* Free Weights
* Pool","* Dishwasher
* Disposal
* Microwave
* Range",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Fireplace",* Walk-In Closets,"3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months",,"* Built in 2003
* 146 Units/4 Stories","* Business Center
* Clubhouse
* Lounge
* Storage Space",* Balcony,,"Life in the Rockville apartments of The Crest is about convenience. Shopping and dining are just outside your door at Congressional Plaza or minutes away in Bethesda and DC. The amenities that surround you have been selected with your lifestyle in mind. To assure you'll have ample time to enjoy them, apartment residences have been filled with features that make your life easier. Welcome to The Crest at Congressional Plaza, apartment living at its peak, the next wave in urban energy. Come savor this unique melding of vibrant metropolitan living and the practical convenience of a Rockville location."
[The Flats at Shady Grove](https://www.apartments.com/the-flats-at-shady-grove-rockville-md/xhd78nn/),240-224-0744,"[1380 Piccard Dr, Rockville, MD 20850](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1380+Piccard+Dr,+Rockville,+MD+20850/data=!4m2!4m1!3e2)",472 Sq Ft,"$1,285 - 1,760","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included",* Application Fee: $19,"Dogs Allowed:
Breed restrictions apply. 
* $25 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,,"* Fitness Center
* Pool",* Range,,* Heating,* Window Coverings,12 months,"* Package Service
* Maintenance on site
* Property Manager on Site
* Concierge","* Built in 1986
* 203 Units/3 Stories",* Clubhouse,,,"Nestled just off the Shady Grove exit, The Flats at Shady Grove offers you a unique apartment community in a quiet urban oasis with the convenience of city living. Over 200 affordable, boutique-style apartments with community features and apartment amenities unlike any other apartment community in Montgomery County, all priced significantly less than our competition."
[Hanover Shady Grove](https://www.apartments.com/hanover-shady-grove-rockville-md/cqqegdd/),240-668-3273,"[Corporate Blvd, Rockville, MD 20850](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/Corporate+Blvd,+Rockville,+MD+20850/data=!4m2!4m1!3e2)",620 - 625 Sq Ft,"$1,491 - 3,246","* Cat Rent: $35
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $500","Dogs Allowed:
Pets may be permitted with an additional fee; dogs are restricted by breed. Dog breeds not permitted are Staffordshire Bull Terriers, Dobermans, Rottweillers, Chow Chows, Pit Bull Terriers and any mixes thereof. Resident must sign a separate Animal A 
* $500 Deposit
* $50 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,,,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator",,"* Washer/Dryer
* Heating
* Ceiling Fans
* Cable Ready
* Storage Units
* Handrails","* Hardwood Floors
* Crown Molding
* Vaulted Ceiling
* Walk-In Closets","6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months",* Controlled Access,"* Built in 2016
* 366 Units/5 Stories
* LEED Certified Certified",* Clubhouse,"* Courtyard
* Picnic Area",,"Introducing Hanover Shady Grove, Rockvilles newest resort-style apartments featuring ultra-modern finishes and contemporary layouts. The extensive community amenity offerings create the ultimate all-inclusive living experience."
[The Metropolitan Rockville Town Center](https://www.apartments.com/the-metropolitan-rockville-town-center-rockville-md/vsdzy2f/),844-600-5670,"[255 N Washington St, Rockville, MD 20850](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/255+N+Washington+St,+Rockville,+MD+20850/data=!4m2!4m1!3e2)",672 Sq Ft,"$1,550 - 3,700","* Cat Rent: $50
* Dog Rent: $50","* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
German Shepherds, Akitas, Chow Terriers or Chow breed mixes, American Bulldogs, Bull Staff or Staffordshire Terriers, Doberman/Doberman Pinchers, (mini pinchers are permitted), Rottweiler’s, Wolf dog hybrid, Pit-bull terriers, Presa Canario or any variety of Canary dogs 
* $50 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,Garage,"* Fitness Center
* Pool","* Dishwasher
* Disposal
* Microwave","* Air Conditioner
* Billiard and Shuffle Board Tables
* Cable Ready
* Coffee Lounge
* Dishwasher
* Disposal
* Dual-level Courtyards
* Gourmet Kitchens
* Indoor/outdoor Resident Lounge
* Kaindl Plank Flooring
* Kitchen Islands with Bar Seating
* Large Closets
* Live/work Apartments Available
* Microwave
* Minutes to Metro and MARC Station
* Modern Fixtures and Under-cabinet Lighting
* On-site Retail
* Outdoor Bar and Dining Areas
* Outdoor Lounge with Fire Pits
* Oversize Windows
* Package Receiving
* Pet Salon
* Private Terrace or Balcony
* Quartz Countertops
* Stainless Steel Appliances
* Steps From Dining, Shopping and Entertainment
* Two-level Living Available
* Washer/Dryer
* Window Coverings
* Yoga Studio, Featuring Fitness On Demand™","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Wheelchair Accessible (Rooms)",,None,* Maintenance on site,"* Built in 2017
* 276 Units/6 Stories","* Elevator
* Business Center","* Gated
* Sundeck",,"**NOW PRE-LEASING**Chic homes. Abundant amenities. Incredible service. And Rockville's only urban-style neighborhood filled with shopping, dining and entertainment. What more could you want?This is a truly complete way to live. Unwind by the resort-style pool. Walk over to meet friends for dinner. Return to a spacious home that's as comfortable as it is sophisticated. When you live in these Rockville apartments, your day is your choice."
[Congressional Towers](https://www.apartments.com/congressional-towers-rockville-md/j814bq6/),877-413-9054,"[261 Congressional Ln, Rockville, MD 20852](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/261+Congressional+Ln,+Rockville,+MD+20852/data=!4m2!4m1!3e2)",782 Sq Ft,"$1,400 - 1,795","* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included",* Application Fee: $40,No Pets Allowed,50,50,Surface Lot,"* Fitness Center
* Free Weights
* Pool
* Playground
* Basketball Court
* Tennis Court","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range","* Adjacent to 5 acre recreation park
* Balcony
* Den
* Granite Kitchen Countertop
* Granite Kitchen Countertops
* High Ceilings
* Large Closets
* Off Street Parking
* Patio
* Patio/Balcony
* South Facing
* Stainless Steel Appliances
* Terrace Level
* Utilities Included
* All Utilities Included!!
* Free parking!","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Walk-In Closets
* Window Coverings",None,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Furnished Units Available","* Built in 1963
* 618 Units/7 Stories
* Furnished","* Elevator
* Clubhouse
* Storage Space","* Gated
* Sundeck",,"You'll love our community just off Rockville Pike!Congressional Towers Apartments, situated in Rockville, Maryland, provides residents with a location of unparalleled convenience. Just three blocks from the Twinbrook Metro, our residents enjoy shopping, entertainment, and a variety of dining choices. Our spacious apartments feature free amenities such as parking, extra storage, and a membership to Rollins Congressional Club (RCC), a resort-style water park with a club-style gym and fitness center. At Congressional Towers, all utilities are included, so call or schedule a tour today, for your perfect apartment home!"
