Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Westchester at the Pavilions](https://www.apartments.com/westchester-at-the-pavilions-waldorf-md/2412m5b/),855-289-7710,"[3560 Malvern St, Waldorf, MD 20603](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3560+Malvern+St,+Waldorf,+MD+20603/data=!4m2!4m1!3e2)",794 - 799 Sq Ft,"$1,353 - 3,003","* Cat Rent: $65
* Dog Rent: $65","* Application Fee: $25
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a pet fee of $500 due at the time of application and $65 pet rent per month. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $65 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Garage
1 space. Garage parking available for $100-$200.",* Playground,"* Dishwasher
* Microwave","* 24/7 Access to Fitness
* 24hr. Business center
* 24hr. Emergency maintenance
* Community Room
* Conference/Meeting room
* Controlled building access
* Courtyard
* Fire sprinkler system
* Garages Available
* High-speed internet access
* High-speed internet in area
* Lifeguard on duty
* Media room/theater
* Olympic Size Pool
* Parking structure-not reserved
* Pet Friendly
* Poolside BBQ Grilling Area
* Separate party room
* Smoke-Free Building
* Sports Courts
* Storage Spaces Available
* Yoga Studio(s)
* Breakfast Bar
* Cherry Cabinets
* Crown molding
* Dbl vanity sinks master bath
* Divided sink
* Double vanity sinks
* Entry closet
* Full-size washer/dryer
* Icemaker
* Kitchen island cooktop or sink
* Linen closet
* Linen closet master bath
* Oval tub
* Pantry
* Patio/Balcony
* Retractable hose faucet
* Self-cleaning oven
* Stainless steel appliances
* Window Covering",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2009
* 491 Units/4 Stories",,,,"You will find everything you need and want at our St. Charles, MD apartment community. Come home to Westchester at the Pavilions with one, two, and three bedroom floor plans, built with your comfort in mind. Our apartment homes feature first-class features sure to complement any lifestyle. Each of our kitchens are equipped with stainless steel appliances. You will enjoy the appeal of 9-foot vaulted ceilings with fans, wood-style flooring, walk-in closets, and built-in nooks in select apartments. Residents of our luxury community like our picnic pavilion, swimming pool, and children pool area. We also have four playgrounds and two tennis courts. Plus, a location near Waldorf, MD that makes commuting easy."
[Sheffield Greens Apartments](https://www.apartments.com/sheffield-greens-apartments-saint-charles-md/jnqzsh6/),844-390-5460,"[4658 Sheffield Cir, Saint Charles, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4658+Sheffield+Cir,+Saint+Charles,+MD+20602/data=!4m2!4m1!3e2)","1,001 Sq Ft","$1,391 - 2,271","* Cat Rent: $30
* Dog Rent: $30
* Reptile Rent: $30
* Trash Removal, Sewer: Included","* Application Fee: $40
* Other: $87
* Cat Deposit: $300
* Dog Deposit: $300
* Reptile Deposit: $300","Dogs Allowed:
breed restrictions may apply 
* $300 Deposit
* $30 Monthly Pet Rent
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court
* Gameroom",* Microwave,,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Alarm
* Fireplace
* Wheelchair Accessible (Rooms)","* Vaulted Ceiling
* Views
* Walk-In Closets",,* Property Manager on Site,"* Built in 2006
* 252 Units/3 Stories",* Clubhouse,* Balcony,,
[The Nines at Gleneagles](https://www.apartments.com/the-nines-at-gleneagles-waldorf-md/32hk5fd/),844-744-1409,"[4872 Lichfield Pl, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4872+Lichfield+Pl,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",860 Sq Ft,"$1,359 - 2,018","* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Application Fee: $40
* Other: $100
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed
* $300 Deposit
* $30 Monthly Pet Rent",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court
* Walking/Biking Trails
* Gameroom","* Eat-in Kitchen
* Kitchen
* Microwave",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Smoke Free
* Storage Units
* Wheelchair Accessible (Rooms)","* Tile Floors
* Dining Room
* Recreation Room
* Crown Molding
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Linen Closet",,"* Property Manager on Site
* 24 Hour Availability","* Built in 2012
* 120 Units/3 Stories","* Clubhouse
* Breakfast/Coffee Concierge","* Balcony
* Patio",,
[The Links at Gleneagles](https://www.apartments.com/the-links-at-gleneagles-waldorf-md/054d0k0/),240-766-8595,"[4817 Elmley Pl, Waldorf, MD 20603](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4817+Elmley+Pl,+Waldorf,+MD+20603/data=!4m2!4m1!3e2)",758 Sq Ft,"$1,335 - 2,900",* Trash Removal: Included,* Application Fee: $40,"Dogs and Cats Allowed
Breed restrictions, deposit and monthly pet rent apply per pet. 
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground",,"* 9' Ceilings
* Adjacent to White Plains Park
* Air Conditioner
* BBQ/Picnic Area
* Built-in Microwaves
* Cable Ready
* Carpeting
* Ceiling Fan
* Crown Molding and Oversized Baseboard Trim
* Dishwasher
* Disposal
* Dog Park
* Electronic Thermostat
* Elegant Ceramic Tile Bathrooms
* Energy Star Appliances
* Espresso Cabinets with Brushed Nickel Hardware
* Free Weights
* Granite Countertops
* Membership to the Gleneagles Community Center
* Private Patios and Balconies Available
* Social Lounge with Coffee Bar
* Washer/Dryer
* Wheelchair Access
* Window Coverings",* High Speed Internet Access,,None,"* Maintenance on site
* 24 Hour Availability","* Built in 2015
* 213 Units/3 Stories",* Clubhouse,* Sundeck,,"The Links at Gleneagles is your link to better living. These brand new one, two and three bedroom apartments offer every modern convenience you would expect to find in a home, plus many more luxuries to enhance your lifestyle. Adjacent to White Plains Regional Park, you're just steps from an 18-hole golf course, tennis courts and the most extensive series of hiking and biking trails in Charles County. A complimentary membership to the Community Center, which boasts a resort-style swimming pool, tennis courts and clubhouse, lets you to take advantage of even more recreational fun. And that's just the beginning. From designer kitchens to a location only minutes from the area's best shopping, dining and entertainment, The Links at Gleneagles is a place you'll want to call home."
[Wakefield Terrace](https://www.apartments.com/wakefield-terrace-saint-charles-md/g198qkw/),844-605-0314,"[2000 Amber Leaf Pl, Saint Charles, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2000+Amber+Leaf+Pl,+Saint+Charles,+MD+20602/data=!4m2!4m1!3e2)",722 Sq Ft,"$1,067 - 2,063","* Cat Rent: $30
* Water, Trash Removal: Included","* Application Fee: $40
* Cat Deposit: $300","Cats Allowed
* $300 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court
* Walking/Biking Trails","* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)","* Carpet
* Views
* Walk-In Closets",,* Laundry Facilities,"* Built in 1979
* 204 Units/4 Stories",,,,
[Gleneagles](https://www.apartments.com/gleneagles-waldorf-md/81y3y73/),844-245-2260,"[11604 Lewisham Pl, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11604+Lewisham+Pl,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",905 Sq Ft,"$1,362 - 2,471","* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Application Fee: $40
* Other: $100
* Cat Deposit: $350
* Dog Deposit: $350","Dogs Allowed:
Breed restrictions 
* $350 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court",,,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)",* Walk-In Closets,,,"* Built in 2010
* 184 Units/3 Stories","* Clubhouse
* Breakfast/Coffee Concierge",,,
[4928 Olympia Pl](https://www.apartments.com/4928-olympia-pl-waldorf-md/4xb3ebl/),,"[4928 Olympia Pl, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4928+Olympia+Pl,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",,"$2,495",,,Dogs and Cats Allowed,50,50,Garage,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/COs39H3Y_XvMEo2kUF5BPWFmMUgk_DwS9zUq-L2ivrc/110/4928-olympia-pl-waldorf-md-primary-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/7YxncbAzcIPGsnmHD5UYIpUVIEMWWSib6I2S5pujIwQ/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/u3YL9_qYeW3GNzo-Gc8ClG0WvAJHAlkcLrSFwGoPVyM/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/ICXEY3LSJvYw31C_UBoEJ2PgA0rzyVpU0fEsh_Ztc24/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/jjI7-8xuI9vkySErZd9rG7rgK4A4KMPf5oqhMgLSgok/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/Cr7pxrd_3NRiAo0Od1RpPHsWrMhlM08D5qonJxZoW0w/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/BC-LqA5lXZaxeTGYztN8eCS-XcM_Hu_WnvnJXZjSXxY/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/apMop-XHuVbXFqKPMT6VlkPH-vV8I1cAc4yPhRKqEb0/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/wpx1IsOf2YT1Xfn8_oBnAetxAKl5Zi7JNJeRUH7zrPA/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/iNJq3uAZzb0r-6j3dHKI3YGteUkdRGRBwCH-yGGR4GA/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/lM4mx_TB5PJA--9fQdkxyie-5qQZymlvLJYa0dyq3DI/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/pSvtvysY97sgZVfudYP_2xbda148Q6cqBcNIkPqhRWI/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/V1DXMQMNI5ienihzIgkDbCcS73h5t_T5y29YxgvDVe0/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/wn2OKWTf5qujfCGOJ9UlfWUQU6nY1T7n5lyVAA6m_7U/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/x102ljPjg-ZBGxQ-jcEIoRwCy9r4AWuaql1HwdNTmqs/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/CbAlWsh5tmsB9z-aHuOaYmfkoBxKt-2Ig4MLKJTYCVU/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/WtMWc2hgeRQxSG-8Gxgih_zyNi3swd0FRYaVxzH1wS4/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/cp0k761gUxgmrdcnIDPSPzBmAeDjO-Lv__F8OWXjOKg/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/SCWFPa2XlDQRWOEuRSgSfsQ9N7AyIkUAe7YEEWc8RWk/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/iVAmSXRqSZCo72P4W6XF411UeC-OUiRBzimx42iZwdo/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/fm39mdRyQrbEDU0aN8huvM1SNzyyCosbrfaOO02o_iU/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/E0q35pHDqK29MQW7eFX8B9TR5eQlsfZBNweJQm60Z3M/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/_aib_2R3f3cYb7MA8_n7nfy1kGIDDyGKT_yUoFXOeWI/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/3hsaesEn7Eo9wMXVvlDKEm2DxtYq6TwQzvqggKKg5dM/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/YYOuztbO_4p5mpT7MMNsR-h2TOGbTwkSCej2zTS4G3w/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4928 Olympia Pl](https://images1.apartments.com/i2/w8KcTE_UuDtwyXONZY9Ue5Y5-NjxFgJd4PtHQdO3aEs/118/4928-olympia-pl-waldorf-md-building-photo.jpg) ,"This newly built 3 bedroom / 4 bathroom townhome is located in the exclusive Fairway Village Association of Waldorf, in the heart of Southern Maryland's suburban living and close to DC. This Townhome boasts approximately 2550 SqFt of living space including a private balcony for BBQing and relaxing. Enjoy HARDWOOD FLOORING and CERAMIC TILE throughout this luxurious townhome. There are three bedrooms that are conveniently located on the third floor - far above any noise below. Complimented with a completely new interior, this cozy, modern, and contemporary home has plenty of amenities for the SOPHISTICATED PROFESSIONAL. Pool, BBQ, Tennis Courts, Pool Table, and Community Center are all within walking distance and included. This townhome features many windows to see the front balcony, fenced-in backyard, and tree lined streets, a pleasant neighborhood, and a convenient living environment in one of the most convenient locations in all of Southern Maryland. There is direct access to the grassy backyard for the kids to play or to take the dog out, and direct access to the 2-car Garage for easy loading/unloading. Laundry is on the 3rd floor, so no more steps between you and the laundry room. See the full listing and more full-resolution pictures here: http://www.armadamanagement.org/olympiaplace.html"
[3010 Heathcote Rd](https://www.apartments.com/3010-heathcote-rd-waldorf-md/3zv1mdf/),301-250-7214,"[3010 Heathcote Rd, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3010+Heathcote+Rd,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",,"$1,300",,,,50,50,Covered,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/5-n_andl90HJQmwJ6BmWLgPLEKx4sIPBLPAIwj8FQnk/110/3010-heathcote-rd-waldorf-md-primary-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/V0t6T-3r62y8NHFyoxndPF9mg1CUMZqGJEH-p330bWQ/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/ysMHtxmW8dl8XNsXzP8ognLjt4A9vhAj3PXLT2YUsUo/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/OHIy-euRtPS-br5jZfLNmzx6H9g_2GZtgvI8-U_so-I/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/TOSPPFgnc2oYWYdZGmwkRJu9QB5j3qnS10psUvEdfL4/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/BMqaX2DqPzaMHVIVouND3kZHF8egMc8NrVZTkA6j3DA/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/w1OPtqG-q6SK0Q8lHYl0Td9TJU732CRbhrzkp-_Cy4Q/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ![Building Photo - 3010 Heathcote Rd](https://images1.apartments.com/i2/m--a9MHBtbWORPuUCDk1niuo1jmnJOA_yaq6qoLJ9zw/118/3010-heathcote-rd-waldorf-md-building-photo.jpg) ,"New paint and flooring throughout. Three bedroom T/H in the heart of Waldorf, convenient to shopping, banking and several military installations. Covered parking at the door, community pool included! Available immediately, call Steve for appt 301.370.9740."
[4577 Scottsdale Pl](https://www.apartments.com/4577-scottsdale-pl-waldorf-md/bgw1bxc/),,"[4577 Scottsdale Pl, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4577+Scottsdale+Pl,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",,"$2,150",,,,50,50,Garage,,,,,"* Dining Room
* Basement",,,* Lot Size: 0.06 AC,,,![Primary Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/dEh4h-61UKqAWGII5WuBcnOaj6vYhPgOmQPYkfB3mSE/117/4577-scottsdale-pl-waldorf-md-primary-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/hplrlQaOVIckYhTfQ8dm-65-NhqgbT-O5ZOJoHl21N4/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/hLEjhQ7upjC56-n5fA0i2XELO7JIXz8-hZUqwGS8HuM/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/atVVoX4Bc0mmjis3olX0yEF0JL4s3vP3Y_BXiZNjMZA/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/4gexWzvjkoj-gpKg7r0HZZOKQ98i0XPdKblqm3p77VY/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/eLHY2xGlH5mMaTDupoIstUNHravXdeaD-KcAHgowPVI/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/J0pMS7EmGQAMcGzcbMh4d06_Jie28j5ifosPwj1pcso/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/WK-9otoL9kiznx_ZhAVL-mgEdQXXBgBLxKMHoUu7eT8/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/Nd2TF8v_tCALBfyvf6pUSyyuMMMl_9F8NCRB5beH8JQ/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/8S53mx8qoPOdlA8nz8OAbxZZ3nOFET2PSJ_txyhNN5I/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/mbBRg58rQIEpL_zdKe_bQqWa6FIfVU2QaqX9cjv3xbU/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/9isLhjgy777HE7KePIDUjE-U1iFKzIMPP9G1bqg4g0w/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/MzMnnRm1f0d_DhV9sh8fo3dWSL7XEqPwLi4ToAa7N5k/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/yi0_H9rP1o8CfjkCDooAS8Fv-oJfo0RocOWrLQaJNFc/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/ou9Xm3OMVU9sVyfziSMp4jBC9Du-9WrydHfjaf0VPSo/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/zohxmIDFxKKdx5tVnJhGMHGbc0xkud3EKvDy5PQRqKo/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/Uge5r1qz3GDVmbAR8ANV6on7k9DQc8TFl4Pj0VWcreU/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ![Building Photo - 4577 Scottsdale Pl](https://images1.apartments.com/i2/OnoP17SYzxaACRUCvUNpHXR7NjKlygApDUjL98kYVsI/117/4577-scottsdale-pl-waldorf-md-building-photo.jpg) ,End unit th as large as single family w approx 3320 sf living space. 3 sided brick 2 car garage 3 BR 2 full & 2 half Baths LR DR 2 Family Rooms new hw main level new SS LG appliances new carpets patio on basement level a balcony on each upper levels. Driveway can park 6 cars plus 2 in the garage. Master BR w walk in closet soaking tub sep shower Fresh paint new carpet. Must see!
[2306 Alava Ct](https://www.apartments.com/2306-alava-ct-waldorf-md/dreqhyk/),,"[2306 Alava Ct, Waldorf, MD 20603](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2306+Alava+Ct,+Waldorf,+MD+20603/data=!4m2!4m1!3e2)",,"$2,300",,,,50,50,Garage,,"* Dishwasher
* Disposal
* Microwave
* Oven
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Fireplace","* Dining Room
* Basement
* Attic",,,* Lot Size: 0.43 AC,,,![Primary Photo - 2306 Alava Ct](https://images1.apartments.com/i2/auNq-XQPF9_8GgIqN9l6Kpccv9oiDyDFjCDrOWCKPgU/117/2306-alava-ct-waldorf-md-primary-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/lhUAtDKUWTb1HIstFjXQF-MfXfv1Q7eOzyW-gOvWI4Y/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/X7QF_kamlUVCc0BOEre39pjEs1P_ZP4eYBy4zPH-p34/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/3jhJPgrZyghQbpSltk9XkoJ4u_LutNHaExf2qg97X5k/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/aeJAFZW3f5zFeSzjfakbY8eX1XJhcq71mAPWMVpYhnA/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/jYrBjt6yaM0sJmRSPjo_nQ3Q7zMZpF6Q6B6WtBKOq1Y/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/kdcqK3JwNtoKC8kmd4ZYR12kZHvXF37eG6UXSIrho4M/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/vFtxvH2gKCe-lHKp9i0_P7C0BiTW_gC4LQ1PEdcfBuk/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/3gqF3ktGKETmxg9zccdkxm4Som2Ke7Wn64ooWra86os/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/gHyeZs_Epk55W2CLsxeojmNPXCCd2bW6FYhg3n-N2uE/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/7MRpOQA5Dk5I016K9uNJyv98z7ASfkwu03JKok0rmL4/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/N0XsCDOW9evbON70HW1ZUXvJdO9xKQ9MS4Gi4JZAKBU/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/H0p9Ohsk_8g-MR8euy-v-USpkIhRZuAL0PRhP1_elHc/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/YugRb8vUs3R81sNLwxvKLm3-B91fV7X1v_N3b8KmSfI/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/GAh4bjgIWaCoJMh5xa9hygzkufzdv0X4Bm0jNDjvAdw/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/qyiLHESomyulcavF12u-YTSLrd-tqSUzUEfacPnIOyk/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/8aQ0LUeNshSbf0YAUDS1FP7uZWHARkSTSltjS2cRKBg/117/2306-alava-ct-waldorf-md-building-photo.jpg) ![Building Photo - 2306 Alava Ct](https://images1.apartments.com/i2/A01CgLN6WBIw078reSUbI32RdOe4dObvTm-SFoDvi38/117/2306-alava-ct-waldorf-md-building-photo.jpg) ,Lovely home with lots of room formal living and dining areas full finished basement. Gorgeous landscaped yard with gazebo and large deck. Location is convenient to shopping restaurants and less than 1 hour to DC and VA! This house has it all!
