Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Villas at Dorsey Ridge](https://www.apartments.com/the-villas-at-dorsey-ridge-hanover-md/dp7dxgl/),443-472-4887,"[7405 Windstream Cir, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7405+Windstream+Cir,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",686 Sq Ft,"$1,402 - 4,043","* Storage Fee: $12
* Assigned Garage Parking: $175
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $30
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
Breed Restrictions Apply $250 Non-Refundable Deposit for Pets up to 35lbs. For Pets Over 35lbs, a $250 Non-Refundable Pet Fee Applies, Plus a $150 Refundable Fee. Monthly Pet Rent is $35-$50 Dependent Upon Weight. 
* $250 Deposit
* $50 Monthly Pet Rent
* 35 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Cardio Machines
* Free Weights
* Pool
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 25 Acres of Greenery
* Adjacent to Arundel Mills Mall
* Attached and direct-access garages
* Bamboo Hardwood Floors throughout
* Bicycle storage
* Brand New Dog Park for our Dorsey Dogs
* Brand New Dorsey Dog Park
* Built-In Computer Work Stations
* Business center with flat screen monitor for video conferencing plus private work stations
* Ceramic Tile Bath Surround
* Choice of Verizon Fios or Comcast Xfinity
* Conference or Meeting Room
* Conference/Meeting room
* Controlled Access Buildings
* Country Club On The Green
* Courtyard View
* Custom Designed Light Fixtures
* Double Vanity Sinks
* Energy Star Stainless Steel Ge Appliances
* Entry Closet
* Fireplaces in every Apartment
* Flexible Lease Terms
* Full Size Washer and Dryer
* Game salon with billiards, foosball, refreshment bar and multiple flat screen TVs
* Garden or Soaking Tubs
* Gas Fireplace (Some Two-Sided)
* Gas Grills For Outdoor Cooking
* Granite Countertops
* Infinity Edge Pool with cabanas and Outdoor Fireplace
* Internet Cafe with free internet access
* Internet Cafe with Free Wireless Internet Access
* Intrusion Alarm Systems
* Kitchen Islands For Food Prep or Parties
* Kitchen Window
* Large Dogs Welcome!
* Large Walk-In Closet In Every Residence
* LEED Certified Silver Design
* LEED Silver Certified Design
* Luxurious 42-Inch Maple Cabinetry
* Movie Theater with surround sound, plush seating and popcorn
* Multi-level infinity edge pool, outdoor living areas
* Nature Preserve Setting
* Neo-traditional architecture
* On-site concierge
* Premium Carpeting In Bedrooms
* Resident Amenity Program
* Separate Utility Room
* Smoke-free Community
* Spacious Patio or Balcony with Every Residence
* State-of-the-art fitness center with interactive TV monitors
* Vaulted and 9 Foot Ceilings
* Video library
* Wi-Fi zones throughout the clubhouse and recreational areas","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Alarm
* Storage Units
* Double Vanities
* Tub/Shower
* Fireplace","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Vaulted Ceiling
* Walk-In Closets
* Loft Layout
* Window Coverings
* Accent Walls","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Security System
* Concierge
* Courtesy Patrol
* Furnished Units Available
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* LEED Rating
* Planned Social Activities
* Pet Play Area","* Built in 2012
* 238 Units/3 Stories
* Furnished","* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Coffee Bar
* Conference Room
* Library","* Gated
* Sundeck
* Courtyard
* Grill",,"Picture this tranquil 25-acre gated-community landscaped with manicured greenery, mature trees and meandering pathways. These neo-traditional architecturally-designed Villa apartments have personal attached garages rich in ambiance. Each building has been carefully placed to overlook panoramas of green space. Luxury, no problem. Privacy, no problem. When you feel like slipping out for recreation, walk to your private ""Country Club on the Green"". Listen to the sound of the pool water over the infinity edge while you cozy up by the outside fireplace, or you can warm-up inside the Great Room while you challenge a friend to a game of billiards. Print your documents in the cyber cafe while you enjoy a freshly brewed cup of coffee. At the Club, all of your senses are stimulated!"
[Serenity Place at Dorsey Ridge](https://www.apartments.com/serenity-place-at-dorsey-ridge-hanover-md/c5z9kdf/),866-322-0562,"[7501 Trafalgar Cir, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7501+Trafalgar+Cir,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",770 Sq Ft,"$1,486 - 3,330","* Cat Rent: $35
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $30
* Cat Fee: $250
* Cat Deposit: $250
* Dog Fee: $250
* Dog Deposit: $150","Dogs Allowed:
Breed Fees vary by pet weight 
* $150 Deposit
* $50 Monthly Pet Rent
* $250 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Garage
First Parking Spot is included - Parking on the same level as your apartment!","* Fitness Center
* Cardio Machines
* Free Weights
* Pool
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Adjacent to Arundel Mills Mall
* Bamboo Hardwood Floors throughout
* Brand New Dog Park for our Dorsey Dogs
* Brand New Dorsey Dog Park
* Built-In Closet Shelving Systems
* Built-In Computer Work Stations
* Choice of Verizon Fios or Comcast Xfinity
* Custom Designed Light Fixtures
* Dual Compartment Sinks
* Energy Star Stainless Steel GE Appliances
* Flexible Lease Terms
* Four convenient elevators
* Full Size Washer and Dryer
* Garden/Soaking Tubs
* Gas Fireplace (Some Two Sided)
* Gourmet Demonstration Kitchen
* Granite Countertops
* Great room with piano
* Intrusion Alarm Systems
* Kitchen Islands for Food Prep or Parties
* Large Walk-In Closet in Every Residence
* LEED Silver Certified Design
* Luxurious 42-Inch Maple Cabinetry
* Parking Structure-Same Floor
* Premium Carpeting in Bedrooms
* Resident Amenity Program
* Smoke-free community
* Spacious Patio or Balcony with Every Residence
* Vaulted and 9 Foot Ceilings
* Wi-Fi Throughout The Clubhouse and Pool","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Alarm
* Storage Units
* Double Vanities
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room
* Vaulted Ceiling
* Walk-In Closets
* Furnished
* Window Coverings
* Accent Walls","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Security System
* Concierge
* Courtesy Patrol
* Furnished Units Available
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* LEED Rating
* Planned Social Activities
* Pet Play Area","* Built in 2012
* 323 Units/4 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Disposal Chutes
* Coffee Bar
* Conference Room
* Library
* Two Story Lobby","* Gated
* Cabana
* Courtyard
* Grill",,"As you drive through this gated community, you will be impressed with smart, sophisticated architecture that wraps around unrivaled community amenities; all under one roof! Step inside the beautifully designed 4-story mid-rise elevator building and witness the excitement of our two story, 12,000 square foot club house, ""The Hub Club"", with floor-to-ceiling windows overlooking the sparkling swimming pool and recreational enclave. Our full-time concierge will greet you each day as you stop by to use free WiFi in the business center, work out in the expansive fitness center, or kick back and relax in the library. Enjoy a movie or sports event in the theater with state-of-the-art surround sound. Challenge your rival to a game of billiards or meet new friends at the cooking classes in the large Demonstration Kitchen. The Great Room extends your floor plan as you hear the grand piano and see the glow of the fireplace. ""People meeting People"", that's Serenity Place at Dorsey Ridge."
[The Arundel](https://www.apartments.com/the-arundel-hanover-md/pcsqzrv/),844-618-2688,"[7787 Arundel Mills Blvd, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7787+Arundel+Mills+Blvd,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",604 - 814 Sq Ft,"$1,565 - 2,850","* Cat Rent: $40
* Dog Rent: $40
* Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included",* Application Fee: $25,"Dogs Allowed:
1 Dog or 1 Cat Dogs 
* $40 Monthly Pet Rent
* 75 lb Weight Limit
* 1 Pet Limit",50,50,"Garage
Call for Details","* Fitness Center
* Pool","* Dishwasher
* Stainless Steel Appliances
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Access to 2 swimming pools
* Air Conditioner
* BBQ/Picnic Area
* Cable Ready
* Carpeting
* Close to BWI Airport
* Complimentary shuttle service to/from BWI Airport
* Dishwasher
* Disposal
* Efficient Appliances
* Electronic Thermostat
* Floor-to-Ceiling Windows
* Free Garage Parking
* Free Weights
* Furnished
* Granite Countertops
* Green Building
* Hardwood Floors
* High Ceilings
* Indoor/Outdoor Rooftop Lounge
* Large Closets
* Microwave
* Minutes to Arundel Mills Mall
* Minutes to Maryland Live! Casino
* Package Receiving
* Patio/Balcony
* Recycling
* Refrigerator
* Stainless Steel Appliances
* View
* Washer/Dryer
* Wheelchair Access
* Window Coverings","* High Speed Internet Access
* Washer/Dryer",,12,"* Maintenance on site
* Concierge
* 24 Hour Availability","* Built in 2017
* 233 Units/15 Stories","* Elevator
* Business Center","* Gated
* Sundeck",,"It's time for something different. A place where you can live the way you want. In a location that quickly connects you to anywhere you want to go and back. In stylish surroundings designed to make your life easier. Packed with amenities that invite you to do anything you want - or nothing at all. Welcome home to The Arundel, where you can make the most of every moment."
[Lake Village Townhomes](https://www.apartments.com/lake-village-townhomes-severn-md/mgfzzvl/),410-927-5685,"[8001 Laketowne Ct, Severn, MD 21144](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8001+Laketowne+Ct,+Severn,+MD+21144/data=!4m2!4m1!3e2)",,"$1,419 - 1,794","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal: Included","* Application Fee: $30
* Cat Deposit: $250
* Dog Deposit: $250",No Pets Allowed,50,50,"Surface Lot
1 space; Assigned Parking. Free Parking Space!","* Playground
* Tennis Court","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* Close to Ft. Meade!
* Provinces Park within walking distance","* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings",,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* Trash Pickup - Curbside
* Recycling","* Built in 1973
* 639 Units/2 Stories",* Breakfast/Coffee Concierge,"* Patio
* Lawn
* Barbecue/Grill",,"Stunning townhomes situated in a peaceful secluded setting with shops, dining and entertainment just minutes away. You'll enjoy the covenient and relaxing lifestyle you deserve. Lake Village Townhomes in Severn, Maryland, offers everything you desire in townhome living, and at an affordable price. A great location with outstanding service to our residents, and a variety of floor plans to suit your needs."
[The Elms at Stoney Run Village](https://www.apartments.com/the-elms-at-stoney-run-village-hanover-md/sq7ckf7/),410-514-5136,"[7581 Stoney Run Dr, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7581+Stoney+Run+Dr,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",830 Sq Ft,"$1,405 - 2,572","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $275
* Application Fee: $40
* Cat Deposit: $400
* Dog Deposit: $400","Dogs and Cats Allowed:
We welcome 2 pets maximum per apartment, not to exceed 50 lbs. total weight of one dog. Some breeds are prohibited and all pets are subject to the approval of management. Specifics regarding your pet's breed, weight, proof of rabies documentation from your veterinarian and a photo of your pet will be required prior to move-in. A pet deposit of $400 is due upon move-in. A monthly pet rent of $40 per pet will be due at the beginning of each month 2 pet Max per apartment not to exceed 50lbs in total weight. -Dogs over 35lbs are allowed on the ground floor only-A security deposit of $400.00 is due upon move-in, plus monthly pet fee-$40.00 per pet. The following breeds (including mixed breeds... 
* $400 Deposit
* $40 Monthly Pet Rent
* 60 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* Air conditioning - central air
* B B Q areas and Gas Grilling available during ...
* B B Q areas and Gas Grilling available during pool hours
* Community Outreach Events
* Electricity (Resident pays)
* Fire sprinkler system
* Gas (Resident Pays)
* Lifeguard on duty
* SatisFacts Resident Satisfaction Award Winner ...
* SatisFacts Resident Satisfaction Award Winner 2010-2013
* Stay connected poolside or in the clubhouse ...
* Stay connected poolside or in the clubhouse with Wi-Fi
* Swimming Pool with Sundeck
* TV & phone wiring-major rooms
* Walk to bus line
* Water/Sewer - Resident Pays",* High Speed Internet Access,,Variable,"* Maintenance on site
* Pet Care","* Built in 2008
* 386 Units/4 Stories",* Clubhouse,,,"There are many great aspects to living at The Elms at Stoney Run Village. For starters, we are located in an excellent neighborhood full of world-class shopping, entertainment, and transportation options. One of the first aspects you will notice is that we are located right across the street from Arundel Mills Mall. Inside this shopping paradise, you can find Cinemark Theaters, a 24 screen movie theater as well as a host of stores, including Best Buy, Saks Fifth Avenue off 5th and Old Navy. Check out the mall directory to see additional stores. The mall also has several restaurants, including Johnny Rockets, Buffalo Wild Wings, and much more. This same center is also home to Maryland Live Casino. Here you can find a full-service casino, delicious dining options such as The Cheesecake Factory, Bobby's Burger Palace, The Prime Rib, Md Live Buffet as well as RamsHead Center Stage, a state-of-the-art performance venue. Just across the street in the mall area, you also find banks like ..."
[The Orchards at Severn Townhomes](https://www.apartments.com/the-orchards-at-severn-townhomes-severn-md/ngh0hwp/),866-661-7234,"[8317 Severn Orchard Cir, Severn, MD 21144](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8317+Severn+Orchard+Cir,+Severn,+MD+21144/data=!4m2!4m1!3e2)",690 Sq Ft,"$1,010 - 1,500",* Trash Removal: Included,* Application Fee: $25,No Pets Allowed,50,50,"Surface Lot
2 spaces.",* Playground,"* Dishwasher
* Disposal
* Eat-in Kitchen
* Microwave
* Range
* Refrigerator","* Air Conditioner
* Cable Ready
* Dishwasher
* Disposal
* Eat-In Country Kitchen
* Energy Efficient Windows
* Excellent Location Minutes to Rt. 100, I-295, I-95, Ft. Meade & Annapolis
* Front and Back Yards
* Hardwood Floors
* Large Rooms & Closet (s)
* Microwave
* Off Street Parking
* One Bedroom Apartments, Two, Three & Four Bedroom Townhomes
* Optional Carpet or Tile
* Optional In-Home Washer and Dryer
* Package Receiving
* Patio
* Refrigerator
* Spacious Rooms","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm","* Walk-In Closets
* Window Coverings",None,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 1972
* 501 Units/2 Stories",,,,"Pay only $20 for the first month's rent when you apply before October 27, 2017 and move in by December 27, 2017! Restrictions apply. Call for details."
[Somerset Woods Townhomes](https://www.apartments.com/somerset-woods-townhomes-severn-md/swkkc35/),866-301-7716,"[1833 Richfield Dr, Severn, MD 21144](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1833+Richfield+Dr,+Severn,+MD+21144/data=!4m2!4m1!3e2)",,"$1,314","* Cat Rent: $25
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $250
* Cat Deposit: $250","Cats Allowed
* $250 Deposit
* $25 Monthly Pet Rent
* $250 Fee
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available",* Playground,"* Dishwasher
* Eat-in Kitchen
* Range","* 24-Hour Emergency Service
* Central Air Conditioning
* Dishwasher
* Easy-Care Tile Or Hardwood Floor Options
* Energy Efficient Windows
* Full-Size Washer and Dryer in Every Home
* Minutes to Schools, Shopping, and Major Highways
* Package Receiving
* Private Front and Back Entrances with Yard
* Property Manager On Site
* Refrigerator
* Spacious Rooms and Ample Closet Space
* Spacious Three Bedroom Townhomes
* Walk-In Closet (s)
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Cable Ready","* Hardwood Floors
* Walk-In Closets
* Window Coverings",12,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site","* Built in 1972
* 200 Units/2 Stories",* Storage Space,,,"Somerset Woods offers modern three bedroom townhomes with over-sized rooms, updated eat-in kitchens, full size washer and dryers and private front and back entrances. Our location makes getting just about everywhere hassle-free; we're minutes away from Ft. Meade, Baltimore, Washington, and Annapolis, not to mention schools, shopping and recreation. Our committed and friendly staff is waiting to offer the standard of living you deserve. Please call for an appointment today!"
[Arbors at Arundel Preserve](https://www.apartments.com/arbors-at-arundel-preserve-hanover-md/8se7tx1/),844-239-5222,"[2109 Piney Branch Cir, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2109+Piney+Branch+Cir,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",635 Sq Ft,"$1,329 - 2,516","* Unassigned Surface Lot Parking: $25
* Unassigned Covered Parking: $25
* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $25
* Cat Fee: $35 - 50
* Cat Deposit: $250
* Dog Fee: $35 - 50
* Dog Deposit: $250","Dogs Allowed:
We do have some breed restrictions on dogs. We do provide ""While You're Away Services"" including feeding cats while our residents are out of town. 
* $250 Deposit
* $35 Monthly Pet Rent
* $35 - 50 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot: $25
762 spaces. Both covered and surface lot parking options available. The fee is $25.00 for unassigned parking in covered parking, or free unassigned surface lot parking.","* Fitness Center
* Pool
* Media Center/Movie Theatre",,"* Fenced-in Dog Park
* Gas Range Cooking
* Large Closets
* Maple Kitchen Cabinets
* Outdoor Fire Pit
* Oversized Windows
* Pub Room With Billiards Lounge",* High Speed Internet Access,,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* 24 Hour Availability
* Furnished Units Available
* Recycling
* Pet Care
* Car Wash Area","* Built in 2007
* 496 Units/4 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Conference Room","* Gated
* Sundeck
* Courtyard",,"A mid-rise and garden-style community with the finest amenities, a posh pool and clubhouse, and award-winning resident services ? that's what's on offer in these Baltimore-area apartments. Arbors at ArundelPreserve boasts spacious floor plans with upscale details like maple cabinetry, granite countertops and even gas fireplaces in select suites. Better yet, it's all just a stone's throw from Baltimore and D.C. Outside your beautiful apartment home, enjoy a stroll through the tree-lined neighborhood to pick up a pastry or bottle of wine, or take a woodsy walk with your pup. (No weight restrictions on pets here!) Thanks to the thoughtful design of this tucked-away oasis, you'd never guess the chic shopping of Arundel Mills is just a mile way. And who knew commuting could be such a breeze? Our location right off of I-295 puts Baltimore just 15 minutes away, and D.C. only 30. You wouldn't want to waste another moment getting home with so much waiting at your doorstep. For the best of all worlds in a Baltimore-area apartment, find your place in Arbors at ArundelPreserve. Call us at 866-421-5258 to learn more."
[Palisades at Arundel Preserve](https://www.apartments.com/palisades-at-arundel-preserve-hanover-md/p1m91mr/),844-724-0380,"[7694 Dorchester Blvd, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7694+Dorchester+Blvd,+Hanover,+MD+21076/data=!4m2!4m1!3e2)","585 - 1,001 Sq Ft","$1,495 - 2,675","* Dog Rent: $40
* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Application Fee: $25
* Cat Deposit: $200
* Dog Deposit: $200","Dogs Allowed
Dogs 
* $200 Deposit
* $40 Monthly Pet Rent
* 1 Pet Limit",50,50,Covered,"* Fitness Center
* Pool","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* Above Standard Ceiling Height
* Attended Lobby
* Bike Storage
* Business Center
* Community Room
* Controlled Access
* Dual-Pane Glass
* Electric Car Charging Stations
* Hardwood Floors
* Kohler Fixtures In Kitchens And Baths
* Leed Certified
* Library
* Luxury Stainless Steel Appliances
* Microwave Ovens In All Units
* Overlook Lounge
* Premium Granite Counter Tops
* Recycling Program
* Sound-Resistant Walls
* Washer/Dryer In All Units","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Walk-In Closets
* Window Coverings",12,,"* Built in 2013
* 331 Units/15 Stories
* LEED Certified Certified",,,,"While others may claim luxury, the level of living and customer service experienced at The Palisades is unrivaled and can only be described as ultra-luxury. Sophistication and elegance radiate from every detail, representing our true dedication to the fine art of living well. Conveniently located off of 295 and Route 1 discover what it's like to live in ultra-luxury living at The Palisades at Arundel Preserve."
[Residences at Arundel Preserve](https://www.apartments.com/residences-at-arundel-preserve-hanover-md/48l9p3h/),844-724-0384,"[7789 Arundel Mills Blvd, Hanover, MD 21076](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7789+Arundel+Mills+Blvd,+Hanover,+MD+21076/data=!4m2!4m1!3e2)",740 - 874 Sq Ft,"$1,430 - 2,780","* Cat Rent: $25
* Dog Rent: $30
* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $25,"Dogs Allowed
Dogs 
* $30 Monthly Pet Rent
* 75 lb Weight Limit",50,50,"Garage
1 space.","* Fitness Center
* Pool","* Dishwasher
* Kitchen
* Microwave
* Range","* Business Center
* Concrete Walls
* Custom Solar Shades On All Windows
* Granite Countertops
* Stainless Steel Appliances
* Utilities Included
* Washer Dryer In Apartment","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready","* Hardwood Floors
* Carpet
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",12,,"* Built in 2001
* 242 Units/4 Stories",,,,"Beauty is in the detail, and you won't find an apartment home with as many beautiful details as you do at The Residences at Arundel Preserve. The Residences is located in Anne Arundel County right outside of Baltimore, MD. There is a whole world at your front door. The Residences at Arundel Preserve is equipped with a refreshing pool, beautiful landscaping, a state of the art fitness center, and more! Make The Residences at Arundel Preserve your home today!"
