Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Central](https://www.apartments.com/central-silver-spring-md/3n8c7pd/),844-709-9676,"[8415 Fenton St, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8415+Fenton+St,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",583 Sq Ft,"$1,754 - 3,205","* Unassigned Garage Parking: $150
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Other: $350
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
Standard Bozzuto breed restrictions Away from home services available 
* $300 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Bike Storage
* Walking/Biking Trails","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Cable Ready
* Double Vanities
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows",,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* Concierge
* 24 Hour Availability
* Recycling
* Dry Cleaning Service
* Online Services
* Planned Social Activities
* Guest Apartment
* Pet Care
* Pet Washing Station
* Car Charging Station","* Built in 2017
* 246 Units/6 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Disposal Chutes
* Coffee Bar
* Library","* Gated
* Rooftop Lounge
* Sundeck
* Courtyard
* Grill",,"Central to You. Live where everything you want is in reach. The Central apartments connect eclectic, neighborhood charm with innovative design. Where the freedom of doing what you want is met with the ability to do it all. Located in the heart of Silver Spring, just steps from the metro, Central is comprised of 243 spacious residential units set within a dynamic mix of 21,500 square feet of mixed-use retail space and restaurants. At Central, life is yours to define."
[Heritage At Silver Spring](https://www.apartments.com/heritage-at-silver-spring-silver-spring-md/1rkt2q6/),301-637-5742,"[8021 Georgia Ave, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8021+Georgia+Ave,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",745 Sq Ft,"$1,368 - 2,368","* Storage Fee: $50
* Unassigned Garage Parking: $125
* Cat Rent: $70
* Dog Rent: $70","* Application Fee: $35
* Cat Deposit: $600
* Dog Deposit: $600","Dogs Allowed:
We welcome up to 2 pets per apartment home. Breed restrictions apply. We accept cats and dogs. There is a $70 monthly pet rent. There is also a $600 pet deposit. Please call our leasing office for complete pet policy. Breed Restrictions 
* $600 Deposit
* $70 Monthly Pet Rent
* 2 Pet Limit",50,50,"Garage: $125
1 space. Private parking garage available. Please call our leasing office for more details.",* Fitness Center,,"* Concierge
* Golf Simulator
* Online Rent Payments
* Swimming Pool
* Theater",* High Speed Internet Access,,None,"* Maintenance on site
* Pet Care","* Built in 2013
* 183 Units/9 Stories
* LEED Certified Certified","* Business Center
* Clubhouse",* Balcony,,"Heritage Silver Spring offers the best in luxury apartments and townhomes in downtown Silver Spring, MD. With an eye for elegance in new apartment living, our gorgeous studio, one or two bedroom apartments and townhomes provide sophisticated urban living, minutes to the city."
[The Warwick Apartments](https://www.apartments.com/the-warwick-apartments-silver-spring-md/m7ss7wj/),877-894-0015,"[1131 University Blvd W, Silver Spring, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1131+University+Blvd+W,+Silver+Spring,+MD+20902/data=!4m2!4m1!3e2)",949 Sq Ft,"$1,339 - 2,648",,"* Application Fee: $25
* Cat Fee: $50
* Cat Deposit: $250
* Dog Fee: $50
* Dog Deposit: $250","Dogs and Cats Allowed:
We allow up to 2 pets per apartment home. There is a $250 pet deposit and $50 pet fee due at time of move in. Breed restrictions apply. Please call our leasing office for more details. 
* $250 Deposit
* $50 Fee
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Walking/Biking Trails","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Kitchen
* Microwave
* Oven
* Refrigerator",* Gas Appliances,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Handrails","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Dining Room
* Family Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",Variable,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Pet Care","* Built in 1967
* 399 Units/19 Stories",* Elevator,"* Courtyard
* Grill",,Not just remodeled but re-imagined. The Warwick Apartments is a historic community with contemporary touches. These stylishly spacious apartment homes and top-notch resident services combine to set The Warwick Apartments apart. A full suite of amenities and picturesque location ensure your free time is well spent.
[The Point at Silver Spring](https://www.apartments.com/the-point-at-silver-spring-silver-spring-md/19d6hs5/),703-835-9121,"[8750 Georgia Ave, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8750+Georgia+Ave,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",780 Sq Ft,"$1,140 - 2,014","* Cat Rent: $45
* Dog Rent: $45","* Application Fee: $25
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350","Dogs and Cats Allowed:
Pet friendly dogs and cats, 2 pets per home combined weight of 45lbs. Some breed restrictions apply, call for details. 
* $350 Deposit
* $45 Monthly Pet Rent
* $350 Fee
* 45 lb Weight Limit
* 2 Pet Limit",50,50,"Garage
2 spaces; Assigned Parking. $120 Single Reserved$150 Tandem Space","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* 24-hour Emergency Maintenance
* BBQ/Picnic Area
* Beautiful Courtyard
* Coffee Bar
* Cyber Cafe & Business Center
* Pet-friendly
* Resort style swimming pool","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Views
* Walk-In Closets
* Linen Closet",Variable,"* Community-Wide WiFi
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Bilingual
* Concierge
* 24 Hour Availability
* On-Site ATM
* On-Site Retail
* Recycling
* Renters Insurance Program
* Online Services
* LEED Rating
* Planned Social Activities
* Guest Apartment
* Pet Play Area","* Built in 1968
* Renovated in Jan 2006
* 890 Units/16 Stories","* Elevator
* Business Center
* Lounge
* Storage Space
* Coffee Bar","* Rooftop Lounge
* Courtyard
* Grill
* Picnic Area",,"Located in Silver Spring Maryland, The Point at Silver Spring has renovated studio, one and two bedroom apartments that feature modern interiors that you are looking for: cherry-wood cabinets, tile floors, wall to wall carpet, stainless steel appliances, contemporary faucets and new light fixtures. The new downtown Silver Spring is just outside your door filled with the latest fashions, menus from around the world, and world-class entertainment venues. Silver Spring is urban living at its best. Call or visit today for your personal tour! *select apartments only, restrictions apply and specials subject to change"
[Core](https://www.apartments.com/core-silver-spring-md/0dkxc21/),855-571-2449,"[8621 Georgia Ave, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8621+Georgia+Ave,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",593 Sq Ft,"$1,528 - 2,374","* Cat Rent: $40
* Dog Rent: $40",* Application Fee: $37,"Dogs Allowed:
The following breed restrictions include dogs that are known to be aggressive towards strangers and / or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted. Restricted Pet Breeds include the following: American Pit Bull Terrier, American Bulldog, Doberman Pincher, Rottweiler, German Shepherd, Tosa Inu, Staffordshire Terrier (American or Bull), Bull Terrior, Mastiff, Bullmastiff, Presa Canario, Cane Corso, Siberian Husky, Malamute, Wolf-Dog Hybrid, Great Dane, St. Bernard, Akita, Chow-Chow. 
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,,"* Cardio Machines
* Weight Machines
* Bike Storage
* Gameroom","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 24-Hour Cutting Edge Fitness Center
* 24-Hour Emergency Maintenance
* Close to Silver Spring Civic Center
* Custom closets
* Designated dog park and grooming spa
* Electric car charging stations
* Exceptional customer service
* Full size washer and dryer in each home
* Indoor garage parking with Zipcar access
* Keyless entry
* Luxury rooftop pool and lounge area
* Luxury Silver Spring High Rise
* NEST thermostats
* Pet friendly - Cats and Dogs!
* Private balconies/patios in select homes
* Rooftop clubroom and outdoor sky lounge
* Silver Spring Metro - Red Line
* Stainless steel Energy Star appliances
* USB charging outlets
* Walking distance to Silver Spring Metro","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Storage Units
* Double Vanities
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views
* Walk-In Closets
* Window Coverings","3 months, 6 months, 9 months, 12 months, 15 months, 18 months","* Controlled Access
* Property Manager on Site
* Recycling
* Online Services
* LEED Rating
* Planned Social Activities
* Pet Play Area
* Pet Washing Station","* Built in 2017
* 292 Units/17 Stories","* Disposal Chutes
* Coffee Bar","* Rooftop Lounge
* Grill",,"Find your sphere of influence at Core, iconic new apartments in the center of Downtown Silver Spring. Work the social circuit – whether reclining poolside on the rooftop or kicking it into high gear at the gym. Own your power position – steps from the area’s best shops and restaurants, concerts at The Fillmore, and nature trails in Rock Creek Park. Round out your day from the comfort of home, in a space at once serene and stunning. Have a central impact at Core."
[Peppertree Farm](https://www.apartments.com/peppertree-farm-silver-spring-md/gty27xz/),844-278-8787,"[14120 Weeping Willow Dr, Silver Spring, MD 20906](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14120+Weeping+Willow+Dr,+Silver+Spring,+MD+20906/data=!4m2!4m1!3e2)",816 Sq Ft,"$1,285 - 2,675",,* Application Fee: $25,"Dogs Allowed:
Cats and dogs are welcome. Maximum two pets per apartment. No weight limit. Monthly fees: $35 per pet. Refundable deposit: $200 first pet. Breed restrictions and other limitations apply. 
* 200 lb Weight Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Microwave
* Range
* Refrigerator","* 24-hour emergency maintenance service
* Child care service
* Newly renovated apartment home available
* On-site Child Care Service
* On-site Parking Available
* Recycling program
* Resident events
* Satisfaction guaranteed with Our Pledge","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Tile Floors
* Den
* Walk-In Closets","2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 24 months","* Day Care
* Maintenance on site
* Property Manager on Site
* Recycling
* Planned Social Activities","* Built in 1954
* 881 Units/4 Stories","* Business Center
* Clubhouse",* Sundeck,,"Large apartments, plentiful upgrades, and amenities that's what you'll find at Peppertree Farm Apartments in Silver Spring, MD! Our apartments for rent offer everything you need for home, health, and relaxation including a cozy clubhouse with fireside lounge, fitness center, and Olympic-sized swimming pool. Peppertree Farm also has a business center with Internet access, an on-site day care, and gorgeous views from your private balcony or patio. * Conveniently located near the Glenmont Metro (Red Line), Georgia Avenue, Bel Pre Road, and Connecticut Avenue, Peppertree Farm makes getting around town and to the Washington, DC area so much easier! You'll love having quick access to Aspen Hill Shopping Center, Kohl's, Home Depot, Giant, and Kmart, as well as Georgian Forest Elementary School."
[Portico at Silver Spring Metro](https://www.apartments.com/portico-at-silver-spring-metro-silver-spring-md/er1c0qn/),844-562-5968,"[1203 Fidler Ln, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1203+Fidler+Ln,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",767 - 794 Sq Ft,"$1,675 - 3,098","* Assigned Garage Parking: $100
* Assigned Other Parking: $150
* Cat Rent: $15
* Dog Rent: $15
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed:
Acceptable animals include domestic cats, fish (max. tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by Management. 
* $250 Deposit
* $15 Monthly Pet Rent
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $100
1 space; Assigned Parking. Garage Parking",* Fitness Center,"* Disposal
* Pantry
* Microwave
* Range
* Refrigerator","* ATM machine
* Coffee bar
* Dog walk
* Limited access
* Pet friendly
* Den
* Designer track lighting and fixtures
* Dual-entry bathroom
* Energy efficient appliances
* Open concept kitchen
* Open floor plans
* Oversized windows","* High Speed Internet Access
* Washer/Dryer
* Cable Ready","* Hardwood Floors
* Carpet
* Vaulted Ceiling
* Walk-In Closets
* Window Coverings",Please contact us for available lease terms.,"* Package Service
* Community-Wide WiFi
* Maintenance on site","* Built in 2008
* 128 Units/12 Stories","* Elevator
* Business Center
* Multi Use Room",,,"Portico at Silver Spring Metro boasts remarkable amenities, an ideal location, and stylish apartments in Silver Spring, MD. Minutes from the 495 beltway, Portico is a short walk from downtown Silver Spring and 500 feet to the Red Line Metro - granting easy access to downtown Washington DC. After a long day, drop your car off in our covered parking garage then work off the day's stress in our state-of-the-art fitness center or refresh and refuel by taking a stroll on the grounds in nearby Harmony Gardens. Enjoy international cuisine, cafes, fine retail, music, the AFI movie theater, and the best of Silver Spring and Washington DC just steps from your door. Your Silver Spring luxury apartment comes with sleek, black, energy efficient appliances and spacious closets with select apartments boasting dens, washer/dryers, and spectacular views. Visit us today for a personalized tour and experience luxury apartment living in Maryland."
[1200 East West](https://www.apartments.com/1200-east-west-silver-spring-md/gx47fsz/),844-612-5882,"[1200 E -West Hwy, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1200+E+-West+Hwy,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",715 Sq Ft,"$1,805 - 3,407","* Unassigned Garage Parking: $150
* Cat Rent: $35
* Dog Rent: $35
* Trash Removal, Sewer: Included","* Admin Fee: $120
* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed:
Acceptable animals include domestic cats, fish (max. tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by Management. 
* $250 Deposit
* $35 Monthly Pet Rent
* 2 Pet Limit",50,50,"Garage: $150
$150 per month per vehicle",* Fitness Center,"* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* Bike storage
* Car charging stations
* Complimentary Starbucks coffee
* Controlled building access
* Den or office
* Energy-efficient windows
* Free daily newspapers
* Landscaped courtyards with picnic area and gas gri
* Metro within walking distance
* Pet-friendly community
* Stainless steel, energy-efficient appliances
* Updated kitchen cabinetry
* Water-efficient fixtures","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free","* Vaulted Ceiling
* Walk-In Closets",Please contact us for available lease terms.,"* Package Service
* Community-Wide WiFi
* Controlled Access
* Concierge
* Guest Apartment","* Built in 2010
* 216 Units/15 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space",* Sundeck,,"Conveniently located just north of DC, 1200 East West in Silver Spring is set amidst an array of shops, restaurants and entertainment. Exclusively for residents, discount tickets to Regal Cinemas are available at the concierge desk! At home you can take in the panoramic views from the rooftop deck, or gather with friends in the resident lounge. Choose from a variety of eco-friendly floor plans that each feature your own in home washer dryer and luxury finishes. Schedule your appointment today to check us out."
[Eleven55 Ripley](https://www.apartments.com/eleven55-ripley-silver-spring-md/qex3x5w/),240-292-6379,"[1155 Ripley St, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1155+Ripley+St,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",603 Sq Ft,"$1,524 - 3,695","* Unassigned Garage Parking: $150
* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Admin Fee: $185
* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed:
Acceptable animals include domestic cats, fish (max. tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by Management. 
* $250 Deposit
* $35 Monthly Pet Rent
* 2 Pet Limit",50,50,"Garage: $150
$150 per space. Reserved tandem spaces available for $200.00","* Fitness Center
* Pool
* Bike Storage
* Gameroom
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Microwave","* 24-hour controlled-access building
* Barn-style doors with opaque glass inserts
* Contemporary solid wood cabinetry (3 available col
* Controlled-access bike storage areas
* Energy Star (R)  light fixtures with compact fluoresce
* Glass-enclosed shower and soaking tub
* Low-flow commode and fixtures
* Pet friendly
* Private entrance
* Private, garden terrace
* Space-saving pocket doors
* Stainless steel appliances","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)","* Vinyl Flooring
* Views
* Walk-In Closets",Please contact us for available lease terms.,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Concierge","* Built in 2014
* 331 Units/21 Stories
* LEED Certified Gold","* Business Center
* Clubhouse
* Lounge
* Storage Space
* Conference Room",* Grill,,"Eleven55 Ripley is the talk of the town in Silver Spring, Maryland. Soaring in the sky, every inch of 21 floors is designed with the luxe life in mind. From the cozy garden terrace up to the sparkling rooftop pool - not a detail is missed. Our stylish eco-friendly apartment homes are just steps away from shops, restaurants, and entertainment. A mere block away, the Metro makes commuting to DC a dream. When you just need a day away from it all, take a break at nearby Rock Creek Park. Schedule an appointment to see what all the talk is about!"
[Silver Spring Towers](https://www.apartments.com/silver-spring-towers-silver-spring-md/9ej5j74/),844-284-5034,"[816-816 Easley St, Silver Spring, MD 20910](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/816-816+Easley+St,+Silver+Spring,+MD+20910/data=!4m2!4m1!3e2)",675 - 825 Sq Ft,"$1,260 - 2,045","* Assigned Garage Parking: $100
* Cat Rent: $45
* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $25,"Cats Allowed
Cats 
* $45 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Kitchen
* Range","* 24-Hour Clothes Care Centers On Each Floor
* 24-Hour Community Room with Wi-Fi
* 24-Hour Concierge Service
* 24-Hour Emergency Maintenance
* 30-Day Satisfaction Guarantee
* Beauty Salon and Barber Shop On-Site
* Coffee Bar Daily
* Continental Breakfast 1St Saturday Of Every Month
* Free Utilities
* Free Vertical Blinds Included
* Frost-Free Freezers
* Furnishings Available
* individual thermastat control
* Metro Red Line
* Military Housing
* Upgraded Kitchens and Baths
* vanities
* Vertical blinds
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Window Coverings",12,* Laundry Facilities,"* Built in 1966
* 432 Units/13 Stories",,* Gated,,Silver Spring Towers is proud to offer the utmost in service and style along with a fantastic location. A large swimming pool and deck make the fourth floor a favorite hideaway for residents. Convenient shopping and entertainment in walking distance.
