Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Reserve at Town Center](https://www.apartments.com/reserve-at-town-center-sterling-va/vxh021e/),888-843-2944,"[20723 Reserve Falls Ter, Sterling, VA 20165](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/20723+Reserve+Falls+Ter,+Sterling,+VA+20165/data=!4m2!4m1!3e2)",851 Sq Ft,"$1,429 - 2,450",,"* Admin Fee: $350
* Application Fee: $50","Dogs and Cats Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground","* Dishwasher
* Refrigerator","* Business Center with Wi-Fi
* Double Tennis Courts
* Gas Grill/Picnic Courtyard Area
* High Speed Internet Available
* Package Receiving
* Storage Spaces Available
* Sundeck
* Swimming Pool
* 9 ft. Ceilings
* Ceiling Fan in Master Bedroom
* Crown Molding in Living Room
* Disposal
* Gas Fireplace
* Linen Closet
* Walk-In Closets
* Washer and Dryer",* High Speed Internet Access,,None,"* Package Service
* Maintenance on site
* Pet Care","* Built in 2001
* 218 Units/3 Stories",* Clubhouse,,,"At The Reserve at Town Center, you'll find exceptional Loudoun County homes just moments from all the shopping, dining and entertainment of Dulles Town Center. The 1, 2, and 3-bedroom apartments in Sterling offered here allow the kind of life where anything is possible, from enjoying a quiet evening by your own fireplace to joining some friends on the tennis court for an energizing game. Whatever your mood, you'll find what you're looking for at The Reserve at Town Center. Set off Leesburg Pike, these Sterling, VA apartments put you in the heart of one of Northern Virgina's most sought-after areas. Live moments from Dulles Town Center and the incredible array of shopping, dining and entertainment including everything from a Cheesecake Factory to a Nordstrom. Plus, with the Potomac River running just a few miles to the north and beautiful parkland all around, there's never a lack of things to do. But if you do need easy access to other areas, the nearby Dulles Toll Road can take you ..."
[Chase Heritage Apartments](https://www.apartments.com/chase-heritage-apartments-sterling-va/q5vf2wy/),844-237-9323,"[1212 Chase Heritage Cir, Sterling, VA 20164](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1212+Chase+Heritage+Cir,+Sterling,+VA+20164/data=!4m2!4m1!3e2)",698 Sq Ft,"$1,295 - 3,140","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $40
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed
See We Love Your Pets page for details 
* $35 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking.","* Fitness Center
* Pool
* Playground
* Walking/Biking Trails","* Dishwasher
* Disposal
* Refrigerator","* Air Conditioner
* Black Appliances
* Cable Ready
* Ceiling Fan
* Dishwasher
* Fireplaces in Select Homes
* Full Size Washers and Dryers
* Garbage Disposal
* Large Closets
* Package Receiving
* Patio/Balcony
* Picnic Area
* Refrigerator
* Spanish Speaking Staff
* Vaulted Ceilings in Select Homes
* Wall-to-Wall Carpeting","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Cable Ready
* Storage Units
* Fireplace","* Carpet
* Vaulted Ceiling
* Walk-In Closets","4, 5, 6, 7, 8, 9, 10, 11, 12","* Package Service
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability","* Built in 1986
* 236 Units/2 Stories",* Business Center,* Picnic Area,,"Live in Sterling, VA and surround yourself with beautiful landscaping, charming homes, and thoughtful amenities. Located near Sterling Boulevard and East Staunton Avenue, Chase Heritage Apartments is just minutes away from all of the shopping, dining and entertainment that Sterling has to offer.Chase Heritage Apartments offers unique one, two, or three bedroom apartment homes that include dishwashers, large closets, and patios/balconies just to name a few of the exclusive amenities we offer our residents. Get a great workout in your state-of-the-art fitness center, stretch out in your spacious floor plan, or take a dip in your shimmering pool. If you're looking for a home close to Washington D.C., or want to experience the perks of a wonderful apartment home in a convenient location, Chase Heritage Apartments is the place for you in Sterling. You deserve the very best in apartment living and our community offers an easy and relaxed lifestyle."
[Commons at Potomac Square](https://www.apartments.com/commons-at-potomac-square-sterling-va/bzm4ctb/),703-297-4124,"[21282 McFadden Sq, Sterling, VA 20165](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21282+McFadden+Sq,+Sterling,+VA+20165/data=!4m2!4m1!3e2)",909 Sq Ft,"$1,407 - 1,742","* Cat Rent: $80
* Dog Rent: $80","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $300 - 500
* Dog Fee: $300 - 500","Dogs and Cats Allowed:
We welcome your pets! A maximum of 2 pets per apartment home. Pet fee is $300 (1 pet) and $500 (for 2). There is a monthly pet rent of $40 (1 pet) and $80 (for 2). Weight limit is under 50 lbs. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $80 Monthly Pet Rent
* $300 - 500 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking. 1 bedrooms include 1 FREE Reserved parking space.
2 bedrooms include 2 FREE Reserved parking spaces.",,,"* Air conditioning - central air
* Cable
* High-speed internet in area
* Pet Friendly",* High Speed Internet Access,,Variable,"* Maintenance on site
* Pet Care","* Built in 2011
* 83 Units/4 Stories",,,,"Potomac Square is a luxury apartment community located in the master-planned Cascades community in Sterling, Virginia. Each one and two-bedroom apartment home has been designed with you in mind and includes spacious living and entertaining areas, opulent baths, and modern kitchens. A select number of our apartment homes also include dramatic loft spaces that truly make a lasting impression. As a valued resident, you will enjoy gorgeous layouts, chef-inspired kitchens with islands, stainless steel appliances, vaulted ceilings, washer and dryer in the apartment and one of a kind designs that suite every lifestyle!"
[Lerner Parc Dulles](https://www.apartments.com/lerner-parc-dulles-sterling-va/x2cqdfq/),866-567-2321,"[21153 Parc Dulles Sq, Sterling, VA 20166](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21153+Parc+Dulles+Sq,+Sterling,+VA+20166/data=!4m2!4m1!3e2)",840 Sq Ft,"$1,488 - 2,092","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350","Dogs and Cats Allowed:
Breed Restrictions Apply. Up to 2 pets per home. No aggressive breeds and/or exotic pets. $350 non-refundable fee per pet, $50 monthly pet rent per pet. * *Service Animals are not subject to any pet fees or pet rent. Maximum 2 pets per apartment home. 
* $350 Deposit
* $50 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Pantry
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook",,"* Washer/Dryer
* Heating
* Ceiling Fans
* Cable Ready
* Fireplace","* Carpet
* Dining Room
* Vaulted Ceiling
* Bay Window
* Walk-In Closets
* Furnished
* Loft Layout",12 months,"* Laundry Facilities
* Property Manager on Site
* Renters Insurance Program
* Planned Social Activities","* Built in 2006
* 396 Units/3 Stories
* Furnished","* Clubhouse
* Multi Use Room
* Coffee Bar","* Courtyard
* Grill
* Picnic Area",,"Lerner Parc Dulles is more than an apartment, its a home! Here you will find a home that fits your personality. Whether you select one of the Courtyard-Style homes where all apartments include a garage, plus a patio or balcony overlooking a lovely fountain; or the Garden-Style apartment with classic three-story walk-up design, or the Carriage House-Style bi-level homes with attached garages, you will agree this is not your typical apartment community. No matter what the style, all apartments include grand features like luxury kitchens with granite countertops and maple cabinets, washers and dryers and lofts in select apartment homes. On any given day your biggest decision will be whether to splash around in the expansive resort-style pool or book an appointment with the masseuse in our massage studio. And, if you feel the need for some retail therapy, walk on over to Dulles Town Center. Who doesnt want a premier shopping mall with 185 specialty shops and restaurants just steps from their front door? With abundant amenities and an apartment that feels more like a private home in an unparalleled location, youll be anxious to make Parc Dulles your new home sweet home."
[Village at Potomac Falls](https://www.apartments.com/village-at-potomac-falls-sterling-va/z7mm11y/),703-483-9720,"[20576 Idle Brook Ter, Sterling, VA 20165](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/20576+Idle+Brook+Ter,+Sterling,+VA+20165/data=!4m2!4m1!3e2)",555 Sq Ft,"$1,295 - 3,110","* Storage Fee: $60
* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $200
* Application Fee: $50
* Dog Fee: $225","Dogs Allowed:
Cats and dogs are welcome. Maximum two pets per apartment. No weight limit. Monthly fees: $45 per pet. Refundable deposit: $225 (first pet only). Non-refundable fee: $225 (first pet only). Breed restrictions and other limitations apply. 
* $45 Monthly Pet Rent
* $225 Fee
* 200 lb Weight Limit
* 2 Pet Limit",50,50,Covered and Garage,"* Fitness Center
* Pool
* Playground
* Basketball Court","* Dishwasher
* Disposal
* Stainless Steel Appliances
* Range
* Refrigerator","* Built-in computer desk in select apts
* Eat-in kitchen in select apts
* Gas fireplace in select apts
* In-home washer & dryer
* Separate dining room in select apts","* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Alarm
* Fireplace",* Walk-In Closets,"2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months","* Package Service
* Renters Insurance Program
* Car Wash Area","* Built in 1999
* 247 Units/3 Stories","* Business Center
* Clubhouse
* Storage Space",* Gated,,"A luxurious lifestyle awaits you at the Village at Potomac Falls in Potomac Falls, VA. Spend some time at our resort-style swimming pool, picnic on our beautifully landscaped grounds, visit the 24-hour fitness center, or get to work at our business center, complete with computer stations. We offer spacious apartments for rent, including one-, two-, and three-bedroom floor plans, with granite countertops, high ceilings, fireplaces, plentiful storage, and covered breezeways. * When you choose Village at Potomac Falls, you're making a choice for convenience. Our controlled-access apartment community is located close to NVCC - Loudoun Campus, Sterling, Cascades, Algonkian Regional Park, and Loudoun Hounds Ball Park. Just hop on Route 7 and Route 28, and enjoy a pleasant ride to Dulles International Airport or the DC Metro Area. Or, stay close to home and visit the Dulles Town Center Shopping Mall and area restaurants. Either way, you'll feel right at home at the Village at Potomac Falls."
[Lerner Remington](https://www.apartments.com/lerner-remington-sterling-va/d2k9g5j/),703-439-1560,"[21000 Stanford Sq, Sterling, VA 20166](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21000+Stanford+Sq,+Sterling,+VA+20166/data=!4m2!4m1!3e2)",860 Sq Ft,"$1,503 - 1,971","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $350
* Dog Fee: $350","Dogs and Cats Allowed:
Breed Restrictions Apply. Up to 2 pets per home. No aggressive breeds and/or exotic pets. $350 non-refundable fee per pet, $50 monthly pet rent per pet. * *Service Animals are not subject to any pet fees or pet rent. Maximum 2 pets per apartment home. 
* $50 Monthly Pet Rent
* $350 Fee
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook",,"* Washer/Dryer
* Heating
* Cable Ready
* Alarm
* Fireplace","* Carpet
* Dining Room
* Bay Window
* Walk-In Closets
* Linen Closet
* Loft Layout",12 months,"* Property Manager on Site
* Renters Insurance Program
* Planned Social Activities","* Built in 1999
* 409 Units/4 Stories","* Business Center
* Clubhouse
* Multi Use Room
* Coffee Bar","* Courtyard
* Grill
* Picnic Area",,"Treat yourself and your family to comfort and resort-style living at Lerner Remington. With lavish finishes and comfortable floor plans, youll feel right at home. The bright airy apartments are chock-full of house-like features, such as full-size washer/dryer, patio or balcony, wall niches, walk-in closets and fireplaces in select apartments. If youre looking for something fun to do in your spare timehang out in the 8,000 square foot clubhouse with fully equipped kitchen, work out in the fitness center or snuggle up in the comfy oversized chairs in the movie theater and take in a show. If its shopping and dining that youre looking for, walk on over to Dulles Town Center where youll find more than 185 stores and restaurants. Stop looking and start living at Lerner Remington!"
[Lerner Windmill Parc](https://www.apartments.com/lerner-windmill-parc-sterling-va/e138dzm/),844-265-5975,"[21258 Windmill Parc Dr, Sterling, VA 20166](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21258+Windmill+Parc+Dr,+Sterling,+VA+20166/data=!4m2!4m1!3e2)",718 Sq Ft,"$1,424 - 2,475","* Assigned Garage Parking: $200 - 300
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350",Pets Negotiable,50,50,"Surface Lot
2 spaces.","* Fitness Center
* Cardio Machines
* Weight Machines
* Spa
* Pool
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 2,000 SF playground at Hadley's Park
* Al Fresco Patio with Fireplace
* Billiards
* Central Dining Ba
* LEED Gold Certified Clubhouse
* Massage Room
* Movie Theater
* Poker Table
* Quartz Countertops in Baths and Kitchens
* Resort Style Club house
* State-of-the-Art Tot Lot
* Trash Chutes
* Yoga Room","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Double Vanities
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Family Room
* Den
* Vaulted Ceiling
* Views
* Walk-In Closets
* Accent Walls",12 months,"* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* Property Manager on Site
* Bilingual
* Renters Insurance Program
* Online Services
* LEED Rating
* Energy Star Certified
* Planned Social Activities
* Pet Play Area
* Car Charging Station
* Car Wash Area","* Built in 2015
* 452 Units/4 Stories","* Business Center
* Multi Use Room
* Coffee Bar
* Conference Room","* Courtyard
* Grill
* Picnic Area",,"As soon as you step inside your Lerner Windmill Parc apartment home, youll be surrounded by luxury, convenience and a contemporary design. At this new community you will find a sleek, new apartment with eco-minded features and amenities. Apartment features such as stainless steel, energy efficient appliances, quartz countertops and wood laminate flooring take stylish living to new heights. Plus, there is an amenity lineup that is unsurpassed with a club-style fitness center, massage room, a game room with TVs and billiards, cyber caf with coffee station, an al fresco lounge with fireplace and much, much more. You will see that Windmill Parc was built with the environment in mind. The building is designed for LEED Gold certification, includes an electric vehicle charging station and meets all of the landscaping requirements that promote a healthy environment. All this and some of the finest stores in the area at Dulles Town Center just steps from your front door. What more could you ask for? For those desiring high-end, contemporary, sustainable luxury in an unequaled location, look no further than Windmill Parc!"
[Cascades Overlook](https://www.apartments.com/cascades-overlook-sterling-va/rhre801/),877-278-3660,"[20803 Wallingford Sq, Sterling, VA 20165](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/20803+Wallingford+Sq,+Sterling,+VA+20165/data=!4m2!4m1!3e2)",886 Sq Ft,"$1,500 - 2,850",* Trash Removal: Included,"* Admin Fee: $250
* Application Fee: $50","Dogs and Cats Allowed
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Free Weights
* Pool
* Playground
* Racquetball Court
* Tennis Court","* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* 24 Hour Emergency Maintenance
* Car Care Area
* Flexible Lease Terms
* Guest Parking
* Pet Friendly
* Putting green
* Valet Trash Removal
* Bay Windows Available
* GE Appliances Available
* Lofts with Vaulted Ceilings Available
* Verizon FIOS","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Fireplace","* Walk-In Closets
* Window Coverings",12 months,"* Maintenance on site
* 24 Hour Availability","* Built in 1993
* 360 Units/3 Stories","* Business Center
* Clubhouse
* Storage Space",* Sundeck,,"It's apartment living that simplifies your life with incredible convenience as well as a peaceful, beautifully landscaped location. Surrounded by shopping and dining, Cascades Overlook offers you everything you want close to home. Live minutes from Dulles International Airport, Dulles Town Center, the Tech Corridor, and both indoor and outdoor recreation. Well-designed apartments, relaxing amenities and extraordinary customer service. There's a lifestyle that's simply perfect waiting for you at Cascades Overlook."
[Muirfield Woods Apartments](https://www.apartments.com/muirfield-woods-apartments-sterling-va/m92lg8k/),703-463-9867,"[21940 Muirfield Cir, Sterling, VA 20164](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/21940+Muirfield+Cir,+Sterling,+VA+20164/data=!4m2!4m1!3e2)",690 Sq Ft,"$1,350 - 1,710","* Water, Trash Removal, Sewer: Included","* Cat Fee: $300
* Cat Deposit: $250
* Dog Fee: $300
* Dog Deposit: $250","Dogs and Cats Allowed:
2 pet limit. $250 deposit per pet (refundable). One time $300 fee. No weight or breed restrictions. 
* $250 Deposit
* $300 Fee
* 2 Pet Limit
* Must Be Spayed/Neutered",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Kitchen
* Range
* Refrigerator","* Barbecue and Picnic area
* Car Wash Station (seasonal)
* Rent Discounts to Active Military
* Rent Discounts to Airline Employees
* Rent Discounts to Police Officers
* Rent Discounts to Teachers
* Rents Discount to Government Employees","* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Carpet
* Vinyl Flooring
* Dining Room
* Walk-In Closets
* Window Coverings",,"* Package Service
* Maintenance on site
* Property Manager on Site
* Recycling
* Car Wash Area","* Built in 1986
* 156 Units/3 Stories",* Clubhouse,"* Sundeck
* Grill
* Picnic Area",,"Look no further folks WE DO NOT CHARGE YOU ANY FEES! No application Fees! No Processing Fees! No Move-In Fees! No Amenities Fee! & Most of your Utilities are paid! Did we mention we are the most pet friendly apartment complex in the area! No breed Restriction and No weight Limitations! & No Pet Rent! (See details) Muirfield Woods Apartments is conveniently located everywhere you want to be, Dulles Airport, Tysons Corner I and II, Reston Town Center, Routes 7 & 28, historic Leesburg and adjacent to Maryland's Montgomery and Frederick Counties. 30 Minutes to Washington D.C"
[Potomac Garden](https://www.apartments.com/potomac-garden-sterling-va/wd7yk2k/),844-444-4009,"[1300 Sanderson Dr, Sterling, VA 20164](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1300+Sanderson+Dr,+Sterling,+VA+20164/data=!4m2!4m1!3e2)",768 Sq Ft,"$1,215 - 1,785","* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $30
* Cat Deposit: $500
* Dog Deposit: $500","Dogs Allowed
Deposit/Rent may vary. 
* $500 Deposit
* $30 Monthly Pet Rent
* 60 lb Weight Limit
* 3 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Eat-in Kitchen
* Range
* Refrigerator","* Beautifully Landscaped Grounds
* Bilingual
* Broadband Internet Access
* Enclosed Entryways
* Freeway Access
* Housing Vouchers Welcome
* LIKE US ON FACEBOOK!
* Market Rate
* Minutes To Fairfax County Parkway
* Near Cascades Farmers Market & Costco
* Near Dulles Airport & NOVA Loudon
* Near Potomac Family Practice, Nova Medical & Urgent Care Center
* Panoramic, Glass Walled Living Room
* Rent Includes Water & Sewer
* Separate Dining & Breakfast Rooms
* Surface Lot
* Tot Lot
* Walk-In Closet (s)","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Smoke Free
* Satellite TV
* Wheelchair Accessible (Rooms)","* Walk-In Closets
* Window Coverings",,"* Maintenance on site
* Bilingual","* Built in 1979
* Renovated in Jan 2009
* 192 Units/4 Stories",,"* Balcony
* Patio",,"Welcome Potomac Garden Apartments located in Sterling, VA. This exquisite, four-story building property is a spacious building that offers a comfortable way of life. We offer spacious 1, 2, & 3 bedroom apartment homes. It boasts amenities like washers and dryers in each unit, sunny breakfast areas, large living rooms, and spacious closets. A Junior Olympic sized swimming pool, playground, and prestigious location in Loudon County make this a real treasure!"
