Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Avanti](https://www.apartments.com/the-avanti-district-heights-md/zfe7b7y/),844-492-3762,"[6501 Hil Mar Dr, District Heights, MD 20747](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6501+Hil+Mar+Dr,+District+Heights,+MD+20747/data=!4m2!4m1!3e2)",701 Sq Ft,"$1,061 - 1,719","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Deposit: $250
* Dog Deposit: $250","Dogs and Cats Allowed:
The Avanti is a pet-friendly community. We currently accept a maximum of 2 cats or 2 dogs with no weight limit and certain breed exception. There is a $250 pet deposit and a $25 pet rent. A signed pet addendum is required at the time of move-in. Please call our leasing office for more details. 
* $250 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking. Surface lot parking available.Please call for parking policy","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Oven
* Range
* Refrigerator","* 24/7 On Call Maintenance
* Business Center
* Cable Ready
* Controlled Building Access
* Dog Park
* Gated Community
* Lounge
* Swimming Pool
* Berber carpets living/dining
* Black Appliances
* Breakfast bar
* Den
* Dens in Select Homes
* Foyer at Front Entry
* Large patio/balcony
* Patios in Select Homes
* Private entry
* Walk In Closets
* Walk-in closets master bath
* Wall to Wall Carpet","* High Speed Internet Access
* Air Conditioning
* Ceiling Fans",* Walk-In Closets,12 months,"* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Pet Care
* Pet Play Area","* Built in 1961
* Renovated in Jan 2016
* 930 Units/3 Stories","* Business Center
* Clubhouse",* Gated,,"When searching for newly renovated 1-bedroom, 2-bedroom and 3-bedroom apartments for rent in District Heights look no further than The Avanti. Situated along a quick creek within a park-like setting. The Avanti features sparkling swimming pool with expansive decks, tot lots and private fitness center. The Avanti have completed a 25 million dollar renovation, included a newly upgraded apartment finishes like custom cabinets, flooring, upgraded appliances, fixtures, entry doors, laundry rooms, FIOS internet connection, secured access entry doors and much more. Conveniently located near I-495. Suitland Pky, Suitland Metro Station, MGM, Richie Station and the Boulevard Capital Centre. You're just minutes to anywhere. Please call for an appointment today."
[Verona at Suitland Metro](https://www.apartments.com/verona-at-suitland-metro-suitland-md/qs5wksz/),844-409-9598,"[3401 Pearl Dr, Suitland, MD 20746](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3401+Pearl+Dr,+Suitland,+MD+20746/data=!4m2!4m1!3e2)",645 Sq Ft,"$1,151 - 1,567","* Assigned Surface Lot Parking: $75
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $25
* Cat Deposit: $600
* Dog Deposit: $600","Dogs and Cats Allowed:
The Verona at Suitland Metro is a pet friendly community. We currently accept a maximum of 2 cats or 2 dogs with no weight limit and certain breed exception. There is a $300 pet deposit and a $25 monthly pet rent per pet. A signed pet addendum is required at the time of move-in. Please call our leasing office for more details. 
* $600 Deposit
* $50 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot: $75
Assigned Parking. Surface lot parking available. Reserved parking available for $75.","* Fitness Center
* Playground","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range","* 24/7 On Call Maintenance
* Air Conditioning
* Black appliances
* Breakfast bar
* Cyber Cafe
* Dens *in select units*
* Dog Park
* Patios *in select units*
* Professional On-Site Management
* Walk in Closets","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready","* Carpet
* Tile Floors
* Dining Room
* Walk-In Closets
* Window Coverings",12 months,"* Laundry Facilities
* 24 Hour Availability","* Built in 1961
* 257 Units/3 Stories",* Business Center,"* Gated
* Picnic Area",,"The Verona at Suitland Metro, a community of apartments in Suitland, MD, just a short drive from Washington, D.C. Located a short distance from the Suitland metro, life at The Verona at Suitland Metro puts you within a convenient distance from some of the area's top locations, including the Andrews Air Force Base and the U.S. Census Bureau headquartered in the Suitland Federal Center. Our garden-style residences offer all of the amenities and essentials designed for stress-free living. Please call for an appointment today."
[Avenue Apartments](https://www.apartments.com/avenue-apartments-forestville-md/2qkx6lc/),866-383-9759,"[6311 Pennsylvania Ave, Forestville, MD 20747](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6311+Pennsylvania+Ave,+Forestville,+MD+20747/data=!4m2!4m1!3e2)",652 Sq Ft,"$1,076 - 1,479","* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $40
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
Certain restrictions apply. Breed and Weight Restrictions 
* $25 Monthly Pet Rent
* $250 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",,,"* 1 Mile from Forest Village Park Mall with Target
* Central Courtyard
* Controlled Access/Gated
* Efficient Appliances
* Enclosed Pet Park
* Free Permit Parking for Residents
* Gas Range
* High Speed Internet
* Less than 10 Minutes from DC
* Minutes from Giant, Rite Aid Pharmacy, Planet Fitn
* Minutes from I-495 and Route 4
* On-Site Maintenance
* On-Site Management
* Park-like Setting - Manicured Landscaping
* Public Transportation
* Air Conditioner
* Cable and High-Speed Internet Available
* Carpeting \ Parquet Flooring
* Central Air Conditioning and Heat
* Ceramic Tile Flooring in Bathroom
* Courtyard
* Energy Efficient Appliances
* Gourmet Kitchens
* Large Closets
* Oversized Windows
* Separate Dining Area
* Spacious Rooms",,,,,"* Built in 1963
* 598 Units/2 Stories",,,,"The Avenue has all the elements you expect in a great home, and then some! A gated community, conference center, onsite laundry, updated apartment homes, on-site maintenance and great location are just a few of the amenities you'll come to love. You'll also relish in the Avenue's spacious units and perfect location. If you are looking for a home with value, comfort, and convenience, then search no more! Easy access to I-495 and public transportation give you complete convenience and relaxation. Look no further than The Avenue Apartments, if you are here you are home!"
[Whitehall Square](https://www.apartments.com/whitehall-square-suitland-md/mc956yl/),571-290-7097,"[4110 Suitland Rd, Suitland, MD 20746](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4110+Suitland+Rd,+Suitland,+MD+20746/data=!4m2!4m1!3e2)",610 - 860 Sq Ft,"$936 - 1,497","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
We have unreserved spaces on our surface lots. RESIDENTS parked in our lots must display a current community-issued permit at all times. VISITORS may park anywhere on-site from 6:00AM - 10:00 PM, after which they must park in our marked visitor spaces or display a current community-issued visitor permit.","* Pool
* Playground",* Kitchen,,"* High Speed Internet Access
* Heating",,12 months (6 months avail. - call for details),"* Laundry Facilities
* Recycling
* Laundry Service","* Built in 1963
* 584 Units/3 Stories",,,,"Whitehall Square in Suitland, MD offers bright and spacious 1, 2 and 3 bedroom apartments and 2 and 3 bedroom townhomes. Great Suitland Rd. Location Next to DC Line. Only 5 Minutes to Suitland DC Metro! We’re at the center of everything you need. Very close to many bus, rail and highway transit options. 5 minutes to Suitland Metro (shuttle stops here) with green line trains and 7 Metro Bus routes. 5 minutes to Suitland Parkway and 10 minutes to I-295 and I-495/95 Beltway. 5 minutes to Suitland Federal Center with Census Bureau, NMIC & NOAA. 5 minutes to grocery stores, everyday services, and shopping. 10 minutes to more shopping, entertainment and restaurants. Many apartments feature a large living area with space for lots of furniture, storage galore with huge walk-in closets, a separate dining area, natural light from large windows – we provide blinds throughout, great views, and central heat and air conditioning. Gas and electricity are included in your rent – you pay water/sewer. Laundry facility in most buildings - some apartments have full-size washer and dryer. Cats are welcome. Property features include a telephone entry system for each building, huge swimming pool with sundeck, three play areas, mail delivery in each building (townhomes have direct delivery), big park next door with basketball, tennis, fields, picnic and play areas, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.whitehallsquare.com."
[Andrews Ridge](https://www.apartments.com/andrews-ridge-suitland-md/bccht4b/),844-426-2476,"[5635 Regency Park Ct, Suitland, MD 20746](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5635+Regency+Park+Ct,+Suitland,+MD+20746/data=!4m2!4m1!3e2)",913 Sq Ft,"$1,142 - 1,847","* Cat Rent: $35
* Dog Rent: $35
* Gas, Heat, Trash Removal: Included","* Application Fee: $45
* Cat Deposit: $350
* Dog Deposit: $350",No Pets Allowed,50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Pool
* Playground",,,"* High Speed Internet Access
* Cable Ready",* Carpet,,"* Laundry Facilities
* Property Manager on Site","* Built in 1966
* Renovated in Jan 2014
* 496 Units/3 Stories","* Business Center
* Clubhouse","* Balcony
* Patio",,"From renovated kitchens and baths, a new fitness & business center, a fresh look for the outside of the buildings and more . . . we are committed to RENEWING this community and making the needed improvements for its valued residents. Call us today to learn more about the exciting changes we are making and to reserve your newly REJUVENATED apartment! With upgrades this exciting, you won’t want to miss out! Close To I-495, Suitland Parkway & Andrews AFB All Government Employees Qualify For 5% Rent Discount. Short Term Housing Available"
[Regency Pointe Apartments](https://www.apartments.com/regency-pointe-apartments-district-heights-md/h7v2pz3/),844-833-7488,"[3253 Walters Ln, District Heights, MD 20747](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3253+Walters+Ln,+District+Heights,+MD+20747/data=!4m2!4m1!3e2)",763 - 766 Sq Ft,"$1,018 - 1,410","* Cat Rent: $35
* Dog Rent: $35
* Gas, Water, Heat, Trash Removal, Sewer: Included","* Application Fee: $40
* Cat Fee: $350
* Dog Fee: $350","Dogs and Cats Allowed
some restrictions apply 
* $35 Monthly Pet Rent
* $350 Fee
* 85 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen
* Oven
* Range",,"* High Speed Internet Access
* Smoke Free
* Cable Ready","* Carpet
* Dining Room
* Walk-In Closets",,"* Laundry Facilities
* Maintenance on site
* 24 Hour Availability
* Online Services","* Built in 1964
* Renovated in Jan 2014
* 599 Units/3 Stories","* Business Center
* Multi Use Room",* Picnic Area,,"Our Brand New Business Center Features Desktop Computer Workstations. Check Out Our Brand New Fitness Center Featuring top- of-the-line Star Trac Cross Trainers, Treadmills and Recumbent Bikes. With renovated kitchens and baths, new laundry facilities, new fitness & business center, a fresh look for the outside of the buildings and more… we are committed to bringing our residents the best of Forestville! And with floor plans and upgrades this big, you won’t want to miss out! We invite you to tour our community and experience our top-notch service and specular community."
[Ashton Heights](https://www.apartments.com/ashton-heights-suitland-md/q7yfh5y/),844-821-6235,"[3901 Suitland Rd, Suitland, MD 20746](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3901+Suitland+Rd,+Suitland,+MD+20746/data=!4m2!4m1!3e2)",690 Sq Ft,"$1,265 - 2,106","* Assigned Garage Parking: $50
* Cat Rent: $35
* Dog Rent: $35
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Application Fee: $40
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
25lbs and certain breeds $300.00 pet fee required. $35.00 Monthly Fee. 
* $35 Monthly Pet Rent
* $300 Fee
* 35 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Free parking to all residents","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* 24 hour K9 Security
* ALL UTILITIES INCLUDED!
* ALL UTILITIES INCLUDED!!!
* ALL UTILITIES INCLUDED!!!!
* ALL UTILTIIES INCLUDED!!!
* Swimming Pool & Fitness Center","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Handrails
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Dining Room
* Bay Window
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings",6 - 14 Month Leases,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* Courtesy Patrol
* Video Patrol
* 24 Hour Availability
* On-Site ATM
* Online Services
* Parking Security","* Built in 1978
* 282 Units/16 Stories","* Elevator
* Clubhouse
* Multi Use Room
* Storage Space
* Disposal Chutes","* Gated
* Courtyard
* Grill
* Picnic Area",,"Ashton Heights Apartments is the perfect choice for those searching to live in a community full of charm. Located on Suitland Road near the DC border, you will enjoy the conveniences of fine dining, shopping, and entertainment. Commuting is enjoyable with quick and easy access to Downtown DC, the Capital Beltway, and the Baltimore/Washington Parkway. The Metro Bus Stop is at your doorstep to whisk you away to the Suitland or Naylor Metro Station, or to your favorite destination. We offer amazingly spacious floor plans (1, 2 and 3 bedrooms) with large windows and even larger closets. You will find the perfect home right here where you need to be. You will love our amenities! For those hot summer days take a dip in our refreshing pool, or let the kids be kids at our outdoor playground, all while feeling secure with our 24 hour K9 security force."
[Admiral Place](https://www.apartments.com/admiral-place-suitland-md/yn4md4s/),202-315-5177,"[4400 Rena Rd, Suitland, MD 20746](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4400+Rena+Rd,+Suitland,+MD+20746/data=!4m2!4m1!3e2)",621 Sq Ft,"$1,042 - 1,518","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $44
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
Under 25 lbs., breed restrictions apply. . 
* $35 Monthly Pet Rent
* $350 Fee
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Permit required",,"* Disposal
* Kitchen
* Range
* Refrigerator","* Convenient to Suitland Rd
* Dishwasher - select apts
* Minutes to Pennsylvania Ave
* Near Allentown Rd
* New balcony railings
* New Balcony Rails
* Online payments accepted
* Quick access to 495
* Stainless steel appliances - select apts
* Wood-style flooring in select apartments","* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Den
* Walk-In Closets
* Linen Closet
* Window Coverings",12 Month,"* Maintenance on site
* Property Manager on Site
* Online Services","* Built in 1966
* 410 Units/3 Stories",,"* Balcony
* Patio",,"Under New Management...Nestled in a quiet wooded setting, Admiral Place has the ideal apartment home for you. Located just off the Capital Beltway and convenient to Suitland Parkway. Admiral Place is only minutes from Andrews Air Force Base. Here you will find the Metrobus stop at your door and a washer and dryer in every apartment."
[Verona at Silver Hill](https://www.apartments.com/verona-at-silver-hill-suitland-md/jthzfv5/),855-716-3529,"[3506 Silver Park Dr, Suitland, MD 20746](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3506+Silver+Park+Dr,+Suitland,+MD+20746/data=!4m2!4m1!3e2)",511 Sq Ft,"$1,047 - 1,865","* Assigned Surface Lot Parking: $40
* Assigned Street Parking: $35
* Cat Rent: $60
* Dog Rent: $60","* Application Fee: $25
* Cat Deposit: $600
* Dog Deposit: $600","Dogs Allowed:
We welcome 2 pets per apartment home. There is a $300 pet deposit and $30 pet rent. We have no weight restrictions. Please call our leasing office for more details. Breed restrictions apply. Dogs are allowed. 
* $600 Deposit
* $60 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot: $40
Assigned Parking. Off street parking available. There is a optional reserved $40 parking space fee.",* Playground,,"* 24hr. Emergency maintenance
* Ample Visitor Parking
* Cable / Satellite Available
* Dog Park
* Near Bus Route Access
* Olympic Size Swimming Pool
* On Site Recycling
* One block from the Suitland Metro
* One Mile or Less to Interstate
* Picnic / BBQ Area
* Full Renovation
* Full-size washer/dryer
* Modern Cabinetry
* New Cabinets
* Newly Renovated Homes
* Private Screened Balcony
* Spacious Closets
* Walk-in closets master bath
* Washer and Dryer in Every Residence",* High Speed Internet Access,,12 months,,"* Built in 1965
* 214 Units/3 Stories",,,,"Welcome to The Verona at Silver Hill where quality and comfort meet. Enjoy our newly renovated apartment homes featuring oversized floor plans, individual washers and dryers in each residence, swimming pool and sundeck. The Verona at Silver Hill is located just 15 minutes from Downtown DC with easy access to I-495 and one block from the Suitland Metro Station. From the very first day at The Verona at Silver Hill, you will feel at home. Please call for an appointment today."
[Pennbrooke Station Apartments](https://www.apartments.com/pennbrooke-station-apartments-forestville-md/0r2mm23/),844-680-8784,"[5042 Silver Hill Ct, Forestville, MD 20747](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5042+Silver+Hill+Ct,+Forestville,+MD+20747/data=!4m2!4m1!3e2)",770 Sq Ft,"$1,086 - 1,595","* Water, Trash Removal, Sewer: Included",* Application Fee: $37,"Dogs Allowed:
Pennbrooke Station is a dog and cat, pet-friendly community. We allow a maximum of 2 pets (dogs or cats) per apartment. Pet rent, deposits and breed restrictions apply. The following breed restrictions include dogs that are known to be aggressive towards strangers and / or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted. Restricted Pet Breeds are the following: * American Pit Bull Terrier, American Bulldog, Doberman Pincher, Rottweiler, German Shepherd, Tosa Inu, Staffordshire Terrier (American or Bull), Bull Terrior, Mastiff, Bullmastiff, Presa Canario, Cane Corso, Siberian Husky, Malamute, Wolf-Dog Hybrid, Great Dane, St. Bernard, Akita, Chow-Chow.",50,50,"Surface Lot
1 space.","* Pool
* Playground",* Range,,"* High Speed Internet Access
* Heating
* Smoke Free
* Cable Ready
* Trash Compactor",,12 months,"* Maintenance on site
* Concierge","* Built in 1963
* 406 Units/3 Stories",,* Grill,,"Whatever you're looking for in an DC metro apartment, it's here and ready to go. A home that's got style, comfort and plenty of room. A community where families can enjoy their time together. And location in touch with city and countryside. At the Pennbrooke Station Apartments, you'll have all that - and more. Plus, you'll be surprised by just how affordable these remarkable homes are. Don't let this opportunity for high-quality apartment living pass you by. Make the move to Pennbrooke Station"
