Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Sky 8310 Garland Ave](https://www.apartments.com/sky-8310-garland-ave-takoma-park-md/z5q8f7z/),844-440-0642,"[8310 Garland Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8310+Garland+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",650 Sq Ft,"$817 - 1,475","* Cat Rent: $25
* Dog Rent: $25
* Water, Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Fee: $250
* Cat Deposit: $25
* Dog Fee: $250
* Dog Deposit: $30","Dogs Allowed
* $30 Deposit
* $25 Monthly Pet Rent
* $250 Fee
* 35 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Assigned Parking. Parking Available",* Walking/Biking Trails,"* Kitchen
* Oven
* Range
* Refrigerator
* Freezer",,"* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower
* Handrails","* Hardwood Floors
* Dining Room
* Walk-In Closets",12 months,"* Laundry Facilities
* Property Manager on Site
* Recycling","* Built in 1950
* 115 Units/2 Stories",* Storage Space,,,"About Us * Sky Properties manages 6-unit garden-style apartment buildings 10 minutes outside of Washington, DC and just minutes from the Beltway in the sought-after Montgomery County suburb of Takoma Park/Silver Spring. Many of the buildings are located near Wayne and Flower Avenues, while others overlook Sligo Creek Park. Most apartment buildings are within walking distance to the Silver Spring Metro Station. * Convenient Location * There is no need for a car when you live at Sky Properties. The J-4 Metro bus stops close to our buildings and provides direct access to Bethesda and College Park, while the Silver Spring and Takoma Park Metro Red Line stations are only 10-15 minutes away on Montgomery County's Ride-On bus service. Washington, DC's Union Station is just under 30 minutes away. * The University of Maryland campus in College Park is only 10 minutes away on their shuttle, which stops nearby. We are also close to Columbia Union College, Walter Reed Army Medical Center, the Food and Drug Administration (FDA), the National Security Agency (NSA), NASA's Goddard Space Flight Center, the National Oceanic and Atmospheric Administration (NOAA), Discovery Communications, and the American Film Institute (AFI). Minutes away are two of the area's premier music and performance venues, Strathmore Hall in Rockville, MD and Clarisse Smith Center, on the Campus of the University of Maryland. * Great Neighborhood * The Long Branch neighborhood is friendly, active, and bursting with amenities. Sky Properties residents can walk to restaurants, shops, banks, a dry cleaner, a movie theatre, 2 supermarkets, and more in a nearby shopping center, while the Silver Spring/Takoma Park Food Coop, Whole Foods, and Trader Joe's are a short drive away. * Sligo Creek Park is a short walk away, where you can enjoy playgrounds, picnic areas, tennis courts, a golf course, and a 10.2 mile long paved trail for hiking and biking. The nearby Long Branch Community Center offers a pool, fitness center, and year round activities, and the Pyramid Atlantic Art Center offers numerous educational programs. You can walk to Rolling Terrace Elementary School and the neighborhood branch of the Montgomery County Public Library. Class Act Arts holds events and workshops that are open to the public and a Saturday Morning Children's Series at the Robert E. Parilla Performing Arts Center at Montgomery College. * Beautiful Apartments * Sky Properties offers light and airy studio, 1, 2, and 3 bedroom a"
[Montgomery Gardens](https://www.apartments.com/montgomery-gardens-takoma-park-md/m86yb0h/),844-596-0291,"[7517-7521 Blair Rd, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7517-7521+Blair+Rd,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",675 Sq Ft,"$1,432 - 1,634",* Cat Rent: $20,"* Application Fee: $25
* Dog Deposit: $250","Dogs Allowed:
Breed and Weight Restrictions 
* $250 Deposit
* 40 lb Weight Limit
* Pet Interview Required",50,50,"Surface Lot
1 space.","* Fitness Center
* Free Weights
* Playground
* Basketball Court
* Tennis Court
* Walking/Biking Trails","* Dishwasher
* Disposal
* Oven
* Range
* Refrigerator","* 15 minute walk to the Takoma Park Metro!
* Accepts Dogs and Cats
* Fitness Center
* Free Parking
* New Tenant Parties","* Wi-Fi
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Alarm","* Hardwood Floors
* Walk-In Closets
* Window Coverings",12 months,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Video Patrol
* 24 Hour Availability","* Built in 1967
* 80 Units/4 Stories",,"* Grill
* Picnic Area",,"A beautiful garden community only four blocks from Takoma Park Metro, this apartment features handsome hardwood floors, ceiling fans, and a huge walk-in closet with built in shelving and dresser drawers. Enjoy the fresh air and a beverage on the spacious balcony after a brisk work-out in the on-site fitness center. The remodeled kitchen is complete with dishwasher, disposal, a filtered drinking water system, and there's plenty of free off-street parking. Montgomery College and Jessup Blair Park, located adjacent to the property, provide great recreational facilities."
[Takoma Landing](https://www.apartments.com/takoma-landing-takoma-park-md/htnfs10/),844-448-6321,"[790 Fairview Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/790+Fairview+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",744 Sq Ft,"$1,189 - 1,539","* Cat Rent: $20
* Water: Included","* Application Fee: $35
* Cat Deposit: $200","Cats Allowed
* $200 Deposit
* $20 Monthly Pet Rent
* 2 Pet Limit
* Must Be Spayed/Neutered",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Disposal
* Kitchen
* Range",* Controlled Door Access,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Views
* Walk-In Closets
* Window Coverings",,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* Courtesy Patrol
* Renters Insurance Program
* Online Services","* Built in 1963
* 222 Units/6 Stories","* Elevator
* Business Center","* Sundeck
* Picnic Area",,"YOU DESERVE THE FINER THINGS IN LIFE! Takoma Landing offers well designed, flexible floorplans with large closets and quality construction in one and two bedroom apartments, and two bedroom townhouses. Our community is conveniently located in the heart of Takoma Park, MD. See our brand-new renovated units with washer/dryers!"
[Belford Towers](https://www.apartments.com/belford-towers-takoma-park-md/0yxx9b1/),844-891-6092,"[6733 New Hampshire Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6733+New+Hampshire+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",620 Sq Ft,"$1,209 - 1,616","* Gas, Heat, Trash Removal: Included",* Application Fee: $40,No Pets Allowed,50,50,"Surface Lot
1 space. Parking by Permit Only","* Pool
* Playground","* Disposal
* Kitchen
* Range
* Refrigerator",* 1/4 bath,"* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Walk-In Closets
* Window Coverings",12 months,"* Laundry Facilities
* Controlled Access
* Day Care
* Maintenance on site
* Property Manager on Site
* Laundry Service","* Built in 1969
* 468 Units/13 Stories",* Elevator,,,"Choose from our varied style of spacious 1, 2 and 3 bedroom apartments of increasing size and accommodation. Our apartments boast wall-to-wall carpeting, central air, abundant closet space- including a walk in closet, garbage disposal, patio, elevator access, and vertical blinds. Our community boasts intercom access and on site security. You can live at Belford Towers with ease knowing our caring and knowledgeable maintenance staff is available 24 hours a day- 7 days a week, for your emergency needs!"
[8314 Roanoke Ave](https://www.apartments.com/8314-roanoke-ave-takoma-park-md/77s34cy/),301-755-9675,"[8314 Roanoke Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8314+Roanoke+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",,"$1,500",,,Dogs and Cats Allowed,50,50,Street,,,,* Smoke Free,,12 Months,* Laundry Facilities,,,,![Primary Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/6S-CylNdSRnN7qzfjDWMi1xNYUyslovHushM7mbHxVo/110/8314-roanoke-ave-takoma-park-md-primary-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/Uw323Zibc3Re0Q6uknFkiE_GL9mMzDdTtID4E1zPR2M/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/9YjjPE64TWUfV4ijxvFV3XZHPetuEIgwPNA50JUwYHg/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/TxLkYnYJBRpx0I2QesXxWiPLP8TbEw1AovMnJCXJFRE/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/iA6Lv3LpablykdIcOBNlhP00ee0s3ldxXg8E_xGywFI/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/KrLyCYsWMs_nIGUuWurI8ke-14hOqY7ff3XfmAmu3zE/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/_jDQWY3MuY43m2lx1IFn02MhGw5762ub9fJsW7FZlGM/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8314 Roanoke Ave](https://images1.apartments.com/i2/F_pjekrk6F099ETmQnG4LVvKR2UnSiaDyr8qFEOfLxw/118/8314-roanoke-ave-takoma-park-md-building-photo.jpg) ,"Brand new renovated apartment. new stove, refrigerator, dishwasher. Beautiful new granite countertop and cabinet. New carpet thought out of the apartment and new ceramic tile in the kitchen floor. New bathroom. even brand new central air condition. Convenient coin laundry in the basement. 5 minutes to beltway. and 5 minutes to downtown Silver Spring."
[8206 Roanoke Ave](https://www.apartments.com/8206-roanoke-ave-takoma-park-md/q9p058x/),240-342-4946,"[8206 Roanoke Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8206+Roanoke+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",,"$1,116",,,No Pets Allowed,50,50,Other,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 8206 Roanoke Ave](https://images1.apartments.com/i2/TdKQL-7DVy_cARMVW_dCt2IWjqbxdYyMv1qNYOqPbfU/110/8206-roanoke-ave-takoma-park-md-primary-photo.jpg) ![Building Photo - 8206 Roanoke Ave](https://images1.apartments.com/i2/HAq65an5pmw7xgPzFNepfrV6ZOYyK0lERGXwrAhtbUk/118/8206-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8206 Roanoke Ave](https://images1.apartments.com/i2/DM6-HGBXmyT3z0JEbDUUu2dTH6xbDBXYOQb5USpC94w/118/8206-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8206 Roanoke Ave](https://images1.apartments.com/i2/tast9KpOqT1v_3-q90hS9IyZQ9X1WRC73UO8DMIqEw4/118/8206-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8206 Roanoke Ave](https://images1.apartments.com/i2/ODGDCAzeB4Oc22TlfEMh5OJdKiZjiavvU-4eVEVrJsU/118/8206-roanoke-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 8206 Roanoke Ave](https://images1.apartments.com/i2/L2HqZRYtWStU_uC5ywAA1Lj_NA5cjyPmQjrtvSLgKoY/118/8206-roanoke-ave-takoma-park-md-building-photo.jpg) ,"2 Bedroom
1 Bathroom
all utilities included
Laundry Facilities
Street Parking
Radiator Heat. (Management Controlled)
A/C fee required depending on the BTU of A/C.
Tenant must purchase their own A/C .
A $50 fee will be charge for the installation of each air-conditioning unit. This one-time fee will include both the installation and removal of each air-conditioning unit. If your unit was initially installed by the window company as part of a window replacement project, there will be no charge for its removal by our company.
Note: The application usually takes 2 to 3 working days to process depending upon the accuracy of the information provided on the application and how quickly employers, current landlords and previous landlords respond to our inquiry. You will be notified if your application was accepted or declined. all adults 18 years and older must complete an application the application fee is $35.00 dollars (per applicant). Your application fee is not refundable under any circumstances. The applications are processed by our processing center. Once the application has been reviewed by the processing center, the application is referred to a SLPM property manager to inform the applicant(s) of the results. Application processors do not communicate directly with applicants and only make tenant selections based on the merit of the application and supporting documentation. Sorry pets are not allowed. Most rental agreements have a minimum 12 month term. You may request a longer lease subject to written approval of the property owner."
[7700 Blair Rd](https://www.apartments.com/7700-blair-rd-takoma-park-md/e55tj3p/),240-297-3638,"[7700 Blair Rd, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7700+Blair+Rd,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",600 Sq Ft,"$1,095",,,No Pets Allowed,50,50,Street,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 7700 Blair Rd](https://images1.apartments.com/i2/CeLjQOZT3b0HbSX9bPpObpEJ4GfYx0qnt2lUk5gWzYU/110/7700-blair-rd-takoma-park-md-primary-photo.jpg) ![Building Photo - 7700 Blair Rd](https://images1.apartments.com/i2/anV2BQNo0cJQSOAbrhM8ix_HD40jOP0q6ZdUW7esXeY/118/7700-blair-rd-takoma-park-md-building-photo.jpg) ![Building Photo - 7700 Blair Rd](https://images1.apartments.com/i2/MRx3Kw_wzBYCazhfVAcTQfRJuy4pVUdaz0L_1_mmzIs/118/7700-blair-rd-takoma-park-md-building-photo.jpg) ![Building Photo - 7700 Blair Rd](https://images1.apartments.com/i2/b7qq4l0P5K8lfr8eYbDJjxm2NYQWKOOHdwhKU8XApvg/118/7700-blair-rd-takoma-park-md-building-photo.jpg) ![Building Photo - 7700 Blair Rd](https://images1.apartments.com/i2/Y27WrCUzphv4n4dmMm9iG02GbaJQLbxeREB5PZzoA9I/118/7700-blair-rd-takoma-park-md-building-photo.jpg) ,"1 Bedroom
1 Bathroom
all utilities included
Laundry Facilities
Street Parking
Radiator Heat. (Management Controlled)
A/C fee required depending on the BTU of A/C.
Tenant must purchase their own A/C .
A $50 fee will be charge for the installation of each air-conditioning unit. This one-time fee will include both the installation and removal of each air-conditioning unit. If your unit was initially installed by the window company as part of a window replacement project, there will be no charge for its removal by our company.
Note: The application usually takes 2 to 3 working days to process depending upon the accuracy of the information provided on the application and how quickly employers, current landlords and previous landlords respond to our inquiry. You will be notified if your application was accepted or declined. all adults 18 years and older must complete an application the application fee is $35.00 dollars (per applicant). Your application fee is not refundable under any circumstances. The applications are processed by our processing center. Once the application has been reviewed by the processing center, the application is referred to a SLPM property manager to inform the applicant(s) of the results. Application processors do not communicate directly with applicants and only make tenant selections based on the merit of the application and supporting documentation. Sorry pets are not allowed. Most rental agreements have a minimum 12 month term. You may request a longer lease subject to written approval of the property owner."
[835 Fairview Ave Unit 4](https://www.apartments.com/835-fairview-ave-takoma-park-md-unit-4/b8h54g9/),,"[835 Fairview Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/835+Fairview+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",,"$1,000",,,,50,50,Other,,* Refrigerator,,,,,,,,,![Primary Photo - 835 Fairview Ave](https://images1.apartments.com/i2/JDk_WDAoft8__ahfigBRvPQzlHqR8sU0mmmO_Cf-saY/117/835-fairview-ave-unit-4-takoma-park-md-primary-photo.jpg) ,Freshly painted one bedroom apartment conveniently located just off New Hampshire Ave. See documents for tenant qualifications.
[1513 Elson St](https://www.apartments.com/1513-elson-st-takoma-park-md/7mmqhzw/),,"[1513 Elson St, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1513+Elson+St,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",,"$3,100",,,,50,50,Surface Lot,,"* Dishwasher
* Disposal
* Ice Maker
* Eat-in Kitchen
* Microwave
* Oven
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Fireplace","* Dining Room
* Basement
* Attic",,,* Lot Size: 0.15 AC,,,![Primary Photo - 1513 Elson St](https://images1.apartments.com/i2/WUBxnfjlGkldbhalfwzGr8JujdT4mwHY14YESS0gsB8/117/1513-elson-st-takoma-park-md-primary-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/00y-bhqUYMHQBRmCyjYyP70dAwSxhAg8pBNtLhgHBg4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/v7huFzj9DfplHDaL2hp1DuoF3qF-F8ELbj9kfFjmXxo/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/Fm6AhWOIXvSQgk3kMshlllx3wVFHoNrmnCfE_X5s5VU/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/krPHFZQkZyvqlca5s4Vu5MoSTvQJKtZMGv5oooiWpM8/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/VYRIoncnJurHQ9pdLIWzUYQg9uM-ux52hgdzX1yc9XQ/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/LsEVEFr1RnJYqXdo3nd6D_0SObmrZ4y9yFb_eGBmXVU/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/rLX0BJ4w035_0qx836Y3iUXasBGOVRrx3RdXmmuAH58/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/uYSKbIA64oONu33zl2BfW81dJSWy8RYnAskMbQrumbU/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/KXZ-ykf52Gb7gHjBTHeAPkEH6YNXOpKpvmLAzr5539E/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/QSaZz9okvacER2pmo4al3Yc4QhjqiW3aJhJ3lNnrB38/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/AgzJ3mGdFMilZU2TQBtaPQHGmkTnrV-NS_U_Y2TKEMg/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/QnJYyDxgjlPMoX0ukJf7TKrwJ4qhTKByVrniE-8vrD8/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/C7EQrwG5W0SGGgQ2-P_ocR7vvalIxOQOxqOlkRTh4Tk/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/HzHjWimaX4ae-H9feeyyjK2i-tbZ3MdiyRDmGdIVdP4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/3K6tSxSPGbjDohI8oNQ9TkGDedNjj2tRiqh7u8xT7C0/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/lNVVafyybJ2Ogd8uKPvIFLfOTRiSf_YLmy6Nn1ERFX8/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/h9IJ-4s81yxZYEFfVGSyL10cC2F_MsRkbyO0FqR3ljE/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/Zw72sioaiqabqr3XoFVkrK3GFT6_CXljGdq_ZOybZdE/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/FZi2ISheKl7RkagnpouqkfiHSL5WNf4FW9Aq31apXBM/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/T8RoCtH5-tugfxXL5dzsdZpEyem1uZsOT8CgGAUi7nY/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/UjPIdFbRZHfQFo0uV_vvmlm3wrQAVoUGiowGH2x51V4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/5tRA-j9SaXIg6hciAChrwjkIIWvg1S0XNO0LjRJ4QwI/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/AM6_Lrx2F-V1-KkJquJXOaCU7kkdYKxW4cor9_6R_LE/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/d9kapTryp7w7Wqay-Q-GQH_Jq3uUQRkP_p9TmuY124w/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/DgFlOJEC8lPRbGCYqPFKHAa-19YYT_TFgJ5uPVDAgog/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/B2633J8JAjUP6yoAOHaYBQI8YU0vQ20YnO074q4HCv4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/n16Nu7icel1F5N5jXwBZqjTGutkvz8MBwtGCwBxKCWg/117/1513-elson-st-takoma-park-md-building-photo.jpg) ![Building Photo - 1513 Elson St](https://images1.apartments.com/i2/4MZMIquZXMvslQlxC_ZfQPoTfDv2f7_K2GPF0NkGwA4/117/1513-elson-st-takoma-park-md-building-photo.jpg) ,Great location! 4miles to DC shopping bus stop . Commute is a breeze. This 4 bedroom 3 bath 3level detached home is move in ready . New bathroom installed on main level with all wall tile surround and ceramic tile flooring . Brazilian cherry wood flooring on main level bedroom stainless steel appliances with new double sided refrigerator just installed.Hardwood flooring all through the house.
[7902 Garland Ave](https://www.apartments.com/7902-garland-ave-takoma-park-md/25pevqc/),,"[7902 Garland Ave, Takoma Park, MD 20912](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/7902+Garland+Ave,+Takoma+Park,+MD+20912/data=!4m2!4m1!3e2)",,"$1,050",,,,50,50,,,"* Oven
* Refrigerator",,,,,,,,,![Primary Photo - 7902 Garland Ave](https://images1.apartments.com/i2/l88oYbwCWBhS8OqixayemPp2wgkIfGAzEeR_jUicS-k/117/7902-garland-ave-takoma-park-md-primary-photo.jpg) ![Building Photo - 7902 Garland Ave](https://images1.apartments.com/i2/X5T7IV6mhOgnMYAEdrRElEhUA7LRGTPRsmZNxHlMYdg/117/7902-garland-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 7902 Garland Ave](https://images1.apartments.com/i2/rRQzt0kgEbJCh30Elv7kGcM5KN_V4ehjCEFHu7LCr2M/117/7902-garland-ave-takoma-park-md-building-photo.jpg) ![Building Photo - 7902 Garland Ave](https://images1.apartments.com/i2/PvgxTIQx6tuB17ZaobgExjhnFBqbO0Qy3jM-dCHVG_M/117/7902-garland-ave-takoma-park-md-building-photo.jpg) ,PLEASE NOTE - UNIT IS A STUDIO NOT A ONE BEDROOM - MRIS WOULD NOT LET THE BR BE ZERO Just renovated studio apt. in quiet beautiful neighborhood. HDWD flrs Walking distance to Washington Adventist Hospital. Running/walking trails nearby. Apt. is part of a 4 bldg. Second level unit avail.(unit3) Pets on case by case basis
