Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Princeton Estates Apartments](https://www.apartments.com/princeton-estates-apartments-temple-hills-md/cf68xgg/),240-696-4383,"[4637 Dallas Pl, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4637+Dallas+Pl,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",840 Sq Ft,"$1,139 - 1,284","* Water, Sewer: Included",* Application Fee: $50,"Dogs and Cats Allowed:
Pet restrictions apply. 
* 50 lb Weight Limit",50,50,"Surface Lot
Parking Available",* Playground,"* Dishwasher
* Disposal
* Kitchen
* Range","* Alarm System Available
* Breakfast Bar
* Cable Ready
* Central Air Conditioning
* Close To Shopping and Dining
* Convenient To Downtown DC and National Harbor
* Dens Available
* Dishwasher
* Easy Access To 295 and I-495
* Minutes To Rivertown Shopping Center
* Near Bolling Air Force Base
* Newly Renovated Kitchen & Bath*
* Patio Or Balcony
* Some have alarm system
* Spacious Floor Plans
* Vertical and Mini Blinds
* Wall-To-Wall Carpeting
* Washer and Dryer","* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Cable Ready","* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",None,* Maintenance on site,"* Built in 1962
* 474 Units/3 Stories",,,,"Princeton Estates, an apartment rental community in Temple Hills, Maryland, has one, two and three bedroom apartments. Our affordable for rent apartments feature a variety of floor plans with washer and dryers. Our apartments are conveniently located within minutes of the National Harbor, shopping, I-495, and I-295. Contact us today to learn more!"
[Henson Creek Apartment Homes](https://www.apartments.com/henson-creek-apartment-homes-temple-hills-md/rhd9s43/),240-766-8575,"[3466 Brinkley Rd, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3466+Brinkley+Rd,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",679 - 919 Sq Ft,"$1,035 - 2,210","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Breed Restrictions Apply. Breed Restrictions Apply. 
* $35 Monthly Pet Rent
* $300 Fee
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Playground
* Gameroom
* Media Center/Movie Theatre","* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen
* Microwave
* Refrigerator","* 24 Hour Emergency Maintenance
* Air Conditioner
* Brand NEW Renovated Apartments Available
* Breakfast Bar
* Cable Ready
* Ceiling Fan
* Coffee Bar
* Courtyard
* Dishwasher
* Disposal
* Dog Park
* Extra Storage Available*
* Extra Storage*
* Free Weights
* Granite Countertops*
* Hardwood Floors
* Individual Air Conditioning
* Kids Corner Coming Soon
* Maple Cabinets*
* New Dog Park
* New Fitness Center
* NEW Outdoor Fitness Stations
* New Resident Lounge
* Outdoor Fitness Stations
* Private Balcony/Patio
* Refrigerator
* Spacious Closet
* Two Tone Designer Paint*
* Wall to Wall Carpeting
* Washer & Dryer in Home*
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Ceiling Fans
* Cable Ready","* Carpet
* Walk-In Closets
* Linen Closet
* Window Coverings","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* 24 Hour Availability
* Planned Social Activities","* Built in 1965
* 450 Units/3 Stories","* Business Center
* Clubhouse
* Coffee Bar",* Courtyard,,"**Apply Today for FREE Rent & Application Fee! $500 off 2 & 3 Bedrooms only. Exclusions apply.** You will find a convenient and rewarding lifestyle at Henson Creek Apartment Homes. Located near DC and Northern Virginia, this relaxing community reflects a tradition of tasteful living and creates an atmosphere of serenity enhanced by lush landscaping and dramatic architecture. Henson Creek Apartment Homes offer a variety of spacious floor plans that will become your distinctive retreat. Relax at home, entertain your guests or take advantage of the quality amenities that are designed to enhance your living experience."
[Top of the Hill](https://www.apartments.com/top-of-the-hill-temple-hills-md/x7re58m/),571-290-7089,"[3200 Curtis Dr, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3200+Curtis+Dr,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",680 - 715 Sq Ft,"$868 - 1,198","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
We have ample unreserved spaces on our surface lots. There is also some public street parking nearby on Curtis Drive. RESIDENTS parked in our lots must display a current community-issued permit at all times. VISITORS may park anywhere on-site from 7:00AM - 11:00 PM, after which they must park in our marked visitor spaces located throughout, or use off-site public parking (local laws apply).","* Fitness Center
* Pool","* Disposal
* Kitchen
* Range",,"* High Speed Internet Access
* Air Conditioning
* Cable Ready
* Satellite TV","* Hardwood Floors
* Carpet",12 months (6 months avail. - call for details),"* Laundry Facilities
* Recycling
* Laundry Service","* Built in 1968
* 440 Units/9 Stories",* Elevator,* Balcony,,"Top of the Hill in the Hillcrest Heights neighborhood in Temple Hills, MD offers big and bright studio, 1 and 2 bedrooms apartments. We’re at the center of everything you need. Very close to many bus, rail & highway transit options. MetroBus C12 stops here, one block to C14, H11 and H12, and a 10-minute walk to Naylor Rd. MetroRail station (green line). 5 minutes to Suitland Parkway and I-495/I-95. 10 minutes to I-295 and Andrews and Bolling Air Force Base. 15 minutes to DC, the Pentagon, the US Capitol or National Harbor. 5 minutes to Iverson Mall and Marlow Heights Shopping Center, as well as grocery stores and everyday shopping and services. 5 minutes to Hillcrest Heights Recreation Center. Apartment features include a large living area with space for lots of furniture, separate dining area, great storage, large covered balcony or patio, and natural light from large windows (we provide blinds throughout). Gas and electricity is included in your rent – you pay water/sewer. Cats are welcome. Property features include two elevators in each building, large swimming pool with sundeck, trash chute room on each floor, mail delivery and huge central laundry in each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.livetopofthehill.com."
[Chestnut Hill](https://www.apartments.com/chestnut-hill-temple-hills-md/fe9703r/),844-891-4624,"[3907 23rd Pky, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3907+23rd+Pky,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",665 Sq Ft,"$870 - 1,198",* Trash Removal: Included,"* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
Unreserved spaces on our surface lots. Residents parked in our lots must display a current community issued permit at all times. Visitors may park anywhere on our surface lots from 6AM - 10PM, after which they must park in our designated spaces.","* Pool
* Playground
* Basketball Court
* Tennis Court","* Dishwasher
* Disposal
* Kitchen",,"* High Speed Internet Access
* Washer/Dryer Hookup
* Heating
* Ceiling Fans
* Satellite TV",,12 months (6 months avail. - call for details),"* Laundry Facilities
* Maintenance on site
* Laundry Service","* Built in 1963
* 298 Units/3 Stories",,* Sundeck,,"Chestnut Hill in the Hillcrest Heights neighborhood of Temple Hills, MD offers spacious studio, 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Our apartments are close to Washington DC and Alexandria, VA, as well as public transit. The MetroBus C12 stops here and one block to P12, H1 & H2. 5 minutes to Naylor Road or Southern Avenue MetroRail stations (green line). 5 minutes to Suitland Parkway and 10 minutes to I-295 or I-495/I-95. Minutes to Iverson Mall and Marlow Heights Shopping Center. Only 10 minutes to Joint Bases Andrews and Bolling, the Pentagon, U.S. Capitol and National Harbor. We are moments to grocery stores, everyday shopping and services, and parks and recreation including Oxon Hill Stream Valley Park, Hillcrest Heights Recreation Center, and North Barnaby Splash Park. Apartment amenities include a large living space with room for lots of furniture, galley-style kitchen, natural light from large windows (we provide blinds throughout), views of green lawns or trees, and central heat and air conditioning, Utilities are not included in your rent – you pay for gas, electricity, and water/sewer. Cats are welcome. Property features include a relaxing pool with sundeck, two play areas, 21 laundries on-site and mail delivery inside each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.chestnuthillapts.com."
[Gateway Square](https://www.apartments.com/gateway-square-temple-hills-md/8vxcr50/),844-891-2658,"[4855 St. Barnabas Rd, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4855+St.+Barnabas+Rd,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",600 Sq Ft,"$1,048 - 1,498","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
Free, unreserved parking spaces on our surface lots (no garages). Residents must display a current, community-issued permit at all times. Visitors may park anywhere on-site from 6AM - Midnight, after which they must park in designated spaces.","* Pool
* Playground","* Dishwasher
* Eat-in Kitchen
* Kitchen
* Range","* bedroom #1 has a large walk-in closet
* bedroom #1 has two good-sized wall closets
* bedroom #2 has a smaller wall closet
* bedroom #2 has one good sized wall closet
* bedroom #3 has a smaller wall closet
* bedroom #3 has two smaller wall closets
* bedroom has good-sized wall closet
* bedrooms #1 and #2 have good-sized wall closets
* blinds provided--no window coverings to buy
* central heat & air conditioning (not radiators or
* coat/storage closet at entry
* fridge, gas range, dishwasher, disposal & window o
* full bath #1 has vanity & tub/shower combo
* full bath #2 has vanity & shower stall
* full bath has vanity & tub/shower combo (not just
* fully carpeted
* hall has big coat/storage & linen closets
* hall has linen and coat/storage closets
* large kitchen open to living/dining areas has huge
* laundry is a few steps away in the next building
* laundry is in this building
* massive walk-in storage closet between bedrooms #1
* nice-sized private den w/closet & window
* private bedroom doesn't open directly into the liv
* private bedrooms don't open directly into the livi
* rent includes gas & electricity
* roomy living area w/space for lots of furniture
* separate dining area w/ceiling fan
* spacious covered balcony
* spacious covered patio
* you pay only water/sewer","* High Speed Internet Access
* Heating
* Ceiling Fans
* Cable Ready
* Satellite TV",* Carpet,12 months (6 months avail. - call for details),"* Package Service
* Laundry Facilities
* Property Manager on Site
* Recycling
* Laundry Service","* Built in 1965
* 297 Units/3 Stories",* Breakfast/Coffee Concierge,"* Grill
* Picnic Area",,"Gateway Square on St. Barnabas Road in Temple Hills, MD offers spacious 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Public transit is at your doorstep – MetroBus D12 stops here to Suitland and Southern Avenue MetroRail stations. 5 minutes to Suitland Parkway, I-295 and the Woodrow Wilson Bridge. 5-10 minutes to Rivertowne Commons, Marlow Heights Shopping Center and 100’s of other stores, restaurants and services. 10 minutes to Suitland Federal Center, Joint Base Andrews & Bolling, the National Harbor, and Tanger Outlets. 5-10 minutes to Hillcrest Heights Community Center, North Barnaby Splash Park, Henson Creek Trail, Oxon Hill Farm, and Tucker Road Ice Rink & Community Center. Apartment amenities include a spacious living area with room for lots of storage, a relaxing covered balcony or patio, large kitchen with huge breakfast bar, windows throughout (we provide blinds), and central heat and air conditioning. Gas and electricity are included in your rent – you pay water/sewer. Cats are welcome. Property features include a relaxing swimming pool with sundeck, play area, basketball court, recycling areas, laundry in most buildings, mail delivery in each building, on-site management and 24-hour emergency maintenance. For more information and availability, visit www.gatewaysquare.net."
[Iverson Towers & Anton House](https://www.apartments.com/iverson-towers-anton-house-temple-hills-md/ksqsqj8/),844-891-5710,"[4301 23rd Pky, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4301+23rd+Pky,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",640 - 660 Sq Ft,"$948 - 1,546","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
Ample, free unreserved spaces. Anton House has public street parking very close. Residents parked in our lots must display a community-issued permit at all times. Visitor parking available - ask for details.",* Pool,* Kitchen,,"* High Speed Internet Access
* Heating
* Satellite TV",* Views,12 months (6 months avail. - call for details),"* Laundry Facilities
* Laundry Service","* Built in 1967
* 333 Units/11 Stories",,,,"Iverson Towers and Anton House located in the Hillcrest Heights neighborhood in Temple Hills, MD offers studio, 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Public transit as at your doorstep – MetroBus H11 and H12 stop at Iverson Towers and just 5 minutes to the Naylor Road MetroRail station (green line). 5-10 minutes to Suitland Parkway, I-495/I-95, I-295, Suitland Federal Center and Census Bureau. 15 minutes to the Pentagon, US Capitol, National Harbor, and Joint Base Bolling & Andrews Air Force Base. And in the neighborhood you’ll find great schools, grocery stores, shopping, parks and recreation. Apartment features include a large living area with room for lots of furniture, separate dining area, patio and balcony available in some apartments, wonderful natural light from large windows (we provide blinds throughout), and central heat & air conditioning. Gas and electricity are included in your rent – you pay water/sewer. Cats are welcome. Property features include a relaxing pool with sundeck at Iverson Towers for residents of both communities, welcoming lobbies, telephone entry system, big central laundry and mail delivery in each building, on-site management and 24-hour emergency maintenance. For more information and availability, visit www.iversontowers-antonhouse.com."
[Marlow Plaza](https://www.apartments.com/marlow-plaza-temple-hills-md/hrpmem0/),240-342-4416,"[2900 St Clair Dr, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2900+St+Clair+Dr,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",630 Sq Ft,"$1,020 - 1,301","* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $44
* Dog Deposit: $250","Dogs Allowed
* $250 Deposit
* $35 Monthly Pet Rent
* 25 lb Weight Limit",50,50,"Surface Lot
1 space. Parking Available",* Pool,"* Disposal
* Range
* Refrigerator",,"* High Speed Internet Access
* Heating
* Smoke Free",,12 months,* Maintenance on site,"* Built in 1960
* 256 Units/4 Stories",,* Balcony,,"If youre talking about apartments in Temple Hills, MD, the conversation has to begin with Marlow Plaza Apartments. Where else are you going to have your choice of garden-style or high-rise pet-friendly apartment homes, in spacious one-, two- or three-bedroom floor plans. Wait, it gets even better! Select one of our well-designed, strikingly renovated residences and enjoy the modern style and contemporary comfort of an updated kitchen and bath. At this point, youre probably thinking that if you were living in such an apartment youd never want to leave, and youd be right except for the time youll want to spend walking to abundant shopping, dining and entertainment, hopping on the Metro into downtown DC or taking the Beltway anywhere you want to go. Heres an idea: instead of just talking about these distinctive apartments in Temple Hills, come tour one today!"
[Marlow Heights](https://www.apartments.com/marlow-heights-temple-hills-md/wp9twcl/),844-818-2900,"[4223 28th Ave, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4223+28th+Ave,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",551 Sq Ft,"$1,045 - 1,339","* Water, Trash Removal, Sewer: Included","* Application Fee: $44
* Dog Fee: $350","Dogs Allowed:
No aggressive breeds. 
* $350 Fee
* 25 lb Weight Limit",50,50,"Surface Lot
1 space.",* Pool,"* Disposal
* Range
* Refrigerator",,"* Heating
* Smoke Free",,12 months,* Maintenance on site,"* Built in 1960
* 172 Units/3 Stories",,* Balcony,,"It seems like youve been having this dream forever. Youre living in this incredible apartment in Temple Hills, MD. The one-, two- and three-bedroom apartments were all spacious, but you immediately fell in love with the two-bedroom. Youre relaxing in the living room with your dinner guests, basking in their compliments on the gourmet meal you just prepared in the modern kitchen of your newly renovated apartment. The conversation turns to the latest shopping and dining experiences and how wonderful it is that theyre all just minutes away, followed by a friendly debate over which of the neighborhoods two Metro stations is more convenient. Finally, plans are made to meet at the pool tomorrow and they depart. Thats when you wake up and realize it wasnt a dream at all. Its your life, today and every day, at Marlow Heights Apartments in Temple Hills, MD."
[South Pointe](https://www.apartments.com/south-pointe-temple-hills-md/krjkpqc/),844-834-0067,"[2603 Southern Ave, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2603+Southern+Ave,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",592 Sq Ft,"$1,000 - 1,320","* Gas, Electricity: Included",* Application Fee: $44,No Pets Allowed,50,50,"Surface Lot
Parking Available",,"* Range
* Refrigerator","* Air Conditioner
* Modern Kitchen Appliances","* Air Conditioning
* Heating
* Ceiling Fans",,12 months,* Maintenance on site,"* Built in 1949
* Renovated in Jan 2004
* 390 Units/4 Stories",,,,"At South Pointe Apartments, youll find comfort in your spacious apartment home and its park-like setting. Live at South Pointe Apartments and a world of convenience is just beyond your doorstep. Groceries are just five minutes away and the Beltway is closer than that. Shopping, dining, entertainment whatever youre up for, is right around the corner at Iverson Mall, Tanger Outlets and the ultimate destination of all: National Harbor. On the military side, Joint Bases Andrews and Anacostia-Bolling are an easy commute. And, thanks to the Southern Avenue and Naylor Road Metro stations being within walking distance, so is downtown DC. For comfort, convenience and that feeling that says youre home, these are the apartments in Temple Hills, MD for you."
[Brinkley Hill](https://www.apartments.com/brinkley-hill-fort-washington-md/19gv107/),585-563-9747,"[6021 Thunder Hill Ct, Fort Washington, MD 20744](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/6021+Thunder+Hill+Ct,+Fort+Washington,+MD+20744/data=!4m2!4m1!3e2)",,"$1,596 - 1,750","* Cat Rent: $20
* Dog Rent: $20
* Water, Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed
* $20 Monthly Pet Rent
* $300 Fee
* 35 lb Weight Limit
* 1 Pet Limit",50,50,Surface Lot and Garage,"* Fitness Center
* Playground","* Dishwasher
* Disposal","* Community Room with Kitchenette
* Computer Nook
* Electric Stove
* Smart Car Center","* Washer/Dryer Hookup
* Ceiling Fans
* Smoke Free",* Carpet,12 Months,"* Laundry Facilities
* Controlled Access
* Property Manager on Site
* Energy Star Certified","* Built in 2017
* 64 Units/2 Stories",* Business Center,"* Balcony
* Patio",,"Live your best life in the ideal location! Brinkley Hill is a brand new, family townhome community located in Prince George's County. Enjoy all of the space you need at an affordable rent with our open floor plan two and three bedroom townhomes, equipped with private entrances and garages. Brinkley Hill offers residents an array of amenities at home and the location offers residents easy access to neighborhood services, including National Harbor, Washington D.C. and I-495."
