Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Halstead Square - Lofts & Lotus](https://www.apartments.com/halstead-square-lofts-lotus-vienna-va/vlcdvyd/),888-531-0052,"[2750 Gallows Rd, Vienna, VA 22180](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2750+Gallows+Rd,+Vienna,+VA+22180/data=!4m2!4m1!3e2)",596 Sq Ft,"$1,587 - 3,155","* Unassigned Covered Parking: $65
* Unassigned Garage Parking: $65 - 100
* Cat Rent: $40
* Dog Rent: $50","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed:
All common areas are pet free. 
* $50 Monthly Pet Rent
* $500 Fee
* 85 lb Weight Limit
* 2 Pet Limit",50,50,"Covered: $65
1 space. Residents first parking spot is $65 a month. Any additional parking spots will be at $100 a month.","* Fitness Center
* Fitness Programs
* Free Weights
* Pool
* Bike Storage
* Basketball Court
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Microwave
* Range
* Refrigerator","* Bocci Ball
* Buddha Theater
* Cosmic Bowling Lounge
* Energy Lounge
* Fire Pit
* Grills
* Halstead Club & Game Room
* Individual Climate Control
* Large Closets
* Pets & Pedals
* Punching Bag
* Quartz Counter Tops
* Yoga Room/Stretch Room","* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Smoke Free
* Cable Ready
* Double Vanities
* Surround Sound
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Walk-In Closets",,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Concierge
* Furnished Units Available
* On-Site ATM
* Dry Cleaning Service
* Energy Star Certified
* Guest Apartment
* Pet Care
* Car Charging Station","* Built in 2012
* 478 Units/6 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Conference Room","* Sundeck
* Courtyard
* Grill
* Picnic Area",,"Right off the Dunn Loring Orange Line Metro in Vienna, Virginia, there's a place that has it all. Halstead Square is a vibrant, pedestrian-friendly neighborhood complete with shops, restaurants, and four distinct, luxury apartment buildings. Ample amenities and apartment homes with uniquely crafted finishes are the perfect place to call home. It?s all that, and then some. THE LOTUS Its unmatched amenities and sophisticated features will take you to distant places. Make your home your getaway. Assume your position at The Lotus. THE LOFTS Raised ceilings. Stylish, high-end spaces. Features and amenities that are notches above the rest. Discover The Lofts. It?s apartment living on a whole other level."
[Modera Avenir Place](https://www.apartments.com/modera-avenir-place-vienna-va/84mfby0/),888-796-2750,"[2677 Avenir Pl, Vienna, VA 22180](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2677+Avenir+Pl,+Vienna,+VA+22180/data=!4m2!4m1!3e2)",681 Sq Ft,"$1,587 - 3,625","* Unassigned Garage Parking: $75 - 100
* Cat Rent: $50
* Dog Rent: $50
* Gas: Included","* Amenity Fee: $400
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs Allowed:
We love pets! Well, at least up to two per apartment home. If you read the fine print, we do reserve rights to approve of all pets prior to move-in and we definitely do not take aggressive breeds.. And, to help keep all of our pets healthy, we require current vaccination records prior to move in. Additional small print: Weight limit combined is 80 lbs. $400 one time non-refundable pet fee for first pet. $200 non-refundable pet fee for second pet. $50 per month pet rent per pet. Aquariums ... Cat and Dog 
* $50 Monthly Pet Rent
* $400 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $75 - 100
Combination ground level and underground parking garage.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage
* Walking/Biking Trails
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Abundant storage
* Billiards and game consoles
* Brushed nickel light fixtures
* Central heat & air
* Ceramic tile in bath
* Complete online leasing
* Dishwasher
* Disposal
* Garage parking
* Gourmet-inspired kitchens
* grilling stations
* Huge closets
* Individual washer & dryer
* Lush outdoor social area
* Microwave
* Online rent payment
* Online service requests
* Plush carpeting in bedrooms
* Stainless steel appliances
* Studio, 1- and 2-bedroom apartment homes
* swimming pools with sundecks
* Warm-toned, wood-style flooring
* White quartz countertops
* Wired for high-speed Internet
* Wireless access in all social zones","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Trash Compactor
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Family Room
* Den
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings","6, 7, 8, 9, 10, 11, 12, 13, 14","* Laundry Facilities
* Controlled Access
* Property Manager on Site
* Concierge
* Video Patrol
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Car Charging Station","* Built in 2013
* 628 Units/5 Stories","* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Disposal Chutes
* Coffee Bar
* Two Story Lobby","* Courtyard
* Zen Garden",,The following specials are available to prospective residents who lease any market rent apartments within 48 hours of the first tour.CURRENT SPECIALS! *as of 9/23/2017Lease within 48 hours of first tour and receive:* Half-off amenity fee* Waived security deposit with approval* 6 months free parking on the 1st vehicle.
[The Reserve at Tysons Corner](https://www.apartments.com/the-reserve-at-tysons-corner-vienna-va/h91ycw0/),866-930-1848,"[8060 Crianza Pl, Vienna, VA 22182](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8060+Crianza+Pl,+Vienna,+VA+22182/data=!4m2!4m1!3e2)",733 - 749 Sq Ft,"$1,690 - 3,385","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs Allowed:
Breed, age and floor restrictions apply. Pets must be at least 6 months old. Breed restrictions apply and include but are not limited to: Pit Bull, American Staffordshire Terrier, Chow, Staffordshire Bull Terrier, Rottweiler, Doberman and German Shepard or any dog mixed with these breeds. 
* $35 Monthly Pet Rent
* $500 Fee
* 35 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Sauna
* Spa
* Pool
* Playground
* Basketball Court",* Refrigerator,"* 1 Mile to Galleria & Tysons Corner Ctr
* Air Conditioner
* Chef-Inspired Kitchens w/Granite Counters
* Contemporary Sconce, Pendant & Track Lighting
* Crown Molding in Kitchen & Living Room
* Dishwasher
* Disposal
* Easy Access to Route 7 & I-495
* Electronic Thermostat
* Expansive Kitchen Islands Available
* Extra Storage
* Free Dunn Loring Metro Shuttle
* Free Starbucks Coffee & Morning Snacks
* Free Weights
* Garden Courtyards
* Gas Cook-Top Range
* Glass Enclosed Shower
* Imported Stone Ceramic Tile Bath
* Large Closets
* Microwave
* Network Ready Smart Panels
* Outdoor Grilling Stations
* Package Receiving w/Notifications
* Patios & Balconies Available
* Private Screening Room w/Blu-Ray & HDTV
* Refrigerator w/Programmable Ice Maker
* Spa Baths with Deep Soaking Tubs
* Spanish Speaking Staff
* Stainless Steel GE Profile appliances
* Washer/Dryer
* Wide-Planked Hardwood Flooring","* High Speed Internet Access
* Smoke Free",,None,"* Maintenance on site
* Concierge","* Built in 2008
* 478 Units/5 Stories","* Elevator
* Business Center
* Clubhouse","* Gated
* Sundeck",,"Indulge in a stylish residence featuring designer interiors, spa inspired baths, unsurpassed amenities, and a world class location - only minutes to shopping, 20 minutes to DC, and a free shuttle to the Dunn Loring metro."
[Lerner Arrowood Parc](https://www.apartments.com/lerner-arrowood-parc-vienna-va/yvbeser/),571-748-5605,"[2526 Chain Bridge Rd, Vienna, VA 22181](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2526+Chain+Bridge+Rd,+Vienna,+VA+22181/data=!4m2!4m1!3e2)",868 Sq Ft,"$1,475 - 1,759","* Cat Rent: $50
* Dog Rent: $50
* Gas: Included","* Admin Fee: $250
* Application Fee: $50
* Cat Fee: $350
* Cat Deposit: $350
* Dog Fee: $350
* Dog Deposit: $350","Dogs Allowed:
Breed Restrictions Apply. Up to 2 pets per home. No aggressive breeds and/or exotic pets. $350 non-refundable fee per pet, $50 monthly pet rent per pet. * *Service Animals are not subject to any pet fees or pet rent. Maximum 2 pets per apartment home. 
* $350 Deposit
* $50 Monthly Pet Rent
* $350 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Pool
* Playground
* Basketball Court
* Tennis Court","* Dishwasher
* Granite Countertops
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* Washer/Dryer
* Heating","* Dining Room
* Walk-In Closets
* Furnished",12 months,* Bilingual,"* Built in 1966
* 300 Units/3 Stories
* Furnished",* Breakfast/Coffee Concierge,,,"Arrowood Parc features modern apartment homes with various floor plans to choose from, plus we are set apart from the rest in features and amenities in many ways! Conveniently located in Historic Vienna off of Chain Bridge Road and just minutes from the Vienna Metro Station, Route 50, I-66 and the Capital Beltway. Close to unlimited options for dining, entertainment and shopping in Tysons Corner, Fairfax Corner, Fair Oaks, downtown Fairfax and the surrounding Washington, D.C. area. Nearby are George Mason University and the Oak Marr Recreational Center and Golf Course. We have some of the largest eat-in kitchens in the area and we include gas utilities for cooking and heat in the rent! Walk to nearby shopping centers with Whole Foods and Giant or bike the W&OD Trail. Not only do we allow pets, but our pet fees are among the lowest around. Love to live, love Arrowood Parc!"
[Vienna Park](https://www.apartments.com/vienna-park-vienna-va/7rz4vtx/),844-284-5104,"[212 Cedar Ln SE, Vienna, VA 22180](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/212+Cedar+Ln+SE,+Vienna,+VA+22180/data=!4m2!4m1!3e2)","900 - 1,000 Sq Ft","$1,355 - 1,999","* Cat Rent: $35
* Dog Rent: $35
* Gas, Water, Heat, Trash Removal, Sewer: Included",* Application Fee: $30,"Dogs Allowed:
No agressive breeds. Dogs 
* $35 Monthly Pet Rent
* 35 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground",,"* Balcony
* Furnishings Available
* Metro Orange Line
* Patio Or Terrace
* Spacious Apartments
* Walk-In Closets
* Wall-To-Wall Carpeting",* High Speed Internet Access,,12,* Laundry Facilities,"* Built in 1963
* 299 Units/3 Stories",* Business Center,* Gated,,"Vienna Park offers one of Northern Virginia's most desirable addresses. Convenient to great shopping at Tysons Corner, major employment centers, and I-66 and the Beltway, enjoy living in this community of spacious apartment homes."
[eaves Tysons Corner](https://www.apartments.com/eaves-tysons-corner-vienna-va/b37s2w8/),855-832-2378,"[1723 Gosnell Rd, Vienna, VA 22182](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1723+Gosnell+Rd,+Vienna,+VA+22182/data=!4m2!4m1!3e2)",810 Sq Ft,"$1,645 - 2,305","* Assigned Surface Lot Parking: $35
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $300
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,"Surface Lot: $35
1 space; Assigned Parking.","* Pool
* Tennis Court","* Dishwasher
* Disposal
* Granite Countertops
* Eat-in Kitchen
* Microwave
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)",,Flexible,"* Package Service
* Planned Social Activities","* Built in 1978
* 217 Units/3 Stories",,"* Courtyard
* Grill
* Picnic Area",,"Without a doubt, life is easy at eaves Tysons Corner. Our premier location is just minutes to the upscale shopping and dining at Tysons Galleria as well as National and Dulles Airports and the Dulles Toll Road, providing easy access to DC and Reston. Come home to luxuriously spacious Tysons Corner apartments with open floor plans with formal dining rooms, step-down living rooms, sunny kitchens and roomy closets. What’s more, our lush landscaping and mature trees provide the ultimate refuge from a hectic world. Great Vienna Virginia apartments, great service and the amenities you deserve. All at a location that’s exactly right, exactly where you want to be."
[Avalon Dunn Loring](https://www.apartments.com/avalon-dunn-loring-vienna-va/qpd39rz/),844-404-6965,"[2750 Gallows Rd, Vienna, VA 22180](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2750+Gallows+Rd,+Vienna,+VA+22180/data=!4m2!4m1!3e2)",680 - 798 Sq Ft,"$1,584 - 2,305",,,,50,50,,"* Fitness Programs
* Pool","* Granite Countertops
* Stainless Steel Appliances",,* Washer/Dryer,* Walk-In Closets,,,* 440 Units,* Business Center,,,
[Merrifield at Dunn Loring Station](https://www.apartments.com/merrifield-at-dunn-loring-station-vienna-va/t29l029/),877-409-9794,"[8130 Prescott Dr, Vienna, VA 22180](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8130+Prescott+Dr,+Vienna,+VA+22180/data=!4m2!4m1!3e2)",809 Sq Ft,"$1,279 - 2,500","* Storage Fee: $55
* Cat Rent: $25
* Dog Rent: $25","* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
Two pet maximum. We allow a maximum of 2 pets up to 100 lbs. 
* $25 Monthly Pet Rent
* $400 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground
* Basketball Court
* Tennis Court
* Volleyball Court","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Range",,"* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",6-12 months,"* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Guest Apartment","* Built in 1968
* 706 Units/3 Stories","* Clubhouse
* Storage Space","* Sundeck
* Courtyard
* Picnic Area",,"Merrifield at Dunn Loring Station offers ideal town and country living. It is one of the Washington area's most comfortable and ""most liveable"" communities. Transportation is quick and easy via the beltway or, just a block away, is the Dunn Loring Metro Station with easy access to Washington, D.C. and surrounding cities, schools, places of worship, movies and entertainment and shopping centers. At Merrifield at Dunn Loring Station, we provide a clubhouse with a complete kitchen for resident activities, and private parties. We boast an exercise center, nine children's playparks,two outdoor swimming pools and a wading pool, tennis, basketball, and volleyball courts, and an inviting barbecue area, as well. All this, located in an expanse of beautifully landscaped, lush and greenery and trees. If you want a true sense of community-not just a complex-and a welcoming home-not just another apartment-then Merrifield at Dunn Loring Station is for you."
[2765 Centerboro Dr Unit 368](https://www.apartments.com/2765-centerboro-dr-vienna-va-unit-368/myk3jwh/),832-916-4169,"[2765 Centerboro Dr, Vienna, VA 22181](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2765+Centerboro+Dr,+Vienna,+VA+22181/data=!4m2!4m1!3e2)",741 Sq Ft,"$1,600",,,,50,50,Garage,,,,"* Washer/Dryer
* Wheelchair Accessible (Rooms)",,12 Months,,,,,![Primary Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/d9JAvCj7CTUl8kgKRPIDvnucqKD2ei0MiqYSHYjEOB0/110/2765-centerboro-dr-unit-368-vienna-va-primary-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/0wIJ0_a1-UjNtJIS6oAI_AUNnDhEPg4TUWEMLpuXj9E/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/Z4xHOAzMnJ5zY5reRUzPV6RLcQsufNFc2z3zo1cMpmE/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/FXwgfsRUdtOJJvgUL-mZDIVe2HdcHEfyabpZUyB830M/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/MlINzBLT6qCubPcmEjQczkxg8fUa9Ire9lUl2HDQ5Wo/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/PWZtE1YrTalSWNLLDIS1GlGOm4X-FFUflKWxvQ9aoj8/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/aPbySi3fL4EedQltk5h7y4d5NffsZZYfKxkM2H-sgMA/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/CwZYHzhlqzyK1f72UzlPmT_28Fwkw3huf_f7O4u4eLQ/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/hPtOZs-ryOWAgtxcd6MnQa8lpwGHVp6_Odp-CU3RkEs/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/MtjodfvEWeOHM-oMbRcHhgayD4Qx_xXaMECWFBJ4h-4/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ![Building Photo - 2765 Centerboro Dr](https://images1.apartments.com/i2/a-lJcs8mRvqz5vC1mUyamdcfrwoVDIvSF2rh4PB0RkQ/118/2765-centerboro-dr-unit-368-vienna-va-building-photo.jpg) ,"ACROSS FROM VIENNA METRO STATION. WALK TO METRO. MOVE IN READY AVAILABLE ASAP. LIGHT FILLED TOP FLOOR CONDO WITH VAULTED CEILING.HARDWOOD FLOOR THROUGH OUT. GAS FIREPLACE. EXERCISE ROOM, CLUB ROOM & SWIMMING POOL AT COMMUNITY CENTER. 
The condo is super convenient to the Metro: just cross the crosswalk and you are at the North side of the Vienna Metro.
Fabulous 1 bed/1 bath condo with Hardwood Floors, Granite Counters, built in desk/work space, and Gas Fireplace. Balcony overlooking trees and common area. Home comes with one garage parking spot.
Community amenities: The Marquis at Vienna Station condominium has an outdoor pool open from Memorial Day to Labor Day with lifeguards. The gym in the clubhouse is open 24 hours. The clubhouse also has the business center, community room, and more. The private courtyards have grills that are available for use. There is a shortcut to Nottoway Park through the townhouses neighboring the building."
[2929 Village Spring Ln](https://www.apartments.com/2929-village-spring-ln-vienna-va/48qnysk/),240-242-5959,"[2929 Village Spring Ln, Vienna, VA 22181](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2929+Village+Spring+Ln,+Vienna,+VA+22181/data=!4m2!4m1!3e2)",,"$2,700",,,,50,50,Street,,,,* Washer/Dryer,,9 Month,,,,,![Primary Photo - 2929 Village Spring Ln](https://images1.apartments.com/i2/qCb_33E73kLzdCPFjPykfXRvtrCjfCfGNAaNp9XVxfI/110/2929-village-spring-ln-vienna-va-primary-photo.jpg) ![Building Photo - 2929 Village Spring Ln](https://images1.apartments.com/i2/aDo0APMmgNiR8sh65nVTWo2RvxzEfG--8GIwXvnEX5A/118/2929-village-spring-ln-vienna-va-building-photo.jpg) ![Building Photo - 2929 Village Spring Ln](https://images1.apartments.com/i2/K-BxAr3jfcy31YEgCOyNczwSx2Xwjs2RYOqX35Fp2Ow/118/2929-village-spring-ln-vienna-va-building-photo.jpg) ![Building Photo - 2929 Village Spring Ln](https://images1.apartments.com/i2/Dy_FkCgqHHN4k9Xh_r_urWGP1wcqUc5RZ5LobqHAHmY/118/2929-village-spring-ln-vienna-va-building-photo.jpg) ![Building Photo - 2929 Village Spring Ln](https://images1.apartments.com/i2/oiN1HgwxK0ZywBIoVsuL1Z21bfOz0ZB4VEb6deRDjnM/118/2929-village-spring-ln-vienna-va-building-photo.jpg) ![Building Photo - 2929 Village Spring Ln](https://images1.apartments.com/i2/66FTanLx5hYtaMECs0E1AD-6W4AF5DDjcFAwp7WtDEw/118/2929-village-spring-ln-vienna-va-building-photo.jpg) ,"A beautiful unfurnished townhome with 3 or 4 bedrooms, 3 ½ baths, living room, dining room, kitchen, recreation room (or office or fourth bedroom) with built-in shelving and cabinets, fenced rear yard with patio, two reserved parking spaces, located within 5 minute walk of the Vienna Metro Station (Orange Line) and a 6 miles to Tyson's Corner. Always get a seat on the Metro train at the Vienna Metro Station, the first terminal on the in-bound line. The Pentagon is 28 minutes from the Vienna station and the HQMC and the Navy Yard is 58 minutes. A commuter's delight.
The front door entry at the ground level has a foyer with a coat closet and a half bath, with the hallway leading to the open, two tiered living room and dining room. The foyer, hallway, dining room, living room, and stairways all have hardwood floors. The kitchen has two doorways, one connects to the foyer and the other to the dining room directly. The upgraded kitchen has new quartz counter tops, a large eat-in kitchen table space in front of a double window. Appliances include dishwasher, disposal, new oven and range, range hood, and a refrigerator with a bottom freezer.
The upper floor has 3 bedrooms including a 12' x 17' master bedroom with a ceiling fan, walk in clothes closet, a separate linen closet and a full bathroom with the sink and shower separated from an enclosed toilet; a 10' x 10' bedroom with closet and ceiling fan and an 8' x 11' bedroom with closet and ceiling fan; and another full bathroom in the center hallway.
The fully finished lower level has a full bathroom convenient to the recreation room / office / fourth bedroom which has hardwood floors, built in bookcases and cabinets. The large lower level room has previously been used as a recreation room, an in-home office, an exercise room, and a fourth bedroom. A washing machine and dryer are located in a separate utility room with the heating and air conditioning system and there is an additional enclosed storage closet. 
Two numbered, reserved parking spaces are in front of the townhome. The back yard is enclosed with a wood privacy fence and has a masonry patio bordered with landscaping inside the fence. 
Heat is electric forced hot air and cooling is central air conditioning. A new HVAC system was installed in 2013.
The townhome is in the Mosby Woods Elementary School, Jackson Middle School and Oakton High School areas. Oakton High School is also a short 5 minute walk through the subdivision on paved sidewalks.
Rent is $2,700 monthly plus utilities. Electric (Dominion Power) and water (Fairfax Municipal) are direct from the utility. Refuse and recycling pick up and snow plowing is $25. The landlord pays the Homeowners Association dues.
Available immediately for lease. A security deposit is required of one month rent. Shown by appointment. Photos are online at Craigslist Military by Owner and Zillow. Please e-mail the owner, John Rohrback at RivieraLeasing@aol.com or telephone 703-915-6292. No texts. I will be happy answer any questions and to show the townhome located on Village Spring Lane; Vienna, VA 22181."
