Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Westchester at the Pavilions](https://www.apartments.com/westchester-at-the-pavilions-waldorf-md/2412m5b/),855-289-7710,"[3560 Malvern St, Waldorf, MD 20603](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3560+Malvern+St,+Waldorf,+MD+20603/data=!4m2!4m1!3e2)",794 - 799 Sq Ft,"$1,353 - 3,003","* Cat Rent: $65
* Dog Rent: $65","* Application Fee: $25
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a pet fee of $500 due at the time of application and $65 pet rent per month. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $65 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Garage
1 space. Garage parking available for $100-$200.",* Playground,"* Dishwasher
* Microwave","* 24/7 Access to Fitness
* 24hr. Business center
* 24hr. Emergency maintenance
* Community Room
* Conference/Meeting room
* Controlled building access
* Courtyard
* Fire sprinkler system
* Garages Available
* High-speed internet access
* High-speed internet in area
* Lifeguard on duty
* Media room/theater
* Olympic Size Pool
* Parking structure-not reserved
* Pet Friendly
* Poolside BBQ Grilling Area
* Separate party room
* Smoke-Free Building
* Sports Courts
* Storage Spaces Available
* Yoga Studio(s)
* Breakfast Bar
* Cherry Cabinets
* Crown molding
* Dbl vanity sinks master bath
* Divided sink
* Double vanity sinks
* Entry closet
* Full-size washer/dryer
* Icemaker
* Kitchen island cooktop or sink
* Linen closet
* Linen closet master bath
* Oval tub
* Pantry
* Patio/Balcony
* Retractable hose faucet
* Self-cleaning oven
* Stainless steel appliances
* Window Covering",* High Speed Internet Access,,Variable,* Pet Care,"* Built in 2009
* 491 Units/4 Stories",,,,"You will find everything you need and want at our St. Charles, MD apartment community. Come home to Westchester at the Pavilions with one, two, and three bedroom floor plans, built with your comfort in mind. Our apartment homes feature first-class features sure to complement any lifestyle. Each of our kitchens are equipped with stainless steel appliances. You will enjoy the appeal of 9-foot vaulted ceilings with fans, wood-style flooring, walk-in closets, and built-in nooks in select apartments. Residents of our luxury community like our picnic pavilion, swimming pool, and children pool area. We also have four playgrounds and two tennis courts. Plus, a location near Waldorf, MD that makes commuting easy."
[Abberly Square](https://www.apartments.com/abberly-square-waldorf-md/g2y11yy/),240-270-1340,"[2350 Eden Woods Dr, Waldorf, MD 20601](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2350+Eden+Woods+Dr,+Waldorf,+MD+20601/data=!4m2!4m1!3e2)",715 Sq Ft,"$1,466 - 2,200","* Storage Fee: $50
* Assigned Garage Parking: $150 - 175
* Cat Rent: $20
* Dog Rent: $20
* Trash Removal: Included","* Admin Fee: $25
* Application Fee: $25
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
No breed restrictions. No exotic animals. We have a 3 pet maximum per household with a 2 dog maximum. The pet fee is for household and not per pet. 
* $20 Monthly Pet Rent
* $350 Fee
* 3 Pet Limit",50,50,Surface Lot,"* Fitness Center
* Fitness Programs
* Health Club Facility
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Walking/Biking Trails
* Gameroom
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Award winning customer service
* Bark Park for your four legged friends
* Car charging stations
* Covered Picnic Areas
* Elevator Access in designated buildings
* Invigorating pool with social shelf
* Onsite Management and Maintenance Team
* Outdoor Living Space with FP
* Oversized closets
* Pocket parks located through out
* Private entry, cottage style homes
* Valet Trash
* Verve rental space for social gatherings
* Walking Trail","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Trash Compactor
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room
* Family Room
* Den
* Crown Molding
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows
* Window Coverings",12+ months,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* Furnished Units Available
* Hearing Impaired Accessible
* Vision Impaired Accessible
* Trash Pickup - Door to Door
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Guest Apartment
* Pet Play Area
* Car Charging Station
* Car Wash Area","* Built in 2017
* 288 Units/3 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Coffee Bar
* Conference Room","* Sundeck
* Cabana
* Courtyard
* Grill
* Picnic Area
* Pond",,"BRAND NEW-NOW OPEN! At Abberly Square you will experience exceptional living, squarely within reach. Residents will have an array of options to choose from including one, two, and three bedroom floor plans ranging in size from 715 to nearly 1,500 spacious square feet. With 19 large, unique floor plans, we have a something for all lifestyles. Discover the comfort of spacious floor plans with designer touches such as designer kitchens with gorgeous mocha wood cabinets with granite counter tops, deep, soaking tubs or glass enclosed showers, stunning 9-10' ceilings with triple crown molding and the list goes on and on. Grab a good book and soak up the sun at the invigorating pool with large sundeck and private cabanas. Challenge friends to a competitive game of billiards or foosball in the S Lounge. Go for a stimulating workout in the Adrenaline Cardio & Strength Studio or enjoy a casual afternoon stroll on the winding walking trails. Enjoy the ideal location within minutes of upscale shopping, dining and recreation and the benefit of easy commutes to Washington, DC, Northern Virginia and the Beltway. At Abberly Square, you will love having our customer focused onsite management and maintenance team. Our onsite Leasing Center will be opened 7 days a week to offer quality services year round."
[Center Pointe Apartments](https://www.apartments.com/center-pointe-apartments-waldorf-md/myrp1xk/),844-894-9676,"[2482 Lake Dr, Waldorf, MD 20601](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2482+Lake+Dr,+Waldorf,+MD+20601/data=!4m2!4m1!3e2)",766 Sq Ft,"$1,200 - 1,420","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $32
* Cat Deposit: $350
* Dog Deposit: $350","Dogs Allowed:
Breed restrictions may apply 
* $350 Deposit
* $25 Monthly Pet Rent
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* Built-in microwaves
* Espresso Cabinets w/soft-close drawers
* Granite Countertops
* New Balcony railings
* New Bath Flooring
* New Energy Star windows
* Online Payments Accepted
* Redesigned Baths
* Stainless Steel Appliances
* Undermount Kitchen Sink
* Washer Dryer Connections in Most Apts
* Wood-style Flooring in Living Areas","* High Speed Internet Access
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Vinyl Flooring
* Dining Room
* Den
* Walk-In Closets
* Linen Closet
* Window Coverings",12,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Recycling
* Online Services
* Planned Social Activities","* Built in 1974
* Renovated in Jun 2017
* 144 Units/3 Stories",,* Picnic Area,,"Imagine space, luxury, location and value all in one apartment community! Center Pointe Apartment homes are creatively detailed with attractive features which include fully equipped gourmet kitchens with stainless steel appliances, granite countertops, dishwashers, wood-style floors, new energy star windows, some with washer and dryer connections, and more! Center Pointe is centrally located in Waldorf off US Route 301/Crain Highway just minutes from everything that is Southern Maryland and only 23 miles south-southeast of our Nations’ Capital. Promoted as the “shopping capital of Southern Maryland,” Waldorf offers many restaurants, shops and St. Charles Town Center Mall. Known primarily as a commuter town or exurb, many residents of Waldorf enjoy the peaceful setting and green space offered here, but commute to employment in Washington, DC, Andrews Air Force Base and points further north."
[Adams Crossing Apartments](https://www.apartments.com/adams-crossing-apartments-waldorf-md/j5ldjs4/),240-754-2188,"[12330 Vivian Adams Dr, Waldorf, MD 20601](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12330+Vivian+Adams+Dr,+Waldorf,+MD+20601/data=!4m2!4m1!3e2)",,"$1,351 - 1,565","* Cat Rent: $30
* Dog Rent: $30
* Water, Trash Removal, Sewer: Included","* Application Fee: $32
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed:
$300 Non-Refundable Pet Deposit; $30/month Pet Rent; Max two pets per apartments. Pets accepted up to 70lbs. Please contact us for breed restrictions. 
* $300 Deposit
* $30 Monthly Pet Rent
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Residents enjoy free parking.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Ice Maker
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Sprinkler System","* Hardwood Floors
* Carpet
* Dining Room
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Package Service
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability","* Built in 2014
* 264 Units/3 Stories","* Business Center
* Clubhouse
* Lounge","* Sundeck
* Grill
* Picnic Area",,"Welcome to Adams Crossing Apartments! Brand new affordable apartment living in Charles County. Located in Waldorf, Maryland minutes away from many area conveniences. The area's entertainment choices include Thomas Stone High School Outdoor Public Pool, St Charles Parkway Skate Park, White Plains Regional Park, Mattawoman Recreation Center. Enjoy several summer camps, youth sports programs, Indian Head Bike/Walking Trail, White Plains Dog Park and the Waldorf West Library. We are close to great shopping at nearby St. Charles Center Mall and Waldorf Market Place. Both the local elementary and middle schools are very close by. Dining choices for the area include a variety of choices ranging from casual to gourmet. Adams Crossing Apartments are just off Route 5/Leonardtown Road, minutes to Route 301 Crain Highway, and within convenient commuting distance to DC and Northern VA. Access to the Park & Ride Shuttle is just minutes away, providing easy commuting options into DC. Our 192-unit apartment community provides spacious two and three bedroom residences that have been designed with finishes that are both modern and comfortable. Designed to fit the way you live, Adams Crossing Apartments provides its residents affordable luxury. Each apartment features great room designs with wall to wall carpet, large kitchen islands, granite countertops with a double sink, private balcony/patio, full sized washers and dryers, and spacious bedrooms with true walk-in closets. Community amenities include a resort-style pool with fountains, a fully equipped fitness center, grilling area with picnic tables, 24-hr internet Café, and 24-hr emergency maintenance. Visit out Facebook: https://www.facebook.com/pages/Adams-Crossing-Apartments/715099328584900"
[Sheffield Greens Apartments](https://www.apartments.com/sheffield-greens-apartments-saint-charles-md/jnqzsh6/),844-390-5460,"[4658 Sheffield Cir, Saint Charles, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4658+Sheffield+Cir,+Saint+Charles,+MD+20602/data=!4m2!4m1!3e2)","1,001 Sq Ft","$1,391 - 2,271","* Cat Rent: $30
* Dog Rent: $30
* Reptile Rent: $30
* Trash Removal, Sewer: Included","* Application Fee: $40
* Other: $87
* Cat Deposit: $300
* Dog Deposit: $300
* Reptile Deposit: $300","Dogs Allowed:
breed restrictions may apply 
* $300 Deposit
* $30 Monthly Pet Rent
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court
* Gameroom",* Microwave,,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Alarm
* Fireplace
* Wheelchair Accessible (Rooms)","* Vaulted Ceiling
* Views
* Walk-In Closets",,* Property Manager on Site,"* Built in 2006
* 252 Units/3 Stories",* Clubhouse,* Balcony,,
[The Nines at Gleneagles](https://www.apartments.com/the-nines-at-gleneagles-waldorf-md/32hk5fd/),844-744-1409,"[4872 Lichfield Pl, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4872+Lichfield+Pl,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",860 Sq Ft,"$1,359 - 2,018","* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Application Fee: $40
* Other: $100
* Cat Deposit: $300
* Dog Deposit: $300","Dogs and Cats Allowed
* $300 Deposit
* $30 Monthly Pet Rent",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court
* Walking/Biking Trails
* Gameroom","* Eat-in Kitchen
* Kitchen
* Microwave",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Smoke Free
* Storage Units
* Wheelchair Accessible (Rooms)","* Tile Floors
* Dining Room
* Recreation Room
* Crown Molding
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Linen Closet",,"* Property Manager on Site
* 24 Hour Availability","* Built in 2012
* 120 Units/3 Stories","* Clubhouse
* Breakfast/Coffee Concierge","* Balcony
* Patio",,
[The Townes At Holly Station](https://www.apartments.com/the-townes-at-holly-station-waldorf-md/5gxpfgn/),844-664-3246,"[3001 Hollins Ln, Waldorf, MD 20601](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3001+Hollins+Ln,+Waldorf,+MD+20601/data=!4m2!4m1!3e2)",,"$1,400 - 1,875","* Cat Rent: $25
* Dog Rent: $25
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
No Pit Bulls, Dobermans or Rottweilers 
* $25 Monthly Pet Rent
* $250 Fee",50,50,"Surface Lot
1 space; Assigned Parking. Parking Available","* Fitness Center
* Pool
* Playground","* Dishwasher
* Disposal
* Island Kitchen
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Warming Drawer","* Award Winning Customer Features
* BBQ/Picnic Area
* Energy Efficient Utilities
* Kitchens With Breakfast Bar
* Large Closets & Storage
* Outdoor Green Spaces And Courtyard
* Patio/Balcony
* Pet Friendly
* Private Front & Rear Entrance
* Solid Wood Cabinetry
* Views Of Beautiful Green Space
* Washer & Dryer In Home
* Wood Flooring Available","* High Speed Internet Access
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Dining Room
* Family Room
* Bay Window
* Views
* Linen Closet
* Accent Walls",None,"* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* 24 Hour Availability
* Trash Pickup - Curbside
* Renters Insurance Program
* Online Services
* Planned Social Activities","* Built in 1986
* 510 Units/2 Stories",* Clubhouse,"* Grill
* Picnic Area",,"Welcome to The Townes at Holly Station's premier residences where modern comfort and style come standard. Our townhomes truly offer the balance of space and serenity as each residence is thoughtfully designed to meet your needs, while situated in a setting with beautiful views of the outdoors giving you room to enjoy your everyday delights in Waldorf, MD. The Townes at Holly Station offers two and three bedroom townhomes that feature exclusive community and household amenities like a sparkling swimming pool, 24-hour fitness center, clubhouse, valet waste service, and BBQ area. Come wiggle your toes in our picturesque pool, tone up in the state of the art fitness center, or stroll through our pet-friendly community with your favorite furry companion. We know you deserve the very best in apartment living, and our community is designed specifically to ensure you don't just lease, you live. View your new home. Go take a look at our photo gallery and schedule your appointment, or drop by"
[The Links at Gleneagles](https://www.apartments.com/the-links-at-gleneagles-waldorf-md/054d0k0/),240-766-8595,"[4817 Elmley Pl, Waldorf, MD 20603](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4817+Elmley+Pl,+Waldorf,+MD+20603/data=!4m2!4m1!3e2)",758 Sq Ft,"$1,335 - 2,900",* Trash Removal: Included,* Application Fee: $40,"Dogs and Cats Allowed
Breed restrictions, deposit and monthly pet rent apply per pet. 
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Pool
* Playground",,"* 9' Ceilings
* Adjacent to White Plains Park
* Air Conditioner
* BBQ/Picnic Area
* Built-in Microwaves
* Cable Ready
* Carpeting
* Ceiling Fan
* Crown Molding and Oversized Baseboard Trim
* Dishwasher
* Disposal
* Dog Park
* Electronic Thermostat
* Elegant Ceramic Tile Bathrooms
* Energy Star Appliances
* Espresso Cabinets with Brushed Nickel Hardware
* Free Weights
* Granite Countertops
* Membership to the Gleneagles Community Center
* Private Patios and Balconies Available
* Social Lounge with Coffee Bar
* Washer/Dryer
* Wheelchair Access
* Window Coverings",* High Speed Internet Access,,None,"* Maintenance on site
* 24 Hour Availability","* Built in 2015
* 213 Units/3 Stories",* Clubhouse,* Sundeck,,"The Links at Gleneagles is your link to better living. These brand new one, two and three bedroom apartments offer every modern convenience you would expect to find in a home, plus many more luxuries to enhance your lifestyle. Adjacent to White Plains Regional Park, you're just steps from an 18-hole golf course, tennis courts and the most extensive series of hiking and biking trails in Charles County. A complimentary membership to the Community Center, which boasts a resort-style swimming pool, tennis courts and clubhouse, lets you to take advantage of even more recreational fun. And that's just the beginning. From designer kitchens to a location only minutes from the area's best shopping, dining and entertainment, The Links at Gleneagles is a place you'll want to call home."
[Wakefield Terrace](https://www.apartments.com/wakefield-terrace-saint-charles-md/g198qkw/),844-605-0314,"[2000 Amber Leaf Pl, Saint Charles, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2000+Amber+Leaf+Pl,+Saint+Charles,+MD+20602/data=!4m2!4m1!3e2)",722 Sq Ft,"$1,067 - 2,063","* Cat Rent: $30
* Water, Trash Removal: Included","* Application Fee: $40
* Cat Deposit: $300","Cats Allowed
* $300 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground
* Tennis Court
* Walking/Biking Trails","* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)","* Carpet
* Views
* Walk-In Closets",,* Laundry Facilities,"* Built in 1979
* 204 Units/4 Stories",,,,
[Gleneagles](https://www.apartments.com/gleneagles-waldorf-md/81y3y73/),844-245-2260,"[11604 Lewisham Pl, Waldorf, MD 20602](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11604+Lewisham+Pl,+Waldorf,+MD+20602/data=!4m2!4m1!3e2)",905 Sq Ft,"$1,362 - 2,471","* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Application Fee: $40
* Other: $100
* Cat Deposit: $350
* Dog Deposit: $350","Dogs Allowed:
Breed restrictions 
* $350 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Tennis Court",,,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)",* Walk-In Closets,,,"* Built in 2010
* 184 Units/3 Stories","* Clubhouse
* Breakfast/Coffee Concierge",,,
