Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Dock 79](https://www.apartments.com/dock-79-washington-dc/sxls9w6/),844-445-7383,"[79 Potomac Ave SE, Washington, DC 20003](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/79+Potomac+Ave+SE,+Washington,+DC+20003/data=!4m2!4m1!3e2)",588 Sq Ft,"$2,165 - 4,335","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Cat Deposit: $500
* Dog Fee: $500
* Dog Deposit: $500","Dogs Allowed:
Pets welcome. Pet fee and monthly pet rent required per pet. Maximum of two pets per apartment. Breed restrictions apply. No weight limit. 
* $500 Deposit
* $50 Monthly Pet Rent
* $500 Fee
* 200 lb Weight Limit
* 2 Pet Limit",50,50,,"* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Washer/Dryer
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Den
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings","13 months, 18 months","* Community-Wide WiFi
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* Planned Social Activities
* Pet Play Area","* Built in 2016
* 305 Units/9 Stories","* Business Center
* Clubhouse
* Lounge
* Disposal Chutes","* Rooftop Lounge
* Courtyard
* Grill",,"Washington, DC is a dynamic urban landscape with a vibrant and growing community of people just like you who choose to work here, play here, and craft their lifestyle from the streets of the nation's capital. Dock 79 is positioned in just the right corner of a stunning neighborhood, allowing you to take advantage of everything the city has to offer. We also have the best waterfront views in town! * Dock79 is the pinnacle of true city living. A myriad of dining choices are at your fingertips with everything from light fare, family-style fun, and nighttime adventures for you to choose from. The endless options are a treat in themselves. * Life in our corner of DC is changing at an amazing rate. Join us at Dock79 and become a part of the movement to make this city even greater. With sophisticated residential spaces and an expansion plan that will blow your mind, theres no stopping the Docks."
[South Cathedral Mansions](https://www.apartments.com/south-cathedral-mansions-washington-dc/1zhm5p5/),844-575-9148,"[2900 Connecticut NW, Washington, DC 20008](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2900+Connecticut+NW,+Washington,+DC+20008/data=!4m2!4m1!3e2)",588 Sq Ft,"$1,999 - 6,085","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $300
* Application Fee: $100
* Cat Fee: $250
* Cat Deposit: $250
* Dog Fee: $250
* Dog Deposit: $250","Dogs Allowed:
Breed restrictions apply. 
* $250 Deposit
* $50 Monthly Pet Rent
* $250 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,,"* Fitness Center
* Cardio Machines
* Weight Machines
* Sauna
* Pool","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Island Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* All-new Renovations!
* Carriage House Clubhouse by the pool
* Fenced in Bark Park
* His and Hers Massage Rooms
* Historic building
* Keyless Entries
* Package Concierge and Pressbox
* Silestone Countertops
* Walking Distance to Woodley Park Metro","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Tile Floors
* Crown Molding
* Vaulted Ceiling
* Walk-In Closets
* Loft Layout
* Window Coverings",12 months,"* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* 24 Hour Availability
* Dry Cleaning Service
* Laundry Service
* Online Services
* Planned Social Activities
* Pet Play Area","* Built in 1922
* Renovated in Jun 2017
* 165 Units/5 Stories","* Clubhouse
* Coffee Bar","* Courtyard
* Picnic Area",,"South Cathedral Mansions is nestled at the northwest corner of Cathedral and Connecticut Avenues in the heart of Woodley Park, just steps away from the Woodley Park-Zoo/Adams Morgan Metro station and three blocks from the Cleveland Park metro station. Weve preserved 20th century architectural details and added in features that complement the inherent beauty of South Cathedral Mansions. Glide across restored antique hardwood flooring in your apartment home and roll open a landmark-approved high-efficiency casement window to let in the breeze. Stroll into your state-of-the-art kitchen and fire up the gourmet gas cook-tops. Revel in the luxury of today, while soaking up the history of yesterday."
[The Berkshire](https://www.apartments.com/the-berkshire-washington-dc/7vsyfxy/),844-892-1229,"[4201 Massachusetts Ave NW, Washington, DC 20016](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4201+Massachusetts+Ave+NW,+Washington,+DC+20016/data=!4m2!4m1!3e2)",600 Sq Ft,"$1,350 - 3,000","* Cat Rent: $25
* Dog Rent: $25
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Admin Fee: $400
* Application Fee: $75
* Cat Deposit: $500
* Dog Deposit: $500",Pets Negotiable,50,50,"Surface Lot
1 space.",* Fitness Center,"* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range",,"* Air Conditioning
* Heating
* Cable Ready
* Storage Units",,"3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months","* Package Service
* Concierge","* Built in 1950
* 766 Units/11 Stories",* Storage Space,* Gated,,"The Berkshire embodies the timeless art of living well. Located in a charming neighborhood pocket of NW DC, we are about a mile from Tenleytown-AU Metro and back to Glover-Archbold Park. The Berkshire enables you to live an amenity-rich life; offering balance, accessibility and something quite rare in DC: FREE outdoor parking. Welcome home."
[Hecht Warehouse](https://www.apartments.com/hecht-warehouse-washington-dc/kzd5lfc/),844-713-4127,"[1401 New York Ave NE, Washington, DC 20002](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1401+New+York+Ave+NE,+Washington,+DC+20002/data=!4m2!4m1!3e2)",549 Sq Ft,"$1,684 - 4,779","* Unassigned Garage Parking: $125 - 150
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $75
* Cat Fee: $750
* Cat Deposit: $500
* Dog Fee: $750
* Dog Deposit: $500","Dogs and Cats Allowed:
Pet fees and restrictions may apply. See leasing agent for details. No weight restrictions. 
* $500 Deposit
* $50 Monthly Pet Rent
* $750 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $125 - 150
1 space. Additional fees may apply.","* Fitness Center
* Health Club Facility
* Cardio Machines
* Weight Machines
* Bike Storage
* Gameroom
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* ""Away from Home"" Services
* 24-Hour concierge
* 3 finishes for cabinets
* Active courtyard w/ orig. architecture
* Authentic warehouse details
* Backsplash tiles in kitchen
* Balconies and patios available*
* Chic lobby w/ original art installations
* Communal Work Stations
* Cyber Loft business center
* Dog run and pet wash areas
* Epic skyline views & interior courtyard
* Extensive activities
* Fitness center for strength and cardio
* Full demonstration kitchen for hosting
* Full-size washers / dryers in all lofts
* Iconic glass block and oversized windows
* Mobile scheduling services
* One free membership to Planet Fitness
* Online and mobile rent payment
* Penthouse units premium finishes
* Refurbished exposed brick*
* Refurbished exposed concrete flooring
* Resident bike storage
* Resident portal and mobile app
* Speakeasy clubroom with billiards and TV
* Stainless steel Energy Saver appliances
* Streamlined modern architecture
* Subway tiled bathrooms with soaking tubs
* Up to 12' ceilings for true loft style
* Wet bar with kegerator for resident use
* WiFi in common areas","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Fireplace
* Intercom
* Framed Mirrors
* Wheelchair Accessible (Rooms)","* Vaulted Ceiling
* Views
* Walk-In Closets
* Window Coverings","3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months, 16 months, 17 months, 18 months","* Community-Wide WiFi
* Controlled Access
* Property Manager on Site
* Security System
* Shuttle to Train
* On-Site Retail
* Online Services
* Planned Social Activities
* Pet Play Area
* Pet Washing Station
* Parking Security","* Built in 2015
* 335 Units/7 Stories","* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Breakfast/Coffee Concierge
* Coffee Bar
* Conference Room
* Two Story Lobby","* Rooftop Lounge
* Courtyard",,"There's nothing in DC like Hecht Warehouse's loft style apartments. Polished concrete floors meet subway-tiled bathrooms. Stylish kitchens with stainless steel appliances compliment exposed brick and glass block walls. Open spaces beckon for small gatherings. These are homes with a palpable sense of history thoughtfully redesigned for modern comfort. * While the building may be vintage, its amenities are anything but. The Hecht Warehouse is built for people unwilling to sit around and collect dust. It's built for the social, the active, the makers and the doers. This is a home where there are no strangersonly friends you haven't met yet. * Welcome to Hecht Warehouse and the new Ivy City, where you can dine in, go out, shop around, and sleep in the next day."
[Brookland Press](https://www.apartments.com/brookland-press-washington-dc/n360gnn/),844-719-3730,"[806 Channing Place NE, Washington, DC 20018](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/806+Channing+Place+NE,+Washington,+DC+20018/data=!4m2!4m1!3e2)",614 Sq Ft,"$1,800 - 3,185",* Cat Rent: $50,"* Application Fee: $50
* Other: $250
* Dog Fee: $50","Dogs Allowed:
Breed restrictions apply. No weight limit. 
* $50 Fee
* 200 lb Weight Limit
* 2 Pet Limit",50,50,,"* Fitness Center
* Pool","* Dishwasher
* Disposal
* Kitchen
* Microwave",,"* Washer/Dryer
* Air Conditioning
* Cable Ready",,"12 months, 13 months, 14 months, 15 months, 16 months, 17 months, 18 months",,"* Built in 2017
* 433 Units/6 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge",,,"Brookland Press takes its inspiration from the industrial era printing press, and pays homage to the artisans and craftsmen of Brooklands early days. With two distinct buildings, The Foundry and The Forge, youll have your choice of tastefully designed studio, one, and two bedroom residences with an unparalleled list of amenities for workdays and weekends alike. * THE FOUNDRY * With a new 2-story addition, the original 3 & 4-story industrial warehouse was converted to a 157-unit residential building now called The Foundry. Inspired in part by the existing historic elements from the previous structure, The Foundrys lofted ceilings, concrete columns and floors, and dramatic floor to ceiling windows create a vintage living experience rooted in texture and space unlike any found in the neighborhood. * THE FORGE * In juxtaposition to its sister building, The Forge is a brand new 6-story structure with 139 residences, featuring a wholly modern feel. With engineered wood floors and industrial fixtures and finishes, The Forge brings a modern sensibility to Brookland Press. The buildings exterior speaks to the former industrial uses across the site by incorporating brick with accents of stone and metal panels, while offering a warmer palette of textures and colors throughout."
[450K](https://www.apartments.com/450k-washington-dc/jyrddv6/),866-375-6301,"[450 K St NW, Washington, DC 20001](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/450+K+St+NW,+Washington,+DC+20001/data=!4m2!4m1!3e2)",565 Sq Ft,"$2,015 - 5,020","* Assigned Garage Parking: $200
* Cat Rent: $50
* Dog Rent: $50
* Gas, Trash Removal: Included","* Application Fee: $50
* Cat Fee: $800
* Dog Fee: $800","Dogs Allowed:
Breed restrictions apply. See Marketing Specialist for details. 
* $50 Monthly Pet Rent
* $800 Fee
* 2 Pet Limit",50,50,"Garage: $200
2 spaces; Assigned Parking.","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Microwave
* Range","* Chef Caliber kitchens
* Fully Equipped Fitness Center
* Garage and Bike Storage
* Penthouse lounge with fireplace
* Pet Friendly
* Rooftop Deck with lap pool
* Walk-in closets
* Washed Oak Flooring
* Washington Monument Views
* Well-appointed bathrooms
* Zen Garden","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Handrails","* Walk-In Closets
* Window Coverings","1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months","* Package Service
* Maintenance on site
* 24 Hour Availability","* Built in 2014
* 233 Units/13 Stories
* LEED Certified Silver",* Clubhouse,* Sundeck,,"Thoughtfully designed, beautifully crafted. Welcome to 450K, Mount Vernon Triangle's newest and most unique addition for luxury living. In the heart of one of DC's most vibrant and thriving neighborhoods, our community features unparalleled amenities and incredible monument views from the rooftop, plus so much more. Stop in to see for yourself!"
[Meridian at Mt Vernon Triangle](https://www.apartments.com/meridian-at-mt-vernon-triangle-washington-dc/rxvb5x3/),877-670-4317,"[425 L St NW, Washington, DC 20001](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/425+L+St+NW,+Washington,+DC+20001/data=!4m2!4m1!3e2)",777 Sq Ft,"$1,845 - 4,985","* Unassigned Garage Parking: $250
* Cat Rent: $50
* Dog Rent: $50
* Gas, Trash Removal: Included","* Application Fee: $75
* Move-In Fee: $500
* Cat Deposit: $500
* Dog Deposit: $500","Dogs Allowed:
The following breeds of dogs are not permitted to be kept as pets on the premises, or brought onto same premises to visit at any time: Akitas, Alaskan Malamutes, American Staffordshire Terriers, American Pit bull terriers, Bull Terriers, Chow Chows, Doberman Pinschers, Dogo Argentino, Fila Brasilerios, German Shepherds, Great Danes, Japanese Tosas, Miniature Bull Terriers, Pit Bulls, Presa Canarios, Rottweilers, Siberian Huskies, Staffordshire Bull Terriers, Wolf Hybrids, Wild Dogs or any partial breed dog that has one or more of the previously mentioned breeds in its lineage. 
* $500 Deposit
* $50 Monthly Pet Rent
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $250
1 space. $195/mo for the 1st space $250/mo for the 2nd space and motorcycle parking is $25/month","* Fitness Center
* Fitness Programs
* Cardio Machines
* Weight Machines
* Pool
* Walking/Biking Trails","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Microwave
* Range
* Refrigerator
* Breakfast Nook","* Across from Safeway Grocery Store
* Near Convention Center
* Near Eastern Market
* Walking Distance to Shopping and Dining
* Walking Distance to three Metro Stations","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)","* Dining Room
* Office
* Den
* Sunroom
* Built-In Bookshelves
* Vaulted Ceiling
* Views
* Walk-In Closets
* Linen Closet
* Furnished
* Window Coverings","2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months","* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* 24 Hour Availability
* On-Site Retail
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* Planned Social Activities
* Guest Apartment
* Pet Washing Station
* Car Charging Station","* Built in 2012
* 783 Units/14 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Multi Use Room
* Storage Space
* Disposal Chutes
* Coffee Bar
* Conference Room","* Gated
* Rooftop Lounge
* Sundeck
* Grill",,"The homes of Meridian at Mount Vernon Triangle * put a new slant on apartment design. Expansive * windows and private balconies dissolve the * boundary between inside and out. Crisp * architectural lines intersect across contemporary * finishes like stainless steel, granite and hardwoods, * while open floor plans let you spread out in all * directions. At Meridian at Mount Vernon Triangle, * the flexibility of renting comes an address that corners * the market on style. NOW LEASING! *"
[Meridian at Gallery Place](https://www.apartments.com/meridian-at-gallery-place-washington-dc/l4ymxkd/),844-852-2468,"[450 Massachusetts Ave NW, Washington, DC 20001](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/450+Massachusetts+Ave+NW,+Washington,+DC+20001/data=!4m2!4m1!3e2)",723 Sq Ft,"$1,705 - 4,170","* Unassigned Garage Parking: $195 - 275
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Admin Fee: $400
* Application Fee: $75
* Cat Fee: $500
* Dog Fee: $500
* Dog Deposit: $500","Dogs Allowed:
Cats and Dogs Warmly Welcomed with a $500 pet fee and $50/month pet rent per pet. Renters Insurance is required for dogs. * Maximum of 2 pets per apartment with a maximum combined weight of 80lbs. The following breeds of dogs are not permitted to be kept as pets on the premises, or brought onto same premises to visit at any time: * Akitas, Alaskan Malamutes, American Staffordshire Terriers, American Pit bull terriers, Bull Terriers, Chow Chows, Doberman Pinschers, Dogo Argentino, Fila Brasilerios, German Shepherds, Great Danes, Japanese Tosas, Miniature Bull Terriers, Pit Bulls, Presa Canarios, Rottweilers, Siberian Huskies, Staffordshire Bull Terriers, Wolf Hybrids, Wild Dogs or any partial breed dog that has one or more of the previously mentioned breeds in its lineage. 
* $500 Deposit
* $50 Monthly Pet Rent
* $500 Fee
* 80 lb Weight Limit",50,50,"Garage: $195 - 275
1 space. Tandem parking available. Rates vary speak to a leasing agent for details.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage
* Walking/Biking Trails","* Dishwasher
* Disposal
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Sunroom
* Views
* Walk-In Closets
* Furnished
* Window Coverings","2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months","* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* 24 Hour Availability
* Furnished Units Available
* On-Site ATM
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Planned Social Activities
* Guest Apartment","* Built in 2003
* 462 Units/14 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Breakfast/Coffee Concierge
* Storage Space
* Disposal Chutes
* Coffee Bar
* Conference Room","* Gated
* Rooftop Lounge
* Sundeck
* Grill",,"Today, the real heart of the Nation's Capital is the area surrounding Gallery Place in the city's East End. More Manhattan than typical DC, this neighborhood is home to the Verizon Center, the new DC Convention Center, Chinatown, and hundreds of new restaurants, nightspots, and museums."
[Capitol View on 14th](https://www.apartments.com/capitol-view-on-14th-washington-dc/w9978bk/),888-365-9632,"[2400 14th St NW, Washington, DC 20009](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2400+14th+St+NW,+Washington,+DC+20009/data=!4m2!4m1!3e2)",608 - 612 Sq Ft,"$2,195 - 8,854","* Assigned Garage Parking: $250
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $600
* Application Fee: $80
* Dog Fee: $600","Dogs Allowed:
Acceptable animals include domestic cats, fish (max. tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by Management. 
* $50 Monthly Pet Rent
* $600 Fee
* 2 Pet Limit",50,50,"Garage: $250
Assigned Parking.","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* Bike storage
* Controlled-access building
* Dale Chihuly glass lobby sculpture
* Floor-to-ceiling windows
* Open concept kitchen
* Outdoor grilling area
* Pet friendly
* Platinum LEED building
* Stainless steel appliances
* Track lighting
* Zen garden with waterfall","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Storage Units","* Hardwood Floors
* Walk-In Closets
* Window Coverings",Please contact us for available lease terms.,"* Package Service
* Maintenance on site
* Concierge
* Guest Apartment","* Built in 2012
* 238 Units/10 Stories
* LEED Certified Platinum","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space",* Sundeck,,"Capitol View on 14th offers remarkable amenities, sophisticated finishes, and luxury apartments in Washington DC. From an upscale lobby adorned with an original Chihuly sculpture to the hardwood flooring, quartz counter tops, and delicate glass tile backsplashes, Capitol View’s modern apartments were designed with detail in mind. Take in a panoramic view of the city from the rooftop pool, year-round fireplace, or open air kitchen. Get energized in the gym or relax in the Zen water garden. Located between the U Street Corridor and Columbia Heights, Capitol View on 14th is the Washington DC luxury apartment destination. Visit Capitol View on 14th today for a personalized tour and let our world-class staff help you find your next apartment home."
[Waterside Towers](https://www.apartments.com/waterside-towers-washington-dc/y9zxkws/),844-778-0748,"[907 6th St SW, Washington, DC 20024](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/907+6th+St+SW,+Washington,+DC+20024/data=!4m2!4m1!3e2)",720 Sq Ft,"$1,799 - 3,090","* Cat Rent: $40
* Dog Rent: $50
* Water, Electricity, Trash Removal: Included","* Admin Fee: $500
* Application Fee: $75
* Cat Fee: $300
* Dog Fee: $500","Dogs Allowed:
Acceptable animals include domestic cats, fish (max. tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by Management. 
* $50 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,Covered and Garage,* Pool,"* Dishwasher
* Disposal
* Range
* Refrigerator","* Bike room
* Cable or satellite ready
* Controlled access
* Energy efficient appliances
* Pet friendly
* Self-cleaning oven
* Stainless steel appliances
* Utilities included","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units","* Carpet
* Vaulted Ceiling
* Walk-In Closets
* Window Coverings",Please contact us for available lease terms.,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Controlled Access
* Concierge
* Health Club Discount
* Car Wash Area","* Built in 1971
* 550 Units/10 Stories","* Elevator
* Business Center
* Multi Use Room
* Storage Space",* Balcony,,"Waterside Towers offers convenient on-site amenities, thoughtful details, and versatile floor plans in Washington DC. Our apartment homes feature an oversized balcony and absolutely breathtaking views of the DC area. Select DC apartments feature dual French door entryways and updated finishes. Enjoy our indoor and outdoor swimming pools, professionally managed health club, and premier resident services. Our 24-hour front desk concierge is available to assist residents in any needs or concerns.Our elegant community is nestled right next to the Potomac River's waterfront restaurants; 1block from the Metro Green Line, 3 blocks from L'Enfant Plaza and provides close proximity to the Verizon Center, Crystal City, and Pentagon City Fashion Center. Residents enjoy prestigious schools and access to the I-295. Visit our Washington DC apartments today for a personalized tour and experience better apartment living at Waterside Towers! HOC Vouchers and/or Choice Vouchers accepted."
