Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Exchange At Wheaton Station](https://www.apartments.com/the-exchange-at-wheaton-station-wheaton-md/b6gy8j9/),877-625-2516,"[11215 Georgia Ave, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11215+Georgia+Ave,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",594 Sq Ft,"$1,451 - 2,396","* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Amenity Fee: $250
* Application Fee: $37
* Cat Deposit: $250
* Dog Deposit: $250","Dogs Allowed:
The Exchange is a dog and cat, pet-friendly community. We allow a maximum of 2 pets (dogs or cats) per apartment. Pet fees, deposits and breed restrictions apply. The following breed restrictions include dogs that are known to be aggressive towards strangers and / or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted. Restricted Pet Breeds are the following: American Pit Bull Terrier, American Bulldog, Doberman Pincher, Rottweiler, German Shepherd, Tosa Inu, Staffordshire Terrier (American or Bull), Bull Terrior, Mastiff, Bullmastiff, Presa Canario, Cane Corso, Siberian Husky, Malamute, Wolf-Dog Hybrid, Great Dane, St. Bernard, Akita, Chow-Chow. 
* $250 Deposit
* $35 Monthly Pet Rent
* 2 Pet Limit",50,50,,"* Cardio Machines
* Weight Machines
* Bike Storage
* Gameroom","* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Heating
* Smoke Free
* Cable Ready","* Hardwood Floors
* Walk-In Closets
* Linen Closet",12 months,"* Controlled Access
* Doorman
* Concierge
* On-Site ATM
* On-Site Retail
* Recycling
* Renters Insurance Program
* LEED Rating
* Pet Play Area","* Built in 2013
* 486 Units/17 Stories","* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Coffee Bar","* Gated
* Rooftop Lounge
* Grill",,"Welcome to The Exchange. With a prime location at the Wheaton Metro station and convenient on-site shopping, you're perfectly positioned to get the most out of city living. So swap your scenery for expansive views high above Wheaton, MD and discover a community that brings you a whole new way to enjoy life."
[AVA Wheaton](https://www.apartments.com/ava-wheaton-silver-spring-md/h4jy601/),844-693-5073,"[2425 Blueridge Ave, Silver Spring, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2425+Blueridge+Ave,+Silver+Spring,+MD+20902/data=!4m2!4m1!3e2)",660 Sq Ft,"$1,380 - 2,635","* Cat Rent: $35
* Dog Rent: $35","* Amenity Fee: $400
* Application Fee: $25
* Cat Deposit: $300
* Dog Deposit: $300",No Pets Allowed,50,50,Garage,"* Fitness Center
* Pool
* Bike Storage
* Gaming Stations","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* Chill Lounge with Shuffleboard
* Convenient to MARC commuter train
* Easy access to I-495,I-270,I-95
* Package Lockers
* Walk to Wheaton Metro (Red Line)
* WiFi access in common areas","* Washer/Dryer
* Air Conditioning
* Smoke Free
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Walk-In Closets
* Accent Walls",,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Property Manager on Site
* Planned Social Activities
* Pet Washing Station","* Built in 2017
* 319 Units/4 Stories","* Clubhouse
* Lounge","* Sundeck
* Courtyard
* Grill
* Picnic Area",,"AVA Wheaton, just steps from the red line, features brand new studio, 1, 2, and 3 bedroom Wheaton apartments that include modern kitchens with stainless steel appliances and granite countertops, in unit washer/dryer, hard surface plank flooring, and customizable closets and gear walls. AVA Wheaton is a pet friendly community that features a game area and chill lounge, landscaped courtyards, swimming pool, fully equipped fitness center, WAG Pet Spa, and BBQ grill areas. AVA Wheaton is located a short walk from the Wheaton metro station, close to MARC commuter trains, and right off major roadways including I-495, I-270, I-95, and the Inter-County Connector. Convenient to nearby Silver Spring, Takoma Park, and Washington D.C."
[MetroPointe](https://www.apartments.com/metropointe-wheaton-md/lewd76d/),866-371-7092,"[11175 Georgia Ave, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11175+Georgia+Ave,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",732 Sq Ft,"$1,179 - 3,116","* Assigned Covered Parking: $95
* Unassigned Garage Parking: $95
* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $400
* Dog Deposit: $400","Dogs Allowed:
Certain Dog breeds 
* $400 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,"Covered: $95
1 space; Assigned Parking.","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Walking/Biking Trails","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* Individual Climate Control
* Laminate Counter Tops
* Large Closets","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Tub/Shower","* Views
* Walk-In Closets
* Linen Closet",,"* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability
* On-Site Retail
* Recycling
* Online Services","* Built in 2008
* 121 Units/7 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Conference Room","* Gated
* Courtyard",,"MetroPointe is more than an apartment community. It's a place where everyone blends in beautifully because everyone is unique. Where all are also united by a desire for urban convenience, contemporary design and modern living in one of the most vibrant communities in the D.C. metro area. Located right above the Wheaton Metro, but miles from the ordinary. Welcome to where you truly belong."
[The George](https://www.apartments.com/the-george-wheaton-md/cnnwf8g/),703-584-4843,"[11141 Georgia Ave, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11141+Georgia+Ave,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",593 - 624 Sq Ft,"$1,495 - 2,755","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $25
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Pets welcome! Breed restrictions, pet deposit and monthly pet rent apply per pet. Maximum of two pets per apartment. 
* $50 Monthly Pet Rent
* $300 Fee
* 2 Pet Limit",50,50,"Garage
1 space.","* Fitness Center
* Cardio Machines
* Weight Machines
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Heating
* Cable Ready
* Tub/Shower",* Walk-In Closets,"3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months","* Maintenance on site
* Concierge
* Recycling","* Built in 2014
* 194 Units/12 Stories
* LEED Certified Certified",* Business Center,* Rooftop Lounge,,"Welcome to The George, downtown Wheaton's newest studio, one and two bedroom apartments. Loaded with amenities and just steps to the Metro, restaurants and entertainment - you're sure to find what you're looking for. At The George, you've got it!"
[Village Square](https://www.apartments.com/village-square-silver-spring-md/d8qevgh/),844-893-8012,"[12011 Veirs Mill Rd, Silver Spring, MD 20906](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/12011+Veirs+Mill+Rd,+Silver+Spring,+MD+20906/data=!4m2!4m1!3e2)",880 Sq Ft,"$1,438 - 1,998","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included",* Application Fee: $50,No Pets Allowed,50,50,"Surface Lot
We have free, unreserved parking on our surface lots (no garages). There is also some public street parking closeby on Brightview St. and Atherton Dr. (local laws apply). Residents parked on-site must display a current, community-issued permit at all times. Visitors do not need a permit, but must park in designated areas (located throughout the community) or in public street parking.","* Pool
* Playground","* Dishwasher
* Disposal
* Kitchen",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Satellite TV
* Wheelchair Accessible (Rooms)","* Bay Window
* Views
* Walk-In Closets",12 months (6 months avail. – call for details),"* Laundry Facilities
* Recycling
* Laundry Service","* Built in 1964
* 163 Units/3 Stories",,"* Courtyard
* Grill
* Picnic Area",,"Village Square in Wheaton, MD offers very large 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Public transit is at your doorstep - 8 MetroBus & 3 Ride-On Bus routes stop here. 5 minutes to Wheaton MetroRail station. 10 minutes to the Beltway (I-495), I-270 or the ICC (MD 200). Very close to grocery stores and endless shopping, restaurants & entertainment. 5-10 minutes to Matthew Henson hiker-biker trail, Rock Creek Park and Wheaton Regional Park. Apartment amenities include a large living area with plenty of room for furniture, separate dining area, fully equipped kitchen, spacious private bedrooms, great storage with walk-in and wall closets, natural light from many windows (we provide blinds throughout,) and central heat and air conditioning. Gas and electricity is included in your rent – you pay water/sewer. Cats are welcome. Property features include colonial-style architecture, swimming pool with sundeck, recycling areas throughout, play area, picnic area with grills, telephone entry system for visitors, mail delivery and laundry facility in each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.villagesquarewheaton.com."
[Encore at Wheaton Station](https://www.apartments.com/encore-at-wheaton-station-silver-spring-md/p8rsxjs/),866-216-8935,"[10898 Bucknell Dr, Silver Spring, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10898+Bucknell+Dr,+Silver+Spring,+MD+20902/data=!4m2!4m1!3e2)",775 Sq Ft,"$1,548 - 2,182","* Cat Rent: $35
* Dog Rent: $35","* Application Fee: $29
* Cat Deposit: $350
* Dog Deposit: $350","Dogs Allowed:
Pet friendly. Please call for pet details. 
* $350 Deposit
* $35 Monthly Pet Rent
* 1 Pet Limit",50,50,"Other
Ample free parking.","* Fitness Center
* Playground",,"* 2 Year Leases Available
* Ample Parking
* BusinessCenter
* Cable Available
* Ceiling Fans in Guest and Master Bedroom
* Conference/Meeting room
* Controlled Access
* Corner Units
* High Speed Internet Access
* Luxury meets Convenience
* MSA Program Participant
* Online Payment Available!
* Pet Friendly
* Zen Garden Area
* Energy Star Appliances
* Entertainment size balconies
* Free Accent Wall
* Full Size Washer and Dryer
* High Efficiency Heat Pumps
* Large Kitchen with Upgraded Kitchen Cabinets, ...
* Newly Designed Open Floor Plan
* Recessed Lighting
* Rich Carpet in Living Areas",* High Speed Internet Access,,"6 months,12 months,24 months",* Pet Care,"* Built in 1964
* Renovated in Jan 2012
* 182 Units/3 Stories",* Clubhouse,* Gated,,"Offering a small-town feel with big-city amenities and style. Conveniently located blocks from the Wheaton Metro Station, shopping & schools in desirable Montgomery County. Our multi million dollar full scale renovation is complete and we can't wait to show off our new look! Stop by our Leasing Center and let us show you what we have to offer. We know you will be glad you did! The Encore at Wheaton Station originated as The Wheaton Place Apartments back in 1964. We operated this community very successfully for over 45 years and to ensure the continuation of our success we have made a multi million dollar investment in the redevelopment of this popular apartment community. While we have made significant changes to the physical property, one thing has not changed? our commitment to delivering award winning exceptional resident services. We consistently strive to exceed our residents' expectations by providing the highest level of customer service, quality maintenance service and res"
[The Flats at Wheaton Station](https://www.apartments.com/the-flats-at-wheaton-station-wheaton-md/n0wp6mn/),240-292-6295,"[11101 Georgia Ave, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11101+Georgia+Ave,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",718 Sq Ft,"$1,499 - 2,564","* Storage Fee: $50
* Unassigned Covered Parking: $95 - 105
* Trash Removal: Included",* Application Fee: $25,No Pets Allowed,50,50,Covered: $95 - 105,"* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace
* Sprinkler System
* Framed Mirrors
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Dining Room
* Den
* Vaulted Ceiling
* Views
* Walk-In Closets
* Linen Closet
* Furnished
* Loft Layout
* Window Coverings","6 months, 12 months","* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Furnished Units Available
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Car Wash Area","* Built in 2005
* 243 Units/5 Stories
* Furnished","* Business Center
* Storage Space
* Disposal Chutes
* Coffee Bar
* Corporate Suites",* Gated,,"At The Flats at Wheaton Station, you're right next door to the Red line and easy access to the Silver, Orange and Blue lines, providing you with amazing access to the entire DC-Metro area and all it has to offer. Shopping couldnt be easier with Westfield Wheaton Mall across the street and Safeway Grocery Store within walking distance!"
[Solaire Wheaton](https://www.apartments.com/solaire-wheaton-wheaton-md/dc0xyhj/),877-842-0053,"[10914 Georgia Ave, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10914+Georgia+Ave,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",713 Sq Ft,"$1,484 - 2,119","* Unassigned Garage Parking: $110
* Cat Rent: $35
* Dog Rent: $35
* Trash Removal: Included","* Application Fee: $31
* Cat Deposit: $200
* Dog Deposit: $200","Dogs Allowed:
Breed restrictions apply. 
* $200 Deposit
* $35 Monthly Pet Rent
* 200 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $110
2 spaces. Controlled access underground parking available.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Bike Storage
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Microwave
* Range
* Refrigerator",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower","* Hardwood Floors
* Carpet
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* On-Site ATM
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* LEED Rating
* Planned Social Activities","* Built in 2014
* 232 Units/5 Stories
* LEED Certified Silver","* Business Center
* Clubhouse
* Multi Use Room
* Breakfast/Coffee Concierge
* Disposal Chutes
* Coffee Bar
* Corporate Suites","* Courtyard
* Grill",,"Solaire Wheaton was designed with your success in mind. You strive for greatness on a daily basis. Your living space should enhance that goal. The architecture of Solaire Wheaton doesnt stop with the wood floors and granite counter tops, its also built for your urban lifestyle. Living in the nations capital is just a bit sweeter when you can come home to convenience or take it anywhere you go!"
[Oakfield Apartment Homes](https://www.apartments.com/oakfield-apartment-homes-wheaton-md/6be3czv/),866-858-2439,"[2217 Georgian Way, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2217+Georgian+Way,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",784 Sq Ft,"$1,165 - 1,607","* Water, Trash Removal, Sewer: Included",* Application Fee: $20,No Pets Allowed,50,50,"Surface Lot
1 space.",* Pool,* Range,,"* High Speed Internet Access
* Heating",* Walk-In Closets,,"* Bilingual
* Recycling
* Online Services
* Car Wash Area","* Built in 1968
* 371 Units/3 Stories",,"* Balcony
* Patio",,"Wheaton is transforming before your very eyes into one of the D.C area's most vibrant communities, with new shops and restaurants popping up on every corner. And right in the center of all these exciting changes is Oakfield. With easy access to the Metro, hiking and biking trails just minutes away, Westfield Shoppingtown Mall just down the road and Wheaton National Park moments from your home, location is everything at Oakfield. Oakfield features one, two and three bedroom floorplans to accommodate your every need. Spacious kitchens invite you to indulge your creative side while breakfast bars encourage comfort on relaxed weekend mornings. Slow things down as you bask in the sun by the pool or speed things up with a quick Metro ride to Silver Spring for a night on the town. Oakfield is more than a centrally located community; it's a place to call home. With convenient in home washers and dryers, spacious closets and private patios or balconies, your comfort is our priority. And beautiful picnic areas, fitness trails and a playground add to your enjoyment. We are also pleased to offer our residents affordable housing options. Discover Oakfield, where everything you need and want is at your fingertips."
[Glen Haven](https://www.apartments.com/glen-haven-wheaton-md/lep52zg/),888-406-8468,"[1200 McMahon Rd, Wheaton, MD 20902](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1200+McMahon+Rd,+Wheaton,+MD+20902/data=!4m2!4m1!3e2)",,"$2,200 - 2,505","* Gas, Water, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Cat Fee: $150
* Dog Fee: $150","Dogs and Cats Allowed
Large dogs accepted w/breed restrictions. 
* $150 Fee
* 2 Pet Limit",50,50,Surface Lot,"* Fitness Center
* Playground
* Basketball Court","* Dishwasher
* Disposal
* Kitchen
* Range","* All utilities included
* Ample parking
* Ceiling fans
* Central heating & air conditioning
* Close to Washington, D.C.
* Dishwasher
* Elementary & middle schools in walking distance
* Energy efficient appliances
* Free resident events
* Internet & cable-ready
* Nearby shopping & parks
* Patio/balcony
* Refrigerator w/ice maker
* Walking distance to metro station (est. 15 min)
* Washer/dryer connections
* Wood-style flooring","* High Speed Internet Access
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Tub/Shower","* Carpet
* Vinyl Flooring
* Dining Room
* Walk-In Closets
* Window Coverings",12,"* Maintenance on site
* 24 Hour Availability
* Planned Social Activities","* Built in 2002
* 241 Units/3 Stories",* Business Center,,,"Located in Wheaton, MD, Glen Haven Apartments offers three- and four-bedroom apartments and townhomes; featuring unbeatable amenities like a private patio or balcony and central heating and air conditioning. With access to a fitness, community and business center as well as free resident events, you will find countless reasons to call Glen Haven Apartments home.Call (855) 457-9237 to schedule a tour today!"
