Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Meridian Bay Apartments](https://www.apartments.com/meridian-bay-apartments-woodbridge-va/tjs9b49/),703-496-7105,"[2900 Fox Lair Dr, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2900+Fox+Lair+Dr,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",735 Sq Ft,"$1,410 - 2,215","* Cat Rent: $30
* Dog Rent: $30
* Water, Heat, Trash Removal, Sewer, Cable, Air Conditioning: Included","* Application Fee: $25
* Cat Fee: $350
* Dog Fee: $350",No Pets Allowed,50,50,"Surface Lot
1 space.","* Fitness Center
* Pool
* Playground
* Basketball Court",,* Wood-look Plank Vinyl Flooring,* High Speed Internet Access,,6 and 12 month,"* Package Service
* Maintenance on site
* 24 Hour Availability","* Built in 1989
* Renovated in Jan 2013
* 273 Units/3 Stories",* Clubhouse,* Sundeck,,"We offer open floor plans, new high-end finishes and eye pleasing designs at every turn. With over 10 different floor plans to choose from, we’re no stranger to variety and convinced you will find your perfect home. You’ll have all of the conveniences you’ve ever wished for including complimentary Verizon FIOS (R)  TV and high speed internet including an HD set top box. Meridian Bay is ideally located in Woodbridge Virginia, where you will discover apartments for rent with an unparalleled lifestyle of comfort and convenience! You will have a short commute to Washington DC, Fort Belvoir and Quantico Marine Base. Public transportation such as the Virginia Railroad Express (VRE) and Omni Link and major highway access are close at hand. Our community is also moments from an array of shopping, dining and entertainment at the new Potomac Town Center and Potomac Mills Mall."
[River Oaks](https://www.apartments.com/river-oaks-woodbridge-va/gt8qxhz/),540-699-5207,"[2940 Shumard Oak Dr, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2940+Shumard+Oak+Dr,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",665 Sq Ft,"$1,208 - 2,485","* Storage Fee: $50
* Unassigned Garage Parking: $150
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $350
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
River Oaks is a pet friendly community. We accept up to 2 dogs or cats, with a 75 pound weight limit. There is a $400 non-refundable pet fee per pet plus $50 per month per pet. Please inquire with our Leasing Office for our Breed Restrictions. 
* $50 Monthly Pet Rent
* $400 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $150
1 space. OPEN PARKING! Garages available for rent. Call for details and availability.","* Fitness Center
* Playground","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 24-hour Maintenance
* Billiards Table
* Controlled Interior Storage Spaces Available
* Convenient Location
* Copy/Fax Available
* Cyber Cafe
* Interactive Gaming Center with Four TVs, XBOX, ...
* Outdoor summer kitchen with seating
* Poolside Green Space
* Poolside grilling area
* Poolside lanai
* Putting green
* South Beach-style pool
* Matte Stainless Steel Appliances
* Private Garage Available","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Trash Compactor
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Den
* Sunroom
* Crown Molding
* Vaulted Ceiling
* Walk-In Closets
* Window Coverings
* Accent Walls",Variable,"* Wi-Fi at Pool and Clubhouse
* Courtesy Patrol
* Recycling
* Renters Insurance Program
* Online Services
* Pet Care
* Car Wash Area","* Built in 2012
* 294 Units/4 Stories","* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Coffee Bar
* Conference Room","* Cabana
* Grill
* Picnic Area",,"When it comes to luxury apartment living in Woodbridge, look no further. River Oaks Apartments has been designed to bring the utmost in style, comfort and convenience to your everyday life. Our 1, 2 and 3-bedroom apartments for rent in Woodbridge are sure to suit your style. From River Oaks , everything in the Metro DC area and beyond is within easy reach. If convenience is at the top of your list, youll love living at River Oaks . This Woodbridge apartment community is extraordinarily well-located so that you can make the most of your daily life. Whether your day involves commuting to work on the VRE, spending the day at the mall or enjoying one of the area parks, River Oaks Apartments location will make getting there a little easier. Enjoy coming home every day to River Oaks Apartments and BEGIN living today."
[Stoney Ridge Apartments](https://www.apartments.com/stoney-ridge-apartments-woodbridge-va/dbdjegk/),866-567-9879,"[14397 Westminster Ln, Woodbridge, VA 22193](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/14397+Westminster+Ln,+Woodbridge,+VA+22193/data=!4m2!4m1!3e2)",706 Sq Ft,"$1,136 - 1,645","* Assigned Surface Lot Parking: $25
* Unassigned Other Parking: $25
* Cat Rent: $30
* Dog Rent: $30","* Admin Fee: $100
* Application Fee: $50
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed:
We welcome your pets for a maximum of 2 pets per apartment home. The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. 
* $30 Monthly Pet Rent
* $250 Fee
* 2 Pet Limit",50,50,"Surface Lot: $25
1 space; Assigned Parking. Assigned spaces available for $25/month",* Playground,* Dishwasher,"* 24hr. Emergency maintenance
* BBQ/Picnic Area
* Car wash facility
* High-speed internet in area
* Pet Friendly
* Regular-sized pool
* Smoke-Free Building
* Walk to bus line
* Breakfast Bar
* Crown molding
* Entry closet
* Garbage disposal
* Large Balcony
* Large Kitchen
* Washer/Dryer in Unit
* Window Covering","* High Speed Internet Access
* Washer/Dryer",,Variable,* Pet Care,"* Built in 1985
* 264 Units/3 Stories",,,,"Select from a variety of one and two bedroom apartment homes. Our Wood bridge, VA apartments feature many designer touches and amenities that will make your living space feel like home. Each of our apartments feature 9-foot vaulted ceilings, spacious walk-in closets, and private balconies. Select apartments also include a washer & dryer within the unit. Our apartment community near Dale City and Montclair offers many amenities that were designed with you in mind. Enjoy our refreshing swimming pool for relaxation and an on-site laundry area for your convenience. Children of our residents enjoy the playground area and the specially designed children's pool."
[Misty Ridge Apartments](https://www.apartments.com/misty-ridge-apartments-woodbridge-va/zldtw1y/),703-496-4629,"[1989 Delaware Dr, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1989+Delaware+Dr,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",664 Sq Ft,"$1,173 - 1,632","* Unassigned Surface Lot Parking: $35
* Cat Rent: $30
* Dog Rent: $30","* Admin Fee: $100
* Application Fee: $50
* Cat Fee: $250 - 500
* Dog Fee: $250 - 500","Dogs Allowed:
The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier. Breed restrictions 
* $30 Monthly Pet Rent
* $250 - 500 Fee
* 2 Pet Limit",50,50,"Surface Lot: $35
$35.00 for a reserved parking space.","* Fitness Center
* Playground",,"* 2.5 miles to VRE Train Station
* Leash-Free Dog Park
* Near Public Transit
* Resort-Style pool
* Tennis Court",* High Speed Internet Access,,Variable,* Maintenance on site,"* Built in 1989
* Renovated in Jan 2012
* 409 Units/2 Stories",* Clubhouse,,,"Nestled away in a picturesque tree lined setting Misty Ridge delivers a unique unrivaled suburban lifestyle with lots of extras for today's modern lifestyles - washer/dryer in every home, dishwasher, stainless steel appliances, granite countertops, breakfast bar, walk-in closet, resort-style pool, and cardio and strength training fitness studio to name just a few. Its spacious garden floorplans, impeccable manicured grounds, off the beaten path yet convenient and accessible neighborhood, up-scale modern interior finishes, plethora of community amenities, and exceptional service will knock your socks off! Please call for an appointment today."
[Woodbridge Station Apartments](https://www.apartments.com/woodbridge-station-apartments-woodbridge-va/ggx5svw/),877-253-5349,"[1400 Eisenhower Cir, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1400+Eisenhower+Cir,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",,"$1,388 - 1,904","* Assigned Other Parking: $35
* Cat Rent: $30
* Dog Rent: $30
* Trash Removal: Included","* Admin Fee: $250
* Application Fee: $37
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed:
We allow up to 3 pets per apartment. * For each pet there is a required nonrefundable pet fee of $300 due at move in. * Monthly pet rent of $30 per pet per month. * There are restricted breeds. * Some of the restricted breeds are Pit Bulls, American* 
* $300 Deposit
* $30 Monthly Pet Rent
* 150 lb Weight Limit
* 3 Pet Limit",50,50,"Surface Lot
1 space; Assigned Parking. Parking Available","* Pool
* Playground
* Walking/Biking Trails","* Pantry
* Eat-in Kitchen
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Dining Room
* Linen Closet
* Window Coverings",18 months,"* Wi-Fi at Pool and Clubhouse
* Bilingual
* Concierge
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Pet Play Area","* Built in 1991
* 600 Units/3 Stories","* Business Center
* Breakfast/Coffee Concierge
* Coffee Bar","* Balcony
* Patio
* Barbecue Area
* Barbecue/Grill",,"A great community to call home. * Get the best of both worlds at Woodbridge Station a home in a serene setting thats still close to everything. The VRE is minutes away, as are shopping, dining and family fun. Because Woodbridge Station is equal distance to Ft. Belvoir and Quantico, those who serve our country will have a short commute home. * Moments from the Potomac Mills Mall * Near the Occoquan Bay National Wildlife Refuge * A quick commute to both Fort Belvoir Army Base and Quantico Marine Corps Base * Easy access to I-95 * 1 mile from the Woodbridge VRE"
[Stone Pointe](https://www.apartments.com/stone-pointe-woodbridge-va/y2y3f1s/),844-689-5812,"[15001 Potomac Heights Pl, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/15001+Potomac+Heights+Pl,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",683 Sq Ft,"$1,260 - 3,468","* Water, Trash Removal: Included",* Application Fee: $50,"Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a $300 non-refundable pet fee, per pet. Pet rent is $30 a month per pet. Aggressive breeds (Pitt Bulls, Doberman Pinchers, German Shepherds, Chow-Chows, and Akitas, Rottweilers, Huskies and any other aggressive breed of dogs) are prohibited. We gladly welcome pets! Contact us for details. 
* 75 lb Weight Limit
* 2 Pet Limit",50,50,Surface Lot and Covered,"* Fitness Center
* Pool",,"* Air Conditioner
* Cable Ready
* Carpeting
* Ceiling Fan
* Dishwasher
* Disposal
* Electronic Thermostat
* Extra Storage
* Free Weights
* Full-size washers and dryers
* Garage parking available
* Handicap Accessible Units
* Hardwood Floors
* High Ceilings
* Media Room
* Microwave
* Outdoor Cooking Areas
* Oversized soaking tubs with separate showers
* Package Receiving
* Pet-friendly apartment community
* Professional landscaping
* Recycling
* Refrigerator
* Spacious walk-in closets
* Storage Units available
* Unique foyers for dramatic first impressions
* Wired for high-speed Internet",* High Speed Internet Access,,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21",* Maintenance on site,"* Built in 2013
* 296 Units/4 Stories","* Elevator
* Business Center
* Clubhouse","* Gated
* Sundeck",,"Nestled in an area seething with American history you'll find Stone Pointe Apartments - a community that blends today's most desired amenities with the convenience of an idyllic location. Here, unique design, sophisticated additions, and upscale finishes welcome you home each day. Our luxury apartments in Woodbridge, VA feature expansive one- and two-bedroom floor plans filled with offerings like granite countertops, private balconies, full-size washers and dryers, and more. We're pet-friendly, too."
[Haven Woodbridge](https://www.apartments.com/haven-woodbridge-woodbridge-va/4vdx1el/),866-974-3541,"[13940 Longview Manor Ct, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/13940+Longview+Manor+Ct,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",687 Sq Ft,"$1,140 - 1,995","* Cat Rent: $30
* Dog Rent: $30
* Gas: Included","* Amenity Fee: $125
* Application Fee: $50
* Move-In Fee: $300
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Cats and Dogs Warmly Welcomed. $300 pet fee $30/pet rent per month. Renters Insurance is required. * Maximum of 2 pets per apartment with a maximum combined weight of 80lbs. The following breeds of dogs are not permitted to be kept as pets on the premises, or brought onto same premises to visit at any time: * Akitas, Alaskan Malamutes, American Staffordshire Terriers, American Pit bull terriers, Bull Terriers, Chow Chows, Doberman Pinschers, Dogo Argentino, Fila Brasilerios, German Shepherds, Great Danes, Japanese Tosas, Miniature Bull Terriers, Pit Bulls, Presa Canarios, Rottweilers, Siberian Huskies, Staffordshire Bull Terriers, Wolf Hybrids, Wild Dogs or any partial breed dog that has one or more of the previously mentioned breeds in its lineage. Breed Restrictions Apply 
* $30 Monthly Pet Rent
* $300 Fee
* 60 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.",* Pool,"* Dishwasher
* Kitchen
* Oven
* Range
* Refrigerator","* Air Conditioner
* Cable Ready
* Carpeting
* Ceiling Fan
* Dishwasher
* Disposal
* Efficient Appliances
* Electronic Thermostat
* Extra Storage
* Hardwood Floors
* Large Closets
* Package Receiving
* Patio/Balcony
* Refrigerator
* View
* Washer/Dryer
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Heating
* Cable Ready","* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",None,"* Maintenance on site
* Bilingual
* Concierge
* 24 Hour Availability
* Recycling
* Planned Social Activities","* Built in 1987
* 140 Units/3 Stories",,* Picnic Area,,"Come home to Haven Woodbridge Apartments! Nestled in the trees near park land in Woodbridge, Haven Woodbridge offers stylish modern apartment homes in a secluded location -- and yet still convenient to all the area has to offer. We are just off the Prince William Parkway, less than two minutes to I-95. With shopping at Potomac Mills, the VRE and the Horner Road Commuter Lot nearby, you are perfectly positioned to enjoy all that Woodbridge has to offer."
[The Sutton](https://www.apartments.com/the-sutton-woodbridge-va/4jjgprh/),844-703-5108,"[2300 Vantage Dr, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2300+Vantage+Dr,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",765 Sq Ft,"$1,440 - 2,525","* Unassigned Garage Parking: $50
* Cat Rent: $35
* Dog Rent: $60
* Trash Removal: Included","* Admin Fee: $500
* Application Fee: $60
* Cat Fee: $500
* Cat Deposit: $200
* Dog Fee: $500
* Dog Deposit: $200","Dogs Allowed:
No lock jaw breeds. 
* $200 Deposit
* $60 Monthly Pet Rent
* $500 Fee
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $50
1 space. $50 for reserved","* Fitness Center
* Pool",,"* 2"" stylized wood blinds
* Above-cabinet lighting
* Air Conditioner
* Apartments Furnished upon Request
* Authentic hand-scraped hardwood floors
* BBQ/Picnic Area
* Ceramic tile surround in tub and shower
* Courtyard
* Custom cabinetry with 42” upper cabinets
* Dishwasher
* Elegant built-in wine rack*
* Expansive 9’ ceilings
* Flexible Lease Terms
* Free Weights
* Full-size washer and dryer*
* Generous pantries*
* Gourmet preparation island with pendant lighting*
* Granite countertops with elegant backsplash
* Microwave
* Opulent track lighting in kitchen and dining area
* Outdoor fire pit with entertaining space
* Outdoor lounge with fireplace and TV
* Oversized soaking tub and walk-in shower*
* Private balcony
* Side-by-side refrigerator
* State-of-the-art theatre
* Undermount large, single basin stainless sink
* Window Coverings","* High Speed Internet Access
* Air Conditioning
* Heating
* Wheelchair Accessible (Rooms)",,None,* Maintenance on site,"* Built in 2015
* 420 Units/4 Stories","* Elevator
* Business Center","* Gated
* Sundeck",,"The Sutton offers the finest in luxury living and state-of-the-art amenities. Every detail has been expertly designed to create Woodbridge, Virginia's newest luxury apartment community."
[The Flats at Neabsco](https://www.apartments.com/the-flats-at-neabsco-woodbridge-va/j6qyl04/),855-242-5540,"[15136-15156 Neabsco Mills Rd, Woodbridge, VA 22191](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/15136-15156+Neabsco+Mills+Rd,+Woodbridge,+VA+22191/data=!4m2!4m1!3e2)",988 Sq Ft,"$1,383 - 2,380","* Cat Rent: $35
* Dog Rent: $50","* Application Fee: $50
* Cat Fee: $250
* Dog Fee: $250","Dogs Allowed:
Breed Restrictions Apply. No weight limit on 2nd floor only. Breed and Weight Restrictions 
* $50 Monthly Pet Rent
* $250 Fee
* 80 lb Weight Limit
* 2 Pet Limit",50,50,"Garage
Reserved Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Spa
* Pool
* Playground
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* Air Conditioner
* Business Center
* Business Center with Game Room
* Ceiling Fan
* Conference Room
* Controlled Access
* Courtyard
* Courtyard Lounge with Fire Pit
* Dog Wash Station
* Efficient Appliances
* Fitness Center
* Media Room
* Microwave
* Outdoor Kitchen with Grills
* Package Acceptance
* Patio/Balcony
* Pool","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Storage Units
* Double Vanities
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Crown Molding
* Vaulted Ceiling
* Views
* Walk-In Closets
* Double Pane Windows
* Window Coverings","6, 7, 8, 9, 10, 11, 12, 13, 14","* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Bilingual
* Trash Pickup - Door to Door
* Recycling
* Planned Social Activities
* Pet Washing Station","* Built in 2015
* 188 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Coffee Bar
* Conference Room","* Gated
* Courtyard",,"The Flats at Neabsco is where modern-contemporary design & top-tier amenities meet convenient location, flexible leasing options & affordable pricing. Found in rapidly growing Woodbridge, VA just a few miles from the Potomac Mills Mall, The Flats at Neabsco offers brand new, spacious one, two, and three-bedroom apartments. With a state of the art fitness center, elegant pool and patio area, the Flats is beyond other apartments in the area. Call to schedule your tour of The Flats at Neabsco! Up to two months free on select units. Move in fees waived. Call for details."
[Rolling Brook Village](https://www.apartments.com/rolling-brook-village-woodbridge-va/8tr6pl2/),855-237-9941,"[1723 Long Shadows Ct, Woodbridge, VA 22192](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1723+Long+Shadows+Ct,+Woodbridge,+VA+22192/data=!4m2!4m1!3e2)",685 Sq Ft,"$1,170 - 2,135","* Assigned Covered Parking: $30
* Cat Rent: $35
* Dog Rent: $35
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Air Conditioning: Included","* Amenity Fee: $300
* Application Fee: $60
* Cat Fee: $350
* Dog Fee: $350",No Pets Allowed,50,50,"Surface Lot
1 space. The open parking is not designated or numbered.
Covered spots are reserved and there is an additional fee of $30 per month per spot.","* Fitness Center
* Pool
* Playground",,"* 5% Military Discount
* Air Conditioner
* Cable Ready
* Carpeting
* Carport
* Carports Available
* Ceiling Fan
* Commuter lots within walking distance
* Dishwasher
* Disposal
* Dog Park
* Easy access to VRE - within 1 mile
* Extra Storage
* Fireplace
* High Ceilings
* Large Closets
* Microwave
* Package Receiving
* Patio/Balcony
* Refrigerator
* Resident Service Center
* Stainless Steel Sinks
* View
* Washer/Dryer",* High Speed Internet Access,,None,* Maintenance on site,"* Built in 1987
* 732 Units/3 Stories","* Business Center
* Clubhouse",,,"Dedicated to quality and service, Rolling Brook Apartments will exceed your expectations of superb apartment living. Take a leisurely stroll along a tree-lined walking trail, or enjoy one of two exclusive swimming pools in a garden setting. We offer an amenity package which includes car care facilities, 24-hour emergency maintenance response and fitness centers. Unique floor plan designs are included among the unfurnished one and two bedroom garden style apartment homes. If accessibility and recreation are priorities for your next apartment home, Rolling Brook is the perfect choice, located just minutes from I-95, Rte. 123, and Rte. 1. A myriad of shopping, dining and entertainment are just minutes away. Whatever your lifestyle, Rolling Brook has an apartment home suited to your individual needs. Come see why we are the friendliest community in the area."
